Month,Department Family,Entity,Date,Expense Type,Supplier,Transaction Number,Amount
Jul-20,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,30-Jun-20,CLINICAL SUPPLIES & SERVICES,UK0006253701 : Bunzl Retail & Healthcare Supplies Ltd,019/JUNE20,"39,472.17"
Jul-20,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,17-Mar-20,CLINICAL SUPPLIES & SERVICES,NHS0000RJ701 : St Georges Healthcare NHST,6471511,"37,750.00"
Jul-20,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,26-Jun-20,CLINICAL SUPPLIES & SERVICES,UK0085270201 : Becton Dickinson UK Ltd,200059405,"35,896.80"
Jul-20,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,30-Jun-20,CLINICAL SUPPLIES & SERVICES,UK0275960901 : Healthcare at Home Ltd,OP/9319213,"35,100.00"
Jul-20,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,10-Jul-20,CLINICAL SUPPLIES & SERVICES,UK0519023401 : InHealth Ltd,IHLIN0024807,"34,311.20"
Jul-20,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,15-Jun-20,CLINICAL SUPPLIES & SERVICES,UK0519023401 : InHealth Ltd,IHLIN0024451,"34,311.20"
Jul-20,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,15-Jun-20,CLINICAL SUPPLIES & SERVICES,UK0519023401 : InHealth Ltd,IHLIN0024450,"34,311.20"
Jul-20,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,16-Jul-20,PREMISES & FIXED PLANT,UK0411321501 : M & O Building Contractors Ltd,4175,"34,255.20"
Jul-20,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,14-Jul-20,CLINICAL SUPPLIES & SERVICES,NRB000227401 : I Thaler & J Wilson T/A Thaler Contracts,734,"34,023.43"
Jul-20,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,30-Jun-20,TRANSPORT EXPENSES,UK0496163501 : Falck UK Ambulance Service Ltd,SIN003688,"33,850.37"
Jul-20,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,29-Jun-20,IT SERVICES,UK0408413101 : Healthcare Communications UK Ltd,INVHEA00000417,"33,845.09"
Jul-20,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,30-Mar-20,PENSIONS LIABILITIES,WPS00T145001 : NHS PENSIONS,2000003202,"32,843.72"
Jul-20,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,23-Jun-20,GENERAL SUPPLIES & SERVICES,UK0525534401 : Nautilus Consulting Ltd,INV-1373,"32,834.40"
Jul-20,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,30-Jun-20,PENSIONS LIABILITIES,WPS00T145001 : NHS PENSIONS,2000003500,"31,311.93"
Jul-20,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,31-Dec-19,PENSIONS LIABILITIES,WPS00T145001 : NHS PENSIONS,2000002808,"30,618.99"
Jul-20,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,01-Jul-20,GENERAL SUPPLIES & SERVICES,UK1023092001 : P2G Management Ltd,PML0038,"27,712.80"
