Date,Expense Area,Expense Type,Supplier,Transaction Number,Amount
31/07/2020,ME - PMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,ESSEX LODGE,33074054,"-8,824.29"
31/07/2020,ME-PMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,ESSEX LODGE,33074054,"-7,670.63"
31/07/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,DR AMSHAH & PARTNER STRATFORD VILLAGE SURGERY,33074007,"-7,618.97"
31/07/2020,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,DR AMSHAH & PARTNER STRATFORD VILLAGE SURGERY,33074007,"-7,124.72"
31/07/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,NEWHAM MEDICAL CENTRE,33074023,"-6,909.36"
31/07/2020,C&M-PMS Contract KPIs,PRC DELEGATED CO-COMMISSIONING,CUSTOM HOUSE SURGERY,33091133,"-6,596.79"
31/07/2020,C&M-PMS PCN DES PCN support,LOCAL ENHANCED SERVICES,DR AMSHAH & PARTNER STRATFORD VILLAGE SURGERY,33074007,"-6,029.13"
31/07/2020,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,DR AMSHAH & PARTNER STRATFORD VILLAGE SURGERY,33074007,"-5,828.15"
31/07/2020,ME - PMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,DR AMSHAH & PARTNER STRATFORD VILLAGE SURGERY,33074007,"-4,497.21"
31/07/2020,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,DR AMSHAH & PARTNER STRATFORD VILLAGE SURGERY,33074007,"-3,997.85"
31/07/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,CUSTOM HOUSE SURGERY,33091133,"-3,597.32"
31/07/2020,ME-PMS GP Pension EEs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,NEWHAM MEDICAL CENTRE,33074023,"-3,243.27"
31/07/2020,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,NEWHAM MEDICAL CENTRE,33074023,"-3,243.27"
31/07/2020,ME-PMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,DR AMSHAH & PARTNER STRATFORD VILLAGE SURGERY,33074007,"-2,908.49"
31/07/2020,C&M-PMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,DR AMSHAH & PARTNER STRATFORD VILLAGE SURGERY,33074007,"-2,902.02"
31/07/2020,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,CUSTOM HOUSE SURGERY,33091133,"-2,441.18"
31/07/2020,C&M-PMS Contract KPIs,PRC DELEGATED CO-COMMISSIONING,NEWHAM MEDICAL CENTRE,33074023,"-1,863.63"
31/07/2020,Statutory Mat Pay < 1 yr,BALANCE SHEET,HMRC,33142710,"-1,669.20"
31/07/2020,C&M-PMS Contract KPIs,PRC DELEGATED CO-COMMISSIONING,ESSEX LODGE,33074054,"-1,427.75"
31/07/2020,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,ESSEX LODGE,33074054,"-1,073.57"
31/07/2020,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,NEWHAM MEDICAL CENTRE,33074023,-835.65
31/07/2020,ME-PMS GP Pension EEs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,CUSTOM HOUSE SURGERY,33091133,-558
31/07/2020,ME - PMS TPS Added Years Adj EEs,PRC DELEGATED CO-COMMISSIONING,ESSEX LODGE,33074054,-315.58
31/07/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,CUSTOM HOUSE SURGERY,33091133,-209.36
31/07/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ESSEX LODGE,33074054,-106.21
31/07/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NEWHAM MEDICAL CENTRE,33074023,-97.85
31/07/2020,C&M-PMS Prem Clinical Waste,PRC DELEGATED CO-COMMISSIONING,SHREWSBURY ROAD SURGERY,33074031,48.53
31/07/2020,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,SHREWSBURY ROAD SURGERY,33074031,78.75
31/07/2020,C&M-GMS Prem Clinical Waste,PRC DELEGATED CO-COMMISSIONING,DR SAMUEL & DR KHAN,33229344,167.74
31/07/2020,ME-PMS GP Pension EEs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,CUSTOM HOUSE SURGERY,33091134,240.24
31/07/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,CUSTOM HOUSE SURGERY,33091134,240.24
31/07/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DRS PR DUBAL & N PATEL,33229346,241.81
31/07/2020,C&M-PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,BALAAM STREET PRACTICE,33074004,280
31/07/2020,C&M-PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,LIBERTY BRIDGE ROAD PRACTICE,33091139,280
31/07/2020,C&M-PMS Prem Clinical Waste,PRC DELEGATED CO-COMMISSIONING,E12 HEALTH CENTRE,33074018,318.69
31/07/2020,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,DR SAMUEL & DR KHAN,33229344,426.84
31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,BIRCHDALE ROAD MEDICAL CENTRE,33229332,454.17
31/07/2020,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,LEYTONSTONE HIGH ROAD,33248132,540.27
31/07/2020,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,SANGAM GP SURGERY,33091137,553.07
31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR G KUGAPALA & PARTNER,33074012,584.46
31/07/2020,ME-PMS GP Pension EEs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,CLAREMONT CLINIC,33074006,601.4
31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,WESTBURY ROAD MEDICAL PRACTICE,33248133,602.27
31/07/2020,C&M-GMS PCO Other,PRC DELEGATED CO-COMMISSIONING,ABBEY ROAD HEALTH CENTRE,33229329,607.7
31/07/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,SANGAM GP SURGERY,33091137,611.16
31/07/2020,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,EAST LONDON NHS FOUNDATION TRUST,33091124,622.54
31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR R CHATTERJEE & DR AS KHAN,33074046,637.11
31/07/2020,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,E12 HEALTH CENTRE,33074018,645.48
31/07/2020,Apprenticeship Levy Payable,BALANCE SHEET,HMRC,33142710,647
31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,CUMBERLAND MEDICAL CENTRE,33074048,652.11
31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,PROJECT SURGERY,33074026,701.69
31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR S RAFIQ,33229342,704.53
31/07/2020,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,GLEN ROAD MEDICAL CENTRE,33074021,805.43
31/07/2020,C&M-APMS PCN DES Soc Prescribing,PRC DELEGATED CO-COMMISSIONING,AT MEDICS (LUCAS AVENUE),33091141,832.07
31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,BALAAM STREET PRACTICE,33074004,857.83
31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ST LUKES HEALTH CENTRE,33229359,858.46
31/07/2020,ME-PMS GP Pension EEs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,SANGAM GP SURGERY,33091137,866.25
31/07/2020,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,AT MEDICS (LUCAS AVENUE),33091141,905.19
31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR I BASU & DR SK BASU,33074010,910.08
31/07/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,CLAREMONT CLINIC,33074006,929.9
31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DRS PR DUBAL & N PATEL,33229346,947.89
31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,STRATFORD HEALTH CENTRE,33091138,"1,021.79"
31/07/2020,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,MARKET STREET HEALTH GROUP,33091136,"1,026.22"
31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,LORD LISTER HEALTH CENTRE DR DRIVER,33229351,"1,083.94"
31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,UPTON LANE MEDICAL CENTRE,33074040,"1,107.18"
31/07/2020,Income tax <1Yr-Student Loans,BALANCE SHEET,HMRC,33142710,"1,143.00"
31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR AZAD PRACTICE ACCOUNT,33229335,"1,168.62"
31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,GLEN ROAD MEDICAL CENTRE,33074021,"1,169.59"
31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR KALHORO & PARTNER,33074014,"1,173.08"
31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,LEYTONSTONE HIGH ROAD,33248132,"1,204.53"
31/07/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DRS PR DUBAL & N PATEL,33229346,"1,222.53"
31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR KNIGHT,33248130,"1,321.16"
31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,NEWHAM MEDICAL CENTRE,33074024,"1,372.19"
31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR SAMUEL & DR KHAN,33229344,"1,393.09"
31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,CUSTOM HOUSE SURGERY,33091134,"1,401.86"
31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ABBEY ROAD HEALTH CENTRE,33229329,"1,403.23"
31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR MSJ KHAN - BOLEYN MEDICAL CENTRE,33074043,"1,434.28"
31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ST BARTHOLOMEWS SURGERY,33074033,"1,437.59"
31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ROYAL DOCKS MEDICAL PRACTICE,33074029,"1,466.59"
31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR AMSHAH & PARTNER STRATFORD VILLAGE SURGERY,33074008,"1,473.84"
31/07/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,ABBEY ROAD HEALTH CENTRE,33229329,"1,497.00"
31/07/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,BIRCHDALE ROAD MEDICAL CENTRE,33229332,"1,497.00"
31/07/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,MARKET STREET HEALTH GROUP,33091136,"1,507.40"
31/07/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DRS PR DUBAL & N PATEL,33229346,"1,522.94"
31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,CLAREMONT CLINIC,33074006,"1,557.41"
31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,GRAHAM PRACTICE,33091135,"1,559.97"
31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,SANGAM GP SURGERY,33091137,"1,603.23"
31/07/2020,C&M-PMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,"2
STRATFORD HEALTH CENTRE",33091138,"1,730.75"
31/07/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,SHREWSBURY ROAD SURGERY,33074031,"1,746.12"
31/07/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,PROJECT SURGERY,33074026,"1,773.33"
31/07/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR I BASU & DR SK BASU,33074010,"1,788.08"
31/07/2020,C&M-PMS PCO Doctors Ret Scheme,PRC DELEGATED CO-COMMISSIONING,DR YI PATEL & PARTNERS,33074016,"1,845.36"
31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ESSEX LODGE,33074055,"1,850.32"
31/07/2020,C&M-APMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,AT MEDICS (LUCAS AVENUE),33091141,"1,888.57"
31/07/2020,C&M-GMS Other Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,BIRCHDALE ROAD MEDICAL CENTRE,33229332,"1,948.33"
31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,MARKET STREET HEALTH GROUP,33091136,"1,949.46"
31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,E12 HEALTH CENTRE,33074018,"1,955.82"
31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,SHREWSBURY ROAD SURGERY,33074031,"2,007.63"
31/07/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,CUMBERLAND MEDICAL CENTRE,33074048,"2,037.58"
31/07/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR R CHATTERJEE & DR AS KHAN,33074046,"2,058.33"
31/07/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,WESTBURY ROAD MEDICAL PRACTICE,33248133,"2,099.96"
31/07/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,SANGAM GP SURGERY,33091137,"2,109.27"
31/07/2020,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,AT MEDICS ALBERT ROAD,33091140,"2,139.65"
31/07/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,LEYTONSTONE HIGH ROAD,33248132,"2,145.83"
31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR YI PATEL & PARTNERS,33074016,"2,174.62"
31/07/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,TOLLGATE MEDICAL CENTRE,33074038,"2,218.67"
31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BIRCHDALE ROAD MEDICAL CENTRE,33229332,"2,288.94"
31/07/2020,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,LIBERTY BRIDGE ROAD PRACTICE,33091139,"2,333.50"
31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ST LUKES HEALTH CENTRE,33229359,"2,352.88"
31/07/2020,C&M-PMS PCO Locum Sickness,PRC DELEGATED CO-COMMISSIONING,DR YI PATEL & PARTNERS,33074016,"2,400.00"
31/07/2020,C&M-APMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,LIBERTY BRIDGE ROAD PRACTICE,33091139,"2,443.57"
31/07/2020,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,CUMBERLAND MEDICAL CENTRE,33074048,"2,473.20"
31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,TOLLGATE MEDICAL CENTRE,33074038,"2,483.81"
31/07/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,PROJECT SURGERY,33074026,"2,515.87"
31/07/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CUMBERLAND MEDICAL CENTRE,33074048,"2,520.46"
31/07/2020,C&M-PMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,GRAHAM PRACTICE,33091135,"2,557.56"
31/07/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,EAST LONDON NHS FOUNDATION TRUST,33091124,"2,575.28"
31/07/2020,C&M-APMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,AT MEDICS ALBERT ROAD,33091140,"2,593.79"
31/07/2020,C&M-APMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,LIBERTY BRIDGE ROAD PRACTICE,33091139,"2,601.31"
31/07/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR R CHATTERJEE & DR AS KHAN,33074046,"2,610.11"
31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR S RAFIQ,33229342,"2,653.84"
31/07/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR G KUGAPALA & PARTNER,33074012,"2,678.50"
31/07/2020,C&M-PCN DES PHARMACY TECHNICIANS,PRC DELEGATED CO-COMMISSIONING,STRATFORD HEALTH CENTRE,33091138,"2,702.52"
31/07/2020,C&M-GMS Other Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,WESTBURY ROAD MEDICAL PRACTICE,33248133,"2,748.47"
31/07/2020,C&M-PMS PCN DES Soc Prescribing,PRC DELEGATED CO-COMMISSIONING,SANGAM GP SURGERY,33091137,"2,820.13"
31/07/2020,C&M-APMS Other Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,EAST LONDON NHS FOUNDATION TRUST,33091124,"2,820.60"
31/07/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,ESSEX LODGE,33074055,"2,901.33"
31/07/2020,C&M-PMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,DR AMSHAH & PARTNER STRATFORD VILLAGE SURGERY,33074008,"2,902.02"
31/07/2020,C&M-GMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,DR SAMUEL & DR KHAN,33229344,"2,902.02"
31/07/2020,C&M-GMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,DR KNIGHT,33248130,"2,902.02"
31/07/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR S RAFIQ,33229342,"2,950.00"
31/07/2020,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,DR R CHATTERJEE & DR AS KHAN,33074046,"2,978.61"
31/07/2020,C&M-PMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,STAR LANE MEDICAL CENTRE,33074036,"2,994.43"
31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,STAR LANE MEDICAL CENTRE,33074036,"3,032.97"
31/07/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR KALHORO & PARTNER,33074014,"3,041.67"
31/07/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,AT MEDICS (LUCAS AVENUE),33091141,"3,061.75"
31/07/2020,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,DR G KUGAPALA & PARTNER,33074012,"3,069.50"
31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,LEYTONSTONE HIGH ROAD,33248132,"3,078.07"
31/07/2020,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,PROJECT SURGERY,33074026,"3,097.20"
31/07/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR SAMUEL & DR KHAN,33229344,"3,101.43"
31/07/2020,C&M-APMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,LIBERTY BRIDGE ROAD PRACTICE,33091139,"3,115.83"
31/07/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BALAAM STREET PRACTICE,33074004,"3,137.66"
31/07/2020,C&M-GMS PCO Other,PRC DELEGATED CO-COMMISSIONING,WESTBURY ROAD MEDICAL PRACTICE,33248133,"3,178.10"
31/07/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR KALHORO & PARTNER,33074014,"3,360.79"
31/07/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,STRATFORD HEALTH CENTRE,33091138,"3,439.77"
31/07/2020,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,STRATFORD HEALTH CENTRE,33091138,"3,475.89"
31/07/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR I BASU & DR SK BASU,33074010,"3,483.33"
31/07/2020,C&M-GMS Other Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,ST LUKES HEALTH CENTRE,33229359,"3,496.31"
31/07/2020,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,BALAAM STREET PRACTICE,33074004,"3,578.60"
31/07/2020,C&M-GMS Other Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,DR S RAFIQ,33229342,"3,612.44"
31/07/2020,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,DR I BASU & DR SK BASU,33074010,"3,790.80"
31/07/2020,C&M-APMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,AT MEDICS (LUCAS AVENUE),33091141,"3,792.84"
31/07/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,GLEN ROAD MEDICAL CENTRE,33074021,"3,926.10"
31/07/2020,C&M-PMS PCO Other,PRC DELEGATED CO-COMMISSIONING,DR I BASU & DR SK BASU,33074010,"4,047.00"
31/07/2020,C&M-PMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,MARKET STREET HEALTH GROUP,33091136,"4,073.89"
31/07/2020,C&M-APMS Other Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,AT MEDICS (LUCAS AVENUE),33091141,"4,131.60"
31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR KNIGHT,33248130,"4,182.00"
31/07/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,BIRCHDALE ROAD MEDICAL CENTRE,33229332,"4,202.50"
31/07/2020,C&M-GMS Other Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,DRS PR DUBAL & N PATEL,33229346,"4,222.46"
31/07/2020,C&M-GMS Other Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,LORD LISTER HEALTH CENTRE DR DRIVER,33229351,"4,294.80"
31/07/2020,C&M-GMS Other Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,LEYTONSTONE HIGH ROAD,33248132,"4,319.03"
31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DRS PR DUBAL & N PATEL,33229346,"4,346.84"
31/07/2020,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,STRATFORD HEALTH CENTRE,33091138,"4,369.80"
31/07/2020,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,SHREWSBURY ROAD SURGERY,33074031,"4,429.20"
31/07/2020,C&M-GMS PCO Other,PRC DELEGATED CO-COMMISSIONING,LORD LISTER HEALTH CENTRE DR DRIVER,33229351,"4,506.00"
31/07/2020,C&M-GMS PCO Other,PRC DELEGATED CO-COMMISSIONING,DRS PR DUBAL & N PATEL,33229346,"4,535.00"
31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR AZAD PRACTICE ACCOUNT,33229335,"4,536.68"
31/07/2020,C&M-PMS PCO Other,PRC DELEGATED CO-COMMISSIONING,CUMBERLAND MEDICAL CENTRE,33074048,"4,573.00"
31/07/2020,C&M-PMS PCO Other,PRC DELEGATED CO-COMMISSIONING,STRATFORD HEALTH CENTRE,33091138,"4,590.00"
31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,LORD LISTER HEALTH CENTRE DR DRIVER,33229351,"4,628.16"
31/07/2020,C&M-APMS PCN DES Soc Prescribing,PRC DELEGATED CO-COMMISSIONING,AT MEDICS ALBERT ROAD,33091140,"4,655.16"
31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR SAMUEL & DR KHAN,33229344,"4,726.01"
31/07/2020,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,UPTON LANE MEDICAL CENTRE,33074040,"4,759.20"
31/07/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,CUMBERLAND MEDICAL CENTRE,33074048,"4,808.34"
31/07/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR I BASU & DR SK BASU,33074010,"4,829.30"
