Date,Expense area,expense type,Supplier,Transaction Number,Amount
30/04/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,31807846,"466,040.27"
30/04/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,NORTH EAST LONDON NHS FOUNDATION TRUST,31807847,"82,813.53"
30/04/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,31807848,"43,634.16"
30/04/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ROYAL FREE LONDON NHS FOUNDATION TRUST,31807849,"91,723.12"
30/04/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,31807850,"60,996.45"
30/04/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,"ST GEORGES UNIVERSITY HOSPITALS NHS FOUNDATION 
TRUST",31807851,"33,239.64"
30/04/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,"UNIVERSITY COLLEGE LONDON HOSPITALS NHS 
FOUNDATION TRUST",31807852,"365,947.56"
30/04/2020,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,EAST LONDON NHS FOUNDATION TRUST,31813043,"54,166.67"
30/04/2020,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,EAST LONDON NHS FOUNDATION TRUST,31813043,663.78
30/04/2020,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,BALAAM STREET PRACTICE,31813044,"1,834.61"
30/04/2020,C&M-PMS Contract KPIs,PRC DELEGATED CO-COMMISSIONING,BALAAM STREET PRACTICE,31813044,"7,623.80"
30/04/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,BALAAM STREET PRACTICE,31813044,"46,314.53"
30/04/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,BALAAM STREET PRACTICE,31813044,"7,739.56"
30/04/2020,C&M-PMS Contract KPIs,PRC DELEGATED CO-COMMISSIONING,CLAREMONT CLINIC,31813045,"13,070.16"
30/04/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,CLAREMONT CLINIC,31813045,"84,643.91"
30/04/2020,C&M-PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,CLAREMONT CLINIC,31813045,"1,820.00"
30/04/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,CLAREMONT CLINIC,31813045,"1,495.12"
30/04/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,CLAREMONT CLINIC,31813045,"5,364.33"
30/04/2020,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,CUSTOM HOUSE SURGERY,31813046,"5,124.27"
30/04/2020,C&M-PMS Contract KPIs,PRC DELEGATED CO-COMMISSIONING,CUSTOM HOUSE SURGERY,31813046,"12,874.68"
30/04/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,CUSTOM HOUSE SURGERY,31813046,"76,108.84"
30/04/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,CUSTOM HOUSE SURGERY,31813046,"1,472.32"
30/04/2020,C&M-PMS Prem Cost Rent,PRC DELEGATED CO-COMMISSIONING,CUSTOM HOUSE SURGERY,31813046,"6,714.25"
30/04/2020,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,DR AMSHAH & PARTNER STRATFORD VILLAGE SURGERY,31813047,"1,847.89"
30/04/2020,C&M-PMS Contract KPIs,PRC DELEGATED CO-COMMISSIONING,DR AMSHAH & PARTNER STRATFORD VILLAGE SURGERY,31813047,"13,543.06"
30/04/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR AMSHAH & PARTNER STRATFORD VILLAGE SURGERY,31813047,"80,121.41"
30/04/2020,C&M-PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,DR AMSHAH & PARTNER STRATFORD VILLAGE SURGERY,31813047,"2,520.00"
30/04/2020,C&M-PMS PCN DES Clin Pharmacist,PRC DELEGATED CO-COMMISSIONING,DR AMSHAH & PARTNER STRATFORD VILLAGE SURGERY,31813047,"9,452.50"
30/04/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR AMSHAH & PARTNER STRATFORD VILLAGE SURGERY,31813047,"1,550.27"
30/04/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR AMSHAH & PARTNER STRATFORD VILLAGE SURGERY,31813047,"8,994.33"
30/04/2020,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,DR I BASU & DR SK BASU,31813048,999.64
30/04/2020,C&M-PMS Contract KPIs,PRC DELEGATED CO-COMMISSIONING,DR I BASU & DR SK BASU,31813048,"7,746.73"
30/04/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR I BASU & DR SK BASU,31813048,"49,150.16"
30/04/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR I BASU & DR SK BASU,31813048,874.29
30/04/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR I BASU & DR SK BASU,31813048,"3,483.33"
30/04/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR I BASU & DR SK BASU,31813048,"1,788.08"
30/04/2020,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,DR I BASU & DR SK BASU,31813048,234.6
30/04/2020,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,DR G KUGAPALA & PARTNER,31813049,"1,317.26"
30/04/2020,C&M-PMS Contract KPIs,PRC DELEGATED CO-COMMISSIONING,DR G KUGAPALA & PARTNER,31813049,"4,734.26"
30/04/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR G KUGAPALA & PARTNER,31813049,"31,911.32"
30/04/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR G KUGAPALA & PARTNER,31813049,522.97
30/04/2020,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,DR KALHORO & PARTNER,31813050,"1,886.03"
30/04/2020,C&M-PMS Contract KPIs,PRC DELEGATED CO-COMMISSIONING,DR KALHORO & PARTNER,31813050,"9,977.51"
30/04/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR KALHORO & PARTNER,31813050,"63,742.21"
30/04/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR KALHORO & PARTNER,31813050,"1,134.45"
30/04/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR KALHORO & PARTNER,31813050,"3,041.67"
30/04/2020,C&M-PMS Contract KPIs,PRC DELEGATED CO-COMMISSIONING,ESSEX LODGE,31813051,"16,357.60"
30/04/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ESSEX LODGE,31813051,"100,490.32"
30/04/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ESSEX LODGE,31813051,"16,906.57"
30/04/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,ESSEX LODGE,31813051,"7,866.67"
30/04/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,ESSEX LODGE,31813051,"2,901.33"
30/04/2020,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,DR YI PATEL & PARTNERS,31813052,"1,622.53"
30/04/2020,C&M-PMS Contract KPIs,PRC DELEGATED CO-COMMISSIONING,DR YI PATEL & PARTNERS,31813052,"16,387.50"
30/04/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR YI PATEL & PARTNERS,31813052,"118,390.37"
30/04/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR YI PATEL & PARTNERS,31813052,"1,882.00"
30/04/2020,C&M-PMS PCO Doctors Ret Scheme,PRC DELEGATED CO-COMMISSIONING,DR YI PATEL & PARTNERS,31813052,999.96
30/04/2020,C&M-PMS PCO Locum Adop/Pat/Mat,PRC DELEGATED CO-COMMISSIONING,DR YI PATEL & PARTNERS,31813052,"1,600.00"
30/04/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR YI PATEL & PARTNERS,31813052,"10,833.33"
30/04/2020,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,E12 HEALTH CENTRE,31813053,"1,220.20"
30/04/2020,C&M-PMS Contract KPIs,PRC DELEGATED CO-COMMISSIONING,E12 HEALTH CENTRE,31813053,"16,843.21"
30/04/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,E12 HEALTH CENTRE,31813053,"106,316.98"
30/04/2020,C&M-PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,E12 HEALTH CENTRE,31813053,"5,040.00"
30/04/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,E12 HEALTH CENTRE,31813053,"1,935.14"
30/04/2020,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,GRAHAM PRACTICE,31813054,"3,364.67"
30/04/2020,C&M-PMS Contract KPIs,PRC DELEGATED CO-COMMISSIONING,GRAHAM PRACTICE,31813054,"13,374.89"
30/04/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,GRAHAM PRACTICE,31813054,"84,836.13"
30/04/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,GRAHAM PRACTICE,31813054,"1,530.66"
30/04/2020,C&M-PMS Contract KPIs,PRC DELEGATED CO-COMMISSIONING,GLEN ROAD MEDICAL CENTRE,31813055,"11,105.10"
30/04/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,GLEN ROAD MEDICAL CENTRE,31813055,"63,602.30"
30/04/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,GLEN ROAD MEDICAL CENTRE,31813055,"1,265.95"
30/04/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,GLEN ROAD MEDICAL CENTRE,31813055,"6,375.00"
30/04/2020,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,MARKET STREET HEALTH GROUP,31813056,"2,788.30"
30/04/2020,C&M-PMS Contract KPIs,PRC DELEGATED CO-COMMISSIONING,MARKET STREET HEALTH GROUP,31813056,"16,591.85"
30/04/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,MARKET STREET HEALTH GROUP,31813056,"100,927.39"
30/04/2020,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,MARKET STREET HEALTH GROUP,31813056,"8,131.24"
30/04/2020,C&M-PMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,MARKET STREET HEALTH GROUP,31813056,"4,048.80"
30/04/2020,C&M-PMS PCN DES PCN support,LOCAL ENHANCED SERVICES,MARKET STREET HEALTH GROUP,31813056,"8,293.00"
30/04/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,MARKET STREET HEALTH GROUP,31813056,"1,905.83"
30/04/2020,C&M-PMS Prem Cost Rent,PRC DELEGATED CO-COMMISSIONING,MARKET STREET HEALTH GROUP,31813056,"14,565.92"
30/04/2020,ME-PMS GP Pension EEs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,MARKET STREET HEALTH GROUP,31813056,"5,256.24"
30/04/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,MARKET STREET HEALTH GROUP,31813056,"5,212.74"
30/04/2020,C&M-PMS Contract KPIs,PRC DELEGATED CO-COMMISSIONING,NEWHAM MEDICAL CENTRE,31813057,"11,627.96"
30/04/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NEWHAM MEDICAL CENTRE,31813057,"74,665.35"
30/04/2020,C&M-PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,NEWHAM MEDICAL CENTRE,31813057,280
30/04/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,NEWHAM MEDICAL CENTRE,31813057,"1,326.93"
30/04/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NEWHAM MEDICAL CENTRE,31813057,"6,782.75"
30/04/2020,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,PROJECT SURGERY,31813058,"1,133.86"
30/04/2020,C&M-PMS Contract KPIs,PRC DELEGATED CO-COMMISSIONING,PROJECT SURGERY,31813058,"6,132.33"
30/04/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,PROJECT SURGERY,31813058,"36,354.01"
30/04/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,PROJECT SURGERY,31813058,686.01
30/04/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,PROJECT SURGERY,31813058,"1,773.33"
30/04/2020,C&M-PMS Contract KPIs,PRC DELEGATED CO-COMMISSIONING,SANGAM GP SURGERY,31813059,"13,709.44"
30/04/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,SANGAM GP SURGERY,31813059,"87,154.37"
30/04/2020,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,SANGAM GP SURGERY,31813059,"3,732.94"
30/04/2020,C&M-PMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,SANGAM GP SURGERY,31813059,"1,745.89"
30/04/2020,C&M-PMS PCN DES PCN support,LOCAL ENHANCED SERVICES,SANGAM GP SURGERY,31813059,"3,821.25"
30/04/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,SANGAM GP SURGERY,31813059,"1,569.67"
30/04/2020,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,SANGAM GP SURGERY,31813059,"3,591.67"
30/04/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,SANGAM GP SURGERY,31813059,"2,109.27"
30/04/2020,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,ROYAL DOCKS MEDICAL PRACTICE,31813060,"2,078.21"
30/04/2020,C&M-PMS Contract KPIs,PRC DELEGATED CO-COMMISSIONING,ROYAL DOCKS MEDICAL PRACTICE,31813060,"12,423.32"
30/04/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ROYAL DOCKS MEDICAL PRACTICE,31813060,"79,824.96"
30/04/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ROYAL DOCKS MEDICAL PRACTICE,31813060,"1,419.68"
30/04/2020,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,SHREWSBURY ROAD SURGERY,31813061,"2,738.87"
30/04/2020,C&M-PMS Contract KPIs,PRC DELEGATED CO-COMMISSIONING,SHREWSBURY ROAD SURGERY,31813061,"16,778.07"
30/04/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,SHREWSBURY ROAD SURGERY,31813061,"109,210.07"
30/04/2020,C&M-PMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,SHREWSBURY ROAD SURGERY,31813061,"20,340.96"
30/04/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,SHREWSBURY ROAD SURGERY,31813061,"1,927.55"
30/04/2020,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,ST BARTHOLOMEWS SURGERY,31813062,"2,434.42"
30/04/2020,C&M-PMS Contract KPIs,PRC DELEGATED CO-COMMISSIONING,ST BARTHOLOMEWS SURGERY,31813062,"12,873.96"
30/04/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ST BARTHOLOMEWS SURGERY,31813062,"78,222.73"
30/04/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ST BARTHOLOMEWS SURGERY,31813062,"1,472.24"
30/04/2020,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,STRATFORD HEALTH CENTRE,31813063,"1,379.67"
30/04/2020,C&M-PMS Contract KPIs,PRC DELEGATED CO-COMMISSIONING,STRATFORD HEALTH CENTRE,31813063,"8,670.89"
30/04/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,STRATFORD HEALTH CENTRE,31813063,"55,551.08"
30/04/2020,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,STRATFORD HEALTH CENTRE,31813063,"3,879.11"
30/04/2020,C&M-PMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,STRATFORD HEALTH CENTRE,31813063,"1,931.53"
30/04/2020,C&M-PMS PCN DES PCN support,LOCAL ENHANCED SERVICES,STRATFORD HEALTH CENTRE,31813063,"3,897.88"
30/04/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,STRATFORD HEALTH CENTRE,31813063,982.07
30/04/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,STRATFORD HEALTH CENTRE,31813063,"7,450.00"
30/04/2020,C&M-PMS Contract KPIs,PRC DELEGATED CO-COMMISSIONING,STAR LANE MEDICAL CENTRE,31813064,"25,484.63"
30/04/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,STAR LANE MEDICAL CENTRE,31813064,"164,602.19"
30/04/2020,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,STAR LANE MEDICAL CENTRE,31813064,"5,991.76"
30/04/2020,C&M-PMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,STAR LANE MEDICAL CENTRE,31813064,"2,983.48"
30/04/2020,C&M-PMS PCN DES PCN support,LOCAL ENHANCED SERVICES,STAR LANE MEDICAL CENTRE,31813064,"6,150.63"
30/04/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,STAR LANE MEDICAL CENTRE,31813064,"2,942.93"
30/04/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,STAR LANE MEDICAL CENTRE,31813064,"17,441.67"
30/04/2020,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,TOLLGATE MEDICAL CENTRE,31813065,"4,293.84"
30/04/2020,C&M-PMS Contract KPIs,PRC DELEGATED CO-COMMISSIONING,TOLLGATE MEDICAL CENTRE,31813065,"21,772.87"
30/04/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,TOLLGATE MEDICAL CENTRE,31813065,"135,068.01"
30/04/2020,C&M-PMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,TOLLGATE MEDICAL CENTRE,31813065,"1,320.60"
30/04/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,TOLLGATE MEDICAL CENTRE,31813065,"2,510.05"
30/04/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,TOLLGATE MEDICAL CENTRE,31813065,"14,491.67"
30/04/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,TOLLGATE MEDICAL CENTRE,31813065,"2,218.67"
30/04/2020,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,UPTON LANE MEDICAL CENTRE,31813066,"1,996.65"
30/04/2020,C&M-PMS Contract KPIs,PRC DELEGATED CO-COMMISSIONING,UPTON LANE MEDICAL CENTRE,31813066,"9,756.66"
30/04/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,UPTON LANE MEDICAL CENTRE,31813066,"60,197.68"
30/04/2020,C&M-PMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,UPTON LANE MEDICAL CENTRE,31813066,968.44
30/04/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,UPTON LANE MEDICAL CENTRE,31813066,"1,108.69"
30/04/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,UPTON LANE MEDICAL CENTRE,31813066,"6,145.83"
30/04/2020,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,LANTERN HEALTH CIC,31813067,"140,835.68"
30/04/2020,C&M-APMS OOH Opt Outs,PRC DELEGATED CO-COMMISSIONING,LANTERN HEALTH CIC,31813067,24.03
30/04/2020,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,LANTERN HEALTH CIC,31813067,"2,201.62"
30/04/2020,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,LIBERTY BRIDGE ROAD PRACTICE,31813068,"143,064.23"
30/04/2020,C&M-APMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,LIBERTY BRIDGE ROAD PRACTICE,31813068,"5,140.13"
30/04/2020,C&M-APMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,LIBERTY BRIDGE ROAD PRACTICE,31813068,"2,559.43"
30/04/2020,C&M-APMS PCN DES PCN support,LOCAL ENHANCED SERVICES,LIBERTY BRIDGE ROAD PRACTICE,31813068,"5,023.50"
30/04/2020,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,LIBERTY BRIDGE ROAD PRACTICE,31813068,"2,049.59"
30/04/2020,C&M-APMS Prem Service Charges,PRC DELEGATED CO-COMMISSIONING,LIBERTY BRIDGE ROAD PRACTICE,31813068,"14,108.84"
30/04/2020,C&M-APMS Contract KPIs,PRC DELEGATED CO-COMMISSIONING,AT MEDICS ALBERT ROAD,31813069,"2,200.68"
30/04/2020,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,AT MEDICS ALBERT ROAD,31813069,"107,596.70"
30/04/2020,C&M-APMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,AT MEDICS ALBERT ROAD,31813069,"5,125.63"
30/04/2020,C&M-APMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,AT MEDICS ALBERT ROAD,31813069,"2,552.21"
30/04/2020,C&M-APMS PCN DES PCN support,LOCAL ENHANCED SERVICES,AT MEDICS ALBERT ROAD,31813069,"5,061.63"
30/04/2020,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,AT MEDICS ALBERT ROAD,31813069,"1,810.93"
30/04/2020,C&M-PMS Contract KPIs,PRC DELEGATED CO-COMMISSIONING,DR MSJ KHAN - BOLEYN MEDICAL CENTRE,31813070,"11,671.61"
30/04/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR MSJ KHAN - BOLEYN MEDICAL CENTRE,31813070,"77,562.94"
30/04/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR MSJ KHAN - BOLEYN MEDICAL CENTRE,31813070,"1,332.02"
30/04/2020,C&M-APMS Contract KPIs,PRC DELEGATED CO-COMMISSIONING,AT MEDICS (LUCAS AVENUE),31813071,859.48
30/04/2020,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,AT MEDICS (LUCAS AVENUE),31813071,"42,022.11"
30/04/2020,C&M-APMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,AT MEDICS (LUCAS AVENUE),31813071,"3,735.44"
