Department Family,Entity,Date Paid,Expense Type,Expenses Area,Supplier Name,Transaction Reference,amount
Department of Health,Imperial College Healthcare NHS Trust,02/07/2020,Jac - Stock,Balance Sheet St Marys,Aah Pharmaceuticals Limited,4212851,31037.23
Department of Health,Imperial College Healthcare NHS Trust,02/07/2020,Jac - Stock,Balance Sheet St Marys,Aah Pharmaceuticals Limited,4215170,33966.58
Department of Health,Imperial College Healthcare NHS Trust,02/07/2020,Jac - Stock,Balance Sheet St Marys,Polar Speed Distribution Ltd,4215261,26649
Department of Health,Imperial College Healthcare NHS Trust,02/07/2020,Jac - Stock,Balance Sheet St Marys,Qualasept Ltd,4214026,339243.78
Department of Health,Imperial College Healthcare NHS Trust,02/07/2020,Jac - Stock,Balance Sheet St Marys,Roche Products Ltd,4213196,148704
Department of Health,Imperial College Healthcare NHS Trust,02/07/2020,Jac - Stock,Balance Sheet St Marys,Roche Products Ltd,4215330,148704
Department of Health,Imperial College Healthcare NHS Trust,02/07/2020,Laboratory Chemicals/ Reagents,Pathology,Life Technologies Ltd,30333,57025.37
Department of Health,Imperial College Healthcare NHS Trust,02/07/2020,Med & Surg Equip General,Pandemic Planning,Simon Jersey Ltd,4214511,85800
Department of Health,Imperial College Healthcare NHS Trust,02/07/2020,Med & Surg Equip Leases,Estates Directorate,Arjo Uk Ltd,4213336,93429.47
Department of Health,Imperial College Healthcare NHS Trust,02/07/2020,Med & Surg Equip Repair,Div Of Women & Clin Support,Ge Medical Systems Limited,4208977,66795.12
Department of Health,Imperial College Healthcare NHS Trust,02/07/2020,Other Transport Costs,Estates Directorate,Dhl Supply Chain  (Former Excel),4192685,32990.78
Department of Health,Imperial College Healthcare NHS Trust,02/07/2020,Other Transport Costs,Estates Directorate,Dhl Supply Chain  (Former Excel),4209935,32990.78
Department of Health,Imperial College Healthcare NHS Trust,02/07/2020,Other Transport Costs,Estates Directorate,Dhl Supply Chain  (Former Excel),4210771,32990.78
Department of Health,Imperial College Healthcare NHS Trust,02/07/2020,Service Charge,Div Of Women & Clin Support,Soliton It Ltd,4209107,41166.66
Department of Health,Imperial College Healthcare NHS Trust,02/07/2020,Stents,"Div Of Surg, Cardiov & Cancer",Cook Uk Ltd,4215977,46080
Department of Health,Imperial College Healthcare NHS Trust,02/07/2020,Thames Valley Housing Assoc,Ichnt Balance Sheet,Metropolitan Thames Valley,4215955,101819.12
Department of Health,Imperial College Healthcare NHS Trust,02/07/2020,Training Expenses,Information & Comms Technology,Xerox (Uk) Ltd,4173713,33535.66
Department of Health,Imperial College Healthcare NHS Trust,02/07/2020,Training Expenses,Information & Comms Technology,Xerox (Uk) Ltd,4173867,39021.28
Department of Health,Imperial College Healthcare NHS Trust,02/07/2020,Training Expenses,Information & Comms Technology,Xerox (Uk) Ltd,4193719,31651.57
Department of Health,Imperial College Healthcare NHS Trust,02/07/2020,Training Expenses,Information & Comms Technology,Xerox (Uk) Ltd,4193728,38877.58
Department of Health,Imperial College Healthcare NHS Trust,02/07/2020,Training Expenses,Information & Comms Technology,Xerox (Uk) Ltd,4200916,30779.64
Department of Health,Imperial College Healthcare NHS Trust,02/07/2020,Gbs - Main Bank Account,Ichnt Balance Sheet,London Borough Hammersmith & Fulham,4211312,205200
Department of Health,Imperial College Healthcare NHS Trust,02/07/2020,Gbs - Main Bank Account,Ichnt Balance Sheet,London Borough Hammersmith & Fulham,4211313,192375
Department of Health,Imperial College Healthcare NHS Trust,03/07/2020,Protective Clothing,Pandemic Planning,Stream Republic Ltd,4217093,46000
Department of Health,Imperial College Healthcare NHS Trust,03/07/2020,Rates,Estates Directorate,London Borough Hammersmith & Fulham,4217075,192375
Department of Health,Imperial College Healthcare NHS Trust,03/07/2020,Rates,Estates Directorate,London Borough Hammersmith & Fulham,4217076,205200
Department of Health,Imperial College Healthcare NHS Trust,07/07/2020,Bldg/Eng Equip Maint/Rep,Estates Directorate,Cbre Managed Services Ltd,4216740,506232.81
Department of Health,Imperial College Healthcare NHS Trust,07/07/2020,Childcare Voucher (Kids Unltd),Ichnt Balance Sheet,Sodexo Motivation Solutions Uk Ltd,4214340,34622
Department of Health,Imperial College Healthcare NHS Trust,07/07/2020,Computer Software/License,Information & Comms Technology,Varian Medical Systems Uk Ltd,4213599,52354.8
Department of Health,Imperial College Healthcare NHS Trust,07/07/2020,Consultancy Fees,Office Of Chief Executive,The Boston Consulting Group Uk Llp,4217106,30840
Department of Health,Imperial College Healthcare NHS Trust,07/07/2020,Cy Auc -Addns-Bd Purchased,Capital Summary,Cbre Managed Services Ltd,4216740,210416.87
Department of Health,Imperial College Healthcare NHS Trust,07/07/2020,Cy Auc -Addns-Bd Purchased,Capital Summary,Servol Ltd,4215516,103674
Department of Health,Imperial College Healthcare NHS Trust,07/07/2020,Cy Auc -Addns- P & M-Purchased,Capital Summary,Supply Chain Coordination Ltd (Sccl) ( 905),4217295,40969.43
Department of Health,Imperial College Healthcare NHS Trust,07/07/2020,Cy Auc -Addns- Prof Fee)-Purch,Capital Summary,Aecom,4215509,122428.5
Department of Health,Imperial College Healthcare NHS Trust,07/07/2020,Cy Auc -Addns- Prof Fee)-Purch,Capital Summary,The Boston Consulting Group Uk Llp,4217104,108000
Department of Health,Imperial College Healthcare NHS Trust,07/07/2020,Cy Auc -Addns- Prof Fee)-Purch,Capital Summary,The Boston Consulting Group Uk Llp,4217105,49350
Department of Health,Imperial College Healthcare NHS Trust,07/07/2020,Drugs Pbr Excluded,"Div Of Surg, Cardiov & Cancer",Healthcare At Home Ltd,4209186,29345
Department of Health,Imperial College Healthcare NHS Trust,07/07/2020,Ext Contr Logistics,Finance Directorate,Eleanor Hospital Logistics Ltd,4217099,154313.76
Department of Health,Imperial College Healthcare NHS Trust,07/07/2020,Home Electronics Cr,Ichnt Balance Sheet,Northumbria Healthcare Nhs Foundation Trust,4214303,35217.13
Department of Health,Imperial College Healthcare NHS Trust,07/07/2020,Home Electronics Cr,Ichnt Balance Sheet,Northumbria Healthcare Nhs Foundation Trust,4214307,29676.79
Department of Health,Imperial College Healthcare NHS Trust,07/07/2020,Home Electronics Cr,Ichnt Balance Sheet,Northumbria Healthcare Nhs Foundation Trust,4214308,25656.64
Department of Health,Imperial College Healthcare NHS Trust,07/07/2020,Jac - Stock,Balance Sheet St Marys,Bayer Plc,4215703,48816.4
Department of Health,Imperial College Healthcare NHS Trust,07/07/2020,Jac - Stock,Balance Sheet St Marys,Qualasept Ltd,4217951,34475.28
Department of Health,Imperial College Healthcare NHS Trust,07/07/2020,Jac - Stock,Balance Sheet St Marys,Roche Products Ltd,4217987,111528
Department of Health,Imperial College Healthcare NHS Trust,07/07/2020,Med & Prof Fees (Imaging Cons),Ichnt Balance Sheet,Lindo Wing Radiology Llp,4217189,27421.53
Department of Health,Imperial College Healthcare NHS Trust,07/07/2020,Med & Surg Equip General,"Div Of Surg, Cardiov & Cancer",Karl Storz Endoscopy (Uk) Ltd,4217040,67990.8
Department of Health,Imperial College Healthcare NHS Trust,07/07/2020,Nhs Pay Recharge In: Med,Div Of Med & Integrated Care,Chelsea And  Westminster Hospital Nhs Ft,4165330,162110
Department of Health,Imperial College Healthcare NHS Trust,07/07/2020,Organ Donor Expenses,Div Of Women & Clin Support,The Anthony Nolan Trust,4163638,39777.26
Department of Health,Imperial College Healthcare NHS Trust,07/07/2020,Other Research Exp - Non-Pay,Medical Director Summary,Great Ormond Street Hosp For Children Nhs Ft,4194904,62010
Department of Health,Imperial College Healthcare NHS Trust,07/07/2020,Other Research Exp - Non-Pay,Rd Medical Directorate,Central London Healthcare Cic,4217260,60169
Department of Health,Imperial College Healthcare NHS Trust,07/07/2020,Other Research Exp - Non-Pay,Rd Medical Directorate,Ealing Gp Limited,4217264,120901
Department of Health,Imperial College Healthcare NHS Trust,07/07/2020,Other Research Exp - Non-Pay,Rd Medical Directorate,Gp Direct,4217262,61588.78
Department of Health,Imperial College Healthcare NHS Trust,07/07/2020,Other Research Exp - Non-Pay,Rd Medical Directorate,H And Fgpf Limited,4217261,60849.4
Department of Health,Imperial College Healthcare NHS Trust,07/07/2020,Other Research Exp - Non-Pay,Rd Medical Directorate,Harness Care Co-Operative Limited,4217263,61000.8
Department of Health,Imperial College Healthcare NHS Trust,07/07/2020,Other Research Exp - Non-Pay,Rd Medical Directorate,Hillingdon Primary Care Confederation,4217266,61684
Department of Health,Imperial College Healthcare NHS Trust,07/07/2020,Other Research Exp - Non-Pay,Rd Medical Directorate,Kilburn Primary Care Co-Op Limited,4217257,40169
Department of Health,Imperial College Healthcare NHS Trust,07/07/2020,Other Research Exp - Non-Pay,Rd Medical Directorate,K&W Healthcare Ltd,4217258,61184.5
Department of Health,Imperial College Healthcare NHS Trust,07/07/2020,Other Research Exp - Non-Pay,Rd Medical Directorate,London Medical Associates Ltd,4217265,61504.7
Department of Health,Imperial College Healthcare NHS Trust,07/07/2020,Other Transport Costs,Pathology,Dhl Supply Chain  (Former Excel),30208,132708.08
Department of Health,Imperial College Healthcare NHS Trust,07/07/2020,Other Transport Costs,Pathology,Dhl Supply Chain  (Former Excel),30211,70303.82
Department of Health,Imperial College Healthcare NHS Trust,07/07/2020,Other Transport Costs,Pathology,Dhl Supply Chain  (Former Excel),30228,70303.82
Department of Health,Imperial College Healthcare NHS Trust,07/07/2020,Phone Rental And Calls,Information & Comms Technology,Virgin Media Business  Ltd,4217115,49551.67
Department of Health,Imperial College Healthcare NHS Trust,07/07/2020,Rent,Estates Directorate,Metropolitan Thames Valley,4216063,47211.66
Department of Health,Imperial College Healthcare NHS Trust,07/07/2020,Rent,Estates Directorate,Metropolitan Thames Valley,4216066,47211.66
Department of Health,Imperial College Healthcare NHS Trust,07/07/2020,Supplies Issues Recharges,Ichnt Balance Sheet,Supply Chain Coordination Ltd (Sccl) ( 101),4211115,95334.56
Department of Health,Imperial College Healthcare NHS Trust,07/07/2020,Supplies Issues Recharges,Ichnt Balance Sheet,Supply Chain Coordination Ltd (Sccl) ( 101),4211116,64325.57
Department of Health,Imperial College Healthcare NHS Trust,07/07/2020,Supplies Issues Recharges,Ichnt Balance Sheet,Supply Chain Coordination Ltd (Sccl) ( 101),4211117,97228.43
Department of Health,Imperial College Healthcare NHS Trust,07/07/2020,Supplies Issues Recharges,Ichnt Balance Sheet,Supply Chain Coordination Ltd (Sccl) ( 101),4214220,98543.2
Department of Health,Imperial College Healthcare NHS Trust,07/07/2020,Supplies Issues Recharges,Ichnt Balance Sheet,Supply Chain Coordination Ltd (Sccl) ( 101),4214221,73467.11
Department of Health,Imperial College Healthcare NHS Trust,08/07/2020,Med & Surg Equip General,Pandemic Planning,Stream Republic Ltd,4219108,184000
Department of Health,Imperial College Healthcare NHS Trust,09/07/2020,Cy Auc -Addns- Prof Fee)-Purch,Capital Summary,Savills (Uk) Limited,4217097,34758.6
Department of Health,Imperial College Healthcare NHS Trust,09/07/2020,Equip Maint Contracts,Div Of Women & Clin Support,Jayex Technology Limited,4200606,40020
Department of Health,Imperial College Healthcare NHS Trust,09/07/2020,Equip Maint Contracts,Div Of Women & Clin Support,Jayex Technology Limited,4211146,52069.44
Department of Health,Imperial College Healthcare NHS Trust,09/07/2020,Ext Contr Hotel Srvcs - Pp,Pandemic Planning,Dorsett London Hotel Limited,4210380,45705
Department of Health,Imperial College Healthcare NHS Trust,09/07/2020,Ext Contr Hotel Srvcs - Pp,Pandemic Planning,Dorsett London Hotel Limited,4210381,42090
Department of Health,Imperial College Healthcare NHS Trust,09/07/2020,Ext Contr Hotel Srvcs - Pp,Pandemic Planning,Dorsett London Hotel Limited,4210382,63970
Department of Health,Imperial College Healthcare NHS Trust,09/07/2020,Ext Contr Hotel Srvcs - Pp,Pandemic Planning,Dorsett London Hotel Limited,4210384,80761.9
Department of Health,Imperial College Healthcare NHS Trust,09/07/2020,Ext Contr Hotel Srvcs - Pp,Pandemic Planning,Dorsett London Hotel Limited,4210386,87285
Department of Health,Imperial College Healthcare NHS Trust,09/07/2020,Ext Contr Hotel Srvcs - Pp,Pandemic Planning,Dorsett London Hotel Limited,4210393,80178
Department of Health,Imperial College Healthcare NHS Trust,09/07/2020,Ext Contr Hotel Srvcs - Pp,Pandemic Planning,Dorsett London Hotel Limited,4210396,89424
Department of Health,Imperial College Healthcare NHS Trust,09/07/2020,Ext Contr Hotel Srvcs - Pp,Pandemic Planning,Dorsett London Hotel Limited,4210509,89424
Department of Health,Imperial College Healthcare NHS Trust,09/07/2020,Interpreting Services,Div Of Women & Clin Support,Oncall Interpreters Ltd [Cw],4173790,31455.22
Department of Health,Imperial College Healthcare NHS Trust,09/07/2020,Phone Instal & Maint,Information & Comms Technology,M&S Medicom,4217841,47224.2
Department of Health,Imperial College Healthcare NHS Trust,14/07/2020,Bldg/Eng Equip Maint/Rep,Estates Directorate,Cbre Managed Services Ltd,4220161,101738.2
Department of Health,Imperial College Healthcare NHS Trust,14/07/2020,Car Salary Sacrifice,Ichnt Balance Sheet,Tuskerdirect Ltd,4217668,60982.72
Department of Health,Imperial College Healthcare NHS Trust,14/07/2020,Computer Hardware Purch,Information & Comms Technology,Optimus It Infra Ltd,4209157,53818.94
Department of Health,Imperial College Healthcare NHS Trust,14/07/2020,Computer Maintenance,Private Patients Directorate,Streets Heaver Computer Systems,4214685,49447.12
Department of Health,Imperial College Healthcare NHS Trust,14/07/2020,Computer Software/License,"Div Of Surg, Cardiov & Cancer",Aquisition Systems,4217595,33210
Department of Health,Imperial College Healthcare NHS Trust,14/07/2020,Cy Auc -Addns-Bd Purchased,Capital Summary,Cbre Managed Services Ltd,4220161,1264551
Department of Health,Imperial College Healthcare NHS Trust,14/07/2020,Cy Auc -Addns- Prof Fee)-Purch,Capital Summary,Aecom,4218907,104145
Department of Health,Imperial College Healthcare NHS Trust,14/07/2020,Drugs Nhs,Div Of Women & Clin Support,Lloyds Retail Chemists Ltd,4217823,2439499.89
Department of Health,Imperial College Healthcare NHS Trust,14/07/2020,Electricity,Estates Directorate,Edf Energy Customer Plc,4220870,109293.05
Department of Health,Imperial College Healthcare NHS Trust,14/07/2020,Electricity,Estates Directorate,Edf Energy Customer Plc,4220872,318898.94
Department of Health,Imperial College Healthcare NHS Trust,14/07/2020,Electricity,Estates Directorate,Edf Energy Customer Plc,4220875,299205.27
Department of Health,Imperial College Healthcare NHS Trust,14/07/2020,Electricity,Estates Directorate,Edf Energy Customer Plc,4220876,38819.57
Department of Health,Imperial College Healthcare NHS Trust,14/07/2020,Equip Maint Contracts,Estates Directorate,Cbre Managed Services Ltd,4214223,36616.07
Department of Health,Imperial College Healthcare NHS Trust,14/07/2020,Isotopes,Div Of Women & Clin Support,Curium Pharma Uk Ltd,4184750,49752
Department of Health,Imperial College Healthcare NHS Trust,14/07/2020,Jac - Stock,Balance Sheet St Marys,Aah Pharmaceuticals Limited,4220719,33075.84
Department of Health,Imperial College Healthcare NHS Trust,14/07/2020,Jac - Stock,Balance Sheet St Marys,Alexion Pharma Uk Ltd,4220713,60480
Department of Health,Imperial College Healthcare NHS Trust,14/07/2020,Jac - Stock,Balance Sheet St Marys,Bayer Plc,4219495,30111.05
Department of Health,Imperial College Healthcare NHS Trust,14/07/2020,Jac - Stock,Balance Sheet St Marys,Bms Pharmaceuticals Ltd (0034),4221190,45000
Department of Health,Imperial College Healthcare NHS Trust,14/07/2020,Jac - Stock,Balance Sheet St Marys,Janssen-Cilag Ltd,4219508,43130.88
Department of Health,Imperial College Healthcare NHS Trust,14/07/2020,Jac - Stock,Balance Sheet St Marys,Qualasept Ltd,4220337,66336.84
Department of Health,Imperial College Healthcare NHS Trust,14/07/2020,Jac - Stock,Balance Sheet St Marys,Qualasept Ltd,4221164,68043.78
Department of Health,Imperial College Healthcare NHS Trust,14/07/2020,Jac - Stock,Balance Sheet St Marys,Roche Products Ltd,4220402,116061.79
Department of Health,Imperial College Healthcare NHS Trust,14/07/2020,Other Miscellaneous,Div Of Med & Integrated Care,London Central & West Unscheduled Care Collab,4199656,36195.54
Department of Health,Imperial College Healthcare NHS Trust,14/07/2020,Other Miscellaneous,Div Of Med & Integrated Care,London Central & West Unscheduled Care Collab,4199671,33577.54
Department of Health,Imperial College Healthcare NHS Trust,14/07/2020,Protective Clothing,Pandemic Planning,Dunelm ( Soft Furnishings ) Ltd,4211137,196800
Department of Health,Imperial College Healthcare NHS Trust,16/07/2020,Computer Maintenance,Information & Comms Technology,Cerner Ltd,4202181,40308.84
Department of Health,Imperial College Healthcare NHS Trust,16/07/2020,Computer Software/License,Information & Comms Technology,Patients Know Best Limited,4217810,336450
Department of Health,Imperial College Healthcare NHS Trust,16/07/2020,Cy Auc -Addns- It Eqpt-Addns,Capital Summary,European Electronique Ltd,4217124,196080
Department of Health,Imperial College Healthcare NHS Trust,16/07/2020,Dialysers,Div Of Med & Integrated Care,Nxstage Medical Uk Ltd,4214566,29934.92
Department of Health,Imperial College Healthcare NHS Trust,16/07/2020,Ext Contr Hotel Srvcs - Pp,Pandemic Planning,Hilton London Metropole,4209139,81312
Department of Health,Imperial College Healthcare NHS Trust,16/07/2020,Laboratory Test Kits,Pathology,Cepheid Uk Ltd,30544,30241.2
Department of Health,Imperial College Healthcare NHS Trust,17/07/2020,Ext Contr Catering,Div Of Med & Integrated Care,Sodexo Limited,4182925,51343.76
Department of Health,Imperial College Healthcare NHS Trust,17/07/2020,Ext Contr Catering,Div Of Med & Integrated Care,Sodexo Limited,4182931,51343.78
Department of Health,Imperial College Healthcare NHS Trust,17/07/2020,Ext Contr Catering,Div Of Med & Integrated Care,Sodexo Limited,4196456,51343.76
Department of Health,Imperial College Healthcare NHS Trust,17/07/2020,Ext Contr Catering,Estates Directorate,Sodexo Limited,4172843,205637.64
Department of Health,Imperial College Healthcare NHS Trust,17/07/2020,Ext Contr Catering,Estates Directorate,Sodexo Limited,4182925,30523.17
Department of Health,Imperial College Healthcare NHS Trust,17/07/2020,Ext Contr Catering,Estates Directorate,Sodexo Limited,4182931,33586.46
Department of Health,Imperial College Healthcare NHS Trust,17/07/2020,Ext Contr Catering,Private Patients Directorate,Sodexo Limited,4192867,109390.69
Department of Health,Imperial College Healthcare NHS Trust,17/07/2020,Ext Contr Catering,Private Patients Directorate,Sodexo Limited,4192871,109390.69
Department of Health,Imperial College Healthcare NHS Trust,17/07/2020,Ext Contr Domestics,Div Of Med & Integrated Care,Sodexo Limited,4182925,45660.26
Department of Health,Imperial College Healthcare NHS Trust,17/07/2020,Ext Contr Domestics,Div Of Med & Integrated Care,Sodexo Limited,4182931,45902.28
Department of Health,Imperial College Healthcare NHS Trust,17/07/2020,Ext Contr Domestics,Div Of Med & Integrated Care,Sodexo Limited,4196456,47337.14
Department of Health,Imperial College Healthcare NHS Trust,17/07/2020,Ext Contr Domestics,"Div Of Surg, Cardiov & Cancer",Sodexo Limited,4196456,38334.64
Department of Health,Imperial College Healthcare NHS Trust,17/07/2020,Ext Contr Domestics,Estates Directorate,Sodexo Limited,4172843,88330.49
Department of Health,Imperial College Healthcare NHS Trust,17/07/2020,Ext Contr Domestics,Estates Directorate,Sodexo Limited,4199182,243834.76
Department of Health,Imperial College Healthcare NHS Trust,17/07/2020,Ext Contr Domestics,Estates Directorate,Sodexo Limited,4199185,254489.8
Department of Health,Imperial College Healthcare NHS Trust,17/07/2020,Ext Contr Domestics,Estates Directorate,Sodexo Limited,4199186,443377.26
Department of Health,Imperial College Healthcare NHS Trust,17/07/2020,Ext Contr Domestics,Estates Directorate,Sodexo Limited,4199190,49942.38
Department of Health,Imperial College Healthcare NHS Trust,17/07/2020,Ext Contr Domestics,Estates Directorate,Sodexo Limited,4199191,44553.84
Department of Health,Imperial College Healthcare NHS Trust,17/07/2020,Ext Contr Domestics,Estates Directorate,Sodexo Limited,4199192,47805.5
Department of Health,Imperial College Healthcare NHS Trust,17/07/2020,Ext Contr Domestics,Private Patients Directorate,Sodexo Limited,4192867,33482.42
Department of Health,Imperial College Healthcare NHS Trust,17/07/2020,Ext Contr Domestics,Private Patients Directorate,Sodexo Limited,4192871,33482.42
Department of Health,Imperial College Healthcare NHS Trust,17/07/2020,Hospitality,Estates Directorate,Sodexo Limited,4182928,286830
Department of Health,Imperial College Healthcare NHS Trust,17/07/2020,Hospitality,Estates Directorate,Sodexo Limited,4182929,270174
Department of Health,Imperial College Healthcare NHS Trust,17/07/2020,Hospitality,Estates Directorate,Sodexo Limited,4182932,318670.8
Department of Health,Imperial College Healthcare NHS Trust,17/07/2020,Rates,Estates Directorate,City Of Westminster,4223240,159904
Department of Health,Imperial College Healthcare NHS Trust,20/07/2020,Income Tax Paye,Ichnt Balance Sheet,Hmrc Government Employers Account,4221108,17793311.03
Department of Health,Imperial College Healthcare NHS Trust,21/07/2020,Bldg/Eng Equip Maint/Rep,Estates Directorate,Cbre Managed Services Ltd,4223232,58401.76
Department of Health,Imperial College Healthcare NHS Trust,21/07/2020,Blood Products,Pathology,Nhs Blood And Transplant,29494,329433.15
Department of Health,Imperial College Healthcare NHS Trust,21/07/2020,Blood Products,Pathology,Nhs Blood And Transplant,29495,66563.51
Department of Health,Imperial College Healthcare NHS Trust,21/07/2020,Blood Products,Pathology,Nhs Blood And Transplant,29499,164673.89
Department of Health,Imperial College Healthcare NHS Trust,21/07/2020,Blood Products,Pathology,Nhs Blood And Transplant,30105,164673.89
Department of Health,Imperial College Healthcare NHS Trust,21/07/2020,Blood Products,Pathology,Nhs Blood And Transplant,30109,329433.15
Department of Health,Imperial College Healthcare NHS Trust,21/07/2020,Blood Products,Pathology,Nhs Blood And Transplant,30757,329433.15
Department of Health,Imperial College Healthcare NHS Trust,21/07/2020,Blood Products,Pathology,Nhs Blood And Transplant,30760,66563.51
Department of Health,Imperial College Healthcare NHS Trust,21/07/2020,Blood Products,Pathology,Nhs Blood And Transplant,30761,164673.89
Department of Health,Imperial College Healthcare NHS Trust,21/07/2020,Clinical Managed Service Contr,Pathology,Genmed.Me Ltd,30723,160920.85
Department of Health,Imperial College Healthcare NHS Trust,21/07/2020,Clinical Managed Service Contr,Pathology,Genmed.Me Ltd,30724,224520.85
Department of Health,Imperial College Healthcare NHS Trust,21/07/2020,Computer Hardware Purch,Information & Comms Technology,Optimus It Infra Ltd,4203380,81556.5
Department of Health,Imperial College Healthcare NHS Trust,21/07/2020,Computer Hardware Purch,Information & Comms Technology,Optimus It Infra Ltd,4209207,77054.08
Department of Health,Imperial College Healthcare NHS Trust,21/07/2020,Computer Hardware Purch,Information & Comms Technology,Optimus It Infra Ltd,4217875,31762.5
Department of Health,Imperial College Healthcare NHS Trust,21/07/2020,Computer Maintenance,Information & Comms Technology,Cerner Ltd,4222469,53745.12
Department of Health,Imperial College Healthcare NHS Trust,21/07/2020,Consultancy Fees,Finance Directorate,Salford Royal Nhs Foundation Trust,4207905,31147
Department of Health,Imperial College Healthcare NHS Trust,21/07/2020,Consultancy Fees,Office Of Chief Executive,The Boston Consulting Group Uk Llp,4217100,544800
Department of Health,Imperial College Healthcare NHS Trust,21/07/2020,Cy Auc -Addns-Bd Purchased,Capital Summary,Cbre Managed Services Ltd,4223232,1408041.74
Department of Health,Imperial College Healthcare NHS Trust,21/07/2020,Cy Auc -Addns-Bd Purchased,Capital Summary,Cuffe  Plc,4219684,159122.64
Department of Health,Imperial College Healthcare NHS Trust,21/07/2020,Cy Auc -Addns-Bd Purchased,Capital Summary,Cuffe  Plc,4224391,187017.6
Department of Health,Imperial College Healthcare NHS Trust,21/07/2020,Cy Auc -Addns- Prof Fee)-Purch,Capital Summary,Pa Consulting Services Ltd,4205688,36000
Department of Health,Imperial College Healthcare NHS Trust,21/07/2020,Gas,Estates Directorate,Corona Energy,4222528,60819.64
Department of Health,Imperial College Healthcare NHS Trust,21/07/2020,Gas,Estates Directorate,Corona Energy,4222538,31768.57
Department of Health,Imperial College Healthcare NHS Trust,21/07/2020,Gas,Estates Directorate,Corona Energy,4222558,56747.66
Department of Health,Imperial College Healthcare NHS Trust,21/07/2020,Jac - Stock,Balance Sheet St Marys,Aah Pharmaceuticals Limited,4224255,32349.12
Department of Health,Imperial College Healthcare NHS Trust,21/07/2020,Jac - Stock,Balance Sheet St Marys,Allergan Limited,4224137,35820
Department of Health,Imperial College Healthcare NHS Trust,21/07/2020,Jac - Stock,Balance Sheet St Marys,Bayer Plc,4222873,53378.68
Department of Health,Imperial College Healthcare NHS Trust,21/07/2020,Jac - Stock,Balance Sheet St Marys,Janssen-Cilag Ltd,4222877,57507.84
Department of Health,Imperial College Healthcare NHS Trust,21/07/2020,Jac - Stock,Balance Sheet St Marys,Jazz Pharmaceuticals Uk Limited [Ph],4222940,31224.1
Department of Health,Imperial College Healthcare NHS Trust,21/07/2020,Jac - Stock,Balance Sheet St Marys,Roche Products Ltd,4223499,290045.81
Department of Health,Imperial College Healthcare NHS Trust,21/07/2020,Jac - Stock,Balance Sheet St Marys,Roche Products Ltd,4223501,148704
Department of Health,Imperial College Healthcare NHS Trust,21/07/2020,Organ Donor Expenses,"Div Of Surg, Cardiov & Cancer",The Anthony Nolan Trust,4207305,31946
Department of Health,Imperial College Healthcare NHS Trust,21/07/2020,Other Transport Costs,Pathology,Dhl Supply Chain  (Former Excel),30227,132708.08
