ccg,date,expensetype,expensearea,supplier,transactionnumber,amount,file,negative
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,LILLIE ROAD PRACTICE,31914018,595.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR LAURENCE SLATER,31914032,612.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR C ELLIOTT,31898232,641.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR B MANGWANA & PARTNER,31898230,679.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR JEFFERIES & PARTNERS,31898260,732.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR K WINAYAK,31898243,742.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,DR D OGALLAGHER,31898234,771.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,LILYVILLE SURGERY,31898263,776.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR RK KUKAR,31898247,785.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR SF ARAS & PARTNERS,31913997,884.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR J JOLLY,31898236,916.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,FULHAM MEDICAL CENTRE,31898254,927.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,PARKVIEW PRACTICE,31898263,1034.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR GS UPPAL & PARTNER,31914040,1080.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR GC LAWLEY,31898234,1142.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR J HARROP-GRIFFITHS & PTRS,31913997,1194.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,LILYVILLE SURGERY,31898268,1198.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS PCO Doctors Ret Scheme,PRC DELEGATED CO-COMMISSIONING,LILYVILLE SURGERY,31898268,1230.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,LILYVILLE SURGERY,31898268,1293.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,Income tax <1Yr-Student Loans,BALANCE SHEET,HMRC,31867721,1297.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR SF ARAS & PARTNERS,31914000,1449.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR D OGALLAGHER,31898234,1495.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS PCO Doctors Ret Scheme,PRC DELEGATED CO-COMMISSIONING,DR GC LAWLEY,31898236,1538.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR JI KOPPEL,31898241,1566.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR PFR FERNANDES,31898250,1582.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR GC LAWLEY,31898236,1626.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR JEFFERIES & PARTNERS,31898260,1700.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR SAMJI & PARTNERS,31914009,1713.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR SAMJI & PARTNERS,31914000,1767.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,SHEPHERDS BUSH MEDICAL CENTRE,31914027,1800.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS PCN DES Invest & impact,PRC DELEGATED CO-COMMISSIONING,DR LAURENCE SLATER,31914032,1869.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR S DASGUPTA,31898245,1878.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR GS UPPAL & PARTNER,31914032,1913.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR K WINAYAK,31898243,1944.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,BROOK GREEN MEDICAL CENTRE,31898226,1950.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,DR LAURENCE SLATER,31914032,2014.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR C ELLIOTT,31898232,2045.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR RK KUKAR,31898247,2051.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR LAURENCE SLATER,31914032,2069.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR D OGALLAGHER,31898232,2071.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,BROOK GREEN MEDICAL CENTRE,31898227,2092.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR B MANGWANA & PARTNER,31898230,2288.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR B MANGWANA & PARTNER,31898227,2319.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS PCN DES Invest & impact,PRC DELEGATED CO-COMMISSIONING,DR GS UPPAL & PARTNER,31914040,2917.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR J JOLLY,31898239,2978.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,DR GS UPPAL & PARTNER,31914040,3143.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS PCN DES Invest & impact,PRC DELEGATED CO-COMMISSIONING,DR SF ARAS & PARTNERS,31914000,3228.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,SHEPHERDS BUSH MEDICAL CENTRE,31914027,3325.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,DR SF ARAS & PARTNERS,31914000,3478.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,LILLIE ROAD PRACTICE,31914018,3575.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,PARKVIEW PRACTICE,31898263,3614.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,FULHAM MEDICAL CENTRE,31898254,3634.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS PCN DES Invest & impact,PRC DELEGATED CO-COMMISSIONING,DR SAMJI & PARTNERS,31914009,3813.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR GS UPPAL & PARTNER,31914040,3852.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR JEFFERIES & PARTNERS,31898256,3919.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,DR LAURENCE SLATER,31914032,4045.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,DR SAMJI & PARTNERS,31914009,4109.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR GS UPPAL & PARTNER,31914040,4128.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DR J JOLLY,31898239,4133.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR K WINAYAK,31898243,4178.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS PCN DES PCN support,LOCAL ENHANCED SERVICES,DR LAURENCE SLATER,31914032,4185.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR SF ARAS & PARTNERS,31914000,4192.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS PCN DES Invest & impact,PRC DELEGATED CO-COMMISSIONING,LILLIE ROAD PRACTICE,31914018,4812.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR J HARROP-GRIFFITHS & PTRS,31913997,4973.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,LILYVILLE SURGERY,31898268,5070.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,LILLIE ROAD PRACTICE,31914018,5186.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,LILYVILLE SURGERY,31898268,5252.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DR C ELLIOTT,31898232,5506.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS PCN DES Clin Pharmacist,PRC DELEGATED CO-COMMISSIONING,DR LAURENCE SLATER,31914032,5771.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR PFR FERNANDES,31898250,5821.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR S DASGUPTA,31898245,5916.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR JI KOPPEL,31898241,5965.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR D OGALLAGHER,31898234,6165.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR GC LAWLEY,31898236,6473.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS PCN DES PCN support,LOCAL ENHANCED SERVICES,DR GS UPPAL & PARTNER,31914040,6531.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,DR SF ARAS & PARTNERS,31914000,6986.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS PCN DES PCN support,LOCAL ENHANCED SERVICES,DR SF ARAS & PARTNERS,31914000,7227.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,BROOK GREEN MEDICAL CENTRE,31898227,7255.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR SAMJI & PARTNERS,31914009,7277.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,BROOK GREEN MEDICAL CENTRE,31898227,7356.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,LILLIE ROAD PRACTICE,31914009,7660.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BROOK GREEN MEDICAL CENTRE,31898227,7692.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR JEFFERIES & PARTNERS,31898260,8003.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,DR SAMJI & PARTNERS,31914009,8253.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,LILLIE ROAD PRACTICE,31914018,8490.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS PCN DES PCN support,LOCAL ENHANCED SERVICES,DR SAMJI & PARTNERS,31914009,8537.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS PCN DES Clin Pharmacist,PRC DELEGATED CO-COMMISSIONING,DR GS UPPAL & PARTNER,31914040,8759.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS PCN DES Clin Pharmacist,PRC DELEGATED CO-COMMISSIONING,DR SF ARAS & PARTNERS,31914000,9155.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,LILLIE ROAD PRACTICE,31914018,9431.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,LILLIE ROAD PRACTICE,31914018,10415.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS PCN DES PCN support,LOCAL ENHANCED SERVICES,LILLIE ROAD PRACTICE,31914018,10774.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS PCN DES Clin Pharmacist,PRC DELEGATED CO-COMMISSIONING,DR SAMJI & PARTNERS,31914009,11350.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR JEFFERIES & PARTNERS,31898260,11941.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR J HARROP-GRIFFITHS & PTRS,31913997,12140.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS PCN DES Clin Pharmacist,PRC DELEGATED CO-COMMISSIONING,LILLIE ROAD PRACTICE,31914018,13459.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS PCO Locum Adop/Pat/Mat,PRC DELEGATED CO-COMMISSIONING,DR J HARROP-GRIFFITHS & PTRS,31913997,15480.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS PCO Locum Sickness,PRC DELEGATED CO-COMMISSIONING,DR J HARROP-GRIFFITHS & PTRS,31913997,18220.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,National Insurance < 1 yr-NI-EES,BALANCE SHEET,HMRC,31867721,18432.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR PFR FERNANDES,31898250,18759.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,Cont Care-Learning Disab(<65),CHC AD FULL FUND PERS HLTH BUD,SEQUENCE CARE LTD,31988917,25641.0,NWHF 01 - April.pdf.csv,1
