date,expensetype,supplier,transactionnumber,amount,file,negative,ccg,expensearea
31/05/2020,C&M-GMS DES Extended Hours Access,DR N SELVAN,32402625,11286.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-GMS PCN DES PCN support,DR N SELVAN,32402625,11675.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-GMS Global Sum,DR N SELVAN,32402625,83710.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-GMS DES Learn Dsblty Hlth Chk,DR S RANA-MASSON,32402627,840.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-GMS PCN DES Participation,DR S RANA-MASSON,32402627,1614.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-GMS Global Sum,DR S RANA-MASSON,32402627,42349.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-APMS PCN DES Participation,EAST ONE HEALTH,32286168,2981.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-PMS DES Learn Dsblty Hlth Chk,EAST ONE HEALTH,32286168,3360.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,"Baseline
C&M-APMS Contract Value",EAST ONE HEALTH,32286168,121187.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-GMS DES Learn Dsblty Hlth Chk,GLOBETOWN SURGERY,32402629,2660.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-GMS PCN DES Participation,GLOBETOWN SURGERY,32402629,4035.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-GMS Global Sum,GLOBETOWN SURGERY,32402629,105024.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-GMS DES Minor Surgery,GROVE ROAD SURGERY,32402635,484.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-GMS PCN DES Participation,GROVE ROAD SURGERY,32402635,1135.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-GMS DES Learn Dsblty Hlth Chk,GROVE ROAD SURGERY,32402635,2240.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-GMS Prem Cost Rent,GROVE ROAD SURGERY,32402635,7250.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-GMS Global Sum,GROVE ROAD SURGERY,32402635,29722.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-GMS PCN DES Participation,HARFORD HEALTH CENTRE,32402631,2784.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-GMS Global Sum,HARFORD HEALTH CENTRE,32402631,75662.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-GMS DES Learn Dsblty Hlth Chk,HARLEY GROVE MEDICAL CENTRE,32402633,560.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-GMS PCN DES Participation,HARLEY GROVE MEDICAL CENTRE,32402633,2089.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-GMS QOF Aspiration,HARLEY GROVE MEDICAL CENTRE,32402633,3197.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-GMS PCO Other,HARLEY GROVE MEDICAL CENTRE,32402633,4219.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-GMS Prem Notional Rent,HARLEY GROVE MEDICAL CENTRE,32402633,8375.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,ME - GMS GP Prior Year ERs,HARLEY GROVE MEDICAL CENTRE,32402633,11765.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,ME-GMS GP Prior Year EEs,HARLEY GROVE MEDICAL CENTRE,32402633,12165.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-GMS Global Sum,HARLEY GROVE MEDICAL CENTRE,32402633,56758.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,Statutory Mat Pay < 1 yr,HMRC,32408206,-1666.0,NETH 02 - May.pdf.csv,-1,,
31/05/2020,C&M-GMS Prem Other,ISLAND HEALTH,32422001,1903.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-GMS PCN DES Participation,ISLAND HEALTH,32422001,3247.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-GMS DES Learn Dsblty Hlth Chk,ISLAND HEALTH,32422001,4060.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-GMS Prem Rates,ISLAND HEALTH,32422001,4522.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-GMS Prem Actual Rent,ISLAND HEALTH,32422001,25375.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-GMS Global Sum,ISLAND HEALTH,32422001,85064.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-APMS Contract KPIs,ISLAND MEDICAL CENTRE,32286170,398.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-PMS DES Learn Dsblty Hlth Chk,ISLAND MEDICAL CENTRE,32286170,840.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-APMS PCN DES Participation,ISLAND MEDICAL CENTRE,32286170,2232.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-APMS Contract Value,ISLAND MEDICAL CENTRE,32286170,76098.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-GMS Prem Water Rates,JUBILEE STREET PRACTICE,32402638,242.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-GMS PCN DES Participation,JUBILEE STREET PRACTICE,32402638,3782.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-GMS DES Learn Dsblty Hlth Chk,JUBILEE STREET PRACTICE,32402638,3920.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-GMS Prem Rates,JUBILEE STREET PRACTICE,32402638,5925.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-GMS DES Extended Hours Access,JUBILEE STREET PRACTICE,32402638,8953.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-GMS PCN DES PCN support,JUBILEE STREET PRACTICE,32402638,9262.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-GMS PCN DES Participation,LIMEHOUSE PRACTICE,32402640,3148.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,Clinical&Medical-Clinical Other,MIDAS HR CONSULTING LTD,32434990,30000.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-GMS DES Learn Dsblty Hlth Chk,MISSION PRACTICE,32402642,840.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-GMS PCN DES Participation,MISSION PRACTICE,32402642,3585.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-GMS PCN DES Clinical Director,MISSION PRACTICE,32402642,5462.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-GMS Prem Other,MISSION PRACTICE,32402642,6166.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-GMS DES Extended Hours Access,MISSION PRACTICE,32402642,10970.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-GMS PCN DES PCN support,MISSION PRACTICE,32402642,11348.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-GMS Prem Actual Rent,MISSION PRACTICE,32463947,43200.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-GMS Global Sum,MISSION PRACTICE,32402642,93188.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-APMS Prem Other,POLLARD ROW SURGERY,32286172,338.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-APMS Prem Rates,POLLARD ROW SURGERY,32286172,432.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-PMS DES Learn Dsblty Hlth Chk,POLLARD ROW SURGERY,32286172,700.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-APMS PCN DES Participation,POLLARD ROW SURGERY,32286172,1308.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,,POLLARD ROW SURGERY,32286172,2097.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-APMS Contract Value,POLLARD ROW SURGERY,32286172,50449.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-GMS DES Violent Patients,PRIMARY CARE CENTRE(THE),32463944,44172.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-GMS DES Violent Patients,PRIMARY CARE CENTRE(THE),32463955,66258.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-GMS QOF Aspiration,ST STEPHENS HEALTH CENTRE LONDON,32402654,7740.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-GMS Global Sum,ST STEPHENS HEALTH CENTRE LONDON,32402654,107711.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-GMS PCN DES Participation,STROUDLY WALK,32402648,1224.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-GMS Global Sum,STROUDLY WALK,32402648,33270.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,ME-GMS GP Prior Year EEs,STROUTS PLACE MEDICAL CENTRE,32402649,-12973.0,NETH 02 - May.pdf.csv,-1,,
31/05/2020,ME-GMS GP Pension ERs Adjustments,STROUTS PLACE MEDICAL CENTRE,32402649,-4400.0,NETH 02 - May.pdf.csv,-1,,
31/05/2020,ME-GMS GP Pension EEs Adjustments,STROUTS PLACE MEDICAL CENTRE,32402649,-1081.0,NETH 02 - May.pdf.csv,-1,,
31/05/2020,C&M-GMS PCN DES Participation,STROUTS PLACE MEDICAL CENTRE,32402649,-699.0,NETH 02 - May.pdf.csv,-1,,
31/05/2020,C&M-GMS DES Learn Dsblty Hlth Chk,STROUTS PLACE MEDICAL CENTRE,32402650,1260.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-GMS PCN DES Participation,STROUTS PLACE MEDICAL CENTRE,32402650,1618.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-GMS Global Sum,STROUTS PLACE MEDICAL CENTRE,32402650,41956.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-GMS PCN DES Participation,TREDEGAR MEDICAL SURGERY,32402656,1562.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-GMS PCN DES Clinical Director,TREDEGAR MEDICAL SURGERY,32402656,4028.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-GMS DES Extended Hours Access,TREDEGAR MEDICAL SURGERY,32402656,8090.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-GMS PCN DES PCN support,TREDEGAR MEDICAL SURGERY,32402656,8369.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-GMS Global Sum,TREDEGAR MEDICAL SURGERY,32402656,40526.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,"Baseline
C&M-GMS DES Learn Dsblty Hlth Chk","TRUST
HARFORD HEALTH CENTRE",32402631,4200.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,"Baseline
Hcare Srv Rec Fdtn Trust-Contract","TRUST
KING`S COLLEGE HOSPITAL NHS FOUNDATION",32442696,-53926.0,NETH 02 - May.pdf.csv,-1,,
31/05/2020,,,32245075,-700190.0,NETH 02 - May.pdf.csv,-1,,
31/05/2020,,,32242611,-42290.0,NETH 02 - May.pdf.csv,-1,,
31/01/2021,COMMUNITY SERVICES,ACCELERATE CIC,35401350,-125679.0,NETH 10 - Januart.pdf.csv,-1,NHS Tower Hamlets CCG,Clinical&Medical-Independent Sector
31/01/2021,PROGRAMME PROJECTS,NHS NEWHAM CCG,35368178,-37399.0,NETH 10 - Januart.pdf.csv,-1,NHS Tower Hamlets CCG,Healthcare Srv Rec CCG
31/01/2021,PRC DELEGATED CO-COMMISSIONING,GLOBETOWN SURGERY,35351409,-17158.0,NETH 10 - Januart.pdf.csv,-1,NHS Tower Hamlets CCG,ME-GMS GP Pension ERs Adjustments
31/01/2021,PRC DELEGATED CO-COMMISSIONING,GLOBETOWN SURGERY,35351409,-16971.0,NETH 10 - Januart.pdf.csv,-1,NHS Tower Hamlets CCG,ME-GMS GP Pension EEs
31/01/2021,PROGRAMME PROJECTS,JO BARTER ASSOCIATES LTD,34813051,-7000.0,NETH 10 - Januart.pdf.csv,-1,NHS Tower Hamlets CCG,Miscellaneous Expenditure (L9)
31/01/2021,BALANCE SHEET,HMRC,35258383,-556.0,NETH 10 - Januart.pdf.csv,-1,NHS Tower Hamlets CCG,Statutory Mat Pay < 1 yr
31/01/2021,PRC DELEGATED CO-COMMISSIONING,ST PAULS WAY MEDICAL CENTRE,35234289,28.0,NETH 10 - Januart.pdf.csv,1,NHS Tower Hamlets CCG,C&M-APMS OOH Opt Outs
31/01/2021,PRC DELEGATED CO-COMMISSIONING,ISLAND MEDICAL CENTRE,35234284,45.0,NETH 10 - Januart.pdf.csv,1,NHS Tower Hamlets CCG,C&M-APMS OOH Opt Outs
31/01/2021,PRC DELEGATED CO-COMMISSIONING,DR N SELVAN,35351406,50.0,NETH 10 - Januart.pdf.csv,1,NHS Tower Hamlets CCG,C&M-GMS Prem Water Rates
31/01/2021,PRC DELEGATED CO-COMMISSIONING,BARKANTINE PRACTICE,35234282,66.0,NETH 10 - Januart.pdf.csv,1,NHS Tower Hamlets CCG,C&M-APMS Prem Water Rates
31/01/2021,PRC DELEGATED CO-COMMISSIONING,LIMEHOUSE PRACTICE,35351422,139.0,NETH 10 - Januart.pdf.csv,1,NHS Tower Hamlets CCG,C&M-GMS Prem Water Rates
31/01/2021,PRC DELEGATED CO-COMMISSIONING,BRAYFORD SQUARE SURGERY,35351444,141.0,NETH 10 - Januart.pdf.csv,1,NHS Tower Hamlets CCG,C&M-GMS Prem Other
31/01/2021,PRC DELEGATED CO-COMMISSIONING,POLLARD ROW SURGERY,35234285,169.0,NETH 10 - Januart.pdf.csv,1,NHS Tower Hamlets CCG,C&M-APMS Prem Other
31/01/2021,PRC DELEGATED CO-COMMISSIONING,DOCKLANDS MEDICAL CENTRE LONDON,35351404,203.0,NETH 10 - Januart.pdf.csv,1,NHS Tower Hamlets CCG,C&M-GMS Prem Water Rates
31/01/2021,BALANCE SHEET,HMRC,35258383,254.0,NETH 10 - Januart.pdf.csv,1,NHS Tower Hamlets CCG,Post Graduate Loan Payable
31/01/2021,PRC DELEGATED CO-COMMISSIONING,STROUTS PLACE MEDICAL CENTRE,35351432,345.0,NETH 10 - Januart.pdf.csv,1,NHS Tower Hamlets CCG,C&M-GMS Other Addtl Staff Paymts
31/01/2021,PRC DELEGATED CO-COMMISSIONING,ALBION HEALTH CENTRE,35367294,392.0,NETH 10 - Januart.pdf.csv,1,NHS Tower Hamlets CCG,C&M-GMS Prem Other
31/01/2021,PRC DELEGATED CO-COMMISSIONING,POLLARD ROW SURGERY,35234285,432.0,NETH 10 - Januart.pdf.csv,1,NHS Tower Hamlets CCG,C&M-APMS Prem Rates
31/01/2021,PRC DELEGATED CO-COMMISSIONING,CITY WELLBEING PRACTICE,35351402,439.0,NETH 10 - Januart.pdf.csv,1,NHS Tower Hamlets CCG,C&M-GMS Prem Water Rates
31/01/2021,PRC DELEGATED CO-COMMISSIONING,ST PAULS WAY MEDICAL CENTRE,35234289,457.0,NETH 10 - Januart.pdf.csv,1,NHS Tower Hamlets CCG,C&M- PCN DES CARE HOME PREMIUM
31/01/2021,PRC DELEGATED CO-COMMISSIONING,MISSION PRACTICE,35351424,487.0,NETH 10 - Januart.pdf.csv,1,NHS Tower Hamlets CCG,C&M- PCN DES CARE HOME PREMIUM
31/01/2021,PRC DELEGATED CO-COMMISSIONING,BRAYFORD SQUARE SURGERY,35351444,491.0,NETH 10 - Januart.pdf.csv,1,NHS Tower Hamlets CCG,C&M-GMS PCN DES Participation
31/01/2021,PRC DELEGATED CO-COMMISSIONING,ISLAND HEALTH,35351418,539.0,NETH 10 - Januart.pdf.csv,1,NHS Tower Hamlets CCG,C&M-GMS Other Addtl Staff Paymts
31/01/2021,PRC DELEGATED CO-COMMISSIONING,ISLAND MEDICAL CENTRE,35234284,540.0,NETH 10 - Januart.pdf.csv,1,NHS Tower Hamlets CCG,C&M-APMS Prem Rates
31/01/2021,PRC DELEGATED CO-COMMISSIONING,DR N SELVAN,35351406,562.0,NETH 10 - Januart.pdf.csv,1,NHS Tower Hamlets CCG,C&M- PCN DES CARE HOME PREMIUM
31/01/2021,PRC DELEGATED CO-COMMISSIONING,DR N SELVAN,35351406,563.0,NETH 10 - Januart.pdf.csv,1,NHS Tower Hamlets CCG,C&M-GMS Other Addtl Staff Paymts
31/01/2021,PRC DELEGATED CO-COMMISSIONING,GROVE ROAD SURGERY,35351416,567.0,NETH 10 - Januart.pdf.csv,1,NHS Tower Hamlets CCG,C&M-GMS PCN DES Participation
31/01/2021,PRC DELEGATED CO-COMMISSIONING,HARLEY GROVE MEDICAL CENTRE,35351414,572.0,NETH 10 - Januart.pdf.csv,1,NHS Tower Hamlets CCG,C&M-GMS DES Minor Surgery
31/01/2021,PRC DELEGATED CO-COMMISSIONING,ISLAND MEDICAL CENTRE,35234284,603.0,NETH 10 - Januart.pdf.csv,1,NHS Tower Hamlets CCG,C&M-APMS Prem Water Rates
31/01/2021,PRC DELEGATED CO-COMMISSIONING,STROUDLY WALK,35351430,612.0,NETH 10 - Januart.pdf.csv,1,NHS Tower Hamlets CCG,C&M-GMS PCN DES Participation
31/01/2021,PRC DELEGATED CO-COMMISSIONING,RUSTON STREET CLINIC,35351426,612.0,NETH 10 - Januart.pdf.csv,1,NHS Tower Hamlets CCG,C&M-GMS PCN DES Participation
31/01/2021,PRC DELEGATED CO-COMMISSIONING,POLLARD ROW SURGERY,35234285,654.0,NETH 10 - Januart.pdf.csv,1,NHS Tower Hamlets CCG,C&M-APMS PCN DES Participation
31/01/2021,PRC DELEGATED CO-COMMISSIONING,TREDEGAR MEDICAL SURGERY,35351438,781.0,NETH 10 - Januart.pdf.csv,1,NHS Tower Hamlets CCG,C&M-GMS PCN DES Participation
31/01/2021,PRC DELEGATED CO-COMMISSIONING,GROVE ROAD SURGERY,35351416,797.0,NETH 10 - Januart.pdf.csv,1,NHS Tower Hamlets CCG,C&M-GMS Prem Rates
31/01/2021,PRC DELEGATED CO-COMMISSIONING,DR S RANA-MASSON,35351408,807.0,NETH 10 - Januart.pdf.csv,1,NHS Tower Hamlets CCG,C&M-GMS PCN DES Participation
31/01/2021,PRC DELEGATED CO-COMMISSIONING,STROUTS PLACE MEDICAL CENTRE,35351432,809.0,NETH 10 - Januart.pdf.csv,1,NHS Tower Hamlets CCG,C&M-GMS PCN DES Participation
31/01/2021,PRC DELEGATED CO-COMMISSIONING,CITY WELLBEING PRACTICE,35351402,836.0,NETH 10 - Januart.pdf.csv,1,NHS Tower Hamlets CCG,C&M-GMS PCN DES Participation
31/01/2021,PRC DELEGATED CO-COMMISSIONING,ST PAULS WAY MEDICAL CENTRE,35234289,865.0,NETH 10 - Januart.pdf.csv,1,NHS Tower Hamlets CCG,C&M-APMS Prem Other
31/01/2021,PRC DELEGATED CO-COMMISSIONING,RUSTON STREET CLINIC,35351426,897.0,NETH 10 - Januart.pdf.csv,1,NHS Tower Hamlets CCG,C&M-GMS Other Addtl Staff Paymts
31/01/2021,PRC DELEGATED CO-COMMISSIONING,ISLAND HEALTH,35351418,951.0,NETH 10 - Januart.pdf.csv,1,NHS Tower Hamlets CCG,C&M-GMS Prem Other
31/01/2021,PRC DELEGATED CO-COMMISSIONING,MISSION PRACTICE,35351424,968.0,NETH 10 - Januart.pdf.csv,1,NHS Tower Hamlets CCG,C&M-GMS DES Minor Surgery
31/01/2021,PRC DELEGATED CO-COMMISSIONING,ALBION HEALTH CENTRE,35367294,969.0,NETH 10 - Januart.pdf.csv,1,NHS Tower Hamlets CCG,C&M-GMS Other Addtl Staff Paymts
31/01/2021,PRC DELEGATED CO-COMMISSIONING,JUBILEE STREET PRACTICE,35351420,1005.0,NETH 10 - Januart.pdf.csv,1,NHS Tower Hamlets CCG,C&M- PCN DES CARE HOME PREMIUM
31/01/2021,PRC DELEGATED CO-COMMISSIONING,HARLEY GROVE MEDICAL CENTRE,35351414,1017.0,NETH 10 - Januart.pdf.csv,1,NHS Tower Hamlets CCG,C&M-GMS Prem Rates
31/01/2021,PRC DELEGATED CO-COMMISSIONING,GROVE ROAD SURGERY,35351416,1029.0,NETH 10 - Januart.pdf.csv,1,NHS Tower Hamlets CCG,C&M-GMS Other Addtl Staff Paymts
31/01/2021,PRC DELEGATED CO-COMMISSIONING,HARLEY GROVE MEDICAL CENTRE,35351414,1044.0,NETH 10 - Januart.pdf.csv,1,NHS Tower Hamlets CCG,C&M-GMS PCN DES Participation
31/01/2021,PRC DELEGATED CO-COMMISSIONING,ISLAND MEDICAL CENTRE,35234284,1116.0,NETH 10 - Januart.pdf.csv,1,NHS Tower Hamlets CCG,C&M-APMS PCN DES Participation
31/01/2021,PRC DELEGATED CO-COMMISSIONING,HARLEY GROVE MEDICAL CENTRE,35351414,1173.0,NETH 10 - Januart.pdf.csv,1,NHS Tower Hamlets CCG,C&M-GMS Other Baseline Adjustment
31/01/2021,PRC DELEGATED CO-COMMISSIONING,ST STEPHENS HEALTH CENTRE LONDON,35351436,1208.0,NETH 10 - Januart.pdf.csv,1,NHS Tower Hamlets CCG,C&M-GMS Prem Other
31/01/2021,PRC DELEGATED CO-COMMISSIONING,DOCKLANDS MEDICAL CENTRE LONDON,35351404,1219.0,NETH 10 - Januart.pdf.csv,1,NHS Tower Hamlets CCG,C&M-GMS PCN DES Participation
31/01/2021,PRC DELEGATED CO-COMMISSIONING,ALBION HEALTH CENTRE,35367294,1239.0,NETH 10 - Januart.pdf.csv,1,NHS Tower Hamlets CCG,C&M-GMS PCN DES Participation
31/01/2021,PRC DELEGATED CO-COMMISSIONING,BETHNAL GREEN HEALTH CENTRE,35351393,1263.0,NETH 10 - Januart.pdf.csv,1,NHS Tower Hamlets CCG,C&M-GMS PCN DES Participation
31/01/2021,PRC DELEGATED CO-COMMISSIONING,ABERFELDY STREET PRACTICE,35351395,1275.0,NETH 10 - Januart.pdf.csv,1,NHS Tower Hamlets CCG,C&M-GMS PCN DES Participation
31/01/2021,PRC DELEGATED CO-COMMISSIONING,BLITHEHALE MEDICAL CENTRE,35351398,1332.0,NETH 10 - Januart.pdf.csv,1,NHS Tower Hamlets CCG,C&M-GMS Prem Water Rates
31/01/2021,PRC DELEGATED CO-COMMISSIONING,LIMEHOUSE PRACTICE,35351422,1357.0,NETH 10 - Januart.pdf.csv,1,NHS Tower Hamlets CCG,ME-GMS GP Prior Year EEs
31/01/2021,PRC DELEGATED CO-COMMISSIONING,LIMEHOUSE PRACTICE,35351422,1380.0,NETH 10 - Januart.pdf.csv,1,NHS Tower Hamlets CCG,C&M-GMS Prem Healthcentre Rates
31/01/2021,PRC DELEGATED CO-COMMISSIONING,HARFORD HEALTH CENTRE,35351412,1392.0,NETH 10 - Januart.pdf.csv,1,NHS Tower Hamlets CCG,C&M-GMS PCN DES Participation
31/01/2021,PRC DELEGATED CO-COMMISSIONING,LIMEHOUSE PRACTICE,35351422,1435.0,NETH 10 - Januart.pdf.csv,1,NHS Tower Hamlets CCG,ME - GMS GP Prior Year ERs
31/01/2021,PRC DELEGATED CO-COMMISSIONING,LIMEHOUSE PRACTICE,35351422,1440.0,NETH 10 - Januart.pdf.csv,1,NHS Tower Hamlets CCG,C&M-GMS QOF Achievement
31/01/2021,PRC DELEGATED CO-COMMISSIONING,WAPPING HEALTH CENTRE,35351440,1485.0,NETH 10 - Januart.pdf.csv,1,NHS Tower Hamlets CCG,C&M-GMS PCN DES Participation
31/01/2021,PRC DELEGATED CO-COMMISSIONING,LIMEHOUSE PRACTICE,35351422,1574.0,NETH 10 - Januart.pdf.csv,1,NHS Tower Hamlets CCG,C&M-GMS PCN DES Participation
