transactionnumber,date,expensetype,expensearea,supplier,amount,file,negative
2126468,2020-04-08 00:00:00,R&D: LCRN PAYMENTS: OTHER TRUSTS,NORTH THAMES CRN 2019/20,BARNET ENFIELD & HARINGEY MENTAL HEALTH NHS TRUST,52814.0,BART 01 - April.xlsx,1
2126487,2020-04-08 00:00:00,MED & SURG EQUIP MAINTENANCE,NMES DIAGNOSTIC IMAGING,SUPPLY CHAIN COORDINATION LTD (SCCL),31120.0,BART 01 - April.xlsx,1
2126495,2020-04-08 00:00:00,MEDICAL & SURGICAL EQUIPMENT,COVID 19 EQUIPMENT - SBH,ARMSTRONG MEDICAL LTD,178956.0,BART 01 - April.xlsx,1
2126495,2020-04-08 00:00:00,ANAESTHETIC EQUIPMENT & ACCESSORIES,STRATEGIC SOURCING,ARMSTRONG MEDICAL LTD,495864.0,BART 01 - April.xlsx,1
2126495,2020-04-08 00:00:00,MEDICAL & SURGICAL EQUIPMENT,COVID 19 EQUIPMENT -  WXH,ARMSTRONG MEDICAL LTD,44721.0,BART 01 - April.xlsx,1
2126495,2020-04-08 00:00:00,MEDICAL & SURGICAL EQUIPMENT,COVID 19 EQUIPMENT - NUH,ARMSTRONG MEDICAL LTD,89478.0,BART 01 - April.xlsx,1
2126502,2020-04-10 00:00:00,BUILDINGS / STRUCTURE,DENTAL SEMINAR ROOM - FIRE IMPROVEMENTS,INIGO CONTRACT SERVICES LTD,71019.0,BART 01 - April.xlsx,1
2126516,2020-04-10 00:00:00,TAXI SERVICE,TRUST PATIENT TRANSPORT,SWISS POST SOLUTIONS LTD,188287.0,BART 01 - April.xlsx,1
2126516,2020-04-10 00:00:00,TAXI SERVICE,TRUST PATIENT TRANSPORT,SWISS POST SOLUTIONS LTD,30049.0,BART 01 - April.xlsx,1
2126516,2020-04-10 00:00:00,HIRE OF TRANSPORT,TRUST PATIENT TRANSPORT,SWISS POST SOLUTIONS LTD,189200.0,BART 01 - April.xlsx,1
2126516,2020-04-10 00:00:00,HIRE OF TRANSPORT,TRUST PATIENT TRANSPORT,SWISS POST SOLUTIONS LTD,138475.0,BART 01 - April.xlsx,1
2126516,2020-04-10 00:00:00,POSTAGE,POSTAGE - RLH,SWISS POST SOLUTIONS LTD,105707.0,BART 01 - April.xlsx,1
2126576,2020-04-10 00:00:00,PURCHASE SERVICE FROM NHS TRUST,WXH RADIOLOGY MEDICAL STAFF,TELEMEDICINE CLINIC LTD,33934.0,BART 01 - April.xlsx,1
2126576,2020-04-10 00:00:00,RECRUITMENT EXPENSES,WXH RADIOLOGY MEDICAL STAFF,TELEMEDICINE CLINIC LTD,33076.0,BART 01 - April.xlsx,1
2126576,2020-04-10 00:00:00,RECRUITMENT EXPENSES,WXH RADIOLOGY MEDICAL STAFF,TELEMEDICINE CLINIC LTD,33206.0,BART 01 - April.xlsx,1
2126576,2020-04-10 00:00:00,RECRUITMENT EXPENSES,WXH RADIOLOGY MEDICAL STAFF,TELEMEDICINE CLINIC LTD,29179.0,BART 01 - April.xlsx,1
2126612,2020-04-10 00:00:00,JAC SINGLE STOCK SYSTEM,RLH PHARMACY ASU STOCK,ALLOGA UK LTD,108000.0,BART 01 - April.xlsx,1
2126612,2020-04-10 00:00:00,JAC SINGLE STOCK SYSTEM,RLH PHARMACY ASU STOCK,ALLOGA UK LTD,135600.0,BART 01 - April.xlsx,1
2126618,2020-04-10 00:00:00,IMAGING EQUIPMENT,PET - CT,PCCA LTD,38761.0,BART 01 - April.xlsx,1
2126618,2020-04-10 00:00:00,IMAGING EQUIPMENT,RUBIDIUM PET CT SCANNING,PCCA LTD,38761.0,BART 01 - April.xlsx,1
2126648,2020-04-10 00:00:00,NHS SUPPLY CHAIN DELIVERY CREDITOR,BH CURRENT LIABILITIES - FEEDERS,SUPPLY CHAIN COORDINATION LTD (SCCL),73366.0,BART 01 - April.xlsx,1
2126648,2020-04-10 00:00:00,NHS SUPPLY CHAIN DELIVERY CREDITOR,BH CURRENT LIABILITIES - FEEDERS,SUPPLY CHAIN COORDINATION LTD (SCCL),315356.0,BART 01 - April.xlsx,1
2126648,2020-04-10 00:00:00,NHS SUPPLY CHAIN DELIVERY CREDITOR,BH CURRENT LIABILITIES - FEEDERS,SUPPLY CHAIN COORDINATION LTD (SCCL),128164.0,BART 01 - April.xlsx,1
2126650,2020-04-10 00:00:00,COMPUTER SOFTWARE,REMOTE ACCESS - COVID 19,ITHEALTH UK LTD,83430.0,BART 01 - April.xlsx,1
2126679,2020-04-15 00:00:00,JAC SINGLE STOCK SYSTEM,NUH PHARMACY STOCK,AMGEN LTD,31897.0,BART 01 - April.xlsx,1
2126720,2020-04-15 00:00:00,JAC SINGLE STOCK SYSTEM,RLH PHARMACY ASU STOCK,OCTAPHARMA LTD,28492.0,BART 01 - April.xlsx,1
2126720,2020-04-15 00:00:00,JAC SINGLE STOCK SYSTEM,RLH PHARMACY ASU STOCK,OCTAPHARMA LTD,33000.0,BART 01 - April.xlsx,1
2126733,2020-04-15 00:00:00,JAC SINGLE STOCK SYSTEM,NUH PHARMACY STOCK,CELGENE INTERNATIONAL SARL,28890.0,BART 01 - April.xlsx,1
2126733,2020-04-15 00:00:00,JAC SINGLE STOCK SYSTEM,SBH PHARMACY STORE STOCK,CELGENE INTERNATIONAL SARL,28890.0,BART 01 - April.xlsx,1
2126733,2020-04-15 00:00:00,JAC SINGLE STOCK SYSTEM,SBH PHARMACY STORE STOCK,CELGENE INTERNATIONAL SARL,28890.0,BART 01 - April.xlsx,1
2126734,2020-04-15 00:00:00,JAC SINGLE STOCK SYSTEM,SBH PHARMACY STORE STOCK,ROCHE PRODUCTS LTD,36045.0,BART 01 - April.xlsx,1
2126768,2020-04-15 00:00:00,JAC SINGLE STOCK SYSTEM,SBH PHARMACY STORE STOCK,AAH,57739.0,BART 01 - April.xlsx,1
2126784,2020-04-15 00:00:00,BANK PARTNERS CREDITOR,BH CURRENT LIABILITIES - FEEDERS,PULSE HEALTHCARE LTD,65647.0,BART 01 - April.xlsx,1
2126784,2020-04-15 00:00:00,BANK PARTNERS CREDITOR,BH CURRENT LIABILITIES - FEEDERS,PULSE HEALTHCARE LTD,351001.0,BART 01 - April.xlsx,1
2126792,2020-04-15 00:00:00,WATER,ENERGY & UTILITIES - WXH,ADSM PLC,35196.0,BART 01 - April.xlsx,1
2126792,2020-04-15 00:00:00,WATER,ENERGY & UTILITIES - RLH,ADSM PLC,55297.0,BART 01 - April.xlsx,1
2126792,2020-04-15 00:00:00,WATER,ENERGY & UTILITIES - RLH,ADSM PLC,50765.0,BART 01 - April.xlsx,1
2126859,2020-04-15 00:00:00,MEDICAL & SURGICAL EQUIPMENT,IONM  SYSTEM,OPTIMA MEDICAL,112169.0,BART 01 - April.xlsx,1
2126870,2020-04-15 00:00:00,MED & SURG EQUIP MAINTENANCE,NMES DIAGNOSTIC IMAGING,SUPPLY CHAIN COORDINATION LTD (SCCL),128022.0,BART 01 - April.xlsx,1
2126872,2020-04-15 00:00:00,R&D: LCRN PAYMENTS: OTHER TRUSTS,NORTH THAMES CRN 2019/20,UNIVERSITY COLLEGE LONDON NHS FOUNDATION  TRUST,1304677.0,BART 01 - April.xlsx,1
2126898,2020-04-17 00:00:00,MEDICAL & SURGICAL EQUIPMENT,THEATRE STACK SYSTEM X 7 - MDG 19/20,ARTHREX LTD,441559.0,BART 01 - April.xlsx,1
2126922,2020-04-17 00:00:00,OTHER EXPENSES,BRC 2017-2022,QUEEN MARY UNIVERSITY OF LONDON,192372.0,BART 01 - April.xlsx,1
2126922,2020-04-17 00:00:00,R&D: NON LCRN PAYMENTS,OSIRIS RP-PG-0218-20001 ,QUEEN MARY UNIVERSITY OF LONDON,153569.0,BART 01 - April.xlsx,1
2126927,2020-04-17 00:00:00,TRAINING COURSE FEES,LDA WORKFORCE INVESTMENT,LONDON SOUTH BANK UNIVERSITY,30000.0,BART 01 - April.xlsx,1
2126930,2020-04-17 00:00:00,BUILDINGS / STRUCTURE,HOT WATER REMEDIAL WORKS - B3 WARD,HERRONWAY LTD,65889.0,BART 01 - April.xlsx,1
2126930,2020-04-17 00:00:00,BUILDINGS / STRUCTURE,HOT WATER REMEDIAL WORKS - BRACKEN WARD,HERRONWAY LTD,66342.0,BART 01 - April.xlsx,1
2126941,2020-04-17 00:00:00,JAC SINGLE STOCK SYSTEM,SBH PHARMACY STORE STOCK,ROCHE PRODUCTS LTD,48816.0,BART 01 - April.xlsx,1
2126963,2020-04-17 00:00:00,MEDICAL & SURGICAL EQUIPMENT,LINAC - FP520,CAPITAL HOSPITALS LTD,1815036.0,BART 01 - April.xlsx,1
2126978,2020-04-17 00:00:00,JAC SINGLE STOCK SYSTEM,WXH PHARMACY DISPENSARY STOCK,BAYER PLC,157320.0,BART 01 - April.xlsx,1
2126980,2020-04-17 00:00:00,CHILDCARE VOUCHERS,EMPLOYEE SUPPORT & WELLBEING,CHILDCARE VOUCHERS LTD,48661.0,BART 01 - April.xlsx,1
2126992,2020-04-17 00:00:00,STATIONERY - GENERAL,NUH OPD,IRON MOUNTAIN (UK) LTD,70491.0,BART 01 - April.xlsx,1
2127021,2020-04-17 00:00:00,JAC SINGLE STOCK SYSTEM,RLH PHARMACY ASU STOCK,QUALASEPT LTD T/A BATH ASU,27759.0,BART 01 - April.xlsx,1
2127081,2020-04-17 00:00:00,NHS SUPPLY CHAIN DELIVERY CREDITOR,BH CURRENT LIABILITIES - FEEDERS,SUPPLY CHAIN COORDINATION LTD (SCCL),100910.0,BART 01 - April.xlsx,1
2127081,2020-04-17 00:00:00,NHS SUPPLY CHAIN DELIVERY CREDITOR,BH CURRENT LIABILITIES - FEEDERS,SUPPLY CHAIN COORDINATION LTD (SCCL),707195.0,BART 01 - April.xlsx,1
2127081,2020-04-17 00:00:00,NHS SUPPLY CHAIN DELIVERY CREDITOR,BH CURRENT LIABILITIES - FEEDERS,SUPPLY CHAIN COORDINATION LTD (SCCL),182635.0,BART 01 - April.xlsx,1
2127088,2020-04-17 00:00:00,VERSION 1 SUPPORT & LICENCSES,ELCFIS CONSORTIUM,ORACLE CORPORATION UK LTD,210779.0,BART 01 - April.xlsx,1
2127088,2020-04-17 00:00:00,VERSION 1 SUPPORT & LICENCSES,ELCFIS CONSORTIUM,ORACLE CORPORATION UK LTD,38344.0,BART 01 - April.xlsx,1
2127108,2020-04-22 00:00:00,NON-MEDICAL EQUIPMENT,DIALYSIS CHAIRS X 34 FP564,ANDRAC LTD,120360.0,BART 01 - April.xlsx,1
2127128,2020-04-22 00:00:00,LEASE VEHICLES,A & E MEDICAL,LONDON'S AIR AMBULANCE,46791.0,BART 01 - April.xlsx,1
2127128,2020-04-22 00:00:00,LEASE VEHICLES,A & E MEDICAL,LONDON'S AIR AMBULANCE,46791.0,BART 01 - April.xlsx,1
2127128,2020-04-22 00:00:00,LEASE VEHICLES,A & E MEDICAL,LONDON'S AIR AMBULANCE,46791.0,BART 01 - April.xlsx,1
2127140,2020-04-22 00:00:00,CONSULTANCY FEES,DATA QUALITY,MBI HEALTH CONSULTING LTD,29760.0,BART 01 - April.xlsx,1
2127141,2020-04-22 00:00:00,JAC SINGLE STOCK SYSTEM,SBH PHARMACY STORE STOCK,JANSSEN-CILAG LTD,89856.0,BART 01 - April.xlsx,1
2127152,2020-04-22 00:00:00,MEDICAL & SURGICAL EQUIPMENT,CEPHEID MACHINE,CEPHEID UK LTD,41566.0,BART 01 - April.xlsx,1
2127159,2020-04-22 00:00:00,JAC SINGLE STOCK SYSTEM,SBH PHARMACY STORE STOCK,AMGEN LTD,58089.0,BART 01 - April.xlsx,1
2127159,2020-04-22 00:00:00,JAC SINGLE STOCK SYSTEM,RLH PHARMACY ASU STOCK,AMGEN LTD,35802.0,BART 01 - April.xlsx,1
2127165,2020-04-22 00:00:00,MEDICAL & SURGICAL EQUIPMENT,VITAL LINKS OBSERVATION CARTS,HILL ROM,254484.0,BART 01 - April.xlsx,1
2127173,2020-04-22 00:00:00,MEDICAL & SURGICAL EQUIPMENT,FERTILITY MONITORS - FP496,GE MEDICAL SYSTEMS LTD,27100.0,BART 01 - April.xlsx,1
2127175,2020-04-22 00:00:00,MED & SURG EQUIP MAINTENANCE,NMES CARDIOVASCULAR,LIVANOVA UK LTD,57248.0,BART 01 - April.xlsx,1
2127179,2020-04-22 00:00:00,POSTAGE,POSTAGE - RLH,SWISS POST SOLUTIONS LTD,97400.0,BART 01 - April.xlsx,1
2127179,2020-04-22 00:00:00,TAXI SERVICE,TRUST PATIENT TRANSPORT,SWISS POST SOLUTIONS LTD,163335.0,BART 01 - April.xlsx,1
2127179,2020-04-22 00:00:00,TAXI SERVICE,TRUST PATIENT TRANSPORT,SWISS POST SOLUTIONS LTD,132848.0,BART 01 - April.xlsx,1
2127179,2020-04-22 00:00:00,HIRE OF TRANSPORT,TRUST PATIENT TRANSPORT,SWISS POST SOLUTIONS LTD,179177.0,BART 01 - April.xlsx,1
2127179,2020-04-22 00:00:00,HIRE OF TRANSPORT,TRUST PATIENT TRANSPORT,SWISS POST SOLUTIONS LTD,469152.0,BART 01 - April.xlsx,1
2127185,2020-04-22 00:00:00,OFFICE & IT EQUIPMENT,EPMA COSTS - 19/20,BECHTLE DIRECT LTD,67360.0,BART 01 - April.xlsx,1
2127220,2020-04-22 00:00:00,MEDICAL & SURGICAL EQUIPMENT,COVID 19 EQUIPMENT -  WXH,FUJIFILM SONOSITE LTD,97461.0,BART 01 - April.xlsx,1
2127220,2020-04-22 00:00:00,MEDICAL & SURGICAL EQUIPMENT,COVID 19 EQUIPMENT - SBH,FUJIFILM SONOSITE LTD,129948.0,BART 01 - April.xlsx,1
2127220,2020-04-22 00:00:00,MEDICAL & SURGICAL EQUIPMENT,COVID 19 EQUIPMENT - NUH,FUJIFILM SONOSITE LTD,32487.0,BART 01 - April.xlsx,1
2127220,2020-04-22 00:00:00,MEDICAL & SURGICAL EQUIPMENT,COVID 19 EQUIPMENT - RLH,FUJIFILM SONOSITE LTD,97461.0,BART 01 - April.xlsx,1
2127232,2020-04-22 00:00:00,BUILDINGS / STRUCTURE,"CUSTOM HOUSE , EAST AND WEST HAM WARDS",T&B CONTRACTORS LTD,474813.0,BART 01 - April.xlsx,1
2127265,2020-04-22 00:00:00,CONSULTANCY FEES,CHANGING LIVES PROGRAMME,AFFINA ORGANISATION DEVELOPMENT LTD,32060.0,BART 01 - April.xlsx,1
2127267,2020-04-22 00:00:00,MEDICAL & SURGICAL EQUIPMENT,ICT VSAN PROJECT 19/20,EUROPEAN ELECTRONIQUE LTD,209700.0,BART 01 - April.xlsx,1
2127267,2020-04-22 00:00:00,COMPUTER SOFTWARE,QLIK SENSE IMPLEMENTATION,EUROPEAN ELECTRONIQUE LTD,111000.0,BART 01 - April.xlsx,1
2127306,2020-04-22 00:00:00,CLINICAL AUDIT SERVICES,RENAL SERVICES CENTRAL - RLH,RENAL REGISTRY,83997.0,BART 01 - April.xlsx,1
2127307,2020-04-22 00:00:00,MEDICAL & SURGICAL EQUIPMENT,REVERSE OSMOSIS PLANT - MDG 19/20,BAXTER HEALTHCARE LTD,125893.0,BART 01 - April.xlsx,1
2127307,2020-04-22 00:00:00,MEDICAL & SURGICAL EQUIPMENT,REVERSE OSMOSIS PLANTS  - MDG 19/20,BAXTER HEALTHCARE LTD,382087.0,BART 01 - April.xlsx,1
2127307,2020-04-22 00:00:00,DIALYSIS CONSUMABLES,CAPD - RENAL,BAXTER HEALTHCARE LTD,58675.0,BART 01 - April.xlsx,1
2127315,2020-04-22 00:00:00,LAB REAGENTS & CHEMICALS,VIROLOGY,ROCHE DIAGNOSTICS LTD,877423.0,BART 01 - April.xlsx,1
2127315,2020-04-22 00:00:00,LAB REAGENTS & CHEMICALS,HAEMATOLOGY NON PAY,ROCHE DIAGNOSTICS LTD,1034185.0,BART 01 - April.xlsx,1
2127316,2020-04-22 00:00:00,JAC SINGLE STOCK SYSTEM,RLH PHARMACY DISPENSARY STOCK,ROCHE PRODUCTS LTD,116388.0,BART 01 - April.xlsx,1
2127345,2020-04-22 00:00:00,OFFICE & IT EQUIPMENT,ICT  CS  UPGRADE 19/20,PCS BUSINESS SYSTEMS LTD,45900.0,BART 01 - April.xlsx,1
2127345,2020-04-22 00:00:00,OFFICE & IT EQUIPMENT,ICT NETWORK ROOM INFRASTRUCTURE,PCS BUSINESS SYSTEMS LTD,114732.0,BART 01 - April.xlsx,1
2127349,2020-04-22 00:00:00,JAC SINGLE STOCK SYSTEM,RLH PHARMACY ASU STOCK,ALEXION PHARMA UK LTD,45360.0,BART 01 - April.xlsx,1
2127349,2020-04-22 00:00:00,MILLENNIUM PHARMACY STOCK,RL PHARMACY INPATIENT,ALEXION PHARMA UK LTD,113400.0,BART 01 - April.xlsx,1
2127356,2020-04-22 00:00:00,PASS THROUGH DEVICE: INSULIN PUMPS - PAEDS,CONTINUING CARE,MEDTRONIC LTD,39384.0,BART 01 - April.xlsx,1
2127362,2020-04-22 00:00:00,NON-CLINICAL CONTRACT SERVICES,ENERGY & UTILITIES - SBH,CAPITAL HOSPITALS LTD,54233.0,BART 01 - April.xlsx,1
2127362,2020-04-22 00:00:00,OFFICE & IT EQUIPMENT,RADIOTHERAPY HARDWARE & SOFTWARE REFRESH,CAPITAL HOSPITALS LTD,106887.0,BART 01 - April.xlsx,1
2127364,2020-04-22 00:00:00,LAB EQUIPMENT,POST MORTEM ROOM,OMEGA SUPPLIES LTD,90900.0,BART 01 - April.xlsx,1
2127364,2020-04-22 00:00:00,LAB EQUIPMENT,POST MORTEM ROOM,OMEGA SUPPLIES LTD,181800.0,BART 01 - April.xlsx,1
2127366,2020-04-22 00:00:00,COMPUTER SOFTWARE,CORP - ORACLE UPGRADE,VERSION 1 SOLUTIONS LTD,164000.0,BART 01 - April.xlsx,1
2127370,2020-04-22 00:00:00,PURCHASE HEALTHCARE FROM NON-NHS,GASTROENTEROLOGY,DMC HEALTHCARE,88200.0,BART 01 - April.xlsx,1
2127410,2020-04-22 00:00:00,JAC SINGLE STOCK SYSTEM,SBH PHARMACY STORE STOCK,AAH,97047.0,BART 01 - April.xlsx,1
2127413,2020-04-22 00:00:00,JAC SINGLE STOCK SYSTEM,RLH PHARMACY STORE STOCK,BOEHRINGER INGELHEIM LTD,74396.0,BART 01 - April.xlsx,1
2127415,2020-04-22 00:00:00,JAC SINGLE STOCK SYSTEM,RLH PHARMACY DISPENSARY STOCK,CSL BEHRING,88200.0,BART 01 - April.xlsx,1
2127426,2020-04-22 00:00:00,COMPUTER MAINTENANCE,NETWORK AND SECURITY,CAPGEMINI UK PLC,316959.0,BART 01 - April.xlsx,1
2127427,2020-04-22 00:00:00,LABORATORY TESTS NHS,HISTOPATHOLOGY,LD PATH GROUP,27257.0,BART 01 - April.xlsx,1
2127435,2020-04-22 00:00:00,MEDICAL & SURGICAL EQUIPMENT,NON-INVASIVE VENTILATORS (NIV) X 10,PHILIPS HEALTHCARE UK,139108.0,BART 01 - April.xlsx,1
2127456,2020-04-22 00:00:00,STATIONERY - GENERAL,NUH HEALTH RECORDS,IRON MOUNTAIN (UK) LTD,65671.0,BART 01 - April.xlsx,1
2127471,2020-04-22 00:00:00,BANK PARTNERS CREDITOR,BH CURRENT LIABILITIES - FEEDERS,PULSE HEALTHCARE LTD,178285.0,BART 01 - April.xlsx,1
