ccg,date,expensetype,expensearea,supplier,transactionnumber,amount,file,negative
NHS Harrow CCG,30-Apr-20,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,HEADSTONE ROAD SURGERY,31972195,529.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR J WIJERATNE & PTNRS,31951232,529.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,PINNER ROAD SURGERY,31972201,541.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,ME-PMS GP Pension EEs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,DR H MISTRY & PTNRS,31972186,544.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-PMS Prof fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR N MERALI & PTNRS,31972193,550.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DRS R DAWOOD & R RUDD,31951251,574.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,SHAFTESBURY MEDICAL CENTRE,31951251,587.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR K M AMIN & DR P K AMIN,31972187,594.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ADO THE ENTERPRISE PRACTICE,31951222,596.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-PMS Prof fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR A KELSHIKER & PARTNER,31972182,608.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-PMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,HEADSTONE ROAD SURGERY,31972195,628.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,SHAFTESBURY MEDICAL CENTRE,31951256,639.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR D C PATEL & PARTNERS HARROW,31972185,655.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,K KARIA,31972197,725.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR KK VARA,31951236,827.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DR L N GOULD & PARTNERS,31972191,830.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DR P J DAVID,31951241,860.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,PINNER ROAD SURGERY,31972201,865.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-PMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR K M AMIN & DR P K AMIN,31972187,869.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-PMS Growth,PRC DELEGATED CO-COMMISSIONING,HEADSTONE ROAD SURGERY,31972195,882.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-PMS Growth,PRC DELEGATED CO-COMMISSIONING,PINNER ROAD SURGERY,31972201,888.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,V RAVIKUMAR,31972198,893.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,MOLLISON WAY SURGERY (AT MEDICS LTD),31972200,909.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-PMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,V RAVIKUMAR,31972198,934.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR RV RAJA,31951245,949.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR MP EDDINGTON & PARTNERS,31951243,962.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR SMA FAROOQI & PARTNERS,31972194,974.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR GA GOLDEN & PARTNER,31951230,996.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR M DAVEY & PARTNERS,31972188,1014.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR H MISTRY & PTNRS,31972186,1039.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-GMS Prem Clinical Waste,PRC DELEGATED CO-COMMISSIONING,DR J WIJERATNE & PTNRS,31951232,1063.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,DR MP EDDINGTON & PARTNERS,31951243,1078.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR L HOMMEL & PARTNERS,31972190,1148.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR RV RAJA,31951243,1148.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR VYAS & PNTERS,31972196,1183.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DR C JENNER & PARTNERS,31972183,1206.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-PMS PCO Doctors Ret Scheme,PRC DELEGATED CO-COMMISSIONING,DR C JENNER & PARTNERS,31972183,1230.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR MP EDDINGTON & PARTNERS,31951241,1419.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR F MCCLOGHRY & PARTNERS,31951227,1424.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-PMS Growth,PRC DELEGATED CO-COMMISSIONING,DR M DAVEY & PARTNERS,31972188,1449.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR SEYAN & PARTNERS,31951247,1466.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR GA GOLDEN & PARTNER,31951227,1468.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,ME-GMS GP Pension EEs Adjustments,PRC DELEGATED CO-COMMISSIONING,DR MP EDDINGTON & PARTNERS,31951243,1477.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DR A KELSHIKER & PARTNER,31972182,1581.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DR RV RAJA,31951245,1606.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR C JENNER & PARTNERS,31972183,1615.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR N MERALI & PTNRS,31972193,1616.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-PMS Growth,PRC DELEGATED CO-COMMISSIONING,DR K M AMIN & DR P K AMIN,31972187,1640.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-PMS PCN DES Invest & impact,PRC DELEGATED CO-COMMISSIONING,DR C NAGPAUL,31972184,1642.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-APMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,RIDGEWAY SURGERY,31972198,1645.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-PMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR VYAS & PNTERS,31972196,1658.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,DR N MERALI & PTNRS,31972193,1680.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR J WIJERATNE & PTNRS,31951232,1706.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DR L PETERS & PARTNERS,31972192,1718.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR C NAGPAUL,31972184,1732.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-PMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,DR C NAGPAUL,31972184,1770.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR L PETERS & PARTNERS,31972192,1794.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR MD PANDYA,31972189,1808.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,ADO THE ENTERPRISE PRACTICE,31922089,1886.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR L N GOULD & PARTNERS,31972191,1896.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,RIDGEWAY SURGERY,31972199,1989.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,K KARIA,31972197,2115.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR SMA FAROOQI & PARTNERS,31972194,2123.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,ME-GMS GP Pension AVCs,PRC DELEGATED CO-COMMISSIONING,DR L HOMMEL & PARTNERS,31972190,2155.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR P J DAVID,31951241,2246.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,V RAVIKUMAR,31972198,2294.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR D C PATEL & PARTNERS HARROW,31972185,2317.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-PMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR H MISTRY & PTNRS,31972186,2321.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR MP EDDINGTON & PARTNERS,31951243,2373.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,PINNER ROAD SURGERY,31972201,2376.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,SHAFTESBURY MEDICAL CENTRE,31951256,2389.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR F MCCLOGHRY & PARTNERS,31951227,2429.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-PMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR D C PATEL & PARTNERS HARROW,31972185,2493.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR SEYAN & PARTNERS,31951247,2508.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR SEYAN & PARTNERS,31951245,2540.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DRS R DAWOOD & R RUDD,31951251,2559.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,HEADSTONE ROAD SURGERY,31972195,2561.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,RIDGEWAY SURGERY,31972199,2567.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-PMS PCN DES Invest & impact,PRC DELEGATED CO-COMMISSIONING,DR D C PATEL & PARTNERS HARROW,31972185,2600.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR J WIJERATNE & PTNRS,31951232,2658.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR A KELSHIKER & PARTNER,31972182,2672.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-PMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,DR D C PATEL & PARTNERS HARROW,31972185,2802.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ADO THE ENTERPRISE PRACTICE,31951222,2814.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR F MCCLOGHRY & PARTNERS,31951222,2843.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-PMS Growth,PRC DELEGATED CO-COMMISSIONING,V RAVIKUMAR,31972198,2843.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR N MERALI & PTNRS,31972193,2914.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-PMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,RIDGEWAY SURGERY,31972199,2931.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-PMS PCN DES Invest & impact,PRC DELEGATED CO-COMMISSIONING,K KARIA,31972197,2998.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR K M AMIN & DR P K AMIN,31972187,3019.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR D C PATEL & PARTNERS HARROW,31972185,3086.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-PMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,K KARIA,31972197,3231.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,MOLLISON WAY SURGERY (AT MEDICS LTD),31972200,3234.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-PMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR C JENNER & PARTNERS,31972183,3412.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-PMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR N MERALI & PTNRS,31972193,3498.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,DR C NAGPAUL,31972184,3555.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-PMS PCN DES Invest & impact,PRC DELEGATED CO-COMMISSIONING,DR H MISTRY & PTNRS,31972186,3641.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-PMS PCN DES PCN support,LOCAL ENHANCED SERVICES,DR C NAGPAUL,31972184,3677.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,ME-GMS GP Pension EEs Adjustments,PRC DELEGATED CO-COMMISSIONING,DR L HOMMEL & PARTNERS,31972190,3710.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR J WIJERATNE & PTNRS,31951230,3849.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-PMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,DR H MISTRY & PTNRS,31972186,3923.0,NWHA 01 - April.pdf.csv,1
NHS Harrow CCG,30-Apr-20,C&M-PMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR SMA FAROOQI & PARTNERS,31972194,3968.0,NWHA 01 - April.pdf.csv,1
