organisationname,date,transactionnumber,supplier,expensearea,expensetype,amount,file,negative,ideptfamily
Royal Free London NHS Foundation Trust,03/07/2020,17401,Shire Pharmaceuticals Ltd,Tw:Balance Sheet-Dispen. Serv,Pharmacy Issues & Receipts,25200.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,06/07/2020,1466193,Nhs Resolution,Rf:Projects,Insurance Costs,2759807.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,06/07/2020,1466193,Nhs Resolution,Tw:Clinical Risk + Safety,Insurance Costs,58902.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,07/07/2020,17675,Alloga Uk,Tw:Balance Sheet-Dispen. Serv,Pharmacy Issues & Receipts,66099.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,09/07/2020,1432642,Cbre Ltd,Cd:Decontamination Services,Rent,89456.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,09/07/2020,1474125,Cbre Ltd,Bh:Sterile Services,Rent,-89456.0,ROYF 04-06 - July - September.csv,-1,
Royal Free London NHS Foundation Trust,10/07/2020,1436510,Rfl Property Services Limited,Tw:Balance Sheet,Property Services Finance Leas,1828800.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,10/07/2020,1445134,Mis Healthcare,Bh:Breast Screen,Radiology Equipment,118200.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,10/07/2020,1445142,Eddisons Commercial Property Management Ltd,Th:Tottenham Kcc-Dialysis,Rent,97379.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,10/07/2020,1448790,Rfl Property Services Limited,Rf:Property Services,Ic Management Service,71002.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,10/07/2020,1449299,Rfl Property Services Limited,Tw:Balance Sheet,Property Services Finance Leas,1828800.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,10/07/2020,1453124,Philips Healthcare (Surrey),Tw:Patient Systems,Other Non-Clinical Supplies,68358.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,10/07/2020,1453263,Logan Construction (Se) Ltd,Rf:Ward Refurbishment,Building Contracts,140221.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,10/07/2020,1454008,Cec Healthcare Coding Ltd,Tw:Clinical Coding,Other Non-Clinical Supplies,48086.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,10/07/2020,1457723,Sharpsmart Ltd,Rf:Waste Management,Refuse Collection-Clinical,240000.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,10/07/2020,1464633,Rfl Property Services Limited,Rf:Ih Catering Restaurant,Ic Ih Catering Retail,843355.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,10/07/2020,1464633,Rfl Property Services Limited,Rf:Ih Catering Restaurant,Ic Management Fee,43011.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,10/07/2020,1464668,Utilyx Healthcare Energy Services Ltd,Rf:Energy,Energy Management Contracts,150978.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,10/07/2020,1464669,Utilyx Healthcare Energy Services Ltd,Rf:Energy,Energy Management Contracts,150978.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,10/07/2020,1464921,University College London,Tw:R+D Manager,Other Med - Recharge In,25201.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,10/07/2020,1466183,Ernst & Young Llp,Tw:Financial Director,Consultancy Fees,36000.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,10/07/2020,1466220,Lloydspharmacy Clinical Homecare,Tw:Balance Sheet,Pharmacy Issues & Receipts,51825.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,10/07/2020,1466242,Lloydspharmacy Clinical Homecare,Tw:Balance Sheet,Pharmacy Issues & Receipts,44366.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,10/07/2020,1466277,Lloydspharmacy Clinical Homecare,Tw:Balance Sheet,Pharmacy Issues & Receipts,43885.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,10/07/2020,1467274,Pharmaxo Pharmacy Services Ltd,Tw:Balance Sheet,Pharmacy Issues & Receipts,32165.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,10/07/2020,1468043,Roche Products Ltd,Tw:Balance Sheet,Pharmacy Issues & Receipts,34451.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,10/07/2020,1468084,Alloga Uk,Tw:Balance Sheet,Pharmacy Issues & Receipts,27120.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,10/07/2020,1469708,The Richard Stephens Partnership,Tw:Nightingale Ward (Excel),Building Contracts,27985.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,10/07/2020,1469855,Haverstock Healthcare Ltd,Rf:A & E Nursing,Services Ccgs Clinical,75021.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,10/07/2020,1471101,Bayer Plc,Tw:Balance Sheet,Pharmacy Issues & Receipts,36498.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,10/07/2020,1471269,Macfarlan Smith Ltd,Tw:Balance Sheet,Pharmacy Issues & Receipts,36000.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,10/07/2020,1471506,Shire Pharmaceuticals Ltd,Tw:Balance Sheet,Pharmacy Issues & Receipts,77095.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,10/07/2020,1472880,Healthnet Homecare (Uk) Ltd,Tw:Balance Sheet,Pharmacy Issues & Receipts,32292.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,10/07/2020,1473840,Premier Inn Business Account,Rf:Accommodation-Pay,Patient Hotel Accommodation,58916.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,10/07/2020,1474124,Keystream Healthcare Resources Ltd,Tw:Information Man And Tech,Other Non-Clinical Supplies,45281.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,10/07/2020,17368,Janssen-Cilag Ltd,Tw:Balance Sheet-Dispen. Serv,Pharmacy Issues & Receipts,41665.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,10/07/2020,17466,Otsuka Pharmaceutical Europe Ltd,Tw:Balance Sheet-Dispen. Serv,Pharmacy Issues & Receipts,37695.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,10/07/2020,17592,Alcura Uk Ltd,Tw:Balance Sheet-Dispen. Serv,Pharmacy Issues & Receipts,27444.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,10/07/2020,17615,Janssen-Cilag Ltd,Tw:Balance Sheet-Dispen. Serv,Pharmacy Issues & Receipts,27449.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,10/07/2020,17617,Janssen-Cilag Ltd,Tw:Balance Sheet-Dispen. Serv,Pharmacy Issues & Receipts,34074.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,10/07/2020,3046,Compass Contract Services (Uk) Limited,Tw:Soft Fm Contracts,Other Soft Fm Contracts,94074.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,10/07/2020,3048,Compass Contract Services (Uk) Limited,Tw:Soft Fm Contracts,Other Soft Fm Contracts,142729.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,10/07/2020,3049,Compass Contract Services (Uk) Limited,Tw:Soft Fm Contracts,Other Soft Fm Contracts,88238.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,10/07/2020,3050,Compass Contract Services (Uk) Limited,Tw:Soft Fm Contracts,Other Soft Fm Contracts,321515.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,10/07/2020,3055,Compass Contract Services (Uk) Limited,Tw:Soft Fm Contracts,Other Soft Fm Contracts,105000.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,16/07/2020,1477887,Hmrc Cumbernauld,Tw:Balance Sheet,Creditors - Income Tax,7059119.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,16/07/2020,1477890,Hmrc Cumbernauld,Tw:Balance Sheet,Creditors-Nat Insurance-Ees,3325226.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,16/07/2020,1477892,Hmrc Cumbernauld,Tw:Balance Sheet,Creditors-Nat Insurance-Ers,4486565.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,16/07/2020,3128,Hmrc Cumbernauld,Tw:Balance Sheet-Property Serv,Creditors - Income Tax,37505.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,17/07/2020,1368966,Nhs Pensions,Tw:Balance Sheet,Early Retirement > 1 Year,129475.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,17/07/2020,1372622,Kcom Group Ltd,Tw:It Infrastructure,It Maintenance,31459.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,17/07/2020,1412191,Rfl Dispensary Services Ltd,Rf:Dispensary Services,Ic Management Service,101151.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,17/07/2020,1412195,Rfl Dispensary Services Ltd,Rf:Dispensary Services,Ic Management Service,100353.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,17/07/2020,1413024,Rfl Property Services Limited,Rf:Rfh Transport,Ic Management Service,43337.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,17/07/2020,1431813,Barts Health Nhs Trust,Bh:Celbss Breast Screening,Consultant - Recharge In,50614.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,17/07/2020,1443787,Barts Health Nhs Trust,Bh:Celbss Breast Screening,Consultant-Nhs,44789.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,17/07/2020,1444755,Barts Health Nhs Trust,Bh:Celbss Breast Screening,Consultant-Nhs,55777.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,17/07/2020,1445000,Supply Chain Coordination Ltd (Maintenance),Rf:Engineering,Eng Mnt-Ext Repairs,27622.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,17/07/2020,1445162,Barts Health Nhs Trust,Bh:Celbss Breast Screening,Ahp Recharges In,-42334.0,ROYF 04-06 - July - September.csv,-1,
Royal Free London NHS Foundation Trust,17/07/2020,1445171,Barts Health Nhs Trust,Bh:Celbss Breast Screening,Ahp Recharges In,-36151.0,ROYF 04-06 - July - September.csv,-1,
Royal Free London NHS Foundation Trust,17/07/2020,1448080,Wt Partnership,Tw:Nightingale Ward (Excel),Building Contracts,75750.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,17/07/2020,1449867,Rfl Dispensary Services Ltd,Rf:Dispensary Services,Ic Management Service,67593.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,17/07/2020,1452801,British Red Cross,Rf:Rfh Facilities Management,Other Non-Clinical Services,92527.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,17/07/2020,1452897,Metricab Power Engineering Limited,Rf:Electrical Projects-Backlog,Engineering Contracts,123637.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,17/07/2020,1457333,Rfl Dispensary Services Ltd,Rf:Dispensary Services,Ic Management Service,129670.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,17/07/2020,1460930,Organox Ltd,Rf:Nors,Med&Surg Equipment Disposable,28080.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,17/07/2020,1461127,Rfl Dispensary Services Ltd,Rf:Pharmacy - Patients Serv.S,Ic Management Service,66572.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,17/07/2020,1461823,Supply Chain Coordination Ltd (Consumables),Tw:Balance Sheet,Creditors-Nhs Supplies Service,61852.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,17/07/2020,1461825,Supply Chain Coordination Ltd (Consumables),Tw:Balance Sheet,Creditors-Nhs Supplies Service,102768.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,17/07/2020,1464809,Molnlycke Healthcare Ltd,Tw:Commercial  Finance,Other Non-Clinical Supplies,32726.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,17/07/2020,1464814,Ellis Building Services Ltd,Rf:Covid 19 2na Icu Surge,Engineering Equip & Materials,56950.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,17/07/2020,1466032,Supply Chain Coordination Ltd (Consumables),Tw:Balance Sheet,Creditors-Nhs Supplies Service,84940.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,17/07/2020,1466034,Supply Chain Coordination Ltd (Consumables),Tw:Balance Sheet,Creditors-Nhs Supplies Service,97125.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,17/07/2020,1466078,Mbi Healthcare Technologies Ltd,Tw:Performance Information,Other Non-Clinical Services,62400.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,17/07/2020,1466278,Lloydspharmacy Clinical Homecare,Tw:Balance Sheet,Pharmacy Issues & Receipts,25118.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,17/07/2020,1466473,Healthcare At Home Ltd,Tw:Balance Sheet,Pharmacy Issues & Receipts,26813.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,17/07/2020,1466659,Healthcare At Home Ltd,Tw:Balance Sheet,Pharmacy Issues & Receipts,31888.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,17/07/2020,1469597,Nhs Pensions,Tw:Balance Sheet,Early Retirement > 1 Year,131433.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,17/07/2020,1469807,Haverstock Healthcare Ltd,Bh:A&E Med Staff,Agency Other Medical,82617.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,17/07/2020,1470638,The Anthony Nolan Trust,Rf:Bmt Medical,Healthcare Voluntary Sector,67464.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,17/07/2020,1470909,Aah Pharmaceutical Ltd,Tw:Balance Sheet,Pharmacy Issues & Receipts,32349.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,17/07/2020,1470911,Aah Pharmaceutical Ltd,Tw:Balance Sheet,Pharmacy Issues & Receipts,64698.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,17/07/2020,1471283,Novartis Pharmaceuticals,Tw:Balance Sheet,Pharmacy Issues & Receipts,176392.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,17/07/2020,1471507,Shire Pharmaceuticals Ltd,Tw:Balance Sheet,Pharmacy Issues & Receipts,154000.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,17/07/2020,1471561,Alloga Uk,Tw:Balance Sheet,Pharmacy Issues & Receipts,27120.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,17/07/2020,1471562,Alloga Uk,Tw:Balance Sheet,Pharmacy Issues & Receipts,27120.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,17/07/2020,1471568,Alloga Uk,Tw:Balance Sheet,Pharmacy Issues & Receipts,71689.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,17/07/2020,1472076,Lloydspharmacy Clinical Homecare,Tw:Balance Sheet,Pharmacy Issues & Receipts,55727.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,17/07/2020,1472079,Lloydspharmacy Clinical Homecare,Tw:Balance Sheet,Pharmacy Issues & Receipts,25144.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,17/07/2020,1472560,Healthcare At Home Ltd,Tw:Balance Sheet,Pharmacy Issues & Receipts,28760.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,17/07/2020,1472834,Pharmaxo Pharmacy Services Ltd,Tw:Balance Sheet,Pharmacy Issues & Receipts,31841.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,17/07/2020,1473030,Logan Construction (Se) Ltd,Rf:Nucmed Enabling Works,Consultancy Fees,151320.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,17/07/2020,1473440,Philips Respironics Uk Ltd,Rf:Thoracic Medicine,Anaesthetic Equip&Accessories,31877.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,17/07/2020,1473775,Childcare Vouchers Ltd,Tw:Balance Sheet,Creditors-S&W-Jury Service,30582.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,17/07/2020,1475287,Bayer Plc,Tw:Balance Sheet,Pharmacy Issues & Receipts,36498.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,17/07/2020,1476867,Healthnet Homecare (Uk) Ltd,Tw:Balance Sheet,Pharmacy Issues & Receipts,32292.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,17/07/2020,1477422,Cuffe Plc,Rf:Fire Code Funding,Building Contracts,173018.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,17/07/2020,1477715,Organox Ltd,Rf:Nors,Med&Surg Equipment Disposable,28080.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,17/07/2020,17854,Gilead Sciences Ltd,Tw:Balance Sheet-Dispen. Serv,Pharmacy Issues & Receipts,54049.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,17/07/2020,3062,Imtech Low Carbon Solutions Ltd,Tw:Energy & Utilities,Msse Maintenance Contracts,46818.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,17/07/2020,3135,Cbre Managed Services Ltd,Tw:Estates Maintenance,Msse Maintenance Contracts,55694.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,24/07/2020,1432023,Synergy Health Managed Services Ltd,Bh:Operations Dir Admin,Bedding & Linen,52948.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,24/07/2020,1440709,Ellis Building Services Ltd,Rf:Mechanical Projects-Backlog,Estates Services Contracts,115601.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,24/07/2020,1449783,Change Healthcare Uk Holdings Ltd,Rf:Diagnostic Cardiology,Msse Maintenance Contracts,94948.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,24/07/2020,1449807,Boc Ltd,Rf:Corona Virus 11south Works,Engineering Equip & Materials,87660.0,ROYF 04-06 - July - September.csv,1,
Royal Free London NHS Foundation Trust,24/07/2020,1450117,Synergy Health Managed Services Ltd,Bh:Operations Dir Admin,Bedding & Linen,55584.0,ROYF 04-06 - July - September.csv,1,
