ccg,date,expensearea,expensetype,supplier,transactionnumber,amount,file,negative,expensetypoe
NHS Central London CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,BELGRAVIA SURGERY,31899218,1096.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BELGRAVIA SURGERY,31899218,3577.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,BELGRAVIA SURGERY,31899218,3240.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,BELGRAVIA SURGERY,31899218,3842.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR ABOUZEKRY,31899218,25279.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR ABOUZEKRY,31899221,460.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR ABOUZEKRY,31899221,2129.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR G AHMED,31899221,30233.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR G AHMED,31899224,547.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR G AHMED,31899224,2129.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR VICTORIA MUIRS PRACTICE,31899224,845.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR VICTORIA MUIRS PRACTICE,31899231,64145.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR VICTORIA MUIRS PRACTICE,31899231,1222.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR VICTORIA MUIRS PRACTICE,31899231,3333.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR VICTORIA MUIRS PRACTICE,31899231,111.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR VICTORIA MUIRS PRACTICE,31899231,5663.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,FITZROVIA MEDICAL CENTRE,31899231,1604.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,FITZROVIA MEDICAL CENTRE,31899232,54299.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,FITZROVIA MEDICAL CENTRE,31899232,1053.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,FITZROVIA MEDICAL CENTRE,31899232,246.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,FITZROVIA MEDICAL CENTRE,31899232,2311.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,IMPERIAL COLLEGE HEALTH CENTRE,31899232,84013.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,IMPERIAL COLLEGE HEALTH CENTRE,31899234,1576.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,IMPERIAL COLLEGE HEALTH CENTRE,31899234,36959.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,IMPERIAL COLLEGE HEALTH CENTRE,31899234,2097.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,LITTLE VENICE MEDICAL CENTRE,31899234,37807.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,LITTLE VENICE MEDICAL CENTRE,31899239,726.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,LITTLE VENICE MEDICAL CENTRE,31899239,2685.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,MAIDA VALE MEDICAL CENTRE (THE),31899239,590.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,MAIDA VALE MEDICAL CENTRE (THE),31899243,48833.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,MAIDA VALE MEDICAL CENTRE (THE),31899243,935.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,MAIDA VALE MEDICAL CENTRE (THE),31899243,4500.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,MAIDA VALE MEDICAL CENTRE (THE),31899243,64.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,MAIDA VALE MEDICAL CENTRE (THE),31899243,2923.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,SOHO SQUARE SURGERY,31899243,281.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,SOHO SQUARE SURGERY,31899247,24888.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,SOHO SQUARE SURGERY,31899247,445.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,SOHO SQUARE SURGERY,31899247,45.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,SOHO SQUARE SURGERY,31899247,991.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,PIMLICO HEALTH AT THE MARVEN SURGERY,31899247,1774.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,PIMLICO HEALTH AT THE MARVEN SURGERY,31899253,101361.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,PIMLICO HEALTH AT THE MARVEN SURGERY,31899253,1966.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,C&M-GMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,PIMLICO HEALTH AT THE MARVEN SURGERY,31899253,1463.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,PIMLICO HEALTH AT THE MARVEN SURGERY,31899253,15350.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,PIMLICO HEALTH AT THE MARVEN SURGERY,31899253,211.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,PIMLICO HEALTH AT THE MARVEN SURGERY,31899253,8160.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,CRAWFORD STREET SURGERY,31899253,579.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,CRAWFORD STREET SURGERY,31899256,723.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,CRAWFORD STREET SURGERY,31899256,4189.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,CRAWFORD STREET SURGERY,31899256,53.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CRAWFORD STREET SURGERY,31899256,2068.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,C&M-GMS Cost of Drugs -Prescribing,PRESCRIBING,MEDICAL CENTRE WOODFIELD ROAD,31899256,214.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,MEDICAL CENTRE WOODFIELD ROAD,31902153,32501.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,MEDICAL CENTRE WOODFIELD ROAD,31902153,620.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,C&M-GMS PCO Locum Sickness,PRC DELEGATED CO-COMMISSIONING,MEDICAL CENTRE WOODFIELD ROAD,31902153,4035.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,MEDICAL CENTRE WOODFIELD ROAD,31902153,37.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,MEDICAL CENTRE WOODFIELD ROAD,31902153,1589.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,Clinical&Medical-Voluntary Sector,HOSPICES,HOSPITAL OF ST JOHN & ST ELIZABETH,31902153,35250.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,Clinical&Medical-Voluntary Sector,HOSPICES,HOSPITAL OF ST JOHN & ST ELIZABETH,31909122,61500.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,Clinical&Medical-Independent Sector,COMMISSIONING SCHEMES,CENTRAL LONDON HEALTHCARE,31909124,234541.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,Clinical&Medical-Independent Sector,COMMISSIONING SCHEMES,SWPCH,31910034,114115.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,Clinical&Medical-Independent Sector,COMMISSIONING SCHEMES,SWPCH,31910038,29258.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,CENTRAL LONDON HEALTHCARE,31910040,34649.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,COVENT GARDEN MEDICAL CENTRE,31910042,296.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,COVENT GARDEN MEDICAL CENTRE,31913996,5553.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,COVENT GARDEN MEDICAL CENTRE,31913996,38401.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,C&M-GMS PCN DES Invest & impact,PRC DELEGATED CO-COMMISSIONING,COVENT GARDEN MEDICAL CENTRE,31913996,2566.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,C&M-GMS PCN DES Clin Pharmacist,PRC DELEGATED CO-COMMISSIONING,COVENT GARDEN MEDICAL CENTRE,31913996,7551.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,C&M-GMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,COVENT GARDEN MEDICAL CENTRE,31913996,2765.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,C&M-GMS PCN DES PCN support,LOCAL ENHANCED SERVICES,COVENT GARDEN MEDICAL CENTRE,31913996,5745.0,NWCL 01 -  April.pdf.csv,1,
NHS Central London CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,COVENT GARDEN MEDICAL CENTRE,31913996,674.0,NWCL 01 -  April.pdf.csv,1,
