ccg,date,expensetype,expensearea,supplier,transactionnumber,amount,file,negative,expsenearea
NHS Hounslow CCG,31/10/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,GROVE VILLAGE MEDICAL CENTRE,34167028,5064.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-PMS Additional Staff Payments,PRC DELEGATED CO-COMMISSIONING,HOLLY ROAD MEDICAL CENTRE,34167030,5658.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,HOLLY ROAD MEDICAL CENTRE,34167030,29705.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-PMS Growth,PRC DELEGATED CO-COMMISSIONING,HOLLY ROAD MEDICAL CENTRE,34167030,2990.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,HOLLY ROAD MEDICAL CENTRE,34167030,558.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-PMS PCO Other,PRC DELEGATED CO-COMMISSIONING,HOLLY ROAD MEDICAL CENTRE,34167030,2857.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,HOLLY ROAD MEDICAL CENTRE,34167030,6310.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,HOLLY ROAD MEDICAL CENTRE,34167030,2292.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,KINGFISHER PRACTICE DR VJ PHILIP & PARTNER,34167032,45192.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-PMS Growth,PRC DELEGATED CO-COMMISSIONING,KINGFISHER PRACTICE DR VJ PHILIP & PARTNER,34167032,2196.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,KINGFISHER PRACTICE DR VJ PHILIP & PARTNER,34167032,825.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-PMS PCO Doctors Ret Scheme,PRC DELEGATED CO-COMMISSIONING,KINGFISHER PRACTICE DR VJ PHILIP & PARTNER,34167032,5538.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,KINGFISHER PRACTICE DR VJ PHILIP & PARTNER,34167032,4080.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,ME - PMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,KINGFISHER PRACTICE DR VJ PHILIP & PARTNER,34167032,58.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,ME-PMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,KINGFISHER PRACTICE DR VJ PHILIP & PARTNER,34167032,55.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,REDWOOD PRACTICE DR P SHENTON & PARTNER,34167033,53122.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,REDWOOD PRACTICE DR P SHENTON & PARTNER,34167033,970.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,REDWOOD PRACTICE DR P SHENTON & PARTNER,34167033,4417.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,ST MARGARETS MEDICAL PRACTICE,34167034,-4839.0,NWHO 07 - October.pdf.csv,-1,
NHS Hounslow CCG,31/10/2020,ME - PMS TPS Added Years Adj EEs,PRC DELEGATED CO-COMMISSIONING,ST MARGARETS MEDICAL PRACTICE,34167034,-17962.0,NWHO 07 - October.pdf.csv,-1,
NHS Hounslow CCG,31/10/2020,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,ST MARGARETS MEDICAL PRACTICE,34167034,-8007.0,NWHO 07 - October.pdf.csv,-1,
NHS Hounslow CCG,31/10/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,ST MARGARETS MEDICAL PRACTICE,34167034,-8424.0,NWHO 07 - October.pdf.csv,-1,
NHS Hounslow CCG,31/10/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ST MARGARETS MEDICAL PRACTICE,34167035,104119.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ST MARGARETS MEDICAL PRACTICE,34167035,1900.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-PMS PCO Doctors Ret Scheme,PRC DELEGATED CO-COMMISSIONING,ST MARGARETS MEDICAL PRACTICE,34167035,3000.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,ST MARGARETS MEDICAL PRACTICE,34167035,4291.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,ST MARGARETS MEDICAL PRACTICE,34167035,3347.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,ST MARGARETS MEDICAL PRACTICE,34167035,49.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ST MARGARETS MEDICAL PRACTICE,34167035,7271.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-APMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,ARGYLE HEALTH ISLEWORTH LTD,34167037,-7316.0,NWHO 07 - October.pdf.csv,-1,
NHS Hounslow CCG,31/10/2020,C&M-APMS OOH Opt Outs,PRC DELEGATED CO-COMMISSIONING,ARGYLE HEALTH ISLEWORTH LTD,34167037,-3964.0,NWHO 07 - October.pdf.csv,-1,
NHS Hounslow CCG,31/10/2020,C&M-APMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,ARGYLE HEALTH ISLEWORTH LTD,34167037,-3643.0,NWHO 07 - October.pdf.csv,-1,
NHS Hounslow CCG,31/10/2020,C&M-APMS PCN DES PCN support,LOCAL ENHANCED SERVICES,ARGYLE HEALTH ISLEWORTH LTD,34167037,-7569.0,NWHO 07 - October.pdf.csv,-1,
NHS Hounslow CCG,31/10/2020,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,ARGYLE HEALTH ISLEWORTH LTD,34167037,-4147.0,NWHO 07 - October.pdf.csv,-1,
NHS Hounslow CCG,31/10/2020,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,HMC HEALTH BEDFONT,34167039,52741.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,HMC HEALTH BEDFONT,34167039,811.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-APMS PCO Other,PRC DELEGATED CO-COMMISSIONING,HMC HEALTH BEDFONT,34167039,3743.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-APMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,HMC HEALTH BEDFONT,34167039,2038.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,HMC HEALTH BEDFONT,34167039,3188.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,HMC HEALTH HOUNSLOW,34167041,145657.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,HMC HEALTH HOUNSLOW,34167041,2277.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-APMS PCO Other,PRC DELEGATED CO-COMMISSIONING,HMC HEALTH HOUNSLOW,34167041,10734.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,HMC HEALTH HOUNSLOW,34167041,7850.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,HMC HEALTH FELTHAM,34167043,86700.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,HMC HEALTH FELTHAM,34167043,1379.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-APMS PCO Other,PRC DELEGATED CO-COMMISSIONING,HMC HEALTH FELTHAM,34167043,6422.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,HMC HEALTH FELTHAM,34167043,3924.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,HMC HEALTH HESTON & GREAT WEST SURGERY,34167045,75422.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,HMC HEALTH HESTON & GREAT WEST SURGERY,34167045,1268.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-APMS PCO Other,PRC DELEGATED CO-COMMISSIONING,HMC HEALTH HESTON & GREAT WEST SURGERY,34167045,3728.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,HMC HEALTH HESTON & GREAT WEST SURGERY,34167045,5712.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M- PCN DES CARE HOME PREMIUM,PRC DELEGATED CO-COMMISSIONING,WILLOW PRACTICE,34187712,630.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,WILLOW PRACTICE,34187712,36388.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,WILLOW PRACTICE,34187712,20607.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-PMS Growth,PRC DELEGATED CO-COMMISSIONING,WILLOW PRACTICE,34187712,1557.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-PMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,WILLOW PRACTICE,34187712,10240.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-PMS PCN DES PCN support,LOCAL ENHANCED SERVICES,WILLOW PRACTICE,34187712,21303.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,WILLOW PRACTICE,34187712,670.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,WILLOW PRACTICE,34187712,3853.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,ME-PMS GP Pension EEs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,WILLOW PRACTICE,34187712,148.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,WILLOW PRACTICE,34187712,230.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ARGYLE HEALTH ISLEWORTH LTD,34187713,95905.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-APMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,ARGYLE HEALTH ISLEWORTH LTD,34187713,7316.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-APMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,ARGYLE HEALTH ISLEWORTH LTD,34187713,3643.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-APMS PCN DES PCN support,LOCAL ENHANCED SERVICES,ARGYLE HEALTH ISLEWORTH LTD,34187713,7569.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ARGYLE HEALTH ISLEWORTH LTD,34187713,1546.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,ARGYLE HEALTH ISLEWORTH LTD,34187713,7327.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-PMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,ARGYLE HEALTH ISLEWORTH LTD,34187713,3633.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-PMS PCN DES PCN support,LOCAL ENHANCED SERVICES,ARGYLE HEALTH ISLEWORTH LTD,34187713,7569.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ARGYLE HEALTH ISLEWORTH LTD,34187713,6010.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,Income tax <1Yr,BALANCE SHEET,HMRC,34198925,29587.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,Income tax <1Yr-Student Loans,BALANCE SHEET,HMRC,34198925,971.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,National Insurance < 1 yr-NI- ERS,BALANCE SHEET,HMRC,34198925,21823.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,National Insurance < 1 yr-NI-EES,BALANCE SHEET,HMRC,34198925,15305.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,Statutory Mat Pay < 1 yr,BALANCE SHEET,HMRC,34198925,-973.0,NWHO 07 - October.pdf.csv,-1,
NHS Hounslow CCG,31/10/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ASHFORD & ST PETERS HOSPITALS NHSFT,34201766,1148000.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,CENTRAL & NORTH WEST LONDON NHS FOUNDATION TRUST,34201767,52833.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION,34201768,11282667.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,"TRUST
FRIMLEY HEALTH NHS FOUNDATION TRUST",34201769,66833.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST,34201770,151000.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,HILLINGDON HOSPITALS NHS FOUNDATION TRUST,34201771,242667.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,Hcare Srv Rec NHS Trust-Contract Baseline,COMMUNITY SERVICES,HOUNSLOW AND RICHMOND COMMUNITY HEALTHCARE NHS,34201772,2859333.0,NWHO 07 - October.pdf.csv,1,
NHS Hounslow CCG,31/10/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,"TRUST
IMPERIAL COLLEGE HEALTHCARE NHS TRUST",34201773,3188667.0,NWHO 07 - October.pdf.csv,1,
