date,expensetype,supplier,transactionnumber,amount,file,negative
08-Jun-20,PREMISES & FIXED PLANT,UK0691240601 : Roothings Builders Ltd,RBL670,30816.0,KGST 03 - June.csv,1
26-May-20,CLINICAL SUPPLIES & SERVICES,UK0275960901 : Healthcare at Home Ltd,OP/9206612,30300.0,KGST 03 - June.csv,1
10-Jun-20,GENERAL SUPPLIES & SERVICES,UK0525534401 : Nautilus Consulting Ltd,INV-1369,30000.0,KGST 03 - June.csv,1
14-Jun-20,PREMISES & FIXED PLANT,UK0411321501 : M & O Building Contractors Ltd,4156,29114.0,KGST 03 - June.csv,1
29-Jun-20,PREMISES & FIXED PLANT,UK0691240601 : Roothings Builders Ltd,RBL681,28195.0,KGST 03 - June.csv,1
01-Apr-20,CLINICAL SUPPLIES & SERVICES,UK0311454701 : Scribetech (UK) Ltd,2008,25171.0,KGST 03 - June.csv,1
31-Mar-20,PREMISES & FIXED PLANT,WPS00E504301 : Royal Bor of Kingston Upon Tha,36876285,25127.0,KGST 03 - June.csv,1
11-Feb-20,PREMISES & FIXED PLANT,WPS00E504301 : Royal Bor of Kingston Upon Tha,36846858,25127.0,KGST 03 - June.csv,1
08-Jul-20,CLINICAL SUPPLIES & SERVICES,NHS0000RJ701 : St Georges Healthcare NHST,6476048,1098599.0,KGST 04 - July.csv,1
17-Jun-20,PREMISES & FIXED PLANT,UK0577117901 : Ensigna Construction Ltd,3660,289560.0,KGST 04 - July.csv,1
01-Jul-20,CLINICAL SUPPLIES & SERVICES,UK0092855501 : Boots UK Ltd,1800104238,257803.0,KGST 04 - July.csv,1
09-Jul-20,CLINICAL SUPPLIES & SERVICES,UK0012345801 : AAH Pharmaceuticals Ltd,Jul-20,175000.0,KGST 04 - July.csv,1
09-Jul-20,CLINICAL SUPPLIES & SERVICES,UK0012345801 : AAH Pharmaceuticals Ltd,Jun-20,175000.0,KGST 04 - July.csv,1
28-May-20,CLINICAL SUPPLIES & SERVICES,UK0519023401 : InHealth Ltd,IHLIN0024144,168925.0,KGST 04 - July.csv,1
17-Jun-20,CLINICAL SUPPLIES & SERVICES,UK0519023401 : InHealth Ltd,IHLIN0024482,168925.0,KGST 04 - July.csv,1
23-Jun-20,CLINICAL SUPPLIES & SERVICES,UK0093504801 : Bayer plc,824C286475,136868.0,KGST 04 - July.csv,1
08-Jul-20,CLINICAL SUPPLIES & SERVICES,UK0093504801 : Bayer plc,824C288905,136868.0,KGST 04 - July.csv,1
27-May-20,CLINICAL SUPPLIES & SERVICES,NHS0000RJ701 : St Georges Healthcare NHST,6474386,122790.0,KGST 04 - July.csv,1
07-Jul-20,IT SERVICES,UK0161697701 : Bytes Software Services Ltd,650163,116256.0,KGST 04 - July.csv,1
13-Apr-20,IT SERVICES,UK0251930501 : Cerner Ltd,101742681,95314.0,KGST 04 - July.csv,1
14-Jul-20,IT SERVICES,UK0251930501 : Cerner Ltd,101781619,95314.0,KGST 04 - July.csv,1
02-Jun-20,IT SERVICES,UK0251930501 : Cerner Ltd,101761731,95314.0,KGST 04 - July.csv,1
17-Mar-20,CLINICAL SUPPLIES & SERVICES,NHS0000RJ701 : St Georges Healthcare NHST,6471513,90500.0,KGST 04 - July.csv,1
15-Jul-20,PREMISES & FIXED PLANT,UK0411321501 : M & O Building Contractors Ltd,4178,87086.0,KGST 04 - July.csv,1
13-Jul-20,GENERAL SUPPLIES & SERVICES,UK0258575901 : Veolia Energy & Utility Services UK Plc,90245102,84784.0,KGST 04 - July.csv,1
10-Jul-20,CLINICAL SUPPLIES & SERVICES,UK0177133301 : Synergy Health UK Ltd T/A Steris,65594,83186.0,KGST 04 - July.csv,1
30-Jun-20,TRANSPORT EXPENSES,UK0496163501 : Falck UK Ambulance Service Ltd,25893,74225.0,KGST 04 - July.csv,1
03-Jul-20,IT SERVICES,UK0188465601 : Capita Secure Information Solutions Ltd,6060045148,74105.0,KGST 04 - July.csv,1
15-Jul-20,CLINICAL SUPPLIES & SERVICES,WPS0NBA03301 : NHS Blood & Transplant exc BPL,890508,72066.0,KGST 04 - July.csv,1
24-Jul-20,CLINICAL SUPPLIES & SERVICES,UK1088171501 : SCCL T/A NHS Supply Chain ROARP,1121070090,70648.0,KGST 04 - July.csv,1
02-Jun-20,IT SERVICES,UK0251930501 : Cerner Ltd,101761732,69696.0,KGST 04 - July.csv,1
14-Jul-20,IT SERVICES,UK0251930501 : Cerner Ltd,101781620,69696.0,KGST 04 - July.csv,1
08-Jul-20,GENERAL SUPPLIES & SERVICES,UK0279833401 : Corona Energy Retail 4 Ltd,15377117,58687.0,KGST 04 - July.csv,1
01-Jun-20,CLINICAL SUPPLIES & SERVICES,UK0839315001 : Synergy Health Managed Services Ltd,30011547,54873.0,KGST 04 - July.csv,1
26-Jun-20,CLINICAL SUPPLIES & SERVICES,UK1088171501 : SCCL T/A NHS Supply Chain ROARP,1121053275,54073.0,KGST 04 - July.csv,1
01-Jul-20,CLINICAL SUPPLIES & SERVICES,UK0092855501 : Boots UK Ltd,1800104239,46466.0,KGST 04 - July.csv,1
19-Mar-20,PREMISES & FIXED PLANT,UK0859924801 : Howard Wright Europe Ltd,3391,46186.0,KGST 04 - July.csv,1
17-Jul-20,CLINICAL SUPPLIES & SERVICES,UK1088171501 : SCCL T/A NHS Supply Chain ROARP,1121066153,43941.0,KGST 04 - July.csv,1
03-Jul-20,CLINICAL SUPPLIES & SERVICES,UK1088171501 : SCCL T/A NHS Supply Chain ROARP,1121057426,41063.0,KGST 04 - July.csv,1
14-Jul-20,IT SERVICES,UK0251930501 : Cerner Ltd,101781621,39772.0,KGST 04 - July.csv,1
10-Jul-20,CLINICAL SUPPLIES & SERVICES,UK1088171501 : SCCL T/A NHS Supply Chain ROARP,1121061564,39755.0,KGST 04 - July.csv,1
03-Apr-20,IT SERVICES,UK0283856101 : Elcom Systems Ltd,INV-101649.,39720.0,KGST 04 - July.csv,1
30-Jun-20,CLINICAL SUPPLIES & SERVICES,UK0006253701 : Bunzl Retail & Healthcare Supplies Ltd,019/JUNE20,39472.0,KGST 04 - July.csv,1
17-Mar-20,CLINICAL SUPPLIES & SERVICES,NHS0000RJ701 : St Georges Healthcare NHST,6471511,37750.0,KGST 04 - July.csv,1
26-Jun-20,CLINICAL SUPPLIES & SERVICES,UK0085270201 : Becton Dickinson UK Ltd,200059405,35896.0,KGST 04 - July.csv,1
30-Jun-20,CLINICAL SUPPLIES & SERVICES,UK0275960901 : Healthcare at Home Ltd,OP/9319213,35100.0,KGST 04 - July.csv,1
10-Jul-20,CLINICAL SUPPLIES & SERVICES,UK0519023401 : InHealth Ltd,IHLIN0024807,34311.0,KGST 04 - July.csv,1
15-Jun-20,CLINICAL SUPPLIES & SERVICES,UK0519023401 : InHealth Ltd,IHLIN0024451,34311.0,KGST 04 - July.csv,1
15-Jun-20,CLINICAL SUPPLIES & SERVICES,UK0519023401 : InHealth Ltd,IHLIN0024450,34311.0,KGST 04 - July.csv,1
16-Jul-20,PREMISES & FIXED PLANT,UK0411321501 : M & O Building Contractors Ltd,4175,34255.0,KGST 04 - July.csv,1
14-Jul-20,CLINICAL SUPPLIES & SERVICES,NRB000227401 : I Thaler & J Wilson T/A Thaler Contracts,734,34023.0,KGST 04 - July.csv,1
30-Jun-20,TRANSPORT EXPENSES,UK0496163501 : Falck UK Ambulance Service Ltd,SIN003688,33850.0,KGST 04 - July.csv,1
29-Jun-20,IT SERVICES,UK0408413101 : Healthcare Communications UK Ltd,INVHEA00000417,33845.0,KGST 04 - July.csv,1
30-Mar-20,PENSIONS LIABILITIES,WPS00T145001 : NHS PENSIONS,2000003202,32843.0,KGST 04 - July.csv,1
23-Jun-20,GENERAL SUPPLIES & SERVICES,UK0525534401 : Nautilus Consulting Ltd,INV-1373,32834.0,KGST 04 - July.csv,1
30-Jun-20,PENSIONS LIABILITIES,WPS00T145001 : NHS PENSIONS,2000003500,31311.0,KGST 04 - July.csv,1
31-Dec-19,PENSIONS LIABILITIES,WPS00T145001 : NHS PENSIONS,2000002808,30618.0,KGST 04 - July.csv,1
01-Jul-20,GENERAL SUPPLIES & SERVICES,UK1023092001 : P2G Management Ltd,PML0038,27712.0,KGST 04 - July.csv,1
04-Aug-20,CLINICAL SUPPLIES & SERVICES,NHS0000RJ701 : St Georges Healthcare NHST,6477136,913904.0,KGST 05 - August.csv,1
01-Aug-20,CLINICAL SUPPLIES & SERVICES,UK0092855501 : Boots UK Ltd,1800112889,267523.0,KGST 05 - August.csv,1
03-Aug-20,CLINICAL SUPPLIES & SERVICES,UK0012345801 : AAH Pharmaceuticals Ltd,Aug-20,175000.0,KGST 05 - August.csv,1
01-Jun-20,PREMISES & FIXED PLANT,WPS00E504301 : Royal Bor of Kingston Upon Tha,1233041/JUNE20,144172.0,KGST 05 - August.csv,1
01-May-20,PREMISES & FIXED PLANT,WPS00E504301 : Royal Bor of Kingston Upon Tha,1233041/MAY20,144172.0,KGST 05 - August.csv,1
01-Jul-20,PREMISES & FIXED PLANT,WPS00E504301 : Royal Bor of Kingston Upon Tha,1233041/JULY20,144172.0,KGST 05 - August.csv,1
01-Apr-20,PREMISES & FIXED PLANT,WPS00E504301 : Royal Bor of Kingston Upon Tha,1233041/APRIL20,144172.0,KGST 05 - August.csv,1
01-Aug-20,PREMISES & FIXED PLANT,WPS00E504301 : Royal Bor of Kingston Upon Tha,1233041/AUG20,144172.0,KGST 05 - August.csv,1
07-May-20,CLINICAL SUPPLIES & SERVICES,UK0057064701 : Spacelabs Healthcare (UK) Ltd,IN283971,100115.0,KGST 05 - August.csv,1
22-Jul-20,GENERAL SUPPLIES & SERVICES,UKOC33365301 : Pinsent Masons LLP,6547584,80679.0,KGST 05 - August.csv,1
05-Aug-20,GENERAL SUPPLIES & SERVICES,UK0279833401 : Corona Energy Retail 4 Ltd,15446880,67904.0,KGST 05 - August.csv,1
05-Aug-20,GENERAL SUPPLIES & SERVICES,UK0279833401 : Corona Energy Retail 4 Ltd,15449159,66842.0,KGST 05 - August.csv,1
31-Jul-20,CLINICAL SUPPLIES & SERVICES,UK1088171501 : SCCL T/A NHS Supply Chain ROARP,1121074099,53511.0,KGST 05 - August.csv,1
04-Aug-20,GENERAL SUPPLIES & SERVICES,UK0265832401 : Neopost Limited,306619/ISS/136,49999.0,KGST 05 - August.csv,1
20-May-20,CLINICAL SUPPLIES & SERVICES,UK0057064701 : Spacelabs Healthcare (UK) Ltd,IN284406,47899.0,KGST 05 - August.csv,1
01-Aug-20,CLINICAL SUPPLIES & SERVICES,UK0092855501 : Boots UK Ltd,1800112890,46466.0,KGST 05 - August.csv,1
19-Jul-20,WATER RATES ,UK0236666101 : Castle Water Ltd,1258874,43586.0,KGST 05 - August.csv,1
30-Jun-20,CLINICAL SUPPLIES & SERVICES,UK0478525001 : 4Ways Healthcare,4WHC/03218033,42448.0,KGST 05 - August.csv,1
05-Jun-20,PREMISES & FIXED PLANT,WPS00E504301 : Royal Bor of Kingston Upon Tha,1521691/2017-2019,40529.0,KGST 05 - August.csv,1
15-Nov-19,GENERAL SUPPLIES & SERVICES,UK0180000001 : British Telecommunications plc,GB06325515Q049,39624.0,KGST 05 - August.csv,1
31-Jul-20,CLINICAL SUPPLIES & SERVICES,UK0006253701 : Bunzl Retail & Healthcare Supplies Ltd,020/JULY20,34632.0,KGST 05 - August.csv,1
31-Jul-20,CLINICAL SUPPLIES & SERVICES,UK0519023401 : InHealth Ltd,IHLIN0025152,34311.0,KGST 05 - August.csv,1
27-Mar-20,CLINICAL SUPPLIES & SERVICES,UK0750438601 : Accruent UK Ltd,525334,30000.0,KGST 05 - August.csv,1
24-Apr-20,CLINICAL SUPPLIES & SERVICES,UK0750438601 : Accruent UK Ltd,618710,30000.0,KGST 05 - August.csv,1
07-SEP-2020 ,PREMISES & FIXED PLANT,HRB851100001 : HTS tentiQ GmbH,90079566,38148.0,KGST 06 - September.csv,1
03-SEP-2020 ,CLINICAL SUPPLIES & SERVICES,NHS0000RJ701 : St Georges Healthcare NHST,6477905,913904.0,KGST 06 - September.csv,1
11-AUG-2020 ,MISCELLANEOUS EXPENDITURE,NRB000244401 : Ken Crookes T/A The Office Chair Man,104,37160.0,KGST 06 - September.csv,1
31-AUG-2020 ,CLINICAL SUPPLIES & SERVICES,UK0006253701 : Bunzl Retail & Healthcare Supplies Ltd,021/AUGUST20,35037.0,KGST 06 - September.csv,1
09-SEP-2020 ,CLINICAL SUPPLIES & SERVICES,UK0080923801 : Alcon Eye Care UK Ltd,9246792496,34200.0,KGST 06 - September.csv,1
11-SEP-2020 ,INTERIM STAFF CHARGES,UK0081873601 : Drake Personnel Ltd,0303646,59040.0,KGST 06 - September.csv,1
11-SEP-2020 ,INTERIM STAFF CHARGES,UK0081873601 : Drake Personnel Ltd,0303658,27720.0,KGST 06 - September.csv,1
03-SEP-2020 ,CLINICAL SUPPLIES & SERVICES,UK0092855501 : Boots UK Ltd,1800000172,245688.0,KGST 06 - September.csv,1
03-SEP-2020 ,CLINICAL SUPPLIES & SERVICES,UK0092855501 : Boots UK Ltd,1800000173,46946.0,KGST 06 - September.csv,1
12-AUG-2020 ,CLINICAL SUPPLIES & SERVICES,UK0093504801 : Bayer plc,824C295586,136868.0,KGST 06 - September.csv,1
29-JUL-2020 ,CLINICAL SUPPLIES & SERVICES,UK0093504801 : Bayer plc,824C293472,136868.0,KGST 06 - September.csv,1
17-AUG-2020 ,COMPUTER MAINTENANCE - APPLICATION,UK0096816601 : 3M UK PLC,9581013343,32319.0,KGST 06 - September.csv,1
04-SEP-2020 ,GENERAL SUPPLIES AND SERVICES,UK0177133301 : Synergy Health UK Ltd T/A Steris,68138,83520.0,KGST 06 - September.csv,1
19-AUG-2020 ,WATER RATES ,UK0236666101 : Castle Water Ltd,0001416823,123765.0,KGST 06 - September.csv,1
02-SEP-2020 ,IT SERVICES,UK0254862801 : Phoenix Software Ltd,OP/I874826,554422.0,KGST 06 - September.csv,1
16-SEP-2020 ,CLINICAL SUPPLIES & SERVICES,UK0285823001 : Vectair Environmental Ltd,15147,54720.0,KGST 06 - September.csv,1
16-SEP-2020 ,CLINICAL SUPPLIES & SERVICES,UK0285823001 : Vectair Environmental Ltd,15148,33600.0,KGST 06 - September.csv,1
23-SEP-2020 ,CLINICAL SUPPLIES & SERVICES,UK0288436101 : TFX Group Ltd t/a Teleflex Medical,989069610,39312.0,KGST 06 - September.csv,1
21-JUL-2020 ,CAPITAL SCHEME,UK0304095501 : KPS Southern Ltd,10227,46003.0,KGST 06 - September.csv,1
30-MAR-2020 ,CAPITAL SCHEME,UK0304095501 : KPS Southern Ltd,10164,39756.0,KGST 06 - September.csv,1
20-APR-2020 ,SOFTWARE LICENSING,UK0334541801 : Indigo4 Systems Ltd T/A Emis Health,PJIN-302788,39343.0,KGST 06 - September.csv,1
10-AUG-2020 ,SOFTWARE LICENSING,UK0334541801 : Indigo4 Systems Ltd T/A Emis Health,PJIN-303050,25248.0,KGST 06 - September.csv,1
31-AUG-2020 ,CLINICAL SUPPLIES & SERVICES,UK0343068601 : Wassenburg Ltd,P4004488,28904.0,KGST 06 - September.csv,1
15-SEP-2020 ,PREMISES & FIXED PLANT,UK0411321501 : M & O Building Contractors Ltd,4217,68713.0,KGST 06 - September.csv,1
09-SEP-2020 ,SYSTEM MANAGED SERVICE,UK0457165401 : Sectra Ltd,SIN002622,175549.0,KGST 06 - September.csv,1
31-JUL-2020 ,CLINICAL SUPPLIES & SERVICES,UK0478525001 : 4Ways Healthcare,4WHC/04218550,46136.0,KGST 06 - September.csv,1
31-AUG-2020 ,CLINICAL SUPPLIES & SERVICES,UK0478525001 : 4Ways Healthcare,4WHC/05219073,51863.0,KGST 06 - September.csv,1
31-JUL-2020 ,TRANSPORT EXPENSES,UK0496163501 : Falck UK Ambulance Service Ltd,SIN003735,32547.0,KGST 06 - September.csv,1
31-JUL-2020 ,CLINICAL SUPPLIES & SERVICES,UK0519023401 : InHealth Ltd,SD254320KIN,165554.0,KGST 06 - September.csv,1
31-AUG-2020 ,CLINICAL SUPPLIES & SERVICES,UK0519023401 : InHealth Ltd,SD256398KIN,157598.0,KGST 06 - September.csv,1
15-JUL-2020 ,PREMISES & FIXED PLANT,UK0577117901 : Ensigna Construction Ltd,3717,473670.0,KGST 06 - September.csv,1
14-SEP-2020 ,PREMISES & FIXED PLANT,UK0691240601 : Roothings Builders Ltd,RBL701,38010.0,KGST 06 - September.csv,1
22-JUL-2020 ,PREMISES & FIXED PLANT,UK0691240601 : Roothings Builders Ltd,RBL686,29089.0,KGST 06 - September.csv,1
31-AUG-2020 ,COMPUTER HARDWARE,UK0714007301 : Inform Health Ltd,100431,28044.0,KGST 06 - September.csv,1
01-JUL-2020 ,CLINICAL SUPPLIES & SERVICES,UK0839315001 : Synergy Health Managed Services Ltd,30011628,56983.0,KGST 06 - September.csv,1
01-AUG-2020 ,CLINICAL SUPPLIES & SERVICES,UK0839315001 : Synergy Health Managed Services Ltd,30011699,59358.0,KGST 06 - September.csv,1
26-AUG-2020 ,CLINICAL SUPPLIES & SERVICES,UK0956718601 : Siemens Healthcare Ltd,1051086410,202568.0,KGST 06 - September.csv,1
23-JUL-2020 ,CLINICAL SUPPLIES & SERVICES,UK0956718601 : Siemens Healthcare Ltd,1051084110,202568.0,KGST 06 - September.csv,1
26-AUG-2020 ,CLINICAL SUPPLIES & SERVICES,UK0956718601 : Siemens Healthcare Ltd,1051086408,120000.0,KGST 06 - September.csv,1
28-AUG-2020 ,CLINICAL SUPPLIES & SERVICES,UK1088171501 : SCCL T/A NHS Supply Chain ROARP,1121090993,73043.0,KGST 06 - September.csv,1
04-SEP-2020 ,CLINICAL SUPPLIES & SERVICES,UK1088171501 : SCCL T/A NHS Supply Chain ROARP,1121094435,47055.0,KGST 06 - September.csv,1
12-AUG-2020 ,CLINICAL SUPPLIES & SERVICES,UKSC13995301 : Optos PLC,CAPINV00004062,175789.0,KGST 06 - September.csv,1
29-SEP-2020 ,PREMISES & FIXED PLANT,WPS00E504301 : Royal Bor of Kingston Upon Tha,1233041/OCT20,144172.0,KGST 06 - September.csv,1
21-Mar-20,SALARY RECHARGE,NHS000036L01 : NHS South West London CCG,7024100964,59556.0,KGST 07 - October.csv,1
01-Apr-20,CLINICAL SUPPLIES & SERVICES,NHS0000RJ701 : St Georges Healthcare NHST,6472582,26521.0,KGST 07 - October.csv,1
29-May-20,CLINICAL SUPPLIES & SERVICES,NHS0000RJ701 : St Georges Healthcare NHST,6474487,35655.0,KGST 07 - October.csv,1
10-Jun-20,CLINICAL SUPPLIES & SERVICES,NHS0000RJ701 : St Georges Healthcare NHST,6474766,31963.0,KGST 07 - October.csv,1
15-Oct-20,CLINICAL SUPPLIES & SERVICES,NHS0000RJ701 : St Georges Healthcare NHST,6478781,913904.0,KGST 07 - October.csv,1
02-Jul-20,CLINICAL SUPPLIES & SERVICES,NHS0000RJ701 : St Georges Healthcare NHST,6475984,27446.0,KGST 07 - October.csv,1
30-Sep-20,CLINICAL SUPPLIES & SERVICES,UK0006253701 : Bunzl Retail & Healthcare Supplies Ltd,022/SEPTEMBER20,46991.0,KGST 07 - October.csv,1
19-Oct-20,CLINICAL SUPPLIES & SERVICES,UK0025256701 : GE Medical Systems Ltd,611736,26340.0,KGST 07 - October.csv,1
07-Oct-20,CLINICAL SUPPLIES & SERVICES,UK0085270201 : Becton Dickinson UK Ltd,210001479,50190.0,KGST 07 - October.csv,1
05-Oct-20,CLINICAL SUPPLIES & SERVICES,UK0092855501 : Boots UK Ltd,1800009862,288880.0,KGST 07 - October.csv,1
05-Oct-20,CLINICAL SUPPLIES & SERVICES,UK0092855501 : Boots UK Ltd,1800009863,46466.0,KGST 07 - October.csv,1
28-Sep-20,CLINICAL SUPPLIES & SERVICES,UK0093504801 : Bayer plc,824C304588,136868.0,KGST 07 - October.csv,1
14-Sep-20,CLINICAL SUPPLIES & SERVICES,UK0093504801 : Bayer plc,824C301203,136868.0,KGST 07 - October.csv,1
01-Sep-20,CLINICAL SUPPLIES & SERVICES,UK0093504801 : Bayer plc,824C299433,136868.0,KGST 07 - October.csv,1
08-Sep-20,GENERAL SUPPLIES AND SERVICES,UK0105677401 : Apogee Corporation Ltd,1161516,78059.0,KGST 07 - October.csv,1
07-Sep-20,PREMISES & FIXED PLANT,UK0133167901 : Anetic Aid Ltd,251990,32994.0,KGST 07 - October.csv,1
06-Oct-20,GENERAL SUPPLIES AND SERVICES,UK0177133301 : Synergy Health UK Ltd T/A Steris,69230,105289.0,KGST 07 - October.csv,1
02-Jul-20,PREMISES & FIXED PLANT,UK0187896301 : Corniche Construction Ltd,10370,120441.0,KGST 07 - October.csv,1
20-Aug-20,PREMISES & FIXED PLANT,UK0187896301 : Corniche Construction Ltd,10393,39478.0,KGST 07 - October.csv,1
20-Aug-20,PREMISES & FIXED PLANT,UK0187896301 : Corniche Construction Ltd,10392,46244.0,KGST 07 - October.csv,1
20-Aug-20,CAPITAL SCHEME,UK0208136901 : Dell Corporation Ltd,7402639396,58536.0,KGST 07 - October.csv,1
08-Oct-20,COMPUTER MAINTENANCE - APPLICATION,UK0217499001 : Softcat Ltd,INV02710306,58942.0,KGST 07 - October.csv,1
14-Aug-20,PREMISES & FIXED PLANT,UK0258575901 : Veolia Energy & Utility Services UK Plc,90249536,107808.0,KGST 07 - October.csv,1
08-Sep-20,PREMISES & FIXED PLANT,UK0258575901 : Veolia Energy & Utility Services UK Plc,90252601,86563.0,KGST 07 - October.csv,1
07-Oct-20,PREMISES & FIXED PLANT,UK0258575901 : Veolia Energy & Utility Services UK Plc,90255240,99822.0,KGST 07 - October.csv,1
01-Oct-20,POSTAGE,UK0265832401 : Quadient UK Ltd,306619/ISS/137,49999.0,KGST 07 - October.csv,1
