entuty,date,expensetype,expensearea,supplier,transactionnumber,amount,file,negative
King's College Hospital NHS Foundation Trust,03-Apr-20,Clinical Supplies and Services,S&T A&E Management,BMI HEALTHCARE,023_S1101_0220,29061.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,20-Feb-20,Clinical Supplies and Services,Orthopaedic Clerks,BMI HEALTHCARE,023_S1091_0120,34335.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,03-Feb-20,Assets Under Construction,Fixed Asset,BMJ ARCHITECTS,13309,25000.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,14-Jan-20,Assets Under Construction,Fixed Asset,BMJ ARCHITECTS,13297,25000.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,04-Mar-20,Assets Under Construction,Fixed Asset,BMJ ARCHITECTS,13332,25000.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,16-Mar-20,Sub Contracted Healthcare - NHS bodies,Dermatology Services PRUH,BROMLEY GP ALLIANCE LTD,BGPA0495,30837.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,09-Apr-20,Premises and Fixed Plant,ICT - Management and Security,BYTES SOFTWARE SERVICES LIMITED,627299,1083837.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,16-Mar-20,External Contract staffing and Consultan,Workforce Operations,CAPITA BUSINESS SERVICE LTD,6003973926,241967.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,26-Mar-20,Assets Under Construction,Fixed Asset,CAPITA PROPERTY & INFRASTRUCTURE LTD,6017125484,53702.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,30-Jun-19,External Contract staffing and Consultan,Facilities Estates / Maintenance,CAPITEC,CAP001630,25272.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,23-Apr-20,Legal,Legal,CAPSTICS       1-9400-95206,,27500.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,18-Mar-20,Drugs,Drugs,CSL BEHRING UK LTD,994022254,126000.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,31-Mar-20,ICT,ICT,DAISY CORPORATE SERVICES,3/I453092,86298.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,30-Mar-20,ICT,ICT,DAISY CORPORATE SERVICES,3/I452996,66258.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,30-Mar-20,ICT,ICT,DAISY CORPORATE SERVICES,632373,46440.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,09-Apr-20,ICT,ICT,DELL COMPUTERS LTD,7402610862,33600.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,25-Feb-20,Audit commission expenses,Audit commission expenses,DELOITTE,8001028256,72000.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,16-Apr-20,Audit commission expenses,Audit commission expenses,DELOITTE,8001126982,144000.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,25-Feb-20,Audit commission expenses,Audit commission expenses,DELOITTE,8001028255,72000.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,20-Jan-20,Premises and Fixed Plant,Premises and Fixed Plant,DENDRITE CLINICAL SYSTEMS LTD,P/5366,30306.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,30-Mar-20,Services Provided by non-NHS bodies,Services Provided by non-NHS bodies,DIAVERUM FACILITIES MANAGEMENT,350449,59385.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,29-Feb-20,Services Provided by non-NHS bodies,Services Provided by non-NHS bodies,DIAVERUM FACILITIES MANAGEMENT,350390,48937.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,30-Mar-20,Services Provided by non-NHS bodies,Services Provided by non-NHS bodies,DIAVERUM FACILITIES MANAGEMENT,350443,53963.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,16-Mar-20,Assets Under Construction,Assets Under Construction,DOOR AND WALL PROTECTION LTD,121063,26315.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,20-Mar-20,Sub Contracted Healthcare - NHS bodies,Child Health Central,EAST SUSSEX HOSPITALS NHS TRUST,142882,67733.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,20-Mar-20,Sub Contracted Healthcare - NHS bodies,Child Health Central,EAST SUSSEX HOSPITALS NHS TRUST,142883,34613.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,03-Apr-20,Premises and Fixed Plant,PFI Service Payments,EDF ENERGY,7465810,60817.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,06-Apr-20,Premises and Fixed Plant,Dental Energy & Utilities,EDF ENERGY,7471260,33423.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,25-Mar-20,External Contract staffing and Consultan,External Contract staffing and Consultan,ENDOSOFT LTD,1611198,43507.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,09-Mar-20,Premises and Fixed Plant,Premises and Fixed Plant,FAIRWEATHER INSURANCE SERVICES LIMITED,23270C,77004.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,31-Mar-20,Transport and Moveable Plant,Patient Transport,FALCK UK AMBULANCE SERVICES,SIN003468,95156.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,04-Nov-19,Clinical Supplies and Services,Liver Endoscopy Unit,GETINGE UK LTD,51903415,136078.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,27-Mar-20,Drugs,Drugs,GILEAD SCIENCES LTD,4410182634,71009.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,03-Apr-20,Drugs,Drugs,GILEAD SCIENCES LTD,4410183049,224360.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,06-Apr-20,Drugs,Drugs,GILEAD SCIENCES LTD,4410183152,71009.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,17-Apr-20,Drugs,Drugs,GILEAD SCIENCES LTD,4410183766,224360.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,16-Mar-20,Sub Contracted Healthcare - NHS bodies,Sub Contracted Healthcare - NHS bodies,GUYS & ST THOMAS' NHS TRUST,3284590,118207.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,16-Mar-20,Sub Contracted Healthcare - NHS bodies,Sub Contracted Healthcare - NHS bodies,GUYS & ST THOMAS' NHS TRUST,3284544,170000.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,14-Feb-20,Sub Contracted Healthcare - NHS bodies,Sub Contracted Healthcare - NHS bodies,GUYS & ST THOMAS' NHS TRUST,3282412,199500.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,27-Mar-20,Premises and Fixed Plant,Transfusion Practitioners,HAEMONETICS (UK) LTD,25416,137944.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,15-Apr-20,Stock,Stock,HAMELN PHARMACEUTICALS LTD,5449447,48470.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,20-Mar-20,Assets Under Construction,Fixed Asset,HC QS LIMITED,Q05116,23469.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,06-Apr-20,Premises and Fixed Plant,Womens Central,HEALTHNET CONNECTION LTD,INV-23199,37500.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,30-Mar-20,Premises and Fixed Plant,PRUH Womens & Children Admin,HEALTHNET CONNECTION LTD,23185,25586.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,17-Apr-20,HPC KCH LTD,HPC KCH LTD,HPC KCH LTD     EBANKGO90124082,,1246308.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,17-Apr-20,HPC KCH LTD,HPC KCH LTD,HPC KCH LTD     EBANKGO90124082,,249261.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,02-Jan-20,External Contract staffing and Consultan,ED UCC,HURLEY CLINIC,8220,163568.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,02-Mar-20,External Contract staffing and Consultan,ED UCC,HURLEY CLINIC,8510,146209.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,20-Mar-20,Premises and Fixed Plant,Operations Management,IDEAL HEALTH CONSULTANTS LIMITED,6385,26850.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,01-Apr-20,Carriage costs,Liver Transplant Coordination,IMT MEDICAL TRANSPORT LTD,7245,99000.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,16-Apr-20,ICT,ICT,INSIGHT DIRECT (UK) LTD,4814182,4744.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,15-Apr-20,ICT,ICT,INSIGHT DIRECT (UK) LTD,4796786,82871.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,26-Mar-20,ICT,ICT,INSIGHT DIRECT (UK) LTD,4789549,30000.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,31-Mar-20,ICT,ICT,INSIGHT DIRECT (UK) LTD,4797049,11676.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,12-Mar-20,ICT,ICT,INSIGHT DIRECT (UK) LTD,4766590,26202.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,15-Apr-20,ICT,ICT,INSIGHT DIRECT (UK) LTD,4811750,50940.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,31-Mar-20,ICT,ICT,INSIGHT DIRECT (UK) LTD,4797049,16610.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,16-Apr-20,ICT,ICT,INSIGHT DIRECT (UK) LTD,4814182,16610.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,16-Apr-20,ICT,ICT,INSIGHT DIRECT (UK) LTD,4814182,23174.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,31-Mar-20,ICT,ICT,INSIGHT DIRECT (UK) LTD,4797049,23174.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,26-Mar-20,ICT,ICT,INSIGHT DIRECT (UK) LTD,4789549,47125.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,29-Jan-20,Clinical Supplies and Services,Diabetes,INSULET INTERNATIONAL LTD,70004700,34847.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,31-Mar-20,Clinical Supplies and Services,Diabetes,INSULET INTERNATIONAL LTD,70017195,32406.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,18-Mar-20,Clinical Supplies and Services,Diabetes,INSULET INTERNATIONAL LTD,70013561,32686.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,28-Nov-19,Clinical Supplies and Services,Diabetes,INSULET INTERNATIONAL LTD,16958385,32014.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,31-Mar-20,Storage costs,Patient Records DH,IRON MOUNTAIN,WS52840,43780.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,20-Apr-20,Assets Under Construction,Fixed Asset,JOHN GRAHAM CONSTRUCTION LIMITED,912027,59556.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,19-Mar-20,Assets Under Construction,Fixed Asset,JOHN GRAHAM CONSTRUCTION LIMITED,911719,107855.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,28-Feb-20,Establishment Expenses,Commercial Services Recharges,KCH COMMERCIAL SERVICES LTD,2370,31168.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,01-Mar-20,Services Provided by non-NHS bodies,IFT,KCH INTERVENTIONAL FAC MGT LTD,FINV-000530,3402879.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,01-Mar-20,Services Provided by non-NHS bodies,KIFM Pharmacy Outpatient,KCH INTERVENTIONAL FAC MGT LTD,FINV-000531,1916000.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,01-Mar-20,Services Provided by non-NHS bodies,IFT,KCH INTERVENTIONAL FAC MGT LTD,FINV-000527,2147876.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,24-Dec-19,Services Provided by non-NHS bodies,IFT,KCH INTERVENTIONAL FAC MGT LTD,FINV-000508,90448.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,01-Mar-20,Services Provided by non-NHS bodies,IFT,KCH INTERVENTIONAL FAC MGT LTD,FINV-000528,3314727.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,01-Mar-20,Services Provided by non-NHS bodies,IFT,KCH INTERVENTIONAL FAC MGT LTD,FINV-000529,1266475.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,28-Feb-20,Establishment Expenses,Commercial Services Recharges,KCH MANAGEMENT LTD,2366,40350.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,28-Feb-20,Establishment Expenses,Commercial Services Recharges,KCH MANAGEMENT LTD,2368,42716.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,28-Feb-20,Establishment Expenses,Commercial Services Recharges,KCH MANAGEMENT LTD,2369,40000.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,12-Nov-19,Establishment Expenses,NIHR SFA Type1 Diabetes,KINGS COLLEGE LONDON,SS50016571,305.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,02-Mar-20,Consultancy,NIHR PROFIT,KINGS COLLEGE LONDON,SH500020554,61905.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,09-Oct-19,External Contract staffing and Consultan,CLAHRC Public Health Theme,KINGS COLLEGE LONDON,SH50015592,35049.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,11-Nov-19,Establishment Expenses,NIHR SFA Type1 Diabetes,KINGS COLLEGE LONDON,SS50016553,1161.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,11-Nov-19,Establishment Expenses,NIHR SFA Type1 Diabetes,KINGS COLLEGE LONDON,SS50016553,25684.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,26-Feb-20,External Contract staffing and Consultan,CLAHRC Palliative & End Theme,KINGS COLLEGE LONDON,SH50020234,54597.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,23-Mar-20,Consultancy,Consultancy,KINGS COLLEGE LONDON,RS50021406,24929.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,23-Mar-20,Consultancy,Consultancy,KINGS COLLEGE LONDON,RS50021436,30498.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,02-Jul-19,Consultancy,Consultancy,KINGS COLLEGE LONDON,RS50011686,24847.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,12-Nov-19,Consultancy,Consultancy,KINGS COLLEGE LONDON,SS50016571,40410.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,30-Jan-20,Consultancy,Consultancy,KINGS COLLEGE LONDON,RS50019079,26056.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,24-Mar-20,Consultancy,Consultancy,KINGS COLLEGE LONDON,TS50021491,107998.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,12-Jun-18,Consultancy,Consultancy,KINGS COLLEGE LONDON,KNHT17185296,29281.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,05-Mar-20,Consultancy,Consultancy,KINGS COLLEGE LONDON,RS50021596,22149.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,12-Nov-19,Consultancy,Consultancy,KINGS COLLEGE LONDON,SS50016571,27215.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,04-Mar-20,Consultancy,Consultancy,KINGS COLLEGE LONDON,RS50020736,24772.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,12-Nov-19,Consultancy,Consultancy,KINGS COLLEGE LONDON,SS50016571,13513.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,26-Feb-20,Consultancy,Consultancy,KINGS COLLEGE LONDON,SH50020231,48198.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,11-Nov-19,Consultancy,Consultancy,KINGS COLLEGE LONDON,SS50016553,17131.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,30-Jan-20,Consultancy,Consultancy,KINGS COLLEGE LONDON,RS50019081,24624.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,09-Apr-20,IFM ,IFM ,KINGS IFM     1-9400-92406,,14435883.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,19-Mar-20,Sub Contracted Healthcare - NHS bodies,QMS QEH Ophthalmology Recharge & Lewisha,LEWISHAM HOSPITAL NHS TRUST,8504546,27342.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,21-Jan-20,Sub Contracted Healthcare - NHS bodies,QMS QEH Ophthalmology Recharge & Lewisha,LEWISHAM HOSPITAL NHS TRUST,8503030,28280.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,08-Nov-19,Sub Contracted Healthcare - NHS bodies,QMS QEH Ophthalmology Recharge & Lewisha,LEWISHAM HOSPITAL NHS TRUST,8501497,28280.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,19-Mar-20,Sub Contracted Healthcare - NHS bodies,QMS QEH Ophthalmology Recharge & Lewisha,LEWISHAM HOSPITAL NHS TRUST,8504541,25835.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,18-Mar-20,Sub Contracted Healthcare - NHS bodies,Child Health Central,LEWISHAM HOSPITAL NHS TRUST,8504510,52549.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,18-Mar-20,Consultancy,Neurology,LEWISHAM HOSPITAL NHS TRUST,8504516,30351.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,19-Mar-20,Sub Contracted Healthcare - NHS bodies,QMS QEH Ophthalmology Recharge & Lewisha,LEWISHAM HOSPITAL NHS TRUST,8504543,31318.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,19-Mar-20,Sub Contracted Healthcare - NHS bodies,QMS QEH Ophthalmology Recharge & Lewisha,LEWISHAM HOSPITAL NHS TRUST,8504544,26957.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,19-Mar-20,Sub Contracted Healthcare - NHS bodies,QMS QEH Ophthalmology Recharge & Lewisha,LEWISHAM HOSPITAL NHS TRUST,8504542,26348.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,01-Apr-20,RATES,RATES,LONDON BOROUGH OF BROMLEY,,156275.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,01-Apr-20,RATES,RATES,London Borough of lambeth,,215460.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,30-Mar-20,Assets Under Construction,Fixed Asset,MACFARLANES LLP,448956,176399.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,01-Apr-20,Administrative and Clerical Staff,CEF Senior Management Team,MACMITCH LTD,INV-0019,26064.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,26-Mar-20,Premises and Fixed Plant,Facilities Rates / Rent,MAUDSLEY CHARITY,C0002268,26914.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,31-Mar-20,Assets Under Construction,Fixed Asset,MCLAUGHLIN & HARVEY LTD,23030,119489.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,31-Mar-20,External Contract staffing and Consultan,Radiology Medical,MEDICA REPORTING LTD,14615,89505.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,31-Mar-20,External Contract staffing and Consultan,Radiology Department,MEDICA REPORTING LTD,14617,79020.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,17-Apr-20,KINGS PFI ,KINGS PFI ,MEDIREST     EBANKGO90124071,,2868797.0,KICO 01 - April.csv,1
King's College Hospital NHS Foundation Trust,17-Apr-20,KINGS PFI ,KINGS PFI ,MEDIREST     EBANKGO90124071,,573759.0,KICO 01 - April.csv,1
