date,expensetype,expensearea,supplier,amount,file,negative
14/07/2020,Agency A&C - Band 7,Resourcing,Nhs Professionals Limited,36474.0,CHWE 04 - July.csv,1
14/07/2020,Computer Maintenance Contracts,Radiology,Sectra Ltd,109997.0,CHWE 04 - July.csv,1
14/07/2020,Drugs,Chelsea Site,Boots Uk Ltd,979447.0,CHWE 04 - July.csv,1
14/07/2020,Drugs,Chelsea Site,Boots Uk Ltd,763207.0,CHWE 04 - July.csv,1
14/07/2020,General Computer Hardware,Epr Cross Site Project,Cerner Limited,33267.0,CHWE 04 - July.csv,1
14/07/2020,Soft Services,Trust-wide,Iss Mediclean Limited,-53088.0,CHWE 04 - July.csv,-1
14/07/2020,Non-Nhs Contracts,Cardiac Cath Lab,Medtronic Limited,141063.0,CHWE 04 - July.csv,1
14/07/2020,Non-Nhs Contracts,Cardiac Cath Lab,Medtronic Limited,78634.0,CHWE 04 - July.csv,1
14/07/2020,Non-Nhs Contracts,Cardiac Cath Lab,Medtronic Limited,-75903.0,CHWE 04 - July.csv,-1
14/07/2020,Nw London Pathology Contract,Imperial Pathology (Central),North West London Pathology,1808593.0,CHWE 04 - July.csv,1
14/07/2020,Nw London Pathology Contract,Imperial Pathology (Central),North West London Pathology,178520.0,CHWE 04 - July.csv,1
14/07/2020,Soft Services,Trust-wide,Iss Mediclean Limited,-192000.0,CHWE 04 - July.csv,-1
14/07/2020,Soft Services,Trust-wide,Iss Mediclean Limited,241687.0,CHWE 04 - July.csv,1
14/07/2020,Soft Services,Trust-wide,Iss Mediclean Limited,77911.0,CHWE 04 - July.csv,1
14/07/2020,Service Charge - Core Pfi,Pfi Unitary Payment,Bywest Ltd,1463611.0,CHWE 04 - July.csv,1
14/07/2020,Service Charge - Core Pfi,Pfi Unitary Payment,Bywest Ltd,211257.0,CHWE 04 - July.csv,1
14/07/2020,Drugs,Chelsea Pharmacy,Aah Pharmaceuticals Ltd,32417.0,CHWE 04 - July.csv,1
14/07/2020,Clinical Supplies,Divisional Areas,Nhs Supply Chain Roarp (101),72087.0,CHWE 04 - July.csv,1
14/07/2020,Clinical Supplies,Divisional Areas,Nhs Supply Chain Roarp (101),80510.0,CHWE 04 - July.csv,1
14/07/2020,Clinical Supplies,Divisional Areas,Nhs Supply Chain Roarp (101),79074.0,CHWE 04 - July.csv,1
14/07/2020,It Shared Service,I.T Management,Clinisys Solutions Ltd,28864.0,CHWE 04 - July.csv,1
14/07/2020,It Shared Service,Ict - Shared Services Project,Sphere Systems Powering Healthcare Ltd,574587.0,CHWE 04 - July.csv,1
16/07/2020,Building Expenditure,Upgarde of Marjory Warren War,Ensigna Construction Ltd,152579.0,CHWE 04 - July.csv,1
16/07/2020,Building Expenditure,Nell Gwynne Ward Refurbishment,Ensigna Construction Ltd,227618.0,CHWE 04 - July.csv,1
16/07/2020,Donations & Subscriptions,Management - Hiv/Gum,Nam Publications,25482.0,CHWE 04 - July.csv,1
16/07/2020,Equipment Expenditure,Consultancy Support,Icnet International Ltd,60000.0,CHWE 04 - July.csv,1
16/07/2020,Pathology - Contract W.M.U.H.,Path Central Purchasing,Beckman Coulter United Kingdom Ltd,65425.0,CHWE 04 - July.csv,1
16/07/2020,Drugs,West Middlesex Pharmacy,Alloga Uk Limited,27000.0,CHWE 04 - July.csv,1
16/07/2020,Clinical Supplies,Divisional Areas,Nhs Supply Chain Roarp (101),72995.0,CHWE 04 - July.csv,1
16/07/2020,Telephones Maint. & Repairs,I.T Management,Maintel Europe Limited,39792.0,CHWE 04 - July.csv,1
21/07/2020,Building Expenditure,Lift Services,Specialist Lift Services,28944.0,CHWE 04 - July.csv,1
21/07/2020,General Computer Software,Information Governance,Flows Limited,30240.0,CHWE 04 - July.csv,1
21/07/2020,General Maintenance Contracts,Hard Fm Non Pay,Jca Engineering Limited,133589.0,CHWE 04 - July.csv,1
21/07/2020,Soft Services,Trust-wide,Iss Mediclean Limited,45141.0,CHWE 04 - July.csv,1
21/07/2020,Minor Works,Hard FM Variation Works - Quarter 4 Maintenance,Bouygues E&S Fm Uk Limited,30796.0,CHWE 04 - July.csv,1
21/07/2020,Non-Nhs Contracts,Cardiac Cath Lab,Medtronic Limited,95318.0,CHWE 04 - July.csv,1
21/07/2020,Non-Nhs Contracts,Epr Cross Site Project,Optimus It Infra Ltd,26910.0,CHWE 04 - July.csv,1
21/07/2020,Soft Services,Trust-wide,Iss Mediclean Limited,-79476.0,CHWE 04 - July.csv,-1
21/07/2020,Provisions <1yr Injury Benefit,Trust-wide,Nhs Business Servic.Authority- Ea Code Ib4049,46639.0,CHWE 04 - July.csv,1
21/07/2020,Clinical Supplies,Divisional Areas,Nhs Supply Chain Roarp (101),67010.0,CHWE 04 - July.csv,1
21/07/2020,Linen & Laundry Contract Varia,Pfi Unitary Payment,Oflynn Innovation,29500.0,CHWE 04 - July.csv,1
23/07/2020,Building Expenditure,Blowdown Vessel Installation,Jca Engineering Limited,61365.0,CHWE 04 - July.csv,1
23/07/2020,Building Expenditure,Extension to NICU and ICU,Mclaughlin & Harvey Ltd,349840.0,CHWE 04 - July.csv,1
23/07/2020,Other Consultancy,Procurement,Lifecycle Managment Group Limited,41990.0,CHWE 04 - July.csv,1
23/07/2020,Other Printing,I.T Management,Hp Inc. Uk Limited,28132.0,CHWE 04 - July.csv,1
23/07/2020,Other Printing,I.T Management,Hp Inc. Uk Limited,68613.0,CHWE 04 - July.csv,1
23/07/2020,Other Printing,I.T Management,Hp Inc. Uk Limited,33366.0,CHWE 04 - July.csv,1
23/07/2020,Other Printing,I.T Management,Hp Inc. Uk Limited,27261.0,CHWE 04 - July.csv,1
23/07/2020,Other Printing,I.T Management,Hp Inc. Uk Limited,32727.0,CHWE 04 - July.csv,1
23/07/2020,Services From - Foundation Tru,Paediatric Management,Central And North West London Nhs Ft,145665.0,CHWE 04 - July.csv,1
23/07/2020,Services From - Foundation Tru,Paediatric Management,Central And North West London Nhs Ft,161736.0,CHWE 04 - July.csv,1
23/07/2020,Typing&Transcription Services,Opd Admin Musculo Skeletal,Dscribe Ltd,41603.0,CHWE 04 - July.csv,1
23/07/2020,A&C - Band 8d,Divisional Management Team,Nhs England,43568.0,CHWE 04 - July.csv,1
28/07/2020,Agency Nurse - Band 5,Central Nursing Agency,Care Providers Ltd,56715.0,CHWE 04 - July.csv,1
28/07/2020,Building Expenditure,Fire Stopping Works,Ensigna Construction Ltd,28328.0,CHWE 04 - July.csv,1
28/07/2020,M.S.S.E. - Other,C-Virus - Preparatory Spend,Toffeln Ltd..,570000.0,CHWE 04 - July.csv,1
28/07/2020,M.S.S.E. - Other,C-Virus - Preparatory Spend,Mi Hub Limited T/A Alexandra,175000.0,CHWE 04 - July.csv,1
28/07/2020,M.S.S.E. - Other,C-Virus - Preparatory Spend,Mi Hub Limited T/A Alexandra,175000.0,CHWE 04 - July.csv,1
28/07/2020,M.S.S.E. - Other,C-Virus - Preparatory Spend,Mi Hub Limited T/A Alexandra,436992.0,CHWE 04 - July.csv,1
28/07/2020,Postage,Trust General Services,Quadient Uk Ltd,38439.0,CHWE 04 - July.csv,1
28/07/2020,Provisions <1yr Injury Benefit,Trust-wide,Nhs Business Servic.Authority- Ea Code Ea4049,46122.0,CHWE 04 - July.csv,1
28/07/2020,Provisions <1yr Injury Benefit,Trust-wide,Nhs Business Servic.Authority- Ea Code Ea4049,-34602.0,CHWE 04 - July.csv,-1
28/07/2020,Sterile Services Contract,Sterile Services Dept,Ihss Limited,37238.0,CHWE 04 - July.csv,1
28/07/2020,Sterile Services Contract,Sterile Services Dept,Ihss Limited,32139.0,CHWE 04 - July.csv,1
28/07/2020,Sterile Services Contract,Sterile Services Dept,Ihss Limited,36641.0,CHWE 04 - July.csv,1
28/07/2020,Sterile Services Contract,Sterile Services Dept,Ihss Limited,41758.0,CHWE 04 - July.csv,1
28/07/2020,Sterile Services Contract,Sterile Services Dept,Ihss Limited,41758.0,CHWE 04 - July.csv,1
28/07/2020,Drugs,Chelsea Pharmacy,Aah Pharmaceuticals Ltd,32349.0,CHWE 04 - July.csv,1
28/07/2020,Drugs,Chelsea Pharmacy,Alloga Uk Limited,27000.0,CHWE 04 - July.csv,1
28/07/2020,Drugs,Chelsea Pharmacy,St George'S University Hospitals Nhs Ft,105260.0,CHWE 04 - July.csv,1
28/07/2020,Drugs,Chelsea Pharmacy,St George'S University Hospitals Nhs Ft,40239.0,CHWE 04 - July.csv,1
28/07/2020,Drugs,West Middlesex Pharmacy,Alloga Uk Limited,36000.0,CHWE 04 - July.csv,1
28/07/2020,Clinical Supplies,Divisional Areas,Nhs Supply Chain Roarp (101),110242.0,CHWE 04 - July.csv,1
28/07/2020,Insurance Premiums,Hard Fm Non Pay,Willis Ltd,32480.0,CHWE 04 - July.csv,1
30/07/2020,Nhs Blood Products,Haematology Department,Nhs Blood Transplant,57939.0,CHWE 04 - July.csv,1
30/07/2020,Nhs Blood Products,Pathology And Blood,Nhs Blood Transplant,74548.0,CHWE 04 - July.csv,1
30/07/2020,Rates & Council Tax,West Middlesex Site,London Borough Of Hounslow,90972.0,CHWE 04 - July.csv,1
30/07/2020,Rates & Council Tax,Chelsae Site,Westminster City Council,26866.0,CHWE 04 - July.csv,1
30/07/2020,Rates & Council Tax,Chelsea Site,Royal Borough Of Kensington And Chelsea,223972.0,CHWE 04 - July.csv,1
30/07/2020,Sbs Service Charge,Hr Directorate Team - Executiv,Nhs Shared Business Services,36699.0,CHWE 04 - July.csv,1
30/07/2020,Staff Flow Central Account,Trust-wide,Liaison Financial Services Ltd,41795.0,CHWE 04 - July.csv,1
30/07/2020,Staff Flow Central Account,Trust-wide,Liaison Financial Services Ltd,27337.0,CHWE 04 - July.csv,1
30/07/2020,Staff Flow Central Account,Trust-wide,Liaison Financial Services Ltd,29860.0,CHWE 04 - July.csv,1
30/07/2020,Staff Flow Central Account,Trust-wide,Liaison Financial Services Ltd,41420.0,CHWE 04 - July.csv,1
30/07/2020,Staff Flow Central Account,Trust-wide,Liaison Financial Services Ltd,33312.0,CHWE 04 - July.csv,1
30/07/2020,Insurance Contributions,Legal Services,Nhs Resolution C/O Nhs Litigation Authority,2906752.0,CHWE 04 - July.csv,1
18/06/2020,,,Care Providers Ltd,29412.0,CHWE 03 - June.csv,1
18/06/2020,,,Anetic Aid,26959.0,CHWE 03 - June.csv,1
18/06/2020,,,Cerner Limited,33267.0,CHWE 03 - June.csv,1
18/06/2020,,,Nanjing Jusha Display Technology Co.Ltd,150500.0,CHWE 03 - June.csv,1
18/06/2020,,,North West London Pathology,1808593.0,CHWE 03 - June.csv,1
18/06/2020,,,North West London Pathology,1808593.0,CHWE 03 - June.csv,1
18/06/2020,,,North West London Pathology,178520.0,CHWE 03 - June.csv,1
18/06/2020,,,North West London Pathology,178520.0,CHWE 03 - June.csv,1
18/06/2020,,,Gilead Sciences Ltd,25800.0,CHWE 03 - June.csv,1
18/06/2020,,,Nhs Supply Chain Roarp (101),84788.0,CHWE 03 - June.csv,1
18/06/2020,,,Bt Payment Services Ltd,84780.0,CHWE 03 - June.csv,1
11/06/2020,,,Care Providers Ltd,28724.0,CHWE 03 - June.csv,1
11/06/2020,,,Nhs Supply Chain Maintenance (201),54087.0,CHWE 03 - June.csv,1
11/06/2020,,,Hayley Group Ltd,1005200.0,CHWE 03 - June.csv,1
11/06/2020,,,Emmo Holdings Ltd,3280.0,CHWE 03 - June.csv,1
11/06/2020,,,Ensigna Construction Ltd,59614.0,CHWE 03 - June.csv,1
11/06/2020,,,Janssen-Cilag Ltd,31368.0,CHWE 03 - June.csv,1
11/06/2020,,,London School Of Hygiene & Tropical,41804.0,CHWE 03 - June.csv,1
02/06/2020,,,Care Providers Ltd,28551.0,CHWE 03 - June.csv,1
02/06/2020,,,Boots Uk Ltd,819748.0,CHWE 03 - June.csv,1
02/06/2020,,,Boots Uk Ltd,883761.0,CHWE 03 - June.csv,1
02/06/2020,,,Jca Engineering Limited,376665.0,CHWE 03 - June.csv,1
02/06/2020,,,Alliance Medical Limited,166954.0,CHWE 03 - June.csv,1
02/06/2020,,,Emmo Holdings Ltd,54000.0,CHWE 03 - June.csv,1
02/06/2020,,,Medtronic Limited,75903.0,CHWE 03 - June.csv,1
02/06/2020,,,Medica Reporting Ltd (Medica Group),55186.0,CHWE 03 - June.csv,1
02/06/2020,,,North West London Pathology,73482.0,CHWE 03 - June.csv,1
02/06/2020,,,Hats Group Ltd,230642.0,CHWE 03 - June.csv,1
02/06/2020,,,Bywest Ltd,238403.0,CHWE 03 - June.csv,1
02/06/2020,,,Bywest Ltd,1223228.0,CHWE 03 - June.csv,1
02/06/2020,,,Bywest Ltd,353283.0,CHWE 03 - June.csv,1
02/06/2020,,,Imperial College Healthcare Nhs Trust,93477.0,CHWE 03 - June.csv,1
02/06/2020,,,Boots Uk Ltd,36174.0,CHWE 03 - June.csv,1
02/06/2020,,,St George'S University Hospitals Nhs Ft,92182.0,CHWE 03 - June.csv,1
02/06/2020,,,St George'S University Hospitals Nhs Ft,27766.0,CHWE 03 - June.csv,1
02/06/2020,,,Roche Products Ltd,27755.0,CHWE 03 - June.csv,1
02/06/2020,,,Nhs Supply Chain Roarp (101),57446.0,CHWE 03 - June.csv,1
02/06/2020,,,Nhs Supply Chain Roarp (101),75091.0,CHWE 03 - June.csv,1
02/06/2020,,,Nhs Supply Chain Roarp (101),49491.0,CHWE 03 - June.csv,1
02/06/2020,,,Nhs Supply Chain Roarp (101),97992.0,CHWE 03 - June.csv,1
02/06/2020,,,Castle Water Ltd,27849.0,CHWE 03 - June.csv,1
02/06/2020,,,Emmo Holdings Ltd,156600.0,CHWE 03 - June.csv,1
02/06/2020,,,Royal Free London Nhs Foundation Trust,176306.0,CHWE 03 - June.csv,1
16/06/2020,,,Boots Uk Ltd,759634.0,CHWE 03 - June.csv,1
16/06/2020,,,Boots Uk Ltd,795084.0,CHWE 03 - June.csv,1
16/06/2020,,,Nhs Supply Chain Roarp (101),79777.0,CHWE 03 - June.csv,1
16/06/2020,,,Parity Computers Ltd (T/A Parity Medical),62670.0,CHWE 03 - June.csv,1
16/06/2020,,,Jca Engineering Limited,129767.0,CHWE 03 - June.csv,1
16/06/2020,,,Genmed Me Ltd,-377796.0,CHWE 03 - June.csv,-1
16/06/2020,,,Nhs Supply Chain Maintenance (201),30600.0,CHWE 03 - June.csv,1
16/06/2020,,,Emmo Holdings Ltd,3280.0,CHWE 03 - June.csv,1
16/06/2020,,,Medtronic Limited,75903.0,CHWE 03 - June.csv,1
16/06/2020,,,Bywest Ltd,346236.0,CHWE 03 - June.csv,1
16/06/2020,,,Bywest Ltd,1521726.0,CHWE 03 - June.csv,1
16/06/2020,,,Royal Brompton & Harefield Nhs Ft,36953.0,CHWE 03 - June.csv,1
16/06/2020,,,Nhs Supply Chain Roarp (101),73104.0,CHWE 03 - June.csv,1
16/06/2020,,,Nhs Supply Chain Roarp (101),118598.0,CHWE 03 - June.csv,1
16/06/2020,,,Nhs Supply Chain Roarp (101),56499.0,CHWE 03 - June.csv,1
16/06/2020,,,Sphere Systems Powering Healthcare Ltd,574587.0,CHWE 03 - June.csv,1
16/06/2020,,,Bouygues E&S Fm Uk Limited,32262.0,CHWE 03 - June.csv,1
16/06/2020,,,Bouygues E&S Fm Uk Limited,31952.0,CHWE 03 - June.csv,1
09/06/2020,,,Nhs Supply Chain Capital (905),262327.0,CHWE 03 - June.csv,1
09/06/2020,,,Iss Mediclean Limited,2292804.0,CHWE 03 - June.csv,1
09/06/2020,,,Cdw Limited,51193.0,CHWE 03 - June.csv,1
09/06/2020,,,Philips Healthcare,26754.0,CHWE 03 - June.csv,1
09/06/2020,,,Philips Healthcare,37346.0,CHWE 03 - June.csv,1
09/06/2020,,,Emmo Holdings Ltd,524800.0,CHWE 03 - June.csv,1
09/06/2020,,,Emmo Holdings Ltd,-62320.0,CHWE 03 - June.csv,-1
09/06/2020,,,Chelsea Harbour Ltd,48990.0,CHWE 03 - June.csv,1
09/06/2020,,,Chelsea Harbour Ltd,31404.0,CHWE 03 - June.csv,1
09/06/2020,,,Chelsea Harbour Ltd,40425.0,CHWE 03 - June.csv,1
09/06/2020,,,Central And North West London Nhs Ft,143979.0,CHWE 03 - June.csv,1
09/06/2020,,,Nhs Supply Chain Roarp (101),84042.0,CHWE 03 - June.csv,1
09/06/2020,,,Nhs Supply Chain Roarp (101),35349.0,CHWE 03 - June.csv,1
09/06/2020,,,Nhs Supply Chain Roarp (101),66921.0,CHWE 03 - June.csv,1
09/06/2020,,,Renaclinical Ltd,26596.0,CHWE 03 - June.csv,1
23/06/2020,,,Ensigna Construction Ltd,88627.0,CHWE 03 - June.csv,1
23/06/2020,,,Mclaughlin & Harvey Ltd,363577.0,CHWE 03 - June.csv,1
23/06/2020,,,Specialist Lift Services,115776.0,CHWE 03 - June.csv,1
23/06/2020,,,Guy'S & St Thomas' Nhs Foundation Trust,27648.0,CHWE 03 - June.csv,1
23/06/2020,,,Edf Energy 1 Ltd,-259734.0,CHWE 03 - June.csv,-1
23/06/2020,,,Edf Energy 1 Ltd,126942.0,CHWE 03 - June.csv,1
23/06/2020,,,Edf Energy 1 Ltd,179768.0,CHWE 03 - June.csv,1
23/06/2020,,,Nhs Supply Chain Capital (905),134911.0,CHWE 03 - June.csv,1
23/06/2020,,,Alliance Medical Limited,32340.0,CHWE 03 - June.csv,1
23/06/2020,,,Dolby Medical Home Respiratory Care Ltd,47758.0,CHWE 03 - June.csv,1
23/06/2020,,,Dolby Medical Home Respiratory Care Ltd,45963.0,CHWE 03 - June.csv,1
23/06/2020,,,Ensigna Construction Ltd,49297.0,CHWE 03 - June.csv,1
23/06/2020,,,Ensigna Construction Ltd,49892.0,CHWE 03 - June.csv,1
23/06/2020,,,Beckman Coulter United Kingdom Ltd,65425.0,CHWE 03 - June.csv,1
23/06/2020,,,Iss Mediclean Limited,45141.0,CHWE 03 - June.csv,1
23/06/2020,,,Bayer Plc,45622.0,CHWE 03 - June.csv,1
23/06/2020,,,Nhs Supply Chain Roarp (101),63656.0,CHWE 03 - June.csv,1
23/06/2020,,,Dscribe Ltd,32640.0,CHWE 03 - June.csv,1
23/06/2020,,,Imperial College Healthcare Nhs Trust,25785.0,CHWE 03 - June.csv,1
23/06/2020,,,Deloitte Llp,85200.0,CHWE 03 - June.csv,1
23/06/2020,,,Deloitte Llp,72000.0,CHWE 03 - June.csv,1
04/06/2020,,,Care Providers Ltd,116853.0,CHWE 03 - June.csv,1
04/06/2020,,,Iss Mediclean Limited,2292804.0,CHWE 03 - June.csv,1
04/06/2020,,,Emmo Holdings Ltd,131400.0,CHWE 03 - June.csv,1
04/06/2020,,,Alloga Uk Limited,27000.0,CHWE 03 - June.csv,1
25/06/2020,,,Jca Engineering Limited,94524.0,CHWE 03 - June.csv,1
25/06/2020,,,Fujifilm Uk Ltd,39946.0,CHWE 03 - June.csv,1
25/06/2020,,,Iss Mediclean Limited,34009.0,CHWE 03 - June.csv,1
25/06/2020,,,Iss Mediclean Limited,25550.0,CHWE 03 - June.csv,1
25/06/2020,,,Iss Mediclean Limited,41471.0,CHWE 03 - June.csv,1
25/06/2020,,,Nhs Blood Transplant,57939.0,CHWE 03 - June.csv,1
25/06/2020,,,Nhs Blood Transplant,74548.0,CHWE 03 - June.csv,1
25/06/2020,,,London Borough Of Hounslow,90972.0,CHWE 03 - June.csv,1
25/06/2020,,,Westminster City Council,26866.0,CHWE 03 - June.csv,1
25/06/2020,,,Royal Borough Of Kensington And Chelsea,223972.0,CHWE 03 - June.csv,1
25/06/2020,,,Nhs Shared Business Services,36699.0,CHWE 03 - June.csv,1
25/06/2020,,,Liaison Financial Services Ltd,41586.0,CHWE 03 - June.csv,1
25/06/2020,,,Liaison Financial Services Ltd,33905.0,CHWE 03 - June.csv,1
25/06/2020,,,Liaison Financial Services Ltd,34196.0,CHWE 03 - June.csv,1
25/06/2020,,,Liaison Financial Services Ltd,40287.0,CHWE 03 - June.csv,1
25/06/2020,,,Nhs Supply Chain Roarp (101),58085.0,CHWE 03 - June.csv,1
25/06/2020,,,Nhs Supply Chain Roarp (101),82188.0,CHWE 03 - June.csv,1
25/06/2020,,,Castle Water Ltd,31259.0,CHWE 03 - June.csv,1
25/06/2020,,,Nhs Resolution C/O Nhs Litigation Authority,2906752.0,CHWE 03 - June.csv,1
01/05/2020,Drugs,Chelsea Site,Boots Uk Ltd,1874708.0,CHWE 02 - May.csv,1
01/05/2020,Pension Administration Service,Trust-wide,Nhs Business Servic.Authority- Ea Code Ea4049,57283.0,CHWE 02 - May.csv,1
01/05/2020,Soft Services,Trust-wide,Iss Mediclean Limited,45141.0,CHWE 02 - May.csv,1
01/05/2020,Drugs,West Middlesex Site,Dialachemist Ltd T/A Springmed Solutions,29160.0,CHWE 02 - May.csv,1
01/05/2020,Clinical Supplies,Divisional areas,Nhs Supply Chain Roarp (101),132876.0,CHWE 02 - May.csv,1
01/05/2020,Other,C-Virus - Preparatory Spend,Emmo Holdings Ltd,-117450.0,CHWE 02 - May.csv,-1
01/05/2020,Fetal Care Service,Queen Mary Maternity Unit,Imperial College Healthcare Nhs Trust,42344.0,CHWE 02 - May.csv,1
05/05/2020,Electricty,Hard Fm Non Pay,Edf Energy 1 Ltd,259734.0,CHWE 02 - May.csv,1
05/05/2020,General Maintenance Contracts,Hard Fm Non Pay,Jca Engineering Limited,376665.0,CHWE 02 - May.csv,1
05/05/2020,M.S.S.E. - Other,C-Virus - Preparatory Spend,Philips Healthcare,26901.0,CHWE 02 - May.csv,1
05/05/2020,M.S.S.E. - Other,C-Virus - Preparatory Spend,Philips Healthcare,31815.0,CHWE 02 - May.csv,1
05/05/2020,M.S.S.E. - Routine Purchases,Respiratory - Management,Baywater Healthcare Uk Ltd,27428.0,CHWE 02 - May.csv,1
05/05/2020,M.S.S.E. - Routine Purchases,Respiratory - Management,Baywater Healthcare Uk Ltd,27996.0,CHWE 02 - May.csv,1
05/05/2020,Nw London Pathology Contract,Imperial Pathology (Central),North West London Pathology,1808593.0,CHWE 02 - May.csv,1
05/05/2020,Nw London Pathology Contract,Imperial Pathology (Central),North West London Pathology,178520.0,CHWE 02 - May.csv,1
05/05/2020,P.T.S. - Main Contract,C-Virus - Preparatory Spend,Hats Group Ltd,236039.0,CHWE 02 - May.csv,1
05/05/2020,Services From - Foundation Tru,Chief Executives Office,Care Quality Commission,443423.0,CHWE 02 - May.csv,1
05/05/2020,Drugs,Chelsea Site,Bayer Plc,36708.0,CHWE 02 - May.csv,1
05/05/2020,Clinical Supplies,Divisional areas,Nhs Supply Chain Roarp (101),130990.0,CHWE 02 - May.csv,1
05/05/2020,Clinical Supplies,Divisional areas,Nhs Supply Chain Roarp (101),118703.0,CHWE 02 - May.csv,1
05/05/2020,Telephone Rental-Computer,Telephones: Rental & Calls,Bt Payment Services Ltd,48231.0,CHWE 02 - May.csv,1
05/05/2020,Telephones - Private Circuits,Trust General Services,Imperial College Healthcare Nhs Trust,57322.0,CHWE 02 - May.csv,1
05/05/2020,Leases - Buildings,34-35 Dean Street,Dalness Estates Ltd,48000.0,CHWE 02 - May.csv,1
