ccg,date,expensetype,expensearea,supplier,transactionnumber,amount,file,negative,exepensearea
NHS Ealing CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR SS GORAYA,31914140,99.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,ISLIP MANOR SURGERY,31898359,111.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR R SHAH,31898323,113.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,GOODCARE PRACTICE,31898351,113.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,CHISWICK FAMILY PRACTICE,31898376,115.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,CHURCHFIELD SURGERY DRS SN & SSJ DATTA,31897802,117.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,WESTSEVEN GP,31914148,132.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR SS SHERGILL,31898338,136.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,HILLCREST SURGERY LONDON,31914148,151.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR RK BHATT,31914132,157.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,ARGYLE SURGERY,31914108,163.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR PERINPANAYAGAM & PARTNERS,31914137,180.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,HEALTH PROMOTION CENTRE,31898357,186.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,EALING PARK HEALTH CENTRE,31898348,188.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,CROWN STREET SURGERY,31898278,192.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR E M ROBINSKA,31898294,213.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR DA JENKINS,31898289,217.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,MWH PRACTICE,31898367,229.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR AD LEWIS,31914113,229.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR RC MOORE,31898327,237.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR SK GILL,31898336,237.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,JUBILEE GARDENS MEDICAL CENTRE,31898361,252.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,GOODCARE PRACTICE,31898351,253.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,ME-GMS GP Pension EEs Adjustments,PRC DELEGATED CO-COMMISSIONING,CORFTON ROAD SURGERY,31898276,264.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR L DAS,31898315,268.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR BS & SK MANGAT,31898283,268.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR H NAY LIN,31888300,275.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR HM QADAN,31898300,277.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR N CROWLEY,31898320,279.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR DCM EVANS & PARTNERS,31914118,308.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR AK SANDHU,31898285,314.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR VB BHATT,31898342,363.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,GORDON HOUSE SURGERY,31914143,380.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR AM BOTROS,31898287,399.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR MG MIKHAIL,31898312,401.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR L DAS,31898317,410.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR BP SINHA,31898282,411.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,HAMMOND ROAD PRACTICE,31898377,415.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR WM MOUSTAFA,31898340,418.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR SHC VALENTINE,31898334,428.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR H NAY LIN,31897802,429.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,Apprenticeship Levy Payable,BALANCE SHEET,HMRC,31849787,437.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,ELMBANK SURGERY,31898344,450.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR JW KEEN,31898308,454.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,CHURCHFIELD SURGERY DRS SN & SSJ DATTA,31898274,467.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR N ISSAC,31898321,469.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR JW KEEN,31898306,511.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR JM BAYER,31898304,521.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,DR S GUHA,31898325,555.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,DR K CABOT,31898308,560.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,CHISWICK FAMILY PRACTICE,31898376,569.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,ISLIP MANOR SURGERY,31898357,583.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR SS GORAYA,31914140,583.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,DR DCM EVANS & PARTNERS,31914118,591.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR WM MOUSTAFA,31898338,593.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,HEALTH PROMOTION CENTRE,31898357,594.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,WESTSEVEN GP,31914152,600.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,SUNRISE MEDICAL PRACTICE SOUTHALL,31898370,606.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR VB BHATT,31898344,607.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,GOODCARE PRACTICE,31898348,612.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR N ASGHAR,31914124,614.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR S GUHA,31898325,615.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ISLIP MANOR SURGERY,31898359,615.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,NORTHOLT FAMILY PRACTICE,31800284,616.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR B GOHIL,31898281,617.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,HAMMOND ROAD PRACTICE,31898377,628.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ELMBANK SURGERY,31898346,642.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR MA KHAN LONDON,31898315,644.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,MANDEVILLE MEDICAL CENTRE,31898363,646.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,MANDEVILLE MEDICAL CENTRE,31898365,651.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR AD LEWIS,31914113,659.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR IK SANDHU,31898298,701.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR G SIVARAJAH,31898302,707.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR BP SINHA,31898281,739.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR SHC VALENTINE,31898334,763.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR CSP REDDY,31898296,773.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,HILLCREST SURGERY LONDON,31914143,775.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DRS A LEES R NAISH & S BASSI,31898342,779.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,KS MEDICAL CENTRE,31898363,806.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR SK GILL,31898336,821.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,MANDEVILLE MEDICAL CENTRE,31898365,840.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR DA JENKINS,31898289,873.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR RK BHATT,31914132,891.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR R DASOJU & PARTNERS,31898332,898.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,CORFTON ROAD SURGERY,31898276,923.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,JUBILEE GARDENS MEDICAL CENTRE,31898361,928.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,DR JS SANGHERA,31898306,955.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR HM QADAN,31898300,962.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR R SHAH,31898321,964.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR JS SANGHERA,31898306,966.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,CHISWICK FAMILY PRACTICE,31898370,1001.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,GOODCARE PRACTICE,31898351,1024.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR K CABOT,31898310,1050.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ARGYLE SURGERY,31914108,1060.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR SS GORAYA,31914137,1072.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR AK SANDHU,31898285,1077.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,GOODCARE PRACTICE,31898351,1120.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR BS & SK MANGAT,31898283,1122.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR DS COWEN,31898292,1163.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR R SHAH,31898323,1175.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS Prem Healthcentre Rates,PRC DELEGATED CO-COMMISSIONING,GOODCARE PRACTICE,31898351,1180.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR SS SHERGILL,31898336,1198.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR E M ROBINSKA,31898292,1210.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,HILLCREST SURGERY LONDON,31914148,1216.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,EALING PARK HEALTH CENTRE,31898348,1231.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,EALING PARK HEALTH CENTRE,31898346,1240.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR MG MIKHAIL,31898310,1245.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,CROWN STREET SURGERY,31898278,1247.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR DS COWEN,31898289,1249.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,DR AK SANDHU,31898285,1260.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,ME - GMS TPS Added Years Adj EEs,PRC DELEGATED CO-COMMISSIONING,GORDON HOUSE SURGERY,31914143,1269.0,NWEA 01- April.pdf.csv,1,
