ccg,date,expensearea,expensetype,supplier,transactionnumber,amount,file,negative,exepnsearea
NHS Brent CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR KRAUS & PTNRS,31951291,200.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR ABRAHAMS & PARTNERS,31974989,213.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,Post Graduate Loan Payable,BALANCE SHEET,HMRC,31867718,216.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR JS PATEL & PARTNERS,31951281,221.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR P CHATLANI,31951295,222.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-PMS Prof fees Prescribing,PRC DELEGATED CO-COMMISSIONING,HARROW ROAD SURGERY WEMBLEY,31951316,225.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,STAG - HOLLYROOD PRACTICE,31951321,235.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR J SALINSKY & PTNRS,31951278,237.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR RAMDAHEN & PARTNERS,31951303,277.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-PMS Prof fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR KAMAL & PARTNERS,31951285,300.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,STAG LANE MEDICAL CENTRE,31951524,308.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-APMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,WEMBLEY PRACTICE (THE),31951337,315.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-PMS Prof fees Prescribing,PRC DELEGATED CO-COMMISSIONING,TUDOR HOUSE MEDICAL CENTRE,31974993,353.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR REDRADO & PARTNERS,31951303,382.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR T PRADHAN & PARTNERS,31951313,413.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,DR R RASOOLY,31951299,420.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-PMS Prof fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR P C MEHTA & DR S P MEHTA,31951295,424.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-PMS Prof fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR A SELWYN & PARTNERS,31951261,444.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DR ZN NAJIM,31951311,541.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,DR ABRAHAMS & PARTNERS,31974989,552.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,LANCELOT MEDICAL CENTRE,31974994,553.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,TUDOR HOUSE MEDICAL CENTRE,31974993,558.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR TATE & PARTNERS,31974993,560.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,PRESTON MEDICAL CENTRE,31974996,563.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,HILLTOP MEDICAL PRACTICE,31951318,573.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,PRESTON MEDICAL CENTRE,31974996,611.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR PB PATEL,31951307,614.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,SMS MEDICAL PRACTICE,31951321,615.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR P CHATLANI,31951297,627.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,BRAMPTON HEALTH CENTRE,31951323,629.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,STAG LANE MEDICAL CENTRE,31951524,642.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR J KELLERMANN & PARTNERS,31951274,645.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,BRAMPTON HEALTH CENTRE,31951325,655.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,HARROW ROAD SURGERY WEMBLEY,31951316,675.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR P JAGADAMBE & DR KHURJEKAR,31951299,734.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR CHANDRASEKARA & PARTNERS,31951272,747.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,LANCELOT MEDICAL CENTRE,31974995,766.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR KAMAL & PARTNERS,31951285,769.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR ZN NAJIM,31951311,777.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,PRESTON MEDICAL CENTRE,31974995,799.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR AL KROTOSKY & PTNRS,31951265,813.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR P C MEHTA & DR S P MEHTA,31951295,813.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR CHANDRASEKARA & PARTNERS,31951270,815.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-PMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR AM BURCH & PARTNERS,31951267,820.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR JS PATEL & PARTNERS,31951281,837.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR K N BALAN,31951283,864.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,TUDOR HOUSE MEDICAL CENTRE,31974993,881.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-PMS Growth,PRC DELEGATED CO-COMMISSIONING,TUDOR HOUSE MEDICAL CENTRE,31974993,892.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,CHALKHILL FAMILY PRACTICE,31951325,898.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,CHALKHILL FAMILY PRACTICE,31951326,906.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,STAG - HOLLYROOD PRACTICE,31951323,920.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-PMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,SUDBURY SURGERY (NETWORK HEALTHCARE SOLUTIONS LTD),31951335,931.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR J KELLERMANN & PARTNERS,31951276,950.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR M M BAYER & PARTNERS,31951287,965.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,FREUCHEN MEDICAL CENTRE,31951522,965.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,LANCELOT MEDICAL CENTRE,31974995,1025.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR M A KHAN & PARTNERS LONDON,31951293,1081.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR KAMAL & PARTNERS,31951285,1084.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR KRAUS & PTNRS,31951287,1093.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR KRAUS & PTNRS,31951291,1098.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR REDRADO & PARTNERS,31951305,1106.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR JAYAKUMAR & PARTNER,31974992,1112.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,SMS MEDICAL PRACTICE,31951321,1119.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,PARK ROYAL MEDICAL PRACTICE,31951339,1136.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR J SALINSKY & PTNRS,31951278,1156.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR C NOTANEY & PARTNERS,31951263,1159.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR TATE & PARTNERS,31974994,1168.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR E KONG & C EVBUOMWAN,31951270,1179.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-PMS Growth,PRC DELEGATED CO-COMMISSIONING,DR K N BALAN,31951283,1183.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,SUDBURY & ALPERTON MEDICAL,31951328,1193.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR DE KARE SILVER & PTNRS,31974990,1198.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,SUDBURY SURGERY (NETWORK HEALTHCARE SOLUTIONS LTD),31951335,1200.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,BURNLEY PRACTICE (AT MEDICS LTD),31951333,1217.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-PMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,HARROW ROAD SURGERY WEMBLEY,31951316,1239.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR AM BURCH & PARTNERS,31951267,1257.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-PMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR E KONG & C EVBUOMWAN,31951270,1257.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,MAPESBURY MEDICAL GROUP,31951341,1286.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,STAG LANE MEDICAL CENTRE,31951522,1325.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR GELLERT & PARTNERS,31951274,1369.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DR DE KARE SILVER & PTNRS,31974990,1376.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR M M BAYER & PARTNERS,31951285,1386.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR R RASOOLY,31951300,1388.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,WEMBLEY PRACTICE (THE),31951337,1536.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR CHANDRASEKARA & PARTNERS,31951272,1548.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,WEMBLEY PARK DRIVE MEDICAL CENTRE,31951331,1560.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR JS PATEL & PARTNERS,31951278,1566.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR AL KROTOSKY & PTNRS,31951263,1570.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,SMS MEDICAL PRACTICE,31951321,1581.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DR T PRADHAN & PARTNERS,31951313,1643.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR JAYAKUMAR & PARTNER,31974990,1647.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,HILLTOP MEDICAL PRACTICE,31951318,1730.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,PRESTON MEDICAL CENTRE,31974996,1736.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR P JAGADAMBE & DR KHURJEKAR,31951299,1755.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR C NOTANEY & PARTNERS,31951261,1814.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-PMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR KAMAL & PARTNERS,31951285,1836.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR RAMDAHEN & PARTNERS,31951303,1836.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS PCN DES Invest & impact,PRC DELEGATED CO-COMMISSIONING,DR TATE & PARTNERS,31974994,1864.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR RAMDAHEN & PARTNERS,31951300,1865.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,HAZELDENE MEDICAL CENTRE,31951319,1908.0,NWBR 01 - April.pdf.csv,1,
