supplier,date,expensearea,expensetype,transactionnumber,amount,file,negative
Keystream Healthcare Resources Limited,23/04/2020,Corona Virus,Professional Fees,1419004,27816.0,CROY 01 - April.csv,1
Keystream Healthcare Resources Limited,23/04/2020,Corona Virus,Professional Fees,1419016,25620.0,CROY 01 - April.csv,1
Keystream Healthcare Resources Limited,23/04/2020,Corona Virus,Professional Fees,1419017,25620.0,CROY 01 - April.csv,1
Keystream Healthcare Resources Limited,23/04/2020,Corona Virus,Professional Fees,1419020,30012.0,CROY 01 - April.csv,1
Keystream Healthcare Resources Limited,28/04/2020,Corona Virus,Professional Fees,1418845,25620.0,CROY 01 - April.csv,1
Keystream Healthcare Resources Limited,28/04/2020,Corona Virus,Professional Fees,1418846,32208.0,CROY 01 - April.csv,1
Keystream Healthcare Resources Limited,28/04/2020,Corona Virus,Professional Fees,1418847,25620.0,CROY 01 - April.csv,1
Keystream Healthcare Resources Limited,28/04/2020,Corona Virus,Professional Fees,1418850,30960.0,CROY 01 - April.csv,1
Kinetic-Id Ltd,23/04/2020,Balance Sheet,Additions - Information Techno,1419857,154440.0,CROY 01 - April.csv,1
Lloyds Pharmacy Ltd,23/04/2020,Pharmacy- Drugs Issues,Drugs,1420549,234234.0,CROY 01 - April.csv,1
Lloyds Tsb Commercial Finance,09/04/2020,Balance Sheet,Additions - Assets Under Const,1416507,46776.0,CROY 01 - April.csv,1
Medica Reporting Ltd (Medica Group),09/04/2020,Radiology - Medical,Fees For Medical Reports,1418623,32612.0,CROY 01 - April.csv,1
Mindray Uk Ltd,28/04/2020,Main Theatres 1-8,Equipment Annual Maint,1415250,66220.0,CROY 01 - April.csv,1
National Car Parks (Euk) Ltd,02/04/2020,Balance Sheet,Additions - Assets Under Const,1417954,40200.0,CROY 01 - April.csv,1
Nautilus Consulting Ltd,16/04/2020,Balance Sheet,Additions - Software Licen (G),1414661,174275.0,CROY 01 - April.csv,1
Nautilus Consulting Ltd,28/04/2020,Balance Sheet,Additions - Software Licen (G),1417314,41225.0,CROY 01 - April.csv,1
Netconnection Systems Limited,23/04/2020,Balance Sheet,Additions - Information Techno,1416415,32998.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,09/04/2020,Coronary Care Unit-Cbu2,Agency Nurse - Band 2,1418596,59442.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,09/04/2020,Coronary Care Unit-Cbu2,Agency Nurse - Band 2,1418596,34931.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,09/04/2020,Coronary Care Unit-Cbu2,Agency Nurse - Band 2,1418596,43548.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,09/04/2020,Coronary Care Unit-Cbu2,Agency Nurse - Band 2,1418596,3477.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,09/04/2020,Coronary Care Unit-Cbu2,Agency Nurse - Band 2,1418596,6284.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,09/04/2020,Coronary Care Unit-Cbu2,Agency Nurse - Band 2,1418596,26911.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,09/04/2020,Coronary Care Unit-Cbu2,Agency Nurse - Band 2,1418596,7243.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,09/04/2020,Pod-2 Cardiology-Cbu2,Bank A&C - Band 3,1418478,39874.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,09/04/2020,Pod-2 Cardiology-Cbu2,Bank A&C - Band 3,1418478,8932.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,09/04/2020,Pod-2 Cardiology-Cbu2,Bank A&C - Band 3,1418478,49945.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,09/04/2020,Pod-2 Cardiology-Cbu2,Bank A&C - Band 3,1418478,73497.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,09/04/2020,Pod-2 Cardiology-Cbu2,Bank A&C - Band 3,1418478,8655.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,09/04/2020,Pod-2 Cardiology-Cbu2,Bank A&C - Band 3,1418478,17273.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,09/04/2020,Pod-2 Cardiology-Cbu2,Bank A&C - Band 3,1418478,6598.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,09/04/2020,Pod-2 Cardiology-Cbu2,Bank A&C - Band 3,1418478,11334.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,09/04/2020,Pod-2 Cardiology-Cbu2,Bank A&C - Band 3,1418478,31049.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,09/04/2020,Pod-2 Cardiology-Cbu2,Bank A&C - Band 3,1418478,35532.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,09/04/2020,Pod-2 Cardiology-Cbu2,Bank A&C - Band 3,1418611,62438.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,09/04/2020,Pod-2 Cardiology-Cbu2,Bank A&C - Band 3,1418611,8156.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,09/04/2020,Pod-2 Cardiology-Cbu2,Bank A&C - Band 3,1418611,43427.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,09/04/2020,Pod-2 Cardiology-Cbu2,Bank A&C - Band 3,1418611,73531.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,09/04/2020,Pod-2 Cardiology-Cbu2,Bank A&C - Band 3,1418611,9113.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,09/04/2020,Pod-2 Cardiology-Cbu2,Bank A&C - Band 3,1418611,14042.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,09/04/2020,Pod-2 Cardiology-Cbu2,Bank A&C - Band 3,1418611,4655.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,09/04/2020,Pod-2 Cardiology-Cbu2,Bank A&C - Band 3,1418611,7636.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,09/04/2020,Pod-2 Cardiology-Cbu2,Bank A&C - Band 3,1418611,25049.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,09/04/2020,Pod-2 Cardiology-Cbu2,Bank A&C - Band 3,1418611,30525.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,16/04/2020,Cardiac Cath Lab-Cbu2,Agency Nurse - Band 5,1418866,706.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,16/04/2020,Cardiac Cath Lab-Cbu2,Agency Nurse - Band 5,1418866,56392.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,16/04/2020,Cardiac Cath Lab-Cbu2,Agency Nurse - Band 5,1418866,16836.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,16/04/2020,Cardiac Cath Lab-Cbu2,Agency Nurse - Band 5,1418866,30827.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,16/04/2020,Cardiac Cath Lab-Cbu2,Agency Nurse - Band 5,1418866,370.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,16/04/2020,Cardiac Cath Lab-Cbu2,Agency Nurse - Band 5,1418866,1540.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,16/04/2020,Cardiac Cath Lab-Cbu2,Agency Nurse - Band 5,1418866,18609.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,16/04/2020,Cardiac Cath Lab-Cbu2,Agency Nurse - Band 5,1418866,2196.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,23/04/2020,Ward - Duppas-Cbu2,Agency Nurse - Band 5,1420525,55443.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,23/04/2020,Ward - Duppas-Cbu2,Agency Nurse - Band 5,1420525,24520.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,23/04/2020,Ward - Duppas-Cbu2,Agency Nurse - Band 5,1420525,47786.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,23/04/2020,Ward - Duppas-Cbu2,Agency Nurse - Band 5,1420525,9114.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,23/04/2020,Ward - Duppas-Cbu2,Agency Nurse - Band 5,1420525,2596.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,23/04/2020,Ward - Duppas-Cbu2,Agency Nurse - Band 5,1420525,30642.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,23/04/2020,Ward - Duppas-Cbu2,Agency Nurse - Band 5,1420525,7856.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,23/04/2020,Pod-2 Cardiology-Cbu2,Bank A&C - Band 3,1420526,50430.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,23/04/2020,Pod-2 Cardiology-Cbu2,Bank A&C - Band 3,1420526,7378.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,23/04/2020,Pod-2 Cardiology-Cbu2,Bank A&C - Band 3,1420526,65635.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,23/04/2020,Pod-2 Cardiology-Cbu2,Bank A&C - Band 3,1420526,85176.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,23/04/2020,Pod-2 Cardiology-Cbu2,Bank A&C - Band 3,1420526,5647.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,23/04/2020,Pod-2 Cardiology-Cbu2,Bank A&C - Band 3,1420526,19847.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,23/04/2020,Pod-2 Cardiology-Cbu2,Bank A&C - Band 3,1420526,4875.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,23/04/2020,Pod-2 Cardiology-Cbu2,Bank A&C - Band 3,1420526,12249.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,23/04/2020,Pod-2 Cardiology-Cbu2,Bank A&C - Band 3,1420526,46065.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,23/04/2020,Pod-2 Cardiology-Cbu2,Bank A&C - Band 3,1420526,37531.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,23/04/2020,Cardiac Cath Lab-Cbu2,Bank Nurse - Band 2,1420524,16431.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,23/04/2020,Cardiac Cath Lab-Cbu2,Bank Nurse - Band 2,1420524,2053.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,23/04/2020,Cardiac Cath Lab-Cbu2,Bank Nurse - Band 2,1420524,16812.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,23/04/2020,Cardiac Cath Lab-Cbu2,Bank Nurse - Band 2,1420524,33219.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,23/04/2020,Cardiac Cath Lab-Cbu2,Bank Nurse - Band 2,1420524,6134.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,23/04/2020,Cardiac Cath Lab-Cbu2,Bank Nurse - Band 2,1420524,5407.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,23/04/2020,Cardiac Cath Lab-Cbu2,Bank Nurse - Band 2,1420524,1739.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,23/04/2020,Cardiac Cath Lab-Cbu2,Bank Nurse - Band 2,1420524,4285.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,23/04/2020,Cardiac Cath Lab-Cbu2,Bank Nurse - Band 2,1420524,13474.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,23/04/2020,Cardiac Cath Lab-Cbu2,Bank Nurse - Band 2,1420524,8473.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,28/04/2020,Ward - Duppas-Cbu2,Agency Nurse - Band 5,1421341,1404.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,28/04/2020,Ward - Duppas-Cbu2,Agency Nurse - Band 5,1421341,54315.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,28/04/2020,Ward - Duppas-Cbu2,Agency Nurse - Band 5,1421341,18975.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,28/04/2020,Ward - Duppas-Cbu2,Agency Nurse - Band 5,1421341,18720.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,28/04/2020,Ward - Duppas-Cbu2,Agency Nurse - Band 5,1421341,1969.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,28/04/2020,Ward - Duppas-Cbu2,Agency Nurse - Band 5,1421341,386.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,28/04/2020,Ward - Duppas-Cbu2,Agency Nurse - Band 5,1421341,20414.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,28/04/2020,Ward - Duppas-Cbu2,Agency Nurse - Band 5,1421341,3314.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,28/04/2020,Cardiac Cath Lab-Cbu2,Bank Nurse - Band 2,1421344,6451.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,28/04/2020,Cardiac Cath Lab-Cbu2,Bank Nurse - Band 2,1421344,2037.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,28/04/2020,Cardiac Cath Lab-Cbu2,Bank Nurse - Band 2,1421344,1575.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,28/04/2020,Cardiac Cath Lab-Cbu2,Bank Nurse - Band 2,1421344,25911.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,28/04/2020,Cardiac Cath Lab-Cbu2,Bank Nurse - Band 2,1421344,6947.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,28/04/2020,Cardiac Cath Lab-Cbu2,Bank Nurse - Band 2,1421344,7318.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,28/04/2020,Cardiac Cath Lab-Cbu2,Bank Nurse - Band 2,1421344,1382.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,28/04/2020,Cardiac Cath Lab-Cbu2,Bank Nurse - Band 2,1421344,1578.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,28/04/2020,Cardiac Cath Lab-Cbu2,Bank Nurse - Band 2,1421344,3508.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,28/04/2020,Cardiac Cath Lab-Cbu2,Bank Nurse - Band 2,1421344,9342.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,28/04/2020,Coronary Care Unit-Cbu2,Bank Nurse - Band 2,1421342,4587.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,28/04/2020,Coronary Care Unit-Cbu2,Bank Nurse - Band 2,1421342,1979.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,28/04/2020,Coronary Care Unit-Cbu2,Bank Nurse - Band 2,1421342,11957.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,28/04/2020,Coronary Care Unit-Cbu2,Bank Nurse - Band 2,1421342,1408.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,28/04/2020,Coronary Care Unit-Cbu2,Bank Nurse - Band 2,1421342,3743.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,28/04/2020,Coronary Care Unit-Cbu2,Bank Nurse - Band 2,1421342,881.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,28/04/2020,Coronary Care Unit-Cbu2,Bank Nurse - Band 2,1421342,395.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,28/04/2020,Coronary Care Unit-Cbu2,Bank Nurse - Band 2,1421342,1196.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,28/04/2020,Coronary Care Unit-Cbu2,Bank Nurse - Band 2,1421342,1477.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,28/04/2020,Ward - I.A.C. Flexi Ward (F2),Agency Nurse - Band 5,1421345,1327.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,28/04/2020,Ward - I.A.C. Flexi Ward (F2),Agency Nurse - Band 5,1421345,4711.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,28/04/2020,Ward - I.A.C. Flexi Ward (F2),Agency Nurse - Band 5,1421345,23348.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,28/04/2020,Ward - I.A.C. Flexi Ward (F2),Agency Nurse - Band 5,1421345,764.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,28/04/2020,Ward - I.A.C. Flexi Ward (F2),Agency Nurse - Band 5,1421345,437.0,CROY 01 - April.csv,1
Nhs Professionals Ltd,09/04/2020,Balance Sheet,Nhs Professionals - Payments,1412996,50000.0,CROY 01 - April.csv,1
Nhs Property Services Ltd,02/04/2020,Lennard Road,Nhs Property Facil Mangege,51191,62640.0,CROY 01 - April.csv,1
Nhs Property Services Ltd,02/04/2020,Lennard Road,Nhs Property Facil Mangege,51192,62640.0,CROY 01 - April.csv,1
Nhs Property Services Ltd,02/04/2020,Lennard Road,Nhs Property Rental Charge,51190,81761.0,CROY 01 - April.csv,1
Nhs Property Services Ltd,02/04/2020,Walk In Clinic (Gp Led) E&F,Nhs Property Rental Charge,51193,48889.0,CROY 01 - April.csv,1
Nhs Supply Chain,28/04/2020,Miu - Addington,Catering Equipment Purchase,741185,2981.0,CROY 01 - April.csv,1
Nhs Supply Chain,28/04/2020,Miu - Addington,Catering Equipment Purchase,741185,5186.0,CROY 01 - April.csv,1
Nhs Supply Chain,28/04/2020,Miu - Addington,Catering Equipment Purchase,741185,4235.0,CROY 01 - April.csv,1
Nhs Supply Chain,28/04/2020,Miu - Addington,Catering Equipment Purchase,741185,27292.0,CROY 01 - April.csv,1
Nhs Supply Chain,28/04/2020,Miu - Addington,Catering Equipment Purchase,741185,15349.0,CROY 01 - April.csv,1
Nhs Supply Chain,28/04/2020,Miu - Addington,Catering Equipment Purchase,741185,853.0,CROY 01 - April.csv,1
Nhs Supply Chain,28/04/2020,Miu - Addington,Catering Equipment Purchase,741185,28724.0,CROY 01 - April.csv,1
Nhs Supply Chain,28/04/2020,Miu - Addington,Catering Equipment Purchase,741185,31241.0,CROY 01 - April.csv,1
Nhs Supply Chain,28/04/2020,Miu - Addington,Catering Equipment Purchase,741185,7864.0,CROY 01 - April.csv,1
Nhs Supply Chain,28/04/2020,Miu - Addington,Catering Equipment Purchase,741185,538.0,CROY 01 - April.csv,1
Nhs Supply Chain,28/04/2020,Miu - Addington,Catering Equipment Purchase,741185,31.0,CROY 01 - April.csv,1
Nhs Supply Chain,28/04/2020,Miu - Addington,Catering Equipment Purchase,741185,19.0,CROY 01 - April.csv,1
Nhs Supply Chain,28/04/2020,Miu - Addington,Catering Equipment Purchase,741185,1921.0,CROY 01 - April.csv,1
Nhs Supply Chain,28/04/2020,Miu - Addington,Catering Equipment Purchase,741185,548.0,CROY 01 - April.csv,1
Nhs Supply Chain,28/04/2020,Endoscopy Unit-Cbu1,Medical & Surgical Equip Gen,1403879,319202.0,CROY 01 - April.csv,1
Nhs Supply Chain,28/04/2020,Balance Sheet,Mat Man Inventory Adjustment,741187,175539.0,CROY 01 - April.csv,1
Nhs Supply Chain,28/04/2020,Balance Sheet,Pop Received Not Invoiced,741186,46272.0,CROY 01 - April.csv,1
Nhs Supply Chain,28/04/2020,Radiography,X Ray Equipment Maintenance,1356600,56953.0,CROY 01 - April.csv,1
St Christophers Hospice,09/04/2020,Npbr Other Non-Acute Inc,Consultant,1418125,30495.0,CROY 01 - April.csv,1
St Christophers Hospice,09/04/2020,Npbr Other Non-Acute Inc,Consultant,1418127,60991.0,CROY 01 - April.csv,1
Supply Chain Coordination Limited Capital 905,16/04/2020,Balance Sheet,Additions - Plant & Machinery,1417715,214784.0,CROY 01 - April.csv,1
Supply Chain Coordination Ltd Consumables 101,16/04/2020,Balance Sheet,Mat Man Nhs Sc Reconciliation,1409835,107424.0,CROY 01 - April.csv,1
Supply Chain Coordination Ltd Consumables 101,16/04/2020,Balance Sheet,Mat Man Nhs Sc Reconciliation,1409836,103078.0,CROY 01 - April.csv,1
Supply Chain Coordination Ltd Consumables 101,16/04/2020,Balance Sheet,Mat Man Nhs Sc Reconciliation,1413538,86843.0,CROY 01 - April.csv,1
Supply Chain Coordination Ltd Consumables 101,16/04/2020,Balance Sheet,Mat Man Nhs Sc Reconciliation,1413539,94743.0,CROY 01 - April.csv,1
Supply Chain Coordination Ltd Consumables 101,16/04/2020,Balance Sheet,Mat Man Nhs Sc Reconciliation,1414664,107770.0,CROY 01 - April.csv,1
Supply Chain Coordination Ltd Consumables 101,16/04/2020,Balance Sheet,Mat Man Nhs Sc Reconciliation,1416392,137161.0,CROY 01 - April.csv,1
Supply Chain Coordination Ltd Consumables 101,16/04/2020,Balance Sheet,Mat Man Nhs Sc Reconciliation,1416524,138274.0,CROY 01 - April.csv,1
Supply Chain Coordination Ltd Consumables 101,23/04/2020,Balance Sheet,Mat Man Nhs Sc Reconciliation,1417251,138445.0,CROY 01 - April.csv,1
Supply Chain Coordination Ltd Consumables 101,23/04/2020,Balance Sheet,Mat Man Nhs Sc Reconciliation,1419638,90482.0,CROY 01 - April.csv,1
Supply Chain Coordination Ltd Consumables 101,23/04/2020,Balance Sheet,Mat Man Nhs Sc Reconciliation,1419643,76390.0,CROY 01 - April.csv,1
Supply Chain Coordination Ltd Consumables 101,23/04/2020,Balance Sheet,Mat Man Nhs Sc Reconciliation,1419646,139398.0,CROY 01 - April.csv,1
Supply Chain Coordination Ltd Maintenance 201,23/04/2020,Ct Scanning,X Ray Equipment Maintenance,1419644,94745.0,CROY 01 - April.csv,1
Supply Chain Coordination Ltd Maintenance 201,23/04/2020,Radiography,X Ray Equipment Maintenance,1419947,50695.0,CROY 01 - April.csv,1
Veolia Energy And Utility Services Uk Plc,09/04/2020,Energy Centre Running Costs,Professional Fees,1387758,32009.0,CROY 01 - April.csv,1
Veolia Energy And Utility Services Uk Plc,09/04/2020,Energy Centre Running Costs,Professional Fees,1413052,27625.0,CROY 01 - April.csv,1
Veolia Energy And Utility Services Uk Plc,16/04/2020,Energy Centre Running Costs,Professional Fees,1419090,27611.0,CROY 01 - April.csv,1
3m United Kingdom Plc,27/05/2020,Application Support,Medicode Licenses,1417389,64201.0,CROY 02 - May.csv,1
British Red Cross,01/05/2020,General Operations Admin,Professional Fees,1413163,44089.0,CROY 02 - May.csv,1
Castle Water Ltd,01/05/2020,Energy - Cuh,Water,1417220,47972.0,CROY 02 - May.csv,1
Cerner Ltd,01/05/2020,Application Support,Cerner Millenium Ann Support,1420036,210316.0,CROY 02 - May.csv,1
Cerner Ltd,07/05/2020,Application Support,Cerner Millenium Ann Support,1422820,210316.0,CROY 02 - May.csv,1
Corps Security(Uk) Ltd,01/05/2020,Security,Contract - Security Services,1409669,41586.0,CROY 02 - May.csv,1
Corps Security(Uk) Ltd,01/05/2020,Security,Contract - Security Services,1415234,44031.0,CROY 02 - May.csv,1
Corps Security(Uk) Ltd,01/05/2020,Security,Contract - Security Services,1421637,38921.0,CROY 02 - May.csv,1
Croydon Council,27/05/2020,D.R.S.S.,Referral Tests,1414616,25819.0,CROY 02 - May.csv,1
Croydon Council,21/05/2020,Purley Hospital E&F,Rates,1424670,52934.0,CROY 02 - May.csv,1
Croydon Gp Collaborative Ltd,21/05/2020,Anti Coagulation,Contract External,1417320,44654.0,CROY 02 - May.csv,1
Croydon Gp Collaborative Ltd,21/05/2020,Anti Coagulation,Contract External,1424666,44654.0,CROY 02 - May.csv,1
Croydon Gp Collaborative Ltd,21/05/2020,Adult Ucc,Gp Collaborative,1414624,118581.0,CROY 02 - May.csv,1
Croydon Gp Collaborative Ltd,21/05/2020,Adult Ucc,Gp Collaborative,1419976,114282.0,CROY 02 - May.csv,1
Croydon Gp Collaborative Ltd,27/05/2020,Dermatology,Contract External,1406214,33293.0,CROY 02 - May.csv,1
Croydon Gp Collaborative Ltd,27/05/2020,Dermatology,Contract External,1414619,33293.0,CROY 02 - May.csv,1
Croydon Gp Collaborative Ltd,27/05/2020,Dermatology,Contract External,1417322,33293.0,CROY 02 - May.csv,1
Elis Uk Ltd,14/05/2020,Linen & Laundry Services,Bedding & Linen,1422385,66530.0,CROY 02 - May.csv,1
Elis Uk Ltd,14/05/2020,Linen & Laundry Services,Contract - Laundry,1422384,53951.0,CROY 02 - May.csv,1
Foley Ltd,07/05/2020,Corona Virus,Building External Contract,1421800,29310.0,CROY 02 - May.csv,1
