Department,CCG,Date,Expense Area,Expense Type,Supplier,Transaction Number,Amount
Department of Health,NHS Harrow CCG,31/10/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR A KELSHIKER & PARTNER,34288060,"14,055.01"
Department of Health,NHS Harrow CCG,31/10/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR C JENNER & PARTNERS,34288064,"91,692.77"
Department of Health,NHS Harrow CCG,31/10/2020,C&M-PMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR C JENNER & PARTNERS,34288064,"1,428.39"
Department of Health,NHS Harrow CCG,31/10/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR C JENNER & PARTNERS,34288064,"3,231.54"
Department of Health,NHS Harrow CCG,31/10/2020,C&M-PMS PCO Locum Adop/Pat/Mat,PRC DELEGATED CO-COMMISSIONING,DR C JENNER & PARTNERS,34288064,"8,757.60"
Department of Health,NHS Harrow CCG,31/10/2020,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DR C JENNER & PARTNERS,34288064,"1,206.25"
Department of Health,NHS Harrow CCG,31/10/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR C JENNER & PARTNERS,34288064,"9,025.00"
Department of Health,NHS Harrow CCG,31/10/2020,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,DR C JENNER & PARTNERS,34288064,"1,320.27"
Department of Health,NHS Harrow CCG,31/10/2020,C&M-PMS Prof fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR C JENNER & PARTNERS,34288064,161.23
Department of Health,NHS Harrow CCG,31/10/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR C JENNER & PARTNERS,34288064,"9,276.53"
Department of Health,NHS Harrow CCG,31/10/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR F MCCLOGHRY & PARTNERS,34288071,"1,481.99"
Department of Health,NHS Harrow CCG,31/10/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR F MCCLOGHRY & PARTNERS,34288071,"74,632.24"
Department of Health,NHS Harrow CCG,31/10/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR F MCCLOGHRY & PARTNERS,34288071,"2,848.10"
Department of Health,NHS Harrow CCG,31/10/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR F MCCLOGHRY & PARTNERS,34288071,"7,262.50"
Department of Health,NHS Harrow CCG,31/10/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR F MCCLOGHRY & PARTNERS,34288071,126.66
Department of Health,NHS Harrow CCG,31/10/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR F MCCLOGHRY & PARTNERS,34288071,"7,146.70"
Department of Health,NHS Harrow CCG,31/10/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR GA GOLDEN & PARTNER,34288078,830.87
Department of Health,NHS Harrow CCG,31/10/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR GA GOLDEN & PARTNER,34288078,"51,703.41"
Department of Health,NHS Harrow CCG,31/10/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR GA GOLDEN & PARTNER,34288078,"1,993.52"
Department of Health,NHS Harrow CCG,31/10/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DR GA GOLDEN & PARTNER,34288078,"4,428.76"
Department of Health,NHS Harrow CCG,31/10/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR GA GOLDEN & PARTNER,34288078,"1,237.10"
Department of Health,NHS Harrow CCG,31/10/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR GA GOLDEN & PARTNER,34288078,78.3
Department of Health,NHS Harrow CCG,31/10/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR GA GOLDEN & PARTNER,34288078,"4,960.07"
Department of Health,NHS Harrow CCG,31/10/2020,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,DR J WIJERATNE & PTNRS,34288082,540
Department of Health,NHS Harrow CCG,31/10/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR J WIJERATNE & PTNRS,34288082,"94,177.66"
Department of Health,NHS Harrow CCG,31/10/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR J WIJERATNE & PTNRS,34288082,"3,413.58"
Department of Health,NHS Harrow CCG,31/10/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DR J WIJERATNE & PTNRS,34288082,"1,425.00"
Department of Health,NHS Harrow CCG,31/10/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR J WIJERATNE & PTNRS,34288082,"2,658.33"
Department of Health,NHS Harrow CCG,31/10/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR J WIJERATNE & PTNRS,34288082,"9,512.30"
Department of Health,NHS Harrow CCG,31/10/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR K M AMIN & DR P K AMIN,34288085,"33,139.46"
Department of Health,NHS Harrow CCG,31/10/2020,C&M-PMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR K M AMIN & DR P K AMIN,34288085,324.82
Department of Health,NHS Harrow CCG,31/10/2020,C&M-PMS Growth,PRC DELEGATED CO-COMMISSIONING,DR K M AMIN & DR P K AMIN,34288085,"1,640.67"
Department of Health,NHS Harrow CCG,31/10/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR K M AMIN & DR P K AMIN,34288085,"1,188.20"
Department of Health,NHS Harrow CCG,31/10/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR K M AMIN & DR P K AMIN,34288085,"7,837.75"
Department of Health,NHS Harrow CCG,31/10/2020,C&M-PMS Prof fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR K M AMIN & DR P K AMIN,34288085,69.09
Department of Health,NHS Harrow CCG,31/10/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR K M AMIN & DR P K AMIN,34288085,"3,041.74"
Department of Health,NHS Harrow CCG,31/10/2020,C&M-PMS Additional Staff Payments,PRC DELEGATED CO-COMMISSIONING,DR M DAVEY & PARTNERS,34288087,"3,816.04"
Department of Health,NHS Harrow CCG,31/10/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR M DAVEY & PARTNERS,34288087,"55,587.95"
Department of Health,NHS Harrow CCG,31/10/2020,C&M-PMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR M DAVEY & PARTNERS,34288087,235.53
Department of Health,NHS Harrow CCG,31/10/2020,C&M-PMS Growth,PRC DELEGATED CO-COMMISSIONING,DR M DAVEY & PARTNERS,34288087,"1,449.42"
Department of Health,NHS Harrow CCG,31/10/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR M DAVEY & PARTNERS,34288087,"2,028.22"
Department of Health,NHS Harrow CCG,31/10/2020,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,DR M DAVEY & PARTNERS,34288087,771.81
Department of Health,NHS Harrow CCG,31/10/2020,C&M-PMS Prof fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR M DAVEY & PARTNERS,34288087,78.31
Department of Health,NHS Harrow CCG,31/10/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR M DAVEY & PARTNERS,34288087,"4,717.19"
Department of Health,NHS Harrow CCG,31/10/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR MD PANDYA,34288089,"24,087.87"
Department of Health,NHS Harrow CCG,31/10/2020,C&M-PMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR MD PANDYA,34288089,19.52
Department of Health,NHS Harrow CCG,31/10/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR MD PANDYA,34288089,892.52
Department of Health,NHS Harrow CCG,31/10/2020,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DR MD PANDYA,34288089,"2,900.00"
Department of Health,NHS Harrow CCG,31/10/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR MD PANDYA,34288089,"5,833.33"
Department of Health,NHS Harrow CCG,31/10/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR MD PANDYA,34288089,"1,388.02"
Department of Health,NHS Harrow CCG,31/10/2020,C&M-PMS Prof fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR MD PANDYA,34288089,2.3
Department of Health,NHS Harrow CCG,31/10/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR MD PANDYA,34288089,"1,898.26"
Department of Health,NHS Harrow CCG,31/10/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR KK VARA,34288091,41.81
Department of Health,NHS Harrow CCG,31/10/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR KK VARA,34288091,"44,047.37"
Department of Health,NHS Harrow CCG,31/10/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR KK VARA,34288091,"1,655.06"
Department of Health,NHS Harrow CCG,31/10/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DR KK VARA,34288091,502.71
Department of Health,NHS Harrow CCG,31/10/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR KK VARA,34288091,"2,979.17"
Department of Health,NHS Harrow CCG,31/10/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR KK VARA,34288091,9.21
Department of Health,NHS Harrow CCG,31/10/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR KK VARA,34288091,"3,002.34"
Department of Health,NHS Harrow CCG,31/10/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR L HOMMEL & PARTNERS,34288093,"62,069.37"
Department of Health,NHS Harrow CCG,31/10/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR L HOMMEL & PARTNERS,34288093,"2,296.06"
Department of Health,NHS Harrow CCG,31/10/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR L HOMMEL & PARTNERS,34288093,"17,773.75"
Department of Health,NHS Harrow CCG,31/10/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR L HOMMEL & PARTNERS,34288093,"5,292.09"
Department of Health,NHS Harrow CCG,31/10/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR L N GOULD & PARTNERS,34288095,"100,125.69"
Department of Health,NHS Harrow CCG,31/10/2020,C&M-PMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR L N GOULD & PARTNERS,34288095,"1,482.84"
Department of Health,NHS Harrow CCG,31/10/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR L N GOULD & PARTNERS,34288095,"3,792.92"
Department of Health,NHS Harrow CCG,31/10/2020,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DR L N GOULD & PARTNERS,34288095,830.42
Department of Health,NHS Harrow CCG,31/10/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR L N GOULD & PARTNERS,34288095,"8,829.17"
Department of Health,NHS Harrow CCG,31/10/2020,C&M-PMS Prof fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR L N GOULD & PARTNERS,34288095,46.06
Department of Health,NHS Harrow CCG,31/10/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR L N GOULD & PARTNERS,34288095,"9,736.70"
Department of Health,NHS Harrow CCG,31/10/2020,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,DR L PETERS & PARTNERS,34288096,"-4,649.03"
Department of Health,NHS Harrow CCG,31/10/2020,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,DR L PETERS & PARTNERS,34288096,"-4,371.02"
Department of Health,NHS Harrow CCG,31/10/2020,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DR L PETERS & PARTNERS,34288096,"-6,875.00"
Department of Health,NHS Harrow CCG,31/10/2020,ME-PMS GP Pension EEs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,DR L PETERS & PARTNERS,34288096,"-1,415.32"
Department of Health,NHS Harrow CCG,31/10/2020,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,DR L PETERS & PARTNERS,34288096,"-9,798.57"
Department of Health,NHS Harrow CCG,31/10/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,DR L PETERS & PARTNERS,34288096,"-11,595.92"
Department of Health,NHS Harrow CCG,31/10/2020,C&M-PMS Additional Staff Payments,PRC DELEGATED CO-COMMISSIONING,DR L PETERS & PARTNERS,34288097,"6,391.24"
Department of Health,NHS Harrow CCG,31/10/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR L PETERS & PARTNERS,34288097,"102,336.51"
Department of Health,NHS Harrow CCG,31/10/2020,C&M-PMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR L PETERS & PARTNERS,34288097,"2,320.05"
Department of Health,NHS Harrow CCG,31/10/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR L PETERS & PARTNERS,34288097,"3,589.76"
Department of Health,NHS Harrow CCG,31/10/2020,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DR L PETERS & PARTNERS,34288097,"1,718.75"
Department of Health,NHS Harrow CCG,31/10/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR L PETERS & PARTNERS,34288097,"7,216.67"
Department of Health,NHS Harrow CCG,31/10/2020,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,DR L PETERS & PARTNERS,34288097,"2,965.33"
Department of Health,NHS Harrow CCG,31/10/2020,C&M-PMS Prof fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR L PETERS & PARTNERS,34288097,94.42
Department of Health,NHS Harrow CCG,31/10/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR L PETERS & PARTNERS,34288097,"10,697.43"
Department of Health,NHS Harrow CCG,31/10/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR P J DAVID,34288099,"25,995.16"
Department of Health,NHS Harrow CCG,31/10/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR P J DAVID,34288099,965.68
Department of Health,NHS Harrow CCG,31/10/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DR P J DAVID,34288099,860.42
Department of Health,NHS Harrow CCG,31/10/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR P J DAVID,34288099,"2,266.67"
Department of Health,NHS Harrow CCG,31/10/2020,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,DR P J DAVID,34288099,407.52
Department of Health,NHS Harrow CCG,31/10/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR P J DAVID,34288099,"2,316.20"
Department of Health,NHS Harrow CCG,31/10/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR MP EDDINGTON & PARTNERS,34288101,"3,811.17"
Department of Health,NHS Harrow CCG,31/10/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR MP EDDINGTON & PARTNERS,34288101,"52,017.59"
Department of Health,NHS Harrow CCG,31/10/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR MP EDDINGTON & PARTNERS,34288101,"1,924.04"
Department of Health,NHS Harrow CCG,31/10/2020,C&M-GMS PCO Locum Sickness,PRC DELEGATED CO-COMMISSIONING,DR MP EDDINGTON & PARTNERS,34288101,"5,351.52"
Department of Health,NHS Harrow CCG,31/10/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DR MP EDDINGTON & PARTNERS,34288101,"1,984.42"
Department of Health,NHS Harrow CCG,31/10/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR MP EDDINGTON & PARTNERS,34288101,"4,769.58"
Department of Health,NHS Harrow CCG,31/10/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR MP EDDINGTON & PARTNERS,34288101,804.16
Department of Health,NHS Harrow CCG,31/10/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR MP EDDINGTON & PARTNERS,34288101,845.2
