Department,Entity,Date,Expense Type,Expense Area,Supplier,Amount
Department of Health,NHS South West London CCG,31/07/2020,ME-PMS GP Pension EEs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,BALHAM PARK SURGERY,"-1,776.50"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,DR M F JOHNSON & PARTNERS,"-1,765.79"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,PARCHMORE MEDICAL CENTRE,"-1,610.00"
Department of Health,NHS South West London CCG,31/07/2020,ME - PMS TPS Added Years Adj EEs,PRC DELEGATED CO-COMMISSIONING,LAMBTON ROAD MEDICAL PRACTICE,"-1,460.87"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,PUTNEYMEAD GROUP MEDICAL PRACTICE,"-1,425.48"
Department of Health,NHS South West London CCG,31/07/2020,ME-GMS GP Prior Year AVCs,PRC DELEGATED CO-COMMISSIONING,JEZIERSKI & PARTNERS,"-1,416.99"
Department of Health,NHS South West London CCG,31/07/2020,ME - PMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,PUTNEYMEAD GROUP MEDICAL PRACTICE,"-1,332.61"
Department of Health,NHS South West London CCG,31/07/2020,ME-PMS GP Pension EEs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,PARCHMORE MEDICAL CENTRE,"-1,300.00"
Department of Health,NHS South West London CCG,31/07/2020,ME - PMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,V M BEARN,"-1,127.21"
Department of Health,NHS South West London CCG,31/07/2020,ME - PMS TPS Added Years Adj EEs,PRC DELEGATED CO-COMMISSIONING,J GRANNELL,"-1,061.25"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,V M BEARN,"-1,049.49"
Department of Health,NHS South West London CCG,31/07/2020,ME - PMS TPS Added Years Adj EEs,PRC DELEGATED CO-COMMISSIONING,DR FREEMAN & PARTNERS,"-1,034.30"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,BALHAM PARK SURGERY,"-1,032.14"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,DR S A BOBAK,-981.32
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,LAMBTON ROAD MEDICAL PRACTICE,-972.7
Department of Health,NHS South West London CCG,31/07/2020,ME - PMS TPS Added Years Adj EEs,PRC DELEGATED CO-COMMISSIONING,WIMBLEDON MEDICAL CENTRE,-969.36
Department of Health,NHS South West London CCG,31/07/2020,ME-PMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,PUTNEYMEAD GROUP MEDICAL PRACTICE,-861.83
Department of Health,NHS South West London CCG,31/07/2020,ME - GMS TPS Added Years Adj EEs,PRC DELEGATED CO-COMMISSIONING,JEZIERSKI & PARTNERS,-841.66
Department of Health,NHS South West London CCG,31/07/2020,ME-PMS GP Pension EEs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,V M BEARN,-837
Department of Health,NHS South West London CCG,31/07/2020,ME - GMS TPS Added Years Adj EEs,PRC DELEGATED CO-COMMISSIONING,SMITH C J & PARTNERS,-787.64
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,DR E KATAY & PARTNERS,-785.04
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,CHEAM GP CENTRE,-758.1
Department of Health,NHS South West London CCG,31/07/2020,ME-PMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,V M BEARN,-729
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,C RIBEIRO,-725.59
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,CHEAM FAMILY PRACTICE,-717.13
Department of Health,NHS South West London CCG,31/07/2020,ME - PMS TPS Added Years Adj EEs,PRC DELEGATED CO-COMMISSIONING,V M BEARN,-639.54
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,C J ELLIOTT,-607.19
Department of Health,NHS South West London CCG,31/07/2020,ME - PMS TPS Added Years Adj EEs,PRC DELEGATED CO-COMMISSIONING,PUTNEYMEAD GROUP MEDICAL PRACTICE,-600.89
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,M G DURHAM,-583.67
Department of Health,NHS South West London CCG,31/07/2020,C&M-GMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,JEZIERSKI & PARTNERS,-577.62
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,WIMBLEDON MEDICAL CENTRE,-510.35
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,DR B NAHA,-469.48
Department of Health,NHS South West London CCG,31/07/2020,ME - PMS TPS Added Years Adj EEs,PRC DELEGATED CO-COMMISSIONING,CHEAM FAMILY PRACTICE,-464.16
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,DR P W NEWLANDS & PARTNERS,-452.11
Department of Health,NHS South West London CCG,31/07/2020,ME-PMS GP Pension EEs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,LAMBTON ROAD MEDICAL PRACTICE,-418.5
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,PARCHMORE MEDICAL CENTRE,-413.33
Department of Health,NHS South West London CCG,31/07/2020,ME-PMS GP Pension EEs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,PUTNEYMEAD GROUP MEDICAL PRACTICE,-406.39
Department of Health,NHS South West London CCG,31/07/2020,ME - PMS TPS Added Years Adj EEs,PRC DELEGATED CO-COMMISSIONING,DR S A BOBAK,-382.42
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,ROWANS SURGERY (THE),-380.46
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,DR M F JOHNSON & PARTNERS,-362.21
Department of Health,NHS South West London CCG,31/07/2020,ME-PMS GP Pension AVCs,PRC DELEGATED CO-COMMISSIONING,DR FREEMAN & PARTNERS,-334.65
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,DR N SORNALINGAM & PARTNERS,-306.12
Department of Health,NHS South West London CCG,31/07/2020,Clinical&Medical-Independent Sector,COMMUNICATIONS & PR,ALTAIR MEDIA LTD,-297.63
