NHS Abrev,ccg19nm,Count,Value (m),Number of Datasets,Value (%),Count (%),Highest Value Charity Recipient,Number Payments to VCS,Number of Charity Suppliers
BRAC,NHS Bradford City CCG,3057.0,758.0,78.0,0.09319899069907453,0.3598298985933922,BRADFORD TRIDENT LIMITED,11.0,4.0
BRAD,NHS Bradford Districts CCG,7517.0,2504.0,76.0,1.1998885075215775,5.09511773313822,MARIE CURIE,383.0,31.0
BREN,NHS Brent CCG,93.0,30.0,2.0,0.16602317180190368,1.0752688172043012,ST LUKES HOSPICE BASILDON AND DISTRICT LIMITED,1.0,1.0
BAH,NHS Brighton And Hove CCG,2479.0,588.0,20.0,1.348097277963703,4.63896732553449,THE MARTLETS HOSPICE LIMITED,115.0,14.0
BNSGSG,"NHS Bristol, North Somerset And South Gloucestershire CCG",6462.0,2359.0,26.0,1.1450506381414287,5.168678427731352,NUFFIELD HEALTH,334.0,32.0
BROM,NHS Bromley CCG,892.0,318.0,9.0,1.8896437907194672,7.511210762331838,ST CHRISTOPHERS HOSPICE,67.0,12.0
BUCK,NHS Buckinghamshire CCG,324.0,77.0,4.0,0.15266060254770483,0.9259259259259258,RENNIE GROVE HOSPICE CARE,3.0,2.0
BURY,NHS Bury CCG,2918.0,729.0,37.0,0.20934506860954774,0.8567511994516792,BURY HOSPICE,25.0,5.0
CAP,NHS Cambridgeshire And Peterborough CCG,14775.0,5046.0,72.0,0.746490166230245,3.654822335025381,ARTHUR RANK HOSPICE CHARITY,540.0,32.0
CAMD,NHS Camden CCG,276.0,48.0,8.0,3.9778385420796343,8.333333333333332,MARIE CURIE,23.0,7.0
CANN,NHS Cannock Chase CCG,1521.0,445.0,33.0,0.44554950963699463,1.9723865877712032,ST GILES HOSPICE,30.0,4.0
CANT,NHS Canterbury And Coastal CCG,6231.0,1579.0,82.0,0.9841883891326455,5.055368319691863,PILGRIMS HOSPICES IN EAST KENT,315.0,22.0
CPR,NHS Castle Point And Rochford CCG,2191.0,720.0,49.0,0.4281740847628919,2.1451392058420815,HAVENS HOSPICES,47.0,7.0
CSR,NHS Chorley And South Ribble CCG,4455.0,1320.0,79.0,0.5539369116894306,1.5937149270482602,ST CATHERINES HOSPICE LANCASHIRE LIMITED,71.0,14.0
CAH,NHS City And Hackney CCG,153.0,50.0,3.0,1.052158938465682,4.57516339869281,ST JOSEPHS HOSPICE HACKNEY,7.0,4.0
CWS,NHS Coastal West Sussex CCG,9613.0,4040.0,78.0,1.1814555189523357,4.930822844065328,NUFFIELD HEALTH,474.0,20.0
COR,NHS Corby CCG,1689.0,389.0,61.0,0.049868841798588144,0.2960331557134399,ST ANDREWS HEALTHCARE,5.0,3.0
CAR,NHS Coventry And Rugby CCG,7056.0,3231.0,75.0,0.7336039225241199,5.1020408163265305,THE MYTON HOSPICES,360.0,32.0
CRAW,NHS Crawley CCG,3184.0,1111.0,84.0,0.7872962494979507,1.5389447236180904,ST CATHERINES HOSPICE LIMITED,49.0,15.0
CRO,NHS Croydon CCG,1095.0,331.0,11.0,1.1542802855701466,4.018264840182648,ST CHRISTOPHERS HOSPICE,44.0,8.0
DARL,NHS Darlington CCG,734.0,176.0,17.0,0.7439096200566978,3.2697547683923704,DARLINGTON AND DISTRICT HOSPICE MOVEMENT,24.0,5.0
DAD,NHS Derby And Derbyshire CCG,3225.0,1188.0,10.0,0.9653865971788366,2.635658914728682,NUFFIELD HEALTH,85.0,16.0
DEV,NHS Devon CCG,315.0,130.0,1.0,1.4196971155589861,5.396825396825397,ROWCROFT HOUSE FOUNDATION LIMITED,17.0,11.0
DONC,NHS Doncaster CCG,6754.0,1948.0,65.0,0.4071587494782243,3.050044418122594,BRITISH PREGNANCY ADVISORY SERVICE,206.0,14.0
DORS,NHS Dorset CCG,16579.0,5640.0,78.0,1.2939933835368105,6.725375474998492,POOLE RIGHTS ORGANISATION ON DISABILITY,1115.0,40.0
DUD,NHS Dudley CCG,2861.0,770.0,23.0,0.5266905060452265,2.097168822090178,THE DUDLEY COUNCIL FOR VOLUNTARY SERVICE,60.0,16.0
DDES,"NHS Durham Dales, Easington And Sedgefield CCG",2279.0,686.0,19.0,0.6588440717404538,4.6950416849495396,BUTTERWICK LIMITED,107.0,15.0
EAL,NHS Ealing CCG,754.0,310.0,10.0,0.4948139710038452,3.8461538461538463,MSI REPRODUCTIVE CHOICES,29.0,7.0
EANH,NHS East And North Hertfordshire CCG,9730.0,4113.0,83.0,0.6872298871101501,2.024665981500514,ISABEL HOSPICE LIMITED,197.0,17.0
EBERK,NHS East Berkshire CCG,9418.0,2366.0,145.0,0.5567514103294187,2.1554470163516672,THAMES HOSPICE,203.0,22.0
EALA,NHS East Lancashire CCG,7986.0,2636.0,65.0,0.8382177324661017,3.5061357375406965,PENDLESIDE HOSPICE,280.0,30.0
ELAR,NHS East Leicestershire And Rutland CCG,269.0,56.0,2.0,0.533334349036188,1.486988847583643,NUFFIELD HEALTH,4.0,1.0
ERY,NHS East Riding Of Yorkshire CCG,4059.0,1668.0,60.0,0.1048675984000266,0.7144616900714462,DOVE HOUSE HOSPICE LIMITED,29.0,8.0
ESTA,NHS East Staffordshire CCG,2441.0,599.0,58.0,0.4332491123168779,1.6386726751331422,ST GILES HOSPICE,40.0,6.0
EASU,NHS East Surrey CCG,963.0,275.0,17.0,1.173681881252917,3.322949117341641,ST CATHERINES HOSPICE LIMITED,32.0,4.0
EHS,"NHS Eastbourne, Hailsham And Seaford CCG",3946.0,1265.0,65.0,1.1157636162420423,1.7486061834769386,ST WILFRIDS HOSPICE EASTBOURNE,69.0,8.0
EACH,NHS Eastern Cheshire CCG,3098.0,296.0,81.0,0.35345901507010824,0.6132989025177534,BODY POSITIVE CHESHIRE AND NORTH WALES,19.0,4.0
ENF,NHS Enfield CCG,1965.0,626.0,23.0,0.6522362506732353,3.3587786259541987,NORTH LONDON HOSPICE,66.0,9.0
FAG,NHS Fareham And Gosport CCG,4100.0,1475.0,81.0,0.06970222833015917,0.5853658536585366,SOLENT MIND,24.0,6.0
FW,NHS Fylde and Wyre CCG,62.0,19.0,1.0,0.0,0.0,0,0.0,0.0
GLOU,NHS Gloucestershire CCG,12822.0,4518.0,81.0,0.5520403402084264,2.7218842614256746,TETBURY HOSPITAL TRUST,349.0,36.0
GYAW,NHS Great Yarmouth And Waveney CCG,14.0,17.0,1.0,0.0,0.0,0,0.0,0.0
GHUD,NHS Greater Huddersfield CCG,3786.0,1487.0,70.0,1.05047965610394,2.2979397781299524,ST ANNES COMMUNITY SERVICES,87.0,8.0
GPRE,NHS Greater Preston CCG,4799.0,1519.0,80.0,0.655761148398853,2.646384663471556,ST CATHERINES HOSPICE LANCASHIRE LIMITED,127.0,15.0
GREE,NHS Greenwich CCG,113.0,30.0,1.0,2.1897552225876344,5.3097345132743365,VIBRANCE,6.0,5.0
HALT,NHS Halton CCG,3496.0,949.0,62.0,0.6128824891871512,0.9153318077803204,HALTON HAVEN HOSPICE,32.0,9.0
HRAW,"NHS Hambleton, Richmondshire And Whitby CCG",4169.0,905.0,66.0,0.19319049035630068,1.2712880786759413,NUFFIELD HEALTH,53.0,7.0
HAF,NHS Hammersmith And Fulham CCG,154.0,34.0,2.0,0.6317483230394555,2.5974025974025974,WEST LONDON CENTRE FOR COUNSELLING,4.0,4.0
HARI,NHS Haringey CCG,1184.0,135.0,29.0,1.5873804021048872,3.125,MARIE CURIE,37.0,8.0
HARD,NHS Harrogate And Rural District CCG,23.0,19.0,2.0,0.8518039091971183,4.3478260869565215,ST MICHAELS HOSPICE INCORPORATING THE FREDA PEARCE FOUNDATION,1.0,1.0
HARR,NHS Harrow CCG,1423.0,448.0,27.0,0.5141636765533691,1.7568517217146873,ST LUKES HOSPICE BASILDON AND DISTRICT LIMITED,25.0,3.0
HAST,NHS Hartlepool And Stockton-On-Tees CCG,1065.0,386.0,11.0,2.232466007452041,7.230046948356808,NUFFIELD HEALTH,77.0,11.0
HAR,NHS Hastings And Rother CCG,6094.0,1445.0,77.0,2.0043521412973586,4.217262881522809,HORDER HEALTHCARE,257.0,18.0
HERE,NHS Herefordshire CCG,5793.0,1421.0,84.0,2.2788272298648002,5.558432591058174,NUFFIELD HEALTH,322.0,15.0
HERT,NHS Herts Valleys CCG,5567.0,1864.0,32.0,0.47243598821494237,2.227411532243578,PEACE HOSPICE CARE,124.0,11.0
HMR,"NHS Heywood, Middleton And Rochdale CCG",2069.0,530.0,21.0,0.9319896285309569,1.6433059449009184,SPRINGHILL HOSPICE ROCHDALE,34.0,10.0
HWLH,NHS High Weald Lewes Havens CCG,961.0,226.0,11.0,0.5476565693948193,1.768990634755463,HORDER HEALTHCARE,17.0,9.0
HILL,NHS Hillingdon CCG,1486.0,570.0,26.0,0.25747107025148697,2.4226110363391657,MSI REPRODUCTIVE CHOICES,36.0,5.0
HAMS,NHS Horsham And Mid Sussex CCG,6291.0,2473.0,88.0,1.2819172900683768,7.8048005086631695,ACTION FOR DEAFNESS,491.0,23.0
HULL,NHS Hull CCG,5019.0,1997.0,71.0,0.33740491657042876,2.928870292887029,DOVE HOUSE HOSPICE LIMITED,147.0,15.0
IAES,NHS Ipswich And East Suffolk CCG,2695.0,1375.0,47.0,1.226523313190948,4.452690166975881,ST ELIZABETH HOSPICE SUFFOLK,120.0,16.0
IOW,NHS Isle Of Wight CCG,2286.0,872.0,54.0,1.8076031564408168,3.63079615048119,EARL MOUNTBATTEN HOSPICE,83.0,10.0
KERN,NHS Kernow CCG,3962.0,1266.0,22.0,1.7543673841015752,9.994952044422009,CORNWALL CARE LIMITED,396.0,20.0
KING,NHS Kingston CCG,2873.0,740.0,38.0,0.5872328529036009,2.1580229725026103,PRINCESS ALICE HOSPICE,62.0,14.0
KNOW,NHS Knowsley CCG,1061.0,262.0,12.0,0.398777443415318,1.5080113100848256,WILLOWBROOK HOSPICE,16.0,5.0
LAMB,NHS Lambeth CCG,1236.0,425.0,9.0,1.6285945599969085,9.70873786407767,SOUTHSIDE PARTNERSHIP,120.0,20.0
LEE,NHS Leeds CCG,20153.0,6097.0,190.0,2.878935753482575,7.021287153277428,NUFFIELD HEALTH,1415.0,55.0
LEIC,NHS Leicester City CCG,70.0,28.0,1.0,1.1069470850687042,8.571428571428571,NUFFIELD HEALTH,6.0,4.0
LINE,NHS Lincolnshire East CCG,7458.0,1505.0,63.0,1.3552655347431088,3.4191472244569585,THE HEALTHCARE MANAGEMENT TRUST,255.0,9.0
LINW,NHS Lincolnshire West CCG,7525.0,1612.0,82.0,0.8194249190282412,2.0465116279069764,ST BARNABAS HOSPICE TRUST LINCOLNSHIRE,154.0,8.0
LIVE,NHS Liverpool CCG,10387.0,4229.0,75.0,1.2129568186963138,5.6224126311735825,MARIE CURIE,584.0,42.0
MAA,NHS Mansfield And Ashfield CCG,1464.0,394.0,18.0,0.105732285967448,0.546448087431694,THE NOTTINGHAMSHIRE HOSPICE LIMITED,8.0,4.0
MED,NHS Medway CCG,1021.0,256.0,9.0,0.5158645662164739,3.623898139079334,MSI REPRODUCTIVE CHOICES,37.0,9.0
MERT,NHS Merton CCG,2405.0,729.0,41.0,0.9954564867525945,3.783783783783784,WE ARE WITH YOU,91.0,12.0
MESS,NHS Mid Essex CCG,8606.0,2389.0,80.0,0.8598992486680368,2.602835231234023,FARLEIGH HOSPICE,224.0,15.0
MK,NHS Milton Keynes CCG,2676.0,817.0,42.0,0.6826906127037828,4.147982062780269,WILLEN HOSPICE,111.0,14.0
MCB,NHS Morecambe Bay CCG,5112.0,1840.0,78.0,0.7854326916816661,2.621283255086072,ST JOHNS HOSPICE NORTH LANCASHIRE AND SOUTH LAKES,134.0,16.0
NENE,NHS Nene CCG,1088.0,439.0,7.0,0.7116769477722145,5.238970588235294,MARIE CURIE,57.0,13.0
NAS,NHS Newark and Sherwood CCG,1281.0,281.0,19.0,0.2996087660271091,1.639344262295082,BEAUMOND HOUSE COMMUNITY HOSPICE,21.0,4.0
NAG,NHS Newcastle Gateshead CCG,145.0,111.0,2.0,2.4453162098416117,14.482758620689657,MENTAL HEALTH CONCERN,21.0,11.0
NEWH,NHS Newham CCG,48.0,23.0,1.0,0.0,0.0,0,0.0,0.0
NORC,NHS North Cumbria CCG,1507.0,466.0,13.0,0.5861039229171543,4.512276045122761,DISABILITY ASSOCIATION CARLISLE AND EDEN,68.0,10.0
NDUR,NHS North Durham CCG,1551.0,485.0,18.0,0.3273440709880029,0.8381689232753062,ST CUTHBERTS HOSPICE DURHAM,13.0,5.0
NEES,NHS North East Essex CCG,8609.0,2586.0,80.0,1.333108466892101,2.450923452201185,ST HELENA HOSPICE LIMITED,211.0,28.0
NEHF,NHS North East Hampshire And Farnham CCG,5372.0,1531.0,79.0,0.6109367950436888,2.345495160089352,THE RICHMOND FELLOWSHIP,126.0,12.0
NEL,NHS North East Lincolnshire CCG,3935.0,1371.0,83.0,3.938828630978666,8.69123252858958,THE HEALTHCARE MANAGEMENT TRUST,342.0,12.0
NH,NHS North Hampshire CCG,119.0,39.0,2.0,0.3532927242515936,1.680672268907563,ST MICHAELS HOSPICENORTH HAMPSHIRE,2.0,1.0
NK,NHS North Kirklees CCG,3421.0,1015.0,59.0,1.2249641739638981,5.2031569716457176,ST ANNES COMMUNITY SERVICES,178.0,13.0
NL,NHS North Lincolnshire CCG,3790.0,1061.0,74.0,1.0079609070100626,4.96042216358839,THE HEALTHCARE MANAGEMENT TRUST,188.0,12.0
NN,NHS North Norfolk CCG,1818.0,370.0,18.0,0.2622532437124941,0.77007700770077,FITZROY SUPPORT,14.0,3.0
NOST,NHS North Staffordshire CCG,3636.0,942.0,51.0,2.1157195710065997,4.180418041804181,NUFFIELD HEALTH,152.0,14.0
NT,NHS North Tyneside CCG,53.0,20.0,1.0,0.5616281391515379,3.7735849056603774,MARIE CURIE,2.0,2.0
NWS,NHS North West Surrey CCG,1494.0,457.0,13.0,0.7823736789087453,3.413654618473896,WOKING HOSPICE,51.0,6.0
NORW,NHS Norwich CCG,3634.0,1181.0,72.0,0.0643622421988561,0.7705008255365988,NORFOLK COMMUNITY FOUNDATION,28.0,15.0
NOCI,NHS Nottingham City CCG,4797.0,2258.0,73.0,0.6634011962463859,5.9620596205962055,ST ANDREWS HEALTHCARE,286.0,29.0
NNAE,NHS Nottingham North And East CCG,2531.0,733.0,47.0,0.3384313487777796,1.5804030027657054,THE NOTTINGHAMSHIRE HOSPICE LIMITED,40.0,5.0
NW,NHS Nottingham West CCG,2580.0,694.0,76.0,0.23972673787372617,1.627906976744186,THE NOTTINGHAMSHIRE HOSPICE LIMITED,42.0,5.0
OLD,NHS Oldham CCG,4132.0,1175.0,59.0,0.6337559591220261,3.4849951597289452,Named Doctor,144.0,14.0
OXFO,NHS Oxfordshire CCG,2174.0,741.0,11.0,0.5070447863022368,3.4958601655933763,KATHARINE HOUSE HOSPICE,76.0,12.0
PORT,NHS Portsmouth CCG,3576.0,1486.0,70.0,0.14448929709635502,1.2024608501118568,ROWANS HOSPICE,43.0,12.0
RAB,NHS Redditch And Bromsgrove CCG,4693.0,1226.0,78.0,0.33892299439844775,0.8097165991902834,ST RICHARDS HOSPICE FOUNDATION,38.0,6.0
RICH,NHS Richmond CCG,1526.0,417.0,33.0,0.4159197357910118,2.490170380078637,PRINCESS ALICE HOSPICE,38.0,8.0
ROTH,NHS Rotherham CCG,5524.0,1996.0,82.0,1.8329188588954617,4.018826937002172,THE ROTHERHAM HOSPICE TRUST,222.0,15.0
RUSH,NHS Rushcliffe CCG,2348.0,525.0,39.0,0.4273057511294702,1.9591141396933562,THE NOTTINGHAMSHIRE HOSPICE LIMITED,46.0,11.0
SAL,NHS Salford CCG,5290.0,2227.0,72.0,1.1219331454357873,4.045368620037807,ST ANNS HOSPICE,214.0,26.0
SAWB,NHS Sandwell And West Birmingham CCG,10634.0,3906.0,79.0,0.49815566546278717,4.645476772616137,MSI REPRODUCTIVE CHOICES,494.0,36.0
SCAR,NHS Scarborough And Ryedale CCG,1346.0,313.0,22.0,1.3824494231502662,2.0059435364041605,ST CATHERINES HOSPICE LIMITED,27.0,6.0
SHEF,NHS Sheffield CCG,11308.0,4425.0,82.0,0.38971505866807654,0.7516802263883976,ST LUKES HOSPICE BASILDON AND DISTRICT LIMITED,85.0,27.0
SHRO,NHS Shropshire CCG,124.0,31.0,1.0,0.6396113260016874,4.032258064516129,NUFFIELD HEALTH,5.0,4.0
SOME,NHS Somerset CCG,8996.0,4061.0,82.0,1.1647572374602655,6.625166740773677,NUFFIELD HEALTH,596.0,25.0
SCHE,NHS South Cheshire CCG,2121.0,578.0,41.0,1.1682436909809337,5.846298915605846,COMMUNITY INTEGRATED CARE,124.0,11.0
SESASP,NHS South East Staffordshire And Seisdon Peninsula CCG,366.0,97.0,11.0,0.5113492549744661,1.912568306010929,NUFFIELD HEALTH,7.0,4.0
SEH,NHS South Eastern Hampshire CCG,4601.0,1585.0,79.0,0.1357224934247559,1.0649858726363834,NUFFIELD HEALTH,49.0,7.0
SKC,NHS South Kent Coast CCG,2398.0,534.0,23.0,1.2572049087118675,4.170141784820683,THE DOVER COUNSELLING CENTRE,100.0,11.0
SL,NHS South Lincolnshire CCG,4966.0,876.0,64.0,0.5684924820203514,1.8123238018525976,ST BARNABAS HOSPICE TRUST LINCOLNSHIRE,90.0,8.0
SN,NHS South Norfolk CCG,6172.0,1316.0,71.0,0.16786108450700757,0.793907971484122,FITZROY SUPPORT,49.0,10.0
SS,NHS South Sefton CCG,4274.0,1406.0,82.0,1.2863993268956906,5.147402901263454,WOODLANDS HOSPICE CHARITABLE TRUST,220.0,24.0
SOTE,NHS South Tees CCG,1649.0,593.0,18.0,1.4995472284433948,6.064281382656155,NUFFIELD HEALTH,100.0,10.0
SOTY,NHS South Tyneside CCG,207.0,98.0,5.0,0.4717724896733071,2.4154589371980677,ST CLARES HOSPICE,5.0,3.0
SWAR,NHS South Warwickshire CCG,3445.0,961.0,37.0,1.3159863709499822,3.6284470246734397,NUFFIELD HEALTH,125.0,17.0
SWL,NHS South West Lincolnshire CCG,4730.0,743.0,65.0,1.0208454136644334,2.3890063424947146,ST BARNABAS HOSPICE TRUST LINCOLNSHIRE,113.0,9.0
SWOR,NHS South Worcestershire CCG,4948.0,775.0,67.0,1.0344731706910266,2.4252223120452707,ST BARNABAS HOSPICE TRUST LINCOLNSHIRE,120.0,12.0
SOT,NHS Southampton CCG,1524.0,691.0,34.0,0.2757808764770865,3.0183727034120733,LIVABILITY,46.0,7.0
SEND,NHS Southend CCG,1551.0,533.0,33.0,0.51278119600668,2.5789813023855577,HAVENS HOSPICES,40.0,9.0
SAF,NHS Southport And Formby CCG,4038.0,1064.0,80.0,1.1675329140637325,5.423476968796434,QUEENSCOURT HOSPICE,219.0,14.0
SWARK,NHS Southwark CCG,166.0,122.0,3.0,0.7585074078556261,7.83132530120482,THREE CS SUPPORT,13.0,8.0
SAS,NHS Stafford And Surrounds CCG,2710.0,528.0,37.0,1.589320007631244,5.867158671586716,METHODIST HOMES,159.0,12.0
STOC,NHS Stockport CCG,6371.0,2324.0,83.0,0.4397613052960118,2.2602417202950873,ST ANNS HOSPICE,144.0,9.0
STOK,NHS Stoke On Trent CCG,3895.0,1178.0,47.0,2.4424879139044986,6.290115532734275,NUFFIELD HEALTH,245.0,26.0
SUN,NHS Sunderland CCG,1824.0,619.0,17.0,0.724596275636848,3.7280701754385963,SUNDERLAND COUNSELLING SERVICE,68.0,12.0
SD,NHS Surrey Downs CCG,6801.0,1647.0,51.0,0.48704510522957367,2.5584472871636526,THE CONGREGATION OF THE DAUGHTERS OF THE CROSS OF LIEGE,174.0,17.0
SH,NHS Surrey Heath CCG,1259.0,325.0,44.0,0.061394189704812537,0.3177124702144559,VOLUNTARY SUPPORT NORTH SURREY,4.0,2.0
SUTT,NHS Sutton CCG,2371.0,697.0,26.0,0.5475169587263059,3.0788696752425135,THE CONGREGATION OF THE DAUGHTERS OF THE CROSS OF LIEGE,73.0,9.0
SWIN,NHS Swindon CCG,3946.0,1168.0,63.0,0.8548585912441844,3.6746071971616825,PROSPECT HOSPICE LIMITED,145.0,8.0
TAG,NHS Tameside And Glossop CCG,4729.0,1659.0,71.0,0.705333158393163,4.313808416155635,TAMESIDE AND GLOSSOP HOSPICE LIMITED,204.0,17.0
TAW,NHS Telford And Wrekin CCG,1065.0,460.0,35.0,1.3047707231399555,8.63849765258216,SEVERN HOSPICE LIMITED,92.0,10.0
THAN,NHS Thanet CCG,2363.0,677.0,43.0,1.109994545413443,7.744392721117224,PILGRIMS HOSPICES IN EAST KENT,183.0,16.0
THUR,NHS Thurrock CCG,2407.0,779.0,60.0,1.4163944662402732,7.561279601163273,ST LUKES HOSPICE BASILDON AND DISTRICT LIMITED,182.0,8.0
TRAF,NHS Trafford CCG,4974.0,1496.0,69.0,0.5631761005140191,2.3522316043425815,ST ANNS HOSPICE,117.0,14.0
VOY,NHS Vale Of York CCG,2246.0,1266.0,43.0,1.4869863022100627,4.140694568121104,NUFFIELD HEALTH,93.0,8.0
VOR,NHS Vale Royal CCG,1504.0,331.0,41.0,2.180985596485071,6.848404255319148,ALTERNATIVE FUTURES GROUP LIMITED,103.0,10.0
WAKE,NHS Wakefield CCG,8623.0,2734.0,78.0,1.1324418094568092,4.70833816537168,WAKEFIELD HOSPICE,406.0,35.0
WALS,NHS Walsall CCG,5449.0,1773.0,64.0,0.5845049630546165,4.184253991558084,ST GILES HOSPICE,228.0,11.0
WALT,NHS Waltham Forest CCG,1290.0,538.0,25.0,0.3973754687639932,3.875968992248062,MSI REPRODUCTIVE CHOICES,50.0,7.0
WARR,NHS Warrington CCG,4113.0,1229.0,64.0,2.128961940912917,6.151227814247508,MENTAL HEALTH MATTERS,253.0,10.0
WARN,NHS Warwickshire North CCG,860.0,245.0,13.0,0.3717380943285104,2.2093023255813953,THE MYTON HOSPICES,19.0,6.0
WC,NHS West Cheshire CCG,1372.0,377.0,14.0,1.5163848940062283,3.717201166180758,NUFFIELD HEALTH,51.0,14.0
WESS,NHS West Essex CCG,9194.0,2318.0,85.0,0.9922178920117464,3.567544050467696,ST CLARE WEST ESSEX HOSPICE CARE TRUST,328.0,25.0
WHAM,NHS West Hampshire CCG,249.0,60.0,1.0,0.7375631735390087,2.8112449799196786,TURNING POINT,7.0,6.0
WKEN,NHS West Kent CCG,11878.0,3086.0,79.0,1.8428900232334449,4.605152382555986,HORDER HEALTHCARE,547.0,29.0
WLAN,NHS West Lancashire CCG,3283.0,778.0,78.0,0.3766747181104312,1.5839171489491317,QUEENSCOURT HOSPICE,52.0,12.0
WLEI,NHS West Leicestershire CCG,1431.0,354.0,12.0,0.8809353119437723,2.9350104821802936,NUFFIELD HEALTH,42.0,6.0
WL,NHS West London CCG,621.0,129.0,8.0,1.162750328762733,3.3816425120772946,NATIONAL SCHIZOPHRENIA FELLOWSHIP,21.0,5.0
WN,NHS West Norfolk CCG,497.0,118.0,5.0,0.30208281306818063,1.8108651911468814,THE NORFOLK HOSPICE,9.0,3.0
WS,NHS West Suffolk CCG,1136.0,497.0,26.0,1.2687558020561116,2.112676056338028,ST NICHOLAS HOSPICE SUFFOLK,24.0,10.0
WAB,NHS Wigan Borough CCG,7041.0,2028.0,61.0,1.413952375910393,3.294986507598353,WIGAN AND LEIGH HOSPICE,232.0,16.0
WILT,NHS Wiltshire CCG,11006.0,3267.0,81.0,0.5079766183589364,2.6167544975467925,DOROTHY HOUSE,288.0,27.0
WIRR,NHS Wirral CCG,4991.0,2606.0,73.0,0.6878187657973568,4.3478260869565215,WIRRAL HOSPICE ST JOHNS,217.0,20.0
WYRE,NHS Wyre Forest CCG,2684.0,613.0,59.0,0.23493547760486494,0.6706408345752608,ST RICHARDS HOSPICE FOUNDATION,18.0,3.0
