NHS Abrev,Company Value,Company Count,Count (%),Value (%),Rank,Year,NHS CCG
ESTA,6374640.0,15,12.5,40.47440073392645,1,2018,NHS East Staffordshire CCG
WL,11573356.0,81,59.12408759124088,38.011613335284274,2,2018,NHS West London CCG
EACH,17837805.0,248,54.14847161572053,30.436988508435263,3,2018,NHS Eastern Cheshire CCG
MED,35716121.0,210,29.247910863509752,21.449099521316644,4,2018,NHS Medway CCG
NEL,43708236.0,258,33.59375,20.610501758796072,5,2018,NHS North East Lincolnshire CCG
HULL,70080276.0,453,40.338379341050754,19.438729478327996,6,2018,NHS Hull CCG
KING,18020572.0,85,19.187358916478555,17.114687971579805,7,2018,NHS Kingston CCG
WILT,89567968.0,332,15.550351288056206,16.615806342025216,8,2018,NHS Wiltshire CCG
NK,32620445.0,255,30.909090909090907,15.528187643639429,9,2018,NHS North Kirklees CCG
BNSGSG,141266099.0,656,24.78277295051001,14.95741769128319,10,2018,"NHS Bristol, North Somerset And South Gloucestershire CCG"
WL,32257520.0,129,62.31884057971014,51.739765477337954,1,2019,NHS West London CCG
EACH,19342384.0,263,66.92111959287533,33.5525475161911,2,2019,NHS Eastern Cheshire CCG
SAS,9569253.0,106,46.288209606986904,22.157562011110628,3,2019,NHS Stafford And Surrounds CCG
NEL,47929201.0,272,29.89010989010989,20.204074843278388,4,2019,NHS North East Lincolnshire CCG
HULL,79436141.0,547,43.830128205128204,20.13489305021102,5,2019,NHS Hull CCG
HWLH,23412915.0,100,17.825311942959,18.714446878058755,6,2019,NHS High Weald Lewes Havens CCG
MED,10875632.0,76,29.6875,17.40912496641835,7,2019,NHS Medway CCG
WILT,100254488.0,422,18.39581517000872,17.219360552727274,8,2019,NHS Wiltshire CCG
BNSGSG,207857194.0,858,25.80451127819549,17.050611701577377,9,2019,"NHS Bristol, North Somerset And South Gloucestershire CCG"
BROM,19305564.0,127,31.127450980392158,16.34953656197931,10,2019,NHS Bromley CCG
