NHS Abrev,ccg19nm,Count,Value (m),Number of Datasets,Value (%),Count (%),Highest Value Company Recipient,Number Payments to VCS,Number of Company Suppliers
EASU,NHS East Surrey CCG,963.0,275.0,17.0,9.802155582317038,21.49532710280374,FIRST COMMUNITY HEALTH AND CARE COMMUNITY INTEREST COMPANY,207.0,15.0
EHS,"NHS Eastbourne, Hailsham And Seaford CCG",3946.0,1265.0,65.0,2.1084005656507743,12.671059300557527,INTEGRATED CARE 24,500.0,36.0
EACH,NHS Eastern Cheshire CCG,3098.0,296.0,81.0,37.22977164597489,55.10006455777921,ISS MEDICLEAN LIMITED,1707.0,155.0
ENF,NHS Enfield CCG,1975.0,628.0,23.0,4.886738830242248,25.21518987341772,BMI HEALTHCARE LIMITED,498.0,66.0
FAG,NHS Fareham And Gosport CCG,4100.0,1475.0,81.0,3.276800043888878,17.170731707317074,CARE UK CLINICAL SERVICES LIMITED,704.0,26.0
FW,NHS Fylde and Wyre CCG,62.0,19.0,1.0,8.557279343830338,9.67741935483871,FCMS NW LIMITED,6.0,5.0
GLOU,NHS Gloucestershire CCG,12822.0,4518.0,81.0,3.271334725325646,13.742005927312432,CARE UK URGENT CARE LIMITED,1762.0,131.0
GYAW,NHS Great Yarmouth And Waveney CCG,14.0,17.0,1.0,10.509191781730161,14.285714285714285,EAST COAST COMMUNITY HEALTHCARE COMMUNITY INTEREST COMPANY,2.0,2.0
GHUD,NHS Greater Huddersfield CCG,3786.0,1487.0,70.0,13.462674367549612,24.960380348652933,LOCALA COMMUNITY PARTNERSHIPS COMMUNITY INTEREST COMPANY,945.0,44.0
GPRE,NHS Greater Preston CCG,4799.0,1519.0,80.0,4.293332661846443,16.628464263388206,GOTODOC LIMITED,798.0,71.0
GREE,NHS Greenwich CCG,113.0,30.0,1.0,12.547448171424575,30.973451327433626,CIRCLE CLINICAL SERVICES LIMITED,35.0,18.0
HALT,NHS Halton CCG,3496.0,949.0,62.0,2.3647115513789974,9.668192219679634,SPIRE HEALTHCARE LIMITED,338.0,38.0
HRAW,"NHS Hambleton, Richmondshire And Whitby CCG",4169.0,905.0,66.0,1.7896678321435882,8.371312065243464,BMI HEALTHCARE LIMITED,349.0,21.0
HAF,NHS Hammersmith And Fulham CCG,155.0,34.0,2.0,2.375776386709707,9.67741935483871,CONNECT PHYSICAL HEALTH CENTRES LIMITED,15.0,10.0
HARI,NHS Haringey CCG,1184.0,135.0,29.0,15.372431057439373,33.02364864864865,LONDON CENTRAL AND WEST UNSCHEDULED CARE COLLABORATIVE LIMITED,391.0,47.0
HARD,NHS Harrogate And Rural District CCG,23.0,19.0,2.0,0.34344865891111537,8.695652173913043,TUNSTALL HEALTHCARE UK LIMITED,2.0,1.0
HARR,NHS Harrow CCG,1426.0,448.0,27.0,5.368150429931303,17.601683029453017,BMI HEALTHCARE LIMITED,251.0,29.0
HAST,NHS Hartlepool And Stockton-On-Tees CCG,1065.0,386.0,11.0,3.8652915178800216,20.845070422535212,NUFFIELD HEALTH,222.0,36.0
HAR,NHS Hastings And Rother CCG,6097.0,1445.0,77.0,4.90836749942732,19.320977529932755,SPIRE HEALTHCARE LIMITED,1178.0,81.0
HAV,NHS Havering CCG,468.0,154.0,5.0,7.225727914777057,27.136752136752136,CARE UK CLINICAL SERVICES LIMITED,127.0,20.0
HERE,NHS Herefordshire CCG,5793.0,1421.0,84.0,4.245375409072088,16.381840151907475,NUFFIELD HEALTH,949.0,69.0
HERT,NHS Herts Valleys CCG,5567.0,1864.0,32.0,5.524025092853846,21.08855757140291,HERTS URGENT CARE LIMITED,1174.0,75.0
HMR,"NHS Heywood, Middleton And Rochdale CCG",2069.0,530.0,21.0,3.9117591378754755,14.934751087481876,CARE UK CLINICAL SERVICES LIMITED,309.0,38.0
HWLH,NHS High Weald Lewes Havens CCG,961.0,226.0,11.0,19.050877889165704,17.065556711758585,SMSKP2 LIMITED,164.0,33.0
HILL,NHS Hillingdon CCG,1486.0,570.0,26.0,5.889245831454939,23.553162853297444,CAREHOME SELECTION LIMITED,350.0,29.0
HAMS,NHS Horsham And Mid Sussex CCG,6300.0,2474.0,88.0,7.39706169725876,14.96825396825397,CARE UNBOUND LIMITED,943.0,70.0
HULL,NHS Hull CCG,5024.0,1998.0,71.0,18.492435956154214,43.86942675159236,CITY HEALTH CARE PARTNERSHIP COMMUNITY INTEREST COMPANY,2204.0,86.0
IAES,NHS Ipswich And East Suffolk CCG,2697.0,1375.0,47.0,9.049963975744166,25.17612161661105,SERCO LIMITED,679.0,67.0
IOW,NHS Isle Of Wight CCG,2286.0,872.0,54.0,3.895034872089277,20.95363079615048,EARL MOUNTBATTEN HOSPICE,479.0,55.0
KERN,NHS Kernow CCG,3962.0,1266.0,22.0,7.8205949641237895,38.818778394750126,CORNWALL CARE LIMITED,1538.0,97.0
KING,NHS Kingston CCG,2873.0,740.0,38.0,16.888734012047642,20.013922728854855,YOUR HEALTHCARE COMMUNITY INTEREST COMPANY,575.0,65.0
KNOW,NHS Knowsley CCG,1061.0,262.0,12.0,4.514566864266841,13.949104618284638,ASTON HEALTHCARE LIMITED,148.0,28.0
LAMB,NHS Lambeth CCG,1236.0,425.0,9.0,2.572997235123583,16.666666666666664,SOUTHSIDE PARTNERSHIP,206.0,60.0
LEE,NHS Leeds CCG,20202.0,6099.0,190.0,6.5548265772917835,23.814473814473814,NUFFIELD HEALTH,4811.0,235.0
LEIC,NHS Leicester City CCG,70.0,28.0,1.0,5.98031024580919,37.142857142857146,CENTRAL NOTTINGHAMSHIRE CLINICAL SERVICES LIMITED,26.0,20.0
LINE,NHS Lincolnshire East CCG,7458.0,1505.0,63.0,3.2630388373648818,12.375972110485385,CARE UK CLINICAL SERVICES LIMITED,923.0,51.0
LINW,NHS Lincolnshire West CCG,7525.0,1612.0,82.0,4.834366746295315,15.508305647840531,CARE UK CLINICAL SERVICES LIMITED,1167.0,60.0
LIVE,NHS Liverpool CCG,10387.0,4229.0,75.0,5.426421996719379,18.503899104650042,SPIRE HEALTHCARE LIMITED,1922.0,157.0
MAA,NHS Mansfield And Ashfield CCG,1464.0,394.0,18.0,6.22248080034983,26.98087431693989,NEMS COMMUNITY BENEFIT SERVICES LIMITED,395.0,38.0
MED,NHS Medway CCG,1021.0,256.0,9.0,19.77678804964231,28.89324191968658,MEDWAY COMMUNITY HEALTHCARE COMMUNITY INTEREST COMPANY,295.0,33.0
MERT,NHS Merton CCG,2405.0,729.0,41.0,3.5002614768516502,16.673596673596673,NHS PROPERTY SERVICES LIMITED,401.0,70.0
MESS,NHS Mid Essex CCG,8606.0,2389.0,80.0,11.336447670661853,19.81175923774111,ESSEX COMMUNITY DEVELOPMENT COMMUNITY INTEREST COMPANY,1705.0,96.0
MK,NHS Milton Keynes CCG,2676.0,817.0,42.0,5.317720115582839,20.553064275037368,MILTON KEYNES URGENT CARE SERVICES COMMUNITY INTEREST COMPANY,550.0,46.0
MCB,NHS Morecambe Bay CCG,5112.0,1840.0,78.0,3.389796332545264,17.820813771517997,BMI HEALTHCARE LIMITED,911.0,81.0
NENE,NHS Nene CCG,1092.0,439.0,7.0,6.739874659653812,28.113553113553113,BMI HEALTHCARE LIMITED,307.0,56.0
NAS,NHS Newark and Sherwood CCG,1281.0,281.0,19.0,5.391669714870674,21.07728337236534,NEMS COMMUNITY BENEFIT SERVICES LIMITED,270.0,23.0
NAG,NHS Newcastle Gateshead CCG,145.0,111.0,2.0,4.9300796782784015,48.96551724137931,MENTAL HEALTH CONCERN,71.0,23.0
NEWH,NHS Newham CCG,48.0,23.0,1.0,0.29862333651787465,4.166666666666666,EGTON MEDICAL INFORMATION SYSTEMS LIMITED,2.0,2.0
NORC,NHS North Cumbria CCG,1507.0,466.0,13.0,3.90239813040829,13.735899137358992,CUMBRIA HEALTH ON CALL LIMITED,207.0,37.0
NDUR,NHS North Durham CCG,1551.0,485.0,18.0,4.157459928097822,19.084461637653128,SPIRE HEALTHCARE LIMITED,296.0,44.0
NEES,NHS North East Essex CCG,8769.0,2590.0,80.0,13.645152234574962,27.015623218154865,ANGLIAN COMMUNITY ENTERPRISE ACE COMMUNITY INTEREST COMPANY,2369.0,127.0
NEHF,NHS North East Hampshire And Farnham CCG,5373.0,1531.0,79.0,6.391729856756433,17.43904708728829,VIRGIN CARE SERVICES LIMITED,937.0,70.0
NEL,NHS North East Lincolnshire CCG,3935.0,1371.0,83.0,19.538133643001455,33.5705209656925,NAVIGO LIMITED,1321.0,72.0
NH,NHS North Hampshire CCG,119.0,39.0,2.0,5.4861767130031,15.966386554621847,BMI HEALTHCARE LIMITED,19.0,7.0
NK,NHS North Kirklees CCG,3421.0,1015.0,59.0,13.933356328898647,33.14820228003508,LOCALA COMMUNITY PARTNERSHIPS COMMUNITY INTEREST COMPANY,1134.0,69.0
NL,NHS North Lincolnshire CCG,3794.0,1061.0,74.0,3.32808009739007,17.23774380600949,SPIRE HEALTHCARE LIMITED,654.0,58.0
NN,NHS North Norfolk CCG,1818.0,370.0,18.0,3.963956616602069,13.036303630363037,INTEGRATED CARE 24,237.0,28.0
NOST,NHS North Staffordshire CCG,3636.0,942.0,51.0,7.375935320962085,27.31023102310231,ADAM HTT LIMITED,993.0,60.0
NT,NHS North Tyneside CCG,53.0,20.0,1.0,2.2170866963919362,13.20754716981132,NORTHERN DOCTORS URGENT CARE LIMITED,7.0,6.0
NWS,NHS North West Surrey CCG,1494.0,457.0,13.0,12.694561553438675,18.20615796519411,CENTRAL SURREY HEALTH LIMITED,272.0,39.0
NORW,NHS Norwich CCG,3634.0,1181.0,72.0,3.781002916842472,22.4821133736929,INTEGRATED CARE 24,817.0,56.0
NOCI,NHS Nottingham City CCG,4797.0,2258.0,73.0,10.37621338663994,34.58411507191995,CIRCLE NOTTINGHAM LIMITED,1659.0,107.0
NNAE,NHS Nottingham North And East CCG,2531.0,733.0,47.0,8.60738574920929,19.873567759778744,CIRCLE NOTTINGHAM LIMITED,503.0,23.0
NW,NHS Nottingham West CCG,2580.0,694.0,76.0,9.067753354647886,17.5968992248062,CIRCLE NOTTINGHAM LIMITED,454.0,23.0
OLD,NHS Oldham CCG,4132.0,1175.0,59.0,8.326948629610433,28.55759922555663,BMI HEALTHCARE LIMITED,1180.0,111.0
OXFO,NHS Oxfordshire CCG,2174.0,741.0,11.0,2.8111667411929364,12.64949402023919,PRINCIPAL MEDICAL LIMITED,275.0,41.0
PORT,NHS Portsmouth CCG,3576.0,1486.0,70.0,4.891174140056211,17.61744966442953,CARE UK CLINICAL SERVICES LIMITED,630.0,46.0
RED,NHS Redbridge CCG,411.0,123.0,4.0,9.888108146042775,25.547445255474454,PARTNERSHIP OF EAST LONDON COOPERATIVES PELC LIMITED,105.0,23.0
RAB,NHS Redditch And Bromsgrove CCG,4693.0,1226.0,78.0,2.8980283867773142,10.483699126358406,BMI HEALTHCARE LIMITED,492.0,34.0
RICH,NHS Richmond CCG,1526.0,417.0,33.0,2.709006557964067,12.18872870249017,YOUR HEALTHCARE COMMUNITY INTEREST COMPANY,186.0,35.0
ROTH,NHS Rotherham CCG,5524.0,1996.0,82.0,3.9937509786464447,17.396813902968862,THE ROTHERHAM HOSPICE TRUST,961.0,82.0
RUSH,NHS Rushcliffe CCG,2348.0,525.0,39.0,10.509645513066662,21.63543441226576,CIRCLE NOTTINGHAM LIMITED,508.0,54.0
SAL,NHS Salford CCG,5290.0,2227.0,72.0,3.4033650910170707,19.86767485822306,COMMUNITY HEALTH PARTNERSHIPS LIMITED,1051.0,70.0
SAWB,NHS Sandwell And West Birmingham CCG,10749.0,3911.0,79.0,5.128130970491332,22.857940273513815,CARE UK CLINICAL SERVICES LIMITED,2457.0,182.0
SCAR,NHS Scarborough And Ryedale CCG,1346.0,313.0,22.0,5.29771244585543,29.049034175334327,NORTHERN DOCTORS URGENT CARE LIMITED,391.0,49.0
SHEF,NHS Sheffield CCG,11308.0,4425.0,82.0,4.063938427104458,23.73540856031128,SOUTH YORKSHIRE HOUSING ASSOCIATION LIMITED,2684.0,129.0
SHRO,NHS Shropshire CCG,124.0,31.0,1.0,3.9764872543596583,11.29032258064516,FALCK UK AMBULANCE SERVICE LIMITED,14.0,12.0
SOME,NHS Somerset CCG,8996.0,4061.0,82.0,5.923970033031227,27.501111605157845,CARE UK CLINICAL SERVICES LIMITED,2474.0,133.0
SCHE,NHS South Cheshire CCG,2122.0,578.0,41.0,4.409663796551756,18.661639962299716,BMI HEALTHCARE LIMITED,396.0,45.0
SESASP,NHS South East Staffordshire And Seisdon Peninsula CCG,366.0,97.0,11.0,2.8395830647530147,12.021857923497267,NHS PROPERTY SERVICES LIMITED,44.0,20.0
SEH,NHS South Eastern Hampshire CCG,4602.0,1585.0,79.0,4.3478337622572205,17.448935245545417,CARE UK CLINICAL SERVICES LIMITED,803.0,54.0
SKC,NHS South Kent Coast CCG,2398.0,534.0,23.0,8.942581190179341,28.27356130108424,CHANNEL HEALTH ALLIANCE LIMITED,678.0,55.0
SL,NHS South Lincolnshire CCG,4966.0,876.0,64.0,3.3249842667493708,12.263391059202577,OPTUM HEALTH SOLUTIONS UK LIMITED,609.0,44.0
SN,NHS South Norfolk CCG,6172.0,1316.0,71.0,4.586595458413301,17.482177576150356,BMI HEALTHCARE LIMITED,1079.0,60.0
SS,NHS South Sefton CCG,4281.0,1406.0,82.0,3.7039111303754395,19.48142957252978,GOTODOC LIMITED,834.0,61.0
SOTE,NHS South Tees CCG,1649.0,593.0,18.0,4.1130354132859415,24.62098241358399,NUFFIELD HEALTH,406.0,41.0
SOTY,NHS South Tyneside CCG,207.0,98.0,5.0,1.95813480110349,17.391304347826086,NHS PROPERTY SERVICES LIMITED,36.0,9.0
SWAR,NHS South Warwickshire CCG,3445.0,961.0,37.0,4.102197551131586,16.13933236574746,NUFFIELD HEALTH,556.0,64.0
SWL,NHS South West Lincolnshire CCG,4730.0,743.0,65.0,3.7174576513979027,11.395348837209303,OPTUM HEALTH SOLUTIONS UK LIMITED,539.0,48.0
SWOR,NHS South Worcestershire CCG,4948.0,775.0,67.0,3.8467379331525455,11.540016168148746,OPTUM HEALTH SOLUTIONS UK LIMITED,571.0,50.0
SOT,NHS Southampton CCG,1524.0,691.0,34.0,5.040563944481828,24.146981627296586,CARE UK CLINICAL SERVICES LIMITED,368.0,40.0
SEND,NHS Southend CCG,1551.0,533.0,33.0,5.225053450767195,18.633139909735654,SPIRE HEALTHCARE LIMITED,289.0,42.0
SAF,NHS Southport And Formby CCG,4041.0,1064.0,80.0,4.764688541772918,21.653056174214303,ADAM HTT LIMITED,875.0,51.0
SWARK,NHS Southwark CCG,166.0,122.0,3.0,1.7533467060877297,19.879518072289155,THREE CS SUPPORT,33.0,21.0
SAS,NHS Stafford And Surrounds CCG,2710.0,528.0,37.0,7.576796531643236,26.273062730627306,ADAM HTT LIMITED,712.0,73.0
STOC,NHS Stockport CCG,6371.0,2324.0,83.0,6.184891693202569,23.38722335583111,BMI HEALTHCARE LIMITED,1490.0,72.0
STOK,NHS Stoke On Trent CCG,3895.0,1178.0,47.0,9.102186176761514,36.61103979460847,NUFFIELD HEALTH,1426.0,101.0
SUN,NHS Sunderland CCG,1824.0,619.0,17.0,4.8630295594897195,20.778508771929825,SUNDERLAND GP ALLIANCE LIMITED,379.0,45.0
SD,NHS Surrey Downs CCG,6803.0,1647.0,51.0,12.654027781006139,24.077612817874467,CENTRAL SURREY HEALTH LIMITED,1638.0,125.0
SH,NHS Surrey Heath CCG,1259.0,325.0,44.0,1.3834837578104118,8.737092930897537,NORTH HAMPSHIRE URGENT CARE LIMITED,110.0,13.0
SUTT,NHS Sutton CCG,2371.0,697.0,26.0,3.3251316809289957,14.888232813159005,VOCARE LIMITED,353.0,47.0
SWIN,NHS Swindon CCG,3946.0,1168.0,63.0,5.208976579178751,18.09427268119615,BMI HEALTHCARE LIMITED,714.0,55.0
TAG,NHS Tameside And Glossop CCG,4729.0,1659.0,71.0,4.825220579369268,20.80778177204483,GOTODOC LIMITED,984.0,71.0
TAW,NHS Telford And Wrekin CCG,1065.0,460.0,35.0,2.316181151127484,20.469483568075116,SEVERN HOSPICE LIMITED,218.0,27.0
THAN,NHS Thanet CCG,2363.0,677.0,43.0,3.8458071459359506,20.14388489208633,INTEGRATED CARE 24,476.0,54.0
THUR,NHS Thurrock CCG,2407.0,779.0,60.0,3.9446624796716927,22.060656418778564,INTEGRATED CARE 24,531.0,28.0
TRAF,NHS Trafford CCG,4974.0,1496.0,69.0,4.908944240000838,23.1805388017692,MASTERCALL HEALTHCARE,1153.0,81.0
VOY,NHS Vale Of York CCG,2246.0,1266.0,43.0,2.4486985830162697,9.528049866429207,NUFFIELD HEALTH,214.0,30.0
VOR,NHS Vale Royal CCG,1509.0,332.0,41.0,4.973411415878597,18.422796554009278,ALTERNATIVE FUTURES GROUP LIMITED,278.0,27.0
WAKE,NHS Wakefield CCG,8624.0,2734.0,78.0,5.8032528886818335,24.628942486085343,SPIRE HEALTHCARE LIMITED,2124.0,103.0
WALS,NHS Walsall CCG,5468.0,1773.0,64.0,3.5700406956076236,17.794440380395027,SPIRE HEALTHCARE LIMITED,973.0,75.0
WALT,NHS Waltham Forest CCG,1290.0,538.0,25.0,5.08990011305106,29.844961240310074,PARTNERSHIP OF EAST LONDON COOPERATIVES PELC LIMITED,385.0,41.0
WARR,NHS Warrington CCG,4119.0,1229.0,64.0,4.95303427461015,14.882252974022823,SPIRE HEALTHCARE LIMITED,613.0,46.0
WARN,NHS Warwickshire North CCG,860.0,245.0,13.0,3.153521050111895,16.162790697674417,BMI HEALTHCARE LIMITED,139.0,19.0
WC,NHS West Cheshire CCG,1372.0,377.0,14.0,4.667891574932256,12.82798833819242,ADAM HTT LIMITED,176.0,35.0
WESS,NHS West Essex CCG,9229.0,2320.0,85.0,3.850735903957926,15.007043016578178,HOLLY HOUSE HOSPITAL LIMITED,1385.0,101.0
WHAM,NHS West Hampshire CCG,249.0,60.0,1.0,6.036336204950763,27.309236947791167,SPIRE HEALTHCARE LIMITED,68.0,43.0
WKEN,NHS West Kent CCG,11883.0,3086.0,79.0,4.518592312607088,15.560043759993267,INTEGRATED CARE 24,1849.0,116.0
WLAN,NHS West Lancashire CCG,3283.0,778.0,78.0,6.824697171149681,12.823636917453548,VIRGIN CARE SERVICES LIMITED,421.0,54.0
WLEI,NHS West Leicestershire CCG,1431.0,354.0,12.0,5.2373897393133495,17.19077568134172,DHU HEALTH CARE COMMUNITY INTEREST COMPANY,246.0,35.0
WL,NHS West London CCG,621.0,129.0,8.0,50.594879893561185,63.28502415458937,KIER CONSTRUCTION LIMITED,393.0,97.0
WN,NHS West Norfolk CCG,497.0,118.0,5.0,4.540949085448519,12.072434607645874,INTEGRATED CARE 24,60.0,12.0
WS,NHS West Suffolk CCG,1136.0,497.0,26.0,9.48974502298896,23.41549295774648,SERCO LIMITED,266.0,47.0
WAB,NHS Wigan Borough CCG,7043.0,2028.0,61.0,4.867600403019496,16.427658668181174,COMMUNITY HEALTH PARTNERSHIPS LIMITED,1157.0,64.0
WILT,NHS Wiltshire CCG,11046.0,3269.0,81.0,12.244782392073267,16.24117327539381,WILTSHIRE HEALTH AND CARE LIMITED LIABILITY PARTNERSHIP,1794.0,106.0
WIRR,NHS Wirral CCG,4991.0,2606.0,73.0,5.24301023404089,25.586054898817874,ADAM HTT LIMITED,1277.0,84.0
WYRE,NHS Wyre Forest CCG,2684.0,613.0,59.0,4.388099695647379,10.171385991058122,CARE UK URGENT CARE LIMITED,273.0,16.0
