NHS Abrev,Company Value,Company Count,Count (%),Value (%),Rank,Year,NHS CCG
EACH,17837805.0,248,54.14847161572053,30.436988508435263,2,2018,NHS Eastern Cheshire CCG
STOK,18782129.0,264,40.74074074074074,12.057314179621216,3,2018,NHS Stoke On Trent CCG
HULL,70080276.0,453,40.338379341050754,19.438729478327996,4,2018,NHS Hull CCG
KERN,43021565.0,628,39.521711768407805,8.636345117678017,5,2018,NHS Kernow CCG
NOCI,43194196.0,333,37.58465011286682,11.317396573773168,6,2018,NHS Nottingham City CCG
NOST,15022728.0,232,37.23916532905297,13.169057521096866,7,2018,NHS North Staffordshire CCG
SOME,46657066.0,549,33.93077873918418,7.303708894114655,8,2018,NHS Somerset CCG
NEL,43708236.0,258,33.59375,20.610501758796072,9,2018,NHS North East Lincolnshire CCG
SCAR,7634206.0,185,32.399299474605954,6.169111885033354,10,2018,NHS Scarborough And Ryedale CCG
EACH,19342384.0,263,66.92111959287533,33.5525475161911,1,2019,NHS Eastern Cheshire CCG
WL,32257520.0,129,62.31884057971014,51.739765477337954,2,2019,NHS West London CCG
STOK,5773899.0,66,47.82608695652174,15.765499089167442,3,2019,NHS Stoke On Trent CCG
SAS,9569253.0,106,46.288209606986904,22.157562011110628,4,2019,NHS Stafford And Surrounds CCG
NK,29387142.0,279,45.588235294117645,13.798067842236772,5,2019,NHS North Kirklees CCG
HULL,79436141.0,547,43.830128205128204,20.13489305021102,6,2019,NHS Hull CCG
NOST,3792075.0,50,39.37007874015748,13.508153355829853,7,2019,NHS North Staffordshire CCG
KERN,50769091.0,814,37.68518518518518,7.143609628336481,8,2019,NHS Kernow CCG
GHUD,39156557.0,216,36.36363636363637,15.346092575769804,9,2019,NHS Greater Huddersfield CCG
NOCI,34988812.0,320,33.29864724245578,8.279391898599064,10,2019,NHS Nottingham City CCG
