NHS Abrev,ccg19nm,Count,Value (m),Number of Datasets,Value (%),Count (%),Highest Value Company Recipient,Number Payments to VCS,Number of Company Suppliers
BRAD,NHS Bradford Districts CCG,7517.0,2504.0,76.0,3.926407590683117,19.276307037381933,MARIE CURIE,1449.0,105.0
BREN,NHS Brent CCG,93.0,30.0,2.0,4.965359039202881,22.58064516129032,NWLHT ANALYTICAL LIMITED LIABILITY PARTNERSHIP,21.0,13.0
BAH,NHS Brighton And Hove CCG,2479.0,588.0,20.0,7.724632947929791,27.874142799515933,CARE UNBOUND LIMITED,691.0,55.0
BNSGSG,"NHS Bristol, North Somerset And South Gloucestershire CCG",6462.0,2359.0,26.0,19.053977191111272,28.613432373878055,SIRONA CARE AND HEALTH COMMUNITY INTEREST COMPANY,1849.0,134.0
BROM,NHS Bromley CCG,892.0,318.0,9.0,14.033329375826472,36.43497757847533,BROMLEY HEALTHCARE COMMUNITY INTEREST COMPANY,325.0,52.0
BUCK,NHS Buckinghamshire CCG,324.0,77.0,4.0,2.1304513351071575,10.493827160493826,TRINITY HEALTH AND BEAUTY LIMITED,34.0,6.0
BURY,NHS Bury CCG,2918.0,729.0,37.0,4.3728751177527005,19.705277587388622,BURY GP PRACTICES LIMITED,575.0,49.0
CAP,NHS Cambridgeshire And Peterborough CCG,14775.0,5046.0,72.0,4.762218953051082,18.416243654822335,HERTS URGENT CARE LIMITED,2721.0,146.0
CAMD,NHS Camden CCG,276.0,48.0,8.0,15.63413900875093,29.347826086956523,MARIE CURIE,81.0,28.0
CANN,NHS Cannock Chase CCG,1521.0,445.0,33.0,2.3626784447963907,14.792899408284024,STAFFORDSHIRE DOCTORS URGENT CARE LIMITED,225.0,26.0
CANT,NHS Canterbury And Coastal CCG,6231.0,1579.0,82.0,6.2637468759279304,22.62879152623977,BMI HEALTHCARE LIMITED,1410.0,88.0
CPR,NHS Castle Point And Rochford CCG,2191.0,720.0,49.0,5.095375780537027,19.169329073482427,SPIRE HEALTHCARE LIMITED,420.0,42.0
CSR,NHS Chorley And South Ribble CCG,4455.0,1320.0,79.0,4.008700282536112,17.575757575757574,CHORLEY MEDICS LIMITED,783.0,79.0
CAH,NHS City And Hackney CCG,153.0,50.0,3.0,4.6046238060663125,15.686274509803921,CITY AND HACKNEY GP CONFEDERATION COMMUNITY INTEREST COMPANY,24.0,14.0
CWS,NHS Coastal West Sussex CCG,9613.0,4040.0,78.0,4.456517241000225,18.402163736606678,BMI HEALTHCARE LIMITED,1769.0,114.0
COR,NHS Corby CCG,1689.0,389.0,61.0,2.7462202886051137,12.01894612196566,ONE MEDICARE TA ONE PRIMARY CARE LIMITED LIABILITY PARTNERSHIP,203.0,24.0
CAR,NHS Coventry And Rugby CCG,7056.0,3231.0,75.0,3.6550605916178425,21.00340136054422,BMI HEALTHCARE LIMITED,1482.0,126.0
CRAW,NHS Crawley CCG,3184.0,1111.0,84.0,2.5947702415106297,8.88819095477387,CARE UNBOUND LIMITED,283.0,41.0
CRO,NHS Croydon CCG,1095.0,331.0,11.0,3.761222050026689,23.56164383561644,BMI HEALTHCARE LIMITED,258.0,46.0
DARL,NHS Darlington CCG,734.0,176.0,17.0,7.100383907697137,24.795640326975477,BMI HEALTHCARE LIMITED,182.0,30.0
DAD,NHS Derby And Derbyshire CCG,3225.0,1188.0,10.0,4.977009465710626,19.813953488372093,DHU HEALTH CARE COMMUNITY INTEREST COMPANY,639.0,86.0
DEV,NHS Devon CCG,315.0,130.0,1.0,4.941008453012127,17.142857142857142,DEVON DOCTORS LIMITED,54.0,33.0
DONC,NHS Doncaster CCG,6754.0,1948.0,65.0,8.622209268737176,30.944625407166125,THE HESLEY GROUP LIMITED,2090.0,138.0
DORS,NHS Dorset CCG,16579.0,5640.0,78.0,5.62034807016401,28.138005911092346,BMI HEALTHCARE LIMITED,4665.0,229.0
DUD,NHS Dudley CCG,2861.0,770.0,23.0,4.898868238112955,16.742397763019923,MALLING HEALTH UK LIMITED,479.0,65.0
DDES,"NHS Durham Dales, Easington And Sedgefield CCG",2279.0,686.0,19.0,6.70178233193341,27.073277753400614,SOUTH DURHAM HEALTH COMMUNITY INTEREST COMPANY,617.0,63.0
EAL,NHS Ealing CCG,754.0,310.0,10.0,2.933696388426752,16.976127320954905,CARE UK CLINICAL SERVICES LIMITED,128.0,33.0
EANH,NHS East And North Hertfordshire CCG,9730.0,4113.0,83.0,4.743863325931579,21.202466598150053,HERTS URGENT CARE LIMITED,2063.0,131.0
EBERK,NHS East Berkshire CCG,9418.0,2366.0,145.0,2.492227091643991,11.987683159906561,THAMES HOSPICE,1129.0,120.0
EALA,NHS East Lancashire CCG,7986.0,2636.0,65.0,6.044721146952754,21.27473077886301,BMI HEALTHCARE LIMITED,1699.0,100.0
ELAR,NHS East Leicestershire And Rutland CCG,269.0,56.0,2.0,6.933768172260134,16.356877323420075,DHU HEALTH CARE COMMUNITY INTEREST COMPANY,44.0,14.0
ERY,NHS East Riding Of Yorkshire CCG,4059.0,1668.0,60.0,7.697071308963515,18.329637841832962,CITY HEALTH CARE PARTNERSHIP COMMUNITY INTEREST COMPANY,744.0,52.0
ESTA,NHS East Staffordshire CCG,2441.0,599.0,58.0,13.980051431840893,13.764850471118395,VIRGIN CARE SERVICES LIMITED,336.0,30.0
EASU,NHS East Surrey CCG,963.0,275.0,17.0,10.966753978097929,24.714434060228452,FIRST COMMUNITY HEALTH AND CARE COMMUNITY INTEREST COMPANY,238.0,18.0
EHS,"NHS Eastbourne, Hailsham And Seaford CCG",3946.0,1265.0,65.0,3.5407402999226747,17.232640648758235,INTEGRATED CARE 24,680.0,43.0
EACH,NHS Eastern Cheshire CCG,3098.0,296.0,81.0,37.27661748301696,55.229180116204,ISS MEDICLEAN LIMITED,1711.0,156.0
ENF,NHS Enfield CCG,1965.0,626.0,23.0,5.178913335481756,26.768447837150127,BMI HEALTHCARE LIMITED,526.0,68.0
FAG,NHS Fareham And Gosport CCG,4100.0,1475.0,81.0,3.276800043888878,17.170731707317074,CARE UK CLINICAL SERVICES LIMITED,704.0,26.0
FW,NHS Fylde and Wyre CCG,62.0,19.0,1.0,8.557279343830338,9.67741935483871,FCMS NW LIMITED,6.0,5.0
GLOU,NHS Gloucestershire CCG,12822.0,4518.0,81.0,3.4964459898197875,14.52971455311184,CARE UK URGENT CARE LIMITED,1863.0,142.0
GYAW,NHS Great Yarmouth And Waveney CCG,14.0,17.0,1.0,11.621712585307309,21.428571428571427,EAST COAST COMMUNITY HEALTHCARE COMMUNITY INTEREST COMPANY,3.0,3.0
GHUD,NHS Greater Huddersfield CCG,3786.0,1487.0,70.0,13.584771883393024,25.62070787110407,LOCALA COMMUNITY PARTNERSHIPS COMMUNITY INTEREST COMPANY,970.0,46.0
GPRE,NHS Greater Preston CCG,4799.0,1519.0,80.0,4.568485591168779,17.441133569493644,GOTODOC LIMITED,837.0,77.0
GREE,NHS Greenwich CCG,113.0,30.0,1.0,12.6622765769744,31.858407079646017,CIRCLE CLINICAL SERVICES LIMITED,36.0,19.0
HALT,NHS Halton CCG,3496.0,949.0,62.0,2.3874691665395575,9.754004576659039,SPIRE HEALTHCARE LIMITED,341.0,40.0
HRAW,"NHS Hambleton, Richmondshire And Whitby CCG",4169.0,905.0,66.0,1.8064605581811908,8.467258335332215,BMI HEALTHCARE LIMITED,353.0,24.0
HAF,NHS Hammersmith And Fulham CCG,154.0,34.0,2.0,2.63002598036297,11.03896103896104,CONNECT PHYSICAL HEALTH CENTRES LIMITED,17.0,12.0
HARI,NHS Haringey CCG,1184.0,135.0,29.0,15.753849743788395,33.86824324324324,LONDON CENTRAL AND WEST UNSCHEDULED CARE COLLABORATIVE LIMITED,401.0,50.0
HARD,NHS Harrogate And Rural District CCG,23.0,19.0,2.0,1.1952525681082338,13.043478260869565,ST MICHAELS HOSPICE INCORPORATING THE FREDA PEARCE FOUNDATION,3.0,2.0
HARR,NHS Harrow CCG,1423.0,448.0,27.0,5.939959451201429,21.57413914265636,BMI HEALTHCARE LIMITED,307.0,30.0
HAST,NHS Hartlepool And Stockton-On-Tees CCG,1065.0,386.0,11.0,4.395799910152698,24.507042253521128,NUFFIELD HEALTH,261.0,42.0
HAR,NHS Hastings And Rother CCG,6094.0,1445.0,77.0,6.664369595808947,22.34985231375123,SPIRE HEALTHCARE LIMITED,1362.0,89.0
HERE,NHS Herefordshire CCG,5793.0,1421.0,84.0,5.137525695278403,18.91938546521664,NUFFIELD HEALTH,1096.0,74.0
HERT,NHS Herts Valleys CCG,5567.0,1864.0,32.0,5.868807997108948,22.399856296030176,HERTS URGENT CARE LIMITED,1247.0,78.0
HMR,"NHS Heywood, Middleton And Rochdale CCG",2069.0,530.0,21.0,5.609959627908574,16.868052199130016,CARE UK CLINICAL SERVICES LIMITED,349.0,46.0
HWLH,NHS High Weald Lewes Havens CCG,961.0,226.0,11.0,19.352570362658017,17.68990634755463,SMSKP2 LIMITED,170.0,35.0
HILL,NHS Hillingdon CCG,1486.0,570.0,26.0,5.925293531263608,23.95693135935397,CAREHOME SELECTION LIMITED,356.0,31.0
HAMS,NHS Horsham And Mid Sussex CCG,6291.0,2473.0,88.0,8.006429722979224,18.041646797011605,CARE UNBOUND LIMITED,1135.0,78.0
HULL,NHS Hull CCG,5019.0,1997.0,71.0,18.720368605746216,45.70631599920303,CITY HEALTH CARE PARTNERSHIP COMMUNITY INTEREST COMPANY,2294.0,93.0
IAES,NHS Ipswich And East Suffolk CCG,2695.0,1375.0,47.0,9.746470974334105,26.93877551020408,SERCO LIMITED,726.0,75.0
IOW,NHS Isle Of Wight CCG,2286.0,872.0,54.0,4.042908334891975,21.872265966754156,EARL MOUNTBATTEN HOSPICE,500.0,57.0
KERN,NHS Kernow CCG,3962.0,1266.0,22.0,8.022072329390127,40.08076728924785,CORNWALL CARE LIMITED,1588.0,105.0
KING,NHS Kingston CCG,2873.0,740.0,38.0,17.008458248340983,21.16254785938044,YOUR HEALTHCARE COMMUNITY INTEREST COMPANY,608.0,70.0
KNOW,NHS Knowsley CCG,1061.0,262.0,12.0,4.542543616654165,14.043355325164939,ASTON HEALTHCARE LIMITED,149.0,29.0
LAMB,NHS Lambeth CCG,1236.0,425.0,9.0,2.9734769330785484,19.41747572815534,SOUTHSIDE PARTNERSHIP,240.0,65.0
LEE,NHS Leeds CCG,20153.0,6097.0,190.0,7.358561312764415,26.095370416315188,NUFFIELD HEALTH,5259.0,251.0
LEIC,NHS Leicester City CCG,70.0,28.0,1.0,6.632444247295198,42.857142857142854,CENTRAL NOTTINGHAMSHIRE CLINICAL SERVICES LIMITED,30.0,23.0
LINE,NHS Lincolnshire East CCG,7458.0,1505.0,63.0,4.489936631497387,14.869938321265755,CARE UK CLINICAL SERVICES LIMITED,1109.0,57.0
LINW,NHS Lincolnshire West CCG,7525.0,1612.0,82.0,5.543310864607638,16.930232558139537,CARE UK CLINICAL SERVICES LIMITED,1274.0,65.0
LIVE,NHS Liverpool CCG,10387.0,4229.0,75.0,5.5770994081819305,19.967266775777414,SPIRE HEALTHCARE LIMITED,2074.0,170.0
MAA,NHS Mansfield And Ashfield CCG,1464.0,394.0,18.0,6.305563532503836,27.459016393442624,NEMS COMMUNITY BENEFIT SERVICES LIMITED,402.0,41.0
MED,NHS Medway CCG,1021.0,256.0,9.0,19.978302042993796,30.558276199804112,MEDWAY COMMUNITY HEALTHCARE COMMUNITY INTEREST COMPANY,312.0,37.0
MERT,NHS Merton CCG,2405.0,729.0,41.0,3.973886850159701,18.212058212058214,NHS PROPERTY SERVICES LIMITED,438.0,76.0
MESS,NHS Mid Essex CCG,8606.0,2389.0,80.0,11.349712753028172,19.90471763885661,PROVIDE COMMUNITY INTEREST COMPANY,1713.0,98.0
MK,NHS Milton Keynes CCG,2676.0,817.0,42.0,5.455652935529494,22.08520179372197,MILTON KEYNES URGENT CARE SERVICES COMMUNITY INTEREST COMPANY,591.0,51.0
MCB,NHS Morecambe Bay CCG,5112.0,1840.0,78.0,3.9385995881919844,19.42488262910798,BMI HEALTHCARE LIMITED,993.0,89.0
NENE,NHS Nene CCG,1088.0,439.0,7.0,6.891633329158392,29.136029411764707,BMI HEALTHCARE LIMITED,317.0,59.0
NAS,NHS Newark and Sherwood CCG,1281.0,281.0,19.0,5.413863667459914,21.233411397345826,NEMS COMMUNITY BENEFIT SERVICES LIMITED,272.0,25.0
NAG,NHS Newcastle Gateshead CCG,145.0,111.0,2.0,5.091437601377153,50.3448275862069,MENTAL HEALTH CONCERN,73.0,25.0
NEWH,NHS Newham CCG,48.0,23.0,1.0,0.29862333651787465,4.166666666666666,EGTON MEDICAL INFORMATION SYSTEMS LIMITED,2.0,2.0
NORC,NHS North Cumbria CCG,1507.0,466.0,13.0,4.072202007553244,14.134041141340411,CUMBRIA HEALTH ON CALL LIMITED,213.0,40.0
NDUR,NHS North Durham CCG,1551.0,485.0,18.0,4.352883945260441,19.471308833010962,SPIRE HEALTHCARE LIMITED,302.0,45.0
NEES,NHS North East Essex CCG,8609.0,2586.0,80.0,13.923026464389807,28.354048089208966,ANGLIAN COMMUNITY ENTERPRISE ACE COMMUNITY INTEREST COMPANY,2441.0,135.0
NEHF,NHS North East Hampshire And Farnham CCG,5372.0,1531.0,79.0,6.902015080078944,18.838421444527178,VIRGIN CARE SERVICES LIMITED,1012.0,76.0
NEL,NHS North East Lincolnshire CCG,3935.0,1371.0,83.0,23.270542358865566,39.79669631512071,NAVIGO LIMITED,1566.0,80.0
NH,NHS North Hampshire CCG,119.0,39.0,2.0,5.4861767130031,15.966386554621847,BMI HEALTHCARE LIMITED,19.0,7.0
NK,NHS North Kirklees CCG,3421.0,1015.0,59.0,14.058208542873071,34.43437591347559,LOCALA COMMUNITY PARTNERSHIPS COMMUNITY INTEREST COMPANY,1178.0,73.0
NL,NHS North Lincolnshire CCG,3790.0,1061.0,74.0,4.231797652461915,21.029023746701846,SPIRE HEALTHCARE LIMITED,797.0,65.0
NN,NHS North Norfolk CCG,1818.0,370.0,18.0,4.029505687943029,13.146314631463147,INTEGRATED CARE 24,239.0,29.0
NOST,NHS North Staffordshire CCG,3636.0,942.0,51.0,7.4678785125604215,27.86028602860286,ADAM HTT LIMITED,1013.0,66.0
NT,NHS North Tyneside CCG,53.0,20.0,1.0,2.2170866963919362,13.20754716981132,NORTHERN DOCTORS URGENT CARE LIMITED,7.0,6.0
NWS,NHS North West Surrey CCG,1494.0,457.0,13.0,12.776332415258535,18.87550200803213,CENTRAL SURREY HEALTH LIMITED,282.0,41.0
NORW,NHS Norwich CCG,3634.0,1181.0,72.0,3.7986344338503466,22.8673637864612,INTEGRATED CARE 24,831.0,61.0
NOCI,NHS Nottingham City CCG,4797.0,2258.0,73.0,20.749740941524756,45.09068167604753,NOTTINGHAM CITYCARE PARTNERSHIP COMMUNITY INTEREST COMPANY,2163.0,119.0
NNAE,NHS Nottingham North And East CCG,2531.0,733.0,47.0,9.17923569752205,21.92809166337416,CIRCLE NOTTINGHAM LIMITED,555.0,26.0
NW,NHS Nottingham West CCG,2580.0,694.0,76.0,9.848301358618983,21.589147286821706,CIRCLE NOTTINGHAM LIMITED,557.0,26.0
OLD,NHS Oldham CCG,4132.0,1175.0,59.0,8.67543418894607,30.784123910939016,BMI HEALTHCARE LIMITED,1272.0,116.0
OXFO,NHS Oxfordshire CCG,2174.0,741.0,11.0,3.026303573308713,14.029438822447101,PRINCIPAL MEDICAL LIMITED,305.0,45.0
PORT,NHS Portsmouth CCG,3576.0,1486.0,70.0,4.897528510310111,17.701342281879196,CARE UK CLINICAL SERVICES LIMITED,633.0,48.0
RAB,NHS Redditch And Bromsgrove CCG,4693.0,1226.0,78.0,3.192387858227832,11.05902407841466,BMI HEALTHCARE LIMITED,519.0,35.0
RICH,NHS Richmond CCG,1526.0,417.0,33.0,3.2364972896429673,13.892529488859765,YOUR HEALTHCARE COMMUNITY INTEREST COMPANY,212.0,38.0
ROTH,NHS Rotherham CCG,5524.0,1996.0,82.0,4.522095668398165,19.713975380159305,THE ROTHERHAM HOSPICE TRUST,1089.0,87.0
RUSH,NHS Rushcliffe CCG,2348.0,525.0,39.0,12.02929899850622,25.468483816013627,CIRCLE NOTTINGHAM LIMITED,598.0,58.0
SAL,NHS Salford CCG,5290.0,2227.0,72.0,4.269137063342921,23.251417769376182,SALFORD PRIMARY CARE TOGETHER COMMUNITY INTEREST COMPANY,1230.0,81.0
SAWB,NHS Sandwell And West Birmingham CCG,10634.0,3906.0,79.0,5.581958114332601,26.05792740267068,CARE UK CLINICAL SERVICES LIMITED,2771.0,201.0
SCAR,NHS Scarborough And Ryedale CCG,1346.0,313.0,22.0,6.512418562737456,29.71768202080238,NORTHERN DOCTORS URGENT CARE LIMITED,400.0,51.0
SHEF,NHS Sheffield CCG,11308.0,4425.0,82.0,4.080482559327501,23.947647683056246,SOUTH YORKSHIRE HOUSING ASSOCIATION LIMITED,2708.0,138.0
SHRO,NHS Shropshire CCG,124.0,31.0,1.0,3.9764872543596583,11.29032258064516,FALCK UK AMBULANCE SERVICE LIMITED,14.0,12.0
SOME,NHS Somerset CCG,8996.0,4061.0,82.0,5.973624596024702,27.923521565140064,CARE UK CLINICAL SERVICES LIMITED,2512.0,139.0
SCHE,NHS South Cheshire CCG,2121.0,578.0,41.0,4.586013297780258,19.519094766619517,BMI HEALTHCARE LIMITED,414.0,49.0
SESASP,NHS South East Staffordshire And Seisdon Peninsula CCG,366.0,97.0,11.0,2.867688108684479,12.295081967213115,NHS PROPERTY SERVICES LIMITED,45.0,21.0
SEH,NHS South Eastern Hampshire CCG,4601.0,1585.0,79.0,4.3630425709510465,17.62660291241035,CARE UK CLINICAL SERVICES LIMITED,811.0,56.0
SKC,NHS South Kent Coast CCG,2398.0,534.0,23.0,9.130638067554086,29.190992493744787,CHANNEL HEALTH ALLIANCE LIMITED,700.0,58.0
SL,NHS South Lincolnshire CCG,4966.0,876.0,64.0,3.8733056002925514,13.934756343133307,OPTUM HEALTH SOLUTIONS UK LIMITED,692.0,50.0
SN,NHS South Norfolk CCG,6172.0,1316.0,71.0,4.617696933880323,17.644199611147116,BMI HEALTHCARE LIMITED,1089.0,62.0
SS,NHS South Sefton CCG,4274.0,1406.0,82.0,3.845181776647149,20.472625175479646,GOTODOC LIMITED,875.0,69.0
SOTE,NHS South Tees CCG,1649.0,593.0,18.0,4.396863297590873,27.046694966646452,NUFFIELD HEALTH,446.0,46.0
SOTY,NHS South Tyneside CCG,207.0,98.0,5.0,2.339451835066376,18.357487922705314,NHS PROPERTY SERVICES LIMITED,38.0,10.0
SWAR,NHS South Warwickshire CCG,3445.0,961.0,37.0,4.522076513371182,17.561683599419446,NUFFIELD HEALTH,605.0,70.0
SWL,NHS South West Lincolnshire CCG,4730.0,743.0,65.0,4.707161609816664,13.636363636363635,ST BARNABAS HOSPICE TRUST LINCOLNSHIRE,645.0,52.0
SWOR,NHS South Worcestershire CCG,4948.0,775.0,67.0,4.841929629573278,13.803556992724333,ST BARNABAS HOSPICE TRUST LINCOLNSHIRE,683.0,56.0
SOT,NHS Southampton CCG,1524.0,691.0,34.0,5.063567442051182,24.4750656167979,CARE UK CLINICAL SERVICES LIMITED,373.0,43.0
SEND,NHS Southend CCG,1551.0,533.0,33.0,5.467540491245761,20.954223081882656,SPIRE HEALTHCARE LIMITED,325.0,49.0
SAF,NHS Southport And Formby CCG,4038.0,1064.0,80.0,4.855809124071015,22.114908370480435,ADAM HTT LIMITED,893.0,55.0
SWARK,NHS Southwark CCG,166.0,122.0,3.0,1.8834759293651422,21.686746987951807,THREE CS SUPPORT,36.0,24.0
SAS,NHS Stafford And Surrounds CCG,2710.0,528.0,37.0,7.670005742193915,26.826568265682653,ADAM HTT LIMITED,727.0,75.0
STOC,NHS Stockport CCG,6371.0,2324.0,83.0,6.298933422563338,24.6743054465547,BMI HEALTHCARE LIMITED,1572.0,74.0
STOK,NHS Stoke On Trent CCG,3895.0,1178.0,47.0,9.572410615458285,39.178433889602054,NUFFIELD HEALTH,1526.0,109.0
SUN,NHS Sunderland CCG,1824.0,619.0,17.0,4.89675374394132,21.052631578947366,SUNDERLAND GP ALLIANCE LIMITED,384.0,46.0
SD,NHS Surrey Downs CCG,6801.0,1647.0,51.0,12.906036874798726,25.466843111307156,CENTRAL SURREY HEALTH LIMITED,1732.0,130.0
SH,NHS Surrey Heath CCG,1259.0,325.0,44.0,1.3834837578104118,8.737092930897537,NORTH HAMPSHIRE URGENT CARE LIMITED,110.0,13.0
SUTT,NHS Sutton CCG,2371.0,697.0,26.0,3.4025510989785146,15.689582454660481,VOCARE LIMITED,372.0,51.0
SWIN,NHS Swindon CCG,3946.0,1168.0,63.0,6.0691955245251945,21.819564115560063,BMI HEALTHCARE LIMITED,861.0,59.0
TAG,NHS Tameside And Glossop CCG,4729.0,1659.0,71.0,5.297663671646397,23.02812433918376,GOTODOC LIMITED,1089.0,80.0
TAW,NHS Telford And Wrekin CCG,1065.0,460.0,35.0,2.5159300868872956,22.065727699530516,SEVERN HOSPICE LIMITED,235.0,30.0
THAN,NHS Thanet CCG,2363.0,677.0,43.0,4.261490236228646,22.852306390181973,INTEGRATED CARE 24,540.0,61.0
THUR,NHS Thurrock CCG,2407.0,779.0,60.0,3.9977586320675704,22.55920232654757,INTEGRATED CARE 24,543.0,32.0
TRAF,NHS Trafford CCG,4974.0,1496.0,69.0,4.992791434298256,24.024929634097305,MASTERCALL HEALTHCARE,1195.0,85.0
VOY,NHS Vale Of York CCG,2246.0,1266.0,43.0,2.5118604939696554,9.884238646482636,NUFFIELD HEALTH,222.0,33.0
VOR,NHS Vale Royal CCG,1504.0,331.0,41.0,5.042225048809323,18.75,ALTERNATIVE FUTURES GROUP LIMITED,282.0,29.0
WAKE,NHS Wakefield CCG,8623.0,2734.0,78.0,6.060959412186011,24.94491476284356,SPIRE HEALTHCARE LIMITED,2151.0,112.0
WALS,NHS Walsall CCG,5449.0,1773.0,64.0,3.709866500851445,18.737383006056156,SPIRE HEALTHCARE LIMITED,1021.0,80.0
WALT,NHS Waltham Forest CCG,1290.0,538.0,25.0,5.123391329270559,30.310077519379846,PARTNERSHIP OF EAST LONDON COOPERATIVES PELC LIMITED,391.0,43.0
WARR,NHS Warrington CCG,4113.0,1229.0,64.0,5.044479862130343,15.852176027230733,SPIRE HEALTHCARE LIMITED,652.0,49.0
WARN,NHS Warwickshire North CCG,860.0,245.0,13.0,3.368565606198409,17.441860465116278,BMI HEALTHCARE LIMITED,150.0,23.0
WC,NHS West Cheshire CCG,1372.0,377.0,14.0,4.997063747431625,14.504373177842567,ADAM HTT LIMITED,199.0,41.0
WESS,NHS West Essex CCG,9194.0,2318.0,85.0,4.368250278217415,15.91255166412878,HOLLY HOUSE HOSPITAL LIMITED,1463.0,109.0
WHAM,NHS West Hampshire CCG,249.0,60.0,1.0,6.208453272801619,28.514056224899598,SPIRE HEALTHCARE LIMITED,71.0,46.0
WKEN,NHS West Kent CCG,11878.0,3086.0,79.0,5.729442597918005,18.29432564404782,INTEGRATED CARE 24,2173.0,128.0
WLAN,NHS West Lancashire CCG,3283.0,778.0,78.0,7.004487229025075,13.646055437100213,VIRGIN CARE SERVICES LIMITED,448.0,57.0
WLEI,NHS West Leicestershire CCG,1431.0,354.0,12.0,5.610614672778593,18.099231306778478,DHU HEALTH CARE COMMUNITY INTEREST COMPANY,259.0,39.0
WL,NHS West London CCG,621.0,129.0,8.0,51.310983288558795,65.05636070853463,KIER CONSTRUCTION LIMITED,404.0,98.0
WN,NHS West Norfolk CCG,497.0,118.0,5.0,4.540949085448519,12.072434607645874,INTEGRATED CARE 24,60.0,12.0
WS,NHS West Suffolk CCG,1136.0,497.0,26.0,9.649015551329535,24.647887323943664,SERCO LIMITED,280.0,51.0
WAB,NHS Wigan Borough CCG,7041.0,2028.0,61.0,4.918711155721316,16.829995739241586,COMMUNITY HEALTH PARTNERSHIPS LIMITED,1185.0,72.0
WILT,NHS Wiltshire CCG,11006.0,3267.0,81.0,12.66216742518498,18.081046701799018,WILTSHIRE HEALTH AND CARE LIMITED LIABILITY PARTNERSHIP,1990.0,117.0
WIRR,NHS Wirral CCG,4991.0,2606.0,73.0,5.421840515415846,27.549589260669205,ADAM HTT LIMITED,1375.0,94.0
WYRE,NHS Wyre Forest CCG,2684.0,613.0,59.0,4.613588951520485,10.767511177347243,CARE UK URGENT CARE LIMITED,289.0,18.0
