NHS Abrev,Charity Value,Charity Count,Count (%),Value (%),Rank,Year,NHS Trust
NAS,2762471.0,28,8.284023668639055,9.738463888462624,4,2014,Norfolk and Suffolk NHS Foundation Trust
NOT,4793442.0,48,6.486486486486487,9.88906148050377,5,2014,Nottinghamshire Healthcare NHS Foundation Trust
BAS,1107080.0,21,6.0344827586206895,2.745725955180689,6,2014,Birmingham and Solihull Mental Health NHS Foundation Trust
CUH,8248506.0,101,6.026252983293556,4.005865863524939,7,2014,Cambridge University Hospitals NHS Foundation Trust
AAW,1901098.0,13,5.603448275862069,10.092160404098788,8,2014,Avon and Wiltshire Mental Health Partnership NHS Trust
CAW,585806.0,16,5.211726384364821,2.2865070999260504,9,2014,Coventry and Warwickshire Partnership NHS Trust
CHE,585806.0,16,5.211726384364821,2.2865070999260504,10,2014,Chelsea and Westminster Hospital NHS Foundation Trust
DHC,2472746.0,37,25.34246575342466,26.44586185628379,1,2015,Derbyshire Healthcare NHS Foundation Trust
RPH,896592.0,33,15.137614678899084,7.820319107802308,2,2015,Royal Papworth Hospital NHS Foundation Trust
NEA,1536813.0,43,14.19141914191419,7.164138735673534,3,2015,North East Ambulance Service NHS Foundation Trust
YAS,2744153.0,46,13.256484149855908,6.102059708349372,4,2015,Yorkshire Ambulance Service NHS Trust
NOR,1353557.0,26,12.037037037037036,7.409903528049478,5,2015,Northamptonshire Healthcare NHS Foundation Trust
DHU,6417061.0,79,10.10230179028133,5.8756208898284585,6,2015,Dorset Healthcare University NHS Foundation Trust
WSH,2018685.0,24,8.275862068965518,8.931744848147485,7,2015,Western Sussex Hospitals NHS Foundation Trust
BAS,1673431.0,25,7.396449704142012,4.42831942225342,8,2015,Birmingham and Solihull Mental Health NHS Foundation Trust
CUH,8627384.0,131,7.343049327354261,3.4577649543661875,9,2015,Cambridge University Hospitals NHS Foundation Trust
NOT,4034713.0,41,6.376360808709176,8.343014468829377,10,2015,Nottinghamshire Healthcare NHS Foundation Trust
DHC,3695521.0,50,20.242914979757085,21.96284493743106,1,2016,Derbyshire Healthcare NHS Foundation Trust
YAS,3210744.0,48,12.66490765171504,6.969894341783288,2,2016,Yorkshire Ambulance Service NHS Trust
NAS,3446908.0,52,12.530120481927712,9.483346062504266,3,2016,Norfolk and Suffolk NHS Foundation Trust
DHU,7173631.0,93,11.177884615384617,5.817487325715974,4,2016,Dorset Healthcare University NHS Foundation Trust
NOR,2082214.0,42,10.047846889952153,5.565232237835612,5,2016,Northamptonshire Healthcare NHS Foundation Trust
RPH,1219919.0,35,9.45945945945946,1.7325885340158897,6,2016,Royal Papworth Hospital NHS Foundation Trust
LAS,1601783.0,47,6.072351421188631,2.8243088789222615,7,2016,London Ambulance Service NHS Trust
NOT,3173654.0,46,5.786163522012579,5.699146875430704,8,2016,Nottinghamshire Healthcare NHS Foundation Trust
MER,1079507.0,21,5.570291777188329,1.1072442774381481,9,2016,Mersey Care NHS Foundation Trust
DPT,825972.0,15,5.555555555555555,4.2051507001966,10,2016,Devon Partnership NHS Trust
DHC,4895426.0,52,17.218543046357617,23.39626692115002,1,2017,Derbyshire Healthcare NHS Foundation Trust
CCS,836798.0,22,16.296296296296298,9.308708802913651,2,2017,Cambridgeshire Community Services NHS Trust
NOT,1452993.0,30,10.135135135135135,6.576405183825441,3,2017,Nottinghamshire Healthcare NHS Foundation Trust
NOR,1848606.0,33,9.217877094972067,5.359272134003286,4,2017,Northamptonshire Healthcare NHS Foundation Trust
NAS,2980422.0,37,8.726415094339622,8.0450832295831,5,2017,Norfolk and Suffolk NHS Foundation Trust
DHU,4322702.0,61,7.411907654921021,3.512054355042475,6,2017,Dorset Healthcare University NHS Foundation Trust
GMM,1409415.0,28,6.6350710900473935,3.706472488215757,7,2017,Greater Manchester Mental Health NHS Foundation Trust
SEC,559466.0,26,6.516290726817042,1.196969760181788,8,2017,South East Coast Ambulance Service NHS Foundation Trust
BRD,743386.0,16,6.504065040650407,2.4244137123038803,9,2017,Bradford District NHS Foundation Trust
CUH,6389031.0,116,5.85562847046946,2.4055090943691133,10,2017,Cambridge University Hospitals NHS Foundation Trust
DHC,5783430.0,59,21.532846715328464,27.87966406128731,1,2018,Derbyshire Healthcare NHS Foundation Trust
HUM,474713.0,15,13.513513513513514,3.070548098847855,2,2018,Humber Teaching NHS Foundation Trust
SEC,738972.0,18,13.333333333333334,6.02026355740995,3,2018,South East Coast Ambulance Service NHS Foundation Trust
CCS,1347503.0,40,13.333333333333334,6.306449323428306,4,2018,Cambridgeshire Community Services NHS Trust
GMM,4078166.0,79,11.285714285714285,6.989057617241724,5,2018,Greater Manchester Mental Health NHS Foundation Trust
HPU,2097173.0,41,9.903381642512077,4.713299929573781,6,2018,Hertfordshire Partnership University NHS Foundation Trust
LSC,5365092.0,70,9.49796472184532,4.553747060994992,7,2018,Lancashire & South Cumbria NHS Foundation Trust
BRD,1217125.0,30,8.823529411764707,3.0733936892259046,8,2018,Bradford District NHS Foundation Trust
NOR,1811814.0,38,8.597285067873303,4.78170477621792,9,2018,Northamptonshire Healthcare NHS Foundation Trust
NAS,2024029.0,35,8.495145631067961,5.895392592423009,10,2018,Norfolk and Suffolk NHS Foundation Trust
DHC,5440438.0,58,16.909620991253643,14.09653170324215,1,2019,Derbyshire Healthcare NHS Foundation Trust
LSC,9724502.0,92,11.630847029077119,7.901815824633272,2,2019,Lancashire & South Cumbria NHS Foundation Trust
SHR,434991.0,15,11.278195488721805,5.134006236471319,3,2019,Shropshire Community Health NHS Trust
RDS,1555238.0,28,10.071942446043165,8.523362908438838,4,2019,Rotherham Doncaster and South Humber NHS Foundation Trust
NOT,4861697.0,77,9.436274509803921,8.371261338949097,5,2019,Nottinghamshire Healthcare NHS Foundation Trust
BAS,2201993.0,32,9.30232558139535,5.203988366378489,6,2019,Birmingham and Solihull Mental Health NHS Foundation Trust
CAI,947533.0,20,9.30232558139535,5.058913872201284,7,2019,Camden and Islington NHS Foundation Trust
GMM,4142064.0,72,9.242618741976894,4.988028194761018,8,2019,Greater Manchester Mental Health NHS Foundation Trust
MIP,5542400.0,72,8.75912408759124,8.3223913997671,9,2019,Midlands Partnership NHS Foundation Trust
CCS,1030398.0,28,8.695652173913043,4.282320328904783,10,2019,Cambridgeshire Community Services NHS Trust
