NHS Abrev,trust name,Latitude,Longitude,Count,Value (m),Number of Datasets,Value (%),Count (%),Highest Value Charity Recipient,Number Payments to VCS,Number of Charity Suppliers
BTS,Barts Health NHS Trust,51.517167,-0.05605,6529.0,1412.0,35.0,0.22135480461807477,0.9189768724153776,LONDONS AIR AMBULANCE LIMITED,60.0,13.0
BUC,Buckinghamshire Healthcare NHS Trust,51.797983,-0.801989,5954.0,1193.0,89.0,0.13518659044890394,0.48706751763520323,HASCAS HEALTH AND SOCIAL CARE ADVISORY SERVICE,29.0,6.0
BWC,Birmingham Women's and Children's NHS Foundation Trust,52.484895,-1.893754,1349.0,164.0,1.0,0.8672053713725675,2.2979985174203117,ST JOHN AMBULANCE,31.0,5.0
CAH,Calderdale and Huddersfield NHS Foundation Trust,53.704821,-1.857509,4639.0,581.0,55.0,0.050517448335611496,0.2802328087949989,OVERGATE HOSPICE,13.0,6.0
CAI,Camden and Islington NHS Foundation Trust,51.53665,-0.131658,479.0,40.0,17.0,4.273630570031838,7.306889352818372,WESTMINSTER DRUG PROJECT,35.0,3.0
CAW,Coventry and Warwickshire Partnership NHS Trust,52.457137,-1.486518,2661.0,241.0,104.0,1.342963372442651,2.8936490041337843,METHODIST HOMES,77.0,7.0
CCS,Cambridgeshire Community Services NHS Trust,52.322863,-0.067127,807.0,59.0,18.0,5.717071243173575,11.895910780669144,TERENCE HIGGINS TRUST,96.0,6.0
CHE,Chelsea and Westminster Hospital NHS Foundation Trust,51.484308,-0.181644,2661.0,241.0,104.0,1.342963372442651,2.8936490041337843,METHODIST HOMES,77.0,7.0
CHR,The Christie NHS Foundation Trust,53.429767,-2.230125,3754.0,695.0,68.0,0.19580973337593957,1.0921683537559936,ANTHONY NOLAN,41.0,3.0
CLA,The Clatterbridge Cancer Centre NHS Foundation Trust,53.332884,-3.024137,1355.0,346.0,35.0,0.053463788109780794,0.44280442804428044,UNIVERSITY OF CHESTER,6.0,2.0
CLC,Central London Community Healthcare NHS Trust,51.522838,-0.151539,1621.0,162.0,53.0,2.5232660911137677,2.961135101789019,AGE UK KENSINGTON AND CHELSEA,48.0,9.0
CNT,Cumbria Northumberland Tyne and Wear NHS Foundation Trust,55.006488,-1.6331,44.0,3.0,1.0,5.898063011465073,9.090909090909092,THE CYRENIANS LIMITED,4.0,2.0
CNW,Central and North West London NHS Foundation Trust,51.524345,-0.142166,4632.0,864.0,14.0,1.4602828218486867,4.66321243523316,PHOENIX HOUSE,216.0,22.0
COP,Cornwall Partnership NHS Foundation Trust,50.47189,-4.741628,2054.0,186.0,1.0,0.6925741808241775,1.3145082765335931,VOLUNTEER CORNWALL,27.0,5.0
COV,University Hospitals Coventry and Warwickshire NHS Trust,52.421211,-1.438403,10400.0,1783.0,119.0,0.07518218928877043,0.34615384615384615,NUFFIELD HEALTH,36.0,8.0
CRO,Croydon Health Services NHS Trust,51.389128,-0.108758,4285.0,467.0,78.0,0.2731804739895307,0.3033838973162194,AGE UK CROYDON,13.0,4.0
CUH,Cambridge University Hospitals NHS Foundation Trust,52.173741,0.139114,11258.0,1432.0,41.0,1.183697577174578,2.558180849173921,NUFFIELD HEALTH,288.0,14.0
CWP,Cheshire and Wirral Partnership NHS Foundation Trust,53.211544,-2.898825,115.0,11.0,7.0,0.0,0.0,0,0.0,0.0
DAD,County Durham and Darlington NHS Foundation Trust,54.530374,-1.563733,214.0,99.0,11.0,0.07062067825740384,0.9345794392523363,PIONEERING CARE PARTNERSHIP,2.0,2.0
DAW,Dudley and Walsall Mental Health Partnership NHS Trust,52.48177,-2.117851,1606.0,186.0,112.0,0.0,0.0,0,0.0,0.0
DCH,Derbyshire Community Health Services NHS Foundation Trust,53.23967,-1.479477,4640.0,434.0,118.0,0.01245504053635045,0.04310344827586207,EREWASH VOLUNTARY ACTION COUNCIL FOR VOLUNTARY SERVICE,2.0,2.0
DGT,Dartford and Gravesham NHS Trust,51.434952,0.258645,2004.0,277.0,38.0,0.019036128721081496,0.09980039920159679,THE ROYAL COLLEGE OF PHYSICIANS OF LONDON,2.0,1.0
DHC,Derbyshire Healthcare NHS Foundation Trust,52.91807,-1.512351,1561.0,128.0,65.0,20.280460206321553,19.923126201153107,PHOENIX HOUSE,311.0,10.0
DHU,Dorset Healthcare University NHS Foundation Trust,50.740073,-1.978038,4816.0,721.0,126.0,3.4365795611524232,7.059800664451828,E D P DRUG AND ALCOHOL SERVICES,340.0,5.0
DOR,Dorset County Hospital NHS Foundation Trust,50.71294,-2.446936,10.0,0.0,1.0,0.0,0.0,0,0.0,0.0
DPT,Devon Partnership NHS Trust,50.715395,-3.506298,647.0,44.0,28.0,3.9955207845227463,5.564142194744977,ALZHEIMERS SOCIETY,36.0,4.0
EAS,Epsom and St Helier University Hospitals NHS Trust,51.380313,-0.183642,7027.0,927.0,71.0,0.12401605961937635,0.3273089511882738,ST KILDA TRUST,23.0,4.0
ECH,East Cheshire NHS Trust,53.262321,-2.141074,3123.0,298.0,82.0,0.3505884146431004,0.6083893691962856,BODY POSITIVE CHESHIRE AND NORTH WALES,19.0,4.0
ELF,East London NHS Foundation Trust,51.513297,-0.072085,5763.0,653.0,91.0,0.38613391197875946,0.9196598993579732,INSTITUTE OF HEALTH VISITING,53.0,10.0
ELH,East Lancashire Hospitals NHS Trust,53.73556,-2.462716,3542.0,368.0,65.0,0.04834299066848621,0.1411631846414455,BRITISH HEART FOUNDATION,5.0,5.0
EMA,East Midlands Ambulance Service NHS Trust,52.98146,-1.238124,393.0,25.0,11.0,1.294759767516275,2.5445292620865136,LINCOLNSHIRE INTEGRATED VOLUNTARY EMERGENCY SERVICE,10.0,1.0
ENH,East and North Hertfordshire NHS Trust,51.924611,-0.212726,2319.0,233.0,32.0,1.1976506249157484,0.5605864596808969,PAUL STRICKLAND SCANNER CENTRE,13.0,3.0
EOE,East Of England Ambulance Service NHS Trust,52.07658,0.014173,1106.0,98.0,24.0,0.0,0.0,0,0.0,0.0
ESH,East Sussex Healthcare NHS Trust,50.88769,0.561978,2308.0,192.0,55.0,0.11553786882469647,0.30329289428076256,THE DOROTHY KERIN TRUST,7.0,2.0
FHF,Frimley Health NHS Foundation Trust,51.319666,-0.742029,7344.0,708.0,1.0,0.05153303733474812,0.1497821350762527,THE DASH CHARITY,11.0,6.0
GCS,Gloucestershire Hospitals NHS Foundation Trust,51.89212,-2.071883,7190.0,792.0,28.0,0.4502958123772306,1.1821974965229485,COBALT HEALTH,85.0,3.0
GEH,George Eliot Hospital NHS Trust,52.51258,-1.478439,3247.0,245.0,115.0,0.0,0.0,0,0.0,0.0
GHC,Gloucestershire Health and Care NHS Foundation Trust,51.847073,-2.176389,585.0,43.0,23.0,1.006137327744965,2.2222222222222223,ALZHEIMERS SOCIETY,13.0,5.0
GHF,Gateshead Health NHS Foundation Trust,54.93938,-1.580781,5985.0,702.0,8.0,0.14917665985169767,0.5680868838763575,LATATE LIMITED,34.0,2.0
GMM,Greater Manchester Mental Health NHS Foundation Trust,53.536749,-2.291465,2049.0,195.0,35.0,5.489936858479765,9.370424597364568,PHOENIX HOUSE,192.0,12.0
GOS,Great Ormond Street Hospital for Children NHS Foundation Trust,51.52221,-0.119924,10031.0,1136.0,100.0,1.0563982668649061,2.821254112252019,ST JOHN AMBULANCE,283.0,8.0
GUY,Guy's and St Thomas' NHS Foundation Trust,51.497959,-0.118905,27022.0,3260.0,111.0,0.30024128263441047,0.7290356006217157,ST JOHN AMBULANCE,197.0,27.0
HAD,Harrogate and District NHS Foundation Trust,53.993807,-1.517573,1489.0,457.0,41.0,0.16102227267195265,1.1417058428475486,FAMILY ACTION,17.0,5.0
HAM,Hampshire Hospitals NHS Foundation Trust,51.280633,-1.109918,1226.0,199.0,15.0,0.0,0.0,0,0.0,0.0
HAR,Hounslow and Richmond Community Healthcare NHS Trust,51.427449,-0.326599,14.0,1.0,1.0,0.0,0.0,0,0.0,0.0
HER,Hertfordshire Community NHS Trust,51.802697,-0.194002,772.0,98.0,24.0,0.9824205558428741,0.7772020725388601,THE FORWARD TRUST,6.0,1.0
HIL,The Hillingdon Hospitals NHS Foundation Trust,51.526077,-0.461175,774.0,81.0,2.0,0.6001893021979334,1.1627906976744187,PAUL STRICKLAND SCANNER CENTRE,9.0,1.0
HOD,University Hospital of Derby and Burton NHS Foundation Trust,52.910425,-1.513523,7695.0,946.0,92.0,0.15480488281669436,0.15594541910331383,NUFFIELD HEALTH,12.0,7.0
HOM,Homerton University Hospital NHS Foundation Trust,51.550634,-0.046099,210.0,52.0,6.0,0.05313932116566871,0.4761904761904762,HACKNEY COUNCIL FOR VOLUNTARY SERVICE,1.0,1.0
HPU,Hertfordshire Partnership University NHS Foundation Trust,51.76655,-0.217068,1187.0,123.0,27.0,4.385313659179505,8.845829823083404,LIBURY HALL,105.0,7.0
HUL,Hull University Teaching Hospitals NHS Trust,53.744113,-0.358146,4954.0,864.0,48.0,0.2374573586562581,0.16148566814695195,HULL AND EAST YORKSHIRE MEDICAL RESEARCH CENTRE,8.0,2.0
HUM,Humber Teaching NHS Foundation Trust,53.771971,-0.444478,205.0,33.0,8.0,2.6540958073819048,13.658536585365855,THE ALCOHOL AND DRUG SERVICE,28.0,2.0
IMP,Imperial College Healthcare NHS Trust,51.516969,-0.173569,24044.0,3979.0,116.0,0.20355540898115443,0.611379138246548,IMPERIAL HEALTH CHARITY,147.0,20.0
IOW,Isle Of Wight NHS Trust,50.710843,-1.30133,2800.0,275.0,77.0,0.30228696041012026,0.7857142857142858,THE RICHMOND FELLOWSHIP,22.0,6.0
KAM,Kent and Medway NHS and Social Care Partnership Trust,51.273212,0.485699,476.0,68.0,13.0,0.17521036961547326,0.6302521008403361,EAST KENT RAPE CRISIS CENTRE,3.0,1.0
KGH,Kettering General Hospital NHS Foundation Trust,52.402783,-0.741293,2300.0,275.0,24.0,0.04502982373582167,0.08695652173913043,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST GENERAL CHARITABLE FUND,2.0,2.0
KIN,King's College Hospital NHS Foundation Trust,51.468077,-0.093916,21343.0,3266.0,80.0,1.0276962127957048,1.414983835449562,THE FETAL MEDICINE FOUNDATION,302.0,19.0
KNG,Kingston Hospital NHS Foundation Trust,51.414826,-0.282601,2434.0,350.0,57.0,0.06163857721863752,0.2875924404272802,THE NEW VICTORIA HOSPITAL LIMITED,7.0,1.0
LAD,Luton and Dunstable University Hospital NHS Foundation Trust,51.894152,-0.474405,1249.0,130.0,25.0,0.0,0.0,0,0.0,0.0
LAG,Lewisham and Greenwich NHS Trust,51.454329,-0.017051,6769.0,907.0,70.0,0.0766597046430984,0.2068252326783868,THE FETAL MEDICINE FOUNDATION,14.0,3.0
LAS,London Ambulance Service NHS Trust,51.500174,-0.109031,6467.0,512.0,111.0,1.94189431452402,2.953456007422298,ST JOHN AMBULANCE,191.0,4.0
LAY,Leeds and York Partnership NHS Foundation Trust,53.796822,-1.426439,549.0,79.0,32.0,5.547935518028208,10.746812386156648,CLINKS,59.0,9.0
LCH,Leeds Community Healthcare NHS Trust,53.814971,-1.568473,2601.0,267.0,18.0,3.4482476476876927,4.805843906189927,CLINKS,125.0,8.0
LEE,Leeds Teaching Hospitals NHS Trust,53.806869,-1.520359,16103.0,2462.0,73.0,0.12343270571327555,0.6210022977085016,ANTHONY NOLAN,100.0,6.0
LHC,Liverpool Heart and Chest NHS Foundation Trust,53.411151,-2.897989,3147.0,357.0,107.0,0.007830029850730408,0.03177629488401652,MERSEYSIDE YOUTH ASSOCIATION LIMITED,1.0,1.0
LIC,United Lincolnshire Hospitals NHS Trust,53.235327,-0.522797,8466.0,1178.0,109.0,0.050271210362211965,0.11811953697141507,ST BARNABAS HOSPICES SUSSEX LIMITED,10.0,2.0
LIN,Lincolnshire Community Health Services NHS Trust,53.226467,-0.52415,2668.0,237.0,47.0,0.509353141827288,0.9370314842578711,AGE UK LINCOLN AND SOUTH LINCOLNSHIRE,25.0,4.0
LIP,Lincolnshire Partnership NHS Foundation Trust,53.244029,-0.556905,734.0,68.0,49.0,3.6714094892430817,6.811989100817439,MENTAL HEALTH MATTERS,50.0,4.0
LIW,Liverpool Women's NHS Foundation Trust,53.398461,-2.960077,892.0,131.0,41.0,0.0,0.0,0,0.0,0.0
LNW,London North West University Healthcare NHS Trust,51.575407,-0.322037,1181.0,139.0,12.0,0.05711344054098864,0.2540220152413209,NORTHWICK PARK CARDIAC RESEARCH CHARITY,3.0,1.0
LSC,Lancashire & South Cumbria NHS Foundation Trust,53.719431,-2.63894,4680.0,606.0,80.0,1.409903801605874,3.0555555555555554,THE RICHMOND FELLOWSHIP,143.0,14.0
LTH,Lancashire Teaching Hospitals NHS Foundation Trust,53.791521,-2.706842,6939.0,916.0,71.0,0.051882703609505317,0.21616947686986598,THE RENAL ASSOCIATION,15.0,5.0
LUH,Liverpool University Hospitals NHS Foundation Trust,53.409506,-2.964809,11037.0,1577.0,109.0,0.44905801615304053,1.3500045302165444,LIVERPOOL SCHOOL OF TROPICAL MEDICINE,149.0,9.0
MAN,Manchester University NHS Foundation Trust,53.462436,-2.227711,8792.0,2083.0,47.0,0.3017230313586491,1.6492265696087354,COMMUNITY INTEGRATED CARE,145.0,12.0
MAT,Maidstone and Tunbridge Wells NHS Trust,51.273662,0.483974,8347.0,871.0,113.0,0.47545392976831136,0.6828800766742542,HORDER HEALTHCARE,57.0,6.0
MED,Medway NHS Foundation Trust,51.379862,0.542062,2572.0,240.0,60.0,0.47536184528783765,0.583203732503888,THE FETAL MEDICINE FOUNDATION,15.0,4.0
MER,Mersey Care NHS Foundation Trust,53.424035,-2.826417,4659.0,1094.0,113.0,0.651597293999815,3.326894183301138,POHWER,155.0,22.0
MES,Mid Essex Hospital Services NHS Trust,51.774654,0.465993,6237.0,755.0,113.0,0.007940466353514525,0.0481000481000481,THE BRITISH RED CROSS SOCIETY,3.0,1.0
MIN,Mid Cheshire Hospitals NHS Foundation Trust,53.117685,-2.475863,3206.0,298.0,72.0,0.18581106379378767,0.37429819089207733,THE BRITISH RED CROSS SOCIETY,12.0,2.0
MIP,Midlands Partnership NHS Foundation Trust,52.810605,-2.109085,1176.0,93.0,17.0,5.018814924189908,6.122448979591836,THE OASIS PARTNERSHIP UK,72.0,11.0
MKU,Milton Keynes University Hospital NHS Foundation Trust,52.026384,-0.73576,435.0,26.0,16.0,0.0,0.0,0,0.0,0.0
MOO,Moorfields Eye Hospital NHS Foundation Trust,51.527246,-0.089889,3777.0,249.0,28.0,0.07834750157626534,0.18533227429176596,THE ROYAL SOCIETY OF MEDICINE,7.0,3.0
MYO,Mid Yorkshire Hospitals NHS Trust,53.692418,-1.488555,3971.0,541.0,42.0,0.04118703949994796,0.12591286829513976,PATH YORKSHIRE LIMITED,5.0,3.0
NAN,Norfolk and Norwich University Hospitals NHS Foundation Trust,52.617567,1.221195,7183.0,1056.0,25.0,0.35185648318085355,0.20882639565641095,QI PARTNERS,15.0,5.0
NAS,Norfolk and Suffolk NHS Foundation Trust,52.659531,1.250872,3003.0,254.0,90.0,11.561093674313911,11.888111888111888,THE MATTHEW PROJECT,357.0,24.0
NBR,North Bristol NHS Trust,51.494806,-2.591016,7180.0,1250.0,62.0,0.5780193059381895,1.532033426183844,LEONARD CHESHIRE DISABILITY,110.0,10.0
NCI,North Cumbria Integrated Care NHS Foundation Trust,54.667364,-2.753558,1729.0,331.0,41.0,0.318422108327554,0.578368999421631,BARNARDOS,10.0,4.0
NDE,Northern Devon Healthcare NHS Trust,51.092169,-4.050431,1039.0,86.0,28.0,0.09925775557853302,0.28873917228103946,MARIE CURIE,3.0,2.0
NEA,North East Ambulance Service NHS Foundation Trust,54.969713,-1.712365,1705.0,107.0,86.0,9.245400757994856,9.853372434017595,THE BRITISH RED CROSS SOCIETY,168.0,2.0
NEL,North East London NHS Foundation Trust,51.518578,0.171162,5763.0,653.0,91.0,0.38613391197875946,0.9196598993579732,INSTITUTE OF HEALTH VISITING,53.0,10.0
NEW,The Newcastle Upon Tyne Hospitals NHS Foundation Trust,55.002783,-1.593392,1913.0,303.0,11.0,1.513084297671534,2.509147935180345,NUFFIELD HEALTH,48.0,8.0
NGH,Northampton General Hospital NHS Trust,52.236068,-0.883829,1979.0,132.0,37.0,0.0,0.0,0,0.0,0.0
NMU,North Middlesex University Hospital NHS Trust,51.613094,-0.07375,4924.0,736.0,90.0,0.3353144805284273,0.5686433793663688,NORTH LONDON HOSPICE,28.0,2.0
NOR,Northamptonshire Healthcare NHS Foundation Trust,52.3941,-0.7222,2056.0,179.0,58.0,4.984376698945056,8.949416342412452,PHOENIX HOUSE,184.0,8.0
NOT,Nottinghamshire Healthcare NHS Foundation Trust,52.979272,-1.12643,4344.0,306.0,69.0,7.772180416873059,7.711786372007366,FAMILY ACTION,335.0,14.0
NSC,North Staffordshire Combined Healthcare NHS Trust,52.96839,-2.167808,219.0,24.0,10.0,1.8744873192699303,3.1963470319634704,WE ARE WITH YOU,7.0,1.0
NTH,North Tees and Hartlepool NHS Foundation Trust,54.582857,-1.347581,11288.0,1054.0,49.0,0.043430064351543236,0.10630758327427356,MARIE CURIE,12.0,4.0
NUH,Nottingham University Hospitals NHS Trust,52.991254,-1.158424,5937.0,1036.0,31.0,0.06953782180096496,0.42108809162876876,No Match,25.0,7.0
NWA,North West Ambulance Service NHS Trust,53.579021,-2.475803,705.0,56.0,16.0,2.53499587527331,3.2624113475177303,ST JOHN AMBULANCE,23.0,2.0
NWB,North West Boroughs Healthcare NHS Foundation Trust,53.429516,-2.606862,977.0,86.0,42.0,0.7515435942096577,1.3306038894575232,SELF HELP SERVICES,13.0,3.0
NWE,North West Anglia NHS Foundation Trust,52.583921,-0.279386,3508.0,551.0,1.0,0.040706427504493714,0.14253135689851767,SUE RYDER,5.0,4.0
OXL,Oxleas NHS Foundation Trust,51.434795,0.174741,1038.0,148.0,19.0,2.3633404265223756,4.720616570327553,CHANGE GROW LIVE,49.0,8.0
PAL,The Princess Alexandra Hospital NHS Trust,51.771529,0.085457,2930.0,221.0,54.0,0.5444215952201827,1.2627986348122866,THE HARLOW HEALTH CENTRES TRUST LIMITED,37.0,3.0
PEC,Pennine Care NHS Foundation Trust,53.485827,-2.099981,577.0,90.0,14.0,0.47435375633303356,0.8665511265164645,CHURCH OF ENGLAND CHILDRENS SOCIETY,5.0,3.0
PEN,Pennine Acute Hospitals NHS Trust,53.517882,-2.229502,967.0,266.0,9.0,0.1015470318988219,0.7238883143743536,COMMUNITY INTEGRATED CARE,7.0,1.0
POO,Poole Hospital NHS Foundation Trust,50.721987,-1.973117,3100.0,232.0,62.0,0.41048851185903346,0.8064516129032258,THE BRITISH RED CROSS SOCIETY,25.0,3.0
POR,Portsmouth Hospitals NHS Trust,50.850297,-1.069932,2810.0,383.0,33.0,0.12143593811054972,0.4626334519572953,THE ELIZABETH FOUNDATION,13.0,2.0
QEH,"The Queen Elizabeth Hospital, King's Lynn. NHS Foundation Trust",52.75663,0.446694,600.0,44.0,13.0,0.0,0.0,0,0.0,0.0
QEV,Queen Victoria Hospital NHS Foundation Trust,51.135073,-0.0029,60.0,3.0,1.0,0.0,0.0,0,0.0,0.0
RBE,Royal Berkshire NHS Foundation Trust,51.451022,-0.95933,1045.0,104.0,4.0,0.0,0.0,0,0.0,0.0
RBH,Royal Brompton and Harefield NHS Foundation Trust,51.489743,-0.170855,5839.0,726.0,73.0,0.2649637397657906,0.7535536907004624,ROYAL BROMPTON AND HAREFIELD HOSPITALS CHARITY,44.0,2.0
RCH,Royal Cornwall Hospitals NHS Trust,50.266686,-5.091464,4579.0,522.0,57.0,0.038664249015424174,0.1310329766324525,THE ROYAL COLLEGE OF PHYSICIANS OF LONDON,6.0,4.0
RDE,Royal Devon and Exeter NHS Foundation Trust,50.716703,-3.50668,3315.0,236.0,39.0,0.32312792145113606,0.8144796380090499,NUFFIELD HEALTH,27.0,5.0
RDS,Rotherham Doncaster and South Humber NHS Foundation Trust,53.497488,-1.146558,1638.0,135.0,84.0,4.027755121124871,6.227106227106227,THE ALCOHOL AND DRUG SERVICE,102.0,10.0
RFL,Royal Free London NHS Foundation Trust,51.553224,-0.165324,1499.0,326.0,2.0,1.5386883414111203,0.8005336891260841,THE ROYAL FREE CHARITY,12.0,2.0
RJA,Robert Jones and Agnes Hunt Orthopaedic and District Hospital NHS Trust,52.884212,-3.032685,1873.0,172.0,100.0,0.18382905877025577,0.32034169781099836,HEALTHCARE QUALITY IMPROVEMENT PARTNERSHIP,6.0,1.0
RNO,Royal National Orthopaedic Hospital NHS Trust,51.632566,-0.310435,2162.0,266.0,86.0,0.5477259668065869,1.2950971322849214,COBALT UNIT APPEAL FUND,28.0,5.0
ROB,The Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust,50.747482,-1.82052,1239.0,124.0,21.0,0.27185139702762523,0.8071025020177561,THE BOURNEMOUTH HEALTHCARE TRUST,10.0,2.0
ROM,The Royal Marsden NHS Foundation Trust,51.490561,-0.172565,1112.0,150.0,10.0,0.8207379466741436,2.877697841726619,ANTHONY NOLAN,32.0,6.0
ROT,The Rotherham NHS Foundation Trust,53.413972,-1.34288,598.0,40.0,15.0,0.36609487934550045,0.6688963210702341,YORKSHIRE MESMAC,4.0,1.0
ROW,The Royal Wolverhampton NHS Trust,52.599722,-2.095555,11737.0,1435.0,120.0,0.29145107077664595,0.6816051801993696,NUFFIELD HEALTH,80.0,6.0
ROY,Royal Surrey NHS Foundation Trust,51.241016,-0.607463,224.0,36.0,6.0,0.336434113559629,0.8928571428571428,NUFFIELD HEALTH,2.0,1.0
RPH,Royal Papworth Hospital NHS Foundation Trust,52.173522,0.136046,1868.0,275.0,47.0,1.1010810287332136,3.907922912205567,NUFFIELD HEALTH,73.0,3.0
RUH,Royal United Hospitals Bath NHS Foundation Trust,51.391665,-2.391218,3783.0,339.0,103.0,0.7305944034655868,1.5331747290510176,COBALT HEALTH,58.0,3.0
SAI,Salisbury NHS Foundation Trust,51.043946,-1.789823,2383.0,172.0,116.0,0.6890039694558738,1.5526647083508183,COBALT HEALTH,37.0,2.0
SAL,Salford Royal NHS Foundation Trust,53.487545,-2.323424,8959.0,1507.0,67.0,0.06746446647840192,0.24556312088402726,ST ANNS HOSPICE,22.0,9.0
SAO,Southport and Ormskirk Hospital NHS Trust,53.63357,-2.97882,1260.0,162.0,22.0,0.45585604458066803,2.301587301587302,REVITALISE RESPITE HOLIDAYS,29.0,1.0
SAS,Surrey and Sussex Healthcare NHS Trust,51.219194,-0.162009,2308.0,192.0,55.0,0.11553786882469647,0.30329289428076256,THE DOROTHY KERIN TRUST,7.0,2.0
SAT,Shrewsbury and Telford Hospital NHS Trust,52.709274,-2.793689,2749.0,181.0,48.0,0.24271640946228776,0.5092761004001455,SEVERN HOSPICE LIMITED,14.0,3.0
SEC,South East Coast Ambulance Service NHS Foundation Trust,51.133135,-0.168202,2278.0,194.0,62.0,2.3800863534560657,4.697102721685689,ST JOHN AMBULANCE,107.0,4.0
SFH,Sherwood Forest Hospitals NHS Foundation Trust,53.134573,-1.233579,1526.0,258.0,3.0,0.0,0.0,0,0.0,0.0
SGU,St George's University Hospitals NHS Foundation Trust,51.426682,-0.175694,5357.0,616.0,53.0,0.11903874565938721,0.3360089602389397,ANTHONY NOLAN,18.0,4.0
SHE,Sheffield Teaching Hospitals NHS Foundation Trust,53.409582,-1.460587,2804.0,507.0,1.0,0.05735499943209467,0.21398002853067047,ST LUKES HOSPICE BASILDON AND DISTRICT LIMITED,6.0,4.0
SHK,St Helens and Knowsley Hospitals NHS Trust,53.420469,-2.784954,2211.0,516.0,51.0,0.04471717622473524,0.18091361374943465,TERENCE HIGGINS TRUST,4.0,2.0
SHR,Shropshire Community Health NHS Trust,52.705844,-2.789366,1062.0,60.0,101.0,1.2484243480574482,3.389830508474576,NUFFIELD HEALTH,36.0,2.0
SLA,South London and Maudsley NHS Foundation Trust,51.468738,-0.091441,583.0,86.0,1.0,2.699979485079309,6.34648370497427,PENROSE OPTIONS,37.0,9.0
SOM,Somerset Foundation Trust,51.148585,-2.994789,576.0,83.0,10.0,0.8254712108398078,3.298611111111111,COBALT HEALTH,19.0,5.0
SOU,South Western Ambulance Service NHS Foundation Trust,50.720169,-3.464744,4274.0,402.0,108.0,0.0550712796260865,0.16378100140383717,ST JOHN AMBULANCE,7.0,4.0
