Company Name,Value (%),Count (%),Rank,Year
ARRIVA TRANSPORT SOLUTIONS LIMITED,1.1746621666991155,1.424792593483227,8,2015
NSL LIMITED,0.9946376435181348,1.3165804977756403,9,2015
CARE UK (URGENT CARE) LIMITED,1.6090274094734798,1.2564626668269807,10,2015
NHS PROPERTY SERVICES LIMITED,2.7090138208800263,7.108549471661864,1,2016
SPIRE HEALTHCARE LIMITED,5.929859926245959,5.011207172590458,2,2016
BMI HEALTHCARE LIMITED,6.580652218486847,4.621624506350732,3,2016
CARE UK CLINICAL SERVICES LIMITED,3.606473931256609,2.2574447646493754,4,2016
NUFFIELD HEALTH,2.5853948478191024,2.0172910662824206,5,2016
INTEGRATED CARE 24,2.0084290085306122,1.563667413811506,6,2016
BUPA CARE HOMES (AKW) LIMITED,0.8141214160774704,1.366207706265343,7,2016
COMMUNITY HEALTH PARTNERSHIPS LIMITED,1.8194056295941503,1.2648094780659622,8,2016
KIER BUSINESS SERVICES LIMITED,1.0509773131579432,1.1580745010139823,9,2016
CITY HEALTH CARE PARTNERSHIP CIC,2.355382788259954,1.0246557796990072,10,2016
NHS PROPERTY SERVICES LIMITED,3.1933526164918264,6.736697876227449,1,2017
BMI HEALTHCARE LIMITED,5.693983617011456,4.736241150947705,2,2017
SPIRE HEALTHCARE LIMITED,5.036280915607927,4.133363781685316,3,2017
CARE UK CLINICAL SERVICES LIMITED,3.1346638453896585,1.8817081525462434,4,2017
ADAM HTT LIMITED,1.5387508549026483,1.7720940854076273,5,2017
COMMUNITY HEALTH PARTNERSHIPS LIMITED,1.8622325703291032,1.7081525462434344,6,2017
NUFFIELD HEALTH,1.9479044376223897,1.5848367207124914,7,2017
BUPA CARE HOMES (AKW) LIMITED,0.8725899041675342,1.5026261703585293,8,2017
MILLBROOK HEALTHCARE LTD,0.6773913159284121,1.3290705640557205,9,2017
INTEGRATED CARE 24,1.607449116145158,1.2240237497145467,10,2017
BMI HEALTHCARE LIMITED,4.3454075185151835,4.388618695668824,1,2018
NHS PROPERTY SERVICES LIMITED,2.3447915623383495,3.9826906138704863,2,2018
SPIRE HEALTHCARE LIMITED,4.431070757099902,3.2550836747979934,3,2018
COMMUNITY HEALTH PARTNERSHIPS LIMITED,1.8406040249819524,2.075594531459426,4,2018
CARE UK CLINICAL SERVICES LIMITED,3.060770747752429,1.953050204878796,5,2018
ADAM HTT LIMITED,1.7117356703189595,1.9492206946731514,6,2018
INTEGRATED CARE 24,1.5121496814436497,1.2024662045724352,7,2018
NUFFIELD HEALTH,1.4353984109902418,1.1833186535442117,8,2018
CITY HEALTH CARE PARTNERSHIP CIC,3.1968825473577227,1.1297055106651859,9,2018
ELYSIUM HEALTHCARE LIMITED,0.38851659995646076,1.0186497147014897,10,2018
BMI HEALTHCARE LIMITED,4.463081857654824,4.141449348838683,1,2019
NHS PROPERTY SERVICES LIMITED,1.4923949189502714,3.3556196330682213,2,2019
SPIRE HEALTHCARE LIMITED,3.912199457835229,3.11480084920308,3,2019
COMMUNITY HEALTH PARTNERSHIPS LIMITED,1.9436681528109032,2.585633258341519,4,2019
CARE UK CLINICAL SERVICES LIMITED,2.700159734643329,1.7332615101872684,5,2019
ADAM HTT LIMITED,1.1549912426174034,1.4575873760258564,6,2019
NUFFIELD HEALTH,1.8087074772551628,1.2009252511169557,7,2019
SPAMEDICA LTD,0.8382105495076466,1.1438892233594222,8,2019
SPECSAVERS HEARCARE LIMITED,0.40349829834568346,1.1090338730631515,9,2019
INTEGRATED CARE 24,1.4611981015713726,1.1090338730631515,10,2019
