NHS Abrev,Company Value,Company Count,Count (%),Value (%),Rank,Year,NHS Trust
EAS,31203098.0,475,78.125,59.91782663518861,7,2014,Epsom and St Helier University Hospitals NHS Trust
NMU,38464794.0,287,76.53333333333333,75.9378533046548,8,2014,North Middlesex University Hospital NHS Trust
KIN,285504240.0,2005,76.4391917651544,68.6540006188916,9,2014,King's College Hospital NHS Foundation Trust
FHF,34194921.0,419,76.18181818181819,66.13574021179113,10,2014,Frimley Health NHS Foundation Trust
NTH,199179393.0,2409,89.58720714020082,88.3862971498767,1,2015,North Tees and Hartlepool NHS Foundation Trust
BAW,72643369.0,927,86.3932898415657,87.67004971194713,2,2015,University Hospitals Bristol and Weston NHS Foundation Trust
YAS,40823456.0,291,83.86167146974063,90.77743333304426,3,2015,Yorkshire Ambulance Service NHS Trust
LEE,205500044.0,2358,81.19834710743802,61.72132713235261,4,2015,Leeds Teaching Hospitals NHS Trust
KNG,41306837.0,321,79.8507462686567,75.47221801275916,5,2015,Kingston Hospital NHS Foundation Trust
UHP,76731569.0,814,79.33723196881091,71.03980774445463,6,2015,University Hospitals Plymouth NHS Trust
MES,43363836.0,529,78.48664688427299,78.05457259973902,7,2015,Mid Essex Hospital Services NHS Trust
BRD,19765608.0,236,78.1456953642384,83.17496140783673,8,2015,Bradford District NHS Foundation Trust
LAG,68845502.0,622,77.26708074534162,61.4243787098098,9,2015,Lewisham and Greenwich NHS Trust
TAM,17911444.0,217,76.67844522968198,73.6437485732931,10,2015,Tameside Hospital NHS Foundation Trust
NTH,420653722.0,4369,92.60279779567614,92.30682978674862,1,2016,North Tees and Hartlepool NHS Foundation Trust
YAS,43224269.0,325,85.75197889182058,93.8313948202718,2,2016,Yorkshire Ambulance Service NHS Trust
BAW,60858852.0,774,85.52486187845304,83.28771468117905,3,2016,University Hospitals Bristol and Weston NHS Foundation Trust
CRO,65054132.0,565,82.96622613803231,81.47053835493266,4,2016,Croydon Health Services NHS Trust
IMP,290108280.0,2149,81.18624858330186,58.80702737906911,5,2016,Imperial College Healthcare NHS Trust
LEE,176071909.0,2117,80.06807866868382,55.97935341556053,6,2016,Leeds Teaching Hospitals NHS Trust
LAS,40872256.0,599,77.39018087855297,72.06711241309445,7,2016,London Ambulance Service NHS Trust
STE,116947906.0,821,76.87265917602997,62.07608974801683,8,2016,South Tees Hospitals NHS Foundation Trust
LAG,78601995.0,727,76.52631578947368,53.67348571905319,9,2016,Lewisham and Greenwich NHS Trust
EAS,56936641.0,897,76.40545144804088,38.63561349037889,10,2016,Epsom and St Helier University Hospitals NHS Trust
BAW,31072348.0,426,87.65432098765432,82.78492707763874,1,2017,University Hospitals Bristol and Weston NHS Foundation Trust
NTH,95014504.0,1125,87.07430340557275,84.21116258444171,2,2017,North Tees and Hartlepool NHS Foundation Trust
CRO,59189977.0,485,85.99290780141844,88.93128280563086,3,2017,Croydon Health Services NHS Trust
YAS,33016978.0,169,83.2512315270936,94.20896530855333,4,2017,Yorkshire Ambulance Service NHS Trust
BTH,28944279.0,243,82.37288135593221,82.35337817163719,5,2017,Blackpool Teaching Hospitals NHS Foundation Trust
STE,130578389.0,943,80.25531914893617,48.64711117089148,6,2017,South Tees Hospitals NHS Foundation Trust
IMP,318526215.0,2022,79.7947908445146,56.5425803431588,7,2017,Imperial College Healthcare NHS Trust
STO,39810538.0,496,79.7427652733119,43.49117433869674,8,2017,Stockport NHS Foundation Trust
LEE,175644516.0,2132,78.8170055452865,45.684154922513706,9,2017,Leeds Teaching Hospitals NHS Trust
BUC,76874091.0,661,77.76470588235294,47.971847671460786,10,2017,Buckinghamshire Healthcare NHS Trust
NTH,155159630.0,1875,89.6700143472023,83.81005049540576,1,2018,North Tees and Hartlepool NHS Foundation Trust
BAW,67545215.0,826,85.7736240913811,86.10135552382575,2,2018,University Hospitals Bristol and Weston NHS Foundation Trust
CRO,65587703.0,575,85.56547619047619,87.61555800093916,3,2018,Croydon Health Services NHS Trust
AIR,34813637.0,163,84.4559585492228,92.5415009657495,4,2018,Airedale NHS Foundation Trust
YDH,45681695.0,162,82.6530612244898,93.37641748339043,5,2018,Yeovil District Hospital NHS Foundation Trust
CLC,29132606.0,322,81.93384223918575,85.9561688717384,6,2018,Central London Community Healthcare NHS Trust
KNG,46841576.0,340,80.0,80.78212540037242,7,2018,Kingston Hospital NHS Foundation Trust
STE,134022442.0,877,79.58257713248639,49.71603008166386,8,2018,South Tees Hospitals NHS Foundation Trust
LEE,191286256.0,2330,79.2247534852091,45.149275989491336,9,2018,Leeds Teaching Hospitals NHS Trust
YAS,43392170.0,256,78.76923076923077,91.09934042673173,10,2018,Yorkshire Ambulance Service NHS Trust
AIR,48631300.0,216,93.91304347826087,97.53856390809389,1,2019,Airedale NHS Foundation Trust
EMA,20466813.0,288,88.34355828220859,92.98519833123959,2,2019,East Midlands Ambulance Service NHS Trust
YAS,35424819.0,350,85.57457212713936,75.81167918858725,3,2019,Yorkshire Ambulance Service NHS Trust
ENH,36496913.0,405,85.44303797468355,78.71693611739936,4,2019,East and North Hertfordshire NHS Trust
CLC,28719515.0,352,82.43559718969556,83.90418307687737,5,2019,Central London Community Healthcare NHS Trust
KIN,410513195.0,1905,81.51476251604622,75.70466234998602,6,2019,King's College Hospital NHS Foundation Trust
BTS,398525084.0,1802,81.20775123929698,82.78609590648523,7,2019,Barts Health NHS Trust
BAW,74822790.0,967,81.1241610738255,70.58101631628489,8,2019,University Hospitals Bristol and Weston NHS Foundation Trust
EAS,113360185.0,1072,81.02796674225246,53.74350620706379,9,2019,Epsom and St Helier University Hospitals NHS Trust
BHR,160325593.0,744,80.9575625680087,77.8855204598008,10,2019,"Barking, Havering and Redbridge University Hospitals NHS Trust"
