Charity Name,Count (%),Value (%),Registration Number,Rank,Year
ALTERNATIVE FUTURES GROUP  LIMITED,2.0812009553053565,2.31684154952588,1008587,9,2015
COMMUNITY INTEGRATED CARE,1.9106107130672128,0.9911425796975534,519996,10,2015
NUFFIELD HEALTH,13.77551020408163,20.46904336060999,205533,1,2016
MARIE STOPES INTERNATIONAL,4.737609329446064,2.1671888303912668,265543,2,2016
BPAS,3.498542274052478,1.8345424525661502,289145,3,2016
ALZHEIMER'S SOCIETY,2.879008746355685,1.7058032707327437,296645,4,2016
THE HORDER CENTRE,2.2230320699708455,3.3456770720026405,1046624,5,2016
MARIE CURIE,1.639941690962099,2.8167365619663642,207994,6,2016
RETHINK,1.6034985422740524,0.7650757808268412,271028,7,2016
ALTERNATIVE FUTURES GROUP  LIMITED,1.5670553935860059,1.5005653489135558,1008587,8,2016
THE RICHMOND FELLOWSHIP,1.530612244897959,1.6195534675455445,200453,9,2016
ST ANNE'S COMMUNITY SERVICES,1.348396501457726,1.8127761332969794,502224,10,2016
NUFFIELD HEALTH,11.853374443302501,18.717206203162213,205533,1,2017
MARIE STOPES INTERNATIONAL,5.378554299417608,2.5484842882688814,265543,2,2017
BPAS,3.597122302158273,1.7600205571112522,289145,3,2017
ALZHEIMER'S SOCIETY,2.5693730729701953,1.4951438597732938,296645,4,2017
RETHINK,2.5351147653305928,1.1748844131521736,271028,5,2017
ST BARNABAS HOSPICE,2.36382322713258,2.8367963756917476,1053814,6,2017
MARIE CURIE,2.0212401507365536,3.6171297991462223,207994,7,2017
THE RICHMOND FELLOWSHIP,2.0212401507365536,1.6221952645622637,200453,8,2017
THE HORDER CENTRE,1.884206920178143,3.064024703995826,1046624,9,2017
ST ANDREW'S HEALTHCARE,1.7471736896197325,0.6672319731245623,1104951,10,2017
NUFFIELD HEALTH,9.069562665101262,14.083437341210656,205533,1,2018
MARIE STOPES INTERNATIONAL,5.429997064866451,2.8881408692203268,265543,2,2018
BPAS,4.608159671265042,2.8584590791268667,289145,3,2018
MARIE CURIE,2.9057822130906956,3.77733366136281,207994,4,2018
CORNWALL CARE LIMITED,2.5535661872615205,1.7571911135375873,1053486,5,2018
ST BARNABAS HOSPICE,2.2600528324038747,3.110013099760232,1053814,6,2018
ST ANDREW'S HEALTHCARE,2.201350161432345,0.9671091024316439,1104951,7,2018
ALZHEIMER'S SOCIETY,1.9078368065746993,0.9952893619854162,296645,8,2018
RETHINK,1.5849721162312886,0.7520640703237532,271028,9,2018
ALTERNATIVE FUTURES GROUP  LIMITED,1.4088641033167009,1.279579795194125,1008587,10,2018
NUFFIELD HEALTH,9.134615384615383,17.098990494532472,205533,1,2019
BPAS,4.6875,3.3137213894098725,289145,2,2019
MARIE STOPES INTERNATIONAL,4.4951923076923075,2.4067055403163424,265543,3,2019
ST ANDREW'S HEALTHCARE,3.4134615384615383,0.8496616241245435,1104951,4,2019
MARIE CURIE,3.197115384615384,3.5433243899894786,207994,5,2019
CORNWALL CARE LIMITED,2.5961538461538463,1.6235969229015688,1053486,6,2019
ST BARNABAS HOSPICE,2.5,2.672712604893956,1053814,7,2019
ALZHEIMER'S SOCIETY,1.6826923076923077,0.7018536551157428,296645,8,2019
LEONARD CHESHIRE DISABILITY,1.4423076923076923,0.9632135462098625,218186,9,2019
RETHINK,1.3942307692307694,0.9962376190494768,271028,10,2019
