NHS Abrev,trust name,Latitude,Longitude,Count,Value (m),Number of Datasets,Value (%),Count (%),Highest Value Charity Recipient,Number Payments to VCS,Number of Charity Suppliers
CHR,The Christie NHS Foundation Trust,53.429767,-2.230125,3757.0,696.0,68.0,0.18711044874315275,1.0380622837370241,THE ANTHONY NOLAN BONE MARROW TRUST,39.0,2.0
CLA,The Clatterbridge Cancer Centre NHS Foundation Trust,53.332884,-3.024137,1355.0,346.0,35.0,0.053463788109780794,0.44280442804428044,UNIVERSITY OF CHESTER,6.0,2.0
CLC,Central London Community Healthcare NHS Trust,51.522838,-0.151539,1621.0,162.0,53.0,7.252535642888977,5.6138186304750155,KENSINGTON AND CHELSEA DISTRICT NURSING TRUST,91.0,12.0
CNT,Cumbria Northumberland Tyne and Wear NHS Foundation Trust,55.006488,-1.6331,44.0,3.0,1.0,5.898063011465073,9.090909090909092,CHANGING LIVES,4.0,2.0
CNW,Central and North West London NHS Foundation Trust,51.524345,-0.142166,4632.0,864.0,14.0,1.459354122078923,4.66321243523316,PHOENIX HOUSE,216.0,22.0
COP,Cornwall Partnership NHS Foundation Trust,50.47189,-4.741628,2054.0,186.0,1.0,0.7078742942509594,1.3631937682570594,VOLUNTEER CORNWALL,28.0,6.0
COV,University Hospitals Coventry and Warwickshire NHS Trust,52.421211,-1.438403,10439.0,1784.0,119.0,0.10071584437679505,0.431075773541527,AGE UK COVENTRY,45.0,11.0
CRO,Croydon Health Services NHS Trust,51.389128,-0.108758,4285.0,467.0,78.0,0.5121010354806806,0.7001166861143524,AGE UK CROYDON,30.0,6.0
CUH,Cambridge University Hospitals NHS Foundation Trust,52.173741,0.139114,11489.0,1515.0,41.0,2.9496588489661844,5.692401427452346,EPIC,654.0,24.0
CWP,Cheshire and Wirral Partnership NHS Foundation Trust,53.211544,-2.898825,121.0,12.0,7.0,0.0,0.0,0,0.0,0.0
DAD,County Durham and Darlington NHS Foundation Trust,54.530374,-1.563733,214.0,99.0,11.0,0.07062067825740384,0.9345794392523363,PIONEERING CARE PARTNERSHIP,2.0,2.0
DAW,Dudley and Walsall Mental Health Partnership NHS Trust,52.48177,-2.117851,1612.0,186.0,112.0,0.06441013328126251,0.24813895781637718,RECALL LIMITED,4.0,3.0
DCH,Derbyshire Community Health Services NHS Foundation Trust,53.23967,-1.479477,4646.0,435.0,118.0,0.1633767464292935,0.27981058975462764,SOUTH YORKSHIRE HOUSING ASSOCIATION LIMITED,13.0,4.0
DGT,Dartford and Gravesham NHS Trust,51.434952,0.258645,2029.0,279.0,38.0,0.0,0.0,0,0.0,0.0
DHC,Derbyshire Healthcare NHS Foundation Trust,52.91807,-1.512351,1561.0,128.0,65.0,20.304300635195585,19.987187700192184,PHOENIX HOUSE,312.0,11.0
DHU,Dorset Healthcare University NHS Foundation Trust,50.740073,-1.978038,4816.0,721.0,126.0,3.4365795611524232,7.059800664451828,EDP DRUG AND ALCOHOL SERVICES,340.0,5.0
DOR,Dorset County Hospital NHS Foundation Trust,50.71294,-2.446936,10.0,0.0,1.0,0.0,0.0,0,0.0,0.0
DPT,Devon Partnership NHS Trust,50.715395,-3.506298,647.0,44.0,28.0,4.000041591423487,5.564142194744977,ALZHEIMERS SOCIETY,36.0,4.0
EAS,Epsom and St Helier University Hospitals NHS Trust,51.380313,-0.183642,7027.0,927.0,71.0,0.10007815275628017,0.24192400740002845,ST KILDA TRUST,17.0,4.0
ECH,East Cheshire NHS Trust,53.262321,-2.141074,3123.0,298.0,82.0,0.3140614345875389,0.6083893691962856,BODY POSITIVE CHESHIRE AND NORTH WALES,19.0,4.0
ELF,East London NHS Foundation Trust,51.513297,-0.072085,5767.0,653.0,91.0,0.761365959150746,1.179122594069707,THE PRIORY,68.0,11.0
ELH,East Lancashire Hospitals NHS Trust,53.73556,-2.462716,3542.0,368.0,65.0,0.04830748042811764,0.1411631846414455,BRITISH HEART FOUNDATION,5.0,5.0
EMA,East Midlands Ambulance Service NHS Trust,52.98146,-1.238124,393.0,25.0,11.0,0.0,0.0,0,0.0,0.0
ENH,East and North Hertfordshire NHS Trust,51.924611,-0.212726,2319.0,233.0,32.0,1.1975661482152886,0.5605864596808969,PAUL STRICKLAND SCANNER CENTRE,13.0,3.0
EOE,East Of England Ambulance Service NHS Trust,52.07658,0.014173,1106.0,98.0,24.0,0.0,0.0,0,0.0,0.0
ESH,East Sussex Healthcare NHS Trust,50.88769,0.561978,2313.0,195.0,55.0,0.1525727323007121,0.38910505836575876,THE DOROTHY KERIN TRUST,9.0,3.0
FHF,Frimley Health NHS Foundation Trust,51.319666,-0.742029,7361.0,711.0,1.0,0.13043763249641396,0.27170221437304715,PRISM,20.0,8.0
GCS,Gloucestershire Hospitals NHS Foundation Trust,51.89212,-2.071883,7190.0,792.0,28.0,0.4662042786164355,1.2378303198887344,COBALT HEALTH,89.0,5.0
GEH,George Eliot Hospital NHS Trust,52.51258,-1.478439,3247.0,245.0,115.0,0.014559268613474109,0.030797659377887282,PHOENIX,1.0,1.0
GHC,Gloucestershire Health and Care NHS Foundation Trust,51.847073,-2.176389,585.0,43.0,23.0,1.0642530356949866,2.3931623931623935,ALZHEIMERS SOCIETY,14.0,6.0
GHF,Gateshead Health NHS Foundation Trust,54.93938,-1.580781,5987.0,702.0,8.0,0.14916404704474637,0.5678971104058794,LATATE LIMITED,34.0,2.0
GMM,Greater Manchester Mental Health NHS Foundation Trust,53.536749,-2.291465,2049.0,195.0,35.0,5.489936858479765,9.370424597364568,PHOENIX FUTURES,192.0,12.0
GOS,Great Ormond Street Hospital for Children NHS Foundation Trust,51.52221,-0.119924,10215.0,1151.0,100.0,1.0139087192135974,2.6529613313754283,ST JOHN AMBULANCE,271.0,7.0
GUY,Guy's and St Thomas' NHS Foundation Trust,51.497959,-0.118905,27064.0,3272.0,111.0,0.3233018558575219,0.7759385161099616,ST JOHN AMBULANCE,210.0,34.0
HAD,Harrogate and District NHS Foundation Trust,53.993807,-1.517573,1489.0,457.0,41.0,0.14090632953871535,1.0073875083948958,FAMILY ACTION,15.0,3.0
HAM,Hampshire Hospitals NHS Foundation Trust,51.280633,-1.109918,1232.0,199.0,15.0,0.0,0.0,0,0.0,0.0
HAR,Hounslow and Richmond Community Healthcare NHS Trust,51.427449,-0.326599,14.0,1.0,1.0,0.0,0.0,0,0.0,0.0
HER,Hertfordshire Community NHS Trust,51.802697,-0.194002,772.0,98.0,24.0,1.0936134216591322,0.9067357512953367,RAPT,7.0,2.0
HIL,The Hillingdon Hospitals NHS Foundation Trust,51.526077,-0.461175,774.0,81.0,2.0,0.6001893021979334,1.1627906976744187,THE PAUL STRICKLAND SCANNER CENTRE,9.0,1.0
HOD,University Hospital of Derby and Burton NHS Foundation Trust,52.910425,-1.513523,7758.0,949.0,92.0,0.21049862112516013,0.2964681618973962,NUFFIELD HEALTH,23.0,10.0
HOM,Homerton University Hospital NHS Foundation Trust,51.550634,-0.046099,210.0,52.0,6.0,0.0,0.0,0,0.0,0.0
HPU,Hertfordshire Partnership University NHS Foundation Trust,51.76655,-0.217068,1190.0,123.0,27.0,3.8961619624799946,7.899159663865546,LIBURY HALL,94.0,9.0
HUL,Hull University Teaching Hospitals NHS Trust,53.744113,-0.358146,4955.0,864.0,48.0,0.24064404750599588,0.18163471241170534,THE DAISY APPEAL,9.0,3.0
HUM,Humber Teaching NHS Foundation Trust,53.771971,-0.444478,205.0,33.0,8.0,2.6540958073819048,13.658536585365855,ALCOHOL AND DRUG SERVICES,28.0,3.0
IMP,Imperial College Healthcare NHS Trust,51.516969,-0.173569,24065.0,3980.0,116.0,0.31900089458897646,0.7770621234157491,INSIGHT,187.0,24.0
IOW,Isle Of Wight NHS Trust,50.710843,-1.30133,2801.0,275.0,77.0,0.39017858445878767,0.8211353088182792,THE RICHMOND FELLOWSHIP,23.0,6.0
KAM,Kent and Medway NHS and Social Care Partnership Trust,51.273212,0.485699,477.0,68.0,13.0,0.23328013477059945,0.8385744234800839,EAST KENT RAPE CRISIS CENTRE,4.0,2.0
KGH,Kettering General Hospital NHS Foundation Trust,52.402783,-0.741293,2300.0,275.0,24.0,0.04502982373582167,0.08695652173913043,KETTERING GENERAL HOSPITAL NHS TRUST GENERAL CHARITABLE FUND,2.0,2.0
KIN,King's College Hospital NHS Foundation Trust,51.468077,-0.093916,21420.0,3398.0,80.0,1.0031585332791708,1.4285714285714286,FETAL MEDICINE FOUNDATION,306.0,20.0
KNG,Kingston Hospital NHS Foundation Trust,51.414826,-0.282601,2436.0,351.0,57.0,0.06162242922306476,0.28735632183908044,THE NEW VICTORIA HOSPITAL LIMITED,7.0,1.0
LAD,Luton and Dunstable University Hospital NHS Foundation Trust,51.894152,-0.474405,1249.0,130.0,25.0,0.0,0.0,0,0.0,0.0
LAG,Lewisham and Greenwich NHS Trust,51.454329,-0.017051,6829.0,1044.0,70.0,0.061442931120470924,0.19036462146727193,FETAL MEDICINE FOUNDATION,13.0,2.0
LAS,London Ambulance Service NHS Trust,51.500174,-0.109031,6628.0,531.0,111.0,2.4100031543654166,3.6662643331321667,ST JOHN AMBULANCE,243.0,6.0
LAY,Leeds and York Partnership NHS Foundation Trust,53.796822,-1.426439,549.0,79.0,32.0,2.3594653435877873,5.100182149362477,ALZHEIMERS SOCIETY,28.0,10.0
LCH,Leeds Community Healthcare NHS Trust,53.814971,-1.568473,2601.0,267.0,18.0,2.118275292125563,2.4990388312187624,NORTHPOINT WELLBEING LIMITED,65.0,7.0
LEE,Leeds Teaching Hospitals NHS Trust,53.806869,-1.520359,16168.0,2565.0,73.0,0.23755147380038794,0.921573478476002,ASHRIDGE,149.0,9.0
LHC,Liverpool Heart and Chest NHS Foundation Trust,53.411151,-2.897989,3275.0,366.0,107.0,0.007639427136929684,0.03053435114503817,MERSEYSIDE YOUTH ASSOCIATION LIMITED,1.0,1.0
LIC,United Lincolnshire Hospitals NHS Trust,53.235327,-0.522797,8467.0,1178.0,109.0,0.28761689790079575,0.6141490492500296,LINCOLNSHIRE TEACHING PRIMARY CARE TRUST PRIMARY CARE GENERAL FUND,52.0,5.0
LIN,Lincolnshire Community Health Services NHS Trust,53.226467,-0.52415,2668.0,237.0,47.0,7.558875512007857,4.760119940029985,LINCOLNSHIRE TEACHING PRIMARY CARE TRUST PRIMARY CARE GENERAL FUND,127.0,5.0
LIP,Lincolnshire Partnership NHS Foundation Trust,53.244029,-0.556905,734.0,68.0,49.0,8.872594799814761,7.7656675749318795,LINCOLNSHIRE TEACHING PRIMARY CARE TRUST PRIMARY CARE GENERAL FUND,57.0,4.0
LIW,Liverpool Women's NHS Foundation Trust,53.398461,-2.960077,893.0,131.0,41.0,0.0,0.0,0,0.0,0.0
LNW,London North West University Healthcare NHS Trust,51.575407,-0.322037,1181.0,139.0,12.0,0.08300544229738696,0.3386960203217612,NORTHWICK PARK CARDIAC RESEARCH CHARITY,4.0,2.0
LSC,Lancashire & South Cumbria NHS Foundation Trust,53.719431,-2.63894,4691.0,608.0,80.0,3.973289306807369,5.713067576209763,THE PRIORY,268.0,18.0
LTH,Lancashire Teaching Hospitals NHS Foundation Trust,53.791521,-2.706842,6939.0,916.0,71.0,0.0349977394066906,0.14411298457991065,BABY BEAT APPEAL,10.0,4.0
LUH,Liverpool University Hospitals NHS Foundation Trust,53.409506,-2.964809,11042.0,1578.0,109.0,0.4632599176114154,1.3765622169896758,LIVERPOOL SCHOOL OF TROPICAL MEDICINE,152.0,13.0
MAN,Manchester University NHS Foundation Trust,53.462436,-2.227711,8794.0,2083.0,47.0,0.2940347213816782,1.6147373209006142,COMMUNITY INTEGRATED CARE,142.0,10.0
MAT,Maidstone and Tunbridge Wells NHS Trust,51.273662,0.483974,8353.0,871.0,113.0,0.3210797562670856,0.5147851071471328,HORDER HEALTHCARE,43.0,9.0
MED,Medway NHS Foundation Trust,51.379862,0.542062,2572.0,240.0,60.0,0.7952283324146948,0.8553654743390358,THE FETAL MEDICINE FOUNDATION,22.0,5.0
MER,Mersey Care NHS Foundation Trust,53.424035,-2.826417,4692.0,1095.0,113.0,0.6402728389468111,3.6658141517476555,BUSY BEES,172.0,19.0
MES,Mid Essex Hospital Services NHS Trust,51.774654,0.465993,6240.0,755.0,113.0,0.0,0.0,0,0.0,0.0
MIN,Mid Cheshire Hospitals NHS Foundation Trust,53.117685,-2.475863,3301.0,301.0,72.0,0.011585557420965821,0.030293850348379277,MARIE CURIE,1.0,1.0
MIP,Midlands Partnership NHS Foundation Trust,52.810605,-2.109085,1176.0,93.0,17.0,6.958675440414187,7.653061224489796,THE OASIS PARTNERSHIP UK,90.0,13.0
MKU,Milton Keynes University Hospital NHS Foundation Trust,52.026384,-0.73576,440.0,26.0,16.0,0.2796605562202362,0.22727272727272727,OASIS,1.0,1.0
MOO,Moorfields Eye Hospital NHS Foundation Trust,51.527246,-0.089889,3777.0,249.0,28.0,0.21235378684965855,0.3971405877680699,RECALL LIMITED,15.0,5.0
MYO,Mid Yorkshire Hospitals NHS Trust,53.692418,-1.488555,3973.0,541.0,42.0,0.04110701038379076,0.12584948401711551,PATH YORKSHIRE LIMITED,5.0,3.0
NAN,Norfolk and Norwich University Hospitals NHS Foundation Trust,52.617567,1.221195,7183.0,1056.0,25.0,0.42644545803933165,0.5847139078379507,QI PARTNERS,42.0,7.0
NAS,Norfolk and Suffolk NHS Foundation Trust,52.659531,1.250872,3011.0,255.0,90.0,6.971395157800747,7.937562271670541,THE MATTHEW PROJECT,239.0,25.0
NBR,North Bristol NHS Trust,51.494806,-2.591016,7216.0,1252.0,62.0,0.8430842056503104,1.870842572062084,BEVAN BRITTAN LIMITED LIABILITY PARTNERSHIP,135.0,12.0
NCI,North Cumbria Integrated Care NHS Foundation Trust,54.667364,-2.753558,1729.0,331.0,41.0,0.3002966616032627,0.5205320994794679,BARNARDOS,9.0,3.0
NDE,Northern Devon Healthcare NHS Trust,51.092169,-4.050431,1122.0,93.0,28.0,0.21693706200271676,0.53475935828877,MARIE CURIE,6.0,5.0
NEA,North East Ambulance Service NHS Foundation Trust,54.969713,-1.712365,1723.0,108.0,86.0,4.110095624030725,6.964596633778293,ST JOHN AMBULANCE,120.0,1.0
NEL,North East London NHS Foundation Trust,51.518578,0.171162,5767.0,653.0,91.0,0.761365959150746,1.179122594069707,THE PRIORY,68.0,11.0
NEW,The Newcastle Upon Tyne Hospitals NHS Foundation Trust,55.002783,-1.593392,1932.0,331.0,11.0,1.3867093310102567,2.484472049689441,NUFFIELD HOSPITALS,48.0,8.0
NGH,Northampton General Hospital NHS Trust,52.236068,-0.883829,1979.0,132.0,37.0,0.0,0.0,0,0.0,0.0
NMU,North Middlesex University Hospital NHS Trust,51.613094,-0.07375,4928.0,736.0,90.0,0.3799618099566424,0.6087662337662338,NORTH LONDON HOSPICE,30.0,3.0
NOR,Northamptonshire Healthcare NHS Foundation Trust,52.3941,-0.7222,2056.0,179.0,58.0,4.984376698945056,8.949416342412452,PHOENIX FUTURES,184.0,8.0
NOT,Nottinghamshire Healthcare NHS Foundation Trust,52.979272,-1.12643,4344.0,306.0,69.0,7.751418191890883,7.458563535911603,FAMILY ACTION,324.0,15.0
NSC,North Staffordshire Combined Healthcare NHS Trust,52.96839,-2.167808,219.0,24.0,10.0,0.5355678055056944,0.91324200913242,WE ARE WITH YOU,2.0,1.0
NTH,North Tees and Hartlepool NHS Foundation Trust,54.582857,-1.347581,11288.0,1054.0,49.0,0.043430064351543236,0.10630758327427356,MARIE CURIE,12.0,4.0
NUH,Nottingham University Hospitals NHS Trust,52.991254,-1.158424,5987.0,1040.0,31.0,0.14806463535789327,0.46767997327543015,BROWNE JACOBSON SOLICITORS,28.0,8.0
NWA,North West Ambulance Service NHS Trust,53.579021,-2.475803,705.0,56.0,16.0,2.53499587527331,3.2624113475177303,ST JOHN AMBULANCE,23.0,2.0
NWB,North West Boroughs Healthcare NHS Foundation Trust,53.429516,-2.606862,977.0,86.0,42.0,0.8100149422905514,1.5353121801432956,SELF HELP SERVICES,15.0,3.0
NWE,North West Anglia NHS Foundation Trust,52.583921,-0.279386,3508.0,551.0,1.0,0.2423079815216521,0.6841505131128849,BEVAN BRITTAN LIMITED LIABILITY PARTNERSHIP,24.0,8.0
OXL,Oxleas NHS Foundation Trust,51.434795,0.174741,1038.0,148.0,19.0,3.4620005751321576,6.262042389210019,INTERSERVE,65.0,12.0
PAL,The Princess Alexandra Hospital NHS Trust,51.771529,0.085457,2930.0,221.0,54.0,0.620616172972801,1.2969283276450512,THE HARLOW HEALTH CENTRES TRUST LIMITED,38.0,3.0
PEC,Pennine Care NHS Foundation Trust,53.485827,-2.099981,579.0,90.0,14.0,0.5132133341689312,1.0362694300518136,THE CHILDRENS SOCIETY,6.0,4.0
PEN,Pennine Acute Hospitals NHS Trust,53.517882,-2.229502,970.0,266.0,9.0,0.1395194026055808,0.9278350515463918,COMMUNITY INTEGRATED CARE,9.0,2.0
POO,Poole Hospital NHS Foundation Trust,50.721987,-1.973117,3124.0,233.0,62.0,0.1538749441770227,0.19206145966709345,INTERSERVE,6.0,3.0
POR,Portsmouth Hospitals NHS Trust,50.850297,-1.069932,2810.0,383.0,33.0,0.10713488212398525,0.42704626334519574,THE ELIZABETH FOUNDATION,12.0,2.0
QEH,"The Queen Elizabeth Hospital, King's Lynn. NHS Foundation Trust",52.75663,0.446694,601.0,44.0,13.0,0.0,0.0,0,0.0,0.0
QEV,Queen Victoria Hospital NHS Foundation Trust,51.135073,-0.0029,60.0,3.0,1.0,0.0,0.0,0,0.0,0.0
RBE,Royal Berkshire NHS Foundation Trust,51.451022,-0.95933,1049.0,104.0,4.0,2.6145263347658876,2.2878932316491896,BERKSHIRE CARE TRUST,24.0,3.0
RBH,Royal Brompton and Harefield NHS Foundation Trust,51.489743,-0.170855,5845.0,727.0,73.0,0.2684153730541064,0.7698887938408896,ROYAL BROMPTON AND HAREFIELD HOSPITALS CHARITY,45.0,3.0
RCH,Royal Cornwall Hospitals NHS Trust,50.266686,-5.091464,4608.0,525.0,57.0,0.05640281772633128,0.1736111111111111,BEVAN BRITTAN LIMITED LIABILITY PARTNERSHIP,8.0,5.0
RDE,Royal Devon and Exeter NHS Foundation Trust,50.716703,-3.50668,3320.0,236.0,39.0,0.26542675728754095,0.6626506024096386,NUFFIELD HOSPITALS,22.0,3.0
RDS,Rotherham Doncaster and South Humber NHS Foundation Trust,53.497488,-1.146558,1639.0,135.0,84.0,3.9006619318095668,6.223306894447834,THE ALCOHOL AND DRUG SERVICE,102.0,8.0
RFL,Royal Free London NHS Foundation Trust,51.553224,-0.165324,1521.0,330.0,2.0,1.6549316633163336,1.2491781722550954,THE ROYAL FREE CHARITY,19.0,3.0
RJA,Robert Jones and Agnes Hunt Orthopaedic and District Hospital NHS Trust,52.884212,-3.032685,1877.0,173.0,100.0,0.18313631408529835,0.31965903036760784,HEALTHCARE QUALITY IMPROVEMENT PARTNERSHIP,6.0,1.0
RNO,Royal National Orthopaedic Hospital NHS Trust,51.632566,-0.310435,2171.0,268.0,86.0,0.4726104894375199,1.1515430677107323,COBALT UNIT APPEAL FUND,25.0,3.0
ROB,The Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust,50.747482,-1.82052,1239.0,124.0,21.0,0.29325244901789804,0.8878127522195319,THE BOURNEMOUTH HEALTHCARE TRUST,11.0,3.0
ROM,The Royal Marsden NHS Foundation Trust,51.490561,-0.172565,1121.0,151.0,10.0,0.8303992274050441,2.943800178412132,ANTHONY NOLAN,33.0,7.0
ROT,The Rotherham NHS Foundation Trust,53.413972,-1.34288,598.0,40.0,15.0,0.0,0.0,0,0.0,0.0
ROW,The Royal Wolverhampton NHS Trust,52.599722,-2.095555,11747.0,1436.0,120.0,1.5800135692771506,2.434664169575211,NATIONAL BLOOD AUTHORITY,286.0,12.0
ROY,Royal Surrey NHS Foundation Trust,51.241016,-0.607463,248.0,40.0,6.0,0.3030675786193292,0.8064516129032258,NUFFIELD HOSPITALS,2.0,1.0
RPH,Royal Papworth Hospital NHS Foundation Trust,52.173522,0.136046,1868.0,275.0,47.0,1.423453828706995,5.995717344753747,NUFFIELD HEALTH,112.0,5.0
RUH,Royal United Hospitals Bath NHS Foundation Trust,51.391665,-2.391218,3795.0,340.0,103.0,0.305889843471404,0.6851119894598156,CARE UK,26.0,4.0
SAI,Salisbury NHS Foundation Trust,51.043946,-1.789823,2469.0,176.0,116.0,0.6869394424534581,1.539084649655731,COBALT HEALTH,38.0,3.0
SAL,Salford Royal NHS Foundation Trust,53.487545,-2.323424,8960.0,1507.0,67.0,0.06496470047465414,0.234375,ST ANNS HOSPICE,21.0,10.0
SAO,Southport and Ormskirk Hospital NHS Trust,53.63357,-2.97882,1299.0,173.0,22.0,0.42883031621950296,2.232486528098537,REVITALISE RESPITE HOLIDAYS,29.0,1.0
SAS,Surrey and Sussex Healthcare NHS Trust,51.219194,-0.162009,2313.0,195.0,55.0,0.1525727323007121,0.38910505836575876,THE DOROTHY KERIN TRUST,9.0,3.0
SAT,Shrewsbury and Telford Hospital NHS Trust,52.709274,-2.793689,2749.0,181.0,48.0,0.43564216510195014,0.8730447435431065,VIEWPOINT,24.0,4.0
SEC,South East Coast Ambulance Service NHS Foundation Trust,51.133135,-0.168202,2278.0,194.0,62.0,1.765388889492809,3.6874451273046533,ST JOHN AMBULANCE,84.0,4.0
SFH,Sherwood Forest Hospitals NHS Foundation Trust,53.134573,-1.233579,1526.0,258.0,3.0,0.6771535349899329,2.0314547837483614,NATIONAL BLOOD AUTHORITY,31.0,1.0
SGU,St George's University Hospitals NHS Foundation Trust,51.426682,-0.175694,5357.0,616.0,53.0,0.13958504821132448,0.39201045361209635,NIGHTINGALE HAMMERSON,21.0,5.0
SHE,Sheffield Teaching Hospitals NHS Foundation Trust,53.409582,-1.460587,2804.0,507.0,1.0,0.048515113261810204,0.1783166904422254,ST LUKES HOSPICE,5.0,4.0
SHK,St Helens and Knowsley Hospitals NHS Trust,53.420469,-2.784954,2215.0,521.0,51.0,0.03567509849454815,0.13544018058690743,TERENCE HIGGINS TRUST,3.0,1.0
SHR,Shropshire Community Health NHS Trust,52.705844,-2.789366,1062.0,60.0,101.0,1.2484243480574482,3.389830508474576,NUFFIELD HEALTH,36.0,2.0
SLA,South London and Maudsley NHS Foundation Trust,51.468738,-0.091441,583.0,86.0,1.0,2.1521423500596684,5.831903945111493,PENROSE OPTIONS,34.0,10.0
SOM,Somerset Foundation Trust,51.148585,-2.994789,576.0,83.0,10.0,0.8721323752163815,3.4722222222222223,COBALT HEALTH,20.0,5.0
SOU,South Western Ambulance Service NHS Foundation Trust,50.720169,-3.464744,4350.0,413.0,108.0,0.16847801284557923,0.13793103448275862,ALL STAR KIDS,6.0,3.0
STA,South Tyneside And Sunderland NHS Foundation Trust,54.902214,-1.410327,1068.0,234.0,1.0,0.022403764282144193,0.18726591760299627,THE ROYAL NATIONAL INSTITUTE OF THE BLIND,2.0,1.0
