Department Family,Entity,Date,Expsene Type,Expense Area,Supplier,Transaction Number,Amount
Department of Health,CCG,30/06/2020,C&M?PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO?COMMISSIONING,HILLY FIELDS MEDICAL CENTRE,32690064,280
Department of Health,CCG,30/06/2020,C&M?PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO?COMMISSIONING,QUEENS ROAD PARTNERSHIP,32690096,280
Department of Health,CCG,30/06/2020,C&M?PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO?COMMISSIONING,WESTWOOD SURGERY,32690211,280
Department of Health,CCG,30/06/2020,C&M?GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO?COMMISSIONING,CRESCENT SURGERY ORPINGTON,32768057,280
Department of Health,CCG,30/06/2020,C&M?GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO?COMMISSIONING,LINKS MEDICAL PRACTICE (THE),32768092,280
Department of Health,CCG,30/06/2020,C&M?PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO?COMMISSIONING,LONDON LANE CLINIC,32768098,280
Department of Health,CCG,30/06/2020,C&M?PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO?COMMISSIONING,POVEREST MEDICAL CENTRE,32768103,280
Department of Health,CCG,30/06/2020,C&M?GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO?COMMISSIONING,SURGERY BECKENHAM,32768114,280
Department of Health,CCG,30/06/2020,C&M?GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO?COMMISSIONING,SURGERY BROMLEY,32768117,280
Department of Health,CCG,30/06/2020,C&M?GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO?COMMISSIONING,KNIGHTS HILL SURGERY,32807151,280
Department of Health,CCG,30/06/2020,C&M?PMS Prem Water Rates,PRC DELEGATED CO?COMMISSIONING,NEW ELTHAM MC DR ARORA,32690224,283.73
Department of Health,CCG,30/06/2020,Apprenticeship Levy Payable,BALANCE SHEET,HMRC,32768863,292
Department of Health,CCG,30/06/2020,ME ? PMS GP Prior Year ERs,PRC DELEGATED CO?COMMISSIONING,THAMESMEAD MEDICAL ASSOCIATES,32690207,292.36
Department of Health,CCG,30/06/2020,C&M?PMS Prem Clinical Waste,PRC DELEGATED CO?COMMISSIONING,MODALITY PARTNERSHIP,32690153,297.86
Department of Health,CCG,30/06/2020,C&M?PMS Prof fees Prescribing,PRC DELEGATED CO?COMMISSIONING,OAKFIELD SURGERY LONDON,32768146,304
Department of Health,CCG,30/06/2020,C&M?PMS Prem Water Rates,PRC DELEGATED CO?COMMISSIONING,SUMMERCROFT SURGERY,32768119,305.8
Department of Health,CCG,30/06/2020,C&M?PMS DES Minor Surgery,PRC DELEGATED CO?COMMISSIONING,OAKVIEW FAMILY PRACTICE,32666214,308.14
Department of Health,CCG,30/06/2020,C&M?GMS PCN DES Participation,PRC DELEGATED CO?COMMISSIONING,PLUMBRIDGE MEDICAL CENTRE,32820084,315.72
Department of Health,CCG,30/06/2020,C&M?GMS Prem Water Rates,PRC DELEGATED CO?COMMISSIONING,BROOMWOOD ROAD SURGERY,32768039,319.9
Department of Health,CCG,30/06/2020,C&M?PMS Prem Water Rates,PRC DELEGATED CO?COMMISSIONING,VANBRUGH GROUP PRACTICE,32690220,331.73
Department of Health,CCG,30/06/2020,C&M?PMS Prem Healthcentre Rates,PRC DELEGATED CO?COMMISSIONING,CLAPHAM FAMILY PRACTICE,32666198,342.83
Department of Health,CCG,30/06/2020,C&M?GMS Prof Fees Prescribing,PRC DELEGATED CO?COMMISSIONING,CORNERWAYS SURGERY BECKENHAM,32753665,343.14
Department of Health,CCG,30/06/2020,C&M?GMS PCN DES Participation,PRC DELEGATED CO?COMMISSIONING,ANERLEY SURGERY,32768023,343.78
Department of Health,CCG,30/06/2020,ME?PMS GP Pension EEs Adjs ? PMS,PRC DELEGATED CO?COMMISSIONING,THAMESMEAD MEDICAL ASSOCIATES,32690207,346.46
Department of Health,CCG,30/06/2020,ME?PMS GP Pension ERs Adjs ? PMS,PRC DELEGATED CO?COMMISSIONING,WOODLANDS IN SIDCUP,32690217,347.52
Department of Health,CCG,30/06/2020,C&M?GMS Cost of Drugs ?Prescribing,LOCAL ENHANCED SERVICES,WHITEHOUSE SURGERY,32768129,352.01
Department of Health,CCG,30/06/2020,Income tax <1Yr?Student Loans,BALANCE SHEET,HMRC,32768865,356
Department of Health,CCG,30/06/2020,C&M?GMS Cost of Drugs ?Prescribing,LOCAL ENHANCED SERVICES,ST MARY CRAY PRACTICE,32768125,363.64
Department of Health,CCG,30/06/2020,C&M?GMS Cost of Drugs ?Prescribing,LOCAL ENHANCED SERVICES,DYSART SURGERY,32753670,373.73
Department of Health,CCG,30/06/2020,ME?PMS GP Pension ERs Adjs ? PMS,PRC DELEGATED CO?COMMISSIONING,THAMESMEAD MEDICAL ASSOCIATES,32690207,379.48
Department of Health,CCG,30/06/2020,Apprenticeship Levy Payable,BALANCE SHEET,HMRC,32768855,383
Department of Health,CCG,30/06/2020,C&M?PMS Cost of Drugs ?Prescribing,LOCAL ENHANCED SERVICES,CATOR MEDICAL CENTRE,32768054,395.05
Department of Health,CCG,30/06/2020,C&M?PMS Prem Water Rates,PRC DELEGATED CO?COMMISSIONING,NEW MILL STREET SURGERY,32666212,417.42
Department of Health,CCG,30/06/2020,ME?PMS GP Pension ERs Adjs ? PMS,PRC DELEGATED CO?COMMISSIONING,AMERSHAM VALE TRAINING PRACTICE,32690001,419.42
Department of Health,CCG,30/06/2020,C&M?GMS PCN DES Participation,PRC DELEGATED CO?COMMISSIONING,SURGERY BIGGIN HILL,32768116,419.68
Department of Health,CCG,30/06/2020,C&M?PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO?COMMISSIONING,DR J BAJWA & PARTNERS,32668628,420
Department of Health,CCG,30/06/2020,C&M?PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO?COMMISSIONING,NUNHEAD SURGERY,32690086,420
Department of Health,CCG,30/06/2020,C&M?PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO?COMMISSIONING,PENROSE LEE SURGERY,32690093,420
Department of Health,CCG,30/06/2020,C&M?PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO?COMMISSIONING,STREATHAM HILL GROUP PRACTICE,32690116,420
Department of Health,CCG,30/06/2020,C&M?PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO?COMMISSIONING,VAUXHALL SURGERY,32690131,420
Department of Health,CCG,30/06/2020,C&M?GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO?COMMISSIONING,DYSART SURGERY,32753670,420
Department of Health,CCG,30/06/2020,C&M?GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO?COMMISSIONING,EDEN PARK SURGERY,32768065,420
Department of Health,CCG,30/06/2020,C&M?PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO?COMMISSIONING,PARK GROUP PRACTICE,32768144,420
Department of Health,CCG,30/06/2020,ME?PMS GP Pension EEs Adjs ? PMS,PRC DELEGATED CO?COMMISSIONING,WOODLANDS IN SIDCUP,32690217,426.25
