Department Family,Entity,Expense Type,Expense Area,Supplier,Amount
Department of Health,NHS South East London CCG31/01/2021,Clinical&Medical-Othe Public Sector,MENTAL HEALTH CONTRACTS,SOUTHWARK COUNCIL,"71,157.00"
Department of Health,NHS South East London CCG31/01/2021,Clinical&Medical-Othe Public Sector,MENTAL HEALTH CONTRACTS,SOUTHWARK COUNCIL,"238,633.00"
Department of Health,NHS South East London CCG31/01/2021,Clinical&Medical-Voluntary Sector,,35170806,"117,158.04"
Department of Health,NHS South East London CCG31/01/2021,Clinical&Medical-Voluntary Sector,,35170817,"36,282.75"
Department of Health,NHS South East London CCG31/01/2021,Clinical&Medical-Voluntary Sector,MENTAL HEALTH CONTRACTS,EQUINOX,"89,987.75"
Department of Health,NHS South East London CCG31/01/2021,Computer Software/License,PRIMARY CARE IT,ADVANCED HEALTH AND CARE LTD,"7,197.50"
Department of Health,NHS South East London CCG31/01/2021,Computer Software/License,PRIMARY CARE IT,ADVANCED HEALTH AND CARE LTD,"28,790.00"
Department of Health,NHS South East London CCG31/01/2021,Computer Software/License,PRIMARY CARE IT,ADVANCED HEALTH AND CARE LTD,"7,197.50"
Department of Health,NHS South East London CCG31/01/2021,Cont Care- Children,,35185147,"68,270.00"
Department of Health,NHS South East London CCG31/01/2021,Cont Care-Mental Health (<65),CHC ADULT FULLY FUNDED,LUU BRIDGETS HEALTHCARE LTD,"25,920.00"
Department of Health,NHS South East London CCG31/01/2021,Clinical&Medical-Commercial Sector,COMMUNITY SERVICES,HEARBASE LTD,"25,666.00"
Department of Health,NHS South East London CCG31/01/2021,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,DEVON & CORNWALL AUTISTIC COMMUNITY TRUST35186308,"35,171.71"
Department of Health,NHS South East London CCG31/01/2021,Clinical&Medical-Othe Public Sector,REABLEMENT,LONDON BOROUGH OF LAMBETH,"1,288,402.00"
Department of Health,NHS South East London CCG31/01/2021,Cont Care-Physical Disab (<65),CHC ADULT FULLY FUNDED,92 HIGHER DRIVE LTD,"130,493.82"
Department of Health,NHS South East London CCG31/01/2021,Cont Care- Palliative Care,,35186881,"5,127.39"
Department of Health,NHS South East London CCG31/01/2021,Cont Care-Physical Disab (65+),CHC AD FULL FUND PERS HLTH BUD,35186881,"186,757.74"
Department of Health,NHS South East London CCG31/01/2021,Cont Care-Physical Disab (<65),CHC AD FULL FUND PERS HLTH BUD,35186881,"450,706.69"
Department of Health,NHS South East London CCG31/01/2021,Cont Care- Palliative Care,CLINICAL ASSESSMENT AND TREATMENT CENTRES,35186921,"11,610.00"
Department of Health,NHS South East London CCG31/01/2021,Cont Care- Prior Year Payments,CHC ADULT FULLY FUNDED,35186921,"8,928.00"
Department of Health,NHS South East London CCG31/01/2021,Cont Care-Funded Nursing Care Allow,CLINICAL ASSESSMENT AND TREATMENT CENTRES,35186921,"16,158.71"
Department of Health,NHS South East London CCG31/01/2021,Cont Care-Funded Nursing Care Allow,FUNDED NURSING CARE,35186921,"50,688.10"
Department of Health,NHS South East London CCG31/01/2021,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,35186921,"18,705.00"
Department of Health,NHS South East London CCG31/01/2021,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,35186921,"10,062.00"
Department of Health,NHS South East London CCG31/01/2021,Cont Care-Mental Health (65+),CHC ADULT FULLY FUNDED,35187301,"28,512.00"
Department of Health,NHS South East London CCG31/01/2021,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,,"34,037.14"
Department of Health,NHS South East London CCG31/01/2021,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,35199253,"83,728.37"
Department of Health,NHS South East London CCG31/01/2021,Cont Care-Physical Disab (<65),CHC ADULT FULLY FUNDED,35199253,"120,173.33"
Department of Health,NHS South East London CCG31/01/2021,Recharge : Received,CORPORATE GOVERNANCE,35200332,"70,464.12"
Department of Health,NHS South East London CCG31/01/2021,Cont Care-Funded Nursing Care Allow,FUNDED NURSING CARE,35216927,"4,729.38"
Department of Health,NHS South East London CCG31/01/2021,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,35216927,"198,729.91"
Department of Health,NHS South East London CCG31/01/2021,Cont Care-Physical Disab (<65),CHC ADULT FULLY FUNDED,35216927,"323,315.80"
Department of Health,NHS South East London CCG31/01/2021,Cont Care-Physical Disab (<65),CLINICAL ASSESSMENT AND TREATMENT CENTRES,35216927,"39,879.30"
Department of Health,NHS South East London CCG31/01/2021,Clinical&Medical-Independent Sector,MENTAL HEALTH SERVICES - NOT CONTRACTED ACTIVITY,35217033,"30,991.01"
Department of Health,NHS South East London CCG31/01/2021,Recharge : Received,PRIMARY CARE DEVELOPMENTNHS TOWER HAMLETS CCG,35217110,"40,627.86"
Department of Health,NHS South East London CCG31/01/2021,Clinical&Medical-Independent Sector,COMMISSIONING SCHEMES,35217215,"25,140.50"
Department of Health,NHS South East London CCG31/01/2021,Cont Care-Funded Nursing Care Allow,FUNDED NURSING CARE,35217249,"30,504.36"
Department of Health,NHS South East London CCG31/01/2021,Cont Care-Funded Nursing Care Allow,FUNDED NURSING CARE,35218343,"29,847.50"
Department of Health,NHS South East London CCG31/01/2021,Cont Care-Physical Disab (<65),CHC ADULT FULLY FUNDED,35218363,"30,228.45"
Department of Health,NHS South East London CCG31/01/2021,Clinical&Medical-Independent Sector,REABLEMENT,35218478,"35,600.00"
Department of Health,NHS South East London CCG31/01/2021,,ONE HEALTH LEWISHAM LTD,35218858,"97,541.25"
Department of Health,NHS South East London CCG31/01/2021,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,35223674,"51,699.60"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Additional Staff Payments,PRC DELEGATED CO-COMMISSIONING,35230979,"2,328.88"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,35230979,"58,410.86"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,35230979,"10,802.70"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,35230979,"8,593.38"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,35230979,"5,367.85"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS PCN DES PCN support,LOCAL ENHANCED SERVICES,35230979,"11,167.50"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,35230979,"2,884.55"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,35230979,"3,516.67"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,35230979,92.58
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,35230979,"3,818.52"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Additional Staff Payments,PRC DELEGATED CO-COMMISSIONING,35230981,"2,177.73"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,35230981,"53,501.24"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,35230981,"5,541.08"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,35230981,"3,763.54"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,35230981,"4,804.17"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,35230981,"1,944.02"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,35230981,55.28
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,35230981,"3,364.11"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Additional Staff Payments,PRC DELEGATED CO-COMMISSIONING,35230983,"3,327.28"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,35230983,"82,216.94"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,35230983,"15,237.13"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,35230983,"3,803.39"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Prem Healthcentre Rates,PRC DELEGATED CO-COMMISSIONING,35230983,"3,905.26"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,35230983,"29,006.49"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,35230983,"5,385.78"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Additional Staff Payments,PRC DELEGATED CO-COMMISSIONING,35230985,"4,216.81"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,35230985,"106,651.28"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,35230985,"10,987.40"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,35230985,"5,013.96"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Prem Clinical Waste,PRC DELEGATED CO-COMMISSIONING,35230985,69.53
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Prem Healthcentre Rates,PRC DELEGATED CO-COMMISSIONING,35230985,"2,386.84"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,35230985,"20,763.23"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,35230985,104.02
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,35230985,"5,893.10"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,35230986,-638.95
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,35230986,-851.68
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,35230986,"-3,722.02"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,35230986,-39.81
Department of Health,NHS South East London CCG31/01/2021,ME - PMS TPS Added Years Adj EEs,PRC DELEGATED CO-COMMISSIONING,35230986,-735.83
Department of Health,NHS South East London CCG31/01/2021,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,35230986,"-10,528.75"
Department of Health,NHS South East London CCG31/01/2021,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,35230986,"-11,415.30"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Additional Staff Payments,PRC DELEGATED CO-COMMISSIONING,35230987,"4,452.70"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,35230987,"108,533.42"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,35230987,"21,029.89"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,35230987,"5,811.98"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS PCO Doctors Ret Scheme,PRC DELEGATED CO-COMMISSIONING,35230987,"3,384.48"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS PCO Locum Adop/Pat/Mat,PRC DELEGATED CO-COMMISSIONING,35230987,"8,000.00"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Prem Clinical Waste,PRC DELEGATED CO-COMMISSIONING,35230987,242.75
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Prem Healthcentre Rates,PRC DELEGATED CO-COMMISSIONING,35230987,"1,208.71"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,35230987,"5,935.60"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,35230987,350.01
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,35230987,"7,954.64"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Additional Staff Payments,PRC DELEGATED CO-COMMISSIONING,35230988,"2,410.75"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,35230988,"60,221.98"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,35230988,"8,749.12"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,35230988,"3,220.40"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,35230988,"5,583.33"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,35230988,"3,750.30"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Additional Staff Payments,PRC DELEGATED CO-COMMISSIONING,35230990,"2,580.38"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,35230990,"64,091.50"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,35230990,"11,974.81"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,35230990,"3,375.14"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,35230990,"7,806.33"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,35230990,"1,174.73"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,35230990,"3,712.37"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Additional Staff Payments,PRC DELEGATED CO-COMMISSIONING,35230992,"3,386.88"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,35230992,"80,222.51"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,35230992,"16,013.41"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,35230992,"4,068.09"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,35230992,"8,570.83"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,35230992,"5,114.75"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,35230992,"6,337.14"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Additional Staff Payments,PRC DELEGATED CO-COMMISSIONING,35230994,"3,361.72"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,35230994,"84,407.54"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,35230994,"12,042.23"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,35230994,"3,630.36"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS PCO Locum Adop/Pat/Mat,PRC DELEGATED CO-COMMISSIONING,35230994,"8,840.00"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS PCO Locum Sickness,PRC DELEGATED CO-COMMISSIONING,35230994,"8,349.47"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,35230994,"7,752.00"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,35230994,"4,788.00"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,35230994,54.73
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,35230994,"5,787.34"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,35230995,"-4,325.35"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,35230995,-145.64
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,35230995,-509.49
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,35230995,"-2,153.73"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS PCN DES PCN support,LOCAL ENHANCED SERVICES,35230995,"-4,474.50"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,35230995,"-4,267.78"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,35230995,-22.51
Department of Health,NHS South East London CCG31/01/2021,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,35230995,"-4,329.42"
Department of Health,NHS South East London CCG31/01/2021,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,35230995,"-4,807.07"
Department of Health,NHS South East London CCG31/01/2021,C&M- PCN DES CARE HOME PREMIUM,PRC DELEGATED CO-COMMISSIONING,35230996,277.5
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Additional Staff Payments,PRC DELEGATED CO-COMMISSIONING,35230996,"2,762.55"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,35230996,"68,744.81"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,35230996,"8,656.67"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,35230996,"10,009.86"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,35230996,"4,301.49"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS PCN DES PCN support,LOCAL ENHANCED SERVICES,35230996,"8,949.00"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,35230996,"5,541.17"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,35230996,"4,412.92"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,35230996,"2,709.33"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,35230996,"4,041.25"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,35230997,"-6,225.09"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,35230997,"-1,129.58"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,35230997,"-1,161.37"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,35230997,"-3,099.67"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS PCN DES PCN support,LOCAL ENHANCED SERVICES,35230997,"-6,439.75"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,35230997,"-5,305.73"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,35230997,-51.3
Department of Health,NHS South East London CCG31/01/2021,ME-PMS GP Pension EEs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,35230997,"-1,701.56"
Department of Health,NHS South East London CCG31/01/2021,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,35230997,"-7,501.55"
Department of Health,NHS South East London CCG31/01/2021,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,35230997,"-10,471.65"
Department of Health,NHS South East London CCG31/01/2021,C&M- PCN DES CARE HOME PREMIUM,PRC DELEGATED CO-COMMISSIONING,35230998,510
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Additional Staff Payments,PRC DELEGATED CO-COMMISSIONING,35230998,"5,928.05"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,35230998,"146,446.88"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,35230998,"12,458.77"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,35230998,"22,296.82"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS PCN DES Clin Pharmacist,PRC DELEGATED CO-COMMISSIONING,35230998,"10,680.28"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,35230998,"6,190.75"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS PCN DES PCN support,LOCAL ENHANCED SERVICES,35230998,"12,879.50"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,35230998,"8,147.61"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS PCN DES Soc Prescribing,PRC DELEGATED CO-COMMISSIONING,35230998,"4,480.00"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS PCO Locum Adop/Pat/Mat,PRC DELEGATED CO-COMMISSIONING,35230998,"9,665.28"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,35230998,"85,450.96"
Department of Health,NHS South East London CCG31/01/2021,C&M-PMS Prem Healthcentre Rates,PRC DELEGATED CO-COMMISSIONING,35230998,342.83
