Department,CCG,Date,Expense Type,Expsene Area,Supplier,Transaction Number,Amount
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR F MORAN & PARTNERS,32406352,"1,163.61"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR RK SINGH & PARTNERS HOUNSLOW,32421156,"1,169.44"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,HOUNSLOW MEDICAL CENTRE DR BC PATEL,32406395,"1,178.51"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR DP TRIPATHI,32406355,"1,194.06"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,HOUNSLOW MEDICAL CENTRE DR BC PATEL,32406391,"1,255.54"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR S HEFFERNAN,32406372,"1,261.32"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,CHESTNUT PRACTICE,32406346,"1,263.21"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,HMC HEALTH HESTON & GREAT WEST SURGERY,32287424,"1,268.58"
Department of Health,NHS Hounslow CCG,31-May-20,E'ers NHI-Rechgs to-from Other NHS,CONTINUING HEALTHCARE ASSESSMENT & SUPPORT,LONDON BOROUGH OF HOUNSLOW,32413104,"1,293.66"
Department of Health,NHS Hounslow CCG,31-May-20,E'ers NHI-Rechgs to-from Other NHS,CONTINUING HEALTHCARE ASSESSMENT & SUPPORT,LONDON BOROUGH OF HOUNSLOW,32413195,"1,295.92"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR SM LANE,32406383,"1,376.90"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,WEST4 GPS,32406402,"1,378.83"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,HMC HEALTH FELTHAM,32287422,"1,379.03"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR SK MAYOR,32406377,"1,542.72"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ARGYLE HEALTH ISLEWORTH LTD,32314216,"1,546.98"
Department of Health,NHS Hounslow CCG,31-May-20,E'ers NHI-Rchgs to-from Oth Non NHS,PROGRAMME PROJECTS,LONDON BOROUGH OF HOUNSLOW,32413104,"1,603.17"
Department of Health,NHS Hounslow CCG,31-May-20,E'ers NHI-Rchgs to-from Oth Non NHS,PROGRAMME PROJECTS,LONDON BOROUGH OF HOUNSLOW,32413195,"1,603.20"
Department of Health,NHS Hounslow CCG,31-May-20,E'ers Pen-Rechgs to-from Other NHS,CONTINUING HEALTHCARE ASSESSMENT & SUPPORT,LONDON BOROUGH OF HOUNSLOW,32413104,"1,617.08"
Department of Health,NHS Hounslow CCG,31-May-20,E'ers Pen-Rechgs to-from Other NHS,CONTINUING HEALTHCARE ASSESSMENT & SUPPORT,LONDON BOROUGH OF HOUNSLOW,32413195,"1,619.90"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR G VENKATESHAM,32406357,"1,631.87"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,FIRST CARE PRACTICE DR MAHMUD & PTRS,32406389,"1,648.65"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR SM LANE,32406381,"1,678.56"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR GM WILLIAMS,32314212,"1,679.55"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ST MARGARETS MEDICAL PRACTICE,32287416,"1,900.58"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,PENTELOW PRACTICE,32421157,"1,916.67"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR S HEFFERNAN,32406370,"1,962.82"
Department of Health,NHS Hounslow CCG,31-May-20,E'ers Pen-Rchgs to-from Oth Non NHS,PROGRAMME PROJECTS,LONDON BOROUGH OF HOUNSLOW,32413104,"2,003.96"
Department of Health,NHS Hounslow CCG,31-May-20,E'ers Pen-Rchgs to-from Oth Non NHS,PROGRAMME PROJECTS,LONDON BOROUGH OF HOUNSLOW,32413195,"2,004.00"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR MB PATEL,32406364,"2,083.33"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR MB PATEL,32406364,"2,104.07"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,HMC HEALTH HOUNSLOW,32287420,"2,277.14"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR MH MUZAFER,32406361,"2,308.66"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-PMS Growth,PRC DELEGATED CO-COMMISSIONING,REDWOOD PRACTICE DR P SHENTON & PARTNER,32287414,"2,314.19"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BRENTFORD FAMILY PRACTICE,32406406,"2,326.76"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,PENTELOW PRACTICE,32421157,"2,339.24"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR MH MUZAFER,32406361,"2,466.67"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR RM CHAMBERS,32406372,"2,487.65"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,DR SM HUNT,32406377,"2,677.18"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR P GARCHA,32406365,"2,681.25"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR RK SINGH & PARTNERS HOUNSLOW,32421156,"2,708.33"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,SKYWAYS MEDICAL CENTRE,32406404,"2,711.67"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-PMS Growth,PRC DELEGATED CO-COMMISSIONING,WILLOW PRACTICE,32314214,"2,726.10"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-PMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,DR GM WILLIAMS,32314212,"3,007.49"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR GM WILLIAMS,32314212,"3,040.83"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS Prem Healthcentre Rates,PRC DELEGATED CO-COMMISSIONING,DR P LUTHRA,32406368,"3,068.75"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,HMC HEALTH BEDFONT,32287418,"3,108.75"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR P GARCHA,32406365,"3,225.93"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR N BURBIDGE,32406370,"3,499.06"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-PMS Growth,PRC DELEGATED CO-COMMISSIONING,DR GM WILLIAMS,32314212,"3,536.72"
Department of Health,NHS Hounslow CCG,,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR C LYNCH,,"3,567.83"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,HMC HEALTH FELTHAM,32287422,"3,579.59"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR SM HUNT,32406381,"3,617.70"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-APMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,ARGYLE HEALTH ISLEWORTH LTD,32314216,"3,643.33"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR SPECHT & PARTNERS,32406385,"3,733.09"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS PCO Locum Adop/Pat/Mat,PRC DELEGATED CO-COMMISSIONING,DR C LYNCH,32406348,"3,750.00"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,DR RK SINGH & PARTNERS HOUNSLOW,32421156,"3,752.41"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,WILLOW PRACTICE,32314214,"3,820.90"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-PMS Growth,PRC DELEGATED CO-COMMISSIONING,KINGFISHER PRACTICE DR VJ PHILIP & PARTNER,32287412,"3,844.03"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR SM HUNT,32406381,"3,870.05"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,KINGFISHER PRACTICE DR VJ PHILIP & PARTNER,32287412,"3,872.17"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR RM CHAMBERS,32406375,"3,887.09"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR MA MEAGHER,32406362,"3,912.27"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,HMC HEALTH HESTON & GREAT WEST SURGERY,32287424,"3,934.52"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR N BURBIDGE,32406370,"4,016.67"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR SM HUNT,32406381,"4,120.83"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,REDWOOD PRACTICE DR P SHENTON & PARTNER,32287414,"4,127.63"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR P LUTHRA,32406368,"4,134.85"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,SKYWAYS MEDICAL CENTRE,32406404,"4,157.13"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DR C LYNCH,32406348,"4,229.17"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR MA MEAGHER,32406362,"4,270.83"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,ST MARGARETS MEDICAL PRACTICE,32287416,"4,291.67"
Department of Health,NHS Hounslow CCG,,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR RK SINGH & PARTNERS HOUNSLOW,,"4,350.86"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,FIRST CARE PRACTICE DR MAHMUD & PTRS,32406389,"4,362.28"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,PENTELOW PRACTICE,32421157,"4,370.99"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ST DAVIDS PRACTICE DR S R KUMAR,32406398,"4,438.18"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR AM CROWE,32406350,"4,603.13"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-APMS DES Violent Patients,PRC DELEGATED CO-COMMISSIONING,HMC HEALTH HESTON & GREAT WEST SURGERY,32287424,"4,689.30"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,GREEN PRACTICE HOUNSLOW,32406391,"4,909.35"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR N BURBIDGE,32406370,"4,949.30"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-PMS PCO Locum Adop/Pat/Mat,PRC DELEGATED CO-COMMISSIONING,WILLOW PRACTICE,32314214,"4,950.00"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CHESTNUT PRACTICE,32406346,"5,080.53"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-PMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,WILLOW PRACTICE,32314214,"5,127.04"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS PCO Other,PRC DELEGATED CO-COMMISSIONING,DR SM HUNT,32406381,"5,152.00"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR DP TRIPATHI,32406355,"5,299.22"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ARGYLE HEALTH ISLEWORTH LTD,32314216,"5,541.90"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR F MORAN & PARTNERS,32406352,"5,610.58"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR S HEFFERNAN,32406372,"5,632.05"
