Department of Health,CCG,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Health,NHS Hounslow CCG,31-Aug-20,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,DR SPECHT & PARTNERS,33585604,"-12,710.09"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-APMS OOH Opt Outs,PRC DELEGATED CO-COMMISSIONING,HMC HEALTH HOUNSLOW,33486216,"-12,043.34"
Department of Health,NHS Hounslow CCG,31-Aug-20,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,DR SPECHT & PARTNERS,33585605,"-9,277.69"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-APMS OOH Opt Outs,PRC DELEGATED CO-COMMISSIONING,ARGYLE HEALTH ISLEWORTH LTD,33486212,"-7,929.78"
Department of Health,NHS Hounslow CCG,31-Aug-20,ME - PMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,HMC HEALTH BEDFONT,33486214,"-7,765.21"
Department of Health,NHS Hounslow CCG,31-Aug-20,ME-PMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,HMC HEALTH BEDFONT,33486214,"-7,290.10"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-APMS OOH Opt Outs,PRC DELEGATED CO-COMMISSIONING,HMC HEALTH FELTHAM,33486218,"-7,168.64"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-APMS OOH Opt Outs,PRC DELEGATED CO-COMMISSIONING,HMC HEALTH HESTON & GREAT WEST SURGERY,33486220,"-6,601.02"
Department of Health,NHS Hounslow CCG,31-Aug-20,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,HMC HEALTH BEDFONT,33486214,"-4,985.40"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-APMS OOH Opt Outs,PRC DELEGATED CO-COMMISSIONING,HMC HEALTH BEDFONT,33486214,"-4,360.80"
Department of Health,NHS Hounslow CCG,31-Aug-20,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,DR SPECHT & PARTNERS,33585605,"-3,788.82"
Department of Health,NHS Hounslow CCG,31-Aug-20,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,DR SPECHT & PARTNERS,33585605,"-3,395.34"
Department of Health,NHS Hounslow CCG,31-Aug-20,ME-PMS GP Pension EEs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,HMC HEALTH BEDFONT,33486214,"-2,430.10"
Department of Health,NHS Hounslow CCG,31-Aug-20,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,HMC HEALTH BEDFONT,33486214,"-2,205.31"
Department of Health,NHS Hounslow CCG,31-Aug-20,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,HMC HEALTH FELTHAM,33486218,"-2,049.15"
Department of Health,NHS Hounslow CCG,31-Aug-20,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,HMC HEALTH FELTHAM,33486218,"-1,991.25"
Department of Health,NHS Hounslow CCG,31-Aug-20,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,HOUNSLOW MEDICAL CENTRE DR BC PATEL,33585614,"-1,917.34"
Department of Health,NHS Hounslow CCG,31-Aug-20,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,HOUNSLOW MEDICAL CENTRE DR BC PATEL,33585614,"-1,800.00"
Department of Health,NHS Hounslow CCG,31-Aug-20,Statutory Mat Pay < 1 yr,BALANCE SHEET,HMRC,33585499,"-1,112.80"
Department of Health,NHS Hounslow CCG,31-Aug-20,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,HMC HEALTH HOUNSLOW,33486216,-489.39
Department of Health,NHS Hounslow CCG,31-Aug-20,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,HMC HEALTH HOUNSLOW,33486216,-427.77
Department of Health,NHS Hounslow CCG,31-Aug-20,ME - GMS TPS Added Years Adj EEs,PRC DELEGATED CO-COMMISSIONING,DR SPECHT & PARTNERS,33585605,-218.4
Department of Health,NHS Hounslow CCG,31-Aug-20,ME - PMS TPS Added Years Adj EEs,PRC DELEGATED CO-COMMISSIONING,HMC HEALTH HOUNSLOW,33486216,-13.27
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR MH MUZAFER,33585583,4.61
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR SPECHT & PARTNERS,33585606,4.61
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR P LUTHRA,33585590,11.52
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR MB PATEL,33585587,13.82
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR MB PATEL,33585585,17.62
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR SPECHT & PARTNERS,33585605,18.96
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR RM CHAMBERS,33585596,21.26
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR RM CHAMBERS,33585597,23.03
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR P LUTHRA,33585588,23.82
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR MH MUZAFER,33585579,25.93
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,BRENTFORD FAMILY PRACTICE,33599232,29.94
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR G VENKATESHAM,33585579,32.24
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR N BURBIDGE,33585591,34.55
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Prem Clinical Waste,PRC DELEGATED CO-COMMISSIONING,CHESTNUT PRACTICE,33585568,37.6
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR DP TRIPATHI,33585577,41.45
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR P GARCHA,33585588,46.06
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,ST MARGARETS MEDICAL PRACTICE,33486209,49.82
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,DR SK MAYOR,33585599,52.46
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,DR N BURBIDGE,33585591,53.92
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,DR SM HUNT,33585602,56.29
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR S HEFFERNAN,33585593,87.52
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Prem Clinical Waste,PRC DELEGATED CO-COMMISSIONING,DR AM CROWE,33585572,87.8
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,BRENTFORD FAMILY PRACTICE,33599224,87.97
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Prem Clinical Waste,PRC DELEGATED CO-COMMISSIONING,DR F MORAN & PARTNERS,33585574,89.56
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR C LYNCH,33585570,94.42
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,CHESTNUT PRACTICE,33585568,146.89
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,WEST4 GPS,33585622,156.61
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR SK MAYOR,33585599,158.91
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,GREEN PRACTICE HOUNSLOW,33585612,168.12
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,DR AM CROWE,33585572,168.67
Department of Health,NHS Hounslow CCG,31-Aug-20,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,DR SM HUNT,33585602,171.67
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR DP TRIPATHI,33585574,176.41
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR P GARCHA,33585587,242.62
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Prem Clinical Waste,PRC DELEGATED CO-COMMISSIONING,DR P LUTHRA,33585590,249.56
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Other Addtl Staff Paymts,PRC DELEGATED CO-COMMISSIONING,DR AM CROWE,33585572,250
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,DR F MORAN & PARTNERS,33585574,264.49
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR G VENKATESHAM,33585577,343.28
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,DR DP TRIPATHI,33585577,357.41
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR C LYNCH,33585568,369.36
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Prem Clinical Waste,PRC DELEGATED CO-COMMISSIONING,DR DP TRIPATHI,33585577,464.6
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR G VENKATESHAM,33585579,492.64
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Other Addtl Staff Paymts,PRC DELEGATED CO-COMMISSIONING,DR G VENKATESHAM,33585579,500
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,PENTELOW PRACTICE,33585618,538.11
Department of Health,NHS Hounslow CCG,,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,HOLLY ROAD MEDICAL CENTRE,,558.68
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR VK WINAYAK,33509301,563.88
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR MB PATEL,33585587,570.69
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,BRENTFORD FAMILY PRACTICE,33599232,618.3
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,WEST4 GPS,33585618,619.08
Department of Health,NHS Hounslow CCG,,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR N BURBIDGE,,630.26
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR P GARCHA,33585588,652.06
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,WILLOW PRACTICE,33486211,670.92
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR MH MUZAFER,33585583,693.51
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Prem Clinical Waste,PRC DELEGATED CO-COMMISSIONING,DR SM LANE,33585604,693.97
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Other Addtl Staff Paymts,PRC DELEGATED CO-COMMISSIONING,FIRST CARE PRACTICE DR MAHMUD & PTRS,33585610,741.72
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR MA MEAGHER,33585585,777.45
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,SKYWAYS MEDICAL CENTRE,33585624,783.13
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR S HEFFERNAN,33585591,783.23
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,GREEN PRACTICE HOUNSLOW,33585610,785.83
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,HMC HEALTH BEDFONT,33486215,811.68
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,KINGFISHER PRACTICE DR VJ PHILIP & PARTNER,33486205,825.35
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR VK WINAYAK,33509301,833.25
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,DR P LUTHRA,33585590,877.18
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR RK SINGH & PARTNERS HOUNSLOW,33585595,896.14
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR C LYNCH,33585570,898.24
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-PMS Additional Staff Payments,PRC DELEGATED CO-COMMISSIONING,DR VK WINAYAK,33486221,900
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR SPECHT & PARTNERS,33585606,921.9
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,REDWOOD PRACTICE DR P SHENTON & PARTNER,33486207,970.08
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR P LUTHRA,33585590,973.93
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR RM CHAMBERS,33585597,974.74
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR N BURBIDGE,33585591,976.88
Department of Health,NHS Hounslow CCG,31-Aug-20,Income tax <1Yr-Student Loans,BALANCE SHEET,HMRC,33585499,"1,002.00"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR AM CROWE,33585572,"1,058.16"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR RM CHAMBERS,33585597,"1,073.73"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR SM HUNT,33585602,"1,079.01"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,GREEN PRACTICE HOUNSLOW,33585612,"1,124.29"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ST DAVIDS PRACTICE DR S R KUMAR,33599224,"1,124.35"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,DR SM LANE,33585604,"1,152.30"
Department of Health,NHS Hounslow CCG,,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR F MORAN & PARTNERS,,"1,163.61"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR RK SINGH & PARTNERS HOUNSLOW,33585595,"1,169.44"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,HOUNSLOW MEDICAL CENTRE DR BC PATEL,33585615,"1,178.51"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR DP TRIPATHI,33585577,"1,194.06"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR S HEFFERNAN,33585593,"1,261.32"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,CHESTNUT PRACTICE,33585568,"1,263.21"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,HMC HEALTH HESTON & GREAT WEST SURGERY,33486221,"1,268.58"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR SK MAYOR,33585597,"1,275.72"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR SM LANE,33585604,"1,376.90"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,WEST4 GPS,33585622,"1,378.83"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,HMC HEALTH FELTHAM,33486219,"1,379.03"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,CHESTNUT PRACTICE,33585568,"1,513.08"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR SK MAYOR,33585599,"1,542.72"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ARGYLE HEALTH ISLEWORTH LTD,33486213,"1,546.98"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-PMS Growth,PRC DELEGATED CO-COMMISSIONING,WILLOW PRACTICE,33486211,"1,557.79"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,FIRST CARE PRACTICE DR MAHMUD & PTRS,33585610,"1,648.65"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR SM HUNT,33585602,"1,808.88"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR G VENKATESHAM,33585579,"1,818.86"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Other Addtl Staff Paymts,PRC DELEGATED CO-COMMISSIONING,ST DAVIDS PRACTICE DR S R KUMAR,33599224,"1,858.35"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ST MARGARETS MEDICAL PRACTICE,33486209,"1,900.58"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,PENTELOW PRACTICE,33585618,"1,916.67"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR MB PATEL,33585587,"2,083.33"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-APMS OOH Opt Outs,PRC DELEGATED CO-COMMISSIONING,HMC HEALTH BEDFONT,33486215,"2,159.28"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-PMS Growth,PRC DELEGATED CO-COMMISSIONING,KINGFISHER PRACTICE DR VJ PHILIP & PARTNER,33486205,"2,196.54"
Department of Health,NHS Hounslow CCG,31-Aug-20,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,DR SM HUNT,33585602,"2,241.96"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,PENTELOW PRACTICE,33585618,"2,263.16"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,HMC HEALTH HOUNSLOW,33486217,"2,277.14"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,HOLLY ROAD MEDICAL CENTRE,33486203,"2,292.40"
Department of Health,NHS Hounslow CCG,31-Aug-20,ME-GMS GP Pension EEs Adjustments,PRC DELEGATED CO-COMMISSIONING,BRENTFORD FAMILY PRACTICE,33599232,"2,295.00"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR MB PATEL,33585587,"2,300.76"
Department of Health,NHS Hounslow CCG,31-Aug-20,ME-GMS GP Pension EEs Adjustments,PRC DELEGATED CO-COMMISSIONING,DR SM HUNT,33585602,"2,406.45"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BRENTFORD FAMILY PRACTICE,33599232,"2,443.87"
Department of Health,NHS Hounslow CCG,31-Aug-20,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,BRENTFORD FAMILY PRACTICE,33599232,"2,444.60"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR MH MUZAFER,33585583,"2,466.67"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR N BURBIDGE,33585591,"2,474.67"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Prem Healthcentre Rates,PRC DELEGATED CO-COMMISSIONING,DR AM CROWE,33585572,"2,510.75"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Prem Healthcentre Rates,PRC DELEGATED CO-COMMISSIONING,DR DP TRIPATHI,33585577,"2,566.01"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR MH MUZAFER,33585583,"2,635.66"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR P GARCHA,33585588,"2,681.25"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR RK SINGH & PARTNERS HOUNSLOW,33585595,"2,708.33"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,SKYWAYS MEDICAL CENTRE,33585624,"2,711.67"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR C LYNCH,33585570,"2,773.33"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR VK WINAYAK,33509301,"2,776.56"
