Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction,Amount
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-GMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",LYNDHURST SURGERY LONDON,32401246,1363.06
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-PMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",MIRCOFACULTY,32287124,1442.82
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-PMS Prem Notional Rent,"PRC DELEGATED CO-
COMMISSIONING",SINNOTT ROAD SURGERY,32287132,1558.33
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-GMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",GREEN MAN MEDICAL CENTRE,32401241,1573.18
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-GMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",FRANCIS ROAD MEDICAL CENTRE,32401237,1617.96
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-PMS PCN DES Participation,,HIGHAM HILL MEDICAL CENTRE,32287116,1668.2
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-PMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",WOOD STREET HEALTH CENTRE,32287137,1675.68
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-PMS Prem Notional Rent,"PRC DELEGATED CO-
COMMISSIONING",KINGSHEAD MEDICAL PRACTICE,32287118,1683.33
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-PMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",LL MEDICAL CARE LTD,32287120,1695.24
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-PMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",SINNOTT ROAD SURGERY,32287132,1810.2
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-GMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",FOREST SURGERY,32401236,1914.34
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-GMS Prem Notional Rent,,RIDGEWAY SURGERY LONDON,32401252,2020.83
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-GMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",OLD CHURCH SURGERY,32401250,2051.68
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-PMS DES Minor Surgery,"PRC DELEGATED CO-
COMMISSIONING",COMELY BANK CLINIC,32287105,2068.94
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-GMS PCN DES Participation,,RIDGEWAY SURGERY LONDON,32401252,2077.8
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-PMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",QUEENS ROAD MEDICAL CENTRE,32287130,2158.54
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-PMS DES Minor Surgery,"PRC DELEGATED CO-
COMMISSIONING",ALLUM MEDICAL CENTRE,32312363,2245.02
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-PMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",LIME TREE SURGERY LONDON,32287122,2256.9
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-PMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",PENRYHN SURGERY,32287128,2371.14
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-PMS DES Learn Dsblty Hlth Chk,"PRC DELEGATED CO-
COMMISSIONING",WOOD STREET HEALTH CENTRE,32287137,2380
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-GMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",FRANCIS ROAD MEDICAL CENTRE,32401237,2384.17
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-GMS Prem Notional Rent,"PRC DELEGATED CO-
COMMISSIONING",MANOR PRACTICE LONDON,32401248,2450
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-GMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",CHINGFORD MEDICAL PRACTICE,32401226,2476.46
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-PMS QOF Aspiration,,HIGHAM HILL MEDICAL CENTRE,32287116,2495.63
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-PMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",WOOD STREET HEALTH CENTRE,32287137,2615.17
Department of Health,NHS Waltham Forest CCG,,,"PRC DELEGATED CO-
COMMISSIONING",PENRYHN SURGERY,32287128,2656.25
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-GMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",LYNDHURST SURGERY LONDON,32401246,2671.77
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-PMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",WALTHAM FOREST COMMUNITY & FHS LTD,32312365,2679.78
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-GMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",MANOR PRACTICE LONDON,32401248,2766.66
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-GMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",GREEN MAN MEDICAL CENTRE,32401241,2912.94
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-PMS DES Minor Surgery,"PRC DELEGATED CO-
COMMISSIONING",CHURCHILL HEALTHCARE LTD,32287103,3037.38
Department of Health,NHS Waltham Forest CCG,,,"PRC DELEGATED CO-
COMMISSIONING",PENRYHN SURGERY,32287128,3055.75
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-GMS PCO Other,"PRC DELEGATED CO-
COMMISSIONING",LYNDHURST SURGERY LONDON,32401246,3075
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-GMS Prem Notional Rent,"PRC DELEGATED CO-
COMMISSIONING",LYNDHURST SURGERY LONDON,32401246,3104.17
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-PMS DES Minor Surgery,"PRC DELEGATED CO-
COMMISSIONING",OLIVER ROAD MEDICAL CENTRE,32287126,3129.34
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-PMS Prem Notional Rent,"PRC DELEGATED CO-
COMMISSIONING",PENRYHN SURGERY,32287128,3200
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-GMS Prem Notional Rent,"PRC DELEGATED CO-
COMMISSIONING",FOREST SURGERY,32401236,3208.33
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-APMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",HURLEY GROUP,32287141,3290.5
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-PMS Prem Notional Rent,"PRC DELEGATED CO-
COMMISSIONING",LIME TREE SURGERY LONDON,32287122,3416.67
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-PMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",MIRCOFACULTY,32287124,3442.77
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-APMS OOH Opt Outs,"PRC DELEGATED CO-
COMMISSIONING",HURLEY GROUP,32287141,3536
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-PMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",SINNOTT ROAD SURGERY,32287132,3557.63
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-PMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",LL MEDICAL CARE LTD,32287120,3588.43
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-PMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",COMELY BANK CLINIC,32287105,3682.38
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-PMS DES Learn Dsblty Hlth Chk,"PRC DELEGATED CO-
COMMISSIONING",ST JAMES MEDICAL PRACTICE LTD,32287134,3780
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-PMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",CHURCHILL HEALTHCARE LTD,32287103,3800.76
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-PMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",KINGSHEAD MEDICAL PRACTICE,32287118,3816.11
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-PMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",QUEENS ROAD MEDICAL CENTRE,32287130,3892.34
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-PMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",PENRYHN SURGERY,32287128,3918.92
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-PMS Prem Rates,"PRC DELEGATED CO-
COMMISSIONING",CHURCHILL HEALTHCARE LTD,32287103,3929.96
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-GMS DES Minor Surgery,"PRC DELEGATED CO-
COMMISSIONING",HANDSWORTH MEDICAL PRACTICE LONDON,32401239,3977.78
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-PMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",LIME TREE SURGERY LONDON,32287122,3978.39
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-APMS Contract KPIs,"PRC DELEGATED CO-
COMMISSIONING",HURLEY GROUP,32287141,3998.68
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-APMS LES Caretaking Payments,"PRC DELEGATED CO-
COMMISSIONING",HURLEY GROUP,32287141,4000
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-PMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",ST JAMES MEDICAL PRACTICE LTD,32287134,4061.34
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-PMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",HARROW ROAD GP PRACTICE,32287139,4062.14
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-GMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",FOREST SURGERY,32401236,4140.27
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-PMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",ALLUM MEDICAL CENTRE,32312363,4164.26
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-PMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",OLIVER ROAD MEDICAL CENTRE,32287126,4182.12
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-GMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",OLD CHURCH SURGERY,32401250,4269.86
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-PMS PCN DES Clinical Director,"PRC DELEGATED CO-
COMMISSIONING",HARROW ROAD GP PRACTICE,32287139,4279.42
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-GMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",HANDSWORTH MEDICAL PRACTICE LONDON,32401239,4409.9
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-PMS Prem Notional Rent,"PRC DELEGATED CO-
COMMISSIONING",QUEENS ROAD MEDICAL CENTRE,32287130,4479.17
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-GMS PCN DES Clinical Director,"PRC DELEGATED CO-
COMMISSIONING",MANOR PRACTICE LONDON,32401248,4602.5
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-GMS QOF Aspiration,,RIDGEWAY SURGERY LONDON,32401252,4757.57
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-GMS PCO Other,"PRC DELEGATED CO-
COMMISSIONING",FOREST SURGERY,32401236,4766
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-PMS Prem Notional Rent,,HIGHAM HILL MEDICAL CENTRE,32287116,4833.33
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-PMS Prem Notional Rent,"PRC DELEGATED CO-
COMMISSIONING",MIRCOFACULTY,32287124,4865
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-PMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",WALTHAM FOREST COMMUNITY & FHS LTD,32312365,5263.85
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-PMS PCN DES Clinical Director,"PRC DELEGATED CO-
COMMISSIONING",QUEENS ROAD MEDICAL CENTRE,32287130,5278.18
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-PMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",HURLEY GROUP,32287141,5338.18
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-GMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",CHINGFORD MEDICAL PRACTICE,32401226,5755.62
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-PMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",OLIVER ROAD MEDICAL CENTRE,32287126,6195.01
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-GMS Prem Rates,"PRC DELEGATED CO-
COMMISSIONING",FOREST SURGERY,32401236,6200.4
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-GMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",MANOR PRACTICE LONDON,32401248,6275.62
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-GMS PCN DES Clinical Director,"PRC DELEGATED CO-
COMMISSIONING",CHINGFORD MEDICAL PRACTICE,32401226,6337.6
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-PMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",COMELY BANK CLINIC,32287105,6685.02
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-PMS PCN DES Clinical Director,"PRC DELEGATED CO-
COMMISSIONING",ALLUM MEDICAL CENTRE,32312363,6970.06
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-PMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",HARROW ROAD GP PRACTICE,32287139,7535.07
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-PMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",ST JAMES MEDICAL PRACTICE LTD,32287134,7557.48
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-PMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",ALLUM MEDICAL CENTRE,32312363,8471.97
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-PMS DES Extended Hours Access,"PRC DELEGATED CO-
COMMISSIONING",HARROW ROAD GP PRACTICE,32287139,8594.4
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-GMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",HANDSWORTH MEDICAL PRACTICE LONDON,32401239,8701.39
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-GMS DES Extended Hours Access,"PRC DELEGATED CO-
COMMISSIONING",MANOR PRACTICE LONDON,32401248,9243.26
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-PMS PCN DES Clin Pharmacist,"PRC DELEGATED CO-
COMMISSIONING",ALLUM MEDICAL CENTRE,32312363,9452.5
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-PMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",CHURCHILL HEALTHCARE LTD,32287103,10256.06
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-PMS DES Extended Hours Access,"PRC DELEGATED CO-
COMMISSIONING",QUEENS ROAD MEDICAL CENTRE,32287130,10600.22
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-PMS Prem Notional Rent,"PRC DELEGATED CO-
COMMISSIONING",ALLUM MEDICAL CENTRE,32312363,10729.17
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-GMS PCO Locum Adop/Pat/Mat,"PRC DELEGATED CO-
COMMISSIONING",FRANCIS ROAD MEDICAL CENTRE,32401237,10928.36
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-PMS Prem Notional Rent,"PRC DELEGATED CO-
COMMISSIONING",HARROW ROAD GP PRACTICE,32287139,11708.33
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-GMS Prem Actual Rent,"PRC DELEGATED CO-
COMMISSIONING",FRANCIS ROAD MEDICAL CENTRE,32401237,12083.35
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-PMS PCN DES PCN support,LOCAL ENHANCED SERVICES,HARROW ROAD GP PRACTICE,32287139,12119.57
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-GMS DES Extended Hours Access,"PRC DELEGATED CO-
COMMISSIONING",CHINGFORD MEDICAL PRACTICE,32401226,12727.86
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-PMS PCO Locum Adop/Pat/Mat,"PRC DELEGATED CO-
COMMISSIONING",WALTHAM FOREST COMMUNITY & FHS LTD,32312365,13115.64
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-PMS DES Extended Hours Access,"PRC DELEGATED CO-
COMMISSIONING",ALLUM MEDICAL CENTRE,32312363,13998.06
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-PMS PCO Locum Adop/Pat/Mat,"PRC DELEGATED CO-
COMMISSIONING",ST JAMES MEDICAL PRACTICE LTD,32287134,14012.16
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-GMS Prem Rates,"PRC DELEGATED CO-
COMMISSIONING",LYNDHURST SURGERY LONDON,32401246,15668.3
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-PMS PCN DES PCN support,LOCAL ENHANCED SERVICES,QUEENS ROAD MEDICAL CENTRE,32287130,15877.48
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-GMS PCN DES PCN support,LOCAL ENHANCED SERVICES,CHINGFORD MEDICAL PRACTICE,32401226,15938
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-GMS PCN DES PCN support,LOCAL ENHANCED SERVICES,MANOR PRACTICE LONDON,32401248,16507.62
Department of Health,NHS Waltham Forest CCG,31/05/2020,National Insurance < 1 yr-NI-EES,,HMRC,32400992,18847.77
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-PMS PCN DES PCN support,LOCAL ENHANCED SERVICES,ALLUM MEDICAL CENTRE,32312363,20002.79
Department of Health,NHS Waltham Forest CCG,31/05/2020,National Insurance < 1 yr-NI- ERS,,HMRC,32400992,28976.76
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-PMS Prem Actual Rent,"PRC DELEGATED CO-
COMMISSIONING",CHURCHILL HEALTHCARE LTD,32287103,29725.76
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-PMS Contract Value,"PRC DELEGATED CO-
COMMISSIONING",KINGSHEAD MEDICAL PRACTICE,32287118,30122.6
Department of Health,NHS Waltham Forest CCG,31/05/2020,Clinical&Medical-Commercial Sector,,MARIE STOPES INTERNATIONAL,32524666,30251
Department of Health,NHS Waltham Forest CCG,31/05/2020,"Hcare Srv Rec NHS Trust-Contract 
Baseline",ACUTE COMMISSIONING,LONDON NORTH WEST HEALTHCARE NHS TRUST,32264129,30726.67
Department of Health,NHS Waltham Forest CCG,31/05/2020,Cont Care- Prior Year Payments,CHC ADULT FULLY FUNDED,"ALLIED HEALTH SERVICES LTD TA ALLIED 
HEALTHCARE",32461143,30776.14
Department of Health,NHS Waltham Forest CCG,31/05/2020,Cont Care-Mental Health (<65),CHC ADULT FULLY FUNDED,ASPRAY HOUSE LTD,32274146,30934.28
Department of Health,NHS Waltham Forest CCG,31/05/2020,"Hcare Srv Rec NHS Trust-Over/ Under 
Performance",ACUTE COMMISSIONING,"NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS 
TRUST",32342077,31478.7
Department of Health,NHS Waltham Forest CCG,31/05/2020,Cont Care-Mental Health (65+),CHC ADULT FULLY FUNDED,ASPRAY HOUSE LTD,32547228,31965.43
Department of Health,NHS Waltham Forest CCG,31/05/2020,"Hcare Srv Rec Fdtn Trust-Contract 
Baseline",ACUTE COMMISSIONING,"CHELSEA AND WESTMINSTER HOSPITAL NHS 
FOUNDATION TRUST",32264113,33810.76
Department of Health,NHS Waltham Forest CCG,31/05/2020,"Hcare Srv Rec Fdtn Trust-Over/ Under 
Performance",ACUTE COMMISSIONING,"MOORFIELDS EYE HOSPITAL NHS FOUNDATION 
TRUST",32429208,34333
Department of Health,NHS Waltham Forest CCG,31/05/2020,Business Rates - Local Authorities,FINANCE,LONDON BOROUGH OF WALTHAM FOREST,32524708,34560
Department of Health,NHS Waltham Forest CCG,31/05/2020,Cont Care- Children,CHC CHILDREN,"ALLIED HEALTH SERVICES LTD TA ALLIED 
HEALTHCARE",32461197,34689.68
Department of Health,NHS Waltham Forest CCG,31/05/2020,Training Expenses,,RADA IN BUSINESS LTD,32529421,35000
Department of Health,NHS Waltham Forest CCG,31/05/2020,"Hcare Srv Rec NHS Trust-Over/ Under 
Performance",ACUTE COMMISSIONING,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,32412438,35255.44
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-GMS Global Sum,"PRC DELEGATED CO-
COMMISSIONING",LYNDHURST SURGERY LONDON,32401246,35308.93
Department of Health,NHS Waltham Forest CCG,31/05/2020,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,WALTHAMSTOW EMP & NURSING AGENCY LTD,32220405,36000
Department of Health,NHS Waltham Forest CCG,31/05/2020,Hlthcre-Foundation Trsts,Winter Resilience,NORTH EAST LONDON NHS FOUNDATION TRUST,32429194,36288
