Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction,Amount
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-GMS Prem Water Rates,"PRC DELEGATED CO-
COMMISSIONING",KIYANI MEDICAL PRACTICE,33615774,11.24
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-PMS Prem Water Rates,"PRC DELEGATED CO-
COMMISSIONING",DRS SS & SJ KUMAR,33484989,27.27
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-GMS Other Baseline Adjustment,"PRC DELEGATED CO-
COMMISSIONING",GREEN MAN MEDICAL CENTRE,33615762,33.7
Department of Health,NHS Waltham Forest CCG,31/08/2020,Post Graduate Loan Payable,BALANCE SHEET,HMRC,33583274,44
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-GMS DES Minor Surgery,"PRC DELEGATED CO-
COMMISSIONING",LYNDHURST SURGERY LONDON,33615767,44.02
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-PMS Prem Water Rates,"PRC DELEGATED CO-
COMMISSIONING",HIGHAM HILL MEDICAL CENTRE,33484992,64.64
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-GMS Prem Rates,"PRC DELEGATED CO-
COMMISSIONING",KIYANI MEDICAL PRACTICE,33615774,72.04
Department of Health,NHS Waltham Forest CCG,31/08/2020,Apprenticeship Levy Payable,BALANCE SHEET,HMRC,33583274,90
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-GMS DES Minor Surgery,"PRC DELEGATED CO-
COMMISSIONING",CHINGFORD MEDICAL PRACTICE,33615746,110.05
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-GMS Prem Water Rates,"PRC DELEGATED CO-
COMMISSIONING",MANOR PRACTICE LONDON,33615769,138.4
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-GMS Other Baseline Adjustment,"PRC DELEGATED CO-
COMMISSIONING",OLD CHURCH SURGERY,33615771,139.42
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-PMS DES Minor Surgery,"PRC DELEGATED CO-
COMMISSIONING",SINNOTT ROAD SURGERY,33485006,209.1
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-GMS DES Minor Surgery,"PRC DELEGATED CO-
COMMISSIONING",GREEN MAN MEDICAL CENTRE,33615762,242.11
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-GMS DES Minor Surgery,"PRC DELEGATED CO-
COMMISSIONING",KIYANI MEDICAL PRACTICE,33615774,319.15
Department of Health,NHS Waltham Forest CCG,31/08/2020,ME-PMS GP Prior Year EEs,"PRC DELEGATED CO-
COMMISSIONING",WALTHAM FOREST COMMUNITY & FHS LTD,33485010,390.6
Department of Health,NHS Waltham Forest CCG,31/08/2020,"Hcare Srv Rec Fdtn Trust-Over/ Under 
Performance",ACUTE COMMISSIONING,"HOMERTON UNIVERSITY HOSPITAL NHS 
FOUNDATION TRUST",33695331,402.83
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-PMS PCO Other,"PRC DELEGATED CO-
COMMISSIONING",DR SHAH & PARTNERS,33484983,428.2
Department of Health,NHS Waltham Forest CCG,31/08/2020,Income tax <1Yr-Student Loans,BALANCE SHEET,HMRC,33583274,429
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-GMS Other Baseline Adjustment,"PRC DELEGATED CO-
COMMISSIONING",KIYANI MEDICAL PRACTICE,33615774,485.25
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-GMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",KIYANI MEDICAL PRACTICE,33615774,492.93
Department of Health,NHS Waltham Forest CCG,31/08/2020,"Hcare Srv Rec Fdtn Trust-Over/ Under 
Performance",ACUTE COMMISSIONING,"HOMERTON UNIVERSITY HOSPITAL NHS 
FOUNDATION TRUST",33695329,510.89
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-GMS Prem Other,"PRC DELEGATED CO-
COMMISSIONING",GREEN MAN MEDICAL CENTRE,33615762,568.68
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-PMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",KINGSHEAD MEDICAL PRACTICE,33484994,583.93
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-GMS Other Baseline Adjustment,"PRC DELEGATED CO-
COMMISSIONING",MANOR PRACTICE LONDON,33615769,673.04
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-GMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",LYNDHURST SURGERY LONDON,33615767,681.53
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-PMS DES Learn Dsblty Hlth Chk,"PRC DELEGATED CO-
COMMISSIONING",KINGSHEAD MEDICAL PRACTICE,33484994,700
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-PMS DES Learn Dsblty Hlth Chk,"PRC DELEGATED CO-
COMMISSIONING",LL MEDICAL CARE LTD,33484996,700
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-PMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",MIRCOFACULTY,33485000,721.41
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-PMS DES Minor Surgery,"PRC DELEGATED CO-
COMMISSIONING",MIRCOFACULTY,33485000,737.34
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-GMS DES Minor Surgery,"PRC DELEGATED CO-
COMMISSIONING",FIRS,33615753,748.34
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-GMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",FOREST ROAD MEDICAL CENTRE,33615755,753.69
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-GMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",GREEN MAN MEDICAL CENTRE,33615762,786.59
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-GMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",FRANCIS ROAD MEDICAL CENTRE,33615759,808.98
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-PMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",HIGHAM HILL MEDICAL CENTRE,33484992,834.1
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-PMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",WOOD STREET HEALTH CENTRE,33485012,837.84
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-PMS DES Learn Dsblty Hlth Chk,"PRC DELEGATED CO-
COMMISSIONING",WALTHAM FOREST COMMUNITY & FHS LTD,33485010,840
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-PMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",LL MEDICAL CARE LTD,33484996,847.62
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-PMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",SINNOTT ROAD SURGERY,33485006,905.1
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-PMS DES Minor Surgery,"PRC DELEGATED CO-
COMMISSIONING",ALLUM MEDICAL CENTRE,33484979,924.42
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-GMS PCO Other,"PRC DELEGATED CO-
COMMISSIONING",HANDSWORTH MEDICAL PRACTICE LONDON,33615761,949.7
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-GMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",FOREST SURGERY,33615757,957.17
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-PMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",DR SHAH & PARTNERS,33484983,"1,019.61"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-GMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",OLD CHURCH SURGERY,33615771,"1,025.84"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-GMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",RIDGEWAY SURGERY LONDON,33615773,"1,038.90"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-PMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",QUEENS ROAD MEDICAL CENTRE,33485004,"1,079.27"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-GMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",FIRS,33615753,"1,115.54"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-PMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",LIME TREE SURGERY LONDON,33484998,"1,128.45"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-GMS PCO Other,"PRC DELEGATED CO-
COMMISSIONING",FOREST ROAD MEDICAL CENTRE,33615755,"1,136.10"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-PMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",DRS SS & SJ KUMAR,33484989,"1,151.95"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-PMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",PENRYHN SURGERY,33485002,"1,185.57"
Department of Health,NHS Waltham Forest CCG,31/08/2020,ME-PMS GP Pension EEs-PMS,"PRC DELEGATED CO-
COMMISSIONING",QUEENS ROAD MEDICAL CENTRE,33485004,"1,209.82"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-GMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",CHINGFORD MEDICAL PRACTICE,33615746,"1,238.23"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-PMS Prem Rates,"PRC DELEGATED CO-
COMMISSIONING",DRS SS & SJ KUMAR,33484989,"1,251.61"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-PMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",WALTHAM FOREST COMMUNITY & FHS LTD,33485010,"1,339.89"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-PMS Prem Rates,"PRC DELEGATED CO-
COMMISSIONING",DR SHAH & PARTNERS,33484983,"1,344.70"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-PMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",ECCLESBOURNE PRACTICE,33484987,"1,378.43"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-GMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",MANOR PRACTICE LONDON,33615769,"1,383.33"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-PMS Prem Notional Rent,"PRC DELEGATED CO-
COMMISSIONING",SINNOTT ROAD SURGERY,33485006,"1,558.33"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-PMS DES Minor Surgery,"PRC DELEGATED CO-
COMMISSIONING",ECCLESBOURNE PRACTICE,33484987,"1,575.70"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-APMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",HURLEY GROUP,33485014,"1,645.25"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-PMS Prem Notional Rent,"PRC DELEGATED CO-
COMMISSIONING",KINGSHEAD MEDICAL PRACTICE,33484994,"1,683.33"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-PMS Prem Rates,"PRC DELEGATED CO-
COMMISSIONING",MIRCOFACULTY,33485000,"1,756.90"
Department of Health,NHS Waltham Forest CCG,31/08/2020,ME-PMS GP Prior Year AVCs,"PRC DELEGATED CO-
COMMISSIONING",HARROW ROAD GP PRACTICE,33509192,"1,799.89"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-APMS Contract KPIs,"PRC DELEGATED CO-
COMMISSIONING",HURLEY GROUP,33485014,"1,999.34"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-GMS Prem Rates,"PRC DELEGATED CO-
COMMISSIONING",GREEN MAN MEDICAL CENTRE,33615762,"2,020.83"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-GMS Prem Notional Rent,"PRC DELEGATED CO-
COMMISSIONING",RIDGEWAY SURGERY LONDON,33615773,"2,020.83"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-PMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",ST JAMES MEDICAL PRACTICE LTD,33485008,"2,030.67"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-PMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",HARROW ROAD GP PRACTICE,33509192,"2,031.07"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-PMS Prem Rates,"PRC DELEGATED CO-
COMMISSIONING",HIGHAM HILL MEDICAL CENTRE,33484992,"2,047.98"
Department of Health,NHS Waltham Forest CCG,31/08/2020,ME-PMS GP Pension EEs Adjs - PMS,"PRC DELEGATED CO-
COMMISSIONING",OLIVER ROAD MEDICAL CENTRE,33509190,"2,059.04"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-GMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",KIYANI MEDICAL PRACTICE,33615774,"2,076.63"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-PMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",ALLUM MEDICAL CENTRE,33484979,"2,082.13"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-PMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",OLIVER ROAD MEDICAL CENTRE,33509190,"2,091.06"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-PMS Baseline Adjustment,"PRC DELEGATED CO-
COMMISSIONING",DRS SS & SJ KUMAR,33484989,"2,107.15"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-GMS Prem Rates,"PRC DELEGATED CO-
COMMISSIONING",FRANCIS ROAD MEDICAL CENTRE,33615759,"2,122.25"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-PMS PCN DES Clinical Director,"PRC DELEGATED CO-
COMMISSIONING",HARROW ROAD GP PRACTICE,33509192,"2,139.71"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-GMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",HANDSWORTH MEDICAL PRACTICE LONDON,33615761,"2,204.95"
Department of Health,NHS Waltham Forest CCG,31/08/2020,ME-PMS GP Pension ERs Adjs - PMS,"PRC DELEGATED CO-
COMMISSIONING",OLIVER ROAD MEDICAL CENTRE,33509190,"2,233.68"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-GMS Prem Actual Rent,"PRC DELEGATED CO-
COMMISSIONING",KIYANI MEDICAL PRACTICE,33615774,"2,242.33"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-PMS Baseline Adjustment,"PRC DELEGATED CO-
COMMISSIONING",KINGSHEAD MEDICAL PRACTICE,33484994,"2,281.10"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-GMS PCN DES Clinical Director,"PRC DELEGATED CO-
COMMISSIONING",MANOR PRACTICE LONDON,33615769,"2,301.25"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-GMS Prem Actual Rent,"PRC DELEGATED CO-
COMMISSIONING",FRANCIS ROAD MEDICAL CENTRE,33615759,"2,416.67"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-GMS Prem Notional Rent,"PRC DELEGATED CO-
COMMISSIONING",MANOR PRACTICE LONDON,33615769,"2,450.00"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-GMS PCN DES Clinical Director,"PRC DELEGATED CO-
COMMISSIONING",FIRS,33615753,"2,485.85"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-GMS Other Baseline Adjustment,"PRC DELEGATED CO-
COMMISSIONING",RIDGEWAY SURGERY LONDON,33615773,"2,535.52"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-GMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",FOREST ROAD MEDICAL CENTRE,33615755,"2,636.68"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-PMS PCN DES Clinical Director,"PRC DELEGATED CO-
COMMISSIONING",QUEENS ROAD MEDICAL CENTRE,33485004,"2,639.09"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-GMS Prem Rates,"PRC DELEGATED CO-
COMMISSIONING",FIRS,33615753,"2,653.33"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-GMS Other Baseline Adjustment,"PRC DELEGATED CO-
COMMISSIONING",CHINGFORD MEDICAL PRACTICE,33615746,"2,659.53"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-PMS PCN DES Soc Prescribing,"PRC DELEGATED CO-
COMMISSIONING",QUEENS ROAD MEDICAL CENTRE,33485004,"2,710.61"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-PMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",HIGHAM HILL MEDICAL CENTRE,33484992,"2,725.20"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-GMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",FRANCIS ROAD MEDICAL CENTRE,33615759,"2,861.80"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-PMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",WOOD STREET HEALTH CENTRE,33485012,"2,902.89"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-GMS PCN DES Soc Prescribing,"PRC DELEGATED CO-
COMMISSIONING",FIRS,33615753,"2,949.08"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-GMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",LYNDHURST SURGERY LONDON,33615767,"2,966.73"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-PMS PCN DES Clinical Director,"PRC DELEGATED CO-
COMMISSIONING",DRS SS & SJ KUMAR,33484989,"3,018.32"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-GMS Prem Notional Rent,"PRC DELEGATED CO-
COMMISSIONING",LYNDHURST SURGERY LONDON,33615767,"3,104.17"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-GMS LES Basket of Procedures,LOCAL ENHANCED SERVICES,CHINGFORD MEDICAL PRACTICE,33615746,"3,142.53"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-GMS PCN DES Clinical Director,"PRC DELEGATED CO-
COMMISSIONING",CHINGFORD MEDICAL PRACTICE,33615746,"3,168.80"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-PMS Prem Notional Rent,"PRC DELEGATED CO-
COMMISSIONING",PENRYHN SURGERY,33485002,"3,200.00"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-GMS Prem Notional Rent,"PRC DELEGATED CO-
COMMISSIONING",FOREST SURGERY,33615757,"3,208.33"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-GMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",GREEN MAN MEDICAL CENTRE,33615762,"3,212.42"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-PMS LES Basket of Procedures,LOCAL ENHANCED SERVICES,ALLUM MEDICAL CENTRE,33484979,"3,323.36"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-GMS Prem Rates,"PRC DELEGATED CO-
COMMISSIONING",MANOR PRACTICE LONDON,33615769,"3,340.25"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-PMS Prem Notional Rent,"PRC DELEGATED CO-
COMMISSIONING",LIME TREE SURGERY LONDON,33484998,"3,416.67"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-PMS PCN DES Clinical Director,"PRC DELEGATED CO-
COMMISSIONING",ALLUM MEDICAL CENTRE,33484979,"3,485.03"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-PMS DES Minor Surgery,"PRC DELEGATED CO-
COMMISSIONING",OLIVER ROAD MEDICAL CENTRE,33509190,"3,567.53"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-PMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",SINNOTT ROAD SURGERY,33485006,"3,599.85"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-PMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",MIRCOFACULTY,33485000,"3,613.43"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-PMS Prem Notional Rent,"PRC DELEGATED CO-
COMMISSIONING",DR SHAH & PARTNERS,33484983,"3,635.42"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-PMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",KINGSHEAD MEDICAL PRACTICE,33484994,"3,656.15"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-PMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",LL MEDICAL CARE LTD,33484996,"3,714.28"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-PMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",LIME TREE SURGERY LONDON,33484998,"3,983.39"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-PMS PCO Other,"PRC DELEGATED CO-
COMMISSIONING",WOOD STREET HEALTH CENTRE,33485012,"4,062.00"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-GMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",FOREST SURGERY,33615757,"4,079.00"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-PMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",DR SHAH & PARTNERS,33484983,"4,110.27"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-PMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",QUEENS ROAD MEDICAL CENTRE,33485004,"4,176.72"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-PMS DES Extended Hours Access,"PRC DELEGATED CO-
COMMISSIONING",HARROW ROAD GP PRACTICE,33509192,"4,297.20"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-PMS Prem Notional Rent,"PRC DELEGATED CO-
COMMISSIONING",DRS SS & SJ KUMAR,33484989,"4,350.00"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-PMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",PENRYHN SURGERY,33485002,"4,378.35"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-PMS PCN DES PCN support,LOCAL ENHANCED SERVICES,HARROW ROAD GP PRACTICE,33509192,"4,445.38"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-PMS Prem Notional Rent,"PRC DELEGATED CO-
COMMISSIONING",QUEENS ROAD MEDICAL CENTRE,33485004,"4,479.17"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-PMS Baseline Adjustment,"PRC DELEGATED CO-
COMMISSIONING",QUEENS ROAD MEDICAL CENTRE,33485004,"4,520.61"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-PMS PCN DES Clin Pharmacist,"PRC DELEGATED CO-
COMMISSIONING",QUEENS ROAD MEDICAL CENTRE,33485004,"4,568.05"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-GMS DES Extended Hours Access,"PRC DELEGATED CO-
COMMISSIONING",MANOR PRACTICE LONDON,33615769,"4,621.63"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-PMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",DRS SS & SJ KUMAR,33484989,"4,678.27"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-GMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",OLD CHURCH SURGERY,33615771,"4,694.27"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-GMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",RIDGEWAY SURGERY LONDON,33615773,"4,710.48"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-GMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",FIRS,33615753,"4,724.22"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-GMS PCN DES PCN support,LOCAL ENHANCED SERVICES,MANOR PRACTICE LONDON,33615769,"4,781.00"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-PMS Prem Notional Rent,"PRC DELEGATED CO-
COMMISSIONING",MIRCOFACULTY,33485000,"4,865.00"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-GMS DES Extended Hours Access,"PRC DELEGATED CO-
COMMISSIONING",FIRS,33615753,"4,992.35"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-GMS PCO Other,"PRC DELEGATED CO-
COMMISSIONING",FIRS,33615753,"5,007.00"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-PMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",ECCLESBOURNE PRACTICE,33484987,"5,071.74"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-GMS DES Minor Surgery,"PRC DELEGATED CO-
COMMISSIONING",HANDSWORTH MEDICAL PRACTICE LONDON,33615761,"5,106.30"
Department of Health,NHS Waltham Forest CCG,31/08/2020,C&M-GMS PCN DES PCN support,LOCAL ENHANCED SERVICES,FIRS,33615753,"5,164.50"
