Department,CCG,Date,Expense Type,Expsense Area,Supplier,Transaction Number,Amount
Department of Health,NHS Waltham Forest CCG,12/31/2020,Income tax <1Yr-Student Loans,BALANCE SHEET,HMRC,34912913,109
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M- PCN DES CARE HOME PREMIUM,PRC DELEGATED CO-COMMISSIONING,QUEENS ROAD MEDICAL CENTRE,34888631,112.5
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-GMS Prem Clinical Waste,PRC DELEGATED CO-COMMISSIONING,CHURCHILL HEALTHCARE LTD,35021914,162.13
Department of Health,NHS Waltham Forest CCG,12/31/2020,ME-PMS GP Pension EEs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,HIGHAM HILL MEDICAL CENTRE,34888618,189.46
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,ALLUM MEDICAL CENTRE,34888604,220.1
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS PCO Other,PRC DELEGATED CO-COMMISSIONING,HAMPTON MEDICAL CENTRE,34888616,234.1
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,,35021939,240.21
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,SINNOTT ROAD SURGERY,34888633,264.12
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,CHINGFORD MEDICAL PRACTICE,35041373,280
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-APMS OOH Opt Outs,PRC DELEGATED CO-COMMISSIONING,HURLEY GROUP,34888641,290.51
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,LL MEDICAL CARE LTD,34888621,332.41
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,LYNDHURST SURGERY LONDON,35021943,373.66
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,HAMPTON MEDICAL CENTRE,34888616,450.04
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR SHAH & PARTNERS,34888608,455.03
Department of Health,NHS Waltham Forest CCG,12/31/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,HIGHAM HILL MEDICAL CENTRE,34888618,486.52
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,KIYANI MEDICAL PRACTICE,35021954,491.1
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,KIYANI MEDICAL PRACTICE,35021954,492.93
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M- PCN DES CARE HOME PREMIUM,PRC DELEGATED CO-COMMISSIONING,HARROW ROAD GP PRACTICE,34888639,540
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,KINGSHEAD MEDICAL PRACTICE,34914700,583.93
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR BAILEY PRACTICE,35021918,598.7
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,CHINGFORD MEDICAL PRACTICE,35041373,604.33
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,ECCLESBOURNE PRACTICE,34888612,660.3
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,LYNDHURST SURGERY LONDON,35021943,681.53
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M- PCN DES CARE HOME PREMIUM,PRC DELEGATED CO-COMMISSIONING,DRS SS & SJ KUMAR,34888614,712.5
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,MIRCOFACULTY,34888625,721.41
Department of Health,NHS Waltham Forest CCG,12/31/2020,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,CHURCHILL HEALTHCARE LTD,35021914,815.7
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,HIGHAM HILL MEDICAL CENTRE,34888618,834.1
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,WOOD STREET HEALTH CENTRE,34888637,837.84
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,LL MEDICAL CARE LTD,34888621,847.62
Department of Health,NHS Waltham Forest CCG,12/31/2020,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,CHURCHILL HEALTHCARE LTD,35021914,868.88
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,SINNOTT ROAD SURGERY,34888633,905.1
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M- PCN DES CARE HOME PREMIUM,PRC DELEGATED CO-COMMISSIONING,FIRS,35021924,922.5
Department of Health,NHS Waltham Forest CCG,12/31/2020,ME-PMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,ALLUM MEDICAL CENTRE,34888604,929.7
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR S PHILLIPS & DR M PATEL,34888610,930.72
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,HAMPTON MEDICAL CENTRE,34888616,959.02
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M- PCN DES CARE HOME PREMIUM,PRC DELEGATED CO-COMMISSIONING,MANOR PRACTICE LONDON,35021946,982.5
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-GMS Other Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,KIYANI MEDICAL PRACTICE,35021954,984.55
Department of Health,NHS Waltham Forest CCG,12/31/2020,ME-GMS GP Pension EEs Adjustments,PRC DELEGATED CO-COMMISSIONING,CRAWLEY ROAD MEDICAL CENTRE,35021916,"1,011.75"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR SHAH & PARTNERS,34888608,"1,019.61"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,OLD CHURCH SURGERY,35021948,"1,025.84"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR BAILEY PRACTICE,35021918,"1,037.63"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,RIDGEWAY SURGERY LONDON,35021952,"1,038.90"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M- PCN DES CARE HOME PREMIUM,PRC DELEGATED CO-COMMISSIONING,ALLUM MEDICAL CENTRE,34888604,"1,057.50"
Department of Health,NHS Waltham Forest CCG,12/31/2020,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,CRAWLEY ROAD MEDICAL CENTRE,35021916,"1,077.69"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,QUEENS ROAD MEDICAL CENTRE,34888631,"1,079.27"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR BAILEY PRACTICE,35021918,"1,110.30"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,LL MEDICAL CARE LTD,34888621,"1,117.54"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,LIME TREE SURGERY LONDON,34888623,"1,128.45"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DRS SS & SJ KUMAR,34888614,"1,151.95"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,PENRYHN SURGERY,34888629,"1,185.57"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,CHINGFORD MEDICAL PRACTICE,35041373,"1,238.23"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DRS SS & SJ KUMAR,34888614,"1,251.61"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,CRAWLEY ROAD MEDICAL CENTRE,35021916,"1,305.02"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,,34888635,"1,339.89"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR SHAH & PARTNERS,34888608,"1,344.70"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ECCLESBOURNE PRACTICE,34888612,"1,378.43"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,MANOR PRACTICE LONDON,35021946,"1,383.33"
Department of Health,NHS Waltham Forest CCG,12/31/2020,ME - PMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,ALLUM MEDICAL CENTRE,34888604,"1,437.99"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,,35021939,"1,464.97"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,SINNOTT ROAD SURGERY,34888633,"1,558.33"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,HAMPTON MEDICAL CENTRE,34888616,"1,578.49"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,OLD CHURCH SURGERY,35021948,"1,622.40"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,LYNDHURST SURGERY LONDON,35021943,"1,641.81"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,HURLEY GROUP,34888641,"1,645.25"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,KINGSHEAD MEDICAL PRACTICE,34914700,"1,683.33"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,KIYANI MEDICAL PRACTICE,35021954,"1,734.50"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,MIRCOFACULTY,34888625,"1,756.90"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,CHURCHILL HEALTHCARE LTD,35021914,"1,837.14"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,COMELY BANK CLINIC,34888606,"1,841.19"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR BAILEY PRACTICE,35021918,"1,859.25"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,CHURCHILL HEALTHCARE LTD,35021914,"1,900.38"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,CHINGFORD MEDICAL PRACTICE,35041373,"1,956.38"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR S PHILLIPS & DR M PATEL,34888610,"2,016.16"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,RIDGEWAY SURGERY LONDON,35021952,"2,020.83"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ST JAMES MEDICAL PRACTICE LTD,34889190,"2,030.67"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,HARROW ROAD GP PRACTICE,34888639,"2,031.07"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-APMS Contract KPIs,PRC DELEGATED CO-COMMISSIONING,HURLEY GROUP,34888641,"2,042.79"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,HIGHAM HILL MEDICAL CENTRE,34888618,"2,047.98"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,KIYANI MEDICAL PRACTICE,35021954,"2,076.63"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ALLUM MEDICAL CENTRE,34888604,"2,082.13"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,OLIVER ROAD MEDICAL CENTRE,34888627,"2,091.06"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,HAMPTON MEDICAL CENTRE,34888616,"2,116.67"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,HARROW ROAD GP PRACTICE,34888639,"2,139.71"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,KIYANI MEDICAL PRACTICE,35021954,"2,242.33"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M- PCN DES CARE HOME PREMIUM,PRC DELEGATED CO-COMMISSIONING,CHINGFORD MEDICAL PRACTICE,35041373,"2,250.00"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-GMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,MANOR PRACTICE LONDON,35021946,"2,301.25"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR BAILEY PRACTICE,35021918,"2,358.33"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,MANOR PRACTICE LONDON,35021946,"2,450.00"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,QUEENS ROAD MEDICAL CENTRE,34888631,"2,639.09"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,HIGHAM HILL MEDICAL CENTRE,34888618,"2,725.20"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,CHURCHILL HEALTHCARE LTD,35021914,"2,876.84"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,WOOD STREET HEALTH CENTRE,34888637,"2,902.89"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-GMS PCN DES Soc Prescribing,PRC DELEGATED CO-COMMISSIONING,CHINGFORD MEDICAL PRACTICE,35041373,"2,949.08"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PCN DES PHARMACY TECHNICIANS,PRC DELEGATED CO-COMMISSIONING,CHINGFORD MEDICAL PRACTICE,35041373,"2,949.08"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,LYNDHURST SURGERY LONDON,35021943,"2,966.73"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,HARROW ROAD GP PRACTICE,34888639,"3,017.40"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,DRS SS & SJ KUMAR,34888614,"3,018.32"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,LYNDHURST SURGERY LONDON,35021943,"3,104.17"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-GMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,CHINGFORD MEDICAL PRACTICE,35041373,"3,168.80"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,PENRYHN SURGERY,34888629,"3,200.00"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,LIME TREE SURGERY LONDON,34888623,"3,416.67"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS PCO Other,PRC DELEGATED CO-COMMISSIONING,MIRCOFACULTY,34888625,"3,479.00"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,ALLUM MEDICAL CENTRE,34888604,"3,485.03"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS PCN DES Soc Prescribing,PRC DELEGATED CO-COMMISSIONING,QUEENS ROAD MEDICAL CENTRE,34888631,"3,528.35"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-GMS LES Basket of Procedures,LOCAL ENHANCED SERVICES,KIYANI MEDICAL PRACTICE,35021954,"3,575.00"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,SINNOTT ROAD SURGERY,34888633,"3,599.85"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,MIRCOFACULTY,34888625,"3,613.43"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR S PHILLIPS & DR M PATEL,34888610,"3,623.18"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,CRAWLEY ROAD MEDICAL CENTRE,35021916,"3,633.33"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR SHAH & PARTNERS,34888608,"3,635.42"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,KINGSHEAD MEDICAL PRACTICE,34914700,"3,656.15"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CRAWLEY ROAD MEDICAL CENTRE,35021916,"3,657.55"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,LL MEDICAL CARE LTD,34888621,"3,714.28"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,LIME TREE SURGERY LONDON,34888623,"3,983.39"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS C&M-APMS PCN DES Physician Assoc,PRC DELEGATED CO-COMMISSIONING,QUEENS ROAD MEDICAL CENTRE,34888631,"4,044.24"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR SHAH & PARTNERS,34888608,"4,110.27"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS PCN DES Physiotherapist,PRC DELEGATED CO-COMMISSIONING,QUEENS ROAD MEDICAL CENTRE,34888631,"4,137.02"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,QUEENS ROAD MEDICAL CENTRE,34888631,"4,176.72"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS PCN DES Clin Pharmacist,PRC DELEGATED CO-COMMISSIONING,HARROW ROAD GP PRACTICE,34888639,"4,232.49"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,HARROW ROAD GP PRACTICE,34888639,"4,297.20"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-GMS LES Basket of Procedures,LOCAL ENHANCED SERVICES,DR BAILEY PRACTICE,35021918,"4,340.00"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DRS SS & SJ KUMAR,34888614,"4,350.00"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,PENRYHN SURGERY,34888629,"4,378.35"
Department of Health,NHS Waltham Forest CCG,12/31/2020,ME - PMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,KINGSHEAD MEDICAL PRACTICE,34914700,"4,418.71"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS PCN DES PCN support,LOCAL ENHANCED SERVICES,HARROW ROAD GP PRACTICE,34888639,"4,445.38"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS PCN DES Clin Pharmacist,PRC DELEGATED CO-COMMISSIONING,QUEENS ROAD MEDICAL CENTRE,34888631,"4,453.60"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,QUEENS ROAD MEDICAL CENTRE,34888631,"4,479.17"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,HURLEY GROUP,34888641,"4,539.85"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,FIRS,35021924,"4,581.61"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,MANOR PRACTICE LONDON,35021946,"4,621.63"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-GMS PCN DES Physiotherapist,PRC DELEGATED CO-COMMISSIONING,CHINGFORD MEDICAL PRACTICE,35041373,"4,634.00"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DRS SS & SJ KUMAR,34888614,"4,678.27"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,OLD CHURCH SURGERY,35021948,"4,694.27"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,RIDGEWAY SURGERY LONDON,35021952,"4,710.48"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR BAILEY PRACTICE,35021918,"4,719.52"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-GMS PCN DES PCN support,LOCAL ENHANCED SERVICES,MANOR PRACTICE LONDON,35021946,"4,781.00"
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,MIRCOFACULTY,34888625,"4,865.00"
