Department,CCG,Date,Expense Type,Expense Area,Transaction Number,Amount
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,35953157,"6,061.73"
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,35927701,"6,169.23"
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,35927660,"6,627.08"
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,35927646,"6,999.03"
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M-PMS PCN DES PCN support,LOCAL ENHANCED SERVICES,35927646,"7,240.38"
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,35927699,"7,301.38"
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,35927649,"7,693.62"
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M-PMS PCN DES PCN support,LOCAL ENHANCED SERVICES,35927697,"7,805.00"
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,35934252,"7,905.73"
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,35927646,"8,308.36"
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M-PMS PCO Other,PRC DELEGATED CO-COMMISSIONING,35934252,"8,731.00"
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M-PMS PCN DES Soc Prescribing,PRC DELEGATED CO-COMMISSIONING,35927699,"8,847.24"
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M-GMS PCN DES PCN support,LOCAL ENHANCED SERVICES,36088967,"9,170.00"
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M-PMS PCN DES Clin Pharmacist,PRC DELEGATED CO-COMMISSIONING,35927646,"9,278.34"
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M-PMS PCN DES Soc Prescribing,PRC DELEGATED CO-COMMISSIONING,35927646,"10,647.40"
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,35927646,"11,382.50"
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,35927699,"11,708.33"
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M-PMS PCN DES Clin Pharmacist,PRC DELEGATED CO-COMMISSIONING,35927699,"13,665.83"
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,35927697,"17,018.84"
Department of Health,NHS Waltham Forest CCG,31/03/2021,External Contractors,PROGRAMME PROJECTS,34257589,"18,687.57"
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M-PMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,35927699,"21,414.85"
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M-PMS LES Basket of Procedures,LOCAL ENHANCED SERVICES,35927646,"23,821.87"
Department of Health,NHS Waltham Forest CCG,31/03/2021,Clinical&Medical-Commercial Sector,PRIMARY CARE INVESTMENTS,34257589,"25,720.43"
Department of Health,NHS Waltham Forest CCG,31/03/2021,External Contractors,PROGRAMME PROJECTS,34257591,"25,720.43"
Department of Health,NHS Waltham Forest CCG,31/03/2021,Audit Fees Internal- External Prov,FINANCE,35941240,"30,000.00"
Department of Health,NHS Waltham Forest CCG,31/03/2021,Programme Support Costs,PROGRAMME PROJECTS,35946608,"30,025.62"
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,35927699,"31,488.00"
Department of Health,NHS Waltham Forest CCG,31/03/2021,Clinical&Medical-Commercial Sector,COMMISSIONING - NON ACUTE,36203733,"31,939.16"
Department of Health,NHS Waltham Forest CCG,31/03/2021,Cont Care-Mental Health (65+),CHC ADULT FULLY FUNDED,36212599,"31,965.43"
Department of Health,NHS Waltham Forest CCG,31/03/2021,Charges from CSU,CHC ADULT FULLY FUNDED,36111290,"32,000.00"
Department of Health,NHS Waltham Forest CCG,31/03/2021,Charges from CSU,CHC ADULT FULLY FUNDED,36111295,"32,000.00"
Department of Health,NHS Waltham Forest CCG,31/03/2021,Clinical&Medical-Commercial Sector,COMMUNITY SERVICES,35879874,"32,824.00"
Department of Health,NHS Waltham Forest CCG,31/03/2021,Cont Care-Mental Health (65+),CHC ADULT FULLY FUNDED,35846060,"33,039.90"
Department of Health,NHS Waltham Forest CCG,31/03/2021,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,36203769,"33,600.00"
Department of Health,NHS Waltham Forest CCG,31/03/2021,Voids and Subsidies,RECHARGES NHS PROPERTY SERVICES LTD,35852232,"34,262.67"
Department of Health,NHS Waltham Forest CCG,31/03/2021,Clinical&Medical-Commercial Sector,PRIMARY CARE INVESTMENTS,36148777,"34,699.40"
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M-PMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,35927646,"34,879.30"
Department of Health,NHS Waltham Forest CCG,31/03/2021,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,35896825,"35,909.29"
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M-PMS LES Basket of Procedures,LOCAL ENHANCED SERVICES,35927699,"36,239.13"
Department of Health,NHS Waltham Forest CCG,31/03/2021,Cont Care- Children,CHC CHILD PERS HLTH BUD,35852055,"36,903.20"
Department of Health,NHS Waltham Forest CCG,31/03/2021,Rent,"CENTRES
PROGRAMME PROJECTS",36212515,"38,248.38"
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,35927695,"38,674.02"
Department of Health,NHS Waltham Forest CCG,31/03/2021,Cont Care- Children,CHC CHILD PERS HLTH BUD,36212517,"40,857.10"
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,35927697,"42,204.40"
Department of Health,NHS Waltham Forest CCG,31/03/2021,External Contractors,PROGRAMME PROJECTS,34257585,"44,408.00"
Department of Health,NHS Waltham Forest CCG,31/03/2021,External Contractors,PROGRAMME PROJECTS,34257590,"44,408.00"
Department of Health,NHS Waltham Forest CCG,31/03/2021,External Contractors,PROGRAMME PROJECTS,34257593,"44,408.00"
Department of Health,NHS Waltham Forest CCG,31/03/2021,External Contractors,PROGRAMME PROJECTS,34257594,"44,408.00"
Department of Health,NHS Waltham Forest CCG,31/03/2021,Clinical&Medical-Commercial Sector,COMMISSIONING - NON ACUTE,35946614,"45,601.00"
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,35927693,"46,833.19"
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,35927656,"49,967.37"
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,35927652,"52,025.79"
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,36088967,"53,253.43"
Department of Health,NHS Waltham Forest CCG,31/03/2021,Cont Care-Mental Health (65+),CHC ADULT FULLY FUNDED,36219123,"56,186.29"
Department of Health,NHS Waltham Forest CCG,31/03/2021,Clinical&Medical-Independent Sector,COMMISSIONING SCHEMES,35852131,"56,201.76"
Department of Health,NHS Waltham Forest CCG,31/03/2021,Clinical&Medical-Clinical Other,COMMUNITY SERVICES,35852099,"58,475.00"
Department of Health,NHS Waltham Forest CCG,31/03/2021,Clinical&Medical-Independent Sector,MENTAL HEALTH SERVICES - OTHER,36212866,"59,910.00"
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,35953157,"59,983.21"
Department of Health,NHS Waltham Forest CCG,31/03/2021,Basic Sal-Rchgs to-from Oth Non NHS,COMMISSIONING,36130416,"60,231.38"
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,36088967,"61,902.16"
Department of Health,NHS Waltham Forest CCG,31/03/2021,Clinical&Medical-Commercial Sector,"CENTRES
WHEELCHAIR SERVICE",35879908,"62,122.50"
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,35927695,"67,951.12"
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,35927660,"70,272.17"
Department of Health,NHS Waltham Forest CCG,31/03/2021,Clinical&Medical-Commercial Sector,PRIMARY CARE INVESTMENTS,36212705,"72,678.24"
Department of Health,NHS Waltham Forest CCG,31/03/2021,Clinical&Medical-Independent Sector,COMMISSIONING SCHEMES,36212527,"76,188.00"
Department of Health,NHS Waltham Forest CCG,31/03/2021,Clinical&Medical-Commercial Sector,CLINICAL ASSESSMENT AND TREATMENT,35879893,"76,679.02"
Department of Health,NHS Waltham Forest CCG,31/03/2021,Clinical&Medical-Independent Sector,LOCAL ENHANCED SERVICES,35896841,"76,750.00"
Department of Health,NHS Waltham Forest CCG,31/03/2021,Rent,PROGRAMME PROJECTS,36212516,"80,726.05"
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,35927649,"97,156.58"
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,35927701,"103,294.56"
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,35934252,"104,864.70"
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,35927699,"105,572.17"
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,35927646,"106,467.01"
Department of Health,NHS Waltham Forest CCG,31/03/2021,Clinical&Medical-Independent Sector,COMMISSIONING SCHEMES,35852152,"136,472.17"
Department of Health,NHS Waltham Forest CCG,31/03/2021,Programme Support Costs,QUALITY PREMIUM PROGRAMME,35821562,"216,000.00"
Department of Health,NHS Waltham Forest CCG,31/03/2021,Cont Care- Children,CHC CHILDREN,35844452,"236,425.00"
Department of Health,NHS Waltham Forest CCG,31/03/2021,Cont Care- Children,CHC CHILDREN,36182846,"276,270.00"
Department of Health,NHS Waltham Forest CCG,31/03/2021,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,36111313,"594,432.00"
Department of Health,NHS Waltham Forest CCG,31/03/2021,Cont Care-Learning Disab(<65),CHC AD FULL FUND PERS HLTH BUD,36111278,"709,286.00"
