Department,Entity,Date,Expenses Area,Expenses Type,Supplier,Transaction Reference,Their Reference,Amount
Department of Health,London North West Healthcare NHS Trust,04/06/2020,Id Screening,Uniforms,Matz Medical Ltd,1282963,5789,"78,000.00"
Department of Health,London North West Healthcare NHS Trust,18/06/2020,Id Screening,Uniforms,Matz Medical Ltd,1291039,5817,"130,000.00"
Department of Health,London North West Healthcare NHS Trust,04/06/2020,Capital,Equipment,Ge Medical Systems Limited,1276816,588294,"28,902.22"
Department of Health,London North West Healthcare NHS Trust,18/06/2020,Capital,Equipment,Karl Storz Endoscopy (Uk) Ltd,1287316,6020057442,"74,602.80"
Department of Health,London North West Healthcare NHS Trust,10/06/2020,Patient Transport Contract,Patient Transport Contract,Ambulance Transfers Ltd,1280149,60369,"395,849.30"
Department of Health,London North West Healthcare NHS Trust,10/06/2020,Patient Transport Contract,Patient Transport Contract,Ambulance Transfers Ltd,1280150,60371,"263,622.64"
Department of Health,London North West Healthcare NHS Trust,11/06/2020,Id Screening,General Instruments,Cmt Equipment Limited T/A Cmt Group,1285157,671784,"76,500.00"
Department of Health,London North West Healthcare NHS Trust,11/06/2020,Id Screening,General Instruments,Cmt Equipment Limited T/A Cmt Group,1285158,676464,"198,900.00"
Department of Health,London North West Healthcare NHS Trust,24/06/2020,Id Screening,General Instruments,Cmt Equipment Limited T/A Cmt Group,1287890,681140,"165,750.00"
Department of Health,London North West Healthcare NHS Trust,10/06/2020,Textile Services,Laundry Contract,Elis Uk Limited,1279875,831013,"40,537.80"
Department of Health,London North West Healthcare NHS Trust,17/06/2020,Blood Products N.W.L,Blood Products,Nhs Blood And Transplant,1280607,889431,"212,436.57"
Department of Health,London North West Healthcare NHS Trust,17/06/2020,Blood Products E.H,Blood Products,Nhs Blood And Transplant,1280608,889436,"42,824.85"
Department of Health,London North West Healthcare NHS Trust,10/06/2020,Balance Sheet Lnwh,Pharmacy Stock Purchases,Celgene Limited,1289177,8940216674,"60,236.76"
Department of Health,London North West Healthcare NHS Trust,10/06/2020,Balance Sheet Lnwh,Pharmacy Stock Purchases,Celgene Limited,1289180,8940217558,"26,399.52"
Department of Health,London North West Healthcare NHS Trust,24/06/2020,Balance Sheet Lnwh,Pharmacy Stock Purchases,Celgene Limited,1292021,8940218045,"52,802.06"
Department of Health,London North West Healthcare NHS Trust,18/06/2020,Capital,Equipment,Alcon Eye Care Uk Limited,1262815,9246524828,"49,800.00"
Department of Health,London North West Healthcare NHS Trust,24/06/2020,Communications (Phones),Mobile Phone Call Chgs\Rental,Vodafone Ltd,1284600,94916375,"25,122.48"
Department of Health,London North West Healthcare NHS Trust,18/06/2020,Capital,Equipment,Sccl-Nhs Supply Chain Capital,1288559,9521000268,"330,318.14"
Department of Health,London North West Healthcare NHS Trust,10/06/2020,Balance Sheet Lnwh,Pharmacy Stock Purchases,Csl Behring Uk Ltd,1284053,994023919,"35,700.00"
Department of Health,London North West Healthcare NHS Trust,10/06/2020,Balance Sheet Lnwh,Lodging,Network Homes,1280124,Apr-20,"96,276.33"
Department of Health,London North West Healthcare NHS Trust,08/06/2020,H.R.  Services N.W.L,Software Purchases \ Licences,Softcat Ltd,1288429,B000038107**,"149,148.00"
Department of Health,London North West Healthcare NHS Trust,10/06/2020,I.B.D Nursing,Clinical Services Received,Lloyds Pharmacy Clinical Homecare,1280613,CS12341,"59,223.60"
Department of Health,London North West Healthcare NHS Trust,10/06/2020,I.B.D Nursing,Clinical Services Received,Lloyds Pharmacy Clinical Homecare,1282622,CS12748,"59,223.60"
Department of Health,London North West Healthcare NHS Trust,10/06/2020,Balance Sheet Lnwh,Pharmacy Stock Purchases,Alliance Healthcare (Distribution) Limited,1289691,D03N08044,"36,877.14"
Department of Health,London North West Healthcare NHS Trust,24/06/2020,Utilities E.H,Electricity,Laser Energy Buying Group,1283604,E7220845,"119,111.58"
Department of Health,London North West Healthcare NHS Trust,24/06/2020,Utilities N.P.H,Electricity,Laser Energy Buying Group,1283605,E7220846,"329,337.44"
Department of Health,London North West Healthcare NHS Trust,24/06/2020,Utilities N.P.H,Electricity,Laser Energy Buying Group,1285637,E7230624,"290,143.55"
Department of Health,London North West Healthcare NHS Trust,24/06/2020,Utilities E.H,Electricity,Laser Energy Buying Group,1285636,E7230625,"108,391.07"
Department of Health,London North West Healthcare NHS Trust,24/06/2020,Utilities E.H,Gas,Laser Energy Buying Group,1283603,G7221045,"66,451.31"
Department of Health,London North West Healthcare NHS Trust,24/06/2020,Utilities E.H,Gas,Laser Energy Buying Group,1285260,G7222402,"25,473.71"
Department of Health,London North West Healthcare NHS Trust,18/06/2020,I M & T Support Maintenance,Project Management,Cgi It Uk Limited,1283047,GB014038740,"62,005.76"
Department of Health,London North West Healthcare NHS Trust,04/06/2020,Capital,Equipment,Cardiac Services,1277404,G-INV313180,"36,963.60"
Department of Health,London North West Healthcare NHS Trust,10/06/2020,Capital,Equipment,Cardiac Services,1280300,G-INV313434,"30,126.00"
Department of Health,London North West Healthcare NHS Trust,24/06/2020,Oncology E.H,Consultant,Imperial College Healthcare Nhs Trust,1268556,H0184829,"31,198.49"
Department of Health,London North West Healthcare NHS Trust,24/06/2020,Oncology,Consultant,Imperial College Healthcare Nhs Trust,1268555,H0184830,"25,337.74"
Department of Health,London North West Healthcare NHS Trust,10/06/2020,H.R.  Services N.W.L,Software Purchases \ Licences,Softcat Ltd,1280080,INV02575791,"149,148.00"
Department of Health,London North West Healthcare NHS Trust,10/06/2020,Capital,Software,Softcat Ltd,1280579,INV02582302,"184,800.00"
Department of Health,London North West Healthcare NHS Trust,18/06/2020,Radiology N.P.H,General Instruments,Agito Medical A/S,1238980,INV06892,"48,000.00"
Department of Health,London North West Healthcare NHS Trust,04/06/2020,Radiology N.P.H,General Instruments,Agito Medical A/S,1277223,INV07430,"48,000.00"
Department of Health,London North West Healthcare NHS Trust,10/06/2020,St Marks Surgery,Project Management,Apira Ltd,1279047,LNWUH-FLEX003,"36,000.00"
Department of Health,London North West Healthcare NHS Trust,10/06/2020,Balance Sheet Lnwh,Lodging,Network Homes,1274571,MAR 2020A,"95,928.20"
Department of Health,London North West Healthcare NHS Trust,18/06/2020,Balance Sheet Lnwh,Pharmacy Stock Purchases,Healthcare At Home Limited,1291994,OP/9133673,"60,900.00"
Department of Health,London North West Healthcare NHS Trust,24/06/2020,Balance Sheet Lnwh,Pharmacy Stock Purchases,Healthcare At Home Limited,1291981,OP/9225980,"49,986.04"
Department of Health,London North West Healthcare NHS Trust,24/06/2020,I M & T Support Maintenance,Pas Licence And Support,Specialist Computer Centres Plc,1284717,OP/M764169,"103,584.00"
Department of Health,London North West Healthcare NHS Trust,18/06/2020,I M & T Support Maintenance,Hardware Maintenance,Mti Technology Limited,1282992,SI004374,"34,249.65"
Department of Health,London North West Healthcare NHS Trust,18/06/2020,Capital,Software,Edm Group Ltd,1292516,SI317S45,"72,011.52"
Department of Health,London North West Healthcare NHS Trust,18/06/2020,Capital,Software,Edm Group Ltd,1292629,SI318646,"176,198.40"
Department of Health,London North West Healthcare NHS Trust,29/06/2020,Commercial,Liability To 3rd Party Ins,Nhs Resolution,1295217,SICX402068,"46,365.90"
Department of Health,London North West Healthcare NHS Trust,29/06/2020,Depreciation\Provisions N.W.L,Nhsla Premium,Nhs Resolution,1295217,SICX402068,"1,847,441.00"
Department of Health,London North West Healthcare NHS Trust,10/06/2020,Balance Sheet Lnwh,Pharmacy Stock Purchases,Alk-Abello Ltd,1284354,SIN102897298,"90,000.00"
Department of Health,London North West Healthcare NHS Trust,24/06/2020,Balance Sheet Lnwh,Pharmacy Stock Purchases,Alk-Abello Ltd,1289747,SIN102908091,"36,000.00"
Department of Health,London North West Healthcare NHS Trust,04/06/2020,Textile Services,Laundry Contract,Elis Uk Limited,1276729,SN3217842,"25,797.60"
Department of Health,London North West Healthcare NHS Trust,04/06/2020,Textile Services,Laundry Contract,Elis Uk Limited,1276730,SN3217956,"115,856.68"
Department of Health,London North West Healthcare NHS Trust,10/06/2020,Id Screening,Protective Clothing,The Income Generation Company (Tig Ltd),1272419,TIG03,"196,416.00"
Department of Health,London North West Healthcare NHS Trust,10/06/2020,Id Screening,Protective Clothing,The Income Generation Company (Tig Ltd),1288194,TIG20,"37,537.50"
