Department,Entity,Date,Expenses Area,Expenses Type,Supplier,Transaction Reference,Their Reference,Amount
Department of Health,London North West Healthcare NHS Trust,17/02/2021,Car Parking N.W.L,N.P.H. Car Parking Contract,Apcoa Facilities Management (Uk) Limited,1390999,107100,"193,694.40"
Department of Health,London North West Healthcare NHS Trust,10/02/2021,Estates & Services N.P.H,Engineering  Contract Works,Vm Construction Ltd,1400459,11372,"29,023.20"
Department of Health,London North West Healthcare NHS Trust,24/02/2021,Capital,Estates/Building Works,Vm Construction Ltd,1404374,11391,"35,556.00"
Department of Health,London North West Healthcare NHS Trust,24/02/2021,Cardiology Investigationsn.W.L,General Instruments,Medtronic Ltd,1383859,1204391535,"174,000.00"
Department of Health,London North West Healthcare NHS Trust,03/02/2021,Capital,Estates/Building Works,Excel Contractors Ltd,1387612,12812,"35,475.60"
Department of Health,London North West Healthcare NHS Trust,03/02/2021,Capital,Estates/Building Works,Excel Contractors Ltd,1387608,12813,"26,984.40"
Department of Health,London North West Healthcare NHS Trust,03/02/2021,Capital,Estates/Building Works,Excel Contractors Ltd,1387607,12814,"28,162.44"
Department of Health,London North West Healthcare NHS Trust,10/02/2021,Capital,Estates/Building Works,Excel Contractors Ltd,1391924,12853,"154,406.65"
Department of Health,London North West Healthcare NHS Trust,10/02/2021,Capital,Estates/Building Works,Excel Contractors Ltd,1401362,12888,"90,862.80"
Department of Health,London North West Healthcare NHS Trust,10/02/2021,Balance Sheet Lnwh,Pharmacy Stock Purchases,Roche Products Ltd,1402905,1322165837,"79,967.33"
Department of Health,London North West Healthcare NHS Trust,10/02/2021,Balance Sheet Lnwh,Pharmacy Stock Purchases,Roche Products Ltd,1400080,1322170637,"37,525.13"
Department of Health,London North West Healthcare NHS Trust,24/02/2021,Balance Sheet Lnwh,Pharmacy Stock Purchases,Roche Products Ltd,1400077,1322172836,"28,140.65"
Department of Health,London North West Healthcare NHS Trust,24/02/2021,Post Room N.P.H,Postage,Pitney Bowes Limited - Franking,1407899,13755574 FEB21,"25,000.00"
Department of Health,London North West Healthcare NHS Trust,03/02/2021,Post Room N.P.H,Postage,Pitney Bowes Limited - Franking,1396533,13755574 JAN 21,"25,000.00"
Department of Health,London North West Healthcare NHS Trust,03/02/2021,E.B.M.E.,E.B.M.E Contract,Bcas Bio Medical Services Ltd,1388658,14063,"210,000.00"
Department of Health,London North West Healthcare NHS Trust,03/02/2021,Managed Print,Managed Print,Genmed.Me Ltd,1387609,18297,"136,071.91"
Department of Health,London North West Healthcare NHS Trust,24/02/2021,Endoscopy N.P.H,Clinical Services Received,Genmed.Me Ltd,1399496,18370,"623,234.78"
Department of Health,London North West Healthcare NHS Trust,10/02/2021,Capital,Estates/Building Works,Rbl Asbestos Removals  ( Roothings ),1399149,20222,"80,070.00"
Department of Health,London North West Healthcare NHS Trust,03/02/2021,Incontinence Bcs,Incontinence Contract,Ontex Healthcare Uk Ltd,1347668,2030271815,"43,042.66"
Department of Health,London North West Healthcare NHS Trust,17/02/2021,Incontinence Bcs,Incontinence Contract,Ontex Healthcare Uk Ltd,1394399,2030278533,"45,623.17"
Department of Health,London North West Healthcare NHS Trust,24/02/2021,Capital,Equipment,Baxter Healthcare Ltd,1399340,21017124,"73,800.00"
Department of Health,London North West Healthcare NHS Trust,24/02/2021,Capital,Estates/Building Works,Sunbelt Rentals Limited,1398751,21025479,"34,008.00"
Department of Health,London North West Healthcare NHS Trust,24/02/2021,Radiology C.M.H,Medical Equip Repairs & Maint,Sccl-Nhs Supply Chain Maintenance,1397708,2121005454,"31,164.00"
Department of Health,London North West Healthcare NHS Trust,10/02/2021,Soft F.M. Contract N.W.L,Catering Equipment,Willis Jenkins Limited,1390994,21/3333L,"50,520.00"
Department of Health,London North West Healthcare NHS Trust,24/02/2021,Capital,Estates/Building Works,D Santer T/A Totalworth Building Services,1402230,250,"27,228.00"
Department of Health,London North West Healthcare NHS Trust,10/02/2021,Capital,Estates/Building Works,D Santer T/A Totalworth Building Services,1391946,251,"34,405.20"
Department of Health,London North West Healthcare NHS Trust,24/02/2021,Capital,Estates/Building Works,D Santer T/A Totalworth Building Services,1402251,256,"139,200.00"
Department of Health,London North West Healthcare NHS Trust,24/02/2021,Capital,Estates/Building Works,D Santer T/A Totalworth Building Services,1408525,261,"186,000.00"
Department of Health,London North West Healthcare NHS Trust,17/02/2021,Id Screening,General Instruments,Full Support Healthcare Limited,1394428,278701,"99,824.40"
Department of Health,London North West Healthcare NHS Trust,17/02/2021,Capital,Estates/Building Works,Apcoa Parking ( Uk ) Limited,1403466,286649,"168,800.35"
Department of Health,London North West Healthcare NHS Trust,17/02/2021,Capital,Estates/Building Works,Apcoa Parking ( Uk ) Limited,1403471,286651,"541,559.16"
Department of Health,London North West Healthcare NHS Trust,17/02/2021,Capital,Estates/Building Works,Apcoa Parking ( Uk ) Limited,1403457,286753,"168,800.35"
Department of Health,London North West Healthcare NHS Trust,17/02/2021,Capital,Estates/Building Works,Apcoa Parking ( Uk ) Limited,1403458,286755,"541,559.16"
Department of Health,London North West Healthcare NHS Trust,17/02/2021,Capital,Equipment,Haemonetics Limited,1396166,290985,"25,200.00"
Department of Health,London North West Healthcare NHS Trust,24/02/2021,Capacity Plan Recruitment Nwl,Other Recruitment Costs,Search Recruitment Limited,1399121,3421,"28,728.00"
Department of Health,London North West Healthcare NHS Trust,24/02/2021,Capital,Estates/Building Works,Seville Developments Ltd,1398026,3823,"449,187.12"
Department of Health,London North West Healthcare NHS Trust,24/02/2021,Capital,Equipment,Fujifilm Sonosite Limited,1396480,384364,"46,058.40"
Department of Health,London North West Healthcare NHS Trust,24/02/2021,Capital,Estates/Building Works,Seville Developments Ltd,1401420,3860,"25,893.60"
Department of Health,London North West Healthcare NHS Trust,24/02/2021,Capital,Estates/Building Works,Seville Developments Ltd,1402571,3885,"123,330.00"
Department of Health,London North West Healthcare NHS Trust,24/02/2021,Capital,Estates/Building Works,Seville Developments Ltd,1408954,3951,"734,124.79"
Department of Health,London North West Healthcare NHS Trust,03/02/2021,Capital,Staff/Agency Costs,Insight Direct ( Uk ) Limited,1386762,5120393,"137,566.80"
Department of Health,London North West Healthcare NHS Trust,03/02/2021,Finance Directorate Mgmt,Miscellaneous Expenses,Central And North West London,1373525,53495544,"75,705.20"
Department of Health,London North West Healthcare NHS Trust,03/02/2021,Finance Directorate Mgmt,Miscellaneous Expenses,Central And North West London,1373530,53495550,"75,705.20"
Department of Health,London North West Healthcare NHS Trust,03/02/2021,Finance Directorate Mgmt,Miscellaneous Expenses,Central And North West London,1373528,53495562,"75,705.20"
Department of Health,London North West Healthcare NHS Trust,03/02/2021,Finance Directorate Mgmt,Miscellaneous Expenses,Central And North West London,1373531,53495578,"75,705.20"
Department of Health,London North West Healthcare NHS Trust,03/02/2021,Finance Directorate Mgmt,Miscellaneous Expenses,Central And North West London,1375055,53495956,"98,694.87"
Department of Health,London North West Healthcare NHS Trust,03/02/2021,Balance Sheet Lnwh,Pharmacy Stock Purchases,Aah Pharmaceuticals Limited,1393750,53636820P,"30,932.76"
Department of Health,London North West Healthcare NHS Trust,10/02/2021,Balance Sheet Lnwh,Pharmacy Stock Purchases,Aah Pharmaceuticals Limited,1393675,53758418L,"46,203.84"
Department of Health,London North West Healthcare NHS Trust,24/02/2021,Cancer Screening,General Instruments,Chrystal Consulting Limited,1399568,54749 FEB21,"164,228.66"
Department of Health,London North West Healthcare NHS Trust,24/02/2021,H.R.  Services N.W.L,Legal Fees,Radcliffeslebrasseur Llp,1410294,56901/26,"100,000.00"
Department of Health,London North West Healthcare NHS Trust,03/02/2021,Capital,Estates/Building Works,Austin Turner And Co Ltd,1388862,62655,"30,000.00"
Department of Health,London North West Healthcare NHS Trust,24/02/2021,Capital,Estates/Building Works,Austin Turner And Co Ltd,1398766,62661,"47,173.48"
Department of Health,London North West Healthcare NHS Trust,24/02/2021,Capital,Estates/Building Works,Austin Turner And Co Ltd,1398636,62662,"56,166.04"
Department of Health,London North West Healthcare NHS Trust,03/02/2021,B.C.S External Estates Slas,Estates N.H.S Propery Services,Nhs Brent Ccg,1376573,7022604075,"250,000.00"
Department of Health,London North West Healthcare NHS Trust,24/02/2021,Regional Rehab Unit,Substantive A And C Band 5,Harrow London Borough Council,1399237,704368530,"35,134.44"
Department of Health,London North West Healthcare NHS Trust,24/02/2021,Capital,I.C.T Hardware,Dell Computer Corporation Ltd,1396276,7402680899,"90,000.00"
Department of Health,London North West Healthcare NHS Trust,24/02/2021,Capital,I.C.T Hardware,Dell Computer Corporation Ltd,1399204,7402681942,"356,956.90"
Department of Health,London North West Healthcare NHS Trust,22/02/2021,St Marks Surgery,Medical Equip Repairs & Maint,Intuitive Surgical Limited,1377483,764498,"198,000.00"
Department of Health,London North West Healthcare NHS Trust,10/02/2021,Capital,Estates/Building Works,Boss Plumbing & Heating Services Ltd,1396417,7951,"71,142.00"
Department of Health,London North West Healthcare NHS Trust,10/02/2021,Capital,Estates/Building Works,Boss Plumbing & Heating Services Ltd,1396420,7954,"34,500.00"
Department of Health,London North West Healthcare NHS Trust,22/02/2021,St Marks Surgery,General Instruments,Intuitive Surgical Limited,1380986,800021189,"156,000.00"
Department of Health,London North West Healthcare NHS Trust,24/02/2021,Pathology Contract N.W.L,T.D.L. Out Of Scope,Unilabs Ltd,1390935,80787,"32,233.00"
Department of Health,London North West Healthcare NHS Trust,17/02/2021,Capital,Equipment,Aquilant Endoscopy,1392967,88606517,"265,823.00"
Department of Health,London North West Healthcare NHS Trust,17/02/2021,Blood Products N.W.L,Blood Products,Nhs Blood And Transplant,1393136,893975,"212,436.57"
Department of Health,London North West Healthcare NHS Trust,17/02/2021,Blood Products E.H,Blood Products,Nhs Blood And Transplant,1393158,893980,"42,824.85"
Department of Health,London North West Healthcare NHS Trust,03/02/2021,Balance Sheet Lnwh,Pharmacy Stock Purchases,Celgene Limited,1400056,8940234200,"36,561.34"
Department of Health,London North West Healthcare NHS Trust,17/02/2021,Balance Sheet Lnwh,Pharmacy Stock Purchases,Celgene Limited,1402885,8940236394,"30,890.16"
Department of Health,London North West Healthcare NHS Trust,24/02/2021,Balance Sheet Lnwh,Pharmacy Stock Purchases,Celgene Limited,1409634,8940236909,"37,068.19"
Department of Health,London North West Healthcare NHS Trust,24/02/2021,Capital,Estates/Building Works,Portakabin Limited,1401402,915069750,"202,141.08"
Department of Health,London North West Healthcare NHS Trust,03/02/2021,Capital,Equipment,Sccl-Nhs Supply Chain Capital,1389366,9521001542,"746,870.54"
Department of Health,London North West Healthcare NHS Trust,10/02/2021,Balance Sheet Lnwh,Pharmacy Stock Purchases,Csl Behring Uk Ltd,1396945,994031679,"33,600.00"
Department of Health,London North West Healthcare NHS Trust,10/02/2021,Balance Sheet Lnwh,Pharmacy Stock Purchases,Csl Behring Uk Ltd,1396944,994031680,"33,600.00"
Department of Health,London North West Healthcare NHS Trust,10/02/2021,Capital,Equipment,Olympus Keymed,1392314,CD2640204,"287,110.97"
Department of Health,London North West Healthcare NHS Trust,24/02/2021,Capital,Equipment,Bd Dispensing Uk Ltd,1407820,CI016043,"508,800.00"
Department of Health,London North West Healthcare NHS Trust,17/02/2021,I.B.D Nursing,Clinical Services Received,Lloyds Pharmacy Clinical Homecare,1388493,CS14337,"55,396.80"
Department of Health,London North West Healthcare NHS Trust,24/02/2021,I.B.D Nursing,Clinical Services Received,Lloyds Pharmacy Clinical Homecare,1397630,CS14499,"55,396.80"
Department of Health,London North West Healthcare NHS Trust,17/02/2021,Balance Sheet Lnwh,Lodging,Network Homes,1392918,Dec-20,"73,415.55"
Department of Health,London North West Healthcare NHS Trust,17/02/2021,Utilities N.P.H,Electricity,Laser Energy Buying Group,1393160,E7604354,"322,871.39"
Department of Health,London North West Healthcare NHS Trust,17/02/2021,Utilities E.H,Electricity,Laser Energy Buying Group,1393161,E7604355,"115,129.44"
Department of Health,London North West Healthcare NHS Trust,17/02/2021,Utilities N.P.H,Gas,Laser Energy Buying Group,1367028,G7443813,"85,620.82"
Department of Health,London North West Healthcare NHS Trust,17/02/2021,Utilities E.H,Gas,Laser Energy Buying Group,1378252,G7529426,"44,831.63"
Department of Health,London North West Healthcare NHS Trust,17/02/2021,Utilities N.P.H,Gas,Laser Energy Buying Group,1377913,G7529428,"94,904.87"
Department of Health,London North West Healthcare NHS Trust,10/02/2021,Utilities N.P.H,Gas,Laser Energy Buying Group,1392401,G7597082,"114,623.69"
Department of Health,London North West Healthcare NHS Trust,17/02/2021,Utilities E.H,Gas,Laser Energy Buying Group,1392400,G7597089,"54,942.66"
Department of Health,London North West Healthcare NHS Trust,03/02/2021,Patient Transport Contract,Taxi Service,Green Tomato Cars Ltd,1388977,GI-076706,"28,500.30"
Department of Health,London North West Healthcare NHS Trust,03/02/2021,Finance Directorate Mgmt,Miscellaneous Expenses,Imperial College Healthcare Nhs Trust,1391018,H0190117,"547,556.35"
Department of Health,London North West Healthcare NHS Trust,03/02/2021,Reserves,Substantive Speciality Reg,Royal Free London Nhsft,1373532,I0193993,"272,794.03"
Department of Health,London North West Healthcare NHS Trust,03/02/2021,Reserves,Substantive Speciality Reg,Royal Free London Nhsft,1386474,I0194826,"277,555.96"
Department of Health,London North West Healthcare NHS Trust,03/02/2021,Finance Directorate Mgmt,Clinical Services Received,Royal Brompton & Harefield Nhsft,1373534,I0202713,"42,082.77"
Department of Health,London North West Healthcare NHS Trust,03/02/2021,Pathology Contract N.W.L,Pathology Contract T.D.L.,Labex Facilities Llp,1388217,IN000038,"881,649.41"
Department of Health,London North West Healthcare NHS Trust,24/02/2021,Balance Sheet Lnwh,Pharmacy Stock Purchases,Healthcare At Home Limited,1409598,INUK-000354733,"64,500.00"
Department of Health,London North West Healthcare NHS Trust,03/02/2021,Information N.W.L,Professional Fees,Keystream Analytics Limited,1388843,INV-0022,"25,080.00"
Department of Health,London North West Healthcare NHS Trust,24/02/2021,Capital,Software,Cisilion Limited,1396486,INV019468,"321,590.02"
Department of Health,London North West Healthcare NHS Trust,24/02/2021,I M & T Support Maintenance,Software Purchases \ Licences,Softcat Ltd,1410254,INV02770730**,"167,996.96"
Department of Health,London North West Healthcare NHS Trust,10/02/2021,Capital,Staff/Agency Costs,Softcat Ltd,1391094,INV02790387,"32,603.33"
Department of Health,London North West Healthcare NHS Trust,17/02/2021,Capital,Software,Softcat Ltd,1396114,INV02806541,"64,800.00"
Department of Health,London North West Healthcare NHS Trust,24/02/2021,H.R.  Services N.W.L,Software Purchases \ Licences,Softcat Ltd,1397837,INV02809222,"157,204.80"
Department of Health,London North West Healthcare NHS Trust,24/02/2021,H.R.  Services N.W.L,Software Purchases \ Licences,Softcat Ltd,1410267,INV02809222**,"157,204.80"
Department of Health,London North West Healthcare NHS Trust,17/02/2021,P.A.C.S N.W.L,P.A.C.S,Soliton It Limited,1392992,INV-0677,"30,000.00"
Department of Health,London North West Healthcare NHS Trust,03/02/2021,Capital,I.C.T Hardware,Visionable Ltd,1387620,INV-1633795,"66,857.81"
Department of Health,London North West Healthcare NHS Trust,10/02/2021,Integrated Sexual Health Hill,General Instruments,Sh24 Cic,1392848,INV202011-0006,"35,155.43"
Department of Health,London North West Healthcare NHS Trust,24/02/2021,I M & T Support Maintenance,Software Maintenance,Clinisys Solutions Limited,1399254,INV34212100082,"177,885.18"
Department of Health,London North West Healthcare NHS Trust,24/02/2021,Capital,Estates/Building Works,Elmcroft Construction Limited,1399499,INV-5412,"101,528.64"
Department of Health,London North West Healthcare NHS Trust,24/02/2021,Capital,Staff/Agency Costs,Apira Ltd,1396393,LNWUH-CAR001,"88,344.00"
Department of Health,London North West Healthcare NHS Trust,24/02/2021,Capital,Staff/Agency Costs,Apira Ltd,1396394,LNWUH-EPR025,"48,384.00"
Department of Health,London North West Healthcare NHS Trust,24/02/2021,Capital,Staff/Agency Costs,Apira Ltd,1396395,LNWUH-EPR026,"40,924.80"
Department of Health,London North West Healthcare NHS Trust,10/02/2021,Finance Directorate Mgmt,Clinical Services Received,The Hillingdon Hospital Nhsft,1401903,N0106517,"29,761.00"
Department of Health,London North West Healthcare NHS Trust,24/02/2021,Medinet Lnwh,Clinical Services Received,Medinet Clinical Services Limited,1410159,N246,"32,773.79"
Department of Health,London North West Healthcare NHS Trust,24/02/2021,Medinet Lnwh,Clinical Services Received,Medinet Clinical Services Limited,1410158,N248,"66,432.53"
Department of Health,London North West Healthcare NHS Trust,24/02/2021,Medinet Lnwh,Clinical Services Received,Medinet Clinical Services Limited,1410157,N250,"46,115.14"
Department of Health,London North West Healthcare NHS Trust,24/02/2021,6 South,Other Medical Consumables,1st Call Mobility Limited,1410517,PAY ON ACCFEB21,"30,000.00"
Department of Health,London North West Healthcare NHS Trust,03/02/2021,Capital,Estates/Building Works,Vital Energi Solutions Ltd,1399153,SI-12083,"2,102,086.80"
Department of Health,London North West Healthcare NHS Trust,03/02/2021,Capital,Software,Edm Group Ltd,1388784,SI327093,"35,791.90"
Department of Health,London North West Healthcare NHS Trust,10/02/2021,P.A.C.S N.W.L,P.A.C.S,Sectra Limited,1391082,SIN002893,"73,630.80"
Department of Health,London North West Healthcare NHS Trust,03/02/2021,Balance Sheet Lnwh,Pharmacy Stock Purchases,Alk-Abello Ltd,1394311,SIN103074710,"54,000.00"
Department of Health,London North West Healthcare NHS Trust,24/02/2021,Textile Services,Laundry Contract,Elis Uk Limited,1355135,SN3290130,"26,147.11"
Department of Health,London North West Healthcare NHS Trust,24/02/2021,Textile Services,Laundry Contract,Elis Uk Limited,1401425,SN3335714,"52,518.98"
Department of Health,London North West Healthcare NHS Trust,24/02/2021,Textile Services,Laundry Contract,Elis Uk Limited,1401424,SN3335879,"151,950.38"
Department of Health,London North West Healthcare NHS Trust,03/02/2021,I M & T Support Maintenance,Software Purchases \ Licences,Seattle Software T/A Orbus Software,1388355,UK20-00683,"29,739.79"
Department of Health,London North West Healthcare NHS Trust,03/02/2021,Point Of Care N.W.L,Laboratory Service Contracts,Radiometer Limited,1387658,V00001299,"69,698.27"
,,,,,,Sum:,,"19,710,294.07"
