Department,Entity,Date,Expenses Area,Expenses Type,Supplier,Transaction Reference,Their Reference,Amount
Department of Health,London North West Healthcare NHS Trust,20/05/2020,Bed Hire Contract N.W.L,Medical Equip Repairs & Maint,Arjo Uk Ltd,1214781,3391893738,"78,960.00"
Department of Health,London North West Healthcare NHS Trust,06/05/2020,Bed Hire Contract N.W.L,Medical Equip Repairs & Maint,Arjo Uk Ltd,1259839,3392057541,"43,329.82"
Department of Health,London North West Healthcare NHS Trust,11/05/2020,Capital,Software,Nuance Communications Ireland Limited,1250643,372915,"45,000.00"
Department of Health,London North West Healthcare NHS Trust,20/05/2020,Capital,Equipment,Fileder Filter Systems Limited,1280296,472659A,"35,694.72"
Department of Health,London North West Healthcare NHS Trust,13/05/2020,Capital,Equipment,Carl Zeiss Ltd,1266909,5140495036,"126,853.80"
Department of Health,London North West Healthcare NHS Trust,27/05/2020,Balance Sheet Lnwh,Pharmacy Stock Purchases,Aah Pharmaceuticals Limited,1278149,53241787E,"68,208.00"
Department of Health,London North West Healthcare NHS Trust,06/05/2020,Medicine Management,Clinical Services Received,Central And North West London,1272877,53488120,"73,858.73"
Department of Health,London North West Healthcare NHS Trust,13/05/2020,Id Screening,Uniforms,Matz Medical Ltd,1276706,5534,"52,200.00"
Department of Health,London North West Healthcare NHS Trust,06/05/2020,Capital,Estates/Building Works,Atos It Services Uk Ltd,1266715,5584332939,"39,446.40"
Department of Health,London North West Healthcare NHS Trust,27/05/2020,Id Screening,Uniforms,Matz Medical Ltd,1284566,5803,"33,000.00"
Department of Health,London North West Healthcare NHS Trust,20/05/2020,Gynaecology Outpatients N.P.H,Other Medical Consumables,Karl Storz Endoscopy (Uk) Ltd,1271604,6020058808,"26,430.48"
Department of Health,London North West Healthcare NHS Trust,06/05/2020,Balance Sheet Lnwh,Pharmacy Stock Purchases,Mawdsleys-Brookes & Co Ltd,1267503,6754625,"50,679.36"
Department of Health,London North West Healthcare NHS Trust,06/05/2020,Balance Sheet Lnwh,Pharmacy Stock Purchases,Mawdsleys-Brookes & Co Ltd,1267509,6755779,"47,976.00"
Department of Health,London North West Healthcare NHS Trust,27/05/2020,Procurement,Uniforms,Merlin Developments Ltd,1270622,70,"37,980.00"
Department of Health,London North West Healthcare NHS Trust,05/05/2020,Mattock Lne Health Cntrestates,Rates,Ealing London Borough Council,1263709,7069351-20/21,"44,954.00"
Department of Health,London North West Healthcare NHS Trust,05/05/2020,Acton Health Centre Estates,Rates,Ealing London Borough Council,1263710,7076048-20/21,"41,230.00"
Department of Health,London North West Healthcare NHS Trust,05/05/2020,Featherstone Road Estates,Rates,Ealing London Borough Council,1263711,7076121-20/21,"28,672.00"
Department of Health,London North West Healthcare NHS Trust,06/05/2020,Capital,I.C.T Hardware,Dell Computer Corporation Ltd,1266472,7402600090,"247,080.00"
Department of Health,London North West Healthcare NHS Trust,20/05/2020,I M & T Support Maintenance,Computer Equipment,Dell Computer Corporation Ltd,1270662,7402612922,"139,044.00"
Department of Health,London North West Healthcare NHS Trust,11/05/2020,Capital,Estates/Building Works,Medical Imaging Systems Ltd,1256573,80195,"140,541.68"
Department of Health,London North West Healthcare NHS Trust,11/05/2020,Capital,Estates/Building Works,Medical Imaging Systems Ltd,1256574,80196,"49,560.00"
Department of Health,London North West Healthcare NHS Trust,21/05/2020,Blood Products N.W.L,Blood Products,Nhs Blood And Transplant,1276745,880986,"214,579.84"
Department of Health,London North West Healthcare NHS Trust,21/05/2020,Blood Products E.H,Blood Products,Nhs Blood And Transplant,1276744,880991,"45,849.85"
Department of Health,London North West Healthcare NHS Trust,21/05/2020,Blood Products N.W.L,Blood Products,Nhs Blood And Transplant,1263287,888162,"212,436.57"
Department of Health,London North West Healthcare NHS Trust,21/05/2020,Blood Products E.H,Blood Products,Nhs Blood And Transplant,1263288,888167,"42,824.85"
Department of Health,London North West Healthcare NHS Trust,28/05/2020,Blood Products N.W.L,Blood Products,Nhs Blood And Transplant,1268539,888899,"212,436.57"
Department of Health,London North West Healthcare NHS Trust,28/05/2020,Blood Products E.H,Blood Products,Nhs Blood And Transplant,1268540,888904,"42,824.85"
Department of Health,London North West Healthcare NHS Trust,27/05/2020,Balance Sheet Lnwh,Pharmacy Stock Purchases,Celgene Limited,1284046,8940215266,"41,909.62"
Department of Health,London North West Healthcare NHS Trust,20/05/2020,Capital,Equipment,Sccl-Nhs Supply Chain Capital,1259941,9050002246,"383,296.99"
Department of Health,London North West Healthcare NHS Trust,20/05/2020,Capital,Equipment,Sccl-Nhs Supply Chain Capital,1279108,9050002390,"628,351.20"
Department of Health,London North West Healthcare NHS Trust,20/05/2020,Capital,Equipment,Draeger Medical Uk Ltd,1269746,918402774,"42,987.95"
Department of Health,London North West Healthcare NHS Trust,20/05/2020,Capital,Equipment,Fujifilm Uk Limited,1270191,9333208000,"83,994.00"
Department of Health,London North West Healthcare NHS Trust,06/05/2020,Radiology N.P.H,Medical Equip Repairs & Maint,Philips Respironics Uk,1266243,944090837,"50,545.78"
Department of Health,London North West Healthcare NHS Trust,27/05/2020,Capital,Equipment,Nihon Kohden Uk Limited,1274959,95003342,"184,381.15"
Department of Health,London North West Healthcare NHS Trust,27/05/2020,Balance Sheet Lnwh,Pharmacy Stock Purchases,Csl Behring Uk Ltd,1278412,994023415,"33,600.00"
Department of Health,London North West Healthcare NHS Trust,06/05/2020,Southall Bdway Health Estates,Rent Payable,Messers Mohammad & Rahman,1245124,AMAR/RD/1671,"82,500.00"
Department of Health,London North West Healthcare NHS Trust,13/05/2020,I.B.D Nursing,Clinical Services Received,Lloyds Pharmacy Clinical Homecare,1238533,CS12166,"59,223.60"
Department of Health,London North West Healthcare NHS Trust,20/05/2020,I M & T Support Maintenance,Project Management,Cgi It Uk Limited,1270560,GB014037101,"62,005.76"
Department of Health,London North West Healthcare NHS Trust,20/05/2020,Pathology Contract N.W.L,Pathology Contract T.D.L.,Nwlht Analytical Llp,1262836,IN000440,"1,110,215.00"
Department of Health,London North West Healthcare NHS Trust,20/05/2020,Pathology Contract N.W.L,Pathology Contract T.D.L.,Nwlht Facilities Llp,1262837,IN000460,"650,980.80"
Department of Health,London North West Healthcare NHS Trust,27/05/2020,Payroll,Lease Cars,Ensure Uk Limited,1263543,INS-40600,"294,109.44"
Department of Health,London North West Healthcare NHS Trust,06/05/2020,I M & T Support Maintenance,Software Maintenance,Softcat Ltd,1266455,INV02557003,"33,896.93"
Department of Health,London North West Healthcare NHS Trust,20/05/2020,Capital,I.C.T Hardware,Softcat Ltd,1272107,INV02567833,"61,232.64"
Department of Health,London North West Healthcare NHS Trust,27/05/2020,Radiology N.P.H,General Instruments,Agito Medical A/S,1248704,INV07058,"60,000.00"
Department of Health,London North West Healthcare NHS Trust,06/05/2020,Radiology N.P.H,General Instruments,Agito Medical A/S,1264926,INV07274,"48,000.00"
Department of Health,London North West Healthcare NHS Trust,27/05/2020,Capital,Equipment,Arthrex Ltd,1259501,INV-20-03-3147,"40,120.43"
Department of Health,London North West Healthcare NHS Trust,13/05/2020,Information E.H,Software Maintenance,Phoenix Software Ltd,1268561,OP/1865179,"71,789.92"
Department of Health,London North West Healthcare NHS Trust,27/05/2020,Balance Sheet Lnwh,Pharmacy Stock Purchases,Healthcare At Home Limited,1278355,OP/9133642,"47,272.66"
Department of Health,London North West Healthcare NHS Trust,27/05/2020,I M & T Support Maintenance,Software Maintenance,Teleologic Ltd,1272471,S1-1686,"25,872.00"
Department of Health,London North West Healthcare NHS Trust,20/05/2020,Finance Directorate Mgmt,Liability To 3rd Party Ins,Nhs Resolution,1273488,SICX401172,"1,893,806.90"
Department of Health,London North West Healthcare NHS Trust,27/05/2020,Finance Directorate Mgmt,Liability To 3rd Party Ins,Nhs Resolution,1282914,SICX401508,"1,893,806.90"
Department of Health,London North West Healthcare NHS Trust,06/05/2020,P.A.C.S N.W.L,P.A.C.S,Sectra Limited,1251029,SIN002177,"73,630.80"
Department of Health,London North West Healthcare NHS Trust,06/05/2020,P.A.C.S N.W.L,P.A.C.S,Sectra Limited,1266457,SIN002264,"73,630.80"
Department of Health,London North West Healthcare NHS Trust,06/05/2020,Point Of Care N.W.L,Laboratory Service Contracts,Radiometer Limited,1267654,V00000603,"69,698.27"
