Department,Entity,Date,Expenses Area,Expenses Type,Supplier,Transaction Reference,Their Reference,Amount
Department of Health,London North West Healthcare NHS Trust,07/10/2020,Balance Sheet Lnwh,Pharmacy Stock Purchases,Roche Products Ltd,1327044,1322152937,"33,250.32"
Department of Health,London North West Healthcare NHS Trust,14/10/2020,Balance Sheet Lnwh,Pharmacy Stock Purchases,Roche Products Ltd,1332951,1322154324,"45,862.46"
Department of Health,London North West Healthcare NHS Trust,21/10/2020,Post Room N.P.H,Postage,Pitney Bowes Limited - Franking,1351314,13755574 OCT 20,"25,000.00"
Department of Health,London North West Healthcare NHS Trust,14/10/2020,Post Room N.P.H,Postage,Pitney Bowes Limited - Franking,1347074,13755574 OCT20,"25,000.00"
Department of Health,London North West Healthcare NHS Trust,07/10/2020,Endoscopy N.P.H,Project Management,Genmed.Me Ltd,1333870,17983,"1,158,572.99"
Department of Health,London North West Healthcare NHS Trust,07/10/2020,Endoscopy N.P.H,Project Management,Genmed.Me Ltd,1333871,17984,"65,095.56"
Department of Health,London North West Healthcare NHS Trust,07/10/2020,Endoscopy N.P.H,Project Management,Genmed.Me Ltd,1333872,17985,"65,095.56"
Department of Health,London North West Healthcare NHS Trust,07/10/2020,Endoscopy N.P.H,Project Management,Genmed.Me Ltd,1333873,17986,"361,198.94"
Department of Health,London North West Healthcare NHS Trust,07/10/2020,Theatres N.P.H,General Instruments,Johnson And Johnson Medical Limited,1155972,19286240,"34,996.45"
Department of Health,London North West Healthcare NHS Trust,28/10/2020,Theatres N.P.H,General Instruments,Johnson And Johnson Medical Limited,1335375,20231502,"25,876.34"
Department of Health,London North West Healthcare NHS Trust,28/10/2020,Radiology E.H,Medical Equip Repairs & Maint,Sccl-Nhs Supply Chain Maintenance,1334505,2121003444,"39,189.33"
Department of Health,London North West Healthcare NHS Trust,07/10/2020,Capital,Estates/Building Works,Apcoa Parking ( Uk ) Limited,1323623,284052,"129,249.11"
Department of Health,London North West Healthcare NHS Trust,07/10/2020,Capital,Estates/Building Works,Apcoa Parking ( Uk ) Limited,1324339,284087,"1,631,627.74"
Department of Health,London North West Healthcare NHS Trust,07/10/2020,Capital,Furniture & Fittings,Stryker (Uk) Ltd,1325602,28867066,"27,562.46"
Department of Health,London North West Healthcare NHS Trust,21/10/2020,Pathology Contract E.H,T.D.L. Out Of Scope,The Royal Marsden Nhsft,1219109,45768540,"39,370.00"
Department of Health,London North West Healthcare NHS Trust,14/10/2020,Balance Sheet Lnwh,Pharmacy Stock Purchases,Aah Pharmaceuticals Limited,1332807,49896723D,"33,406.56"
Department of Health,London North West Healthcare NHS Trust,28/10/2020,Capital,I.C.T Hardware,Insight Direct ( Uk ) Limited,1334081,5000573,"165,000.00"
Department of Health,London North West Healthcare NHS Trust,28/10/2020,Finance Directorate Mgmt,Miscellaneous Expenses,Central And North West London,1317751,53494512,"89,615.14"
Department of Health,London North West Healthcare NHS Trust,28/10/2020,Finance Directorate Mgmt,Miscellaneous Expenses,Central And North West London,1317752,53494519,"91,429.98"
Department of Health,London North West Healthcare NHS Trust,28/10/2020,Finance Directorate Mgmt,Miscellaneous Expenses,Central And North West London,1317753,53494525,"91,429.98"
Department of Health,London North West Healthcare NHS Trust,28/10/2020,Finance Directorate Mgmt,Miscellaneous Expenses,Central And North West London,1318357,53494538,"87,598.66"
Department of Health,London North West Healthcare NHS Trust,21/10/2020,Capital,I.C.T Hardware,Bt Global Services,1328894,545644,"252,766.96"
Department of Health,London North West Healthcare NHS Trust,21/10/2020,Capital,Software,Bt Global Services,1328894,545644,"183,021.77"
Department of Health,London North West Healthcare NHS Trust,14/10/2020,Cancer Screening,General Instruments,Chrystal Consulting Limited,1334868,54749 AUG 2020,"164,228.66"
Department of Health,London North West Healthcare NHS Trust,14/10/2020,Cancer Screening,General Instruments,Chrystal Consulting Limited,1334870,54749 OCT 2020,"164,228.66"
Department of Health,London North West Healthcare NHS Trust,14/10/2020,Cancer Screening,General Instruments,Chrystal Consulting Limited,1334869,54749 SEP 2020,"164,228.66"
Department of Health,London North West Healthcare NHS Trust,07/10/2020,Patient Transport Contract,Patient Transport Contract,Ambulance Transfers Ltd,1325424,60428,"473,437.78"
Department of Health,London North West Healthcare NHS Trust,07/10/2020,Patient Transport Contract,Patient Transport Contract,Ambulance Transfers Ltd,1325426,60430,"171,039.19"
Department of Health,London North West Healthcare NHS Trust,14/10/2020,Capital,Estates/Building Works,London Fire Solutions,1327609,6274,"27,630.00"
Department of Health,London North West Healthcare NHS Trust,07/10/2020,Financial Services,Miscellaneous Expenses,Nhs Ealing Ccg,1040814,7023103395,"307,174.00"
Department of Health,London North West Healthcare NHS Trust,09/10/2020,Capital,Estates/Building Works,Medical Imaging Systems Ltd,1324767,81549,"192,303.28"
Department of Health,London North West Healthcare NHS Trust,22/10/2020,Blood Products N.W.L,Blood Products,Nhs Blood And Transplant,1327605,891616,"212,436.57"
Department of Health,London North West Healthcare NHS Trust,22/10/2020,Blood Products E.H,Blood Products,Nhs Blood And Transplant,1327606,891621,"42,824.85"
Department of Health,London North West Healthcare NHS Trust,21/10/2020,Balance Sheet Lnwh,Pharmacy Stock Purchases,Celgene Limited,1351859,8940227019,"35,837.42"
Department of Health,London North West Healthcare NHS Trust,28/10/2020,Balance Sheet Lnwh,Pharmacy Stock Purchases,Celgene Limited,1351861,8940227586,"29,264.76"
Department of Health,London North West Healthcare NHS Trust,28/10/2020,Interest & Dividends N.W.L,Finance Lease Interest,De Lage Landen Leasing Ltd,1316045,9.4312E+13,"251,989.40"
Department of Health,London North West Healthcare NHS Trust,14/10/2020,Balance Sheet Lnwh,Pharmacy Stock Purchases,Csl Behring Uk Ltd,1348778,994028111,"25,200.00"
Department of Health,London North West Healthcare NHS Trust,07/10/2020,Systems Accounts,Software Maintenance,Advanced Business Software And Solutions Ltd,1311616,ARCMIN/99079606,"56,784.82"
Department of Health,London North West Healthcare NHS Trust,21/10/2020,Systems Accounts,Software Maintenance,Advanced Business Software And Solutions Ltd,1351144,ARCMIN/99080597,"56,609.65"
Department of Health,London North West Healthcare NHS Trust,07/10/2020,Balance Sheet Lnwh,Lodging,Network Homes,1325718,Aug-20,"85,422.31"
Department of Health,London North West Healthcare NHS Trust,21/10/2020,I.B.D Nursing,Clinical Services Received,Lloyds Pharmacy Clinical Homecare,1330672,CS13627,"55,396.80"
Department of Health,London North West Healthcare NHS Trust,14/10/2020,Balance Sheet Lnwh,Pharmacy Stock Purchases,Alliance Healthcare (Distribution) Limited,1333198,D09G06064,"33,030.31"
Department of Health,London North West Healthcare NHS Trust,14/10/2020,Utilities N.P.H,Electricity,Laser Energy Buying Group,1327598,E7380475,"319,832.15"
Department of Health,London North West Healthcare NHS Trust,28/10/2020,A&E Administration,Software Maintenance,Emis Health,1334057,EM-FIN002319,"38,979.11"
Department of Health,London North West Healthcare NHS Trust,28/10/2020,I M & T Support Maintenance,Software Maintenance,Emis Health,1334057,EM-FIN002319,"29,641.66"
Department of Health,London North West Healthcare NHS Trust,07/10/2020,Reserves,Substantive Speciality Reg,Royal Free London Nhsft,1322908,I0191940,"257,480.04"
Department of Health,London North West Healthcare NHS Trust,21/10/2020,Pathology Contract N.W.L,Pathology Contract T.D.L.,Labex Analytical Llp,1325342,IN000001,"850,198.40"
Department of Health,London North West Healthcare NHS Trust,21/10/2020,Pathology Contract N.W.L,Pathology Contract T.D.L.,Labex Facilities Llp,1325341,IN000002,"881,649.41"
Department of Health,London North West Healthcare NHS Trust,21/10/2020,Pathology Contract N.W.L,Pathology Contract T.D.L.,Labex Analytical Llp,1325340,IN000007,"850,198.40"
Department of Health,London North West Healthcare NHS Trust,21/10/2020,Pathology Contract N.W.L,Pathology Contract T.D.L.,Labex Facilities Llp,1325339,IN000007,"881,649.41"
Department of Health,London North West Healthcare NHS Trust,28/10/2020,Pathology Contract N.W.L,Pathology Contract T.D.L.,Labex Analytical Llp,1334087,IN000011,"850,198.40"
Department of Health,London North West Healthcare NHS Trust,28/10/2020,Pathology Contract N.W.L,Pathology Contract T.D.L.,Labex Facilities Llp,1334086,IN000012,"881,649.41"
Department of Health,London North West Healthcare NHS Trust,22/10/2020,Information N.W.L,Building Contract Work,Keystream Analytics Limited,1319581,INV-0005,"55,500.00"
Department of Health,London North West Healthcare NHS Trust,28/10/2020,I M & T Support Maintenance,Professional Fees,Softcat Ltd,1326348,INV02681363,"39,480.00"
Department of Health,London North West Healthcare NHS Trust,28/10/2020,I M & T Support Maintenance,Professional Fees,Softcat Ltd,1325841,INV02681364,"40,320.00"
Department of Health,London North West Healthcare NHS Trust,28/10/2020,Capital,Staff/Agency Costs,Softcat Ltd,1334999,INV02704034,"40,454.33"
Department of Health,London North West Healthcare NHS Trust,28/10/2020,Procurement,Software Purchases \ Licences,Adb ( Uk ) Limited,1335736,INV-2012,"27,600.00"
Department of Health,London North West Healthcare NHS Trust,28/10/2020,I M & T Support Maintenance,Software Purchases \ Licences,Bluewire Technologies,1334811,INV-893,"36,840.00"
Department of Health,London North West Healthcare NHS Trust,14/10/2020,Capital,Estates/Building Works,Kr Synergy Limited,1328417,KRS19114,"51,600.00"
Department of Health,London North West Healthcare NHS Trust,07/10/2020,Capital,Staff/Agency Costs,The Carbon And Energy Fund Limtied,1324348,LNW0920,"78,000.00"
Department of Health,London North West Healthcare NHS Trust,21/10/2020,Capital,Staff/Agency Costs,Apira Ltd,1329210,LNWUH-AM001,"106,704.00"
Department of Health,London North West Healthcare NHS Trust,21/10/2020,Capital,Staff/Agency Costs,Apira Ltd,1329211,LNWUH-EPR020,"31,752.00"
Department of Health,London North West Healthcare NHS Trust,21/10/2020,Communications (Phones),Professional Fees,Apira Ltd,1329212,LNWUH-HCC001,"30,702.00"
Department of Health,London North West Healthcare NHS Trust,21/10/2020,Anaesthetics Medical N.W.L,Consultant,University Of West London,1315549,M479455,"33,992.00"
Department of Health,London North West Healthcare NHS Trust,21/10/2020,Hillingdon Hiv,Drugs,The Hillingdon Hospital Nhsft,902681,N0100379,"68,108.54"
Department of Health,London North West Healthcare NHS Trust,14/10/2020,Balance Sheet Lnwh,Pharmacy Stock Purchases,Healthcare At Home Limited,1349028,OP/9504164,"58,200.00"
Department of Health,London North West Healthcare NHS Trust,28/10/2020,Balance Sheet Lnwh,Pharmacy Stock Purchases,Healthcare At Home Limited,1351789,OP/9596496,"40,766.00"
Department of Health,London North West Healthcare NHS Trust,28/10/2020,Balance Sheet Lnwh,Pharmacy Stock Purchases,Healthcare At Home Limited,1351818,OP/9596587,"66,600.00"
Department of Health,London North West Healthcare NHS Trust,14/10/2020,I M & T Support Maintenance,Microsoft Ewa,Phoenix Software Ltd,1326096,OP/I875663,"160,948.03"
Department of Health,London North West Healthcare NHS Trust,29/10/2020,Commercial,Liability To 3rd Party Ins,Nhs Resolution,1350427,SICX403366,"46,365.90"
Department of Health,London North West Healthcare NHS Trust,29/10/2020,Depreciation\Provisions N.W.L,Nhsla Premium,Nhs Resolution,1350427,SICX403366,"1,847,429.50"
Department of Health,London North West Healthcare NHS Trust,07/10/2020,P.A.C.S N.W.L,P.A.C.S,Sectra Limited,1325616,SIN002618,"73,630.80"
Department of Health,London North West Healthcare NHS Trust,07/10/2020,Balance Sheet Lnwh,Pharmacy Stock Purchases,Alk-Abello Ltd,1330473,SIN102985040,"54,000.00"
Department of Health,London North West Healthcare NHS Trust,14/10/2020,Balance Sheet Lnwh,Pharmacy Stock Purchases,Alk-Abello Ltd,1348844,SIN102996955,"108,000.00"
Department of Health,London North West Healthcare NHS Trust,28/10/2020,Textile Services,Laundry Contract,Elis Uk Limited,1335215,SN3285185,"53,726.41"
Department of Health,London North West Healthcare NHS Trust,28/10/2020,Textile Services,Laundry Contract,Elis Uk Limited,1335214,SN3285204,"149,462.50"
