Supplier,Department family,Date,Expense area,Expense type,Transaction Number,amount
Hats Group Ltd,Facilities,15/10/2020,Patient Transport,Patient Non Emerg. Transport,1448827,"95,789"
Hats Group Ltd,Facilities,23/10/2020,Patient Transport,Patient Non Emerg. Transport,1450299,"156,767"
Icts Uk Ltd,Facilities,15/10/2020,Security,Contract - Security Services,1447022,"53,245"
Inhealth Ltd,Clinical Support Service,01/10/2020,Mri'S & Other Scans,Mri Contract - In Health,1432895,"205,498"
Inhealth Ltd,Clinical Support Service,01/10/2020,Mri'S & Other Scans,Mri Contract - In Health,1445540,"205,498"
Inhealth Ltd,Clinical Support Service,01/10/2020,Mri'S & Other Scans,Mri Contract - In Health,1445602,"460,815"
Inhealth Ltd,Clinical Support Service,08/10/2020,Mri'S & Other Scans,Mri Contract - In Health,1441518,"168,667"
Inhealth Ltd,Clinical Support Service,08/10/2020,Mri'S & Other Scans,Mri Contract - In Health,1442261,"249,125"
Insight Direct Uk Ltd,Balance Sheet,08/10/2020,Balance Sheet,Additions - Information Techno,1447031,"57,482"
Insight Direct Uk Ltd,Corporate Directors,28/10/2020,Revalidation Costs,Computer Software - Purchases,1446957,"26,400"
Keystream Healthcare Resources Limited,It,28/10/2020,It Management,Consultancy Fees,1450614,"39,900"
Keystream Healthcare Resources Limited,It,28/10/2020,It Management,Consultancy Fees,1450616,"29,400"
Lloyds Pharmacy Ltd,Clinical Support Service,01/10/2020,Pharmacy,Drugs,1443337,"212,983"
London Borough Of Croydon,Corporate Directors,23/10/2020,Safeguarding Children Team Pct,Director Of Nursing,1446342,"33,850"
Maguire Brothers,Balance Sheet,15/10/2020,Balance Sheet,Additions - Assets Under Const,1447822,"39,636"
Medica Reporting Ltd (Medica Group),Clinical Support Service,15/10/2020,Radiology - Medical,Fees For Medical Reports,1438097,"25,838"
Morgan Law Partners Llp,Corona Virus,08/10/2020,Corona Virus,Agency Senior Manager,1442031,"28,560"
Nhs Professionals Ltd,Corporate Directors,01/10/2020,Day Surgery Unit,Agency Nurse - Band 6,1445521,329
Nhs Professionals Ltd,Emergency Services,01/10/2020,Day Surgery Unit,Agency Nurse - Band 6,1445521,"26,818"
Nhs Professionals Ltd,Anaesthetic/Theatres,01/10/2020,Day Surgery Unit,Agency Nurse - Band 6,1445521,"45,767"
Nhs Professionals Ltd,Community,01/10/2020,Day Surgery Unit,Agency Nurse - Band 6,1445521,"5,867"
Nhs Professionals Ltd,Childrens,01/10/2020,Day Surgery Unit,Agency Nurse - Band 6,1445521,"3,327"
Nhs Professionals Ltd,Planned Care,01/10/2020,Day Surgery Unit,Agency Nurse - Band 6,1445521,"9,250"
Nhs Professionals Ltd,Womens,01/10/2020,Day Surgery Unit,Agency Nurse - Band 6,1445521,"16,516"
Nhs Professionals Ltd,Medical,01/10/2020,Day Surgery Unit,Agency Nurse - Band 6,1445521,"27,255"
Nhs Professionals Ltd,Corporate Directors,01/10/2020,Day Surgery Unit,Bank A&C - Band 2,1445907,"40,721"
Nhs Professionals Ltd,Facilities,01/10/2020,Day Surgery Unit,Bank A&C - Band 2,1445907,"8,999"
Nhs Professionals Ltd,Emergency Services,01/10/2020,Day Surgery Unit,Bank A&C - Band 2,1445907,"55,985"
Nhs Professionals Ltd,Anaesthetic/Theatres,01/10/2020,Day Surgery Unit,Bank A&C - Band 2,1445907,"13,466"
Nhs Professionals Ltd,Community,01/10/2020,Day Surgery Unit,Bank A&C - Band 2,1445907,"14,760"
Nhs Professionals Ltd,Clinical Support Service,01/10/2020,Day Surgery Unit,Bank A&C - Band 2,1445907,"7,370"
Nhs Professionals Ltd,Childrens,01/10/2020,Day Surgery Unit,Bank A&C - Band 2,1445907,"5,219"
Nhs Professionals Ltd,Planned Care,01/10/2020,Day Surgery Unit,Bank A&C - Band 2,1445907,"27,459"
Nhs Professionals Ltd,Womens,01/10/2020,Day Surgery Unit,Bank A&C - Band 2,1445907,"35,101"
Nhs Professionals Ltd,Medical,01/10/2020,Day Surgery Unit,Bank A&C - Band 2,1445907,"93,929"
Nhs Professionals Ltd,Emergency Services,08/10/2020,Day Surgery Unit,Agency Nurse - Band 6,1446368,"16,604"
Nhs Professionals Ltd,Anaesthetic/Theatres,08/10/2020,Day Surgery Unit,Agency Nurse - Band 6,1446368,"29,686"
Nhs Professionals Ltd,Community,08/10/2020,Day Surgery Unit,Agency Nurse - Band 6,1446368,237
Nhs Professionals Ltd,Childrens,08/10/2020,Day Surgery Unit,Agency Nurse - Band 6,1446368,"1,798"
Nhs Professionals Ltd,Planned Care,08/10/2020,Day Surgery Unit,Agency Nurse - Band 6,1446368,"4,062"
Nhs Professionals Ltd,Medical,08/10/2020,Day Surgery Unit,Agency Nurse - Band 6,1446368,"12,886"
Nhs Professionals Ltd,Corporate Directors,08/10/2020,Day Surgery Unit,Bank A&C - Band 2,1447721,"35,103"
Nhs Professionals Ltd,Facilities,08/10/2020,Day Surgery Unit,Bank A&C - Band 2,1447721,"8,798"
Nhs Professionals Ltd,Emergency Services,08/10/2020,Day Surgery Unit,Bank A&C - Band 2,1447721,"68,600"
Nhs Professionals Ltd,Anaesthetic/Theatres,08/10/2020,Day Surgery Unit,Bank A&C - Band 2,1447721,"12,843"
Nhs Professionals Ltd,Community,08/10/2020,Day Surgery Unit,Bank A&C - Band 2,1447721,"18,472"
Nhs Professionals Ltd,Clinical Support Service,08/10/2020,Day Surgery Unit,Bank A&C - Band 2,1447721,"6,802"
Nhs Professionals Ltd,Childrens,08/10/2020,Day Surgery Unit,Bank A&C - Band 2,1447721,"8,369"
Nhs Professionals Ltd,Planned Care,08/10/2020,Day Surgery Unit,Bank A&C - Band 2,1447721,"38,351"
Nhs Professionals Ltd,Womens,08/10/2020,Day Surgery Unit,Bank A&C - Band 2,1447721,"35,509"
Nhs Professionals Ltd,Medical,08/10/2020,Day Surgery Unit,Bank A&C - Band 2,1447721,"89,808"
Nhs Professionals Ltd,Emergency Services,15/10/2020,Day Surgery Unit,Agency Nurse - Band 6,1448508,"29,866"
Nhs Professionals Ltd,Anaesthetic/Theatres,15/10/2020,Day Surgery Unit,Agency Nurse - Band 6,1448508,"62,084"
Nhs Professionals Ltd,Community,15/10/2020,Day Surgery Unit,Agency Nurse - Band 6,1448508,"3,262"
Nhs Professionals Ltd,Childrens,15/10/2020,Day Surgery Unit,Agency Nurse - Band 6,1448508,"5,899"
Nhs Professionals Ltd,Planned Care,15/10/2020,Day Surgery Unit,Agency Nurse - Band 6,1448508,"12,173"
Nhs Professionals Ltd,Womens,15/10/2020,Day Surgery Unit,Agency Nurse - Band 6,1448508,"29,439"
Nhs Professionals Ltd,Medical,15/10/2020,Day Surgery Unit,Agency Nurse - Band 6,1448508,"43,932"
Nhs Professionals Ltd,Corporate Directors,15/10/2020,Day Surgery Unit,Bank A&C - Band 2,1448477,"41,880"
Nhs Professionals Ltd,Facilities,15/10/2020,Day Surgery Unit,Bank A&C - Band 2,1448477,"9,504"
Nhs Professionals Ltd,Emergency Services,15/10/2020,Day Surgery Unit,Bank A&C - Band 2,1448477,"57,511"
Nhs Professionals Ltd,Anaesthetic/Theatres,15/10/2020,Day Surgery Unit,Bank A&C - Band 2,1448477,"15,250"
Nhs Professionals Ltd,Community,15/10/2020,Day Surgery Unit,Bank A&C - Band 2,1448477,"14,132"
Nhs Professionals Ltd,Clinical Support Service,15/10/2020,Day Surgery Unit,Bank A&C - Band 2,1448477,"7,497"
Nhs Professionals Ltd,Childrens,15/10/2020,Day Surgery Unit,Bank A&C - Band 2,1448477,"6,112"
Nhs Professionals Ltd,Planned Care,15/10/2020,Day Surgery Unit,Bank A&C - Band 2,1448477,"33,646"
Nhs Professionals Ltd,Womens,15/10/2020,Day Surgery Unit,Bank A&C - Band 2,1448477,"32,945"
Nhs Professionals Ltd,Medical,15/10/2020,Day Surgery Unit,Bank A&C - Band 2,1448477,"94,669"
Nhs Professionals Ltd,Emergency Services,23/10/2020,Day Surgery Unit,Agency Nurse - Band 6,1450084,"25,316"
Nhs Professionals Ltd,Anaesthetic/Theatres,23/10/2020,Day Surgery Unit,Agency Nurse - Band 6,1450084,"48,793"
Nhs Professionals Ltd,Community,23/10/2020,Day Surgery Unit,Agency Nurse - Band 6,1450084,"5,053"
Nhs Professionals Ltd,Childrens,23/10/2020,Day Surgery Unit,Agency Nurse - Band 6,1450084,"2,616"
Nhs Professionals Ltd,Planned Care,23/10/2020,Day Surgery Unit,Agency Nurse - Band 6,1450084,"8,110"
Nhs Professionals Ltd,Womens,23/10/2020,Day Surgery Unit,Agency Nurse - Band 6,1450084,"9,612"
Nhs Professionals Ltd,Medical,23/10/2020,Day Surgery Unit,Agency Nurse - Band 6,1450084,"38,145"
Nhs Professionals Ltd,Corporate Directors,23/10/2020,Day Surgery Unit,Bank A&C - Band 2,1450044,"36,507"
Nhs Professionals Ltd,Facilities,23/10/2020,Day Surgery Unit,Bank A&C - Band 2,1450044,"8,605"
Nhs Professionals Ltd,Emergency Services,23/10/2020,Day Surgery Unit,Bank A&C - Band 2,1450044,"56,836"
Nhs Professionals Ltd,Anaesthetic/Theatres,23/10/2020,Day Surgery Unit,Bank A&C - Band 2,1450044,"9,770"
Nhs Professionals Ltd,Community,23/10/2020,Day Surgery Unit,Bank A&C - Band 2,1450044,"17,433"
Nhs Professionals Ltd,Clinical Support Service,23/10/2020,Day Surgery Unit,Bank A&C - Band 2,1450044,"9,917"
Nhs Professionals Ltd,Childrens,23/10/2020,Day Surgery Unit,Bank A&C - Band 2,1450044,"5,817"
Nhs Professionals Ltd,Planned Care,23/10/2020,Day Surgery Unit,Bank A&C - Band 2,1450044,"30,231"
Nhs Professionals Ltd,Womens,23/10/2020,Day Surgery Unit,Bank A&C - Band 2,1450044,"28,451"
Nhs Professionals Ltd,Medical,23/10/2020,Day Surgery Unit,Bank A&C - Band 2,1450044,"103,812"
Nhs Professionals Ltd,Emergency Services,28/10/2020,Day Surgery Unit,Agency Nurse - Band 6,1450621,"20,427"
Nhs Professionals Ltd,Anaesthetic/Theatres,28/10/2020,Day Surgery Unit,Agency Nurse - Band 6,1450621,"46,079"
Nhs Professionals Ltd,Community,28/10/2020,Day Surgery Unit,Agency Nurse - Band 6,1450621,"6,514"
Nhs Professionals Ltd,Childrens,28/10/2020,Day Surgery Unit,Agency Nurse - Band 6,1450621,"6,075"
Nhs Professionals Ltd,Planned Care,28/10/2020,Day Surgery Unit,Agency Nurse - Band 6,1450621,"8,255"
Nhs Professionals Ltd,Womens,28/10/2020,Day Surgery Unit,Agency Nurse - Band 6,1450621,"16,181"
Nhs Professionals Ltd,Medical,28/10/2020,Day Surgery Unit,Agency Nurse - Band 6,1450621,"30,282"
Nhs Professionals Ltd,Corporate Directors,20/10/2020,Overseas Recruitment,Professional Fees,1445924,"62,400"
Pentax Uk Limited,Balance Sheet,28/10/2020,Balance Sheet,Additions - Plant & Machinery,1445688,"358,481"
Pentax Uk Limited,Balance Sheet,28/10/2020,Balance Sheet,Additions - Plant & Machinery,1447025,"66,670"
Pentax Uk Limited,Balance Sheet,28/10/2020,Balance Sheet,Additions - Plant & Machinery,1447036,"522,212"
Philips Healthcare,Planned Care,01/10/2020,Corona Virus,Medical & Surgical Equip Gen,1443394,"4,694"
Philips Healthcare,Corona Virus,01/10/2020,Corona Virus,Medical & Surgical Equip Gen,1443394,"111,371"
Primary Care Partners Ltd,Emergency Services,15/10/2020,Adult Ucc,At Medics,1440987,"34,047"
Rugged Display Products Ltd,Balance Sheet,15/10/2020,Balance Sheet,Additions - Information Techno,1445728,"32,580"
Ryalto Ltd,It,01/10/2020,"It Hardware,Software&Licensing",Computer Software - Purchases,1433157,"42,000"
Smith & Nephew Advanced Surgical Devices,Anaesthetic/Theatres,23/10/2020,Day Surgery Unit,Medical & Surgical Equip Gen,1449654,"27,089"
Supply Chain Coordination Ltd Consumables 101,Balance Sheet,15/10/2020,Balance Sheet,Mat Man Nhs Sc Reconciliation,1446679,"181,061"
Supply Chain Coordination Ltd Consumables 101,Balance Sheet,28/10/2020,Balance Sheet,Mat Man Nhs Sc Reconciliation,1448216,"124,669"
Teerco Uk Ltd,It,01/10/2020,"It Hardware,Software&Licensing",Computer - Maint & Licences,1446003,"116,400"
Total Gas & Power,Facilities,08/10/2020,Energy - Cuh,Gas,1446734,"45,816"
Veolia Energy And Utility Services Uk Plc,Facilities,23/10/2020,Energy Centre Running Costs,Professional Fees,1447043,"30,029"
Veolia Energy And Utility Services Uk Plc,Facilities,23/10/2020,Energy Centre Running Costs,Professional Fees,1447044,"28,454"
Wave Anglian Water Business (National) Limite,Facilities,01/10/2020,Energy - Cuh,Water,1445917,"94,240"
