Supplier,Department family,Date,Expense area,Expense type,Transaction Number,amount
Nhs Professionals Ltd,Clinical Support Service,02/07/2020,Day Surgery Unit,Bank Nurse - Band 2,1432329,"2,039"
Nhs Professionals Ltd,Childrens,02/07/2020,Day Surgery Unit,Bank Nurse - Band 2,1432329,"6,994"
Nhs Professionals Ltd,Planned Care,02/07/2020,Day Surgery Unit,Bank Nurse - Band 2,1432329,"26,509"
Nhs Professionals Ltd,Womens,02/07/2020,Day Surgery Unit,Bank Nurse - Band 2,1432329,"24,071"
Nhs Professionals Ltd,Medical,02/07/2020,Day Surgery Unit,Bank Nurse - Band 2,1432329,"54,282"
Nhs Professionals Ltd,Emergency Services,09/07/2020,Day Surgery Unit,Agency Nurse - Band 6,1433250,"26,590"
Nhs Professionals Ltd,Anaesthetic/Theatres,09/07/2020,Day Surgery Unit,Agency Nurse - Band 6,1433250,"13,751"
Nhs Professionals Ltd,Community,09/07/2020,Day Surgery Unit,Agency Nurse - Band 6,1433250,"3,743"
Nhs Professionals Ltd,Childrens,09/07/2020,Day Surgery Unit,Agency Nurse - Band 6,1433250,672
Nhs Professionals Ltd,Planned Care,09/07/2020,Day Surgery Unit,Agency Nurse - Band 6,1433250,"10,359"
Nhs Professionals Ltd,Womens,09/07/2020,Day Surgery Unit,Agency Nurse - Band 6,1433250,"4,393"
Nhs Professionals Ltd,Medical,09/07/2020,Day Surgery Unit,Agency Nurse - Band 6,1433250,"11,264"
Nhs Professionals Ltd,Corporate Directors,09/07/2020,Day Surgery Unit,Bank Nurse - Band 2,1433255,"33,806"
Nhs Professionals Ltd,Facilities,09/07/2020,Day Surgery Unit,Bank Nurse - Band 2,1433255,"3,546"
Nhs Professionals Ltd,Emergency Services,09/07/2020,Day Surgery Unit,Bank Nurse - Band 2,1433255,"51,508"
Nhs Professionals Ltd,Anaesthetic/Theatres,09/07/2020,Day Surgery Unit,Bank Nurse - Band 2,1433255,"7,647"
Nhs Professionals Ltd,Community,09/07/2020,Day Surgery Unit,Bank Nurse - Band 2,1433255,"9,007"
Nhs Professionals Ltd,Clinical Support Service,09/07/2020,Day Surgery Unit,Bank Nurse - Band 2,1433255,"3,567"
Nhs Professionals Ltd,Childrens,09/07/2020,Day Surgery Unit,Bank Nurse - Band 2,1433255,"4,891"
Nhs Professionals Ltd,Planned Care,09/07/2020,Day Surgery Unit,Bank Nurse - Band 2,1433255,"20,956"
Nhs Professionals Ltd,Womens,09/07/2020,Day Surgery Unit,Bank Nurse - Band 2,1433255,"22,219"
Nhs Professionals Ltd,Medical,09/07/2020,Day Surgery Unit,Bank Nurse - Band 2,1433255,"55,135"
Nhs Professionals Ltd,Emergency Services,16/07/2020,Day Surgery Unit,Agency Nurse - Band 6,1434145,"29,139"
Nhs Professionals Ltd,Anaesthetic/Theatres,16/07/2020,Day Surgery Unit,Agency Nurse - Band 6,1434145,"17,650"
Nhs Professionals Ltd,Community,16/07/2020,Day Surgery Unit,Agency Nurse - Band 6,1434145,"4,810"
Nhs Professionals Ltd,Childrens,16/07/2020,Day Surgery Unit,Agency Nurse - Band 6,1434145,873
Nhs Professionals Ltd,Planned Care,16/07/2020,Day Surgery Unit,Agency Nurse - Band 6,1434145,"5,066"
Nhs Professionals Ltd,Womens,16/07/2020,Day Surgery Unit,Agency Nurse - Band 6,1434145,"5,633"
Nhs Professionals Ltd,Medical,16/07/2020,Day Surgery Unit,Agency Nurse - Band 6,1434145,"15,340"
Nhs Professionals Ltd,Corporate Directors,16/07/2020,Day Surgery Unit,Bank Nurse - Band 2,1434158,"25,138"
Nhs Professionals Ltd,Facilities,16/07/2020,Day Surgery Unit,Bank Nurse - Band 2,1434158,"10,547"
Nhs Professionals Ltd,Emergency Services,16/07/2020,Day Surgery Unit,Bank Nurse - Band 2,1434158,"53,065"
Nhs Professionals Ltd,Anaesthetic/Theatres,16/07/2020,Day Surgery Unit,Bank Nurse - Band 2,1434158,"7,077"
Nhs Professionals Ltd,Community,16/07/2020,Day Surgery Unit,Bank Nurse - Band 2,1434158,"11,268"
Nhs Professionals Ltd,Clinical Support Service,16/07/2020,Day Surgery Unit,Bank Nurse - Band 2,1434158,"2,331"
Nhs Professionals Ltd,Childrens,16/07/2020,Day Surgery Unit,Bank Nurse - Band 2,1434158,"5,870"
Nhs Professionals Ltd,Planned Care,16/07/2020,Day Surgery Unit,Bank Nurse - Band 2,1434158,"22,685"
Nhs Professionals Ltd,Womens,16/07/2020,Day Surgery Unit,Bank Nurse - Band 2,1434158,"47,261"
Nhs Professionals Ltd,Medical,16/07/2020,Day Surgery Unit,Bank Nurse - Band 2,1434158,"66,508"
Nhs Professionals Ltd,Corporate Directors,23/07/2020,Day Surgery Unit,Agency Nurse - Band 6,1434560,631
Nhs Professionals Ltd,Emergency Services,23/07/2020,Day Surgery Unit,Agency Nurse - Band 6,1434560,"26,680"
Nhs Professionals Ltd,Anaesthetic/Theatres,23/07/2020,Day Surgery Unit,Agency Nurse - Band 6,1434560,"14,052"
Nhs Professionals Ltd,Community,23/07/2020,Day Surgery Unit,Agency Nurse - Band 6,1434560,"4,054"
Nhs Professionals Ltd,Childrens,23/07/2020,Day Surgery Unit,Agency Nurse - Band 6,1434560,"1,227"
Nhs Professionals Ltd,Planned Care,23/07/2020,Day Surgery Unit,Agency Nurse - Band 6,1434560,"4,528"
Nhs Professionals Ltd,Womens,23/07/2020,Day Surgery Unit,Agency Nurse - Band 6,1434560,"6,710"
Nhs Professionals Ltd,Medical,23/07/2020,Day Surgery Unit,Agency Nurse - Band 6,1434560,"14,311"
Nhs Professionals Ltd,Corporate Directors,23/07/2020,Day Surgery Unit,Bank Nurse - Band 2,1435322,"41,430"
Nhs Professionals Ltd,Facilities,23/07/2020,Day Surgery Unit,Bank Nurse - Band 2,1435322,"7,144"
Nhs Professionals Ltd,Emergency Services,23/07/2020,Day Surgery Unit,Bank Nurse - Band 2,1435322,"58,198"
Nhs Professionals Ltd,Anaesthetic/Theatres,23/07/2020,Day Surgery Unit,Bank Nurse - Band 2,1435322,"5,275"
Nhs Professionals Ltd,Community,23/07/2020,Day Surgery Unit,Bank Nurse - Band 2,1435322,"10,066"
Nhs Professionals Ltd,Clinical Support Service,23/07/2020,Day Surgery Unit,Bank Nurse - Band 2,1435322,"4,814"
Nhs Professionals Ltd,Childrens,23/07/2020,Day Surgery Unit,Bank Nurse - Band 2,1435322,"3,996"
Nhs Professionals Ltd,Planned Care,23/07/2020,Day Surgery Unit,Bank Nurse - Band 2,1435322,"20,392"
Nhs Professionals Ltd,Womens,23/07/2020,Day Surgery Unit,Bank Nurse - Band 2,1435322,"31,286"
Nhs Professionals Ltd,Medical,23/07/2020,Day Surgery Unit,Bank Nurse - Band 2,1435322,"62,559"
Nhs Professionals Ltd,Corporate Directors,28/07/2020,Day Surgery Unit,Agency Nurse - Band 6,1435777,621
Nhs Professionals Ltd,Emergency Services,28/07/2020,Day Surgery Unit,Agency Nurse - Band 6,1435777,"29,240"
Nhs Professionals Ltd,Anaesthetic/Theatres,28/07/2020,Day Surgery Unit,Agency Nurse - Band 6,1435777,"19,131"
Nhs Professionals Ltd,Community,28/07/2020,Day Surgery Unit,Agency Nurse - Band 6,1435777,"5,923"
Nhs Professionals Ltd,Childrens,28/07/2020,Day Surgery Unit,Agency Nurse - Band 6,1435777,"2,277"
Nhs Professionals Ltd,Planned Care,28/07/2020,Day Surgery Unit,Agency Nurse - Band 6,1435777,"3,557"
Nhs Professionals Ltd,Womens,28/07/2020,Day Surgery Unit,Agency Nurse - Band 6,1435777,"6,514"
Nhs Professionals Ltd,Medical,28/07/2020,Day Surgery Unit,Agency Nurse - Band 6,1435777,"12,025"
Nhs Professionals Ltd,Corporate Directors,28/07/2020,Day Surgery Unit,Bank Nurse - Band 2,1436114,"28,700"
Nhs Professionals Ltd,Facilities,28/07/2020,Day Surgery Unit,Bank Nurse - Band 2,1436114,"11,913"
Nhs Professionals Ltd,Emergency Services,28/07/2020,Day Surgery Unit,Bank Nurse - Band 2,1436114,"54,409"
Nhs Professionals Ltd,Anaesthetic/Theatres,28/07/2020,Day Surgery Unit,Bank Nurse - Band 2,1436114,"9,925"
Nhs Professionals Ltd,Community,28/07/2020,Day Surgery Unit,Bank Nurse - Band 2,1436114,"13,244"
Nhs Professionals Ltd,Clinical Support Service,28/07/2020,Day Surgery Unit,Bank Nurse - Band 2,1436114,"4,815"
Nhs Professionals Ltd,Childrens,28/07/2020,Day Surgery Unit,Bank Nurse - Band 2,1436114,"6,068"
Nhs Professionals Ltd,Planned Care,28/07/2020,Day Surgery Unit,Bank Nurse - Band 2,1436114,"19,547"
Nhs Professionals Ltd,Womens,28/07/2020,Day Surgery Unit,Bank Nurse - Band 2,1436114,"33,714"
Nhs Professionals Ltd,Medical,28/07/2020,Day Surgery Unit,Bank Nurse - Band 2,1436114,"64,820"
Nhs Professionals Ltd,Corporate Directors,09/07/2020,Main Theatres 1-8,Bank Nurse - Band 5,1433249,"10,863"
Nhs Professionals Ltd,Facilities,09/07/2020,Main Theatres 1-8,Bank Nurse - Band 5,1433249,"1,108"
Nhs Professionals Ltd,Emergency Services,09/07/2020,Main Theatres 1-8,Bank Nurse - Band 5,1433249,"1,053"
Nhs Professionals Ltd,Anaesthetic/Theatres,09/07/2020,Main Theatres 1-8,Bank Nurse - Band 5,1433249,"2,023"
Nhs Professionals Ltd,Community,09/07/2020,Main Theatres 1-8,Bank Nurse - Band 5,1433249,"5,094"
Nhs Professionals Ltd,Clinical Support Service,09/07/2020,Main Theatres 1-8,Bank Nurse - Band 5,1433249,204
Nhs Professionals Ltd,Planned Care,09/07/2020,Main Theatres 1-8,Bank Nurse - Band 5,1433249,"8,384"
Nhs Professionals Ltd,Womens,09/07/2020,Main Theatres 1-8,Bank Nurse - Band 5,1433249,"8,232"
Nhs Professionals Ltd,Medical,09/07/2020,Main Theatres 1-8,Bank Nurse - Band 5,1433249,"22,330"
Nhs Professionals Ltd,Corporate Directors,16/07/2020,Main Theatres 1-8,Bank Nurse - Band 2,1434126,"9,929"
Nhs Professionals Ltd,Facilities,16/07/2020,Main Theatres 1-8,Bank Nurse - Band 2,1434126,570
Nhs Professionals Ltd,Emergency Services,16/07/2020,Main Theatres 1-8,Bank Nurse - Band 2,1434126,785
Nhs Professionals Ltd,Anaesthetic/Theatres,16/07/2020,Main Theatres 1-8,Bank Nurse - Band 2,1434126,858
Nhs Professionals Ltd,Community,16/07/2020,Main Theatres 1-8,Bank Nurse - Band 2,1434126,"2,558"
Nhs Professionals Ltd,Clinical Support Service,16/07/2020,Main Theatres 1-8,Bank Nurse - Band 2,1434126,"2,239"
Nhs Professionals Ltd,Planned Care,16/07/2020,Main Theatres 1-8,Bank Nurse - Band 2,1434126,"11,314"
Nhs Professionals Ltd,Womens,16/07/2020,Main Theatres 1-8,Bank Nurse - Band 2,1434126,"7,439"
Nhs Professionals Ltd,Medical,16/07/2020,Main Theatres 1-8,Bank Nurse - Band 2,1434126,"14,274"
Nhs Professionals Ltd,Corporate Directors,16/07/2020,Main Theatres 1-8,Bank Nurse - Band 2,1434163,"7,676"
Nhs Professionals Ltd,Facilities,16/07/2020,Main Theatres 1-8,Bank Nurse - Band 2,1434163,"1,524"
Nhs Professionals Ltd,Emergency Services,16/07/2020,Main Theatres 1-8,Bank Nurse - Band 2,1434163,382
Nhs Professionals Ltd,Anaesthetic/Theatres,16/07/2020,Main Theatres 1-8,Bank Nurse - Band 2,1434163,"1,065"
Nhs Professionals Ltd,Community,16/07/2020,Main Theatres 1-8,Bank Nurse - Band 2,1434163,"3,532"
Nhs Professionals Ltd,Clinical Support Service,16/07/2020,Main Theatres 1-8,Bank Nurse - Band 2,1434163,201
Nhs Professionals Ltd,Planned Care,16/07/2020,Main Theatres 1-8,Bank Nurse - Band 2,1434163,"11,518"
Nhs Professionals Ltd,Womens,16/07/2020,Main Theatres 1-8,Bank Nurse - Band 2,1434163,"8,894"
Nhs Professionals Ltd,Medical,16/07/2020,Main Theatres 1-8,Bank Nurse - Band 2,1434163,"9,529"
Nhs Professionals Ltd,Anaesthetic/Theatres,28/07/2020,Main Theatres 1-8,Agency Nurse - Band 6,1435795,"5,086"
Nhs Professionals Ltd,Planned Care,28/07/2020,Main Theatres 1-8,Agency Nurse - Band 6,1435795,"15,204"
Nhs Professionals Ltd,Womens,28/07/2020,Main Theatres 1-8,Agency Nurse - Band 6,1435795,"6,409"
Nhs Professionals Ltd,Medical,28/07/2020,Main Theatres 1-8,Agency Nurse - Band 6,1435795,607
Nhs Professionals Ltd,Corporate Directors,28/07/2020,Main Theatres 1-8,Bank Nurse - Band 5,1435756,"5,459"
Nhs Professionals Ltd,Facilities,28/07/2020,Main Theatres 1-8,Bank Nurse - Band 5,1435756,"1,632"
Nhs Professionals Ltd,Emergency Services,28/07/2020,Main Theatres 1-8,Bank Nurse - Band 5,1435756,"1,137"
Nhs Professionals Ltd,Anaesthetic/Theatres,28/07/2020,Main Theatres 1-8,Bank Nurse - Band 5,1435756,"1,478"
Nhs Professionals Ltd,Community,28/07/2020,Main Theatres 1-8,Bank Nurse - Band 5,1435756,"6,376"
Nhs Professionals Ltd,Clinical Support Service,28/07/2020,Main Theatres 1-8,Bank Nurse - Band 5,1435756,"1,003"
Nhs Professionals Ltd,Planned Care,28/07/2020,Main Theatres 1-8,Bank Nurse - Band 5,1435756,"8,260"
Nhs Professionals Ltd,Womens,28/07/2020,Main Theatres 1-8,Bank Nurse - Band 5,1435756,"7,498"
Nhs Professionals Ltd,Medical,28/07/2020,Main Theatres 1-8,Bank Nurse - Band 5,1435756,"13,657"
Nhs Professionals Ltd,Corporate Directors,28/07/2020,Main Theatres 1-8,Bank Nurse - Band 5,1436130,"4,423"
Nhs Professionals Ltd,Facilities,28/07/2020,Main Theatres 1-8,Bank Nurse - Band 5,1436130,"1,339"
Nhs Professionals Ltd,Emergency Services,28/07/2020,Main Theatres 1-8,Bank Nurse - Band 5,1436130,365
Nhs Professionals Ltd,Anaesthetic/Theatres,28/07/2020,Main Theatres 1-8,Bank Nurse - Band 5,1436130,751
Nhs Professionals Ltd,Community,28/07/2020,Main Theatres 1-8,Bank Nurse - Band 5,1436130,"6,365"
Nhs Professionals Ltd,Clinical Support Service,28/07/2020,Main Theatres 1-8,Bank Nurse - Band 5,1436130,302
Nhs Professionals Ltd,Planned Care,28/07/2020,Main Theatres 1-8,Bank Nurse - Band 5,1436130,"14,561"
Nhs Professionals Ltd,Womens,28/07/2020,Main Theatres 1-8,Bank Nurse - Band 5,1436130,"8,133"
Nhs Professionals Ltd,Medical,28/07/2020,Main Theatres 1-8,Bank Nurse - Band 5,1436130,"10,755"
Paul Hartmann Ltd,Womens,02/07/2020,Continence Advisor,Incontinence & Stoma Products,1426326,"46,137"
Paul Hartmann Ltd,Womens,02/07/2020,Continence Advisor,Incontinence & Stoma Products,1429748,"43,175"
Paul Hartmann Ltd,Womens,28/07/2020,Continence Advisor,Incontinence & Stoma Products,1435068,"49,137"
Primary Care Partners Ltd,Emergency Services,02/07/2020,Adult Ucc,At Medics,1429824,"211,442"
Primary Care Partners Ltd,Emergency Services,16/07/2020,Adult Ucc,At Medics,1433143,"211,442"
Primary Care Partners Ltd,Emergency Services,16/07/2020,Adult Ucc,At Medics,1433145,"34,047"
Primary Care Partners Ltd,Emergency Services,23/07/2020,Adult Ucc,At Medics,1431921,"231,385"
Primary Care Partners Ltd,Emergency Services,28/07/2020,Adult Ucc,At Medics,1431920,"34,047"
Siemens Healthcare Limited,Balance Sheet,16/07/2020,Balance Sheet,Additions - Plant & Machinery,1433569,"46,800"
Sonosite Fujifilm Ltd,Corporate Directors,16/07/2020,Corona Virus,Medical & Surgical Equip Gen,1429193,"71,235"
Spacelabs Healthcare Ltd,Balance Sheet,09/07/2020,Balance Sheet,Additions - Plant & Machinery,1422523,"35,803"
Supply Chain Coordination Limited Capital 905,Balance Sheet,02/07/2020,Balance Sheet,Additions - Plant & Machinery,1426398,"47,844"
Supply Chain Coordination Limited Capital 905,Balance Sheet,28/07/2020,Balance Sheet,Additions - Plant & Machinery,1435061,"79,740"
Supply Chain Coordination Ltd Consumables 101,Balance Sheet,02/07/2020,Balance Sheet,Mat Man Nhs Sc Reconciliation,1430783,"73,556"
Supply Chain Coordination Ltd Consumables 101,Balance Sheet,02/07/2020,Balance Sheet,Mat Man Nhs Sc Reconciliation,1431381,"71,394"
Supply Chain Coordination Ltd Consumables 101,Balance Sheet,16/07/2020,Balance Sheet,Mat Man Nhs Sc Reconciliation,1432576,"57,217"
Supply Chain Coordination Ltd Consumables 101,Balance Sheet,16/07/2020,Balance Sheet,Mat Man Nhs Sc Reconciliation,1433175,"60,769"
Supply Chain Coordination Ltd Maintenance 201,Clinical Support Service,16/07/2020,Radiography,Medical & Surgical Equip Gen,1434073,"210,699"
Supply Chain Coordination Ltd Maintenance 201,Medical,28/07/2020,Cardiology Dept-Cbu2,Equipment Annual Maint,1435019,"62,230"
Teerco Uk Ltd,Corporate Directors,09/07/2020,Corona Virus,Computer - Maint & Licences,1433233,"50,158"
Trinity Medical Imaging,Clinical Support Service,02/07/2020,Nuclear Medicine,Fees For Medical Reports,1421251,"28,738"
Veolia Energy And Utility Services Uk Plc,Facilities,23/07/2020,Energy Centre Running Costs,Professional Fees,1429786,"27,243"
Veolia Energy And Utility Services Uk Plc,Facilities,23/07/2020,Energy Centre Running Costs,Professional Fees,1429787,"28,221"
