Department Family,Entity,Date Paid,Expense Type,Expense Area,Supplier Name,Transaction Reference,amount
Department of Health,Chelsea & Westminster NHS Foundation Trust,10/12/2020,Commercial Rents and Service Charge,10 Hammersmith Broadway,Nuclear Liablities Fund Ltd,1535649,"114,769.20"
Department of Health,Chelsea & Westminster NHS Foundation Trust,10/12/2020,Soft Services,Trust-wide,Iss Mediclean Limited,1536429,"45,141.91"
Department of Health,Chelsea & Westminster NHS Foundation Trust,10/12/2020,Recruitment Expenses,Director Of Nursing,Medox Paramedical Ltd T/ S  Drake Medox,1536392,"47,520.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,10/12/2020,Rent Rates & Service Charge,Queen Mary Maternity Unit,London North West University Healthcare Nhs T,1538217,"29,172.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,10/12/2020,NWL Provider to Provider Block Contract,Paediatrics Medical,London North West University Healthcare Nhs T,1538217,"42,557.04"
Department of Health,Chelsea & Westminster NHS Foundation Trust,10/12/2020,Dispensing Fee,Medical Outliers,Medihome Ltd,1518546,"55,733.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,10/12/2020,Dispensing Fee,Pharmacy Outpatients,Boots Uk Ltd,1536519,"25,848.55"
Department of Health,Chelsea & Westminster NHS Foundation Trust,10/12/2020,Dispensing Fee,Pharmacy Outpatients,Boots Uk Ltd,1536522,"57,698.68"
Department of Health,Chelsea & Westminster NHS Foundation Trust,10/12/2020,Drugs,Chelsea Pharmacy,Boots Uk Ltd,1536518,"941,644.16"
Department of Health,Chelsea & Westminster NHS Foundation Trust,10/12/2020,Drugs,Chelsea Pharmacy,Boots Uk Ltd,1536521,"1,015,190.02"
Department of Health,Chelsea & Westminster NHS Foundation Trust,10/12/2020,Drugs,West Middlesex Pharmacy,Roche Products Ltd,1538143,"42,040.44"
Department of Health,Chelsea & Westminster NHS Foundation Trust,10/12/2020,It Shared Service,Ict - Shared Services Project,Sphere Systems Powering Healthcare Ltd,1537495,"574,587.80"
Department of Health,Chelsea & Westminster NHS Foundation Trust,10/12/2020,Service Charge - Variation Pfi,Pfi Unitary Payment,Bywest Ltd,1536588,"303,307.65"
Department of Health,Chelsea & Westminster NHS Foundation Trust,15/12/2020,Agency Nurse - Band 5,Chelsea Site,Care Providers Ltd,1539205,"105,290.84"
Department of Health,Chelsea & Westminster NHS Foundation Trust,15/12/2020,Building Expenditure,Upgrade of Marjory Warren Ward,Ensigna Construction Ltd,1538594,"149,912.10"
Department of Health,Chelsea & Westminster NHS Foundation Trust,15/12/2020,Building Expenditure,Upgrade of Marjory Warren Ward,Ensigna Construction Ltd,1538716,"55,788.90"
Department of Health,Chelsea & Westminster NHS Foundation Trust,15/12/2020,Building Expenditure,Extension to ICU & NICU,Mclaughlin & Harvey Ltd,1535316,"438,276.60"
Department of Health,Chelsea & Westminster NHS Foundation Trust,15/12/2020,Gas,Trust-wide,Total Gas & Power Ltd,1534641,"79,832.29"
Department of Health,Chelsea & Westminster NHS Foundation Trust,15/12/2020,Gas,Trust-wide,Total Gas & Power Ltd,1534908,"106,669.61"
Department of Health,Chelsea & Westminster NHS Foundation Trust,15/12/2020,Intangible Expenditure,QLIK Sense ,Catalyst Bi Limited,1538575,"71,645.95"
Department of Health,Chelsea & Westminster NHS Foundation Trust,15/12/2020,M.S.S.E. - Maintenance,Radiology,Nhs Supply Chain Maintenance (201),1514427,"31,226.86"
Department of Health,Chelsea & Westminster NHS Foundation Trust,15/12/2020,Transport ,Trust-wide,Hats Group Ltd,1534740,"33,772.64"
Department of Health,Chelsea & Westminster NHS Foundation Trust,15/12/2020,Psycology ,Paediatric Management,Central And North West London Nhs Ft,1539556,"48,156.56"
Department of Health,Chelsea & Westminster NHS Foundation Trust,15/12/2020,Psycology ,Paediatric Management,Central And North West London Nhs Ft,1539557,"48,336.78"
Department of Health,Chelsea & Westminster NHS Foundation Trust,15/12/2020,Psycology ,Paediatric Management,Central And North West London Nhs Ft,1539558,"48,225.15"
Department of Health,Chelsea & Westminster NHS Foundation Trust,15/12/2020,Psycology ,Paediatric Management,Central And North West London Nhs Ft,1539560,"52,565.50"
Department of Health,Chelsea & Westminster NHS Foundation Trust,15/12/2020,Psycology ,Paediatric Management,Central And North West London Nhs Ft,1539561,"48,340.45"
Department of Health,Chelsea & Westminster NHS Foundation Trust,15/12/2020,Psycology ,Paediatric Management,Central And North West London Nhs Ft,1539563,"47,818.31"
Department of Health,Chelsea & Westminster NHS Foundation Trust,15/12/2020,Paediatrics SLA,Paediatric Management,Imperial College Healthcare Nhs Trust,1327368,"78,789.24"
Department of Health,Chelsea & Westminster NHS Foundation Trust,15/12/2020,Prosthetics SLA,Paediatric Management,Imperial College Healthcare Nhs Trust,1461936,"295,388.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,15/12/2020,Dispensing Fee,Medical Outliers,Medihome Ltd,1537782,"55,733.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,15/12/2020,Dispensing Fee,Medical Outliers,Medihome Ltd,1537783,"55,733.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,15/12/2020,Clinical Supplies,Divisional Areas,Nhs Supply Chain Roarp (101),1537087,"96,195.40"
Department of Health,Chelsea & Westminster NHS Foundation Trust,15/12/2020,Clinical Supplies,Divisional Areas,Nhs Supply Chain Roarp (101),1537136,"183,679.81"
Department of Health,Chelsea & Westminster NHS Foundation Trust,15/12/2020,Soft Services,C-Virus - Preparatory Spend,Iss Mediclean Limited,1532673,"28,828.14"
Department of Health,Chelsea & Westminster NHS Foundation Trust,17/12/2020,Drugs,Hiv Drugs - Herts,West Hertfordshire Hospitals Nhs Trust,1521432,"295,252.50"
Department of Health,Chelsea & Westminster NHS Foundation Trust,17/12/2020,Intangible Expenditure,Medical Licenses for Erostering and Patchwork Software Integration,Softcat Ltd,1531755,"56,565.60"
Department of Health,Chelsea & Westminster NHS Foundation Trust,17/12/2020,Other Printing,I.T Management,Hp Inc. Uk Limited,1538729,"27,298.54"
Department of Health,Chelsea & Westminster NHS Foundation Trust,17/12/2020,Transport ,Trust-wide,Hats Group Ltd,1532473,"199,946.58"
Department of Health,Chelsea & Westminster NHS Foundation Trust,17/12/2020,Service Charge - Core Pfi,Pfi Unitary Payment,Bywest Ltd,1536037,"1,463,330.49"
Department of Health,Chelsea & Westminster NHS Foundation Trust,17/12/2020,NWL Occupational Work,Nwl Workforce Projects,Central And North West London Nhs Ft,1534615,"100,000.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,17/12/2020,Drugs,Chelsea Pharmacy,Aah Pharmaceuticals Ltd,1539521,"38,197.15"
Department of Health,Chelsea & Westminster NHS Foundation Trust,17/12/2020,Drugs,Chelsea Pharmacy,Aah Pharmaceuticals Ltd,1540433,"30,911.98"
Department of Health,Chelsea & Westminster NHS Foundation Trust,22/12/2020,Agency Nurse - Band 5,Chelsea Site,Care Providers Ltd,1537473,"111,884.47"
Department of Health,Chelsea & Westminster NHS Foundation Trust,22/12/2020,Agency Nurse - Band 5,Chelsea Site,Care Providers Ltd,1540159,"93,604.80"
Department of Health,Chelsea & Westminster NHS Foundation Trust,22/12/2020,Building Expenditure,St Mary Abbots Ward Refurbishment,Jca Engineering Limited,1535384,"98,607.79"
Department of Health,Chelsea & Westminster NHS Foundation Trust,22/12/2020,Building Expenditure,C&W LV Infrastructure Upgrade - Sub Station 2,Jca Engineering Limited,1535385,"219,421.20"
Department of Health,Chelsea & Westminster NHS Foundation Trust,22/12/2020,Building Expenditure,C&W LV Infrastructure Upgrade - Sub Station 2,Jca Engineering Limited,1537485,"228,354.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,22/12/2020,Building Expenditure,Extension to ICU & NICU,Mclaughlin & Harvey Ltd,1535308,"231,996.60"
Department of Health,Chelsea & Westminster NHS Foundation Trust,22/12/2020,Building Expenditure,Extension to ICU & NICU,Mclaughlin & Harvey Ltd,1540228,"541,260.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,22/12/2020,Drugs,Hiv Drugs - Herts,West Hertfordshire Hospitals Nhs Trust,1540362,"176,281.82"
Department of Health,Chelsea & Westminster NHS Foundation Trust,22/12/2020,Drugs,Hiv Drugs - Harlow,The Princess Alexandra Hospital Nhs Trust,1540218,"53,989.86"
Department of Health,Chelsea & Westminster NHS Foundation Trust,22/12/2020,Equipment Expenditure,TEAM3I NS NHSSC - Team 3 Twins Capable Intrap,Nhs Supply Chain Capital (905),1540261,"147,994.13"
Department of Health,Chelsea & Westminster NHS Foundation Trust,22/12/2020,General Computer Software,Information Governance,University Hospitals Birmingham Nhs Ft,1538009,"30,000.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,22/12/2020,General Maintenance Contracts,Trust-wide,3m United Kingdom Plc,1535570,"44,021.42"
Department of Health,Chelsea & Westminster NHS Foundation Trust,22/12/2020,General Maintenance Contracts,Trust-wide,Jca Engineering Limited,1541609,"424,347.80"
Department of Health,Chelsea & Westminster NHS Foundation Trust,22/12/2020,General Maintenance Contracts,Trust-wide,Jca Engineering Limited,1541610,"424,347.80"
Department of Health,Chelsea & Westminster NHS Foundation Trust,22/12/2020,Image Exchange Portal,Radiology,Medica Reporting Ltd (Medica Group),1537336,"32,680.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,22/12/2020,Internal Audit Fees,Director Of Finance,Kpmg Llp Fees Account,1540237,"66,053.15"
Department of Health,Chelsea & Westminster NHS Foundation Trust,22/12/2020,M.S.S.E. - Other,C-Virus - Preparatory Spend,Idox Health Ltd,1528862,"60,000.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,22/12/2020,NWLK Fluids Service Implementation,Radiology Department,Medica Reporting Ltd (Medica Group),1537423,"46,360.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,22/12/2020,Soft Services,Trust-wide,Iss Mediclean Limited,1538013,"2,356,077.12"
Department of Health,Chelsea & Westminster NHS Foundation Trust,22/12/2020,Soft Services,Trust-wide,Iss Mediclean Limited,1524242,"53,229.02"
Department of Health,Chelsea & Westminster NHS Foundation Trust,22/12/2020,Pathology - Contract W.M.U.H.,Path Central Purchasing,Beckman Coulter United Kingdom Ltd,1540475,"65,425.48"
Department of Health,Chelsea & Westminster NHS Foundation Trust,22/12/2020,Recruitment Expenses,Director Of Nursing,Medox Paramedical Ltd T/ S  Drake Medox,1541186,"47,520.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,22/12/2020,Rent Rates & Service Charge,Chelsea Harbour,Chelsea Harbour Ltd,1536081,48990
Department of Health,Chelsea & Westminster NHS Foundation Trust,22/12/2020,Drugs,Chelsea Pharmacy,Gilead Sciences Ltd,1541375,47664
Department of Health,Chelsea & Westminster NHS Foundation Trust,22/12/2020,Drugs,Chelsea Pharmacy,Janssen-Cilag Ltd,1541570,37224.5
Department of Health,Chelsea & Westminster NHS Foundation Trust,22/12/2020,Drugs,West Middlesex Pharmacy,Roche Products Ltd,1541333,51806.04
Department of Health,Chelsea & Westminster NHS Foundation Trust,22/12/2020,Clinical Supplies,Divisional Areas,Nhs Supply Chain Roarp (101),1539149,130849.61
Department of Health,Chelsea & Westminster NHS Foundation Trust,22/12/2020,Clinical Supplies,Divisional Areas,Nhs Supply Chain Roarp (101),1539153,92999.65
Department of Health,Chelsea & Westminster NHS Foundation Trust,22/12/2020,Telephones - Private Circuits,Financial Management Team,Virgin Media Business (Account 921371),1528962,33662.8
Department of Health,Chelsea & Westminster NHS Foundation Trust,22/12/2020,It Shared Service,Ict - Shared Services Project,Sphere Systems Powering Healthcare Ltd,1535593,116822.21
Department of Health,Chelsea & Westminster NHS Foundation Trust,22/12/2020,It Shared Service,Ict - Shared Services Project,Sphere Systems Powering Healthcare Ltd,1535595,60295.86
Department of Health,Chelsea & Westminster NHS Foundation Trust,22/12/2020,It Shared Service,Ict - Shared Services Project,Sphere Systems Powering Healthcare Ltd,1535597,40819.39
Department of Health,Chelsea & Westminster NHS Foundation Trust,22/12/2020,Soft Services,Trust-wide,Iss Mediclean Limited,1526194,105241.85
Department of Health,Chelsea & Westminster NHS Foundation Trust,23/12/2020,Insurance Contributions,Legal Services,Nhs Resolution C/O Nhs Litigation Authority,1539963,2906792.8
Department of Health,Chelsea & Westminster NHS Foundation Trust,23/12/2020,Nhs Blood Products,Haematology Department,Nhs Blood Transplant,1530613,57939.41
Department of Health,Chelsea & Westminster NHS Foundation Trust,23/12/2020,Nhs Blood Products,Pathology And Blood,Nhs Blood Transplant,1530612,74548.95
Department of Health,Chelsea & Westminster NHS Foundation Trust,23/12/2020,Rates & Council Tax,West Middlesex site,London Borough Of Hounslow,1542547,90972
Department of Health,Chelsea & Westminster NHS Foundation Trust,23/12/2020,Rates & Council Tax,Dean St Facilities,Westminster City Council,1542538,26866
Department of Health,Chelsea & Westminster NHS Foundation Trust,23/12/2020,Rates & Council Tax,Chelsea Site,Royal Borough Of Kensington And Chelsea,1542532,223972
Department of Health,Chelsea & Westminster NHS Foundation Trust,23/12/2020,Sbs Service Charge,Employee Relations,Nhs Shared Business Services,1542448,36699.1
Department of Health,Chelsea & Westminster NHS Foundation Trust,23/12/2020,Staff Flow Central Account,Trust-wide,Liaison Financial Services Ltd,1542540,48839.19
Department of Health,Chelsea & Westminster NHS Foundation Trust,23/12/2020,Staff Flow Central Account,Trust-wide,Liaison Financial Services Ltd,1542542,177659.37
Department of Health,Chelsea & Westminster NHS Foundation Trust,23/12/2020,Staff Flow Central Account,Trust-wide,Liaison Financial Services Ltd,1542544,36277.5
Department of Health,Chelsea & Westminster NHS Foundation Trust,24/12/2020,M.S.S.E. - Routine Purchases,Vaccination Community Hubs,Event Hire London Ltd,1542394,37947.2
Department of Health,Chelsea & Westminster NHS Foundation Trust,29/12/2020,Building Expenditure,VE564 Phase 1 ITU Surge,Bywest Ltd,1541855,255490.97
Department of Health,Chelsea & Westminster NHS Foundation Trust,29/12/2020,Building Expenditure,VE564 Phase 1 ITU Surge,Bywest Ltd,1541877,354751.76
Department of Health,Chelsea & Westminster NHS Foundation Trust,29/12/2020,Building Expenditure,Upgrade of Marjory Warren Ward,Ensigna Construction Ltd,1526592,213636
Department of Health,Chelsea & Westminster NHS Foundation Trust,29/12/2020,Building Expenditure,Upgrade of Marjory Warren Ward,Ensigna Construction Ltd,1531536,173283
Department of Health,Chelsea & Westminster NHS Foundation Trust,29/12/2020,Electricty,Trust-wide,Edf Energy 1 Ltd,1538257,99165.41
Department of Health,Chelsea & Westminster NHS Foundation Trust,29/12/2020,Gas,Trust-wide,Total Gas & Power Ltd,1539185,125588.48
Department of Health,Chelsea & Westminster NHS Foundation Trust,29/12/2020,Soft Services,Estates And Facilities - Trustwide Minor Works,Bywest Ltd,1541759,45835.16
Department of Health,Chelsea & Westminster NHS Foundation Trust,29/12/2020,Soft Services,Trust-wide,Bywest Ltd,1502756,-389555.95
Department of Health,Chelsea & Westminster NHS Foundation Trust,29/12/2020,Transport ,Trust-wide,Hats Group Ltd,1532472,30618.97
Department of Health,Chelsea & Westminster NHS Foundation Trust,29/12/2020,Transport ,Trust-wide,Hats Group Ltd,1536881,31034.04
Department of Health,Chelsea & Westminster NHS Foundation Trust,29/12/2020,Transport ,Trust-wide,Hats Group Ltd,1532715,58622.4
Department of Health,Chelsea & Westminster NHS Foundation Trust,29/12/2020,Transport ,Trust-wide,Hats Group Ltd,1532716,58622.4
Department of Health,Chelsea & Westminster NHS Foundation Trust,29/12/2020,Transport ,Trust-wide,Hats Group Ltd,1534739,159658.57
Department of Health,Chelsea & Westminster NHS Foundation Trust,29/12/2020,Clinical Supplies,Divisional Areas,Nhs Supply Chain Roarp (101),1541634,92145.54
Department of Health,Chelsea & Westminster NHS Foundation Trust,29/12/2020,Clinical Supplies,Divisional Areas,Nhs Supply Chain Roarp (101),1541635,143579.97
Department of Health,Chelsea & Westminster NHS Foundation Trust,29/12/2020,Telephone Rental-Computer,Telephones: Rental & Calls,Bt Payment Services Ltd,1516380,102020.81
Department of Health,Chelsea & Westminster NHS Foundation Trust,29/12/2020,Agency Nurse - Band 5,Chelsea Site,Care Providers Ltd,1542934,109584.14
Department of Health,Chelsea & Westminster NHS Foundation Trust,29/12/2020,Building Expenditure,Facilities Directorate - Chelsea Calorifier Refurbishment,Jca Engineering Limited,1542602,90000
Department of Health,Chelsea & Westminster NHS Foundation Trust,29/12/2020,Building Expenditure,Facilities Directorate - Chelsea Calorifier Refurbishment,Jca Engineering Limited,1542603,36000
Department of Health,Chelsea & Westminster NHS Foundation Trust,29/12/2020,General Maintenance Contracts,Trust-wide,Jca Engineering Limited,1542598,448463.1
Department of Health,Chelsea & Westminster NHS Foundation Trust,29/12/2020,Soft Services,Estates And Facilities - Trustwide Minor Works,Bywest Ltd,1542749,34376.6
Department of Health,Chelsea & Westminster NHS Foundation Trust,29/12/2020,Drugs,Chelsea Pharmacy,Gilead Sciences Ltd,1542997,47288.88
Department of Health,Chelsea & Westminster NHS Foundation Trust,29/12/2020,Drugs,Chelsea Pharmacy,Alloga Uk Limited,1542940,54000
Department of Health,Chelsea & Westminster NHS Foundation Trust,29/12/2020,Drugs,Chelsea Pharmacy,St George'S University Hospitals Nhs Ft,1542947,239898
