Department Family,Entity,Date Paid,Expense Type,Expense Area,Supplier Name,Transaction Reference,amount
Department of Health,Chelsea & Westminster NHS Foundation Trust,07/05/2020,M.S.S.E. - Other,C-Virus - Preparatory Spend,Sisk Healthcare (Uk) Ltd  T/A,1471516,"26,481.14"
Department of Health,Chelsea & Westminster NHS Foundation Trust,07/05/2020,M.S.S.E. - Other,C-Virus - Preparatory Spend,Unisurge International Ltd,1471424,"36,444.60"
Department of Health,Chelsea & Westminster NHS Foundation Trust,07/05/2020,Recruitment Expenses,Director Of Nursing,Medox Paramedical Ltd T/ S  Drake Medox,1471855,"40,000.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,07/05/2020,Recruitment Expenses,Director Of Nursing,Medox Paramedical Ltd T/ S  Drake Medox,1472854,"39,600.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,12/05/2020,Agency Nurse - Band 5,Central Nursing Agency,Care Providers Ltd,1473867,"91,872.40"
Department of Health,Chelsea & Westminster NHS Foundation Trust,12/05/2020,Drugs,Chelsea Site,Boots Uk Ltd,1472555,"1,118,161.50"
Department of Health,Chelsea & Westminster NHS Foundation Trust,12/05/2020,General Computer Software,Clinical Support Management,Icnh Ltd  (T/A Drdoctor),1473323,"128,901.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,12/05/2020,Other Consultancy,Chief Executives Office,Kudos Healthcare Consulting,1472447,"34,320.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,12/05/2020,Drugs,West Middlesex Site,Alloga Uk Limited,1472511,"27,000.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,12/05/2020,Clinical Supplies,Divisional areas,Nhs Supply Chain Roarp (101),1456115,"149,685.17"
Department of Health,Chelsea & Westminster NHS Foundation Trust,12/05/2020,Clinical Supplies,Divisional areas,Nhs Supply Chain Roarp (101),1472585,"106,364.10"
Department of Health,Chelsea & Westminster NHS Foundation Trust,12/05/2020,Clinical Supplies,Divisional areas,Nhs Supply Chain Roarp (101),1472586,"115,827.25"
Department of Health,Chelsea & Westminster NHS Foundation Trust,12/05/2020,Clinical Supplies,Divisional areas,Nhs Supply Chain Roarp (101),1472857,"85,839.67"
Department of Health,Chelsea & Westminster NHS Foundation Trust,12/05/2020,Clinical Supplies,Divisional areas,Nhs Supply Chain Roarp (101),1472858,"111,166.59"
Department of Health,Chelsea & Westminster NHS Foundation Trust,12/05/2020,Clinical Supplies,Divisional areas,Nhs Supply Chain Roarp (101),1472859,"137,001.55"
Department of Health,Chelsea & Westminster NHS Foundation Trust,12/05/2020,Clinical Supplies,Divisional areas,Nhs Supply Chain Roarp (101),1472860,"117,671.50"
Department of Health,Chelsea & Westminster NHS Foundation Trust,12/05/2020,Clinical Supplies,Divisional areas,Nhs Supply Chain Roarp (101),1472861,"63,155.24"
Department of Health,Chelsea & Westminster NHS Foundation Trust,12/05/2020,Clinical Supplies,Divisional areas,Nhs Supply Chain Roarp (101),1472862,"84,552.80"
Department of Health,Chelsea & Westminster NHS Foundation Trust,14/05/2020,Equipment Expenditure,Capital Expenditure,Smiths Medical International Ltd,1461081,"90,000.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,14/05/2020,Equipment Expenditure,Capital Expenditure,Smiths Medical International Ltd,1466935,"36,000.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,14/05/2020,Gas,Trust General Services,Corona Energy Retail 4 Ltd,1474748,"-74,708.82"
Department of Health,Chelsea & Westminster NHS Foundation Trust,14/05/2020,Gas,Trust General Services,Corona Energy Retail 4 Ltd,1474763,"97,195.15"
Department of Health,Chelsea & Westminster NHS Foundation Trust,14/05/2020,General Computer Hardware,Ict - Shared Services Project,Sphere Systems Powering Healthcare Ltd,1474018,"58,119.59"
Department of Health,Chelsea & Westminster NHS Foundation Trust,14/05/2020,Minor Works,Facilities Mgmt,Bywest Ltd,1471263,"41,849.39"
Department of Health,Chelsea & Westminster NHS Foundation Trust,14/05/2020,Minor Works,C-Virus - Preparatory Spend,Bywest Ltd,1471426,"31,868.44"
Department of Health,Chelsea & Westminster NHS Foundation Trust,14/05/2020,Minor Works,C-Virus - Preparatory Spend,Bywest Ltd,1471429,"28,942.66"
Department of Health,Chelsea & Westminster NHS Foundation Trust,14/05/2020,Minor Works,C-Virus - Preparatory Spend,Bywest Ltd,1472827,"27,365.86"
Department of Health,Chelsea & Westminster NHS Foundation Trust,14/05/2020,Clinical Supplies,Divisional areas,Nhs Supply Chain Roarp (101),1473543,"82,051.37"
Department of Health,Chelsea & Westminster NHS Foundation Trust,14/05/2020,It Shared Service,Ict - Shared Services Project,Sphere Systems Powering Healthcare Ltd,1474017,"39,542.60"
Department of Health,Chelsea & Westminster NHS Foundation Trust,14/05/2020,It Shared Service,Ict - Shared Services Project,Sphere Systems Powering Healthcare Ltd,1474019,"26,071.20"
Department of Health,Chelsea & Westminster NHS Foundation Trust,19/05/2020,Agency Nurse - Band 5,Central Nursing Agency,Care Providers Ltd,1474676,"61,147.98"
Department of Health,Chelsea & Westminster NHS Foundation Trust,19/05/2020,Building Expenditure,Maternity (Labour) Ward,Ensigna Construction Ltd,1456038,"152,654.03"
Department of Health,Chelsea & Westminster NHS Foundation Trust,19/05/2020,Building Expenditure,Maternity (Labour) Ward,Ensigna Construction Ltd,1465582,"103,953.03"
Department of Health,Chelsea & Westminster NHS Foundation Trust,19/05/2020,Building Expenditure,Air handling plant and material for Marjorie Warren Scheme,Ensigna Construction Ltd,1467499,"112,575.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,19/05/2020,Soft Services,Trust-wide,Iss Mediclean Limited,1462086,"2,289,282.23"
Department of Health,Chelsea & Westminster NHS Foundation Trust,19/05/2020,General Maintenance Contracts,Management - Hiv/Gum,Genmed Me Ltd,1473882,"742,868.30"
Department of Health,Chelsea & Westminster NHS Foundation Trust,19/05/2020,Pathology - Contract W.M.U.H.,Path Central Purchasing,Beckman Coulter United Kingdom Ltd,1474858,"65,425.48"
Department of Health,Chelsea & Westminster NHS Foundation Trust,19/05/2020,Drugs,Chelsea Site,Alloga Uk Limited,1475467,"36,000.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,19/05/2020,Drugs,Chelsea Site,Alloga Uk Limited,1475735,"28,800.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,19/05/2020,Water,Estate Management Department,Castle Water Ltd,1474981,"30,250.85"
Department of Health,Chelsea & Westminster NHS Foundation Trust,21/05/2020,Agency Nurse - Band 5,Central Nursing Agency,Care Providers Ltd,1475950,"37,276.25"
Department of Health,Chelsea & Westminster NHS Foundation Trust,21/05/2020,Building Expenditure,Extension to NICU and ICU,Mclaughlin & Harvey Ltd,1475732,"358,977.60"
Department of Health,Chelsea & Westminster NHS Foundation Trust,21/05/2020,M.S.S.E. - Other,C-Virus - Preparatory Spend,Emmo Holdings Ltd,1472603,"477,500.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,21/05/2020,Drugs,Chelsea Site,Alloga Uk Limited,1477150,"36,000.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,27/05/2020,Drugs,Hiv - Herts,West Hertfordshire Hospitals Nhs Trust,1457565,"336,297.02"
Department of Health,Chelsea & Westminster NHS Foundation Trust,27/05/2020,Drugs,Hiv - Herts,West Hertfordshire Hospitals Nhs Trust,1476557,"196,571.90"
Department of Health,Chelsea & Westminster NHS Foundation Trust,27/05/2020,Equipment Expenditure,Capital Expenditure,Fujifilm Uk Ltd,1475977,"35,103.59"
Department of Health,Chelsea & Westminster NHS Foundation Trust,27/05/2020,Image Exchange Portal,Radiology,Medica Reporting Ltd (Medica Group),1463878,"34,767.16"
Department of Health,Chelsea & Westminster NHS Foundation Trust,27/05/2020,Image Exchange Portal,Radiology,Medica Reporting Ltd (Medica Group),1473301,"28,882.64"
Department of Health,Chelsea & Westminster NHS Foundation Trust,27/05/2020,M.S.S.E. - Routine Purchases,C-Virus - Preparatory Spend,Full Support Healthcare Ltd,1476058,"57,510.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,27/05/2020,Non-Nhs Contracts,Radiology Department,Medica Reporting Ltd (Medica Group),1464216,"40,448.52"
Department of Health,Chelsea & Westminster NHS Foundation Trust,27/05/2020,Non-Nhs Contracts,Radiology Department,Medica Reporting Ltd (Medica Group),1473525,"29,455.05"
Department of Health,Chelsea & Westminster NHS Foundation Trust,27/05/2020,Services From - Foundation Tru,Paediatric Management,Central And North West London Nhs Ft,1437862,"159,889.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,27/05/2020,Services From N.H.S. Bodies,Hiv Testing,The Princess Alexandra Hospital Nhs Trust,1459931,"62,461.70"
Department of Health,Chelsea & Westminster NHS Foundation Trust,27/05/2020,Services From N.H.S. Bodies,Hiv Testing,The Princess Alexandra Hospital Nhs Trust,1474998,"33,310.32"
Department of Health,Chelsea & Westminster NHS Foundation Trust,27/05/2020,GUM Service,Imperial Gum Contract,Imperial College Healthcare Nhs Trust,1459955,"354,626.65"
Department of Health,Chelsea & Westminster NHS Foundation Trust,27/05/2020,Drugs,Chelsea Site,Bayer Plc,1477994,"36,498.24"
Department of Health,Chelsea & Westminster NHS Foundation Trust,27/05/2020,Drugs,West Middlesex Site,Alloga Uk Limited,1477557,"32,400.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,27/05/2020,It Shared Service,Ict - Shared Services Project,Sphere Systems Powering Healthcare Ltd,1477526,"574,587.80"
Department of Health,Chelsea & Westminster NHS Foundation Trust,28/05/2020,Nhs Blood Products,Haematology Department,Nhs Blood Transplant,1465318,"57,939.41"
Department of Health,Chelsea & Westminster NHS Foundation Trust,28/05/2020,Nhs Blood Products,Pathology And Blood,Nhs Blood Transplant,1465316,"74,548.95"
Department of Health,Chelsea & Westminster NHS Foundation Trust,28/05/2020,Rates & Council Tax,West Middlesex Site,London Borough Of Hounslow,1479200,"90,972.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,28/05/2020,Rates & Council Tax,Dean St Facilities,Westminster City Council,1479186,"26,866.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,28/05/2020,Rates & Council Tax,Chelsea Site,Royal Borough Of Kensington And Chelsea,1479184,"223,972.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,28/05/2020,Sbs Service Charge,Hr Directorate Team - Executiv,Nhs Shared Business Services,1479222,"73,960.70"
Department of Health,Chelsea & Westminster NHS Foundation Trust,28/05/2020,Sbs Service Charge,Hr Directorate Team - Executiv,Nhs Shared Business Services,1479224,"99,000.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,28/05/2020,Staff Flow Central Account,Candw Balance Sheet,Liaison Financial Services Ltd,1479191,"40,374.70"
Department of Health,Chelsea & Westminster NHS Foundation Trust,28/05/2020,Staff Flow Central Account,Candw Balance Sheet,Liaison Financial Services Ltd,1479194,"29,706.23"
Department of Health,Chelsea & Westminster NHS Foundation Trust,28/05/2020,Staff Flow Central Account,Candw Balance Sheet,Liaison Financial Services Ltd,1479196,"39,664.64"
Department of Health,Chelsea & Westminster NHS Foundation Trust,28/05/2020,Staff Flow Central Account,Candw Balance Sheet,Liaison Financial Services Ltd,1479198,"44,101.19"
Department of Health,Chelsea & Westminster NHS Foundation Trust,28/05/2020,Insurance Contributions,Legal Services,Nhs Resolution C/O Nhs Litigation Authority,1479220,"2,906,752.80"
