Date Paid,9AN - Level 9 Account Name,Cost Centre Name,Supplier Name,Transaction Reference,amount
16/06/2020,It Shared Service,Ict - Shared Services Project,Sphere Systems Powering Healthcare Ltd,1483485,574587.8
16/06/2020,Waste Mgmnt Contract Variation,Facilities Mgmt,Bouygues E&S Fm Uk Limited,1482102,32262.61
16/06/2020,Waste Mgmnt Contract Variation,Facilities Mgmt,Bouygues E&S Fm Uk Limited,1482110,31952.93
09/06/2020,Equipment Expenditure,Capital Expenditure,Nhs Supply Chain Capital (905),1448533,262327.24
09/06/2020,General Maintenance Contracts,Iss Contract,Iss Mediclean Limited,1481250,2292804.59
09/06/2020,I.T. Expenditure,Capital Expenditure,Cdw Limited,1477773,51193.33
09/06/2020,M.S.S.E. - Other,C-Virus - Preparatory Spend,Philips Healthcare,1480490,26754
09/06/2020,M.S.S.E. - Other,C-Virus - Preparatory Spend,Philips Healthcare,1480492,37346.4
09/06/2020,M.S.S.E. - Other,C-Virus - Preparatory Spend,Emmo Holdings Ltd,1482055,524800
09/06/2020,M.S.S.E. - Other,C-Virus - Preparatory Spend,Emmo Holdings Ltd,1482339,-62320
09/06/2020,Rent Rates & Service Charge,Chelsea Harbour,Chelsea Harbour Ltd,1481225,48990
09/06/2020,Rent Rates & Service Charge,Chelsea Harbour,Chelsea Harbour Ltd,1481226,31404
09/06/2020,Rent Rates & Service Charge,Chelsea Harbour,Chelsea Harbour Ltd,1481228,40425
09/06/2020,Services From - Foundation Tru,Paediatric Management,Central And North West London Nhs Ft,1401818,143979
09/06/2020,Stores Control Account (Candw),Candw Balance Sheet,Nhs Supply Chain Roarp (101),1480112,84042.2
09/06/2020,Stores Control Account (Candw),Candw Balance Sheet,Nhs Supply Chain Roarp (101),1481694,35349.34
09/06/2020,Stores Control Account (Candw),Candw Balance Sheet,Nhs Supply Chain Roarp (101),1481695,66921.07
09/06/2020,It Shared Service,Pioneer,Renaclinical Ltd,1472354,26596.31
23/06/2020,Building Expenditure,Capital Expenditure,Ensigna Construction Ltd,1485706,88627.2
23/06/2020,Building Expenditure,Capital Expenditure,Mclaughlin & Harvey Ltd,1485148,363577.2
23/06/2020,Building Expenditure,Capital Expenditure,Specialist Lift Services,1484219,115776.72
23/06/2020,Drugs - General,Management - Hiv/Gum,Guy'S & St Thomas' Nhs Foundation Trust,1486271,27648
23/06/2020,Electricty,Hard Fm Non Pay,Edf Energy 1 Ltd,1466282,-259734.9
23/06/2020,Electricty,Hard Fm Non Pay,Edf Energy 1 Ltd,1474983,126942.77
23/06/2020,Electricty,Hard Fm Non Pay,Edf Energy 1 Ltd,1482333,179768.95
23/06/2020,Equipment Expenditure,Capital Expenditure,Nhs Supply Chain Capital (905),1449879,134911.15
23/06/2020,M.R.I. Scans,Radiology:- Other Scanning,Alliance Medical Limited,1473533,32340.63
23/06/2020,M.S.S.E. - Other,C-Virus - Preparatory Spend,Dolby Medical Home Respiratory Care Ltd,1486063,47758.45
23/06/2020,M.S.S.E. - Other,C-Virus - Preparatory Spend,Dolby Medical Home Respiratory Care Ltd,1486064,45963.25
23/06/2020,Other Expenses,C-Virus - Preparatory Spend,Ensigna Construction Ltd,1481382,49297.2
23/06/2020,Other Expenses,Facilities-Covid-19,Ensigna Construction Ltd,1485707,49892.7
23/06/2020,Pathology - Contract W.M.U.H.,Path Central Purchasing,Beckman Coulter United Kingdom Ltd,1484116,65425.48
23/06/2020,Service Charge - Core Pfi,Pfi Unitary Payment,Iss Mediclean Limited,1484679,45141.91
23/06/2020,Stock - Drug Purchases (Candw),Candw Balance Sheet,Bayer Plc,1485251,45622.8
23/06/2020,Stores Control Account (Candw),Candw Balance Sheet,Nhs Supply Chain Roarp (101),1484444,63656.96
23/06/2020,Typing&Transcription Services,Opd Admin Musculo Skeletal,Dscribe Ltd,1482672,32640.9
23/06/2020,Nuclear Medicine Tests,Nuclear Med Scans (Elective),Imperial College Healthcare Nhs Trust,1461934,25785.5
23/06/2020,External Audit Fees,Director Of Finance,Deloitte Llp,1486386,85200
23/06/2020,External Audit Fees,Director Of Finance,Deloitte Llp,1486387,72000
04/06/2020,Agency Nurse - Band 5,Central Nursing Agency,Care Providers Ltd,1479811,116853.34
04/06/2020,General Maintenance Contracts,Iss Contract,Iss Mediclean Limited,1472605,2292804.59
04/06/2020,M.S.S.E. - Other,C-Virus - Preparatory Spend,Emmo Holdings Ltd,1481038,131400
04/06/2020,Stock - Drug Purchases (Wmuh),Current Assets,Alloga Uk Limited,1481105,27000
25/06/2020,General Maintenance Contracts,Hard Fm Non Pay,Jca Engineering Limited,1484788,94524.85
25/06/2020,General Maintenance Contracts,Radiology,Fujifilm Uk Ltd,1487328,39946.15
25/06/2020,General Maintenance Contracts,Iss Contract,Iss Mediclean Limited,1485981,34009.39
25/06/2020,General Maintenance Contracts,Iss Contract,Iss Mediclean Limited,1485982,25550.46
25/06/2020,General Maintenance Contracts,Iss Contract,Iss Mediclean Limited,1485983,41471.22
25/06/2020,Nhs Blood Products,Haematology Department,Nhs Blood Transplant,1475640,57939.41
25/06/2020,Nhs Blood Products,Pathology And Blood,Nhs Blood Transplant,1475638,74548.95
25/06/2020,Rates & Council Tax,34-35 Dean Street,London Borough Of Hounslow,1487516,90972
25/06/2020,Rates & Council Tax,Dean St Facilities,Westminster City Council,1487501,26866
25/06/2020,Rates & Council Tax,Trust General Services,Royal Borough Of Kensington And Chelsea,1487500,223972
25/06/2020,Sbs Service Charge,Hr Directorate Team - Executiv,Nhs Shared Business Services,1484008,36699.1
25/06/2020,Staff Flow Central Account,Candw Balance Sheet,Liaison Financial Services Ltd,1487507,41586.36
25/06/2020,Staff Flow Central Account,Candw Balance Sheet,Liaison Financial Services Ltd,1487510,33905.49
25/06/2020,Staff Flow Central Account,Candw Balance Sheet,Liaison Financial Services Ltd,1487512,34196.1
25/06/2020,Staff Flow Central Account,Candw Balance Sheet,Liaison Financial Services Ltd,1487514,40287
25/06/2020,Stores Control Account (Candw),Candw Balance Sheet,Nhs Supply Chain Roarp (101),1486100,58085.76
25/06/2020,Stores Control Account (Candw),Candw Balance Sheet,Nhs Supply Chain Roarp (101),1486101,82188.61
25/06/2020,Water,Estate Management Department,Castle Water Ltd,1482070,31259.84
25/06/2020,Contribution Nhsla Cnst,Legal Services,Nhs Resolution C/O Nhs Litigation Authority,1487535,2906752.8
