Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount
Department of Health,Homerton University Hospital NHS FT,5/31/2020,AUC Additions,Balance Sheet,PHILIPS ELECTRONICS UK LTD,34243637,"56,436.00"
Department of Health,Homerton University Hospital NHS FT,5/31/2020,AUC Additions,Balance Sheet,PERFECT CIRCLE JV LTD,34271179,"65,713.75"
Department of Health,Homerton University Hospital NHS FT,5/31/2020,Rates,Homerton Gen Estate Expens,LONDON BOROUGH OF HACKNEY,34271352,"1,255,520.00"
Department of Health,Homerton University Hospital NHS FT,5/31/2020,NonNHS Trade Pybls Curr,Balance Sheet,SUPPLY CHAIN COORDINATION LIMITED,34271401,"114,273.21"
Department of Health,Homerton University Hospital NHS FT,5/31/2020,Electricity,Homerton Energy,EDF ENERGY CUSTOMERS PLC,34271441,"-43,583.17"
Department of Health,Homerton University Hospital NHS FT,5/31/2020,Electricity,Homerton Energy,EDF ENERGY CUSTOMERS PLC,34271442,"-63,843.70"
Department of Health,Homerton University Hospital NHS FT,5/31/2020,Services Received - NHSTs,Employee Health Management,OHWORKS LTD,34271455,"32,071.11"
Department of Health,Homerton University Hospital NHS FT,5/31/2020,Services Received - NHSTs,"Service
Employee Health Management",OHWORKS LTD,34271456,"32,071.11"
Department of Health,Homerton University Hospital NHS FT,5/31/2020,Equip Maint Contracts,"Service
Radiology",PHILIPS ELECTRONICS UK LTD,34271467,"38,784.90"
Department of Health,Homerton University Hospital NHS FT,5/31/2020,OthrIntngAst Additions,Balance Sheet,BOLT PARTNERS LTD,34273222,"37,230.00"
Department of Health,Homerton University Hospital NHS FT,5/31/2020,Other Transport Costs,Pathology,CITYSPRINT (UK) LTD,34273233,"21,395.26"
Department of Health,Homerton University Hospital NHS FT,5/31/2020,NonNHS Trade Pybls Curr,Balance Sheet,SUPPLY CHAIN COORDINATION LIMITED,34283259,"67,827.76"
Department of Health,Homerton University Hospital NHS FT,5/31/2020,Med & Surg Equip Repair,Theatre Supplies - Urology,MERCIAN SURGICAL SUPPLY CO LTD,34295779,"31,932.00"
Department of Health,Homerton University Hospital NHS FT,5/31/2020,Vaccines,COVID-19,R PERKINS & SONS LTD,34316633,"58,193.36"
Department of Health,Homerton University Hospital NHS FT,5/31/2020,Computer Software/License,Clinical Information Systems,ASCRIBE LTD T/A EMIS HEALTH,34318549,"69,660.28"
Department of Health,Homerton University Hospital NHS FT,5/31/2020,Services Received - NHSTs,Cardiac Dept,BARTS HEALTH NHS TRUST,34333275,"28,875.00"
Department of Health,Homerton University Hospital NHS FT,5/31/2020,Services Received - NHSTs,Bowel Cancer Screening,BARTS HEALTH NHS TRUST,34333318,"35,353.33"
Department of Health,Homerton University Hospital NHS FT,5/31/2020,Services Received - NHSTs,"Programme
Bowel Cancer Screening",BARTS HEALTH NHS TRUST,34333324,"42,278.33"
Department of Health,Homerton University Hospital NHS FT,5/31/2020,Med & Surg Equip Hire,"Programme
Integrated Comm Equip",LONDON BOROUGH OF HACKNEY,34333339,"37,190.52"
Department of Health,Homerton University Hospital NHS FT,5/31/2020,Laboratory Reagents,Chemical Pathology,ABBOTT LABORATORIES LTD,34333377,"135,090.91"
Department of Health,Homerton University Hospital NHS FT,5/31/2020,Training Expenses,Primary Care Psychology,CITY & HACKNEY MIND,34333530,"36,000.00"
Department of Health,Homerton University Hospital NHS FT,5/31/2020,NonNHS Trade Pybls Curr,Balance Sheet,SUPPLY CHAIN COORDINATION LIMITED,34333543,"77,839.14"
Department of Health,Homerton University Hospital NHS FT,5/31/2020,Laboratory Chemicals,Chemical Pathology,ABBOTT LABORATORIES LTD,34333612,"43,365.54"
Department of Health,Homerton University Hospital NHS FT,5/31/2020,Vaccines,COVID-19,ROSE HOUSE FUNERAL SUPPLIES,34333996,"28,836.00"
Department of Health,Homerton University Hospital NHS FT,5/31/2020,Med & Surg Equip Repair,Medical Electronics,SOFTCAT PLC,34334034,"22,678.70"
Department of Health,Homerton University Hospital NHS FT,5/31/2020,AUC Additions,Balance Sheet,KARL STORZ ENDOSCOPY UK LTD,34344610,"38,318.98"
Department of Health,Homerton University Hospital NHS FT,5/31/2020,Med & Surg Equip Disp,Theatre Supplies - Ent,KARL STORZ ENDOSCOPY UK LTD,34344610,"2,844.68"
Department of Health,Homerton University Hospital NHS FT,5/31/2020,Income tax - Current,Balance Sheet,INLAND REVENUE CIS,34354887,"2,363,250.84"
Department of Health,Homerton University Hospital NHS FT,5/31/2020,National Insurance - Curr,Balance Sheet,INLAND REVENUE CIS,34354887,"2,746,112.09"
Department of Health,Homerton University Hospital NHS FT,5/31/2020,Shared Parental Leave,Balance Sheet,INLAND REVENUE CIS,34354887,"-3,853.22"
Department of Health,Homerton University Hospital NHS FT,5/31/2020,Statutory Mat Pay - Curr,Balance Sheet,INLAND REVENUE CIS,34354887,"-69,058.56"
Department of Health,Homerton University Hospital NHS FT,5/31/2020,Computer Maintenance,It Client Support,SOFTCAT PLC,34360730,"32,128.58"
Department of Health,Homerton University Hospital NHS FT,5/31/2020,Payroll Ded'ns N/S Curr,Balance Sheet,TUSKERDIRECT LTD,34373775,"25,193.68"
Department of Health,Homerton University Hospital NHS FT,5/31/2020,Payroll Ded'ns N/S Curr,Balance Sheet,TUSKERDIRECT LTD,34373937,"26,461.79"
Department of Health,Homerton University Hospital NHS FT,5/31/2020,Services Received - NHSTs,Employee Health Management,OHWORKS LTD,34374086,"32,071.11"
Department of Health,Homerton University Hospital NHS FT,5/31/2020,Laboratory Reagents,"Service
Haematology",SYSMEX UK LTD,34374223,"45,872.08"
Department of Health,Homerton University Hospital NHS FT,5/31/2020,Agency Senior Manager,Infecton Control Team,COMPUTER FUTURES,34382907,"30,762.00"
Department of Health,Homerton University Hospital NHS FT,5/31/2020,Stocks Raw Materials,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,34389265,"73,049.99"
Department of Health,Homerton University Hospital NHS FT,5/31/2020,Bldg/Eng Equip Maint Cont,Homerton Central Engineer,CENTRICA BUSINESS SOLUTIONS UK LTD,34411831,"-34,591.49"
Department of Health,Homerton University Hospital NHS FT,5/31/2020,Bldg/Eng Equip Maint Cont,Homerton Central Engineer,CENTRICA BUSINESS SOLUTIONS UK LTD,34411952,"34,591.49"
Department of Health,Homerton University Hospital NHS FT,5/31/2020,Contr Estate Management,Homerton Central Engineer,CENTRICA BUSINESS SOLUTIONS UK LTD,34412113,"23,814.00"
Department of Health,Homerton University Hospital NHS FT,5/31/2020,AUC Additions,Balance Sheet,MARDAV SOLUTIONS LTD,34418545,"-48,762.00"
Department of Health,Homerton University Hospital NHS FT,5/31/2020,AUC Additions,Balance Sheet,SUPPLY CHAIN COORDINATION LIMITED,34435611,"84,783.79"
Department of Health,Homerton University Hospital NHS FT,5/31/2020,Bldg/Eng Equip Maint/Rep,Homerton Central Engineer,MICAD SYSTEMS (UK) LTD,34435853,"45,945.00"
Department of Health,Homerton University Hospital NHS FT,5/31/2020,Vaccines,Corporate Nursing,BATES OFFICE SERVICES LTD - RQX,34443208,"43,200.00"
Department of Health,Homerton University Hospital NHS FT,5/31/2020,Gas,Homerton Energy,CORONA ENERGY RETAIL 4 LTD,34444959,"26,844.04"
Department of Health,Homerton University Hospital NHS FT,5/31/2020,Computer Maintenance,Pathology It,CLINISYS SOLUTIONS LTD,34445209,"260,655.48"
Department of Health,Homerton University Hospital NHS FT,5/31/2020,Services Received - NHSTs,Cardiac Dept,BARTS HEALTH NHS TRUST,34462813,"27,300.00"
Department of Health,Homerton University Hospital NHS FT,5/31/2020,Services Received - NHSTs,Cardiac Dept,BARTS HEALTH NHS TRUST,34462823,"32,550.00"
Department of Health,Homerton University Hospital NHS FT,5/31/2020,Services Received - NHSTs,Cardiac Dept,BARTS HEALTH NHS TRUST,34462831,"34,650.00"
Department of Health,Homerton University Hospital NHS FT,5/31/2020,Services Received - NHSTs,Cardiac Dept,BARTS HEALTH NHS TRUST,34462845,"30,975.00"
Department of Health,Homerton University Hospital NHS FT,5/31/2020,Med & Surg Equip General,Delivery Suite,K2 MEDICAL SYSTEMS LTD,34494786,"31,050.00"
