Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,amount,Description,Supplier Postcode
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Hcare Srv Rec Fdtn Trust-Prior Year,ACUTE COMMISSIONING,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,32989826,"-46,984.29",Credit on account ALL-W-000680072 as CN RAISED AGAINST UNDERPERFORMANCE- (M10 PERF 18/19 incl. 50% of 2.5% CQUIN) ,E9 6SR
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Hcare Srv Rec Fdtn Trust-Prior Year,ACUTE COMMISSIONING,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,32989832,"-36,455.52",Credit on account ALL-W-000680072 as CN RAISED AGAINST UNDERPERFORMANCE- (ESTIMATE M11 PERF FOR YE 18/19 incl. 50% of 2.5% CQUIN) ,E9 6SR
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Hcare Srv Rec Fdtn Trust-Prior Year,ACUTE COMMISSIONING,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,32989839,"36,455.52",INV TO CANCEL CREDIT NOTE RAISED AGAINST ESTIMATE M11 PERF FOR YE 18/19 incl. 50% of 2.5% CQUIN-(NHS BARKING & DAGENHAM CCG),E9 6SR
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Clinical&Medical-Serv Recd-F Trsts,MENTAL HEALTH SERVICES - OTHER,NORTH EAST LONDON NHS FOUNDATION TRUST,32989848,"39,383.92",,CM8 2TL
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Hcare Srv Rec Fdtn Trust-Prior Year,ACUTE COMMISSIONING,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,32989853,"-32,987.44",Credit on account ALL-W-000680072 as CN RAISED AGAINST UNDERPERFORMANCE- (M12 PERF 18/19 incl. 50% of 2.5% CQUIN),E9 6SR
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Clinical&Medical-Serv Recd-F Trsts,MENTAL HEALTH SERVICES - OTHER,NORTH EAST LONDON NHS FOUNDATION TRUST,32989857,"33,796.08",,CM8 2TL
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Clinical&Medical-Serv Recd-F Trsts,MENTAL HEALTH SERVICES - OTHER,NORTH EAST LONDON NHS FOUNDATION TRUST,32989865,"50,821.27",,CM8 2TL
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Clinical&Medical-Serv Recd-F Trsts,MENTAL HEALTH SERVICES - OTHER,NORTH EAST LONDON NHS FOUNDATION TRUST,32989870,"50,845.41",,CM8 2TL
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Clinical&Medical-Serv Recd-F Trsts,MENTAL HEALTH SERVICES - OTHER,NORTH EAST LONDON NHS FOUNDATION TRUST,32989875,"133,200.03",,CM8 2TL
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Clinical&Medical-Serv Recd-F Trsts,MENTAL HEALTH SERVICES - OTHER,NORTH EAST LONDON NHS FOUNDATION TRUST,32989876,"109,938.37",,CM8 2TL
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Clinical&Medical-Serv Recd-F Trsts,MENTAL HEALTH SERVICES - OTHER,NORTH EAST LONDON NHS FOUNDATION TRUST,32989879,"220,979.06",https://nww.einvoice-prod.sbs.nhs.uk:8179/invoicepdf/6de4a86d-e2e8-5eeb-8ab1-5d4234578450,CM8 2TL
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,32989883,"-945,319.06",Credit on account ALL-W-000680072 as CLOSE 1920 NHS BARKING & DAGENHAM CCG,E9 6SR
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,33002333,"1,062.45",M1 PERF 19/20 - 50% of 1.25% CQUIN -NHS BARKING AND DAGENHAM CCG,E9 6SR
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,33002333,"84,996.08",M1 PERF 19/20 - Excl CQUIN -NHS BARKING AND DAGENHAM CCG,E9 6SR
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,33002337,830.54,M2 PERF 19/20 - 50% of 1.25% CQUIN -NHS BARKING AND DAGENHAM CCG,E9 6SR
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,33002337,"66,443.55",M2 PERF 19/20 - Excl CQUIN -NHS BARKING AND DAGENHAM CCG,E9 6SR
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,33002341,"1,114.42",M03 PERF 19/20 - 50% of 2.5% CQUIN -NHS BARKING AND DAGEENHAM CCG,E9 6SR
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,33002341,"89,153.75",M03 PERF 19/20 - Excl CQUIN -NHS BARKING AND DAGENHAM CCG,E9 6SR
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,33002346,"1,091.52",M04 PERF 19/20 - 50% of 2.5% CQUIN -NHS BARKING AND DAGEENHAM CCG,E9 6SR
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,33002346,"87,321.30",M04 PERF 19/20 - Excl CQUIN -NHS BARKING AND DAGENHAM CCG,E9 6SR
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,33002349,"1,093.63",M05 PERF 19/20 - 50% of 2.5% CQUIN -NHS BARKING AND DAGEENHAM CCG,E9 6SR
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,33002349,"87,489.73",M05 PERF 19/20 - Excl CQUIN -NHS BARKING AND DAGENHAM CCG,E9 6SR
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,33002353,"1,577.44",M06 PERF 19/20 - 50% of 2.5% CQUIN -NHS BARKING AND DAGEENHAM CCG,E9 6SR
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,33002353,"126,194.98",M06 PERF 19/20 - Excl CQUIN -NHS BARKING AND DAGENHAM CCG,E9 6SR
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,33002357,"1,542.68",M08 PERF 19/20 - 50% of 2.5% CQUIN -NHS BARKING AND DAGEENHAM CCG,E9 6SR
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,33002357,"123,414.06",M08 PERF 19/20 - Excl CQUIN -NHS BARKING AND DAGENHAM CCG,E9 6SR
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,33002359,"1,113.32",M09 PERF 19/20 - 50% of 2.5% CQUIN -NHS BARKING AND DAGEENHAM CCG,E9 6SR
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,33002359,"89,065.53",M09 PERF 19/20 - Excl CQUIN -NHS BARKING AND DAGENHAM CCG,E9 6SR
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,33002376,"1,442.65",ESTIMATE M10 PERF 19/20 - 50% of 2.5% CQUIN -NHS BARKING AND DAGEENHAM CCG,E9 6SR
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,33002376,"115,412.18",ESTIMATE M10 PERF 19/20 - Excl CQUIN -NHS BARKING AND DAGENHAM CCG,E9 6SR
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,33002378,"1,259.33",ESTIMATE M11 PERF 19/20 - 50% of 2.5% CQUIN -NHS BARKING AND DAGEENHAM CCG,E9 6SR
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,33002378,"100,746.44",ESTIMATE M11 PERF 19/20 - Excl CQUIN -NHS BARKING AND DAGENHAM CCG,E9 6SR
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,33002380,"1,822.98",ESTIMATE M12 PERF 19/20 - 50% of 2.5% CQUIN -NHS BARKING AND DAGEENHAM CCG,E9 6SR
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,33002380,"145,838.62",ESTIMATE M12 PERF 19/20 - Excl CQUIN -NHS BARKING AND DAGENHAM CCG,E9 6SR
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Recharge : Received,NON RECURRENT PROGRAMMES,NHS REDBRIDGE CCG,33002413,"88,742.62",Misc Rev-Oth Op Rev NHS NonContract 44849040,WF3 1WE
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Clinical&Medical-Commercial Sector,PRESCRIBING,NORTH WEST OSTOMY SUPPLIES,33003337,"36,111.48",Invoice: 0001770010 (Attached),WN7 3XJ
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Clinical&Medical-Commercial Sector,PRESCRIBING,NORTH WEST OSTOMY SUPPLIES,33003337,"7,222.30",https://nww.einvoice-prod.sbs.nhs.uk:8179/invoicepdf/258c03f3-f6d8-5bb0-8646-90e45cfadf11,WN7 3XJ
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,33034894,"-134,410.13",https://nww.einvoice-prod.sbs.nhs.uk:8179/invoicepdf/aec16ebd-0aed-52ed-b6f2-7fc4b9067a15,WC1B 5EH
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Hcare Srv Rec NHS Trust,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,33054989,"73,000.00",https://nww.einvoice-prod.sbs.nhs.uk:8179/invoicepdf/c85574b1-b1f8-5ed0-a5d0-7c4e4de94954,E1 8PR
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,A MOGHAL,33070588,"2,908.72",ZBASAP,RM8 3HP
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,A MOGHAL,33070588,"50,012.29",BABALP,RM8 3HP
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-PMS LES Extended Hours,LOCAL ENHANCED SERVICES,A MOGHAL,33070588,"2,326.70",EXTH2P,RM8 3HP
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,A MOGHAL,33070588,961.3,PARTIP,RM8 3HP
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,A MOGHAL,33070588,"32,706.60",RENT,RM8 3HP
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,A MOGHAL,33070588,"4,146.56",QUASPP,RM8 3HP
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-APMS Contract KPIs,PRC DELEGATED CO-COMMISSIONING,CONCORDIA HEALTH LTD DAGENHAM,33070593,"3,313.20",CKPIA,RM8 2EQ
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,CONCORDIA HEALTH LTD DAGENHAM,33070593,"167,533.34",APMADD,RM8 2EQ
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,CONCORDIA HEALTH LTD DAGENHAM,33070593,"2,726.42",PARTIA,RM8 2EQ
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-APMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,CONCORDIA HEALTH LTD DAGENHAM,33070593,"88,903.37",RENTA,RM8 2EQ
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-APMS Prem Clinical Waste,PRC DELEGATED CO-COMMISSIONING,CONCORDIA HEALTH LTD DAGENHAM,33070593,213.33,WASTEA,RM8 2EQ
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-APMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,CONCORDIA HEALTH LTD DAGENHAM,33070593,"6,008.49",RANDRA,RM8 2EQ
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-APMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,CONCORDIA HEALTH LTD DAGENHAM,33070593,209.63,RAMWA,RM8 2EQ
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CONCORDIA HEALTH LTD DAGENHAM,33070593,"8,575.39",QUASPP,RM8 2EQ
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,GREEN LANE SURGERY,33070605,981.38,ZBASAP,RM8 1BX
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,GREEN LANE SURGERY,33070605,"25,620.60",BABALP,RM8 1BX
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-PMS LES Extended Hours,LOCAL ENHANCED SERVICES,GREEN LANE SURGERY,33070605,"1,203.86",EXTH2P,RM8 1BX
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,GREEN LANE SURGERY,33070605,495.77,PARTIP,RM8 1BX
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,GREEN LANE SURGERY,33070605,"3,175.00",NRENT,RM8 1BX
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,GREEN LANE SURGERY,33070605,"1,790.32",QUASPP,RM8 1BX
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,JOHN & JOHN,33070615,"2,581.76",ZBASAP,IG117TB
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,JOHN & JOHN,33070615,"130,553.98",BABALP,IG117TB
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,JOHN & JOHN,33070615,"3,892.59",EXTHDP,IG117TB
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-PMS LES Extended Hours,LOCAL ENHANCED SERVICES,JOHN & JOHN,33070615,"9,053.21",EXTH2P,IG117TB
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-PMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,JOHN & JOHN,33070615,"1,938.27",CLINDP,IG117TB
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-PMS PCN DES PCN support,LOCAL ENHANCED SERVICES,JOHN & JOHN,33070615,"4,026.88",PCNSUP,IG117TB
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,JOHN & JOHN,33070615,"3,731.52",PARTIP,IG117TB
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,JOHN & JOHN,33070615,"5,166.67",NRENT,IG117TB
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,JOHN & JOHN,33070615,"10,477.84",QUASPP,IG117TB
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,TULASI MEDICAL CENTRE,33070637,"148,772.23",BABALP,RM8 3XU
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-PMS LES Extended Hours,LOCAL ENHANCED SERVICES,TULASI MEDICAL CENTRE,33070637,"7,046.44",EXTH2P,RM8 3XU
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,TULASI MEDICAL CENTRE,33070637,"2,881.28",PARTIP,RM8 3XU
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,TULASI MEDICAL CENTRE,33070637,"10,579.83",NRENT,RM8 3XU
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,TULASI MEDICAL CENTRE,33070637,"16,821.26",RANDRP,RM8 3XU
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,TULASI MEDICAL CENTRE,33070637,70.16,RAMWP,RM8 3XU
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,TULASI MEDICAL CENTRE,33070637,"14,788.00",QUASPP,RM8 3XU
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,ME-PMS GP Prior Year AVCs,PRC DELEGATED CO-COMMISSIONING,TULASI MEDICAL CENTRE,33070637,"10,057.63",PRYAVP,RM8 3XU
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-APMS Contract KPIs,PRC DELEGATED CO-COMMISSIONING,PRIME PRACTICE PARTNERSHIP LTD,33070645,"1,163.58",CKPIA,RM10 9HU
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,PRIME PRACTICE PARTNERSHIP LTD,33070645,"58,837.11",APMADD,RM10 9HU
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,PRIME PRACTICE PARTNERSHIP LTD,33070645,957.51,PARTIA,RM10 9HU
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-APMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,PRIME PRACTICE PARTNERSHIP LTD,33070645,"16,138.07",RENTA,RM10 9HU
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-APMS Prem Clinical Waste,PRC DELEGATED CO-COMMISSIONING,PRIME PRACTICE PARTNERSHIP LTD,33070645,42.81,WASTEA,RM10 9HU
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-APMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,PRIME PRACTICE PARTNERSHIP LTD,33070645,931.53,RANDRA,RM10 9HU
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-APMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,PRIME PRACTICE PARTNERSHIP LTD,33070645,18.63,RAMWA,RM10 9HU
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,PRIME PRACTICE PARTNERSHIP LTD,33070645,"3,614.12",QUASPP,RM10 9HU
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,ABBEY MEDICAL CENTRE,33070654,"5,180.08",ZBASAP,IG11 8RJ
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ABBEY MEDICAL CENTRE,33070654,"45,457.32",BABALP,IG11 8RJ
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-PMS LES Extended Hours,LOCAL ENHANCED SERVICES,ABBEY MEDICAL CENTRE,33070654,"2,105.90",EXTH2P,IG11 8RJ
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ABBEY MEDICAL CENTRE,33070654,863.23,PARTIP,IG11 8RJ
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,ABBEY MEDICAL CENTRE,33070654,"1,692.02",RANDRP,IG11 8RJ
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ABBEY MEDICAL CENTRE,33070654,"3,997.98",QUASPP,IG11 8RJ
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,ME-PMS GP Pension EEs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,ABBEY MEDICAL CENTRE,33070654,279,PENEEP,IG11 8RJ
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,ABBEY MEDICAL CENTRE,33070654,431.4,PENERP,IG11 8RJ
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,LABURNUM HEALTH CENTRE,33070671,"3,769.65",ZBASAP,RM10 7DF
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,LABURNUM HEALTH CENTRE,33070671,"72,468.50",BABALP,RM10 7DF
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-PMS LES Extended Hours,LOCAL ENHANCED SERVICES,LABURNUM HEALTH CENTRE,33070671,"3,457.94",EXTH2P,RM10 7DF
