Department,CCG,Date,Expense Area,Expense Type,Supplier,Transaction Number,Amount
Department of Health,NHS Ealing CCG,31-Aug-20,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,DR R SIVANESAN,33486159,-505.95
Department of Health,NHS Ealing CCG,31-Aug-20,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,DR R SIVANESAN,33486159,-582.05
Department of Health,NHS Ealing CCG,31-Aug-20,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR R SIVANESAN,33486159,"108,884.74"
Department of Health,NHS Ealing CCG,31-Aug-20,C&M-APMS OOH Opt Outs,PRC DELEGATED CO-COMMISSIONING,DR R SIVANESAN,33486160,"2,236.79"
Department of Health,NHS Ealing CCG,31-Aug-20,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR R SIVANESAN,33486160,853.64
Department of Health,NHS Ealing CCG,31-Aug-20,C&M-APMS Prem Clinical Waste,PRC DELEGATED CO-COMMISSIONING,DR R SIVANESAN,33486160,52
Department of Health,NHS Ealing CCG,31-Aug-20,C&M-APMS Prem Healthcentre Rates,PRC DELEGATED CO-COMMISSIONING,DR R SIVANESAN,33486160,795.71
Department of Health,NHS Ealing CCG,31-Aug-20,C&M-APMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,DR R SIVANESAN,33486160,"8,783.69"
Department of Health,NHS Ealing CCG,31-Aug-20,C&M-APMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,DR R SIVANESAN,33486160,32.86
Department of Health,NHS Ealing CCG,31-Aug-20,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR R SIVANESAN,33486160,"4,914.40"
Department of Health,NHS Ealing CCG,31-Aug-20,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NORTHOLT FAMILY PRACTICE,33486160,"32,179.86"
Department of Health,NHS Ealing CCG,31-Aug-20,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,NORTHOLT FAMILY PRACTICE,33487811,616.62
,,31-Aug-20,,,,33487811,
Department of Health,NHS Ealing CCG,,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NORTHOLT FAMILY PRACTICE,,"3,137.87"
Department of Health,NHS Ealing CCG,31-Aug-20,Hlthcre-Foundation Trsts,COMMISSIONING SCHEMES,HILLINGDON HOSPITALS NHS FOUNDATION TRUST,33487811,"-380,000.00"
Department of Health,NHS Ealing CCG,31-Aug-20,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,FEATHERSTONE ROAD HEALTH CENTRE,33498951,"140,315.00"
Department of Health,NHS Ealing CCG,31-Aug-20,C&M-APMS OOH Opt Outs,PRC DELEGATED CO-COMMISSIONING,FEATHERSTONE ROAD HEALTH CENTRE,33510263,"2,924.51"
Department of Health,NHS Ealing CCG,31-Aug-20,C&M-APMS Other Addtl Staff Paymts,PRC DELEGATED CO-COMMISSIONING,FEATHERSTONE ROAD HEALTH CENTRE,33510263,"4,492.01"
Department of Health,NHS Ealing CCG,31-Aug-20,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,FEATHERSTONE ROAD HEALTH CENTRE,33510263,"1,097.59"
Department of Health,NHS Ealing CCG,31-Aug-20,C&M-APMS PCO Locum Adop/Pat/Mat,PRC DELEGATED CO-COMMISSIONING,FEATHERSTONE ROAD HEALTH CENTRE,33510263,"8,286.12"
Department of Health,NHS Ealing CCG,31-Aug-20,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,FEATHERSTONE ROAD HEALTH CENTRE,33510263,"4,767.91"
Department of Health,NHS Ealing CCG,31-Aug-20,ME - PMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,FEATHERSTONE ROAD HEALTH CENTRE,33510263,"36,771.05"
Department of Health,NHS Ealing CCG,31-Aug-20,ME-PMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,FEATHERSTONE ROAD HEALTH CENTRE,33510263,"29,905.81"
Department of Health,NHS Ealing CCG,31-Aug-20,Clinical&Medical-Independent Sector,LEARNING DIFFICULTIES,DIMENSIONS (UK) LTD,33510263,"27,828.68"
Department of Health,NHS Ealing CCG,31-Aug-20,Cont Care-Funded Nursing Care Allow,FUNDED NURSING CARE,LONDON BOROUGH OF EALING,33518058,"48,134.48"
Department of Health,NHS Ealing CCG,31-Aug-20,Clinical&Medical-Independent Sector,LEARNING DIFFICULTIES,HAMPSHIRE AUTISTIC SOCIETY,33518141,"27,072.00"
Department of Health,NHS Ealing CCG,31-Aug-20,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,FRESENIUS KABI LTD,33520316,"28,785.22"
Department of Health,NHS Ealing CCG,31-Aug-20,Recharge : Received,COMMISSIONING - NON ACUTE,NHS BRENT CCG,33521147,"103,360.00"
Department of Health,NHS Ealing CCG,31-Aug-20,Recharge : Received,EDUCATION AND TRAINING,NHS BRENT CCG,33521188,"259,123.00"
Department of Health,NHS Ealing CCG,31-Aug-20,Recharge : Received,PRIMARY CARE IT,NHS BRENT CCG,33521188,"54,552.00"
Department of Health,NHS Ealing CCG,31-Aug-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ASHFORD & ST PETERS HOSPITALS NHSFT,33521188,"38,836.69"
Department of Health,NHS Ealing CCG,31-Aug-20,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,33530829,"87,268.32"
Department of Health,NHS Ealing CCG,31-Aug-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,COMMUNITY SERVICES,CENTRAL & NORTH WEST LONDON NHS FOUNDATION TRUST,33530918,"339,102.17"
Department of Health,NHS Ealing CCG,31-Aug-20,Hcare Srv Rec NHS Trust-Contract Baseline,COMMUNITY SERVICES,CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST,33530946,"80,985.92"
Department of Health,NHS Ealing CCG,31-Aug-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION,33530959,"2,516,046.31"
,,31-Aug-20,,,TRUST,33530970,
Department of Health,NHS Ealing CCG,,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,,"37,694.43"
Department of Health,NHS Ealing CCG,31-Aug-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,FRIMLEY HEALTH NHS FOUNDATION TRUST,33530977,"91,380.44"
Department of Health,NHS Ealing CCG,31-Aug-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS,33530986,"36,780.63"
,,31-Aug-20,,,FOUNDATION TRUST,33531002,
Department of Health,NHS Ealing CCG,,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST,,"187,901.04"
Department of Health,NHS Ealing CCG,31-Aug-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,HERTFORDSHIRE PARTNERSHIP NHS FOUNDATION TRUST,33531013,"28,899.07"
Department of Health,NHS Ealing CCG,31-Aug-20,Hcare Srv Rec NHS Trust-Contract Baseline,COMMUNITY SERVICES,HOUNSLOW AND RICHMOND COMMUNITY HEALTHCARE NHS,33531024,"77,444.93"
,,31-Aug-20,,,TRUST,33531038,
Department of Health,NHS Ealing CCG,,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,,"7,263,374.63"
Department of Health,NHS Ealing CCG,31-Aug-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,KING`S COLLEGE HOSPITAL NHS FOUNDATION TRUST,33531045,"35,295.70"
Department of Health,NHS Ealing CCG,31-Aug-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,KINGSTON HOSPITAL NHS FOUNDATION TRUST,33531055,"39,292.27"
Department of Health,NHS Ealing CCG,31-Aug-20,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,LONDON AMBULANCE SERVICE NHS TRUST,33531071,"1,260,593.23"
Department of Health,NHS Ealing CCG,31-Aug-20,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,LONDON NORTH WEST HEALTHCARE NHS TRUST,33531081,"10,031,955.08"
Department of Health,NHS Ealing CCG,31-Aug-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,33531091,"909,235.42"
Department of Health,NHS Ealing CCG,31-Aug-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST,33531099,"173,508.62"
Department of Health,NHS Ealing CCG,31-Aug-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ROYAL FREE LONDON NHS FOUNDATION TRUST,33531119,"172,137.91"
Department of Health,NHS Ealing CCG,31-Aug-20,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,33531129,"117,652.32"
Department of Health,NHS Ealing CCG,31-Aug-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ST GEORGES UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,33531138,"57,341.23"
Department of Health,NHS Ealing CCG,31-Aug-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,HILLINGDON HOSPITALS NHS FOUNDATION TRUST,33531146,"2,382,973.54"
Department of Health,NHS Ealing CCG,31-Aug-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ROYAL MARSDEN NHS FOUNDATION TRUST (THE),33531154,"50,373.47"
Department of Health,NHS Ealing CCG,31-Aug-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION,33531163,"322,441.72"
,,31-Aug-20,,,TRUST,33531169,
Department of Health,NHS Ealing CCG,,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,,"29,127.52"
Department of Health,NHS Ealing CCG,31-Aug-20,Hcare Srv Rec NHS Trust-Contract Baseline,COMMUNITY SERVICES,WEST LONDON NHS TRUST,33531170,"8,419,013.13"
Department of Health,NHS Ealing CCG,31-Aug-20,Hcare Srv Rec NHS Trust-CQUIN,GENERAL RESERVE - PROGRAMME,WEST LONDON NHS TRUST,33531177,"272,130.00"
Department of Health,NHS Ealing CCG,31-Aug-20,Clinical&Medical-Voluntary Sector,PLANNED CARE,MARIE STOPES INTERNATIONAL,33536400,"53,104.00"
Department of Health,NHS Ealing CCG,31-Aug-20,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,RUISLIP CARE HOME LTD,33553879,"39,261.43"
Department of Health,NHS Ealing CCG,31-Aug-20,Cont Care-Funded Nursing Care Allow,GENERAL RESERVE - PROGRAMME,GCH (ACTON) LTD,33553936,"26,617.34"
Department of Health,NHS Ealing CCG,31-Aug-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR H NAY LIN,33572948,26.8
Department of Health,NHS Ealing CCG,31-Aug-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR H NAY LIN,33583607,"23,248.50"
Department of Health,NHS Ealing CCG,31-Aug-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR H NAY LIN,33583607,429.32
Department of Health,NHS Ealing CCG,31-Aug-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR H NAY LIN,33583607,4.61
