Department,CCG,Date,Expense Type,Exepense Area,Supplier,Transaction Number,Amount
Department of Health,NHS Ealing CCG,30/11/2020,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,BROADMEAD SURGERY,34516346,"-2,091.68"
Department of Health,NHS Ealing CCG,30/11/2020,Statutory Mat Pay < 1 yr,BALANCE SHEET,HMRC,34591591,"-1,808.30"
Department of Health,NHS Ealing CCG,30/11/2020,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,DR S GUHA,34614602,-949.08
Department of Health,NHS Ealing CCG,30/11/2020,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,DR S GUHA,34614602,-613.8
Department of Health,NHS Ealing CCG,30/11/2020,ME - GMS TPS Added Years Adj EEs,PRC DELEGATED CO-COMMISSIONING,DR S GUHA,34614602,-594
Department of Health,NHS Ealing CCG,30/11/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,DR R SIVANESAN,34516364,-582.05
Department of Health,NHS Ealing CCG,30/11/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,FEATHERSTONE ROAD HEALTH CENTRE,34516352,-508.32
Department of Health,NHS Ealing CCG,30/11/2020,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,DR R SIVANESAN,34516364,-505.95
Department of Health,NHS Ealing CCG,30/11/2020,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,FEATHERSTONE ROAD HEALTH CENTRE,34516352,-470.64
Department of Health,NHS Ealing CCG,30/11/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,CUCKOO LANE HEALTH CARE LTD,34516362,-409.16
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,DR PERINPANAYAGAM & PARTNERS,34614610,-371.72
Department of Health,NHS Ealing CCG,30/11/2020,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,DR R SIVANESAN,34516364,-332.23
Department of Health,NHS Ealing CCG,30/11/2020,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,FEATHERSTONE ROAD HEALTH CENTRE,34516352,-328.75
Department of Health,NHS Ealing CCG,30/11/2020,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,CUCKOO LANE HEALTH CARE LTD,34516362,-326.45
Department of Health,NHS Ealing CCG,30/11/2020,ME - GMS TPS Added Years Adj EEs,PRC DELEGATED CO-COMMISSIONING,DR PERINPANAYAGAM & PARTNERS,34614610,-273.49
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,DR S GUHA,34614602,-268.81
Department of Health,NHS Ealing CCG,30/11/2020,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,CUCKOO LANE HEALTH CARE LTD,34516362,-264.62
Department of Health,NHS Ealing CCG,30/11/2020,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,WATERSIDE MEDICAL CENTRE SOUTHALL,34516360,-258.09
Department of Health,NHS Ealing CCG,30/11/2020,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,BROADMEAD SURGERY,34516346,-249.92
Department of Health,NHS Ealing CCG,30/11/2020,C&M-APMS Prem Clinical Waste,PRC DELEGATED CO-COMMISSIONING,BROADMEAD SURGERY,34516346,-62.47
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Clinical Waste,PRC DELEGATED CO-COMMISSIONING,JUBILEE GARDENS MEDICAL CENTRE,34614648,1
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR BP SINHA,34614556,11.52
Department of Health,NHS Ealing CCG,30/11/2020,C&M-APMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,DR R SIVANESAN,34516365,32.86
Department of Health,NHS Ealing CCG,30/11/2020,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,BROADMEAD SURGERY,34516347,33.64
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,DR G SIVARAJAH,34614578,34.23
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,DR SS GORAYA,34614619,44.7
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,JUBILEE GARDENS MEDICAL CENTRE,34614648,50.75
Department of Health,NHS Ealing CCG,30/11/2020,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,GURU NANAK MEDICAL CENTRE,34516355,51.47
Department of Health,NHS Ealing CCG,30/11/2020,C&M-APMS Prem Clinical Waste,PRC DELEGATED CO-COMMISSIONING,DR R SIVANESAN,34516365,52
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR BS & SK MANGAT,34614558,57.58
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR VB BHATT,34614629,57.58
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,DR E M ROBINSKA,34614569,77.11
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,EALING PARK HEALTH CENTRE,34614633,78.31
Department of Health,NHS Ealing CCG,30/11/2020,C&M-APMS Prem Clinical Waste,PRC DELEGATED CO-COMMISSIONING,BROADMEAD SURGERY,34516347,84.04
Department of Health,NHS Ealing CCG,30/11/2020,C&M-APMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,FEATHERSTONE ROAD HEALTH CENTRE,34516353,88.04
Department of Health,NHS Ealing CCG,30/11/2020,C&M-PMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,GREENFORD AVENUE FHP,34516357,88.04
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,DR SS SHERGILL,34614621,88.04
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Clinical Waste,PRC DELEGATED CO-COMMISSIONING,COMMUNITY HEALTH PARTNERSHIPS LTD,34722991,88.67
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,CROWN STREET SURGERY,34614552,89.81
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR RJ SALUJA,34614607,92.12
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,EALING PARK HEALTH CENTRE,34614633,93.99
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR SS SHERGILL,34614621,94.43
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,GOODCARE PRACTICE,34614636,99.03
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,WESTSEVEN GP,34614666,115.15
Department of Health,NHS Ealing CCG,30/11/2020,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,DR SS SHERGILL,34614621,118.29
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,DR E M ROBINSKA,34614569,132.06
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,COMMUNITY HEALTH PARTNERSHIPS LTD,34722991,138.31
Department of Health,NHS Ealing CCG,30/11/2020,ME-GMS GP Pension EEs Adjustments,PRC DELEGATED CO-COMMISSIONING,DR E M ROBINSKA,34614569,151.9
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR MA KHAN LONDON,34614591,163.51
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,DR RC MOORE,34614605,220.1
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,DR M ALZARRAD,34616749,220.1
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,CHISWICK FAMILY PRACTICE,34614662,228
Department of Health,NHS Ealing CCG,30/11/2020,Apprenticeship Levy Payable,BALANCE SHEET,HMRC,34591591,232
Department of Health,NHS Ealing CCG,30/11/2020,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,DR E M ROBINSKA,34614569,234.85
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR L DAS,34614593,241.82
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR MG MIKHAIL,34614588,251.03
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR S RADHAKRISHNAN,34614623,257.97
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,DR K CABOT,34614586,264.12
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,EALING PARK HEALTH CENTRE,34614633,264.12
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR M ALZARRAD,34616749,285.91
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR VB BHATT,34614629,286.71
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,DR BP SINHA,34614556,291.2
Department of Health,NHS Ealing CCG,30/11/2020,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,SOMERSET FAMILY HEALTH,34516359,315.94
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR BS & SK MANGAT,34614558,321.89
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,DR RK BHATT,34614609,352.16
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR DCM EVANS & PARTNERS,34614565,384.61
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,MANDEVILLE MEDICAL CENTRE,34614652,386.9
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR AM BOTROS,34628297,399
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR JM BAYER,34614580,400.72
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR MG MIKHAIL,34614588,401.5
Department of Health,NHS Ealing CCG,30/11/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,SOMERSET FAMILY HEALTH,34516359,407.69
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR L DAS,34614593,410.21
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR BP SINHA,34614556,411.41
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,GOODCARE PRACTICE,34614636,414.07
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR WM MOUSTAFA,34614625,418.33
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,CHURCHFIELD SURGERY DRS SN & SSJ DATTA,34614548,423.75
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR SHC VALENTINE,34614615,428.25
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR H NAY LIN,34616751,429.32
Department of Health,NHS Ealing CCG,30/11/2020,C&M-PMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,GURU NANAK MEDICAL CENTRE,34516355,440.2
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR JW KEEN,34614584,454.51
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,CHURCHFIELD SURGERY DRS SN & SSJ DATTA,34614548,467.27
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR N ISSAC,34614599,469.62
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,DR SHC VALENTINE,34614615,471.03
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR S GUHA,34614603,483.63
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,CROWN STREET SURGERY,34614552,494.04
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR H NAY LIN,34616751,502.05
Department of Health,NHS Ealing CCG,30/11/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR G BALACHANDRAN,34516349,510.27
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR JM BAYER,34614580,521.74
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,DR MG MIKHAIL,34614588,528.24
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,DR L DAS,34614593,540.99
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR S RADHAKRISHNAN,34614623,543.51
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR BP SINHA,34614556,561.28
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,CHISWICK FAMILY PRACTICE,34614662,569.22
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR SS GORAYA,34614619,583.76
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,ISLIP MANOR SURGERY,34614646,587.27
Department of Health,NHS Ealing CCG,30/11/2020,ME-GMS GP Pension EEs Adjustments,PRC DELEGATED CO-COMMISSIONING,DR SS SHERGILL,34614621,594
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,HEALTH PROMOTION CENTRE,34614644,594.1
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,WESTSEVEN GP,34614666,600.52
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,SUNRISE MEDICAL PRACTICE SOUTHALL,34614657,606.62
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR VB BHATT,34614629,607.71
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR N ASGHAR,34614595,614.47
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR S GUHA,34614603,615.3
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ISLIP MANOR SURGERY,34614646,615.56
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,OLDFIELD FAMILY PRACTICE,34614672,617.7
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR MA KHAN LONDON,34614591,623.75
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,HAMMOND ROAD PRACTICE,34614664,628.44
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ELMBANK SURGERY,34614631,642.37
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR MA KHAN LONDON,34614591,644.96
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,MANDEVILLE MEDICAL CENTRE,34614652,651.54
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR AD LEWIS,34614554,659.13
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Other Addtl Staff Paymts,PRC DELEGATED CO-COMMISSIONING,CROWN STREET SURGERY,34614552,666.12
Department of Health,NHS Ealing CCG,30/11/2020,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,WATERSIDE MEDICAL CENTRE SOUTHALL,34516361,674.68
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,EALING PARK HEALTH CENTRE,34614633,675.49
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,CROWN STREET SURGERY,34614552,676.5
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,CORFTON ROAD SURGERY,34614550,688.6
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR JW KEEN,34614584,693.2
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR IK SANDHU,34614573,701.7
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR G SIVARAJAH,34614578,707.97
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,WESTSEVEN GP,34614666,717.29
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,MWH PRACTICE,34614654,770.36
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR CSP REDDY,34614571,773.24
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DRS A LEES R NAISH & S BASSI,34614627,779.02
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR RJ SALUJA,34614607,780.84
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR RJ SALUJA,34614607,785.83
Department of Health,NHS Ealing CCG,30/11/2020,C&M-APMS Prem Healthcentre Rates,PRC DELEGATED CO-COMMISSIONING,DR R SIVANESAN,34516365,795.71
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR AM BOTROS,34628297,801.81
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR AD LEWIS,34614554,803.75
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,KS MEDICAL CENTRE,34614650,806.9
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR R SHAH,34614601,810.66
Department of Health,NHS Ealing CCG,30/11/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR MG PARMAR,34516351,817.53
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,HEALTH PROMOTION CENTRE,34614644,817.53
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR SK GILL,34614617,821.09
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,JUBILEE GARDENS MEDICAL CENTRE,34614648,822.18
Department of Health,NHS Ealing CCG,30/11/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,GREENFORD AVENUE FHP,34516357,823.95
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR SHC VALENTINE,34614615,829.09
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR DA JENKINS,34614563,838.3
Department of Health,NHS Ealing CCG,30/11/2020,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,CUCKOO LANE HEALTH CARE LTD,34516363,838.32
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR SK GILL,34614617,849.82
Department of Health,NHS Ealing CCG,30/11/2020,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR R SIVANESAN,34516365,853.64
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR SS SHERGILL,34614621,866.8
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR MA KHAN LONDON,34614591,867.47
