Department,,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-APMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,DR R SIVANESAN,33820948,"8,783.69"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-APMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,DR R SIVANESAN,33820948,32.86
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR R SIVANESAN,33820948,"4,914.40"
Department of Health,NHS Ealing CCG,30-Sep-20,Hlthcre-Foundation Trsts,GENERAL RESERVE - PROGRAMME,HILLINGDON HOSPITALS NHS FOUNDATION TRUST,33847980,"89,879.47"
Department of Health,NHS Ealing CCG,30-Sep-20,Clinical&Medical-Commercial Sector,PLANNED CARE,PRACTICE SERVICES LTD (THE),33848009,"56,856.25"
Department of Health,NHS Ealing CCG,30-Sep-20,Hcare Srv Rec Fdtn Trust-Over/ Under,GENERAL RESERVE - PROGRAMME,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,33859331,"-146,801.50"
Department of Health,NHS Ealing CCG,30-Sep-20,"Performance
Clinical&Medical-Voluntary Sector",PLANNED CARE,MARIE STOPES INTERNATIONAL,33859334,"57,025.00"
Department of Health,NHS Ealing CCG,30-Sep-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ASHFORD & ST PETERS HOSPITALS NHSFT,33865322,"38,836.69"
Department of Health,NHS Ealing CCG,30-Sep-20,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,33865323,"87,268.32"
Department of Health,NHS Ealing CCG,30-Sep-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,COMMUNITY SERVICES,CENTRAL & NORTH WEST LONDON NHS FOUNDATION TRUST,33865325,"339,102.17"
Department of Health,NHS Ealing CCG,30-Sep-20,Hcare Srv Rec NHS Trust-Contract Baseline,COMMUNITY SERVICES,CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST,33865326,"80,985.92"
Department of Health,NHS Ealing CCG,30-Sep-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION,33865327,"2,516,046.31"
Department of Health,NHS Ealing CCG,30-Sep-20,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,"TRUST
EAST AND NORTH HERTFORDSHIRE NHS TRUST",33865328,"37,694.43"
Department of Health,NHS Ealing CCG,30-Sep-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,FRIMLEY HEALTH NHS FOUNDATION TRUST,33865329,"91,380.44"
Department of Health,NHS Ealing CCG,30-Sep-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS,33865330,"36,780.63"
Department of Health,NHS Ealing CCG,30-Sep-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,"FOUNDATION TRUST
GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST",33865332,"187,901.04"
Department of Health,NHS Ealing CCG,30-Sep-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,HERTFORDSHIRE PARTNERSHIP NHS FOUNDATION TRUST,33865334,"28,899.07"
Department of Health,NHS Ealing CCG,30-Sep-20,Hcare Srv Rec NHS Trust-Contract Baseline,COMMUNITY SERVICES,HOUNSLOW AND RICHMOND COMMUNITY HEALTHCARE NHS,33865335,"77,444.93"
Department of Health,NHS Ealing CCG,30-Sep-20,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,"TRUST
IMPERIAL COLLEGE HEALTHCARE NHS TRUST",33865336,"7,263,374.63"
Department of Health,NHS Ealing CCG,30-Sep-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,KING`S COLLEGE HOSPITAL NHS FOUNDATION TRUST,33865337,"35,295.70"
Department of Health,NHS Ealing CCG,30-Sep-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,KINGSTON HOSPITAL NHS FOUNDATION TRUST,33865338,"39,292.27"
Department of Health,NHS Ealing CCG,30-Sep-20,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,LONDON AMBULANCE SERVICE NHS TRUST,33865339,"1,260,593.23"
Department of Health,NHS Ealing CCG,30-Sep-20,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,LONDON NORTH WEST HEALTHCARE NHS TRUST,33865340,"10,031,955.08"
Department of Health,NHS Ealing CCG,30-Sep-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,33865341,"909,235.42"
Department of Health,NHS Ealing CCG,30-Sep-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST,33865342,"173,508.62"
Department of Health,NHS Ealing CCG,30-Sep-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ROYAL FREE LONDON NHS FOUNDATION TRUST,33865343,"172,137.91"
Department of Health,NHS Ealing CCG,30-Sep-20,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,33865344,"117,652.32"
Department of Health,NHS Ealing CCG,30-Sep-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ST GEORGES UNIVERSITY HOSPITALS NHS FOUNDATION,33865345,"57,341.23"
Department of Health,NHS Ealing CCG,30-Sep-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,"TRUST
HILLINGDON HOSPITALS NHS FOUNDATION TRUST",33865347,"2,382,973.54"
Department of Health,NHS Ealing CCG,30-Sep-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ROYAL MARSDEN NHS FOUNDATION TRUST (THE),33865348,"50,373.47"
Department of Health,NHS Ealing CCG,30-Sep-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION,33865350,"322,441.72"
Department of Health,NHS Ealing CCG,30-Sep-20,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,"TRUST
WEST HERTFORDSHIRE HOSPITALS NHS TRUST",33865351,"29,127.52"
Department of Health,NHS Ealing CCG,30-Sep-20,Hcare Srv Rec NHS Trust-Contract Baseline,COMMUNITY SERVICES,WEST LONDON NHS TRUST,33865353,"8,419,013.13"
Department of Health,NHS Ealing CCG,30-Sep-20,Apprenticeship Levy Payable,BALANCE SHEET,HMRC,33876968,297
Department of Health,NHS Ealing CCG,30-Sep-20,Income tax <1Yr,BALANCE SHEET,HMRC,33876968,"50,341.40"
Department of Health,NHS Ealing CCG,30-Sep-20,Income tax <1Yr-Student Loans,BALANCE SHEET,HMRC,33876968,"2,100.00"
Department of Health,NHS Ealing CCG,30-Sep-20,National Insurance < 1 yr-NI- ERS,BALANCE SHEET,HMRC,33876968,"35,034.19"
Department of Health,NHS Ealing CCG,30-Sep-20,National Insurance < 1 yr-NI-EES,BALANCE SHEET,HMRC,33876968,"24,521.09"
Department of Health,NHS Ealing CCG,30-Sep-20,Statutory Mat Pay < 1 yr,BALANCE SHEET,HMRC,33876968,"-10,801.84"
Department of Health,NHS Ealing CCG,30-Sep-20,Clinical&Medical-Independent Sector,LEARNING DIFFICULTIES,HAMPSHIRE AUTISTIC SOCIETY,33895615,"27,974.40"
Department of Health,NHS Ealing CCG,30-Sep-20,Cont Care-Funded Nursing Care Allow,FUNDED NURSING CARE,BONDCARE,33896034,"27,246.34"
Department of Health,NHS Ealing CCG,30-Sep-20,Cont Care-Funded Nursing Care Allow,FUNDED NURSING CARE,BONDCARE,33896042,"26,353.02"
Department of Health,NHS Ealing CCG,30-Sep-20,Clinical&Medical-Independent Sector,LEARNING DIFFICULTIES,FOCUSED HEALTHCARE LTD,33896471,"68,126.69"
Department of Health,NHS Ealing CCG,30-Sep-20,Clinical&Medical-Independent Sector,LEARNING DIFFICULTIES,PRECIOUS HOMES LTD,33896608,"28,724.51"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR H NAY LIN,33908042,35.39
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,DR H NAY LIN,33908042,420
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,DR H NAY LIN,33908042,78.26
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR H NAY LIN,33908042,"23,248.50"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR H NAY LIN,33908042,429.32
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR H NAY LIN,33908042,4.61
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR H NAY LIN,33908042,"1,877.00"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,ARGYLE SURGERY,33908361,"2,223.00"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,ARGYLE SURGERY,33908361,"2,863.95"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,ARGYLE SURGERY,33908361,"54,816.73"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ARGYLE SURGERY,33908361,"1,060.33"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,ARGYLE SURGERY,33908361,"3,442.00"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,ARGYLE SURGERY,33908361,"8,919.65"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,ARGYLE SURGERY,33908361,224.86
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,ARGYLE SURGERY,33908361,239.52
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ARGYLE SURGERY,33908361,"4,839.09"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,CORFTON ROAD SURGERY,33908365,23.5
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,CORFTON ROAD SURGERY,33908365,140
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,CORFTON ROAD SURGERY,33908365,"48,360.90"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Other Addtl Staff Paymts,PRC DELEGATED CO-COMMISSIONING,CORFTON ROAD SURGERY,33908365,192.04
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,CORFTON ROAD SURGERY,33908365,923.98
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,CORFTON ROAD SURGERY,33908365,"3,020.83"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,CORFTON ROAD SURGERY,33908365,"2,640.54"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,CORFTON ROAD SURGERY,33908365,18.43
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CORFTON ROAD SURGERY,33908365,"3,580.17"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,CROWN STREET SURGERY,33908367,940.97
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,CROWN STREET SURGERY,33908367,"1,400.00"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,CROWN STREET SURGERY,33908367,"2,156.98"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,CROWN STREET SURGERY,33908367,"66,180.10"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Other Addtl Staff Paymts,PRC DELEGATED CO-COMMISSIONING,CROWN STREET SURGERY,33908367,"1,039.33"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,CROWN STREET SURGERY,33908367,"1,247.69"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,CROWN STREET SURGERY,33908367,"1,881.65"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,CROWN STREET SURGERY,33908367,62.19
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CROWN STREET SURGERY,33908367,"6,170.95"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR AD LEWIS,33908369,197.28
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,DR AD LEWIS,33908369,700
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR AD LEWIS,33908369,"33,612.71"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR AD LEWIS,33908369,659.13
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DR AD LEWIS,33908369,"6,325.00"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR AD LEWIS,33908369,43.76
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR AD LEWIS,33908369,"3,123.66"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,DR BP SINHA,33908370,280
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR BP SINHA,33908370,"22,801.72"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Other Addtl Staff Paymts,PRC DELEGATED CO-COMMISSIONING,DR BP SINHA,33908370,898.5
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR BP SINHA,33908370,411.41
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS PCO Other,PRC DELEGATED CO-COMMISSIONING,DR BP SINHA,33908370,"2,365.00"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR BP SINHA,33908370,"2,250.00"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR BP SINHA,33908370,"1,465.81"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR BP SINHA,33908370,"1,515.56"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR BS & SK MANGAT,33908372,330.89
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,DR BS & SK MANGAT,33908372,44.02
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR BS & SK MANGAT,33908372,"58,155.84"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR BS & SK MANGAT,33908372,"1,122.29"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS PCO Locum Sickness,PRC DELEGATED CO-COMMISSIONING,DR BS & SK MANGAT,33908372,"4,800.00"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR BS & SK MANGAT,33908372,"14,486.37"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR BS & SK MANGAT,33908372,"2,559.98"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR BS & SK MANGAT,33908372,66.79
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR BS & SK MANGAT,33908372,"5,131.39"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR AK SANDHU,33908374,127.3
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,DR AK SANDHU,33908374,"1,540.00"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR AK SANDHU,33908374,"56,953.22"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR AK SANDHU,33908374,"1,077.57"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR AK SANDHU,33908374,"9,750.83"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR AK SANDHU,33908374,"2,453.33"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR AK SANDHU,33908374,78.3
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR AK SANDHU,33908374,"5,354.82"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,DR AM BOTROS,33908375,"8,513.84"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR AM BOTROS,33908375,"20,835.53"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR AM BOTROS,33908375,399
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR AM BOTROS,33908375,"1,871.67"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR AM BOTROS,33908375,"1,974.33"
Department of Health,NHS Ealing CCG,30-Sep-20,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,DR AM BOTROS,33908375,"1,759.18"
Department of Health,NHS Ealing CCG,30-Sep-20,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,DR AM BOTROS,33908375,"4,171.05"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR DA JENKINS,33908377,"1,856.44"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,DR DA JENKINS,33908377,140
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,DR DA JENKINS,33908377,693.64
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR DA JENKINS,33908377,"45,181.61"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR DA JENKINS,33908377,873.89
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR DA JENKINS,33908377,"4,833.33"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR DA JENKINS,33908377,"2,709.33"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR DA JENKINS,33908377,108.24
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR DA JENKINS,33908377,"4,431.01"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR DCM EVANS & PARTNERS,33908379,"1,006.91"
