Date,Expense Type,Expense Area,Supplier,Transaction Date, Amount 
25/06/2020,Sla-Liaison Psychiatry M05 19/20,Accident & Emergency,Camden & Islington Nhs Foundation Trust,1102611,"94,924.75"
25/06/2020,Sla-Liaison Psychiatry M06 19/20,Accident & Emergency,Camden & Islington Nhs Foundation Trust,1110377,"94,924.75"
25/06/2020,Sla-Liaison Psychiatry M04 19/20,Accident & Emergency,Camden & Islington Nhs Foundation Trust,1119948,"94,924.75"
25/06/2020,Sla-Liaison Psychiatry M07 19/20,Accident & Emergency,Camden & Islington Nhs Foundation Trust,1119950,"94,924.75"
25/06/2020,Sla-Liaison Psychiatry M08 19/20,Accident & Emergency,Camden & Islington Nhs Foundation Trust,1119953,"94,924.75"
25/06/2020,Sla-Liaison Psychiatry M09 19/20,Accident & Emergency,Camden & Islington Nhs Foundation Trust,1128940,"94,924.75"
25/06/2020,Sla-Liaison Psychiatry M010 19/20,Accident & Emergency,Camden & Islington Nhs Foundation Trust,1131681,"94,924.75"
25/06/2020,Legal Fees,Director Facilities,Capsticks Solicitors,1164576,"79,639.20"
25/06/2020,Building Lease,Other Properties,Community Health Partnerships Ltd,1163692,"79,603.61"
18/06/2020,Internal Audit,Finance Director,Grant Thornton Uk Llp,1167020,"75,429.37"
25/06/2020,Estate & Facility,Estates-Holloway Hc Hornsey St,Community Health Partnerships Ltd,1140745,"74,721.86"
04/06/2020,Rents,Estates Management,Metrus Property Advisors Ltd,1167712,"72,856.38"
25/06/2020,Other Ext General Services,Integrated Comm Equip Services,Islington Council,1155485,"70,212.38"
25/06/2020,Building Lease,Estates-Hornsey Rise Hc,Community Health Partnerships Ltd,1163688,"65,782.33"
18/06/2020,Estate & Facility,Other Properties,Community Health Partnerships Ltd,1136975,"64,395.46"
25/06/2020,Sho (Mar 2020),Acute Paediatrics,Royal Free London Nhs Foundation Trust,1152426,"63,600.61"
25/06/2020,Consultant Fees 23/06/2020,Capital,Forest Gate Construction Co Ltd,1171586,"63,307.20"
25/06/2020,Nhs Logistics Stock Issues,Control,Supply Chain Coordination Ltd,1171039,"63,256.51"
04/06/2020,Ihss Base Service Payment (IHSN011439) Oct 19,Sterile Services (Cont Out),Ihss Ltd,1117014,"61,535.70"
04/06/2020,Ihss Base Service Payment (IHSN011499) Nov 19,Sterile Services (Cont Out),Ihss Ltd,1118133,"61,535.70"
04/06/2020,Ihss Base Service Payment (IHSN011639) Jan 20,Sterile Services (Cont Out),Ihss Ltd,1133078,"61,535.70"
18/06/2020,Cleaning Contracts (IHSN011768 ) Mar 20,Sterile Services (Cont Out),Ihss Ltd,1160958,"61,535.70"
18/06/2020,Cleaning Contracts Feb 20,Sterile Services (Cont Out),Ihss Ltd,1160960,"61,535.70"
18/06/2020,Main Works Contract,Capital,Hanevo Ltd,1168532,"59,988.00"
11/06/2020,Main Works Contract,Capital,Erith Contractors Ltd,1156763,"56,175.91"
18/06/2020,Estate & Facility (Oct 2019/20),Other Properties,Community Health Partnerships Ltd,1116794,"54,828.78"
18/06/2020,Estate & Facility (Nov 2019/20),Other Properties,Community Health Partnerships Ltd,1118699,"54,828.78"
18/06/2020,Estate & Facility (Dec 2019/20),Other Properties,Community Health Partnerships Ltd,1128695,"54,828.78"
18/06/2020,Estate & Facility (Jan 2019/20),Other Properties,Community Health Partnerships Ltd,1132783,"54,828.78"
25/06/2020,Main Works Contract,Capital,Whittington Facilities Ltd,1171418,"48,458.46"
25/06/2020,Nhs Logistics Stock Issues,Control,Supply Chain Coordination Ltd,1167097,"47,912.47"
04/06/2020,Cleaning Contracts ( Weekending 31/05/2020),Generic Workers,Buzz Housekeeping Services,1167686,"47,656.30"
25/06/2020,Main Works Contract,Capital,Whittington Facilities Ltd,1171417,"46,569.60"
18/06/2020,Laundry Service,Laundry,Berendsen Uk Ltd,1167654,"45,952.99"
18/06/2020,Clinical Waste Disposal,Environmental Mang'T,Mitie Waste & Environmental Services Ltd,1170486,"45,351.32"
18/06/2020,Nhs Logistics Stock Issues,Control,Supply Chain Coordination Ltd,1170049,"45,299.80"
04/06/2020,Uniforms,Covid 19,Bates Office Services Ltd,1167949,"45,250.50"
11/06/2020,Nhs Logistics Stock Issues,Control,Supply Chain Coordination Ltd,1168993,"44,226.16"
25/06/2020,Cleaning Contracts (Weekending 20/06/2020 ),Generic Workers,Buzz Housekeeping Services,1171393,"43,523.84"
11/06/2020,Cleaning Contracts (Weekending 06/06/2020 ),Generic Workers,Buzz Housekeeping Services,1169064,"43,214.89"
11/06/2020,Internal Audit,Finance Director,Grant Thornton Uk Llp,1161958,"43,128.76"
25/06/2020,Main Works Contract,Capital,Whittington Facilities Ltd,1171620,"39,514.93"
25/06/2020,Building Lease,Estates-Bingfield Hc,Community Health Partnerships Ltd,1163678,"36,508.72"
04/06/2020,Pfi Service Charge,Trust Finance,Whittington Facilities Ltd,1164526,"35,113.20"
18/06/2020,Consultants,Neurology,The Ucl Hospitals Nhs Foundation Trust,1070923,"33,878.72"
04/06/2020,Nhs Logistics Stock Issues,Control,Supply Chain Coordination Ltd,1167595,"32,799.33"
04/06/2020,Membership Subscriptions,Simmons House,East London Nhs Foundation Trust,1137201,"32,500.00"
04/06/2020,Consultants,General Surgery,The Ucl Hospitals Nhs Foundation Trust,1128727,"31,424.00"
25/06/2020,Building Lease,Other Properties,Community Health Partnerships Ltd,1163694,"30,099.17"
25/06/2020,Building Lease,Estates-Simmons House,Camden & Islington Nhs Foundation Trust,1136996,"30,000.00"
18/06/2020,Software Purchase,Neo-Natal Icu,Clevermed Ltd,1169165,"29,681.86"
25/06/2020,Gas,Environment,Corona Energy Retail Ltd,1171400,"27,945.14"
25/06/2020,Gas,Environment,Corona Energy Retail Ltd,1171394,"26,389.55"
25/06/2020,Nhs Logistics Stock Issues,Control,Supply Chain Coordination Ltd,1167096,"26,362.69"
11/06/2020,Photcopying & Printing,Portering,Xerox Uk Ltd,1169066,"25,394.69"
