trustname,plan,actual
Cambridgeshire and Peterborough NHS Foundation Trust ,3176,4100
Cambridgeshire Community Services NHS Trust,2117,3855
Chesterfield Royal Hospital NHS Foundation Trust ,5296,2115
Coventry and Warwickshire Partnership NHS Trust,2154,4495
Derbyshire Community Health Services NHS Foundation Trust ,4075,6175
Derbyshire Healthcare NHS Foundation Trust,2331,3765
Dudley And Walsall Mental Health Partnership NHS Trust,1391,3050
East And North Hertfordshire NHS Trust,-281,-13543
East Midlands Ambulance Service NHS Trust,-4649,-3111
East of England Ambulance Service NHS Trust,3105,-2071
East Suffolk and North Essex NHS Foundation Trust,-21642,-8784
Essex Partnership University NHS Foundation Trust,-2720,5812
George Eliot Hospital NHS Trust,-14276,-12790
Hertfordshire Partnership University NHS Foundation Trust,2135,3927
James Paget University Hospitals NHS Foundation Trust ,-7271,-5522
Kettering General Hospital NHS Foundation Trust ,-7802,-26879
Leicestershire Partnership NHS Trust ,3273,5525
Lincolnshire Community Health Services NHS Trust ,2874,4607
Lincolnshire Partnership NHS Foundation Trust ,2096,6409
Luton and Dunstable University Hospital NHS Foundation Trust ,15758,22521
Mid Essex Hospital Services NHS Trust,-47257,-61329
Midlands Partnership NHS Foundation Trust ,4192,-1497
Milton Keynes University Hospital NHS Foundation Trust,-13125,-7118
Norfolk and Norwich University Hospitals NHS Foundation Trust ,-54193,-60945
Norfolk and Suffolk NHS Foundation Trust ,422,2235
Norfolk Community Health and Care NHS Trust,-1867,-7400
North Staffordshire Combined Healthcare NHS Trust ,2023,3576
North West Anglia NHS Foundation Trust ,-28767,-49470
Northampton General Hospital NHS Trust,-18514,-14432
Northamptonshire Healthcare NHS Foundation Trust ,1588,3665
Nottingham University Hospitals NHS Trust ,7884,-31771
Nottinghamshire Healthcare NHS Foundation Trust,7422,10281
Queen Elizabeth Hospital King's Lynn NHS Foundation Trust,-9694,-35696
Royal Papworth Hospital NHS Foundation Trust ,-15800,-10319
Sandwell And West Birmingham Hospitals NHS Trust,3489,17835
Sherwood Forest Hospitals NHS Foundation Trust ,-33972,-27345
Shropshire Community Health NHS Trust ,966,2492
South Warwickshire NHS Foundation Trust,9227,18913
Southend University Hospital NHS Foundation Trust,-10540,-4977
Staffordshire and Stoke on Trent Partnership NHS Trust ,-1861,-1861
The Dudley Group NHS Foundation Trust,8239,-989
The Ipswich Hospital NHS Trust ,-6223,-6562
The Princess Alexandra Hospital NHS Trust ,-20436,-16542
The Robert Jones and Agnes Hunt Orthopaedic Hospital NHS Foundation Trust,1937,3482
The Royal Orthopaedic Hospital NHS Foundation Trust ,-6002,-3652
The Royal Wolverhampton NHS Trust,11210,3021
The Shrewsbury And Telford Hospital NHS Trust,-8615,-18743
University Hospitals Birmingham NHS Foundation Trust ,-38045,-31516
University Hospitals Coventry And Warwickshire NHS Trust,-9693,-28330
** University Hospitals of Derby and Burton NHS Foundation Trust,-22043,-63809
University Hospitals of Leicester NHS Trust,754,-44879
University Hospitals of North Midlands NHS Trust,-44802,-63607
West Hertfordshire Hospitals NHS Trust ,-52900,-49641
West Midlands Ambulance Service University NHS Foundation Trust,2035,5392
West Suffolk NHS Foundation Trust,-10006,-6425
Worcestershire Acute Hospitals NHS Trust,-23704,-68790
Worcestershire Health and Care NHS Trust ,3370,4987
Wye Valley NHS Trust,-22801,-42219
Aintree University Hospital NHS Foundation Trust ,-29050,-29027
Airedale NHS Foundation Trust,5206,7227
Alder Hey Children's NHS Foundation Trust ,32192,49890
Barnsley Hospital NHS Foundation Trust ,-7833,-1892
Blackpool Teaching Hospitals NHS Foundation Trust,-3966,-9748
Bolton NHS Foundation Trust ,12717,17801
Bradford District Care NHS Foundation Trust,1381,2831
Bradford Teaching Hospitals NHS Foundation Trust,2807,6397
Bridgewater Community Healthcare NHS Foundation Trust,-7594,-7964
Calderdale and Huddersfield NHS Foundation Trust,-43048,-43039
Cheshire and Wirral Partnership NHS Foundation Trust ,1119,3374
City Hospitals Sunderland NHS Foundation Trust,-11909,-3140
Countess of Chester Hospital NHS Foundation Trust,2963,-8187
County Durham and Darlington NHS Foundation Trust ,8081,51
Cumbria Partnership NHS Foundation Trust ,-2078,-4979
Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust,-6615,4127
East Cheshire NHS Trust,-16233,-14472
East Lancashire Hospitals NHS Trust ,-7748,-3887
Gateshead Health NHS Foundation Trust ,742,-14232
Greater Manchester Mental Health NHS Foundation Trust,2292,7428
** Harrogate and District NHS Foundation Trust,3983,8238
Hull University Teaching Hospitals NHS Trust,2364,25220
Humber Teaching NHS Foundation Trust,1151,2679
Lancashire Care NHS Foundation Trust,-1679,874
Lancashire Teaching Hospitals NHS Foundation Trust ,-46441,-50444
Leeds and York Partnership NHS Foundation Trust,28043,34313
Leeds Community Healthcare NHS Trust,4041,5661
Liverpool Heart and Chest Hospital NHS Foundation Trust ,9654,17178
Liverpool Women's NHS Foundation Trust,-1601,2149
Manchester University NHS Foundation Trust,32847,74441
Mersey Care NHS Foundation Trust ,5485,16088
Mid Cheshire Hospitals NHS Foundation Trust ,5243,1083
North East Ambulance Service NHS Foundation Trust ,-712,1950
North West Ambulance Service NHS Trust,1839,5319
North West Boroughs Healthcare NHS Foundation Trust,995,-2
Northern Lincolnshire and Goole NHS Foundation Trust,-32385,-57735
Northumberland Tyne and Wear NHS Foundation Trust,3524,7766
Northumbria Healthcare NHS Foundation Trust,25143,33700
Pennine Care NHS Foundation Trust,-6369,1472
Rotherham Doncaster and South Humber NHS Foundation Trust ,8358,10440
Salford Royal NHS Foundation Trust,5374,15957
Sheffield Children's NHS Foundation Trust,1882,2721
Sheffield Health and Social Care NHS Foundation Trust ,5408,11869
Sheffield Teaching Hospitals NHS Foundation Trust ,5104,27469
South Tees Hospitals NHS Foundation Trust,3804,15512
South Tyneside NHS Foundation Trust ,-12065,-1916
South West Yorkshire Partnership NHS Foundation Trust ,644,3177
Southport And Ormskirk Hospital NHS Trust,-28818,-28961
St Helens And Knowsley Teaching Hospitals NHS Trust,10993,-597
Stockport NHS Foundation Trust,-33820,-30798
Tameside and Glossop Integrated Care NHS Foundation Trust ,-19149,-15840
Tees Esk and Wear Valleys NHS Foundation Trust ,9864,101963
The Christie NHS Foundation Trust,25319,46501
The Clatterbridge Cancer Centre NHS Foundation Trust,2203,7288
The Leeds Teaching Hospitals NHS Trust,45074,52925
 The Mid Yorkshire Hospitals NHS Trust ,-5410,-18359
The Newcastle Upon Tyne Hospitals NHS Foundation Trust,12947,24334
The Pennine Acute Hospitals NHS Trust,-68858,-65355
The Rotherham NHS Foundation Trust,-20283,-19936
The Walton Centre NHS Foundation Trust,3254,5939
University Hospitals of Morecambe Bay NHS Foundation Trust,-69449,-69322
Warrington and Halton Hospitals NHS Foundation Trust,-16881,-15038
Wirral Community NHS Foundation Trust,2193,3723
Wirral University Teaching Hospital NHS Foundation Trust,-25042,-33006
Wrightington Wigan and Leigh NHS Foundation Trust ,1682,27808
York Teaching Hospital NHS Foundation Trust ,-1835,3959
Yorkshire Ambulance Service NHS Trust,4188,9250
2gether NHS Foundation Trust,864,2510
Ashford and St Peter's Hospitals NHS Foundation Trust ,37215,45351
Avon and Wiltshire Mental Health Partnership NHS Trust ,-2635,-1000
Berkshire Healthcare NHS Foundation Trust ,2397,5970
Brighton and Sussex University Hospitals NHS Trust,-55106,-50804
Buckinghamshire Healthcare NHS Trust,9893,-31647
Cornwall Partnership NHS Foundation Trust ,2695,6083
Dartford and Gravesham NHS Trust ,-5135,-17222
Devon Partnership NHS Trust ,3928,7405
Dorset County Hospital NHS Foundation Trust,-1325,-5976
Dorset Healthcare University NHS Foundation Trust ,7852,9643
East Kent Hospitals University NHS Foundation Trust ,-29830,-42071
East Sussex Healthcare NHS Trust,-45000,-44781
Frimley Health NHS Foundation Trust,32837,44660
Gloucestershire Care Services NHS Trust,3102,5069
Gloucestershire Hospitals NHS Foundation Trust ,-18821,-29557
Great Western Hospitals NHS Foundation Trust ,-5300,-29557
Great Western Hospitals NHS Foundation Trust,4767,9415
Hampshire Hospitals NHS Foundation Trust ,4767,9415
Isle of Wight NHS Trust,-17149,-30102
Kent and Medway NHS and Social Care Partnership Trust,-1829,2026
Kent Community Health NHS Foundation Trust ,3128,8902
Maidstone And Tunbridge Wells NHS Trust,11741,20324
Medway NHS Foundation Trust,-34169,-29720
North Bristol NHS Trust ,-18383,-11224
Northern Devon Healthcare NHS Trust,-11877,-16633
Oxford Health NHS Foundation Trust,1939,-6655
Oxford University Hospitals NHS Foundation Trust,25726,37324
Poole Hospital NHS Foundation Trust,-3713,-10867
Royal Berkshire NHS Foundation Trust ,8989,15724
Royal Cornwall Hospitals NHS Trust,-11889,-4136
Royal Surrey County Hospital NHS Foundation Trust,4350,38225
Royal United Hospitals Bath NHS Foundation Trust,12762,16695
Salisbury NHS Foundation Trust,-5165,-3589
Solent NHS Trust ,-371,1370
Somerset Partnership NHS Foundation Trust,4111,5966
South Central Ambulance Service NHS Foundation Trust,-764,922
South East Coast Ambulance Service NHS Foundation Trust,731,2456
South Western Ambulance Service NHS Foundation Trust ,0,-5967
Southern Health NHS Foundation Trust,3384,-7170
Surrey and Borders Partnership NHS Foundation Trust,24205,26119
Surrey And Sussex Healthcare NHS Trust,16149,11203
Sussex Community NHS Foundation Trust ,3894,5895
Sussex Partnership NHS Foundation Trust ,3206,5767
Taunton and Somerset NHS Foundation Trust ,-4464,-10808
The Queen Victoria Hospital NHS Foundation Trust ,13951,-5153
The Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust,24619,28318
Torbay and South Devon NHS Foundation Trust ,1725,-2681
University Hospital Southampton NHS Foundation Trust ,29445,40470
University Hospitals Bristol NHS Foundation Trust ,18480,29855
University Hospitals Plymouth NHS Trust ,-3823,-27166
Western Sussex Hospitals NHS Foundation Trust,17437,28458
Weston Area Health NHS Trust ,-10269,-16727
Yeovil District Hospital NHS Foundation Trust,-16744,-18697
