CCG,Opening DfT,Minimum allocation,Minimum growth,Final allocation,Final growth,Per capita allocation,Per capita growth,Final per capita growth,Final closing DfT
NHS Trafford CCG,0.39%,311684,2.08%,311684,2.08%,1268,1.37%,-0.43%,245716
NHS Wigan Borough CCG,0.29%,470940,2.08%,470940,2.08%,1424,1.51%,-0.38%,330793
NHS Blackburn with Darwen CCG,-0.99%,231343,2.08%,231343,2.08%,1341,1.90%,-1.28%,172531
NHS Blackpool CCG,-2.64%,266291,2.08%,266291,2.08%,1549,2.06%,-2.77%,171875
NHS Chorley and South Ribble CCG,3.67%,246811,2.08%,246811,2.08%,1344,1.44%,2.90%,183683
NHS East Lancashire CCG,5.32%,559635,2.04%,559635,2.04%,1482,1.82%,4.92%,377513
NHS Greater Preston CCG,0.67%,280669,2.08%,280669,2.08%,1319,1.87%,0.34%,212711
NHS Lancashire North CCG,4.72%,222438,2.08%,222438,2.08%,1396,1.89%,4.40%,159332
NHS West Lancashire CCG,3.31%,155669,2.08%,155669,2.08%,1388,2.03%,3.13%,112187
NHS Fylde and Wyre CCG,2.65%,227163,2.08%,227163,2.08%,1484,1.69%,2.13%,153100
"NHS Airedale, Wharfedale and Craven CCG",-0.60%,214082,2.08%,214082,2.08%,1324,1.50%,-1.29%,161754
NHS Barnsley CCG,6.04%,386525,1.92%,386525,1.92%,1475,1.29%,5.09%,262069
NHS Bassetlaw CCG,2.84%,162590,2.08%,162590,2.08%,1401,1.66%,2.29%,116077
NHS Bradford Districts CCG,-0.95%,458931,2.08%,458931,2.08%,1318,1.46%,-1.67%,348107
NHS Calderdale CCG,6.62%,290057,1.69%,290057,1.69%,1297,1.05%,5.42%,223615
NHS Leeds North CCG,2.51%,266519,2.12%,266519,2.12%,1221,1.36%,1.67%,218278
NHS Bradford City CCG,-2.85%,140482,2.08%,141223,2.62%,1126,2.18%,-2.87%,125391
NHS Doncaster CCG,6.26%,459636,1.67%,459636,1.67%,1450,1.42%,5.45%,316925
NHS East Riding of Yorkshire CCG,1.14%,399813,2.08%,399813,2.08%,1302,1.60%,0.54%,307147
NHS Greater Huddersfield CCG,4.47%,308231,2.08%,308231,2.08%,1228,1.45%,3.70%,251054
NHS Leeds West CCG,1.70%,434599,2.08%,434599,2.08%,1159,1.62%,1.12%,375022
"NHS Hambleton, Richmondshire and Whitby CCG",6.25%,193187,1.64%,193187,1.64%,1337,1.46%,5.48%,144501
NHS Harrogate and Rural District CCG,3.61%,201609,2.08%,201609,2.08%,1230,1.76%,3.16%,163865
NHS Hull CCG,3.33%,405613,2.08%,405613,2.08%,1378,1.84%,2.96%,294366
NHS Leeds South and East CCG,-0.93%,387146,2.08%,387146,2.08%,1380,1.42%,-1.69%,280505
NHS North East Lincolnshire CCG,3.48%,234914,2.08%,234914,2.08%,1383,1.94%,3.21%,169832
NHS North Kirklees CCG,5.74%,251207,2.06%,251207,2.06%,1287,1.40%,4.90%,195175
NHS North Lincolnshire CCG,1.83%,230512,2.08%,230512,2.08%,1317,1.60%,1.23%,174993
NHS Rotherham CCG,6.24%,370593,1.73%,370593,1.73%,1409,1.36%,5.36%,263046
NHS Scarborough and Ryedale CCG,2.94%,167901,2.08%,167901,2.08%,1405,1.97%,2.70%,119471
NHS Sheffield CCG,6.04%,776048,1.86%,776048,1.86%,1298,1.37%,5.17%,597823
NHS Vale of York CCG,2.75%,418426,2.08%,418426,2.08%,1159,1.48%,2.03%,361022
NHS Wakefield CCG,3.36%,519079,2.08%,519079,2.08%,1400,1.55%,2.71%,370900
NHS Erewash CCG,2.15%,133484,2.08%,133484,2.08%,1341,1.51%,1.45%,99536
NHS Hardwick CCG,3.04%,152293,2.08%,152293,2.08%,1461,1.65%,2.49%,104217
NHS Mansfield and Ashfield CCG,-0.52%,268179,2.08%,268179,2.08%,1389,1.59%,-1.11%,193049
NHS Newark and Sherwood CCG,-0.35%,174823,2.08%,175070,2.22%,1304,1.63%,-0.91%,134231
NHS North Derbyshire CCG,6.53%,407331,1.62%,407331,1.62%,1378,1.23%,5.51%,295498
NHS Nottingham City CCG,0.87%,446243,2.08%,446243,2.08%,1231,1.67%,0.35%,362385
NHS Nottingham North and East CCG,-1.10%,194470,2.08%,194906,2.31%,1267,1.69%,-1.59%,153775
NHS Nottingham West CCG,1.47%,124443,2.08%,124443,2.08%,1280,1.41%,0.69%,97231
NHS Rushcliffe CCG,-1.28%,145932,2.08%,146158,2.24%,1146,1.55%,-1.91%,127588
NHS Southern Derbyshire CCG,0.22%,705701,2.08%,705701,2.08%,1262,1.39%,-0.57%,559134
NHS Cannock Chase CCG,-0.20%,174401,2.08%,174401,2.08%,1307,1.77%,-0.62%,133429
NHS East Staffordshire CCG,-1.92%,166726,2.08%,167313,2.44%,1179,1.77%,-2.34%,141880
NHS North Staffordshire CCG,2.29%,292441,2.08%,292441,2.08%,1341,1.88%,1.96%,218105
NHS Shropshire CCG,-1.26%,400186,2.08%,400186,2.08%,1295,1.63%,-1.81%,309051
NHS South East Staffs and Seisdon Peninsular CCG,-2.24%,263562,2.08%,264141,2.30%,1199,1.87%,-2.56%,220267
NHS Stafford and Surrounds CCG,-1.86%,178694,2.08%,178694,2.08%,1201,1.71%,-2.34%,148754
NHS Stoke on Trent CCG,0.65%,402605,2.08%,402605,2.08%,1395,1.78%,0.23%,288547
NHS Telford and Wrekin CCG,-2.32%,218257,2.08%,218257,2.08%,1201,1.70%,-2.80%,181724
NHS Birmingham South and Central CCG,-2.96%,363011,2.08%,363070,2.09%,1205,1.45%,-3.67%,301403
NHS Coventry and Rugby CCG,-1.83%,620687,2.44%,620687,2.44%,1218,1.36%,-2.64%,509568
NHS Dudley CCG,-1.93%,430035,2.08%,430035,2.08%,1347,1.77%,-2.35%,319179
NHS Herefordshire CCG,0.93%,239149,2.08%,239149,2.08%,1269,1.53%,0.26%,188438
NHS Warwickshire North CCG,-1.47%,243335,2.08%,243435,2.12%,1281,1.60%,-2.05%,190106
NHS Redditch and Bromsgrove CCG,-0.61%,209755,2.08%,209755,2.08%,1183,1.64%,-1.16%,177270
NHS Sandwell and West Birmingham CCG,-2.75%,711411,2.16%,712258,2.28%,1225,1.48%,-3.44%,581641
NHS Solihull CCG,-2.61%,309871,2.08%,310322,2.23%,1249,1.65%,-3.14%,248483
NHS South Warwickshire CCG,-1.97%,339821,2.08%,339821,2.08%,1198,1.51%,-2.63%,283569
NHS South Worcestershire CCG,-2.30%,357844,2.08%,358257,2.20%,1170,1.75%,-2.73%,306266
NHS Walsall CCG,6.24%,390877,1.79%,390877,1.79%,1377,1.27%,5.28%,283941
NHS Wolverhampton CCG,-1.14%,358352,2.08%,358352,2.08%,1318,1.71%,-1.61%,271799
NHS Wyre Forest CCG,-1.09%,144610,2.08%,144610,2.08%,1257,1.87%,-1.41%,115040
NHS Birmingham CrossCity CCG,-0.43%,951849,2.08%,951849,2.08%,1289,1.38%,-1.23%,738498
NHS Lincolnshire East CCG,0.36%,356617,2.08%,357510,2.33%,1416,1.65%,-0.18%,252468
NHS Corby CCG,-2.41%,102438,2.77%,103394,3.73%,1307,2.30%,-2.31%,79109
NHS East Leicestershire and Rutland CCG,-1.16%,379783,2.08%,379783,2.08%,1147,1.51%,-1.83%,331241
NHS Leicester City CCG,-1.16%,379783,2.08%,379783,2.08%,1147,1.51%,-1.83%,331241
NHS Leicester City CCG,-0.47%,454473,2.08%,454473,2.08%,1151,1.55%,-1.11%,394957
NHS Lincolnshire West CCG,1.81%,296364,2.08%,296364,2.08%,1238,1.55%,1.16%,239353
NHS Milton Keynes CCG,-3.46%,319642,2.64%,320769,3.00%,1076,1.71%,-3.92%,297976
NHS Nene CCG,-1.74%,813473,2.14%,816491,2.52%,1198,1.73%,-2.19%,681409
NHS South West Lincolnshire CCG,1.98%,167148,2.14%,167148,2.14%,1227,1.36%,1.14%,136275
NHS West Leicestershire CCG,-0.52%,439337,2.08%,439353,2.08%,1130,1.43%,-1.27%,388868
NHS Bedfordshire CCG,-1.00%,581504,2.50%,587176,3.50%,1211,2.35%,-0.86%,484883
NHS East and North Hertfordshire CCG,-0.53%,751411,2.31%,755801,2.91%,1241,1.95%,-0.78%,608847
NHS Herts Valleys CCG,-1.34%,794398,2.45%,798738,3.01%,1212,1.91%,-1.62%,659144
NHS Luton CCG,-2.63%,284655,2.46%,286434,3.10%,1205,1.99%,-2.83%,237791
NHS South Lincolnshire CCG,1.31%,214044,2.22%,214894,2.62%,1272,1.76%,0.87%,168939
NHS Cambridgeshire and Peterborough CCG,-0.37%,1062836,2.25%,1066520,2.60%,1114,1.71%,-0.85%,957279
NHS Ipswich and East Suffolk CCG,-1.59%,491123,2.08%,493311,2.53%,1208,1.97%,-1.82%,408251
NHS Great Yarmouth and Waveney CCG,1.88%,339269,2.08%,339269,2.08%,1413,1.67%,1.35%,240154
NHS Mid Essex CCG,-0.23%,472502,2.09%,474447,2.51%,1204,1.77%,-0.65%,394057
NHS North East Essex CCG,-0.63%,478064,2.22%,479869,2.61%,1369,1.74%,-1.08%,350594
NHS North Norfolk CCG,3.31%,240843,2.08%,240843,2.08%,1379,1.54%,2.64%,174705
NHS Norwich CCG,0.27%,254052,2.08%,254600,2.30%,1148,1.66%,-0.26%,221839
NHS South Norfolk CCG,0.40%,285599,2.30%,286798,2.73%,1182,1.78%,-0.02%,242587
NHS Thurrock CCG,0.52%,216081,2.41%,216534,2.62%,1218,1.57%,-0.10%,177761
NHS West Essex CCG,0.58%,403474,2.43%,405830,3.03%,1284,1.95%,0.33%,316022
NHS West Norfolk CCG,0.82%,251298,2.08%,252504,2.57%,1433,1.91%,0.53%,176253
NHS West Suffolk CCG,-0.07%,314123,2.08%,315551,2.54%,1249,1.82%,-0.44%,252573
NHS Basildon and Brentwood CCG,0.62%,354953,2.09%,356434,2.51%,1268,1.78%,0.20%,281008
NHS Castle Point and Rochford CCG,2.39%,242509,2.08%,243329,2.42%,1305,1.92%,2.11%,186456
NHS Southend CCG,0.28%,254656,2.13%,255214,2.35%,1337,1.58%,-0.33%,190921
NHS Barking and Dagenham CCG,2.00%,287532,3.18%,287532,3.18%,1247,1.36%,1.15%,230627
NHS Barnet CCG,-0.34%,496640,2.81%,497086,2.90%,1166,1.45%,-1.07%,426200
NHS Bexley CCG,-1.87%,316368,2.34%,317551,2.73%,1303,1.74%,-2.32%,243635
NHS Brent CCG,2.13%,432506,2.16%,432506,2.16%,1130,1.36%,1.29%,382692
NHS Bromley CCG,-1.32%,452622,2.49%,453462,2.68%,1276,1.54%,-1.95%,355493
NHS Camden CCG,14.47%,355519,0.02%,355519,0.02%,1301,-1.01%,10.88%,273283
NHS City and Hackney CCG,5.77%,398578,2.62%,398578,2.62%,1269,1.36%,4.90%,314045
NHS Croydon CCG,-2.80%,504211,2.45%,506230,2.86%,1211,1.76%,-3.22%,418106
NHS Ealing CCG,-1.81%,507947,2.31%,507947,2.31%,1145,1.36%,-2.62%,443720
NHS Enfield CCG,-1.45%,419404,2.72%,420634,3.02%,1226,1.65%,-1.98%,342955
NHS Hounslow CCG,-2.46%,357990,2.71%,358842,2.95%,1107,1.60%,-3.03%,324045
NHS Greenwich CCG,-1.49%,386057,2.46%,386636,2.61%,1293,1.51%,-2.16%,299085
NHS Hammersmith and Fulham CCG,7.07%,267262,1.36%,267262,1.36%,1257,1.04%,5.86%,212653
NHS Haringey CCG,-1.19%,370160,2.53%,370304,2.57%,1167,1.40%,-1.97%,317294
NHS Harrow CCG,-1.50%,304435,2.49%,305832,2.96%,1126,1.82%,-1.87%,271583
NHS Havering CCG,-0.44%,372288,2.51%,374544,3.13%,1344,1.97%,-0.66%,278697
NHS Hillingdon CCG,-2.70%,372691,2.74%,373919,3.08%,1158,1.69%,-3.19%,322875
NHS Islington CCG,6.20%,354268,2.72%,354268,2.72%,1421,1.36%,5.32%,249298
NHS Kingston CCG,-0.11%,235471,2.75%,235471,2.75%,1094,1.36%,-0.94%,215180
NHS Lambeth CCG,-1.25%,482936,2.34%,482936,2.34%,1205,1.36%,-2.06%,400678
NHS Lewisham CCG,2.75%,437585,2.68%,437585,2.68%,1324,1.36%,1.90%,330483
NHS Newham CCG,4.74%,453045,2.72%,453045,2.72%,1149,1.36%,3.88%,394381
NHS Redbridge CCG,-0.75%,367210,3.05%,368116,3.31%,1141,1.61%,-1.33%,322519
NHS Richmond CCG,3.34%,243091,2.56%,243091,2.56%,1102,1.36%,2.49%,220500
NHS Southwark CCG,2.99%,424011,2.55%,424011,2.55%,1289,1.36%,2.14%,328967
NHS Merton CCG,0.25%,255816,2.58%,255816,2.58%,1102,1.36%,-0.58%,232197
NHS Sutton CCG,-1.63%,252531,2.71%,252531,2.71%,1256,1.36%,-2.44%,201063
NHS Tower Hamlets CCG,5.16%,388134,3.17%,388134,3.17%,1215,1.36%,4.29%,319434
NHS Waltham Forest CCG,-1.78%,364237,2.53%,364543,2.62%,1166,1.44%,-2.51%,312542
NHS Wandsworth CCG,5.38%,436306,2.25%,436306,2.25%,1096,1.36%,4.51%,398006
NHS West London (K&C & QPP) CCG,27.00%,354366,0.02%,354366,0.02%,1426,-0.36%,23.82%,248525
NHS Central London (Westminster) CCG,15.81%,267683,0.02%,267683,0.02%,1214,-0.95%,12.24%,220562
NHS Bristol CCG,1.38%,597361,2.25%,597361,2.25%,1177,1.36%,0.54%,507669
NHS Kernow CCG,1.83%,777308,2.16%,777308,2.16%,1343,1.36%,0.99%,578989
NHS North Somerset CCG,-1.15%,289498,2.37%,289498,2.37%,1290,1.36%,-1.97%,224499
NHS Somerset CCG,-1.72%,737661,2.08%,737859,2.11%,1282,1.45%,-2.44%,575775
NHS South Gloucestershire CCG,-2.97%,298458,2.17%,298720,2.26%,1095,1.45%,-3.69%,272725
"NHS North, East, West Devon CCG",0.95%,1203652,2.08%,1203652,2.08%,1308,1.57%,0.32%,920279
NHS South Devon and Torbay CCG,6.05%,416174,1.85%,416174,1.85%,1425,1.37%,5.19%,292020
NHS North Hampshire CCG,-3.80%,261704,2.31%,262045,2.44%,1138,1.49%,-4.47%,230287
NHS Fareham and Gosport CCG,-2.85%,249426,2.08%,249795,2.23%,1204,1.67%,-3.36%,207477
NHS Isle of Wight CCG,8.93%,208845,0.66%,208845,0.66%,1441,0.21%,6.81%,144950
NHS Portsmouth CCG,2.71%,283146,2.08%,283146,2.08%,1246,1.49%,1.99%,227299
NHS South Eastern Hampshire CCG,-2.80%,271472,2.08%,272208,2.35%,1259,1.84%,-3.15%,216230
NHS Southampton CCG,-4.07%,334755,2.08%,334755,2.08%,1190,1.57%,-4.67%,281216
NHS West Hampshire CCG,-4.08%,683498,2.08%,683498,2.08%,1205,1.40%,-4.83%,567002
NHS Dorset CCG,0.13%,1069820,2.08%,1069820,2.08%,1328,1.48%,-0.58%,805610
NHS North East Hampshire and Farnham CCG,-1.49%,273002,2.08%,274231,2.54%,1200,2.01%,-1.68%,228519
NHS Bracknell and Ascot CCG,-0.58%,164918,2.31%,165303,2.55%,1136,1.59%,-1.17%,145462
NHS Chiltern CCG,-3.48%,377250,2.08%,377930,2.26%,1093,1.65%,-3.99%,345791
NHS Newbury and District CCG,-1.22%,136493,2.08%,136493,2.08%,1135,1.45%,-1.95%,120229
NHS North and West Reading CCG,-1.09%,131931,2.08%,132280,2.35%,1175,1.66%,-1.62%,112582
NHS Oxfordshire CCG,-4.11%,774661,2.08%,774661,2.08%,1056,1.50%,-4.77%,733718
NHS Slough CCG,0.41%,184707,2.53%,184707,2.53%,1159,1.36%,-0.42%,159403
NHS South Reading CCG,-2.85%,141586,2.08%,141844,2.26%,1012,1.91%,-3.12%,140211
NHS Aylesbury Vale CCG,-4.00%,241240,2.36%,241240,2.36%,1116,1.36%,-4.79%,216151
"NHS Windsor, Ascot and Maidenhead CCG",-2.42%,176688,2.19%,177436,2.62%,1129,1.79%,-2.82%,157184
NHS Wokingham CCG,0.71%,180158,2.24%,180158,2.24%,1087,1.36%,-0.12%,165710
NHS Bath and North East Somerset CCG,-1.96%,237220,2.08%,237220,2.08%,1146,1.68%,-2.45%,207066
NHS Gloucestershire CCG,-1.01%,775393,2.08%,775393,2.08%,1188,1.40%,-1.78%,652898
NHS Swindon CCG,-0.63%,277997,2.47%,278427,2.63%,1151,1.51%,-1.30%,241860
NHS Wiltshire CCG,-1.64%,612089,2.08%,614292,2.45%,1235,1.85%,-1.98%,497374
NHS Ashford CCG,2.69%,152616,2.40%,152616,2.40%,1146,1.36%,1.85%,133221
NHS Brighton and Hove CCG,5.45%,381641,2.08%,381641,2.08%,1196,1.43%,4.65%,319190
NHS Canterbury and Coastal CCG,2.61%,272370,2.08%,272370,2.08%,1225,1.55%,1.96%,222312
"NHS Eastbourne, Hailsham and Seaford CCG",-0.77%,275250,2.11%,275250,2.11%,1390,1.36%,-1.59%,198040
NHS Coastal West Sussex CCG,-1.48%,718665,2.17%,719991,2.36%,1384,1.54%,-2.12%,520384
NHS Crawley CCG,0.43%,165112,2.38%,165112,2.38%,1226,1.36%,-0.40%,134673
"NHS Dartford, Gravesham and Swanley CCG",-2.22%,330011,2.35%,330700,2.56%,1228,1.57%,-2.83%,269351
NHS East Surrey CCG,-1.87%,227281,2.46%,228407,2.96%,1221,1.86%,-2.20%,187142
NHS Guildford and Waverley CCG,-1.43%,256632,2.11%,256632,2.11%,1126,1.36%,-2.25%,227852
NHS Hastings and Rother CCG,5.99%,283949,1.97%,283949,1.97%,1487,1.27%,5.03%,190982
NHS Medway CCG,-0.17%,376495,2.27%,378060,2.69%,1240,1.78%,-0.58%,304946
NHS Horsham and Mid Sussex CCG,-1.99%,274317,2.08%,274540,2.16%,1142,1.49%,-2.67%,240416
NHS North West Surrey CCG,-2.96%,444234,2.16%,444706,2.27%,1179,1.46%,-3.66%,377142
NHS South Kent Coast CCG,5.67%,290094,2.02%,290094,2.02%,1421,1.51%,4.96%,204150
NHS Surrey Heath CCG,0.18%,120097,2.08%,120097,2.08%,1242,1.55%,-0.45%,96716
NHS Swale CCG,-0.22%,149541,2.50%,149977,2.80%,1312,1.65%,-0.75%,114292
NHS Thanet CCG,1.33%,218500,2.24%,218500,2.24%,1469,1.36%,0.49%,148709
NHS Surrey Downs CCG,-1.85%,371685,2.25%,372738,2.54%,1188,1.64%,-2.39%,313702
NHS West Kent CCG,-1.51%,583372,2.33%,585306,2.67%,1182,1.69%,-2.00%,495249
NHS High Weald Lewes Havens CCG,-0.23%,212043,2.09%,212043,2.09%,1221,1.36%,-1.06%,173641
