Department of Health,CCG,Date,Expense Type,Expense Area,Supplier,Transaction Type,Amount
Department of Health,NHS Brent CCG,31/10/2020,Clinical&Medical-Clinical Other,ACUTE COMMISSIONING,LABEX ANALYTICAL LLP,34199094,"119,844.79"
Department of Health,NHS Brent CCG,31/10/2020,Clinical&Medical-Clinical Other,ACUTE COMMISSIONING,LABEX FACILITIES LLP,34199112,"177,934.50"
Department of Health,NHS Brent CCG,31/10/2020,Clinical&Medical-Clinical Other,ACUTE COMMISSIONING,LABEX ANALYTICAL LLP,34199122,"119,844.79"
Department of Health,NHS Brent CCG,31/10/2020,Clinical&Medical-Clinical Other,ACUTE COMMISSIONING,LABEX FACILITIES LLP,34199135,"177,934.50"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS LES Cardiovascular Disease,LOCAL ENHANCED SERVICES,HARNESS CARE CO-OPERATIVE LTD,34199150,"39,391.58"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS LES DMARDS,COMMUNITY SERVICES,HARNESS CARE CO-OPERATIVE LTD,34199150,"3,098.15"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS LES Diabetes-Insulin (GTT),LOCAL ENHANCED SERVICES,HARNESS CARE CO-OPERATIVE LTD,34199150,"2,466.23"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS LES Phlebotomy,LOCAL ENHANCED SERVICES,HARNESS CARE CO-OPERATIVE LTD,34199150,"28,276.14"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS LES Zoladex,LOCAL ENHANCED SERVICES,HARNESS CARE CO-OPERATIVE LTD,34199150,"3,800.84"
Department of Health,NHS Brent CCG,31/10/2020,Clinical&Medical-Clinical Other,COMMISSIONING SCHEMES,HARNESS CARE CO-OPERATIVE LTD,34199150,"2,300.00"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS LES Cardiovascular Disease,LOCAL ENHANCED SERVICES,K&W HEALTHCARE LTD,34199193,"32,958.33"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS LES DMARDS,COMMUNITY SERVICES,K&W HEALTHCARE LTD,34199193,"3,822.50"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS LES Diabetes-Insulin (GTT),LOCAL ENHANCED SERVICES,K&W HEALTHCARE LTD,34199193,"1,483.20"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS LES Phlebotomy,LOCAL ENHANCED SERVICES,K&W HEALTHCARE LTD,34199193,"56,230.90"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS LES Zoladex,LOCAL ENHANCED SERVICES,K&W HEALTHCARE LTD,34199193,"3,565.57"
Department of Health,NHS Brent CCG,31/10/2020,Clinical&Medical-Clinical Other,COMMISSIONING SCHEMES,K&W HEALTHCARE LTD,34199193,"5,600.00"
Department of Health,NHS Brent CCG,31/10/2020,Clinical&Medical-Voluntary Sector,HOSPICES,ST LUKES HOSPICE,34199204,"57,916.66"
Department of Health,NHS Brent CCG,31/10/2020,Clinical&Medical-Commercial Sector,COMMUNITY SERVICES,HARNESS CARE CO-OPERATIVE LTD,34199206,"119,279.99"
Department of Health,NHS Brent CCG,31/10/2020,Telecoms-Data lines,PRIMARY CARE IT,EXPONENTIAL-E LTD,34199212,"59,675.10"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS LES Cardiovascular Disease,LOCAL ENHANCED SERVICES,KILBURN PBC CLUSTER,34199218,"10,225.00"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS LES DMARDS,COMMUNITY SERVICES,KILBURN PBC CLUSTER,34199218,935
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS LES Diabetes-Insulin (GTT),LOCAL ENHANCED SERVICES,KILBURN PBC CLUSTER,34199218,516.5
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS LES Phlebotomy,LOCAL ENHANCED SERVICES,KILBURN PBC CLUSTER,34199218,"14,827.30"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS LES Zoladex,LOCAL ENHANCED SERVICES,KILBURN PBC CLUSTER,34199218,"2,188.90"
Department of Health,NHS Brent CCG,31/10/2020,Clinical&Medical-Clinical Other,COMMISSIONING SCHEMES,KILBURN PBC CLUSTER,34199218,60
Department of Health,NHS Brent CCG,31/10/2020,Clinical&Medical-Commercial Sector,COMMISSIONING SCHEMES,AT MEDICS LTD,34199234,"68,750.00"
Department of Health,NHS Brent CCG,31/10/2020,Clinical&Medical-Voluntary Sector,PLANNED CARE,MARIE STOPES INTERNATIONAL,34199241,"42,625.00"
Department of Health,NHS Brent CCG,31/10/2020,Hcare Srv Rec NHS Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,BARNET ENFIELD AND HARINGEY MENTAL HEALTH NHS TRUST,34201002,"61,833.00"
Department of Health,NHS Brent CCG,31/10/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,34201003,"119,333.33"
Department of Health,NHS Brent CCG,31/10/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,CAMDEN & ISLINGTON NHS FOUNDATION TRUST,34201004,"81,333.00"
Department of Health,NHS Brent CCG,31/10/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,CENTRAL & NORTH WEST LONDON NHS FOUNDATION TRUST,34201005,"3,860,500.00"
Department of Health,NHS Brent CCG,31/10/2020,Hcare Srv Rec NHS Trust-Contract Baseline,PALLIATIVE CARE,CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST,34201006,"270,000.00"
Department of Health,NHS Brent CCG,31/10/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,34201007,"335,000.00"
Department of Health,NHS Brent CCG,31/10/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST,34201008,"227,000.00"
Department of Health,NHS Brent CCG,31/10/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,34201009,"6,176,333.33"
Department of Health,NHS Brent CCG,31/10/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,KING`S COLLEGE HOSPITAL NHS FOUNDATION TRUST,34201010,"51,333.33"
Department of Health,NHS Brent CCG,31/10/2020,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,LONDON AMBULANCE SERVICE NHS TRUST,34201011,"1,263,666.67"
Department of Health,NHS Brent CCG,31/10/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,LONDON NORTH WEST HEALTHCARE NHS TRUST,34201012,"12,784,694.67"
Department of Health,NHS Brent CCG,31/10/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,34201013,"340,000.00"
Department of Health,NHS Brent CCG,31/10/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST,34201014,"132,166.67"
Department of Health,NHS Brent CCG,31/10/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ROYAL FREE LONDON NHS FOUNDATION TRUST,34201015,"2,344,666.67"
Department of Health,NHS Brent CCG,31/10/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,34201016,"183,666.67"
Department of Health,NHS Brent CCG,31/10/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,HILLINGDON HOSPITALS NHS FOUNDATION TRUST,34201017,"69,000.00"
Department of Health,NHS Brent CCG,31/10/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,WHITTINGTON HOSPITAL NHS TRUST (THE),34201018,"95,166.67"
Department of Health,NHS Brent CCG,31/10/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,34201019,"809,500.00"
Department of Health,NHS Brent CCG,31/10/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,34201020,"58,000.00"
Department of Health,NHS Brent CCG,31/10/2020,Hcare Srv Rec NHS Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,WEST LONDON NHS TRUST,34201021,"49,167.00"
Department of Health,NHS Brent CCG,31/10/2020,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,GENERAL RESERVE - PROGRAMME,KING`S COLLEGE HOSPITAL NHS FOUNDATION TRUST,34219540,"-44,548.00"
Department of Health,NHS Brent CCG,31/10/2020,Chrgs from SLA,OPERATIONS MANAGEMENT,NHS SHARED BUSINESS SERVICES LTD,34219616,"10,154.00"
Department of Health,NHS Brent CCG,31/10/2020,Chrgs from SLA,PROVIDER CONTRACT MANAGEMENT - (P),NHS SHARED BUSINESS SERVICES LTD,34219616,"30,461.00"
Department of Health,NHS Brent CCG,31/10/2020,Apprenticeship Levy Payable,BALANCE SHEET,HMRC,34229372,"7,780.00"
Department of Health,NHS Brent CCG,31/10/2020,Income tax <1Yr,BALANCE SHEET,HMRC,34229372,"340,089.05"
Department of Health,NHS Brent CCG,31/10/2020,Income tax <1Yr-Student Loans,BALANCE SHEET,HMRC,34229372,"7,753.00"
Department of Health,NHS Brent CCG,31/10/2020,National Insurance < 1 yr-NI- ERS,BALANCE SHEET,HMRC,34229372,"224,880.76"
Department of Health,NHS Brent CCG,31/10/2020,National Insurance < 1 yr-NI-EES,BALANCE SHEET,HMRC,34229372,"142,059.88"
Department of Health,NHS Brent CCG,31/10/2020,Post Graduate Loan Payable,BALANCE SHEET,HMRC,34229372,283
Department of Health,NHS Brent CCG,31/10/2020,Statutory Mat Pay < 1 yr,BALANCE SHEET,HMRC,34229372,-556.4
Department of Health,NHS Brent CCG,31/10/2020,Clinical&Medical-Commercial Sector,GENERAL RESERVE - PROGRAMME,CYGNET HEALTHCARE LTD,34237669,"26,626.75"
Department of Health,NHS Brent CCG,31/10/2020,Clinical&Medical-Commercial Sector,MENTAL HEALTH SERVICES - ADULTS,CYGNET HEALTHCARE LTD,34237679,"30,842.50"
Department of Health,NHS Brent CCG,31/10/2020,Clinical&Medical-Commercial Sector,GENERAL RESERVE - PROGRAMME,CYGNET HEALTHCARE LTD,34237686,"28,178.00"
Department of Health,NHS Brent CCG,31/10/2020,Clinical&Medical-Commercial Sector,MENTAL HEALTH SERVICES - ADULTS,CYGNET HEALTHCARE LTD,34237689,"41,527.88"
Department of Health,NHS Brent CCG,31/10/2020,Clinical&Medical-Commercial Sector,MENTAL HEALTH SERVICES - ADULTS,CYGNET HEALTHCARE LTD,34237731,"-26,626.75"
Department of Health,NHS Brent CCG,31/10/2020,Clinical&Medical-Commercial Sector,MENTAL HEALTH SERVICES - ADULTS,CYGNET HEALTHCARE LTD,34237733,"-30,842.50"
Department of Health,NHS Brent CCG,31/10/2020,Clinical&Medical-Commercial Sector,MENTAL HEALTH SERVICES - ADULTS,CYGNET HEALTHCARE LTD,34237737,"-30,842.50"
Department of Health,NHS Brent CCG,31/10/2020,Clinical&Medical-Commercial Sector,MENTAL HEALTH SERVICES - ADULTS,CYGNET HEALTHCARE LTD,34237749,"-41,527.88"
Department of Health,NHS Brent CCG,31/10/2020,Clinical&Medical-Commercial Sector,MENTAL HEALTH SERVICES - ADULTS,CYGNET HEALTHCARE LTD,34237752,"30,842.50"
Department of Health,NHS Brent CCG,31/10/2020,Clinical&Medical-Commercial Sector,MENTAL HEALTH SERVICES - ADULTS,CYGNET HEALTHCARE LTD,34237754,"26,626.75"
Department of Health,NHS Brent CCG,31/10/2020,Clinical&Medical-Commercial Sector,GENERAL RESERVE - PROGRAMME,CYGNET HEALTHCARE LTD,34237758,"-26,626.75"
Department of Health,NHS Brent CCG,31/10/2020,Clinical&Medical-Commercial Sector,GENERAL RESERVE - PROGRAMME,CYGNET HEALTHCARE LTD,34237760,"-28,178.00"
Department of Health,NHS Brent CCG,31/10/2020,Clinical&Medical-Commercial Sector,MENTAL HEALTH SERVICES - ADULTS,CYGNET HEALTHCARE LTD,34252587,"28,178.00"
Department of Health,NHS Brent CCG,31/10/2020,Clinical&Medical-Commercial Sector,MENTAL HEALTH SERVICES - ADULTS,CYGNET HEALTHCARE LTD,34252604,"-28,178.00"
Department of Health,NHS Brent CCG,31/10/2020,Clinical&Medical-Commercial Sector,MENTAL HEALTH SERVICES - ADULTS,CYGNET HEALTHCARE LTD,34252607,"-28,178.00"
Department of Health,NHS Brent CCG,31/10/2020,Clinical&Medical-Commercial Sector,MENTAL HEALTH SERVICES - ADULTS,CYGNET HEALTHCARE LTD,34252611,"28,178.00"
Department of Health,NHS Brent CCG,31/10/2020,Clinical&Medical-Commercial Sector,MENTAL HEALTH SERVICES - ADULTS,CYGNET HEALTHCARE LTD,34267841,"46,491.81"
Department of Health,NHS Brent CCG,31/10/2020,Non-PFI Oprtng Lease-Bldgs-Lease Rent,ESTATES AND FACILITIES,LONDON BOROUGH OF BRENT,34267865,"38,072.06"
Department of Health,NHS Brent CCG,31/10/2020,Non-PFI Oprtng Lease-Bldgs-Lease Rent,RECHARGES NHS PROPERTY SERVICES LTD,LONDON BOROUGH OF BRENT,34267865,"7,797.94"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,DR ABRAHAMS & PARTNERS,34286653,"-6,727.27"
Department of Health,NHS Brent CCG,31/10/2020,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,DR ABRAHAMS & PARTNERS,34286653,"-4,286.84"
Department of Health,NHS Brent CCG,31/10/2020,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,DR ABRAHAMS & PARTNERS,34286653,"-4,171.57"
Department of Health,NHS Brent CCG,31/10/2020,ME-GMS GP Pension EEs Adjustments,PRC DELEGATED CO-COMMISSIONING,DR ABRAHAMS & PARTNERS,34286653,"-5,405.46"
Department of Health,NHS Brent CCG,31/10/2020,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,DR ABRAHAMS & PARTNERS,34286653,"-10,593.35"
Department of Health,NHS Brent CCG,31/10/2020,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,DR ABRAHAMS & PARTNERS,34286653,"-4,286.84"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR ABRAHAMS & PARTNERS,34286654,"1,749.68"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,DR ABRAHAMS & PARTNERS,34286654,"5,643.28"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR ABRAHAMS & PARTNERS,34286654,"150,542.72"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,DR ABRAHAMS & PARTNERS,34286654,"2,809.96"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS PCN DES PCN support,LOCAL ENHANCED SERVICES,DR ABRAHAMS & PARTNERS,34286654,"5,837.88"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR ABRAHAMS & PARTNERS,34286654,"5,565.12"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR ABRAHAMS & PARTNERS,34286654,165.82
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR ABRAHAMS & PARTNERS,34286654,"12,649.62"
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,DR A SELWYN & PARTNERS,34286655,"-5,990.74"
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR A SELWYN & PARTNERS,34286655,"-7,216.67"
Department of Health,NHS Brent CCG,31/10/2020,ME - PMS TPS Added Years Adj EEs,PRC DELEGATED CO-COMMISSIONING,DR A SELWYN & PARTNERS,34286655,-278.25
Department of Health,NHS Brent CCG,31/10/2020,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,DR A SELWYN & PARTNERS,34286655,"-5,655.67"
Department of Health,NHS Brent CCG,31/10/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,DR A SELWYN & PARTNERS,34286655,"-6,273.75"
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR A SELWYN & PARTNERS,34286656,"117,526.00"
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR A SELWYN & PARTNERS,34286656,272.32
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR A SELWYN & PARTNERS,34286656,"4,362.68"
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR A SELWYN & PARTNERS,34286656,"7,216.67"
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR A SELWYN & PARTNERS,34286656,"4,653.12"
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS Prof fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR A SELWYN & PARTNERS,34286656,209.58
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR A SELWYN & PARTNERS,34286656,"11,167.62"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR C NOTANEY & PARTNERS,34286658,857.34
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR C NOTANEY & PARTNERS,34286658,"66,829.81"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR C NOTANEY & PARTNERS,34286658,"2,318.82"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS PCO Doctors Ret Scheme,PRC DELEGATED CO-COMMISSIONING,DR C NOTANEY & PARTNERS,34286658,"1,230.72"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR C NOTANEY & PARTNERS,34286658,244.12
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR C NOTANEY & PARTNERS,34286658,"5,439.23"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,DR AL KROTOSKY & PTNRS,34286659,"-2,310.33"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DR AL KROTOSKY & PTNRS,34286659,"-29,334.08"
Department of Health,NHS Brent CCG,31/10/2020,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,DR AL KROTOSKY & PTNRS,34286659,-683.51
Department of Health,NHS Brent CCG,31/10/2020,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,DR AL KROTOSKY & PTNRS,34286659,"-1,781.73"
Department of Health,NHS Brent CCG,31/10/2020,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,DR AL KROTOSKY & PTNRS,34286659,"-2,632.71"
Department of Health,NHS Brent CCG,31/10/2020,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,DR AL KROTOSKY & PTNRS,34286659,-594.08
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR AL KROTOSKY & PTNRS,34286660,425.41
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR AL KROTOSKY & PTNRS,34286660,"42,407.26"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR AL KROTOSKY & PTNRS,34286660,"1,626.98"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS PCO Locum Sickness,PRC DELEGATED CO-COMMISSIONING,DR AL KROTOSKY & PTNRS,34286660,"3,150.00"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DR AL KROTOSKY & PTNRS,34286660,"21,567.41"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR AL KROTOSKY & PTNRS,34286660,"25,883.89"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR AL KROTOSKY & PTNRS,34286660,"1,611.35"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR AL KROTOSKY & PTNRS,34286660,16.12
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR AL KROTOSKY & PTNRS,34286660,"4,161.73"
Department of Health,NHS Brent CCG,31/10/2020,C&M-APMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,DR AM BURCH & PARTNERS,34286662,50.52
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR AM BURCH & PARTNERS,34286662,"67,844.95"
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR AM BURCH & PARTNERS,34286662,34.43
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS Growth,PRC DELEGATED CO-COMMISSIONING,DR AM BURCH & PARTNERS,34286662,"3,430.42"
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR AM BURCH & PARTNERS,34286662,"2,514.02"
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR AM BURCH & PARTNERS,34286662,"7,758.33"
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR AM BURCH & PARTNERS,34286662,"1,798.48"
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS Prof fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR AM BURCH & PARTNERS,34286662,6.91
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR AM BURCH & PARTNERS,34286662,"4,831.30"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR DE KARE SILVER & PTNRS,34286664,"63,283.13"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR DE KARE SILVER & PTNRS,34286664,"2,396.26"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DR DE KARE SILVER & PTNRS,34286664,"1,376.73"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR DE KARE SILVER & PTNRS,34286664,"9,471.86"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR DE KARE SILVER & PTNRS,34286664,"2,986.67"
Department of Health,NHS Brent CCG,31/10/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR DE KARE SILVER & PTNRS,34286664,"6,310.65"
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR E KONG & C EVBUOMWAN,34286666,"62,964.96"
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR E KONG & C EVBUOMWAN,34286666,"2,236.88"
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS Growth,PRC DELEGATED CO-COMMISSIONING,DR E KONG & C EVBUOMWAN,34286666,"7,181.00"
