Department of Health,Date,Expense Type,Exepnse Area,Supplier,Transaction Number,Amount
Department of Health,31-May-20,Professional Fees,GENERAL RESERVE - PROGRAMME,BOSTON CONSULTING GROUP UK LLP,32217747,"187,200.00"
Department of Health,31-May-20,Hcare Srv Rec NHS Trust,GENERAL RESERVE - PROGRAMME,CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST,32217772,"59,318.40"
Department of Health,31-May-20,Professional Fees,GENERAL RESERVE - PROGRAMME,BOSTON CONSULTING GROUP UK LLP,32217778,"264,000.00"
Department of Health,31-May-20,C&M-PMS LES Primary Care Offer,BEREAVEMENT SERVICE,K&W HEALTHCARE LTD,32217791,"25,431.60"
Department of Health,31-May-20,C&M-GMS LES Cardiovascular Disease,GENERAL RESERVE - PROGRAMME,HARNESS CARE CO-OPERATIVE LTD,32217804,"36,625.00"
Department of Health,31-May-20,C&M-GMS LES DMARDS,GENERAL RESERVE - PROGRAMME,HARNESS CARE CO-OPERATIVE LTD,32217817,"4,997.50"
Department of Health,31-May-20,C&M-GMS LES Diabetes-Insulin (GTT),GENERAL RESERVE - PROGRAMME,HARNESS CARE CO-OPERATIVE LTD,32217817,"2,015.20"
Department of Health,31-May-20,C&M-GMS LES Phlebotomy,GENERAL RESERVE - PROGRAMME,HARNESS CARE CO-OPERATIVE LTD,32217817,"34,662.80"
Department of Health,31-May-20,C&M-GMS LES Zoladex,GENERAL RESERVE - PROGRAMME,HARNESS CARE CO-OPERATIVE LTD,32217817,"5,410.30"
Department of Health,31-May-20,C&M-GMS LES Cardiovascular Disease,GENERAL RESERVE - PROGRAMME,K&W HEALTHCARE LTD,32217817,"43,700.00"
Department of Health,31-May-20,C&M-GMS LES DMARDS,GENERAL RESERVE - PROGRAMME,K&W HEALTHCARE LTD,32217821,"6,215.00"
Department of Health,31-May-20,C&M-GMS LES Diabetes-Insulin (GTT),GENERAL RESERVE - PROGRAMME,K&W HEALTHCARE LTD,32217821,"4,423.80"
Department of Health,31-May-20,C&M-GMS LES Phlebotomy,GENERAL RESERVE - PROGRAMME,K&W HEALTHCARE LTD,32217821,"62,855.00"
Department of Health,31-May-20,C&M-GMS LES Zoladex,GENERAL RESERVE - PROGRAMME,K&W HEALTHCARE LTD,32217821,"4,625.60"
Department of Health,31-May-20,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,GENERAL RESERVE - PROGRAMME,GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST,32217821,"43,257.00"
Department of Health,31-May-20,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,GENERAL RESERVE - PROGRAMME,GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST,32237625,"-471,782.00"
Department of Health,31-May-20,Computer Software/License,GENERAL RESERVE - PROGRAMME,NHS NEL CSU,32237762,"80,000.00"
Department of Health,31-May-20,Clinical&Medical-Voluntary Sector,GENERAL RESERVE - PROGRAMME,HOSPITAL OF ST JOHN & ST ELIZABETH,32260215,"28,450.82"
Department of Health,31-May-20,Computer Hardware Purch,GENERAL RESERVE - PROGRAMME,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,32282020,"312,000.00"
Department of Health,31-May-20,Computer Hardware Purch,GENERAL RESERVE - PROGRAMME,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,32282021,"290,000.00"
Department of Health,31-May-20,Computer Hardware Purch,GENERAL RESERVE - PROGRAMME,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,32282022,"300,000.00"
Department of Health,31-May-20,Clinical&Medical-Voluntary Sector,PLANNED CARE,MARIE STOPES INTERNATIONAL,32282023,"49,534.00"
Department of Health,31-May-20,Hcare Srv Rec NHS Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,BARNET ENFIELD AND HARINGEY MENTAL HEALTH NHS TRUST,32300085,"61,910.00"
Department of Health,31-May-20,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,32306191,"119,365.71"
Department of Health,31-May-20,Hcare Srv Rec NHS Trust-Non Contract,NCAS/OATS,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,32306192,"32,211.61"
Department of Health,31-May-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,CAMDEN & ISLINGTON NHS FOUNDATION TRUST,32306193,"81,329.00"
Department of Health,31-May-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,CENTRAL & NORTH WEST LONDON NHS FOUNDATION TRUST,32306194,"3,647,291.00"
Department of Health,31-May-20,Hcare Srv Rec NHS Trust-Contract Baseline,PALLIATIVE CARE,CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST,32306195,"270,029.00"
Department of Health,31-May-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,32306196,"335,023.55"
Department of Health,31-May-20,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,32306197,"38,265.56"
