Department,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Health,"31-Jul-20
",Cont Care-Learning Disab(<65),CHC ADULT JOINT FUNDED,CARE ADVOCATES LTD,33054996,"26,032.93"
Department of Health,"31-Jul-20
",Basic Sal-Rechgs to-from Other NHS,INTERMEDIATE CARE,LONDON NORTH WEST HEALTHCARE NHS TRUST,33015500,"27,538.73"
Department of Health,"31-Jul-20
",Clinical&Medical-Commercial Sector,LONG TERM CONDITIONS,KILBURN PBC CLUSTER,32969092,"30,000.00"
Department of Health,"31-Jul-20
",Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,33110588,"32,211.61"
Department of Health,"31-Jul-20
",Clinical&Medical-Commercial Sector,COMMUNITY SERVICES,BMI HEALTHCARE LTD,32969110,"35,777.88"
Department of Health,"31-Jul-20
",Clinical&Medical-Commercial Sector,COMMUNITY SERVICES,DMC HEALTHCARE LTD,33015605,"36,166.67"
Department of Health,"31-Jul-20
",Cont Care-Funded Nursing Care Allow,GENERAL RESERVE - PROGRAMME,BUPA CARE HOMES,33034757,"43,894.50"
Department of Health,"31-Jul-20
",Cont Care-Funded Nursing Care Allow,FUNDED NURSING CARE,SHARDA CARE LTD,33018029,"47,004.78"
Department of Health,"31-Jul-20
",Clinical&Medical-Commercial Sector,GENERAL RESERVE - PROGRAMME,CYGNET HEALTHCARE LTD,33034852,"47,842.99"
Department of Health,"31-Jul-20
",C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,CARE UK (URGENT CARE) LTD,32969007,"48,918.50"
Department of Health,"31-Jul-20
",Cont Care-Funded Nursing Care Allow,FUNDED NURSING CARE,SHARDA CARE LTD,33054991,"53,520.57"
Department of Health,"31-Jul-20
",Cont Care-Funded Nursing Care Allow,FUNDED NURSING CARE,BARCHESTER HEALTHCARE LTD,32969082,"55,806.58"
Department of Health,"31-Jul-20
",C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,CARE UK (URGENT CARE) LTD,32968990,"56,092.50"
Department of Health,"31-Jul-20
",Healthcare Srv Rec CCG,GENERAL RESERVE - PROGRAMME,NHS CENTRAL LONDON (WESTMINSTER) CCG,30925672,"61,556.00"
Department of Health,"31-Jul-20
",Hcare Srv Rec NHS Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,BARNET ENFIELD AND HARINGEY MENTAL HEALTH NHS TRUST,33055023,"61,910.00"
Department of Health,"31-Jul-20
",Computer Software/License,PRIMARY CARE IT,EGTON MEDICAL INFORMATION SYSTEMS LTD,33015401,"74,215.37"
Department of Health,"31-Jul-20
",Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,CAMDEN & ISLINGTON NHS FOUNDATION TRUST,33110589,"81,329.00"
Department of Health,"31-Jul-20
",Clinical&Medical-Commercial Sector,WHEELCHAIR SERVICE,AJ MOBILITY LTD,33015578,"81,478.56"
Department of Health,"31-Jul-20
",Clinical&Medical-Commercial Sector,COMMUNITY SERVICES,BMI HEALTHCARE LTD,33015253,"107,769.37"
Department of Health,"31-Jul-20
",Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,33110587,"119,365.71"
Department of Health,"31-Jul-20
",Clinical&Medical-Commercial Sector,URGENT CARE,GREENBROOK HEALTHCARE (HOUNSLOW) LTD,33015913,"173,011.00"
Department of Health,"31-Jul-20
",Clinical&Medical-Clinical Other,ACUTE COMMISSIONING,NWLHT FACILITIES LLP,32989817,"177,934.50"
Department of Health,"31-Jul-20
",Clinical&Medical-Commercial Sector,COMMUNITY SERVICES,AT MEDICS LTD,32969291,"233,736.00"
Department of Health,"31-Jul-20
",Hcare Srv Rec NHS Trust-Contract Baseline,PALLIATIVE CARE,CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST,33110591,"270,029.00"
Department of Health,"31-Jul-20
",Clinical&Medical-Commercial Sector,URGENT CARE,GREENBROOK HEALTHCARE (HOUNSLOW) LTD,33018023,"302,025.83"
Department of Health,"31-Jul-20
",Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,33110592,"335,023.55"
Department of Health,"31-Jul-20
",Non-PFI Oprtng Lease-Bldgs-Lease Rent,GENERAL RESERVE - PROGRAMME,NHS CENTRAL LONDON (WESTMINSTER) CCG,33015253,"360,181.00"
Department of Health,"31-Jul-20
",Cont Care- Children,GENERAL RESERVE - PROGRAMME,LONDON BOROUGH OF BRENT,32969412,"387,485.03"
Department of Health,"31-Jul-20
",Non-PFI Oprtng Lease-Bldgs-Lease Rent,EQUALITY AND DIVERSITY,NHS CENTRAL LONDON (WESTMINSTER) CCG,32989910,"1,168,607.00"
Department of Health,"31-Jul-20
",Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,CENTRAL & NORTH WEST LONDON NHS FOUNDATION TRUST,33110590,"3,647,291.00"
