Department family,Entity,Date of payment,Expense type,Expense area,Supplier,Transaction number,amount
Department of Health,Guys and St Thomas NHS Foundation Trust,18/09/2020,(81700) Lab Equipment Purchase,(id:42128) Haematology,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,id:13049534,1065
Department of Health,Guys and St Thomas NHS Foundation Trust,18/09/2020,(81700) Lab Equipment Purchase,(id:42128) Haematology,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,id:13307011,1276.4
Department of Health,Guys and St Thomas NHS Foundation Trust,18/09/2020,(81700) Lab Equipment Purchase,(id:42128) Haematology,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,id:13307014,2263
Department of Health,Guys and St Thomas NHS Foundation Trust,04/09/2020,(83400) Office Equipment,(id:42258) Oncology Services,NHS SUPPLY CHAIN (MAIDSTONE),id:13287744   ,99.01
Department of Health,Guys and St Thomas NHS Foundation Trust,25/09/2020,(83400) Office Equipment,(id:42258) Oncology Services,NHS SUPPLY CHAIN (MAIDSTONE),id:13312947   ,50.54
Department of Health,Guys and St Thomas NHS Foundation Trust,25/09/2020,(82800) Bedding & Linen,(id:42258) Oncology Services,NHS SUPPLY CHAIN (MAIDSTONE),id:13312947    ,110.91
Department of Health,Guys and St Thomas NHS Foundation Trust,04/09/2020,(81200) Medical Surgical Supplies & Equipment,(id:42258) Oncology Services,NHS SUPPLY CHAIN (MAIDSTONE),id:13287744  ,222.18
Department of Health,Guys and St Thomas NHS Foundation Trust,25/09/2020,(81200) Medical Surgical Supplies & Equipment,(id:42258) Oncology Services,NHS SUPPLY CHAIN (MAIDSTONE),id:13325094  ,215.29
Department of Health,Guys and St Thomas NHS Foundation Trust,15/09/2020,(52062) Radiographers,(id:42258) Oncology Services,PRICEWATERHOUSECOOPERS LLP,id:13325204   ,1009.96
Department of Health,Guys and St Thomas NHS Foundation Trust,04/09/2020,(89595) Non-Healthcare from Foundation Trusts,(id:42258) Oncology Services,OXLEAS NHS FOUNDATION TRUST,id:13303634   ,13256
Department of Health,Guys and St Thomas NHS Foundation Trust,04/09/2020,(81100) Dressings,(id:42258) Oncology Services,NHS SUPPLY CHAIN (MAIDSTONE),id:13287744,971.54
Department of Health,Guys and St Thomas NHS Foundation Trust,04/09/2020,(81100) Dressings,(id:42258) Oncology Services,NHS SUPPLY CHAIN (MAIDSTONE),id:13268734,554.69
Department of Health,Guys and St Thomas NHS Foundation Trust,04/09/2020,(81100) Dressings,(id:42258) Oncology Services,NHS SUPPLY CHAIN (MAIDSTONE),id:13204335,530.04
Department of Health,Guys and St Thomas NHS Foundation Trust,18/09/2020,(50202) Consultants,(id:42257) Oncology Services,CHARTERHOUSE MEDICAL UK,id:13328897   ,5994
Department of Health,Guys and St Thomas NHS Foundation Trust,11/09/2020,(83500) Furniture & Fittings,(id:42261) Oncology Services,OFFICE DEPOT UK LTD,id:13307857   ,771.6
Department of Health,Guys and St Thomas NHS Foundation Trust,25/09/2020,(83410) Office Equipment,(id:42261) Oncology Services,RICOH UK LTD,id:13342154    ,60.89
Department of Health,Guys and St Thomas NHS Foundation Trust,18/09/2020,(81900) Lab Equipment Purchase,(id:42261) Oncology Services,VIAPATH SERVICES LLP,id:13324324,1750
Department of Health,Guys and St Thomas NHS Foundation Trust,18/09/2020,(84400) Transport,(id:42261) Oncology Services,CITYSPRINT (UK) LTD,id:13310085    ,2272.82
Department of Health,Guys and St Thomas NHS Foundation Trust,04/09/2020,(89595) Non-Healthcare from Foundation Trusts,(id:42261) Oncology Services,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,id:13297288 ,38402
Department of Health,Guys and St Thomas NHS Foundation Trust,04/09/2020,(81000) Surgical Appliances,(id:42261) Oncology Services,MEDI UK LTD,id:13299959  ,132.87
Department of Health,Guys and St Thomas NHS Foundation Trust,04/09/2020,(81200) Medical Surgical Supplies & Equipment,(id:4631424) Oncology Services,NHS SUPPLY CHAIN (MAIDSTONE),id:13287744,208.54
Department of Health,Guys and St Thomas NHS Foundation Trust,25/09/2020,(81200) Medical Surgical Supplies & Equipment,(id:42260) Oncology Services,NHS SUPPLY CHAIN (MAIDSTONE),id:13325094  ,10311.73
Department of Health,Guys and St Thomas NHS Foundation Trust,22/09/2020,(81200) Medical Surgical Supplies & Equipment,(id:42260) Oncology Services,NHS SUPPLY CHAIN (MAIDSTONE),id:13331277  ,5863.89
Department of Health,Guys and St Thomas NHS Foundation Trust,04/09/2020,(82800) Bedding & Linen,(id:42260) Oncology Services,NHS SUPPLY CHAIN (MAIDSTONE),id:13269121    ,316.22
Department of Health,Guys and St Thomas NHS Foundation Trust,04/09/2020,(82800) Bedding & Linen,(id:42260) Oncology Services,NHS SUPPLY CHAIN (MAIDSTONE),id:13268734    ,314.29
Department of Health,Guys and St Thomas NHS Foundation Trust,25/09/2020,(82800) Bedding & Linen,(id:42260) Oncology Services,NHS SUPPLY CHAIN (MAIDSTONE),id:13300894    ,380.74
Department of Health,Guys and St Thomas NHS Foundation Trust,04/09/2020,(83400) Office Equipment,(id:42260) Oncology Services,NHS SUPPLY CHAIN (MAIDSTONE),id:13269121   ,676.3
Department of Health,Guys and St Thomas NHS Foundation Trust,25/09/2020,(83400) Office Equipment,(id:42260) Oncology Services,NHS SUPPLY CHAIN (MAIDSTONE),id:13300894   ,964.42
Department of Health,Guys and St Thomas NHS Foundation Trust,04/09/2020,(81700) Lab Equipment Purchase,(id:42260) Oncology Services,NHS SUPPLY CHAIN (MAIDSTONE),id:13291359  ,200.88
Department of Health,Guys and St Thomas NHS Foundation Trust,25/09/2020,(81100) Dressings,(id:42260) Oncology Services,NHS SUPPLY CHAIN (MAIDSTONE),id:13325094,1235.53
Department of Health,Guys and St Thomas NHS Foundation Trust,25/09/2020,(82800) Bedding & Linen,(id:42259) Oncology Services,NHS SUPPLY CHAIN (MAIDSTONE),id:13300894    ,126.92
Department of Health,Guys and St Thomas NHS Foundation Trust,04/09/2020,(82800) Bedding & Linen,(id:42259) Oncology Services,NHS SUPPLY CHAIN (MAIDSTONE),id:13287744    ,95.68
Department of Health,Guys and St Thomas NHS Foundation Trust,25/09/2020,(81100) Dressings,(id:42259) Oncology Services,NHS SUPPLY CHAIN (MAIDSTONE),id:13312947,378.88
Department of Health,Guys and St Thomas NHS Foundation Trust,25/09/2020,(81200) Medical Surgical Supplies & Equipment,(id:42259) Oncology Services,NHS SUPPLY CHAIN (MAIDSTONE),id:13325094  ,1372.05
Department of Health,Guys and St Thomas NHS Foundation Trust,04/09/2020,(83400) Office Equipment,(id:42259) Oncology Services,NHS SUPPLY CHAIN (MAIDSTONE),id:13291359   ,56.47
Department of Health,Guys and St Thomas NHS Foundation Trust,25/09/2020,(83400) Office Equipment,(id:42259) Oncology Services,NHS SUPPLY CHAIN (MAIDSTONE),id:13312947   ,121.93
Department of Health,Guys and St Thomas NHS Foundation Trust,25/09/2020,(83400) Office Equipment,(id:42259) Oncology Services,NHS SUPPLY CHAIN (MAIDSTONE),id:13325094   ,251.24
Department of Health,Guys and St Thomas NHS Foundation Trust,22/09/2020,(81225) Medical Surgical Supplies & Equipment,(id:42259) Oncology Services,NHS SUPPLY CHAIN (MAIDSTONE),id:13331277  ,14.54
Department of Health,Guys and St Thomas NHS Foundation Trust,04/09/2020,(81225) Medical Surgical Supplies & Equipment,(id:42259) Oncology Services,NHS SUPPLY CHAIN (MAIDSTONE),id:13204335  ,9.7
Department of Health,Guys and St Thomas NHS Foundation Trust,04/09/2020,(81225) Medical Surgical Supplies & Equipment,(id:42259) Oncology Services,NHS SUPPLY CHAIN (MAIDSTONE),id:13268734  ,9.7
Department of Health,Guys and St Thomas NHS Foundation Trust,25/09/2020,(81700) Lab Equipment Purchase,(id:42259) Oncology Services,NHS SUPPLY CHAIN (MAIDSTONE),id:13312947  ,15.79
Department of Health,Guys and St Thomas NHS Foundation Trust,04/09/2020,(81255) Medical Surgical Supplies & Equipment,(id:42259) Oncology Services,NHS SUPPLY CHAIN (MAIDSTONE),id:13287744  ,5.5
Department of Health,Guys and St Thomas NHS Foundation Trust,04/09/2020,(81255) Medical Surgical Supplies & Equipment,(id:42259) Oncology Services,NHS SUPPLY CHAIN (MAIDSTONE),id:13204335  ,4.68
Department of Health,Guys and St Thomas NHS Foundation Trust,04/09/2020,(81255) Medical Surgical Supplies & Equipment,(id:42259) Oncology Services,NHS SUPPLY CHAIN (MAIDSTONE),id:13269121  ,3.46
Department of Health,Guys and St Thomas NHS Foundation Trust,25/09/2020,(81255) Medical Surgical Supplies & Equipment,(id:42259) Oncology Services,NHS SUPPLY CHAIN (MAIDSTONE),id:13312947  ,3.46
Department of Health,Guys and St Thomas NHS Foundation Trust,04/09/2020,(82800) Bedding & Linen,(id:42280) Surgical Oncology,NHS SUPPLY CHAIN (MAIDSTONE),id:13269121    ,57.17
Department of Health,Guys and St Thomas NHS Foundation Trust,18/09/2020,(81100) Dressings,(id:42280) Surgical Oncology,KCI MEDICAL LTD,id:13323970   ,698.4
Department of Health,Guys and St Thomas NHS Foundation Trust,04/09/2020,(81100) Dressings,(id:42280) Surgical Oncology,NHS SUPPLY CHAIN (MAIDSTONE),id:13268734,126.18
Department of Health,Guys and St Thomas NHS Foundation Trust,18/09/2020,(81200) Medical Surgical Supplies & Equipment,(id:42280) Surgical Oncology,IDEAL MEDICAL SOLUTIONS LTD,id:13325187   ,623.4
Department of Health,Guys and St Thomas NHS Foundation Trust,04/09/2020,(81200) Medical Surgical Supplies & Equipment,(id:42280) Surgical Oncology,NHS SUPPLY CHAIN (MAIDSTONE),id:13204335  ,3.74
Department of Health,Guys and St Thomas NHS Foundation Trust,04/09/2020,(81200) Medical Surgical Supplies & Equipment,(id:42280) Surgical Oncology,Q MEDICAL TECHNOLOGIES LTD,id:13289416    ,2650.8
Department of Health,Guys and St Thomas NHS Foundation Trust,04/09/2020,(81200) Medical Surgical Supplies & Equipment,(id:42280) Surgical Oncology,IDEAL MEDICAL SOLUTIONS LTD,id:13298444   ,623.4
Department of Health,Guys and St Thomas NHS Foundation Trust,04/09/2020,(81200) Medical Surgical Supplies & Equipment,(id:243406) Surgical Oncology,NHS SUPPLY CHAIN (MAIDSTONE),id:13291359 ,1508.6
Department of Health,Guys and St Thomas NHS Foundation Trust,04/09/2020,(81200) Medical Surgical Supplies & Equipment,(id:243406) Surgical Oncology,NHS SUPPLY CHAIN (MAIDSTONE),id:13204335 ,1159.46
Department of Health,Guys and St Thomas NHS Foundation Trust,04/09/2020,(81200) Medical Surgical Supplies & Equipment,(id:243406) Surgical Oncology,NHS SUPPLY CHAIN (MAIDSTONE),id:13269121 ,866.01
Department of Health,Guys and St Thomas NHS Foundation Trust,04/09/2020,(81200) Medical Surgical Supplies & Equipment,(id:243406) Surgical Oncology,NHS SUPPLY CHAIN (MAIDSTONE),id:13287744 ,2395.71
Department of Health,Guys and St Thomas NHS Foundation Trust,25/09/2020,(81200) Medical Surgical Supplies & Equipment,(id:243406) Surgical Oncology,NHS SUPPLY CHAIN (MAIDSTONE),id:13325094 ,229.7
Department of Health,Guys and St Thomas NHS Foundation Trust,04/09/2020,(81700) Lab Equipment Purchase,(id:243406) Surgical Oncology,NHS SUPPLY CHAIN (MAIDSTONE),id:13269121 ,12.17
Department of Health,Guys and St Thomas NHS Foundation Trust,04/09/2020,(81700) Lab Equipment Purchase,(id:243406) Surgical Oncology,NHS SUPPLY CHAIN (MAIDSTONE),id:13268734 ,27.54
Department of Health,Guys and St Thomas NHS Foundation Trust,25/09/2020,(81700) Lab Equipment Purchase,(id:243406) Surgical Oncology,NHS SUPPLY CHAIN (MAIDSTONE),id:13312947 ,18.58
Department of Health,Guys and St Thomas NHS Foundation Trust,04/09/2020,(81255) Medical Surgical Supplies & Equipment,(id:243406) Surgical Oncology,NHS SUPPLY CHAIN (MAIDSTONE),id:13268734 ,4.68
Department of Health,Guys and St Thomas NHS Foundation Trust,04/09/2020,(81100) Dressings,(id:243406) Surgical Oncology,NHS SUPPLY CHAIN (MAIDSTONE),id:13204335    ,993.35
Department of Health,Guys and St Thomas NHS Foundation Trust,25/09/2020,(82700) Uniforms & Clothing,(id:243406) Surgical Oncology,NHS SUPPLY CHAIN (MAIDSTONE),id:13312947    ,31.68
Department of Health,Guys and St Thomas NHS Foundation Trust,25/09/2020,(82800) Bedding & Linen,(id:243406) Surgical Oncology,NHS SUPPLY CHAIN (MAIDSTONE),id:13312947   ,34.93
Department of Health,Guys and St Thomas NHS Foundation Trust,25/09/2020,(81225) Medical Surgical Supplies & Equipment,(id:243406) Surgical Oncology,NHS SUPPLY CHAIN (MAIDSTONE),id:13312947 ,9.7
Department of Health,Guys and St Thomas NHS Foundation Trust,04/09/2020,(81100) Dressings,(id:42474) Surgical Oncology,STRYKER UK LTD,id:13291116    ,352.8
Department of Health,Guys and St Thomas NHS Foundation Trust,16/09/2020,(81200) Medical Surgical Supplies & Equipment,(id:42474) Surgical Oncology,SOLUVOS MEDICAL BV,id:13048354  ,888
Department of Health,Guys and St Thomas NHS Foundation Trust,25/09/2020,(83410) Office Equipment,(id:42474) Surgical Oncology,RICOH UK LTD,id:13342154    ,345.6
Department of Health,Guys and St Thomas NHS Foundation Trust,22/09/2020,(81225) Medical Surgical Supplies & Equipment,(id:42474) Surgical Oncology,NHS SUPPLY CHAIN (MAIDSTONE),id:13331277  ,121.8
Department of Health,Guys and St Thomas NHS Foundation Trust,04/09/2020,(81700) Lab Equipment Purchase,(id:42474) Surgical Oncology,NHS SUPPLY CHAIN (MAIDSTONE),id:13204335  ,36
Department of Health,Guys and St Thomas NHS Foundation Trust,25/09/2020,(82800) Bedding & Linen,(id:42473) Surgical Oncology,NHS SUPPLY CHAIN (MAIDSTONE),id:13312947    ,110.4
Department of Health,Guys and St Thomas NHS Foundation Trust,25/09/2020,(81100) Dressings,(id:42473) Surgical Oncology,NHS SUPPLY CHAIN (MAIDSTONE),id:13312947,1.23
Department of Health,Guys and St Thomas NHS Foundation Trust,25/09/2020,(81100) Dressings,(id:42473) Surgical Oncology,NHS SUPPLY CHAIN (MAIDSTONE),id:13300894,1.64
Department of Health,Guys and St Thomas NHS Foundation Trust,22/09/2020,(81100) Dressings,(id:42473) Surgical Oncology,NHS SUPPLY CHAIN (MAIDSTONE),id:13331277,1.64
Department of Health,Guys and St Thomas NHS Foundation Trust,18/09/2020,(81200) Medical Surgical Supplies & Equipment,(id:42473) Surgical Oncology,DELTA SURGICAL LTD,id:13312926  ,1785.6
Department of Health,Guys and St Thomas NHS Foundation Trust,25/09/2020,(81200) Medical Surgical Supplies & Equipment,(id:42473) Surgical Oncology,NHS SUPPLY CHAIN (MAIDSTONE),id:13312947  ,5484.85
Department of Health,Guys and St Thomas NHS Foundation Trust,04/09/2020,(81200) Medical Surgical Supplies & Equipment,(id:42473) Surgical Oncology,MEDTRONIC LTD,id:13299037  ,572.4
Department of Health,Guys and St Thomas NHS Foundation Trust,25/09/2020,(81200) Medical Surgical Supplies & Equipment,(id:42473) Surgical Oncology,SQUADRON MEDICAL LTD,id:13322280,1018.87
Department of Health,Guys and St Thomas NHS Foundation Trust,11/09/2020,(81200) Medical Surgical Supplies & Equipment,(id:42473) Surgical Oncology,SEVERN HEALTHCARE TECHNOLOGIES LTD,id:13316572 ,1362
Department of Health,Guys and St Thomas NHS Foundation Trust,04/09/2020,(81215) Medical Surgical Supplies & Equipment,(id:42475) Surgical Oncology,NHS SUPPLY CHAIN (MAIDSTONE),id:13291359  ,12871.44
Department of Health,Guys and St Thomas NHS Foundation Trust,25/09/2020,(81215) Medical Surgical Supplies & Equipment,(id:42475) Surgical Oncology,NHS SUPPLY CHAIN (MAIDSTONE),id:13325094  ,26042.25
Department of Health,Guys and St Thomas NHS Foundation Trust,25/09/2020,(81215) Medical Surgical Supplies & Equipment,(id:42475) Surgical Oncology,NHS SUPPLY CHAIN (MAIDSTONE),id:13300894  ,706.66
Department of Health,Guys and St Thomas NHS Foundation Trust,11/09/2020,(81215) Medical Surgical Supplies & Equipment,(id:42475) Surgical Oncology,MED-EL UK LTD,id:13317754  ,5063.4
Department of Health,Guys and St Thomas NHS Foundation Trust,11/09/2020,(81215) Medical Surgical Supplies & Equipment,(id:42475) Surgical Oncology,ADVANCED BIONICS SARL (AND UK LTD),id:13297608 ,4680
