Department family,Entity,Date of payment,Expense type,Expense area,Supplier,Transaction number,amount
Department of Health,Guys and St Thomas NHS Foundation Trust,25/02/2021,(81225) Medical Surgical Supplies & Equipment,(id:41883) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13641574 ,57.68
Department of Health,Guys and St Thomas NHS Foundation Trust,05/02/2021,(81100) Dressings,(id:41883) TAP,ELIS UK LIMITED,id:13728573  ,847.9
Department of Health,Guys and St Thomas NHS Foundation Trust,12/02/2021,(81200) Medical Surgical Supplies & Equipment,(id:41883) TAP,JOHNSON & JOHNSON MEDICAL LTD,id:13694239,56.52
Department of Health,Guys and St Thomas NHS Foundation Trust,19/02/2021,(81200) Medical Surgical Supplies & Equipment,(id:41883) TAP,JOHNSON & JOHNSON MEDICAL LTD,id:13717096,572.55
Department of Health,Guys and St Thomas NHS Foundation Trust,25/02/2021,(83400) Office Equipment,(id:41883) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13709794  ,675.89
Department of Health,Guys and St Thomas NHS Foundation Trust,25/02/2021,(82800) Bedding & Linen,(id:41907) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13709794   ,6.77
Department of Health,Guys and St Thomas NHS Foundation Trust,25/02/2021,(81100) Dressings,(id:41907) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13641574    ,69.2
Department of Health,Guys and St Thomas NHS Foundation Trust,25/02/2021,(82600) Uniforms & Clothing,(id:41907) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13709794    ,23.04
Department of Health,Guys and St Thomas NHS Foundation Trust,25/02/2021,(81230) Medical Surgical Supplies & Equipment,(id:41907) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13641574 ,1702.69
Department of Health,Guys and St Thomas NHS Foundation Trust,19/02/2021,(82800) Bedding & Linen,(id:41905) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13687498   ,7.44
Department of Health,Guys and St Thomas NHS Foundation Trust,19/02/2021,(81200) Medical Surgical Supplies & Equipment,(id:41905) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13633898 ,4458.98
Department of Health,Guys and St Thomas NHS Foundation Trust,19/02/2021,(81100) Dressings,(id:41913) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13687498    ,366.77
Department of Health,Guys and St Thomas NHS Foundation Trust,25/02/2021,(81200) Medical Surgical Supplies & Equipment,(id:41913) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13641574 ,2706.84
Department of Health,Guys and St Thomas NHS Foundation Trust,05/02/2021,(81200) Medical Surgical Supplies & Equipment,(id:41913) TAP,HEALTHCARE 21 LTD,id:13662697  ,559.26
Department of Health,Guys and St Thomas NHS Foundation Trust,25/02/2021,(81200) Medical Surgical Supplies & Equipment,(id:41913) TAP,DRAEGER MEDICAL UK LTD,id:13794274  ,525.6
Department of Health,Guys and St Thomas NHS Foundation Trust,19/02/2021,(82600) Uniforms & Clothing,(id:41913) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13633898    ,5.76
Department of Health,Guys and St Thomas NHS Foundation Trust,19/02/2021,(81200) Medical Surgical Supplies & Equipment,(id:41918) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13633898 ,245.32
Department of Health,Guys and St Thomas NHS Foundation Trust,19/02/2021,(81100) Dressings,(id:41918) TAP,ELIS UK LIMITED,id:13551720  ,458.57
Department of Health,Guys and St Thomas NHS Foundation Trust,19/02/2021,(81255) Medical Surgical Supplies & Equipment,(id:41918) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13633898 ,3.12
Department of Health,Guys and St Thomas NHS Foundation Trust,25/02/2021,(82000) Provisions & Kitchens,(id:41916) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13709794  ,5.76
Department of Health,Guys and St Thomas NHS Foundation Trust,25/02/2021,(81700) Lab Equipment Purchase,(id:41916) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13641574 ,9.28
Department of Health,Guys and St Thomas NHS Foundation Trust,12/02/2021,(83500) Furniture & Fittings,(id:4274419) Gastrointestinal Medicine & Surgery,IKEA BUSINESS,id:13734754    ,739
Department of Health,Guys and St Thomas NHS Foundation Trust,25/02/2021,(82000) Provisions & Kitchens,(id:41958) Gastrointestinal Medicine & Surgery,NHS SUPPLY CHAIN (MAIDSTONE),id:13641574,448.94
Department of Health,Guys and St Thomas NHS Foundation Trust,19/02/2021,(82000) Provisions & Kitchens,(id:41958) Gastrointestinal Medicine & Surgery,NHS SUPPLY CHAIN (MAIDSTONE),id:13633898,85.87
Department of Health,Guys and St Thomas NHS Foundation Trust,05/02/2021,(83400) Office Equipment,(id:41958) Gastrointestinal Medicine & Surgery,LAZERBEAM FIRE AND SECURITY LTD,id:13327104  ,1800
Department of Health,Guys and St Thomas NHS Foundation Trust,19/02/2021,(82800) Bedding & Linen,(id:41958) Gastrointestinal Medicine & Surgery,NHS SUPPLY CHAIN (MAIDSTONE),id:13687498 ,6.94
Department of Health,Guys and St Thomas NHS Foundation Trust,19/02/2021,(50552) Qualified Nursing Staff,(id:41958) Gastrointestinal Medicine & Surgery,CONTINENTAL NURSE LTD,id:13775987,2409.28
Department of Health,Guys and St Thomas NHS Foundation Trust,25/02/2021,(81225) Medical Surgical Supplies & Equipment,(id:41958) Gastrointestinal Medicine & Surgery,NHS SUPPLY CHAIN (MAIDSTONE),id:13641574    ,4.85
Department of Health,Guys and St Thomas NHS Foundation Trust,05/02/2021,(81000) Surgical Appliances,(id:41955) Gastrointestinal Medicine & Surgery,TALAR MADE ORTHOTICS LTD,id:13722054 ,93
Department of Health,Guys and St Thomas NHS Foundation Trust,25/02/2021,(83400) Office Equipment,(id:41954) Gastrointestinal Medicine & Surgery,NHS SUPPLY CHAIN (MAIDSTONE),id:13709794,108.79
Department of Health,Guys and St Thomas NHS Foundation Trust,19/02/2021,(81200) Medical Surgical Supplies & Equipment,(id:41954) Gastrointestinal Medicine & Surgery,NHS SUPPLY CHAIN (MAIDSTONE),id:13687498    ,854.94
Department of Health,Guys and St Thomas NHS Foundation Trust,25/02/2021,(81100) Dressings,(id:41954) Gastrointestinal Medicine & Surgery,NHS SUPPLY CHAIN (MAIDSTONE),id:13709794  ,409.5
Department of Health,Guys and St Thomas NHS Foundation Trust,25/02/2021,(81700) Lab Equipment Purchase,(id:41954) Gastrointestinal Medicine & Surgery,NHS SUPPLY CHAIN (MAIDSTONE),id:13709794    ,5.93
Department of Health,Guys and St Thomas NHS Foundation Trust,19/02/2021,(81100) Dressings,(id:41949) Gastrointestinal Medicine & Surgery,NHS SUPPLY CHAIN (MAIDSTONE),id:13633898  ,148.46
Department of Health,Guys and St Thomas NHS Foundation Trust,05/02/2021,(81100) Dressings,(id:41949) Gastrointestinal Medicine & Surgery,JOHNSON & JOHNSON MEDICAL LTD,id:13637618 ,678.78
Department of Health,Guys and St Thomas NHS Foundation Trust,25/02/2021,(81100) Dressings,(id:41949) Gastrointestinal Medicine & Surgery,NHS SUPPLY CHAIN (MAIDSTONE),id:13641574  ,983.48
Department of Health,Guys and St Thomas NHS Foundation Trust,05/02/2021,(81200) Medical Surgical Supplies & Equipment,(id:41949) Gastrointestinal Medicine & Surgery,MEDTRONIC LTD,id:13631226    ,2527.2
Department of Health,Guys and St Thomas NHS Foundation Trust,05/02/2021,(81200) Medical Surgical Supplies & Equipment,(id:41949) Gastrointestinal Medicine & Surgery,JOHNSON & JOHNSON MEDICAL LTD,id:13652446   ,2617.92
Department of Health,Guys and St Thomas NHS Foundation Trust,25/02/2021,(81200) Medical Surgical Supplies & Equipment,(id:41949) Gastrointestinal Medicine & Surgery,MEDTRONIC LTD,id:13631291    ,2761.78
Department of Health,Guys and St Thomas NHS Foundation Trust,05/02/2021,(50522) Unqualified Nursing Staff,(id:2367419) Gastrointestinal Medicine & Surgery,MSI GROUP LTD,id:13727361    ,255.97
Department of Health,Guys and St Thomas NHS Foundation Trust,05/02/2021,(50522) Unqualified Nursing Staff,(id:2367419) Gastrointestinal Medicine & Surgery,GLOBE LOCUMS LTD,id:13727242 ,792.37
Department of Health,Guys and St Thomas NHS Foundation Trust,19/02/2021,(83400) Office Equipment,(id:2367419) Gastrointestinal Medicine & Surgery,NHS SUPPLY CHAIN (MAIDSTONE),id:13633898   ,220.02
Department of Health,Guys and St Thomas NHS Foundation Trust,19/02/2021,(81200) Medical Surgical Supplies & Equipment,(id:41942) Gastrointestinal Medicine & Surgery,NHS SUPPLY CHAIN (MAIDSTONE),id:13633898    ,621
Department of Health,Guys and St Thomas NHS Foundation Trust,05/02/2021,(84656) Establishment,(id:41942) Gastrointestinal Medicine & Surgery,DICT8 LIMITED,id:13724214   ,1578.24
Department of Health,Guys and St Thomas NHS Foundation Trust,19/02/2021,(83400) Office Equipment,(id:41917) Gastrointestinal Medicine & Surgery,NHS SUPPLY CHAIN (MAIDSTONE),id:13687498,285.92
Department of Health,Guys and St Thomas NHS Foundation Trust,25/02/2021,(81200) Medical Surgical Supplies & Equipment,(id:41917) Gastrointestinal Medicine & Surgery,NHS SUPPLY CHAIN (MAIDSTONE),id:13641574    ,11667.33
Department of Health,Guys and St Thomas NHS Foundation Trust,19/02/2021,(81200) Medical Surgical Supplies & Equipment,(id:41917) Gastrointestinal Medicine & Surgery,NHS SUPPLY CHAIN (MAIDSTONE),id:13633898    ,9520.89
Department of Health,Guys and St Thomas NHS Foundation Trust,19/02/2021,(81200) Medical Surgical Supplies & Equipment,(id:41917) Gastrointestinal Medicine & Surgery,BOSTON SCIENTIFIC LTD,id:13722819 ,3471.86
Department of Health,Guys and St Thomas NHS Foundation Trust,19/02/2021,(81200) Medical Surgical Supplies & Equipment,(id:41917) Gastrointestinal Medicine & Surgery,SYNECTICS MEDICAL LTD (SYNMED),id:13726234  ,2541.6
Department of Health,Guys and St Thomas NHS Foundation Trust,19/02/2021,(81200) Medical Surgical Supplies & Equipment,(id:41917) Gastrointestinal Medicine & Surgery,VWS (UK) LTD T/A VEOLIA WATER TECHNOLOGIES,id:13332154,-2142
Department of Health,Guys and St Thomas NHS Foundation Trust,05/02/2021,(81200) Medical Surgical Supplies & Equipment,(id:41917) Gastrointestinal Medicine & Surgery,BOSTON SCIENTIFIC LTD,id:13657613 ,512.24
Department of Health,Guys and St Thomas NHS Foundation Trust,25/02/2021,(81100) Dressings,(id:41917) Gastrointestinal Medicine & Surgery,NHS SUPPLY CHAIN (MAIDSTONE),id:13641574  ,149.47
Department of Health,Guys and St Thomas NHS Foundation Trust,19/02/2021,(50532) Unqualified Nursing Staff,(id:41917) Gastrointestinal Medicine & Surgery,CONTINENTAL NURSE LTD,id:13779696   ,962.47
Department of Health,Guys and St Thomas NHS Foundation Trust,12/02/2021,(81900) Lab Equipment Purchase,(id:111406) Pathology,VIAPATH ANALYTICS LLP,id:13649177 ,2475
Department of Health,Guys and St Thomas NHS Foundation Trust,09/02/2021,(81900) Lab Equipment Purchase,(id:111406) Pathology,VIAPATH ANALYTICS LLP,id:13742776 ,-268426.95
Department of Health,Guys and St Thomas NHS Foundation Trust,25/02/2021,(89600) Non-Healthcare from other NHS bodies,(id:42134) Pathology,NHS BLOOD AND TRANSPLANT,id:13793754,4504.83
Department of Health,Guys and St Thomas NHS Foundation Trust,19/02/2021,(89600) Non-Healthcare from other NHS bodies,(id:42134) Pathology,NHS BLOOD AND TRANSPLANT,id:13773674,256079.83
Department of Health,Guys and St Thomas NHS Foundation Trust,19/02/2021,(83610) IT Costs,(id:3821419) Cancer Strategy,APPLE RETAIL UK LTD,id:13761254,3310.8
Department of Health,Guys and St Thomas NHS Foundation Trust,19/02/2021,(89270) Establishment,(id:3821419) Cancer Strategy,WHITE BICYCLE LTD,id:13721595  ,3000
Department of Health,Guys and St Thomas NHS Foundation Trust,25/02/2021,(55100) Admin & Clerical,(id:3367419) Cancer Strategy,NHS NORTH AND EAST LONDON CSU,id:13027957  ,5904.07
Department of Health,Guys and St Thomas NHS Foundation Trust,25/02/2021,(81100) Dressings,(id:42423) Transplant Renal and Urology,KCI MEDICAL LTD,id:13796496  ,576.18
Department of Health,Guys and St Thomas NHS Foundation Trust,05/02/2021,(83500) Furniture & Fittings,(id:42419) Transplant Renal and Urology,TECHNIBLINDS LTD,id:13679334,583.8
Department of Health,Guys and St Thomas NHS Foundation Trust,19/02/2021,(83400) Office Equipment,(id:42419) Transplant Renal and Urology,NHS SUPPLY CHAIN (MAIDSTONE),id:13687498  ,105.23
Department of Health,Guys and St Thomas NHS Foundation Trust,19/02/2021,(81255) Medical Surgical Supplies & Equipment,(id:42419) Transplant Renal and Urology,NHS SUPPLY CHAIN (MAIDSTONE),id:13633898 ,5.64
Department of Health,Guys and St Thomas NHS Foundation Trust,12/02/2021,(81200) Medical Surgical Supplies & Equipment,(id:42450) Transplant Renal and Urology,STRYKER UK LTD,id:13747714,613.87
Department of Health,Guys and St Thomas NHS Foundation Trust,19/02/2021,(81200) Medical Surgical Supplies & Equipment,(id:42450) Transplant Renal and Urology,MEDTRONIC LTD,id:13706115 ,1027.22
Department of Health,Guys and St Thomas NHS Foundation Trust,25/02/2021,(83400) Office Equipment,(id:42447) Transplant Renal and Urology,NHS SUPPLY CHAIN (MAIDSTONE),id:13641574  ,232.83
Department of Health,Guys and St Thomas NHS Foundation Trust,25/02/2021,(81100) Dressings,(id:42447) Transplant Renal and Urology,NHS SUPPLY CHAIN (MAIDSTONE),id:13709794    ,52.17
Department of Health,Guys and St Thomas NHS Foundation Trust,05/02/2021,(50203) Consultants,(id:42447) Transplant Renal and Urology,KINGS COLLEGE LONDON:03529700,id:13684634 ,7109.52
Department of Health,Guys and St Thomas NHS Foundation Trust,05/02/2021,(81000) Surgical Appliances,(id:42447) Transplant Renal and Urology,TALAR MADE ORTHOTICS LTD,id:13719475   ,93
Department of Health,Guys and St Thomas NHS Foundation Trust,05/02/2021,(81100) Dressings,(id:42446) Transplant Renal and Urology,JOHNSON & JOHNSON MEDICAL LTD,id:13625789   ,556.6
Department of Health,Guys and St Thomas NHS Foundation Trust,05/02/2021,(81200) Medical Surgical Supplies & Equipment,(id:42446) Transplant Renal and Urology,RICHARD WOLF U K  LTD,id:13708034   ,1392
Department of Health,Guys and St Thomas NHS Foundation Trust,25/02/2021,(81200) Medical Surgical Supplies & Equipment,(id:42446) Transplant Renal and Urology,JOHNSON & JOHNSON MEDICAL LTD,id:13765823,37.13
Department of Health,Guys and St Thomas NHS Foundation Trust,25/02/2021,(81200) Medical Surgical Supplies & Equipment,(id:42446) Transplant Renal and Urology,AQUILANT LTD,id:13768174  ,578.76
Department of Health,Guys and St Thomas NHS Foundation Trust,19/02/2021,(83400) Office Equipment,(id:42446) Transplant Renal and Urology,NHS SUPPLY CHAIN (MAIDSTONE),id:13687498  ,193.94
Department of Health,Guys and St Thomas NHS Foundation Trust,25/02/2021,(81200) Medical Surgical Supplies & Equipment,(id:42444) Transplant Renal and Urology,COOK UK LTD,id:13733947   ,1146
Department of Health,Guys and St Thomas NHS Foundation Trust,19/02/2021,(82800) Bedding & Linen,(id:42443) Transplant Renal and Urology,NHS SUPPLY CHAIN (MAIDSTONE),id:13633898   ,127.77
Department of Health,Guys and St Thomas NHS Foundation Trust,25/02/2021,(82800) Bedding & Linen,(id:42443) Transplant Renal and Urology,NHS SUPPLY CHAIN (MAIDSTONE),id:13709794   ,104.86
Department of Health,Guys and St Thomas NHS Foundation Trust,19/02/2021,(81225) Medical Surgical Supplies & Equipment,(id:42443) Transplant Renal and Urology,NHS SUPPLY CHAIN (MAIDSTONE),id:13633898 ,45.02
Department of Health,Guys and St Thomas NHS Foundation Trust,19/02/2021,(81700) Lab Equipment Purchase,(id:42443) Transplant Renal and Urology,NHS SUPPLY CHAIN (MAIDSTONE),id:13633898 ,5.93
Department of Health,Guys and St Thomas NHS Foundation Trust,19/02/2021,(81255) Medical Surgical Supplies & Equipment,(id:42443) Transplant Renal and Urology,NHS SUPPLY CHAIN (MAIDSTONE),id:13687498 ,2.16
Department of Health,Guys and St Thomas NHS Foundation Trust,25/02/2021,(81255) Medical Surgical Supplies & Equipment,(id:42443) Transplant Renal and Urology,NHS SUPPLY CHAIN (MAIDSTONE),id:13641574 ,1.56
Department of Health,Guys and St Thomas NHS Foundation Trust,19/02/2021,(82000) Provisions & Kitchens,(id:42442) Transplant Renal and Urology,NHS SUPPLY CHAIN (MAIDSTONE),id:13633898  ,263.28
Department of Health,Guys and St Thomas NHS Foundation Trust,25/02/2021,(81100) Dressings,(id:42442) Transplant Renal and Urology,NHS SUPPLY CHAIN (MAIDSTONE),id:13709794    ,174.31
Department of Health,Guys and St Thomas NHS Foundation Trust,25/02/2021,(81100) Dressings,(id:42442) Transplant Renal and Urology,NHS SUPPLY CHAIN (MAIDSTONE),id:13641574    ,41.03
Department of Health,Guys and St Thomas NHS Foundation Trust,25/02/2021,(81700) Lab Equipment Purchase,(id:42442) Transplant Renal and Urology,NHS SUPPLY CHAIN (MAIDSTONE),id:13709794 ,68.43
Department of Health,Guys and St Thomas NHS Foundation Trust,19/02/2021,(81200) Medical Surgical Supplies & Equipment,(id:42439) Transplant Renal and Urology,PEAKS AND DALES MEDICAL,id:13718617 ,1146
Department of Health,Guys and St Thomas NHS Foundation Trust,19/02/2021,(81200) Medical Surgical Supplies & Equipment,(id:42439) Transplant Renal and Urology,INTUITIVE SURGICAL LTD,id:13709454  ,74797.2
Department of Health,Guys and St Thomas NHS Foundation Trust,19/02/2021,(81200) Medical Surgical Supplies & Equipment,(id:42439) Transplant Renal and Urology,INTUITIVE SURGICAL LTD,id:13680395  ,65220
Department of Health,Guys and St Thomas NHS Foundation Trust,19/02/2021,(82000) Provisions & Kitchens,(id:42435) Transplant Renal and Urology,NHS SUPPLY CHAIN (MAIDSTONE),id:13633898  ,261.18
Department of Health,Guys and St Thomas NHS Foundation Trust,19/02/2021,(82800) Bedding & Linen,(id:42435) Transplant Renal and Urology,NHS SUPPLY CHAIN (MAIDSTONE),id:13687498   ,71.22
Department of Health,Guys and St Thomas NHS Foundation Trust,25/02/2021,(82800) Bedding & Linen,(id:42435) Transplant Renal and Urology,NHS SUPPLY CHAIN (MAIDSTONE),id:13709794   ,186.18
Department of Health,Guys and St Thomas NHS Foundation Trust,25/02/2021,(82800) Bedding & Linen,(id:42435) Transplant Renal and Urology,NHS SUPPLY CHAIN (MAIDSTONE),id:13641574   ,311.36
Department of Health,Guys and St Thomas NHS Foundation Trust,19/02/2021,(81200) Medical Surgical Supplies & Equipment,(id:42435) Transplant Renal and Urology,NHS SUPPLY CHAIN (MAIDSTONE),id:13687498 ,804.87
Department of Health,Guys and St Thomas NHS Foundation Trust,19/02/2021,(81255) Medical Surgical Supplies & Equipment,(id:42435) Transplant Renal and Urology,NHS SUPPLY CHAIN (MAIDSTONE),id:13687498 ,6
Department of Health,Guys and St Thomas NHS Foundation Trust,19/02/2021,(81255) Medical Surgical Supplies & Equipment,(id:42435) Transplant Renal and Urology,NHS SUPPLY CHAIN (MAIDSTONE),id:13633898 ,1.56
Department of Health,Guys and St Thomas NHS Foundation Trust,19/02/2021,(83400) Office Equipment,(id:42435) Transplant Renal and Urology,NHS SUPPLY CHAIN (MAIDSTONE),id:13687498  ,118.92
Department of Health,Guys and St Thomas NHS Foundation Trust,25/02/2021,(81700) Lab Equipment Purchase,(id:42435) Transplant Renal and Urology,NHS SUPPLY CHAIN (MAIDSTONE),id:13709794 ,48.22
Department of Health,Guys and St Thomas NHS Foundation Trust,12/02/2021,(81200) Medical Surgical Supplies & Equipment,(id:42433) Transplant Renal and Urology,TELEFLEX MEDICAL,id:13664000   ,1401.3
Department of Health,Guys and St Thomas NHS Foundation Trust,19/02/2021,(81200) Medical Surgical Supplies & Equipment,(id:42433) Transplant Renal and Urology,BAXTER HEALTHCARE LTD,id:13742733   ,3396.38
Department of Health,Guys and St Thomas NHS Foundation Trust,19/02/2021,(81200) Medical Surgical Supplies & Equipment,(id:42430) Transplant Renal and Urology,NATIONAL CAR PARKS LTD,id:13778027  ,26365
Department of Health,Guys and St Thomas NHS Foundation Trust,25/02/2021,(81100) Dressings,(id:42428) Transplant Renal and Urology,NHS SUPPLY CHAIN (MAIDSTONE),id:13641574    ,22.58
Department of Health,Guys and St Thomas NHS Foundation Trust,25/02/2021,(81200) Medical Surgical Supplies & Equipment,(id:42428) Transplant Renal and Urology,NHS SUPPLY CHAIN (MAIDSTONE),id:13709794 ,79.31
Department of Health,Guys and St Thomas NHS Foundation Trust,25/02/2021,(81200) Medical Surgical Supplies & Equipment,(id:42428) Transplant Renal and Urology,NHS SUPPLY CHAIN (MAIDSTONE),id:13641574 ,380.01
Department of Health,Guys and St Thomas NHS Foundation Trust,25/02/2021,(81700) Lab Equipment Purchase,(id:42428) Transplant Renal and Urology,NHS SUPPLY CHAIN (MAIDSTONE),id:13709794 ,135.47
Department of Health,Guys and St Thomas NHS Foundation Trust,19/02/2021,(81200) Medical Surgical Supplies & Equipment,(id:42420) Transplant Renal and Urology,NXSTAGE MEDICAL UK LIMITED,id:13433838   ,2463.94
Department of Health,Guys and St Thomas NHS Foundation Trust,05/02/2021,(81200) Medical Surgical Supplies & Equipment,(id:42420) Transplant Renal and Urology,FRESENIUS MEDICAL CARE UK LTD,id:13715215,1382.4
Department of Health,Guys and St Thomas NHS Foundation Trust,05/02/2021,(81200) Medical Surgical Supplies & Equipment,(id:42420) Transplant Renal and Urology,FRESENIUS MEDICAL CARE UK LTD,id:13722015,2211.84
Department of Health,Guys and St Thomas NHS Foundation Trust,12/02/2021,(80150) Drug Costs,(id:42420) Transplant Renal and Urology,BAXTER HEALTHCARE LTD,id:13703175,192
Department of Health,Guys and St Thomas NHS Foundation Trust,25/02/2021,(80150) Drug Costs,(id:42420) Transplant Renal and Urology,NHS SUPPLY CHAIN (MAIDSTONE),id:13641574   ,98.4
Department of Health,Guys and St Thomas NHS Foundation Trust,25/02/2021,(83400) Office Equipment,(id:42420) Transplant Renal and Urology,NHS SUPPLY CHAIN (MAIDSTONE),id:13709794  ,647.03
Department of Health,Guys and St Thomas NHS Foundation Trust,25/02/2021,(82800) Bedding & Linen,(id:42420) Transplant Renal and Urology,NHS SUPPLY CHAIN (MAIDSTONE),id:13709794   ,328.68
Department of Health,Guys and St Thomas NHS Foundation Trust,19/02/2021,(81700) Lab Equipment Purchase,(id:42420) Transplant Renal and Urology,NHS SUPPLY CHAIN (MAIDSTONE),id:13687498 ,1053.6
Department of Health,Guys and St Thomas NHS Foundation Trust,19/02/2021,(81200) Medical Surgical Supplies & Equipment,(id:42438) Transplant Renal and Urology,NHS SUPPLY CHAIN (MAIDSTONE),id:13687498 ,183.82
Department of Health,Guys and St Thomas NHS Foundation Trust,12/02/2021,(86300) Healthcare from non-NHS bodies,(id:42438) Transplant Renal and Urology,DIAVERUM UK LTD,id:13744294 ,72146.59
Department of Health,Guys and St Thomas NHS Foundation Trust,19/02/2021,(82700) Uniforms & Clothing,(id:42438) Transplant Renal and Urology,NHS SUPPLY CHAIN (MAIDSTONE),id:13687498    ,9.5
Department of Health,Guys and St Thomas NHS Foundation Trust,19/02/2021,(86300) Healthcare from non-NHS bodies,(id:42432) Transplant Renal and Urology,DIAVERUM UK LTD,id:13744154 ,58252.18
Department of Health,Guys and St Thomas NHS Foundation Trust,19/02/2021,(86300) Healthcare from non-NHS bodies,(id:42424) Transplant Renal and Urology,DIAVERUM UK LTD,id:13778354 ,27724.23
Department of Health,Guys and St Thomas NHS Foundation Trust,19/02/2021,(86300) Healthcare from non-NHS bodies,(id:42424) Transplant Renal and Urology,DIAVERUM UK LTD,id:13662758 ,54917.46
Department of Health,Guys and St Thomas NHS Foundation Trust,19/02/2021,(81200) Medical Surgical Supplies & Equipment,(id:42422) Transplant Renal and Urology,NXSTAGE MEDICAL UK LIMITED,id:13756074   ,818.4
Department of Health,Guys and St Thomas NHS Foundation Trust,19/02/2021,(81100) Dressings,(id:42422) Transplant Renal and Urology,NHS SUPPLY CHAIN (MAIDSTONE),id:13633898    ,389.22
Department of Health,Guys and St Thomas NHS Foundation Trust,19/02/2021,(82800) Bedding & Linen,(id:42485) Surgery,NHS SUPPLY CHAIN (MAIDSTONE),id:13633898    ,136.33
Department of Health,Guys and St Thomas NHS Foundation Trust,05/02/2021,(81000) Surgical Appliances,(id:42485) Surgery,TALAR MADE ORTHOTICS LTD,id:13722054    ,35.28
Department of Health,Guys and St Thomas NHS Foundation Trust,19/02/2021,(81200) Medical Surgical Supplies & Equipment,(id:42485) Surgery,NHS SUPPLY CHAIN (MAIDSTONE),id:13633898  ,313.3
Department of Health,Guys and St Thomas NHS Foundation Trust,05/02/2021,(81200) Medical Surgical Supplies & Equipment,(id:42484) Surgery,MOTIVA IMPLANTS UK LTD,id:13681200   ,986.02
Department of Health,Guys and St Thomas NHS Foundation Trust,05/02/2021,(81100) Dressings,(id:42484) Surgery,SMITH & NEPHEW ORTHOPAEDICS LTD.,id:13726098 ,641.04
Department of Health,Guys and St Thomas NHS Foundation Trust,05/02/2021,(81200) Medical Surgical Supplies & Equipment,(id:42467) Surgery,JOHNSON & JOHNSON MEDICAL LTD,id:13625787 ,512.71
Department of Health,Guys and St Thomas NHS Foundation Trust,05/02/2021,(81200) Medical Surgical Supplies & Equipment,(id:42467) Surgery,T J SMITH & NEPHEW LTD,id:13725974   ,2313.3
