Department family,Entity,Date of payment,Expense type,Expense area,Supplier,Transaction number,Amount in Sterling
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(83400) Office Equipment,(id:42265) Haematology,NHS SUPPLY CHAIN (MAIDSTONE),id:12976194    ,83.35
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(81225) Medical Surgical Supplies & Equipment,(id:42265) Haematology,NHS SUPPLY CHAIN (MAIDSTONE),id:12997837   ,10.08
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(81700) Lab Equipment Purchase,(id:42265) Haematology,NHS SUPPLY CHAIN (MAIDSTONE),id:13003941   ,65.72
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(81700) Lab Equipment Purchase,(id:42265) Haematology,NHS SUPPLY CHAIN (MAIDSTONE),id:12997837   ,78.89
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(83400) Office Equipment,(id:42272) Haematology,NHS SUPPLY CHAIN (MAIDSTONE),id:12945257    ,609.5
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:42272) Haematology,NHS SUPPLY CHAIN (MAIDSTONE),id:12945257   ,1644.36
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(81000) Surgical Appliances,(id:42272) Haematology,MEDI UK LTD,id:13012996   ,52.03
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81700) Lab Equipment Purchase,(id:42272) Haematology,NHS SUPPLY CHAIN (MAIDSTONE),id:12957217   ,39.6
Department of Health,Guys and St Thomas NHS Foundation Trust,28/05/2020,(81900) Lab Equipment Purchase,(id:42272) Haematology,VIAPATH ANALYTICS LLP,id:12671992,2213.59
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(80205) Drug Costs,(id:42273) Haematology,HEALTHCARE AT HOME LTD,id:13011374 ,9125
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(80205) Drug Costs,(id:42273) Haematology,HEALTHCARE AT HOME LTD,id:13011494 ,4925
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(80205) Drug Costs,(id:42273) Haematology,BAXALTA UK LTD,id:13011655    ,5435.2
Department of Health,Guys and St Thomas NHS Foundation Trust,15/05/2020,(80205) Drug Costs,(id:42273) Haematology,HEALTHCARE AT HOME LTD,id:13025453 ,2125
Department of Health,Guys and St Thomas NHS Foundation Trust,15/05/2020,(80205) Drug Costs,(id:42273) Haematology,HEALTHCARE AT HOME LTD,id:13025415 ,6425
Department of Health,Guys and St Thomas NHS Foundation Trust,28/05/2020,(80205) Drug Costs,(id:42273) Haematology,SHIRE PHARMACEUTICALS LTD,id:13046136   ,2797.6
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(89200) Other - Patient travel,(id:42130) Haematology,F A ALBIN & SONS,id:13001882,860
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(82800) Bedding & Linen,(id:42130) Haematology,NHS SUPPLY CHAIN (MAIDSTONE),id:13003941,200.76
Department of Health,Guys and St Thomas NHS Foundation Trust,15/05/2020,(54052) Technical Officers,(id:42128) Haematology,TOTAL ASSIST RECRUITMENT LTD,id:13031199  ,768.42
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(54052) Technical Officers,(id:42128) Haematology,TOTAL ASSIST RECRUITMENT LTD,id:13043920  ,700.12
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(54052) Technical Officers,(id:42128) Haematology,TOTAL ASSIST RECRUITMENT LTD,id:13018114  ,956.26
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(81700) Lab Equipment Purchase,(id:42128) Haematology,CHEMSOL LIMITED,id:12953319 ,1321.74
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(81700) Lab Equipment Purchase,(id:42128) Haematology,CHEMSOL LIMITED,id:12943375 ,755.58
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81700) Lab Equipment Purchase,(id:42128) Haematology,NHS SUPPLY CHAIN (MAIDSTONE),id:12957217   ,136.2
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(84500) Establishment,(id:42258) Oncology Services,CDP  PRINT MANAGEMENT,id:13040917   ,9.3
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(83400) Office Equipment,(id:42258) Oncology Services,NHS SUPPLY CHAIN (MAIDSTONE),id:12957217   ,35.73
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(82800) Bedding & Linen,(id:42258) Oncology Services,NHS SUPPLY CHAIN (MAIDSTONE),id:12984936    ,572.11
Department of Health,Guys and St Thomas NHS Foundation Trust,25/05/2020,(52062) Radiographers,(id:42258) Oncology Services,PRICEWATERHOUSECOOPERS LLP,id:13047794   ,2275.62
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(81100) Dressings,(id:42258) Oncology Services,NHS SUPPLY CHAIN (MAIDSTONE),id:12976194,625
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(81700) Lab Equipment Purchase,(id:42258) Oncology Services,NHS SUPPLY CHAIN (MAIDSTONE),id:12976194  ,5.93
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81700) Lab Equipment Purchase,(id:42258) Oncology Services,NHS SUPPLY CHAIN (MAIDSTONE),id:12957217  ,11.86
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(81000) Surgical Appliances,(id:42257) Oncology Services,MEDI UK LTD,id:13032770  ,90.02
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(83610) IT Costs,(id:42257) Oncology Services,CCS MEDIA LTD,id:12996152 ,1008
Department of Health,Guys and St Thomas NHS Foundation Trust,15/05/2020,(81700) Lab Equipment Purchase,(id:42261) Oncology Services,EXACT SCIENCES UK LTD,id:13020781    ,2700
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(83400) Office Equipment,(id:42261) Oncology Services,ICOM TELECOMMUNICATIONS LTD,id:12976676    ,748.06
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(89120) Other - Legal fees,(id:42261) Oncology Services,BEACHCROFT LLP OFFICE ACCOUNT,id:13039122,3032.9
Department of Health,Guys and St Thomas NHS Foundation Trust,15/05/2020,(81000) Surgical Appliances,(id:42261) Oncology Services,TALAR MADE ORTHOTICS LTD,id:13020839    ,252
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(82600) Uniforms & Clothing,(id:42260) Oncology Services,NHS SUPPLY CHAIN (MAIDSTONE),id:12997837,611.9
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(82800) Bedding & Linen,(id:42260) Oncology Services,NHS SUPPLY CHAIN (MAIDSTONE),id:12984936    ,176.1
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(82800) Bedding & Linen,(id:42260) Oncology Services,NHS SUPPLY CHAIN (MAIDSTONE),id:12945257    ,10.56
Department of Health,Guys and St Thomas NHS Foundation Trust,28/05/2020,(55632) Maintenance Staff,(id:42260) Oncology Services,PAXMAN COOLERS LTD,id:12943648  ,2684.4
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(83400) Office Equipment,(id:42260) Oncology Services,NHS SUPPLY CHAIN (MAIDSTONE),id:12945257   ,407.38
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81700) Lab Equipment Purchase,(id:42260) Oncology Services,NHS SUPPLY CHAIN (MAIDSTONE),id:12945257  ,108.19
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(82600) Uniforms & Clothing,(id:42259) Oncology Services,NHS SUPPLY CHAIN (MAIDSTONE),id:12945257,18.53
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(81100) Dressings,(id:42259) Oncology Services,NHS SUPPLY CHAIN (MAIDSTONE),id:12976194,37.24
Department of Health,Guys and St Thomas NHS Foundation Trust,28/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:42259) Oncology Services,BARD LTD,id:13007424  ,765
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(83410) Office Equipment,(id:42259) Oncology Services,RICOH UK LTD,id:13037336    ,161.35
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(83400) Office Equipment,(id:42259) Oncology Services,NHS SUPPLY CHAIN (MAIDSTONE),id:12997837   ,36.34
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(83400) Office Equipment,(id:42259) Oncology Services,NHS SUPPLY CHAIN (MAIDSTONE),id:13003941   ,212.95
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(81255) Medical Surgical Supplies & Equipment,(id:42259) Oncology Services,NHS SUPPLY CHAIN (MAIDSTONE),id:13003941  ,4.32
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81700) Lab Equipment Purchase,(id:243406) Surgical Oncology,NHS SUPPLY CHAIN (MAIDSTONE),id:12984936 ,18.63
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(81100) Dressings,(id:243406) Surgical Oncology,NHS SUPPLY CHAIN (MAIDSTONE),id:12997837    ,13.21
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81100) Dressings,(id:243406) Surgical Oncology,NHS SUPPLY CHAIN (MAIDSTONE),id:12984936    ,39.25
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(82800) Bedding & Linen,(id:243406) Surgical Oncology,NHS SUPPLY CHAIN (MAIDSTONE),id:12984936   ,10.01
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81225) Medical Surgical Supplies & Equipment,(id:243406) Surgical Oncology,NHS SUPPLY CHAIN (MAIDSTONE),id:12957217 ,20.16
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(82000) Provisions & Kitchens,(id:243406) Surgical Oncology,NHS SUPPLY CHAIN (MAIDSTONE),id:12976194  ,136.74
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(82600) Uniforms & Clothing,(id:243406) Surgical Oncology,NHS SUPPLY CHAIN (MAIDSTONE),id:13003941    ,60.23
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:42474) Surgical Oncology,NHS SUPPLY CHAIN (MAIDSTONE),id:12957217  ,52.2
Department of Health,Guys and St Thomas NHS Foundation Trust,15/05/2020,(83400) Office Equipment,(id:42474) Surgical Oncology,OFFICE DEPOT UK LTD,id:13008361  ,31.61
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(83400) Office Equipment,(id:42474) Surgical Oncology,NHS SUPPLY CHAIN (MAIDSTONE),id:12945257   ,144.08
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:42473) Surgical Oncology,LINDSAY SURGICAL SUPPLIES LIMITED,id:12890158  ,2360.4
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:42473) Surgical Oncology,NHS SUPPLY CHAIN (MAIDSTONE),id:12997837  ,220.25
Department of Health,Guys and St Thomas NHS Foundation Trust,28/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:42473) Surgical Oncology,MERCIAN SURGICAL SUPPLY CO LTD,id:13044554,696
Department of Health,Guys and St Thomas NHS Foundation Trust,28/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:42473) Surgical Oncology,MERCIAN SURGICAL SUPPLY CO LTD,id:13043970,862.2
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(83410) Office Equipment,(id:42475) Surgical Oncology,RICOH UK LTD,id:13037413    ,661.57
Department of Health,Guys and St Thomas NHS Foundation Trust,28/05/2020,(81215) Medical Surgical Supplies & Equipment,(id:42475) Surgical Oncology,ADVANCED BIONICS SARL (AND UK LTD),id:13053860 ,6840
Department of Health,Guys and St Thomas NHS Foundation Trust,28/05/2020,(81215) Medical Surgical Supplies & Equipment,(id:42475) Surgical Oncology,ADVANCED BIONICS SARL (AND UK LTD),id:13053881 ,7800
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(81225) Medical Surgical Supplies & Equipment,(id:42475) Surgical Oncology,NHS SUPPLY CHAIN (MAIDSTONE),id:12976194  ,5717.38
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(82800) Bedding & Linen,(id:42286) Surgical Oncology,NHS SUPPLY CHAIN (MAIDSTONE),id:12945257    ,55.2
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:42286) Surgical Oncology,FREELANCE SURGICAL PROMOTIONS,id:12984955 ,679.2
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(82000) Provisions & Kitchens,(id:42284) Surgical Oncology,NHS SUPPLY CHAIN (MAIDSTONE),id:12984936   ,8.4
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(82800) Bedding & Linen,(id:42284) Surgical Oncology,NHS SUPPLY CHAIN (MAIDSTONE),id:12945257    ,71.56
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(83400) Office Equipment,(id:42284) Surgical Oncology,NHS SUPPLY CHAIN (MAIDSTONE),id:12997837   ,65.66
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(81700) Lab Equipment Purchase,(id:42284) Surgical Oncology,NHS SUPPLY CHAIN (MAIDSTONE),id:13003941  ,44.33
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(81255) Medical Surgical Supplies & Equipment,(id:42284) Surgical Oncology,NHS SUPPLY CHAIN (MAIDSTONE),id:13003941  ,3.12
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(81255) Medical Surgical Supplies & Equipment,(id:42284) Surgical Oncology,NHS SUPPLY CHAIN (MAIDSTONE),id:12976194  ,4.8
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81255) Medical Surgical Supplies & Equipment,(id:42284) Surgical Oncology,NHS SUPPLY CHAIN (MAIDSTONE),id:12945257  ,9.48
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(83500) Furniture & Fittings,(id:42470) Surgical Oncology,TECHNIBLINDS LTD,id:13004354 ,834
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(82800) Bedding & Linen,(id:42470) Surgical Oncology,NHS SUPPLY CHAIN (MAIDSTONE),id:12976194    ,117.27
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(84500) Establishment,(id:42470) Surgical Oncology,CDP  PRINT MANAGEMENT,id:13041994   ,74.82
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(81100) Dressings,(id:42470) Surgical Oncology,NHS SUPPLY CHAIN (MAIDSTONE),id:13003941,272.15
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:42470) Surgical Oncology,KAPITEX HEALTHCARE LTD,id:13006694   ,541.93
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:42470) Surgical Oncology,NHS SUPPLY CHAIN (MAIDSTONE),id:12976194  ,2690.82
Department of Health,Guys and St Thomas NHS Foundation Trust,15/05/2020,(50552) Qualified Nursing Staff,(id:42470) Surgical Oncology,MSI GROUP LTD,id:13030933 ,349.41
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(83400) Office Equipment,(id:42470) Surgical Oncology,NHS SUPPLY CHAIN (MAIDSTONE),id:12945257   ,229.87
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(81225) Medical Surgical Supplies & Equipment,(id:42470) Surgical Oncology,NHS SUPPLY CHAIN (MAIDSTONE),id:13003941  ,20.16
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(84500) Establishment,(id:42232) Integrated Therapies and Medicine,CDP  PRINT MANAGEMENT,id:13040918  ,40.2
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(84500) Establishment,(id:42232) Integrated Therapies and Medicine,CDP  PRINT MANAGEMENT,id:13040917  ,28.8
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:42232) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12976194 ,174
Department of Health,Guys and St Thomas NHS Foundation Trust,15/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:42231) Integrated Therapies and Medicine,INVACARE LTD,id:13032734  ,1761.6
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(84500) Establishment,(id:42240) Integrated Therapies and Medicine,CDP  PRINT MANAGEMENT,id:13041994  ,33.8
Department of Health,Guys and St Thomas NHS Foundation Trust,25/05/2020,(51872) Physiotherapists,(id:42240) Integrated Therapies and Medicine,PRICEWATERHOUSECOOPERS LLP,id:13047754    ,1042.64
Department of Health,Guys and St Thomas NHS Foundation Trust,25/05/2020,(51872) Physiotherapists,(id:42240) Integrated Therapies and Medicine,PRICEWATERHOUSECOOPERS LLP,id:13047774    ,1061.68
Department of Health,Guys and St Thomas NHS Foundation Trust,15/05/2020,(81100) Dressings,(id:42239) Integrated Therapies and Medicine,PERFORMANCE HEALTH INTERNATIONAL LTD (PATTERSON),id:12913985    ,36.06
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(83400) Office Equipment,(id:42239) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:13003941  ,1.8
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81100) Dressings,(id:590530) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12984936   ,25.52
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:590530) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12945257,27.84
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(82600) Uniforms & Clothing,(id:590490) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12976194   ,14.34
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(81100) Dressings,(id:42243) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:13003941    ,311.55
Department of Health,Guys and St Thomas NHS Foundation Trust,27/05/2020,(53072) Speech Therapists,(id:42248) Integrated Therapies and Medicine,PRICEWATERHOUSECOOPERS LLP,id:13050033   ,2808.65
Department of Health,Guys and St Thomas NHS Foundation Trust,27/05/2020,(53062) Speech Therapists,(id:42248) Integrated Therapies and Medicine,PRICEWATERHOUSECOOPERS LLP,id:13050033   ,2407.66
Department of Health,Guys and St Thomas NHS Foundation Trust,25/05/2020,(53062) Speech Therapists,(id:42248) Integrated Therapies and Medicine,PRICEWATERHOUSECOOPERS LLP,id:13047774   ,3549.28
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:590499) Integrated Therapies and Medicine,INVACARE LTD,id:12984334 ,668.4
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:590499) Integrated Therapies and Medicine,INVACARE LTD,id:12984326 ,3002.4
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:590499) Integrated Therapies and Medicine,INVACARE LTD,id:13007458 ,521.1
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:590499) Integrated Therapies and Medicine,INVACARE LTD,id:13007548 ,1496.4
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:590499) Integrated Therapies and Medicine,SUNRISE MEDICAL LIMITED,id:12941778,1664.4
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:590499) Integrated Therapies and Medicine,INVACARE LTD,id:13007439 ,2509.2
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81225) Medical Surgical Supplies & Equipment,(id:590499) Integrated Therapies and Medicine,SUNRISE MEDICAL LIMITED,id:12990193,509.76
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81225) Medical Surgical Supplies & Equipment,(id:590499) Integrated Therapies and Medicine,GERALD SIMONDS HEALTHCARE LTD,id:12993902    ,3474
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(81225) Medical Surgical Supplies & Equipment,(id:590499) Integrated Therapies and Medicine,MANUTAN UK,id:13008089   ,1279.2
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(81225) Medical Surgical Supplies & Equipment,(id:590498) Integrated Therapies and Medicine,JANE SAUNDERS & MANNING LTD,id:12990794 ,699.13
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(81225) Medical Surgical Supplies & Equipment,(id:590498) Integrated Therapies and Medicine,JANE SAUNDERS & MANNING LTD,id:12990768 ,781.96
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(81225) Medical Surgical Supplies & Equipment,(id:590498) Integrated Therapies and Medicine,JANE SAUNDERS & MANNING LTD,id:12990773 ,549.72
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:590496) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12945257,18
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81100) Dressings,(id:590496) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12945257   ,88.77
Department of Health,Guys and St Thomas NHS Foundation Trust,15/05/2020,(81225) Medical Surgical Supplies & Equipment,(id:42242) Integrated Therapies and Medicine,BROWNS MORE HAIR NOW LIMITED,id:12951890 ,3926.99
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(83500) Furniture & Fittings,(id:42242) Integrated Therapies and Medicine,HOSPITAL METALCRAFT LTD,id:13037925   ,1240.85
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81100) Dressings,(id:1042419) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12984936  ,486.48
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:1042419) Integrated Therapies and Medicine,STANLEY SECURITY SOLUTIONS LTD,id:13001695  ,932.83
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(83400) Office Equipment,(id:1042419) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:13003941,11.82
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81400) Medical Surgical Supplies & Equipment,(id:1042419) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12984936    ,142.8
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(50552) Qualified Nursing Staff,(id:41848) Integrated Therapies and Medicine,CARE PROVIDERS HEALTHCARE,id:13006189   ,755.25
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81700) Lab Equipment Purchase,(id:2182419) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12945257    ,105.23
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(81700) Lab Equipment Purchase,(id:2182419) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12976194    ,141.12
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(82600) Uniforms & Clothing,(id:2182419) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12957217  ,18.54
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(81255) Medical Surgical Supplies & Equipment,(id:2182419) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:13003941    ,68.33
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(82800) Bedding & Linen,(id:2182419) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12945257 ,145.06
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(50552) Qualified Nursing Staff,(id:2182419) Integrated Therapies and Medicine,MSI GROUP LTD,id:13043611   ,339.44
Department of Health,Guys and St Thomas NHS Foundation Trust,28/05/2020,(50552) Qualified Nursing Staff,(id:2182419) Integrated Therapies and Medicine,CARE PROVIDERS HEALTHCARE,id:13053525 ,897.3
Department of Health,Guys and St Thomas NHS Foundation Trust,28/05/2020,(50552) Qualified Nursing Staff,(id:2182419) Integrated Therapies and Medicine,GLOBE LOCUMS LTD,id:13053480,347.84
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(81100) Dressings,(id:2182419) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12997837  ,271.98
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(82000) Provisions & Kitchens,(id:2182419) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12976194,91.47
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(82000) Provisions & Kitchens,(id:2182419) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:13003941,175.3
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(83400) Office Equipment,(id:2182419) Integrated Therapies and Medicine,NHS SUPPLY CHAIN (MAIDSTONE),id:12984936,446.59
