Date,Expense Type,,Supplier,Transaction,amount
31/01/2021,Clinical&Medical-Independent Sector,,ELYSIUM HEALTHCARE LTD,35269525,"33,183.02"
31/01/2021,Clinical&Medical-Independent Sector,,ELYSIUM HEALTHCARE LTD,35343942,"33,183.02"
31/01/2021,Clinical&Medical-Independent Sector,LEARNING DIFFICULTIES,ELYSIUM HEALTHCARE LTD,35444065,"33,183.02"
31/01/2021,Clinical&Medical-Independent Sector,LEARNING DIFFICULTIES,ELYSIUM HEALTHCARE LTD,35269532,"40,995.02"
31/01/2021,Clinical&Medical-Independent Sector,LEARNING DIFFICULTIES,ELYSIUM HEALTHCARE LTD,35269543,"40,995.02"
31/01/2021,Clinical&Medical-Independent Sector,LEARNING DIFFICULTIES,ELYSIUM HEALTHCARE LTD,35343953,"40,995.02"
31/01/2021,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,EVERGLADE MEDICAL PARCTICE,35419151,"60,918.35"
31/01/2021,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,EVERGREEN PCC,35257350,"137,919.39"
31/01/2021,C&M-APMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,FEDERATED 4 HEALTH LTD,35236336,"75,137.50"
31/01/2021,C&M-APMS LES Caretaking Payments,PRC DELEGATED CO-COMMISSIONING,FEDERATED 4 HEALTH LTD,35236336,"153,730.60"
31/01/2021,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,FERNBANK NURSING HOME,35250463,"31,191.41"
31/01/2021,Clinical&Medical-Independent Sector,CHILDREN'S CONTINUING CARE,FOCUSED HEALTHCARE LTD,35269573,"44,444.40"
31/01/2021,C&M-PMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,FOREST GROUP PRACTICE,35257358,"89,410.41"
31/01/2021,C&M-PMS PCO Locum Adop/Pat/Mat,PRC DELEGATED CO-COMMISSIONING,FOREST GROUP PRACTICE,35257358,"108,360.53"
31/01/2021,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,FOREST GROUP PRACTICE,35257358,"636,077.97"
31/01/2021,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,GANESH & PARTNER,35257409,"45,254.11"
31/01/2021,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,GILLAN HOUSE SURGERY,35437324,"72,885.99"
31/01/2021,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,GOODINGE GROUP PRACTICE,35422537,"96,135.24"
31/01/2021,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,GREEN CEDARS GP SURGERY,35437325,"40,575.34"
31/01/2021,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,GREEN LANES SURGERY,35236329,"112,572.72"
31/01/2021,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,HAMPSTEAD GROUP PRACTICE,35257321,"129,483.60"
31/01/2021,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,HAVERGAL VILLAS,35257362,"45,138.99"
31/01/2021,Clinical&Medical-Independent Sector,COMMISSIONING SCHEMES,HAVERSTOCK HEALTHCARE LTD,35294276,"90,816.00"
31/01/2021,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,HIGHGATE GROUP PRACTICE,35236315,"110,038.87"
31/01/2021,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,HIGHLANDS PRACTICE,35437326,"76,469.40"
31/01/2021,National Insurance < 1 yr-NI-EES,BALANCE SHEET,HMRC,35293802,"180,064.26"
31/01/2021,National Insurance < 1 yr-NI- ERS,BALANCE SHEET,HMRC,35293802,"275,724.95"
31/01/2021,Income tax <1Yr,BALANCE SHEET,HMRC,35293802,"405,260.23"
31/01/2021,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,HOLBORN MEDICAL CENTRE,35235452,"89,220.02"
31/01/2021,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,HORNSEY WOOD GREEN GP,35437340,"38,813.32"
31/01/2021,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,ISAACSON & PARTNERS,35437364,"37,399.77"
31/01/2021,Clinical&Medical-Clinical Other,CARERS,ISLINGTON AGE CONCERN,35164767,"93,091.59"
31/01/2021,C&M-APMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,ISLINGTON GP GROUP LTD (THE),35434841,"30,056.17"
31/01/2021,C&M-GMS PCN DES PCN support,LOCAL ENHANCED SERVICES,ISLINGTON GP GROUP LTD (THE),35434841,"31,088.07"
31/01/2021,Clinical&Medical-Independent Sector,PRIMARY CARE DEVELOPMENT,ISLINGTON GP GROUP LTD (THE),35303518,"121,588.67"
31/01/2021,Training Expenses,QUALITY ASSURANCE,ISLINGTON GP GROUP LTD (THE),35425048,"140,000.00"
31/01/2021,Clinical&Medical-Independent Sector,HOSPICES,ISLINGTON GP GROUP LTD (THE),35434837,"198,332.50"
31/01/2021,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,JAI MEDICAL CENTRE,35437367,"63,692.28"
31/01/2021,C&M-PMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,JAMES WIGG PRACTICE,35257323,"71,603.94"
31/01/2021,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,JAMES WIGG PRACTICE,35257323,"179,196.77"
31/01/2021,Cont Care-Funded Nursing Care Allow,FUNDED NURSING CARE,JEWISH CARE,35430687,"30,031.05"
31/01/2021,Cont Care-Funded Nursing Care Allow,FUNDED NURSING CARE,JEWISH CARE,35430630,"36,836.15"
31/01/2021,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,JS MEDICAL PRACTICE,35257364,"94,418.02"
31/01/2021,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,KEATS GROUP PRACTICE,35257322,"88,463.78"
31/01/2021,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,KEATS SURGERY,35437327,"37,823.46"
31/01/2021,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,KILLICK STREET HEALTH CENTRE,35422545,"90,868.90"
31/01/2021,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,LANE END MEDICAL GROUP,35437371,"91,436.59"
31/01/2021,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,LICHFIELD GROVE SURGERY,35257420,"39,002.65"
31/01/2021,Clinical&Medical-Othe Public Sector,COMMUNITY SERVICES,LONDON BOROUGH OF BARNET,35444093,"139,596.34"
31/01/2021,Clinical&Medical-Othe Public Sector,COMMUNITY SERVICES,LONDON BOROUGH OF BARNET,35444108,"162,205.21"
31/01/2021,Clinical&Medical-Othe Public Sector,COMMUNITY SERVICES,LONDON BOROUGH OF BARNET,35444176,"163,726.81"
31/01/2021,Clinical&Medical-Voluntary Sector,CHILD AND ADOLESCENT MENTAL HEALTH,LONDON BOROUGH OF BARNET,35304760,"562,019.00"
31/01/2021,Cont Care-Interim Funding(Pre Panel),CHC ADULT FULLY FUNDED,LONDON BOROUGH OF CAMDEN,35170945,"37,558.00"
31/01/2021,C&M-PMS Contract Value,,ST GEORGES MEDICAL CENTRE,35235490,"80,492.86"
31/01/2021,Hcare Srv Rec NHS Trust-Contract Variation,ACUTE COMMISSIONING,ST GEORGES UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,35272621,"121,193.00"
31/01/2021,C&M-GMS Global Sum,,ST JOHNS VILLA,35437386,"66,600.90"
31/01/2021,C&M-GMS Global Sum,,ST JOHNS WAY MEDICAL CENTRE,35422566,"102,754.73"
31/01/2021,Clinical&Medical-Independent Sector,HOSPICES,ST JOSEPHS HOSPICE,35444781,"75,250.00"
31/01/2021,C&M-GMS Global Sum,,ST PETERS STREET MEDICAL CENTRE,35437354,"91,424.09"
31/01/2021,C&M-GMS Global Sum,,ST PHILIPS MEDICAL CENTRE,35422569,"82,651.12"
31/01/2021,C&M-GMS Global Sum,,STROUD GREEN MEDICAL PRACTICE,35437353,"47,017.11"
31/01/2021,C&M-PMS Contract Value,,STUART CRESCENT HEALTH CENTRE,35257376,"46,123.03"
31/01/2021,C&M-GMS Global Sum,,SUPREME HOUSE SURGERY,35437385,"30,709.46"
31/01/2021,C&M-GMS Global Sum,,SWISS COTTAGE SURGERY,35437355,"93,217.14"
31/01/2021,Hcare Srv Rec NHS Trust-Contract Variation,ACUTE COMMISSIONING,TAVISTOCK AND PORTMAN NHS FOUNDATION TRUST,35272624,"1,419,432.00"
31/01/2021,C&M-PMS Contract Value,,TEMPLE FORTUNE HEALTH CENTRE PHGH,35257430,"74,590.54"
31/01/2021,C&M-GMS Global Sum,,TEMPLE FORTUNE MEDICAL GROUP,35419192,"50,422.06"
31/01/2021,C&M-PMS Contract Value,,TORRINGTON PARK GROUP PRACTICE,35257432,"87,373.89"
31/01/2021,C&M-PMS Contract Value,,TORRINGTON SPEEDWELL PRACTICE,35235494,"73,952.33"
31/01/2021,C&M-GMS Global Sum,,TUFNELL SURGERY,35437356,"82,489.50"
31/01/2021,Cont Care- Palliative Care,CHC ADULT FULLY FUNDED,TWINGLOBE CARE LTD,35406267,"42,361.00"
31/01/2021,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,TWINGLOBE CARE LTD,35406267,"66,644.59"
31/01/2021,Cont Care-Physical Disab (<65),CHC ADULT FULLY FUNDED,TWINGLOBE CARE LTD,35406267,"70,310.32"
31/01/2021,C&M-PMS Contract Value,,TYNEMOUTH ROAD HEALTH CENTRE,35257378,"72,956.39"
31/01/2021,Programme Support Costs,,UNIQUE OFFICE SOLUTIONS LTD,35285804,"66,529.39"
31/01/2021,Hcare Srv Rec NHS Trust-Contract Variation,ACUTE COMMISSIONING,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,35272634,"33,818,709.00"
31/01/2021,C&M-GMS Global Sum,,VALE PRACTICE,35419025,"68,482.16"
31/01/2021,C&M-GMS Global Sum,,VILLAGE PRACTICE LONDON,35422573,"69,731.90"
31/01/2021,C&M-GMS Global Sum,,WATLING STREET SURGERY,35419184,"120,600.31"
31/01/2021,C&M-PMS Contract Value,,WENTWORTH MEDICAL PRACTICE,35257433,"88,607.82"
31/01/2021,C&M-PMS Contract Value,,WEST HAMPSTEAD MEDICAL CENTRE,35257328,"128,835.55"
31/01/2021,Hcare Srv Rec NHS Trust-Contract Variation,ACUTE COMMISSIONING,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,35272637,"149,293.00"
31/01/2021,C&M-PMS Contract Value,,WHITE LODGE MEDICAL PRACTICE,35257381,"77,995.55"
31/01/2021,Hcare Srv Rec NHS Trust-Contract Variation,ACUTE COMMISSIONING,WHITTINGTON HOSPITAL NHS TRUST (THE),35272640,"23,987,083.00"
31/01/2021,C&M-PMS Contract Value,,WOODBERRY PRACTICE,35257383,"61,466.76"
31/01/2021,Clinical&Medical-Independent Sector,INTERMEDIATE CARE,YOUR CHOICE (BARNET) LTD,35360910,"57,825.00"
