Date,Expense,Expense area,Supplier,Transaction,amount
4/30/2020,"Trust-Contract 
Hcare Srv Rec NHS",ACUTE COMMISSIONING,NORTH EAST LONDON NHS FOUNDATION TRUST,31729511,"298,500.00"
4/30/2020,"Trust-Contract 
Hcare Srv Rec NHS",ACUTE COMMISSIONING,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,31729512,"18,480,000.00"
4/30/2020,"Trust-Contract 
Hcare Srv Rec NHS",ACUTE COMMISSIONING,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,31729513,"30,500.00"
4/30/2020,"Trust-Contract 
Hcare Srv Rec NHS",ACUTE COMMISSIONING,ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST,31729514,"187,800.00"
4/30/2020,"Trust-Contract 
Hcare Srv Rec NHS",ACUTE COMMISSIONING,ROYAL FREE LONDON NHS FOUNDATION TRUST,31729515,"34,839,100.00"
4/30/2020,"Trust-Contract 
Hcare Srv Rec NHS",ACUTE COMMISSIONING,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,31729516,"666,000.00"
4/30/2020,"Trust-Contract 
Hcare Srv Rec NHS",ACUTE COMMISSIONING,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,31729517,"134,800.00"
4/30/2020,"Trust-Contract 
Hcare Srv Rec NHS",ACUTE COMMISSIONING,ST GEORGES UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,31729518,"121,200.00"
4/30/2020,"Trust-Contract 
Hcare Srv Rec NHS",ACUTE COMMISSIONING,TAVISTOCK AND PORTMAN NHS FOUNDATION TRUST,31729519,"853,300.00"
4/30/2020,"Trust-Contract 
Hcare Srv Rec NHS",ACUTE COMMISSIONING,HILLINGDON HOSPITALS NHS FOUNDATION TRUST,31729520,"35,900.00"
4/30/2020,"Trust-Contract 
Hcare Srv Rec NHS",ACUTE COMMISSIONING,PRINCESS ALEXANDRA HOSPITAL NHS TRUST (THE),31729521,"110,300.00"
4/30/2020,"Trust-Contract 
Hcare Srv Rec NHS",ACUTE COMMISSIONING,ROYAL MARSDEN NHS FOUNDATION TRUST (THE),31729522,"77,900.00"
4/30/2020,"Trust-Contract 
Hcare Srv Rec NHS",ACUTE COMMISSIONING,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,31729523,"20,080,400.00"
4/30/2020,"Trust-Contract 
Hcare Srv Rec NHS",ACUTE COMMISSIONING,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,31729524,"149,300.00"
4/30/2020,"Trust-Contract 
Hcare Srv Rec NHS",ACUTE COMMISSIONING,WHITTINGTON HOSPITAL NHS TRUST (THE),31729526,"17,949,900.00"
4/30/2020,"Trust-Contract 
Cont Care-Physical",ADULT JOINT FUNDED,TWINGLOBE CARE LTD,31765182,"189,914.70"
4/30/2020,"Disab (<65)
C&M-PMS Contract","CONTINUING CARE
PRC DELEGATED CO-",MEDICAL CENTRE HOLLOWAY ROAD,31798092,"44,959.87"
4/30/2020,"Value
C&M-PMS Funding","COMMISSIONING
PRC DELEGATED CO-",MEDICAL CENTRE HOLLOWAY ROAD,31798092,"3,084.70"
4/30/2020,"Differential Review
C&M-PMS Prem","COMMISSIONING
PRC DELEGATED CO-",MEDICAL CENTRE HOLLOWAY ROAD,31798092,"2,791.67"
4/30/2020,"Notional Rent
C&M-PMS Prem","COMMISSIONING
PRC DELEGATED CO-",MEDICAL CENTRE HOLLOWAY ROAD,31798092,"1,101.96"
4/30/2020,"Rates
C&M-PMS Prem","COMMISSIONING
PRC DELEGATED CO-",MEDICAL CENTRE HOLLOWAY ROAD,31798092,87.68
4/30/2020,"Water Rates
C&M-APMS","COMMISSIONING
PRC DELEGATED CO-",AT MEDICS MITCHISON ROAD SURGERY,31798094,"52,464.46"
4/30/2020,"Contract Value
C&M-APMS Prem","COMMISSIONING
PRC DELEGATED CO-",AT MEDICS MITCHISON ROAD SURGERY,31798094,"6,104.17"
4/30/2020,"Actual Rent
C&M-APMS Prem","COMMISSIONING
PRC DELEGATED CO-",AT MEDICS MITCHISON ROAD SURGERY,31798094,330.03
4/30/2020,"Healthcentre Rates
C&M-APMS","COMMISSIONING
PRC DELEGATED CO-",AT MEDICS LTD(HANLEY),31798096,"78,929.31"
4/30/2020,"Contract Value
C&M-APMS Prem","COMMISSIONING
PRC DELEGATED CO-",AT MEDICS LTD(HANLEY),31798096,"1,328.88"
4/30/2020,C&M-APMS Prem,PRC DELEGATED CO-,AT MEDICS LTD(HANLEY),31798096,"1,750.06"
4/30/2020,"Healthcentre Rent
C&M-PMS Contract","COMMISSIONING
PRC DELEGATED CO-",CLAASSEN & PARTNER,31811118,"54,429.15"
4/30/2020,"Value
C&M-PMS DES Learn","COMMISSIONING
PRC DELEGATED CO-",CLAASSEN & PARTNER,31811118,"1,120.00"
4/30/2020,"Dsblty Hlth Chk
C&M-PMS Funding","COMMISSIONING
PRC DELEGATED CO-",CLAASSEN & PARTNER,31811118,"4,217.07"
4/30/2020,"Differential Review
C&M-PMS PCN DES","COMMISSIONING
PRC DELEGATED CO-",CLAASSEN & PARTNER,31811118,"1,047.25"
4/30/2020,"Participation
C&M-PMS PCO","COMMISSIONING
PRC DELEGATED CO-",CLAASSEN & PARTNER,31811118,"5,062.00"
4/30/2020,"Other
C&M-PMS Contract","COMMISSIONING
PRC DELEGATED CO-",DERWENT CRESCENT MEDICAL CENTRE,31811124,"39,132.03"
4/30/2020,"Value
C&M-PMS DES Learn","COMMISSIONING
PRC DELEGATED CO-",DERWENT CRESCENT MEDICAL CENTRE,31811124,140
4/30/2020,"Dsblty Hlth Chk
C&M-PMS Funding","COMMISSIONING
PRC DELEGATED CO-",DERWENT CRESCENT MEDICAL CENTRE,31811124,"3,375.54"
4/30/2020,"Differential Review
C&M-PMS PCN DES","COMMISSIONING
PRC DELEGATED CO-",DERWENT CRESCENT MEDICAL CENTRE,31811124,768.59
4/30/2020,"Participation
C&M-PMS Prem","COMMISSIONING
PRC DELEGATED CO-",DERWENT CRESCENT MEDICAL CENTRE,31811124,"3,444.10"
4/30/2020,"Notional Rent
C&M-PMS Contract","COMMISSIONING
PRC DELEGATED CO-",DR FJ MCKENZIE EAST FINCHLEY,31811132,"30,197.30"
4/30/2020,"Value
C&M-PMS Funding","COMMISSIONING
PRC DELEGATED CO-",DR FJ MCKENZIE EAST FINCHLEY,31811132,"2,599.74"
4/30/2020,"Differential Review
C&M-PMS PCN DES","COMMISSIONING
PRC DELEGATED CO-",DR FJ MCKENZIE EAST FINCHLEY,31811132,581.14
4/30/2020,"Participation
C&M-PMS Prem","COMMISSIONING
PRC DELEGATED CO-",DR FJ MCKENZIE EAST FINCHLEY,31811132,"2,175.69"
4/30/2020,"Notional Rent
C&M-PMS Contract","COMMISSIONING
PRC DELEGATED CO-",DR DS MONKMAN,31811141,"80,934.93"
4/30/2020,"Value
C&M-PMS Funding","COMMISSIONING
PRC DELEGATED CO-",DR DS MONKMAN,31811141,"6,701.87"
4/30/2020,"Differential Review
C&M-PMS PCN DES","COMMISSIONING
PRC DELEGATED CO-",DR DS MONKMAN,31811141,"1,553.71"
4/30/2020,"Participation
C&M-PMS PCO","COMMISSIONING
PRC DELEGATED CO-",DR DS MONKMAN,31811141,"15,850.13"
4/30/2020,"Locum 
C&M-PMS Contract","COMMISSIONING
PRC DELEGATED CO-",GANESH & PARTNER,31811150,"45,233.60"
4/30/2020,"Value
C&M-PMS Funding","COMMISSIONING
PRC DELEGATED CO-",GANESH & PARTNER,31811150,"3,964.91"
4/30/2020,"Differential Review
C&M-PMS PCN DES","COMMISSIONING
PRC DELEGATED CO-",GANESH & PARTNER,31811150,869.9
4/30/2020,"Participation
C&M-PMS Contract","COMMISSIONING
PRC DELEGATED CO-",GREENFIELD MEDICAL CENTRE,31811160,"43,180.75"
4/30/2020,"Value
C&M-PMS Funding","COMMISSIONING
PRC DELEGATED CO-",GREENFIELD MEDICAL CENTRE,31811160,"3,835.12"
4/30/2020,"Differential Review
C&M-PMS PCN DES","COMMISSIONING
PRC DELEGATED CO-",GREENFIELD MEDICAL CENTRE,31811160,832.17
4/30/2020,"Participation
C&M-PMS PCO","COMMISSIONING
PRC DELEGATED CO-",GREENFIELD MEDICAL CENTRE,31811160,"6,161.18"
4/30/2020,"Locum 
C&M-PMS Prem","COMMISSIONING
PRC DELEGATED CO-",GREENFIELD MEDICAL CENTRE,31811160,"6,129.86"
4/30/2020,"Notional Rent
C&M-PMS Prem","COMMISSIONING
PRC DELEGATED CO-",GREENFIELD MEDICAL CENTRE,31811160,"2,233.53"
4/30/2020,"Rates
C&M-PMS Prem","COMMISSIONING
PRC DELEGATED CO-",GREENFIELD MEDICAL CENTRE,31811160,487.08
4/30/2020,"Water Rates
ME - PMS TPS","COMMISSIONING
PRC DELEGATED CO-",GREENFIELD MEDICAL CENTRE,31811160,159.38
4/30/2020,"Added Years Adj EEs
C&M-PMS Contract","COMMISSIONING
PRC DELEGATED CO-",GRIMBLE & PARTNERS,31811169,"58,740.23"
4/30/2020,"Value
C&M-PMS Funding","COMMISSIONING
PRC DELEGATED CO-",GRIMBLE & PARTNERS,31811169,"4,571.73"
4/30/2020,"Differential Review
C&M-PMS PCN DES","COMMISSIONING
PRC DELEGATED CO-",GRIMBLE & PARTNERS,31811169,"1,139.25"
4/30/2020,"Participation
C&M-PMS Contract","COMMISSIONING
PRC DELEGATED CO-",HEATHFIELDS,31811175,"56,047.67"
4/30/2020,"Value
C&M-PMS Funding","COMMISSIONING
PRC DELEGATED CO-",HEATHFIELDS,31811175,"4,381.28"
4/30/2020,"Differential Review
C&M-PMS PCN DES","COMMISSIONING
PRC DELEGATED CO-",HEATHFIELDS,31811175,"1,069.61"
4/30/2020,"Participation
C&M-PMS Contract","COMMISSIONING
PRC DELEGATED CO-",HODFORD ROAD SURGERY,31811183,"25,867.20"
4/30/2020,"Value
C&M-PMS DES","COMMISSIONING
PRC DELEGATED CO-",HODFORD ROAD SURGERY,31811183,396.18
4/30/2020,"Minor Surgery
C&M-PMS Funding","COMMISSIONING
PRC DELEGATED CO-",HODFORD ROAD SURGERY,31811183,"1,972.69"
4/30/2020,"Differential Review
C&M-PMS PCN DES","COMMISSIONING
PRC DELEGATED CO-",HODFORD ROAD SURGERY,31811183,491.46
4/30/2020,"Participation
C&M-PMS PCO","COMMISSIONING
PRC DELEGATED CO-",HODFORD ROAD SURGERY,31811183,778.2
4/30/2020,"Other
C&M-PMS Prem","COMMISSIONING
PRC DELEGATED CO-",HODFORD ROAD SURGERY,31811183,"2,609.02"
4/30/2020,"Notional Rent
C&M-PMS Contract","COMMISSIONING
PRC DELEGATED CO-",KEANE & PARTNER,31811191,"35,128.94"
4/30/2020,"Value
C&M-PMS Funding","COMMISSIONING
PRC DELEGATED CO-",KEANE & PARTNER,31811191,"3,013.21"
4/30/2020,"Differential Review
C&M-PMS PCN DES","COMMISSIONING
PRC DELEGATED CO-",KEANE & PARTNER,31811191,674.98
4/30/2020,"Participation
C&M-PMS Prem","COMMISSIONING
PRC DELEGATED CO-",KEANE & PARTNER,31811191,"3,195.83"
4/30/2020,"Notional Rent
C&M-PMS Prem","COMMISSIONING
PRC DELEGATED CO-",KEANE & PARTNER,31811191,45.72
4/30/2020,"Water Rates
C&M-PMS Contract","COMMISSIONING
PRC DELEGATED CO-",LONGROVE SURGERY,31811198,"90,109.26"
4/30/2020,"Value
C&M-PMS DES Learn","COMMISSIONING
PRC DELEGATED CO-",LONGROVE SURGERY,31811198,560
4/30/2020,"Dsblty Hlth Chk
C&M-PMS Funding","COMMISSIONING
PRC DELEGATED CO-",LONGROVE SURGERY,31811198,"8,003.19"
4/30/2020,"Differential Review
C&M-PMS PCN DES","COMMISSIONING
PRC DELEGATED CO-",LONGROVE SURGERY,31811198,"1,733.08"
4/30/2020,"Participation
C&M-PMS Contract","COMMISSIONING
PRC DELEGATED CO-",LICHFIELD GROVE SURGERY,31811205,"39,431.92"
4/30/2020,"Value
C&M-PMS Funding","COMMISSIONING
PRC DELEGATED CO-",LICHFIELD GROVE SURGERY,31811205,"3,505.00"
4/30/2020,"Differential Review
C&M-PMS PCN DES","COMMISSIONING
PRC DELEGATED CO-",LICHFIELD GROVE SURGERY,31811205,760.24
4/30/2020,C&M-PMS Contract,PRC DELEGATED CO-,MCELLIGOT,31811213,"37,420.17"
4/30/2020,"Value
C&M-PMS Funding","COMMISSIONING
PRC DELEGATED CO-",MCELLIGOT,31811213,"3,152.18"
4/30/2020,"Differential Review
C&M-PMS PCN DES","COMMISSIONING
PRC DELEGATED CO-",MCELLIGOT,31811213,722.76
4/30/2020,"Participation
C&M-PMS Prem","COMMISSIONING
PRC DELEGATED CO-",MCELLIGOT,31811213,"1,480.56"
4/30/2020,"Notional Rent
C&M-PMS Contract","COMMISSIONING
PRC DELEGATED CO-",MILLWAY MEDICAL PRACTICE,31811223,"129,674.51"
4/30/2020,"Value
C&M-PMS DES","COMMISSIONING
PRC DELEGATED CO-",MILLWAY MEDICAL PRACTICE,31811223,44.02
4/30/2020,"Minor Surgery
C&M-PMS Funding","COMMISSIONING
PRC DELEGATED CO-",MILLWAY MEDICAL PRACTICE,31811223,"11,267.62"
4/30/2020,"Differential Review
C&M-PMS PCN DES","COMMISSIONING
PRC DELEGATED CO-",MILLWAY MEDICAL PRACTICE,31811223,"2,515.33"
4/30/2020,"Participation
C&M-PMS PCO","COMMISSIONING
PRC DELEGATED CO-",MILLWAY MEDICAL PRACTICE,31811223,"15,549.04"
4/30/2020,"Locum 
C&M-PMS PCO","COMMISSIONING
PRC DELEGATED CO-",MILLWAY MEDICAL PRACTICE,31811223,"3,145.54"
4/30/2020,"Locum Sickness
C&M-PMS Contract","COMMISSIONING
PRC DELEGATED CO-",MK LAMBA,31811230,"65,005.60"
4/30/2020,"Value
C&M-PMS Funding","COMMISSIONING
PRC DELEGATED CO-",MK LAMBA,31811230,"4,773.94"
4/30/2020,"Differential Review
C&M-PMS PCN DES","COMMISSIONING
PRC DELEGATED CO-",MK LAMBA,31811230,"1,261.58"
4/30/2020,"Participation
C&M-PMS Prem","COMMISSIONING
PRC DELEGATED CO-",MK LAMBA,31811230,"2,938.54"
4/30/2020,"Notional Rent
C&M-PMS Contract","COMMISSIONING
PRC DELEGATED CO-",RAVENSCROFT MEDICAL CENTRE,31811239,"36,380.88"
4/30/2020,"Value
C&M-PMS Funding","COMMISSIONING
PRC DELEGATED CO-",RAVENSCROFT MEDICAL CENTRE,31811239,"3,974.32"
4/30/2020,"Differential Review
C&M-PMS PCN DES","COMMISSIONING
PRC DELEGATED CO-",RAVENSCROFT MEDICAL CENTRE,31811239,701.86
4/30/2020,"Participation
C&M-PMS Prem","COMMISSIONING
PRC DELEGATED CO-",RAVENSCROFT MEDICAL CENTRE,31811239,"11,492.36"
4/30/2020,"Notional Rent
C&M-PMS Prem","COMMISSIONING
PRC DELEGATED CO-",RAVENSCROFT MEDICAL CENTRE,31811239,"3,967.83"
4/30/2020,"Rates
C&M-PMS Contract","COMMISSIONING
PRC DELEGATED CO-",ST ANDREWS MEDICAL PRACTICE,31811246,"77,638.96"
4/30/2020,"Value
C&M-PMS Funding","COMMISSIONING
PRC DELEGATED CO-",ST ANDREWS MEDICAL PRACTICE,31811246,"6,536.54"
4/30/2020,"Differential Review
C&M-PMS PCN DES","COMMISSIONING
PRC DELEGATED CO-",ST ANDREWS MEDICAL PRACTICE,31811246,"1,488.77"
4/30/2020,"Participation
C&M-PMS Prem","COMMISSIONING
PRC DELEGATED CO-",ST ANDREWS MEDICAL PRACTICE,31811246,"19,068.48"
4/30/2020,"Notional Rent
C&M-PMS Contract","COMMISSIONING
PRC DELEGATED CO-",ST GEORGES MEDICAL CENTRE,31811251,"81,418.95"
4/30/2020,"Value
C&M-PMS DES Learn","COMMISSIONING
PRC DELEGATED CO-",ST GEORGES MEDICAL CENTRE,31811251,420
4/30/2020,"Dsblty Hlth Chk
C&M-PMS Funding","COMMISSIONING
PRC DELEGATED CO-",ST GEORGES MEDICAL CENTRE,31811251,"5,930.51"
4/30/2020,"Differential Review
C&M-PMS PCN DES","COMMISSIONING
PRC DELEGATED CO-",ST GEORGES MEDICAL CENTRE,31811251,"1,499.00"
4/30/2020,"Participation
C&M-PMS Prem","COMMISSIONING
PRC DELEGATED CO-",ST GEORGES MEDICAL CENTRE,31811251,"5,500.81"
4/30/2020,"Notional Rent
C&M-PMS Contract","COMMISSIONING
PRC DELEGATED CO-",TEMPLE FORTUNE HEALTH CENTRE PHGH,31811256,"73,901.50"
4/30/2020,"Value
C&M-PMS Funding","COMMISSIONING
PRC DELEGATED CO-",TEMPLE FORTUNE HEALTH CENTRE PHGH,31811256,"6,290.40"
4/30/2020,"Differential Review
C&M-PMS PCN DES","COMMISSIONING
PRC DELEGATED CO-",TEMPLE FORTUNE HEALTH CENTRE PHGH,31811256,"1,419.27"
4/30/2020,"Participation
C&M-PMS Prem","COMMISSIONING
PRC DELEGATED CO-",TEMPLE FORTUNE HEALTH CENTRE PHGH,31811256,"8,178.64"
4/30/2020,"Notional Rent
C&M-PMS Prem","COMMISSIONING
PRC DELEGATED CO-",TEMPLE FORTUNE HEALTH CENTRE PHGH,31811256,"1,320.27"
4/30/2020,"Rates
C&M-PMS Prem","COMMISSIONING
PRC DELEGATED CO-",TEMPLE FORTUNE HEALTH CENTRE PHGH,31811256,90.49
4/30/2020,"Water Rates
C&M-PMS Contract","COMMISSIONING
PRC DELEGATED CO-",TORRINGTON PARK GROUP PRACTICE,31811261,"86,947.02"
4/30/2020,"Value
C&M-PMS DES Learn","COMMISSIONING
PRC DELEGATED CO-",TORRINGTON PARK GROUP PRACTICE,31811261,"1,120.00"
4/30/2020,"Dsblty Hlth Chk
C&M-PMS Funding","COMMISSIONING
PRC DELEGATED CO-",TORRINGTON PARK GROUP PRACTICE,31811261,"7,916.49"
4/30/2020,"Differential Review
C&M-PMS PCN DES","COMMISSIONING
PRC DELEGATED CO-",TORRINGTON PARK GROUP PRACTICE,31811261,"1,684.79"
4/30/2020,"Participation
C&M-PMS Contract","COMMISSIONING
PRC DELEGATED CO-",TORRINGTON SPEEDWELL PRACTICE,31811266,"77,065.61"
4/30/2020,"Value
C&M-PMS Funding","COMMISSIONING
PRC DELEGATED CO-",TORRINGTON SPEEDWELL PRACTICE,31811266,"6,992.27"
4/30/2020,"Differential Review
C&M-PMS PCN DES","COMMISSIONING
PRC DELEGATED CO-",TORRINGTON SPEEDWELL PRACTICE,31811266,"1,495.35"
4/30/2020,"Participation
C&M-PMS Contract","COMMISSIONING
PRC DELEGATED CO-",WENTWORTH MEDICAL PRACTICE,31811272,"85,456.34"
4/30/2020,"Value
C&M-PMS Funding","COMMISSIONING
PRC DELEGATED CO-",WENTWORTH MEDICAL PRACTICE,31811272,"5,726.29"
4/30/2020,"Differential Review
C&M-PMS PCN DES","COMMISSIONING
PRC DELEGATED CO-",WENTWORTH MEDICAL PRACTICE,31811272,"1,557.78"
4/30/2020,"Participation
C&M-PMS Prem","COMMISSIONING
PRC DELEGATED CO-",WENTWORTH MEDICAL PRACTICE,31811272,"46,744.75"
4/30/2020,"Notional Rent
C&M-PMS Contract","COMMISSIONING
PRC DELEGATED CO-",ARCHWAY PRIMARY CARE TEAM,31811274,"79,468.29"
4/30/2020,"Value
C&M-PMS Funding","COMMISSIONING
PRC DELEGATED CO-",ARCHWAY PRIMARY CARE TEAM,31811274,"3,882.08"
4/30/2020,"Differential Review
C&M-PMS Prem","COMMISSIONING
PRC DELEGATED CO-",ARCHWAY PRIMARY CARE TEAM,31811274,8.16
4/30/2020,"Clinical Waste
C&M-PMS Prem","COMMISSIONING
PRC DELEGATED CO-",ARCHWAY PRIMARY CARE TEAM,31811274,"3,187.50"
4/30/2020,"Notional Rent
C&M-PMS Prem","COMMISSIONING
PRC DELEGATED CO-",ARCHWAY PRIMARY CARE TEAM,31811274,"1,237.10"
4/30/2020,"Rates
C&M-PMS Prem","COMMISSIONING
PRC DELEGATED CO-",ARCHWAY PRIMARY CARE TEAM,31811274,46.18
4/30/2020,"Water Rates
C&M-PMS Contract","COMMISSIONING
PRC DELEGATED CO-",BRONDESBURY MEDICAL CENTRE,31811280,"132,613.50"
4/30/2020,"Value
C&M-PMS Funding","COMMISSIONING
PRC DELEGATED CO-",BRONDESBURY MEDICAL CENTRE,31811280,"14,031.82"
4/30/2020,"Differential Review
C&M-PMS PCN DES","COMMISSIONING
PRC DELEGATED CO-",BRONDESBURY MEDICAL CENTRE,31811280,"2,518.28"
4/30/2020,C&M-PMS Contract,PRC DELEGATED CO-,CHOLMLEY GARDENS MEDICAL CENTRE,31811285,"55,638.04"
4/30/2020,"Value
C&M-PMS PCN DES","COMMISSIONING
PRC DELEGATED CO-",CHOLMLEY GARDENS MEDICAL CENTRE,31811285,"1,095.90"
4/30/2020,"Participation
C&M-PMS PCO","COMMISSIONING
PRC DELEGATED CO-",CHOLMLEY GARDENS MEDICAL CENTRE,31811285,"2,529.87"
4/30/2020,"Locum Susp Drs
C&M-PMS PCO","COMMISSIONING
PRC DELEGATED CO-",CHOLMLEY GARDENS MEDICAL CENTRE,31811285,"5,141.00"
4/30/2020,"Other
C&M-PMS Prem","COMMISSIONING
PRC DELEGATED CO-",CHOLMLEY GARDENS MEDICAL CENTRE,31811285,"3,541.67"
4/30/2020,"Notional Rent
C&M-PMS Contract","COMMISSIONING
PRC DELEGATED CO-",DALEHAM GARDENS HEALTH CENTRE,31811288,"24,419.93"
4/30/2020,"Value
C&M-PMS Funding","COMMISSIONING
PRC DELEGATED CO-",DALEHAM GARDENS HEALTH CENTRE,31811288,"3,487.53"
4/30/2020,"Differential Review
C&M-PMS PCN DES","COMMISSIONING
PRC DELEGATED CO-",DALEHAM GARDENS HEALTH CENTRE,31811288,439.41
4/30/2020,"Participation
C&M-PMS Prem","COMMISSIONING
PRC DELEGATED CO-",DALEHAM GARDENS HEALTH CENTRE,31811288,"57,233.37"
4/30/2020,"Healthcentre Rent
ME-PMS GP Pension","COMMISSIONING
PRC DELEGATED CO-",DALEHAM GARDENS HEALTH CENTRE,31811288,"1,081.09"
4/30/2020,"EEs Adjs - PMS
ME-PMS GP Pension","COMMISSIONING
PRC DELEGATED CO-",DALEHAM GARDENS HEALTH CENTRE,31811288,"1,151.56"
4/30/2020,"ERs Adjs - PMS
ME - PMS GP Prior","COMMISSIONING
PRC DELEGATED CO-",HAMPSTEAD GROUP PRACTICE,31811290,"-13,994.07"
4/30/2020,"Year ERs
ME - PMS TPS","COMMISSIONING
PRC DELEGATED CO-",HAMPSTEAD GROUP PRACTICE,31811290,-539.5
4/30/2020,"Added Years Adj EEs
ME-PMS GP Pension","COMMISSIONING
PRC DELEGATED CO-",HAMPSTEAD GROUP PRACTICE,31811290,"-7,575.00"
4/30/2020,"EEs-PMS
ME-PMS GP Pension","COMMISSIONING
PRC DELEGATED CO-",HAMPSTEAD GROUP PRACTICE,31811290,"-8,561.85"
4/30/2020,"ERs Adjs - PMS
ME-PMS GP Prior","COMMISSIONING
PRC DELEGATED CO-",HAMPSTEAD GROUP PRACTICE,31811290,"-12,092.74"
4/30/2020,"Year EEs
C&M-PMS Contract","COMMISSIONING
PRC DELEGATED CO-",HAMPSTEAD GROUP PRACTICE,31811294,"116,894.96"
4/30/2020,"Value
C&M-PMS DES","COMMISSIONING
PRC DELEGATED CO-",HAMPSTEAD GROUP PRACTICE,31811294,"6,373.23"
4/30/2020,"Extended Hours 
C&M-PMS Funding","COMMISSIONING
PRC DELEGATED CO-",HAMPSTEAD GROUP PRACTICE,31811294,"7,824.10"
4/30/2020,"Differential Review
C&M-PMS PCN DES","COMMISSIONING
PRC DELEGATED CO-",HAMPSTEAD GROUP PRACTICE,31811294,"18,588.83"
