,query_string_n,CompanyNumber,CompanyName,audit_type,CHnotes,isCIC,count,amount,match_0_n,match_1_n,match_2_n,score_0_n,score_1_n,score_2_n,match_0_n_lev,match_1_n_lev,match_2_n_lev
10,ACORNS CHILDRENS HOSPICE,02036103,ACORNS CHILDRENS HOSPICE TRUST,"2: CC: 4 corrected now perf name match, CH: 5 corrected imperf name match",automatched in NHSD but CC & CH registrations not recorded,0 not CIC,1,13105132.0,ACORNS CHILDRENS HOSPICE,ACORNS CHILDRENS HOSPICE TRUST,ACORNS CHILDRENS HOSPICE TRUST,24.743341,21.994667,21.994667,0.0,6.0,6.0
11,ACTION FOR CHILDREN SERVICES LIMITED,02332388,ACTION FOR CHILDREN SERVICES LIMITED,2: CH: 1 existing perfect name match,explicitly identified as a Company Limited by Shares on own website. Would that they all had such a page,0 not CIC,30,1669388.0,ACTION FOR CHILDREN,ACTION FOR CHILDREN,CHILDREN IN ACTION,16.951320000000003,16.951320000000003,16.951320000000003,17.0,17.0,24.0
12,ACTION FOR DEAFNESS,06205458,ACTION FOR DEAFNESS,"2: CC: 4 corrected now perf name match, CH: 4 corrected now perf name match",see CCnotes,0 not CIC,170,9710581.0,ACTION DEAFNESS,ACTION DEAFNESS,ACTION DEAFNESS,19.416956,19.416956,19.416956,4.0,4.0,4.0
13,ACTION FOR FAMILY CARERS LIMITED,06680960,ACTION FOR FAMILY CARERS,"2: CC: 1 existing perfect name match, CH: 4 corrected now perf name match",dropped LTD from name 22/5/09,0 not CIC,3,111876.0,ACTION FOR FAMILY CARERS,ACTION FOR FAMILY CARERS,ACTION FOR FAMILY CARERS LIMITED,23.401613,23.401613,20.90922,8.0,8.0,0.0
14,ACTION ON HEARING LOSS LIMITED,07566245,ACTION ON HEARING LOSS LIMITED,2: CH: 1 existing perfect name match,CCnotes but comp ctsly Dormant since incorp. Likely cust meant RNID but pymt post-dates latest online accts so no proof,0 not CIC,1,63628.0,ACTION ON HEARING LOSS,ACTION ON HEARING LOSS LIMITED,HEARING LOSS ACTION LIMITED,27.336712,24.407179,24.407179,8.0,0.0,17.0
15,ADAS,06876508,THE WEST ESSEX ALCOHOL AND DRUGS SERVICE,"2: CC: 5 corrected imperf name match, CH: 5 corrected imperf name match",in liquidation says Companies House. Financial data removed from CConline,0 not CIC,2,70359.0,ADA AND ADA LIMITED,ADA,ADA,13.953327999999999,13.773983,13.773983,16.0,1.0,1.0
16,ADDACTED,02580377,WE ARE WITH YOU,"2: CC: 5 corrected imperf name match, CH: 5 corrected imperf name match",CCnotes> ADDACTION with same codes & pymts in adj mths but never both supps in same mth. comp was Addaction till 26/2/20,0 not CIC,3,17764073.0,ADDACTION,ADDACTION CLINIC,ADDACTION COVENTRY,16.334170999999998,14.001356,14.001356,3.0,10.0,11.0
17,ADDACTION,02580377,WE ARE WITH YOU,"2: CC: 4 corrected now perf name match, CH: 3 existing accepted imperfect name match",was Addaction till 26/2/20. Looks like NHSD automatch to comp blocked CC match somehow,0 not CIC,323,17764073.0,ADDACTION,ADDACTION CLINIC,ADDACTION COVENTRY,16.334170999999998,14.001356,14.001356,0.0,7.0,9.0
18,ADHD FOUNDATION LIMITED,05368328,ADHD FOUNDATION,"2: CC: 4 corrected now perf name match, CH: 4 corrected now perf name match",inc 17/2/05. Limited dropped from name 26/1/18,0 not CIC,9,287610.0,ADHD FOUNDATION,ADHD FOUNDATION,ADHD LIMITED,19.786888,19.786888,13.362566000000001,8.0,8.0,11.0
19,ADVOCACY EXPERIENCE LIMITED,04406655,ADVOCACY EXPERIENCE LTD,2: CH: 1 existing perfect name match,Moved from Lancs to Cambs at some time as sole geog NHS pymt (Warrington CCG). Other pymts all NHSE,0 not CIC,16,1509902.0,ADVOCACY EXPERIENCE LIMITED,ADVOCACY,EXPERIENCE EXPERIENCE LIMITED,18.392822,12.745609,11.887238499999999,0.0,19.0,9.0
20,ADVOCACY SERVICES IN STAFFORDSHIRE,03068125,ASIST,"2: CC: 5 corrected imperf name match, CH: 5 corrected imperf name match",sole NHS cust Black Country Partnership NHSFT is adjacent,0 not CIC,1,111802.0,ADVOCACY,ADVOCACY SERVICES LIMITED,BASINGSTOKE ADVOCACY SERVICE,12.745609,12.665163,12.665163,26.0,14.0,28.0
21,AEA SRL,NoneInUK,AEA SRL,2: CH: 13 identified but not found,"AEA SRL is Italian robotics/automation comp. Even if assoc with UK-based AEA comps, SRL indicates overseas supplier",0 not CIC,1,15695976.0,AEA,AEA LIMITED,SRL,16.498348,14.142087,14.083027,4.0,7.0,4.0
22,AFFINITY SUTTON,IP031412,AFFINITY SUTTON HOMES LIMITED,2: CH: 8 date-dependent match,CCnotes>gp within which best match chosen. conv/clsd 13/3/18 ->RS007686 Clarion HA Ltd. has charble fndn but not accom,0 not CIC,4,101378.0,AFFINITY SUTTON FOUNDATION,AFFINITY SUTTON FUNDING LIMITED,AFFINITY SUTTON INVESTMENTS LIMITED,17.85797,15.874173,15.874173,11.0,16.0,20.0
23,AGE CONCERN,02894067,AGE CONCERN WIRRAL,"2: CC: 11 multi-supplier record, CH: 11 multi-supplier record","CCnotes> so matched accordingly. Sheffield 1108413 / 05207254, [Slough &] Berkshire East 1079949 / 03892564",0 not CIC,25,859259.0,AGE CONCERN,AGE CONCERN,AGE CONCERN,19.282259,19.282259,19.282259,0.0,0.0,0.0
24,AGE CONCERN BIRMINGHAM,02104152,AGE CONCERN BIRMINGHAM,"2: CC: 1 existing perfect name match, CH: 1 existing perfect name match",still operating under the old brand. note also 07334392 Age UK Birmingham Ltd,0 not CIC,3,110739.0,AGE CONCERN BIRMINGHAM,AGE CONCERN BIRMINGHAM,BIRMINGHAM AGE CONCERN,24.526075,24.526075,24.526075,0.0,0.0,20.0
25,AGE CONCERN CORNWALL,02452302,AGE CONCERN IN CORNWALL AND THE ISLES OF SCILLY,"2: CC: 1 existing perfect name match, CH: 5 corrected imperf name match",still operating under the old brand,0 not CIC,2,540844.0,AGE CONCERN CORNWALL,AGE CONCERN CORNWALL TRADING LIMITED,AGE CONCERN IN CORNWALL AND THE ISLES OF SCILLY,25.064745000000002,20.052757,20.052757,0.0,16.0,27.0
26,AGE CONCERN DEAL CENTRE FOR THE RETIRED LIMITED,06561336,AGE CONCERN DEAL CENTRE FOR THE RETIRED LIMITED,"2: CC: 1 existing perfect name match, CH: 1 existing perfect name match",still operating under the old brand,0 not CIC,2,134000.0,AGE CONCERN DEAL CENTRE FOR THE RETIRED LIMITED,AGE CONCERN DEAL CENTRE FOR THE RETIRED LIMITED,AGE CONCERN SANDWICH CENTRE FOR THE RETIRED,29.320688,29.320688,25.17569,0.0,0.0,15.0
27,AGE CONCERN DUDLEY,04026296,AGE CONCERN DUDLEY,"2: CC: 1 existing perfect name match, CH: 1 existing perfect name match",still operating under the old brand,0 not CIC,2,60000.0,AGE CONCERN DUDLEY,AGE CONCERN DUDLEY,AGE CONCERN DUDLEY TRADING LIMITED,26.24255,26.24255,20.995047,0.0,0.0,16.0
28,AGE CONCERN EAST CHESHIRE,04309557,AGE CONCERN EAST CHESHIRE,"2: CC: 1 existing perfect name match, CH: 1 existing perfect name match",still operating under the old brand,0 not CIC,2,494016.0,AGE CONCERN CHESHIRE EAST,AGE CONCERN EAST CHESHIRE,AGE CONCERN EAST CHESHIRE,27.466259,27.466259,27.466259,10.0,0.0,0.0
29,AGE CONCERN ENFIELD,03352062,AGE CONCERN ENFIELD,"2: CC: 1 existing perfect name match, CH: 1 existing perfect name match",still operating under the old brand,0 not CIC,3,144191.0,AGE CONCERN ENFIELD,AGE CONCERN ENFIELD,AGE CONCERN ENFIELD LIMITED TAS AGE UK ENFIELD,26.27508,26.27508,22.00293,0.0,0.0,27.0
30,AGE CONCERN FAVERSHAM,08412045,AGE UK FAVERSHAM AND SITTINGBOURNE,"2: CC: 8 date-dependent match, CH: 5 corrected imperf name match",inc 20/2/13 before sole NHS payment 31/3/14. no comp reg found for prev char 219046 RM 3/12/14,0 not CIC,1,316400.0,AGE CONCERN FAVERSHAM,AGE CONCERN,AGE CONCERN,27.539558000000003,19.282259,19.282259,0.0,10.0,10.0
31,AGE CONCERN HEREFORDSHIRE AND WORCESTERSHIRE,03942023,AGE CONCERN HEREFORDSHIRE AND WORCESTERSHIRE,"2: CC: 1 existing perfect name match, CH: 1 existing perfect name match",still operating under the old brand,0 not CIC,4,399915.0,AGE CONCERN HEREFORDSHIRE AND WORCESTERSHIRE,AGE CONCERN HEREFORDSHIRE AND WORCESTERSHIRE,AGE CONCERN HEREFORDSHIRE,33.094963,33.094963,27.242409000000002,0.0,0.0,19.0
32,AGE CONCERN KINGSTON UPON THAMES,02272550,AGE CONCERN KINGSTON UPON THAMES,"2: CC: 1 existing perfect name match, CH: 1 existing perfect name match",still operating under the old brand,0 not CIC,2,126000.0,AGE CONCERN KINGSTON UPON THAMES,AGE CONCERN KINGSTON UPON THAMES,AGE CONCERN KINGSTON UPON THAMES LIMITED,34.82948,34.82948,31.663712,0.0,0.0,8.0
33,AGE CONCERN LIVERPOOL,02002499,AGE CONCERN LIVERPOOL AND SEFTON,"2: CC: 3 existing accepted imperfect name match, CH: 3 existing accepted imperfect name match",still operating under the old brand,0 not CIC,1,664781.0,AGE CONCERN LIVERPOOL AND SEFTON,AGE CONCERN LIVERPOOL AND SEFTON,AGE CONCERN LIVERPOOL SERVICES LIMITED,21.952778,21.952778,19.757920000000002,11.0,11.0,17.0
34,AGE CONCERN LIVERPOOL AND SEFTON,02002499,AGE CONCERN LIVERPOOL AND SEFTON,"2: CC: 1 existing perfect name match, CH: 1 existing perfect name match",still operating under the old brand,0 not CIC,10,664781.0,AGE CONCERN LIVERPOOL AND SEFTON,AGE CONCERN LIVERPOOL AND SEFTON,AGE CONCERN LIVERPOOL SERVICES LIMITED,31.174167999999998,31.174167999999998,19.757920000000002,0.0,0.0,14.0
35,AGE CONCERN PETERBOROUGH,03943067,AGE CONCERN PETERBOROUGH,"2: CC: 1 existing perfect name match, CH: 8 date-dependent match","dormant since 31/3/16, superseded by CE006799 Age UK Cambridgeshire & Peterborough CIO",0 not CIC,2,99800.0,AGE CONCERN PETERBOROUGH,AGE CONCERN PETERBOROUGH,AGE CONCERN,25.811348000000002,25.811348000000002,19.282259,0.0,0.0,13.0
36,AGE UK,04150543,AGE UK SUFFOLK,"2: CC: 11 multi-supplier record, CH: 11 multi-supplier record","1 pymt each CCG & Trust. Norwich 1094623 / 04489595, G+T 296862 / 02118525. 7 NHSE pymts cd be Age UK 1128267 / 06825798",0 not CIC,11,843373.0,AGE UK,AGE UK,AGE UK BARNET,13.597475,13.597475,11.898197999999999,0.0,0.0,7.0
37,AGE UK CAMDEN,01969975,AGE CONCERN CAMDEN,"2: CC: 1 existing perfect name match, CH: 5 corrected imperf name match",still reg under old brand,0 not CIC,1,150000.0,AGE UK CAMDEN,AGE CONCERN CAMDEN,AGE CONCERN CAMDEN,21.247053,17.388733,17.388733,0.0,7.0,7.0
38,AGE UK CHESHIRE,04369758,AGE CONCERN CHESHIRE,"2: CC: 1 existing perfect name match, CH: 5 corrected imperf name match",still reg under old brand,0 not CIC,6,170713.0,AGE UK CHESHIRE,AGE UK CHESHIRE EAST,AGE UK EAST CHESHIRE,19.818817000000003,17.617197,17.617197,0.0,5.0,5.0
39,AGE UK CORNWALL,02452302,AGE CONCERN IN CORNWALL AND THE ISLES OF SCILLY,"2: CC: 5 corrected imperf name match, CH: 5 corrected imperf name match",still reg under old brand,0 not CIC,7,540844.0,AGE CONCERN CORNWALL,AGE UK,AGE UK,16.232067,13.597475,13.597475,7.0,9.0,9.0
40,AGE UK COVENTRY,04636851,AGE UK COVENTRY,"2: CC: 6 match options, CH: 6 match options","note also 04221822 Age UK Coventry & Warks. Both have sufficient inc & exp. Only custs Cov & Rugby CCG, Cov Trust",0 not CIC,29,1275237.0,AGE UK COVENTRY,AGE UK COVENTRY,AGE UK COVENTRY,20.286316,20.286316,20.286316,0.0,0.0,0.0
41,AGE UK COVENTRY AND WARWICKSHIRE,04221822,AGE UK COVENTRY AND WARWICKSHIRE,"2: CC: 1 existing perfect name match, CH: 1 existing perfect name match",see also entry for supplier AGE UK COVENTRY,0 not CIC,1,37761.0,AGE UK COVENTRY AND WARWICKSHIRE,AGE UK COVENTRY AND WARWICKSHIRE,AGE UK WARWICKSHIRE,26.399212,26.399212,21.310204000000002,0.0,0.0,13.0
42,AGE UK EAST SUSSEX,07216053,AGE CONCERN EAST SUSSEX,"2: CC: 1 existing perfect name match, CH: 5 corrected imperf name match",still reg under old brand,0 not CIC,3,90241.0,AGE UK EAST SUSSEX,AGE UK EAST SUSSEX,AGE CONCERN EAST SUSSEX,22.810010000000002,22.810010000000002,19.3803,0.0,0.0,7.0
43,AGE UK ESSEX LIMITED,04309519,AGE CONCERN ESSEX,"2: CC: 2 existing perfect except 'LTD/LIMITED', CH: 5 corrected imperf name match",still reg under old brand,0 not CIC,13,432019.0,AGE UK ESSEX,AGE CONCERN ESSEX,AGE CONCERN ESSEX,19.362041,15.503720999999999,15.503720999999999,8.0,14.0,14.0
44,AGE UK HEREFORDSHIRE AND WORCESTERSHIRE,03942023,AGE CONCERN HEREFORDSHIRE AND WORCESTERSHIRE,"2: CC: 1 existing perfect name match, CH: 5 corrected imperf name match",still reg under old brand,0 not CIC,2,399915.0,AGE UK HEREFORDSHIRE AND WORCESTERSHIRE,AGE CONCERN HEREFORDSHIRE AND WORCESTERSHIRE,AGE CONCERN HEREFORDSHIRE AND WORCESTERSHIRE,28.673195,25.243484,25.243484,0.0,7.0,7.0
45,AGE UK HERNE BAY,02960617,AGE CONCERN HERNE BAY,"2: CC: 1 existing perfect name match, CH: 5 corrected imperf name match",still reg under old brand,0 not CIC,6,386718.0,AGE UK HERNE BAY,AGE UK HERNE BAY AND WHITSTABLE,AGE CONCERN HERNE BAY,26.804684,24.124727,23.374973,0.0,15.0,7.0
46,AGE UK ISLE OF WIGHT,06057797,AGE CONCERN ISLE OF WIGHT,"2: CC: 1 existing perfect name match, CH: 5 corrected imperf name match",still reg under old brand,0 not CIC,19,1185830.0,AGE UK ISLE OF WIGHT,AGE CONCERN ISLE OF WIGHT,AGE CONCERN ISLE OF WIGHT,26.563467,23.133757,23.133757,0.0,7.0,7.0
47,AGE UK NORFOLK,03783205,AGE CONCERN NORFOLK,"2: CC: 1 existing perfect name match, CH: 5 corrected imperf name match",still reg under old brand,0 not CIC,1,30000.0,AGE UK NORFOLK,AGE UK NORFOLK LIMITED,AGE CONCERN NORFOLK,19.976505,17.757368,16.118185,0.0,8.0,7.0
48,AGE UK ROTHERHAM,01927474,AGE CONCERN ROTHERHAM LIMITED,"2: CC: 5 corrected imperf name match, CH: 5 corrected imperf name match",still reg under the old brand and using no other,0 not CIC,19,1533455.0,AGE CONCERN ROTHERHAM LIMITED,AGE CONCERN ROTHERHAM LIMITED,AGE CONCERN ROTHERHAM TRADING LIMITED,15.838664999999999,15.838664999999999,14.255101999999999,15.0,15.0,23.0
49,AGE UK SALFORD,05204296,AGE CONCERN SALFORD,"2: CC: 5 corrected imperf name match, CH: 5 corrected imperf name match",still reg under old brand,0 not CIC,31,1591743.0,AGE CONCERN SALFORD,AGE CONCERN SALFORD,AGE UK,17.638893,17.638893,13.597475,7.0,7.0,8.0
50,AGE UK SOUTHAMPTON,06144912,AGE CONCERN SOUTHAMPTON,"2: CC: 1 existing perfect name match, CH: 5 corrected imperf name match",still reg under old brand,0 not CIC,1,56000.0,AGE UK SOUTHAMPTON,AGE CONCERN SOUTHAMPTON,AGE CONCERN SOUTHAMPTON,20.699228,16.840908,16.840908,0.0,7.0,7.0
51,AGEWELL,08397609,AGEWELL COMMUNITY INTEREST COMPANY,2: CH: 4 corrected now perf name match,inc 11/2/13. Oldbury locn accords with sole NHS cust Sandwell & W Bham CCG. NHS payments 30/6/14-31/7/16,1 CIC,11,876047.0,AGEWELL,AGEWELL IN SHEFFIELD LIMITED,AGEWELL COMMUNITY INTEREST COMPANY,19.314182000000002,14.486792999999999,12.877493,0.0,21.0,27.0
52,AGINCOURT,06182736,AGINCARE GROUP LIMITED,2: CH: 7 tentative match,"only cust is Surrey Downs CCG Funded Nursing Care. Agincare grew from Agincourt (Dorset), has home in Farnham",0 not CIC,2,64892.0,AGINCOURT 600,AGINCOURT 600,AGINCOURT HALLLIMITED,14.172313,14.172313,14.172313,4.0,4.0,12.0
53,AIMES GRID SERVICES,05658020,AIMES GRID SERVICES COMMUNITY INTEREST COMPANY,2: CH: 2 existing perfect except 'LTD/CIC/LIMITED',"Ltd till 19/5/06, CIC thereafter",1 CIC,1,1236849.0,AIMES GRID SERVICES COMMUNITY INTEREST COMPANY,GRID SERVICES LIMITED,AIM,16.314220000000002,13.093625999999999,12.448286999999999,27.0,14.0,16.0
54,ALCOHOL AND DRUG SERVICE,05375809,THE ALCOHOL AND DRUG SERVICE,"2: CC: 4 corrected now perf name match, CH: 4 corrected now perf name match",Humberside-based like its only NHS customer,0 not CIC,14,5722526.0,ALCOHOL AND DRUG SERVICES,THE ALCOHOL AND DRUG SERVICE,THE ALCOHOL AND DRUG SERVICE,23.541636999999998,23.541636999999998,23.541636999999998,1.0,4.0,4.0
55,ALEXIN HEALTHCARE LIMITED,08486885,ALEXIN HEALTHCARE C.I.C.,2: CH: 4 corrected now perf name match,LTD till 15/1/16 before 1st NHS pymt 31/8/17. Derby locn accords with sole geoloctable cust,1 CIC,6,799999.0,ALEXIN LIMITED,ALEXIN HEALTHCARE COMMUNITY INTEREST COMPANY,ALEXIN CONSULTING LIMITED,16.936224,16.80074,14.819704999999999,11.0,22.0,10.0
56,ALLAINCE HEALTHCARE,03446039,ALLIANCE HEALTHCARE (DISTRIBUTION) LIMITED,2: CH: 5 corrected imperf name match,note also 07073443 Alliance Hc Mgmt Servs Ltd at same addr; 04033239 Alliance Healthcare Ltd is Dormant since 2008,0 not CIC,1,125543078.0,DELTA ALLAINCE PC,SAMANYANGA ZURUVI ALLAINCE LIMITED,A AND A HEALTHCARE LIMITED,15.320858,13.618904,7.2007184,15.0,27.0,14.0
57,ALTERNATIVE FUTURES,02679915,ALTERNATIVE FUTURES GROUP LIMITED,"2: CC: 2 existing perfect except 'LTD/LIMITED', CH: 5 corrected imperf name match",old name Alternative Futures Ltd,0 not CIC,2,27957859.0,ALTERNATIVE FUTURES LIMITED,FUTURE ALTERNATIVE LIMITED,ALTERNATIVE FUTURE TECHNOLOGY LIMITED,16.273139999999998,16.273139999999998,14.465399,8.0,13.0,19.0
58,ALZHEIMERS SOCIETY SEFTON OFFICE,02115499,ALZHEIMERS SOCIETY,"2: CC: 3 existing accepted imperfect name match, CH: 3 existing accepted imperfect name match",Alzheimers Soc branches do not seem to be separately registered,0 not CIC,17,25939290.0,ALZHEIMERS SOCIETY,ALZHEIMERS SOCIETY,ALZHEIMERS DISEASE SOCIETY,20.738846,20.738846,18.14711,14.0,14.0,17.0
59,ALZHEIMERS SOCIETY SOUTH DEVON BRANCH,02115499,ALZHEIMERS SOCIETY,"2: CC: 3 existing accepted imperfect name match, CH: 3 existing accepted imperfect name match",Alzheimers Soc branches do not seem to be separately registered,0 not CIC,33,25939290.0,ALZHEIMERS DISEASE SOCIETY SHEFFIELD BRANCH,ALZHEIMERS SOCIETY,ALZHEIMERS SOCIETY,20.813736,20.738846,20.738846,17.0,19.0,19.0
60,ANGLIAN COMMUNITY ENTERPRISE,07376913,ANGLIAN COMMUNITY ENTERPRISE (ACE) COMMUNITY INTEREST COMPANY,2: CH: 2 existing perfect except 'LTD/CIC/LIMITED',always CIC since 2010 incorporation. No viable alt match found,1 CIC,20,223680323.0,ANGLIAN ENTERPRISES LIMITED,ANGLIAN COMMUNITY ENTERPRISE ACE COMMUNITY INTEREST COMPANY,EAST ANGLIAN ENTERPRISES LIMITED,15.240765,15.117369,13.547707,18.0,31.0,23.0
61,ANGLIAN COMMUNITY ENTERPRISE COMMUNITY INTEREST COMPANY,07376913,ANGLIAN COMMUNITY ENTERPRISE (ACE) COMMUNITY INTEREST COMPANY,2: CH: 1 existing perfect name match,"CQC-listed as provider at a number of locns in Essex, which is where NHS custs are. Turnover 50m+ in accts",1 CIC,612,223680323.0,ANGLIAN COMMUNITY ENTERPRISE ACE COMMUNITY INTEREST COMPANY,ACTION COMMUNITY ENTERPRISES COMMUNITY INTEREST COMPANY,ANGELS COMMUNITY ENTERPRISES COMMUNITY INTEREST COMPANY,26.483871,21.558733,21.558733,4.0,5.0,5.0
62,ANNABELS,00736066,ANNABEL'S (BERKELEY SQUARE) LIMITED,2: CH: 5 corrected imperf name match,"One transaction, Royal Marsden Hosp, 30/9/19. Twitter reveals answer: a works night out at Annabels Night Club",0 not CIC,1,25875.0,ANNABELS ANGELS,ANNABELS LIMITED,ANNABEL BATES LIMITED,13.267377,13.267377,11.609352000000001,7.0,8.0,13.0
63,ANTHONY NOLAN BONEMARROW TRUST,02379280,ANTHONY NOLAN,"2: CC: 1 existing perfect name match, CH: 5 corrected imperf name match",prev names include The Anthony Nolan Bone Marrow Trust,0 not CIC,4,29667001.0,ANTHONY NOLAN,ANTHONY NOLAN,THE ANTHONY NOLAN BONE MARROW TRUST,21.90338,21.90338,19.089555999999998,17.0,17.0,5.0
64,ANTHONY NOLAN TRUST THE,02379280,ANTHONY NOLAN,"2: CC: 3 existing accepted imperfect name match, CH: 5 corrected imperf name match",prev names include The Anthony Nolan Bone Marrow Trust,0 not CIC,8,29667001.0,ANTHONY NOLAN,ANTHONY NOLAN,THE ANTHONY NOLAN BONE MARROW TRUST,21.90338,21.90338,19.089555999999998,10.0,10.0,18.0
65,APPLEGARTH NURSING HOME,10516406,APPLEGARTH HEALTHCARE LIMITED,2: CH: 5 corrected imperf name match,Applegarth Nursing home is operated by comp 10516406 Applegarth Healthcare Ltd,0 not CIC,1,27146.0,APPLEGARTH HOMES,APPLEGARTH HOME LIMITED,NURSES HOME,19.753785999999998,17.285156,15.534201000000001,9.0,12.0,14.0
66,AQUARIUS,02427100,AQUARIUS ACTION PROJECTS,"2: CC: 1 existing perfect name match, CH: 5 corrected imperf name match","see CCnotes, NHS cust locn confirms",0 not CIC,2,5768032.0,AQUARIUS,AQUARIUS IT LIMITED,AQUARIUS LIMITED,13.917260999999998,11.929625,11.929625,0.0,11.0,8.0
67,AQUILANT CRITCAL CARE,02090807,AQUILANT LIMITED,2: CH: 3 existing accepted imperfect name match,NOT CIC. Spurious inclusion. parent comp match pref over 03402556 Aquilant Endoscopy which also has sufficient inc,0 not CIC,1,1668622.0,AQUIL LIMITED,AQUILANT LIMITED,AQUIL ALLIANCE LP,15.563266,15.563266,13.618323,14.0,11.0,14.0
68,ARCH,02357520,HONEYCOMB CHARITABLE SERVICES LIMITED,"2: CC: 5 corrected imperf name match, CH: 5 corrected imperf name match","community services, ?especially in support of homeless. was Arch (North Staffs) Limited till 28/9/19",0 not CIC,3,109498.0,ARCH,ARCH,ARCH,12.3828125,12.3828125,12.3828125,0.0,0.0,0.0
69,ARLESEY MEDICAL CENTRE SUNNY HILL COMMUNITY INTEREST COMPANY,07539169,SUNNYHILL HEALTHCARE C.I.C.,2: CH: 5 corrected imperf name match,"07539139 Sunnyhill Healthcare is based in Arlesey, Beds",1 CIC,85,2761268.0,ARLESEY MEDICAL CENTRE,SUNNY HILL MEDICAL LIMITED,CHARLES HILL CENTRE COMMUNITY INTEREST COMPANY,23.547795999999998,19.43661,18.992770999999998,38.0,45.0,20.0
